ID,CYM,HEB,PoS,score
2009,teithlyfr,חוברת הדרכה,nouns,1.45
2010,llyfr,סיפור,nouns,2.15
2011,tywysoges,כלה,nouns,1.1
2012,hyblyg,צנוע,adjectives,0.3
2013,hardd,נפלא,adjectives,1.65
2014,nos,פרק,nouns,0.05
2015,alcohol,יין,nouns,2.1
2016,llinyn,שקיעה,nouns,0.0
2017,afiechyd,סכנה,nouns,0.7
2018,theori,כימיה,nouns,0.25
2019,treisgar,קיצוני,adjectives,0.95
2020,siwr,ודאי,adjectives,5.45
2021,galaeth,אסטרונום,nouns,0.9
2022,dymuno,לרצות,verbs,4.35
2023,mam,אבא,nouns,2.0
2024,arwydd,סמל,nouns,4.55
2025,cegin,דלת,nouns,0.55
2026,anghwrtais,רועש,adjectives,0.35
2027,sicr,בטוח,adjectives,5.45
2028,dannedd,עצם,nouns,1.2
2029,gitâr,תוף,nouns,1.55
2030,mynd,למכור,verbs,0.05
2031,enfawr,גדול,adjectives,4.4
2032,arian,פנינה,nouns,0.6
2033,cwpwrdd,בגדים,nouns,0.95
2034,tywysog,מלך,nouns,1.7
2035,rhesymoli,לחשוב,verbs,2.0
2036,meddyg,רופא,nouns,4.9
2037,doniol,עצוב,adjectives,0.5
2038,garddwrn,זרוע,nouns,1.6
2039,cynffon,צוק,nouns,0.0
2040,diymhongar,טהור,adjectives,1.25
2041,nyrs,מדען,nouns,0.45
2042,archwilio,לפקח,verbs,3.05
2043,yn bennaf,סופני,adverbs,0.4
2044,ffa,קפה,nouns,1.1
2045,gwyn,צר,adjectives,0.0
2046,blin,שמח,adjectives,0.55
2047,caled,צפוף,adjectives,0.55
2048,bywgraffiad,בדיה,nouns,0.4
2049,ymgeisydd,מועמדות,nouns,2.1
2050,doler,מיליונר,nouns,0.95
2051,anniben,מסודר,adjectives,0.55
2052,rhythm,שיר,nouns,1.65
2053,iard,אינץ',nouns,1.55
2054,pledio,לרצות,verbs,0.3
2055,milwr,ילד,nouns,0.65
2056,yn falch,בשלווה,adverbs,0.15
2057,llyncu,לשתות,verbs,2.3
2058,colli,להיכשל,verbs,3.2
2059,iâ,שלג,nouns,2.9
2060,oeraidd,מחוספס,adjectives,1.2
2061,dichonadwy,בלתי אפשרי,adjectives,0.85
2062,dillad,מגירה,nouns,0.85
2063,lladd,להרוס,verbs,2.45
2064,cloch,מגדל,nouns,0.65
2065,dŵr,הכתרה,nouns,0.05
2066,bioleg gymdeithasol,מוטציה,nouns,0.5
2067,ofnus,חרד,adjectives,4.3
2068,cymysg,משולב,adjectives,3.1
2069,penderfynu,לבחור,verbs,3.8
2070,glaswelltir,אחו,nouns,2.4
2071,hyfforddwraig,שחקן,nouns,0.85
2072,benthyg,לרצות,verbs,0.2
2073,canrif,עשור,nouns,1.0
2074,car,מכונית,nouns,5.45
2075,masarnen,עץ,nouns,2.75
2076,priodferch,חתן,nouns,1.7
2077,mis,אוגוסט,nouns,2.25
2078,cynorthwyo,להגן,verbs,1.35
2079,brenhiniaeth,דמוקרטיה,nouns,0.95
2080,matrics,וקטור,nouns,1.95
2081,chwalu,לרסק,verbs,5.05
2082,lladd,להגן,verbs,0.7
2083,top,תחתית,nouns,0.65
2084,chwilio,למצוא,verbs,1.3
2085,ffôn clyfar,אננס,nouns,0.0
2086,byth,לאחר מכן,adverbs,0.45
2087,cinio,תרנגולת,nouns,0.8
2088,cromlin,זווית,nouns,2.0
2089,sgert,שעון,nouns,0.25
2090,cyw iâr,סעודה,nouns,0.8
2091,asgwrn,זרוע,nouns,1.45
2092,ardderchog,נפלא,adjectives,5.25
2093,methu,להצליח,verbs,0.55
2094,cyd-beilot,שוטר,nouns,0.65
2095,mae'n debyg,פשוט,adverbs,0.5
2096,anfoesol,פלילי,adjectives,2.05
2097,pwysig,מכריע,adjectives,3.65
2098,colli,לבשל,verbs,0.0
2099,ystafell,תא,nouns,2.55
2100,aros,לשמור,verbs,0.5
2101,ungnwd,חקלאות,nouns,0.75
2102,gwlychu,להקטין,verbs,0.25
2103,boddi,להציל,verbs,0.6
2104,drwg,שקרן,adjectives,1.35
2105,llywodraethwr,קיסר,nouns,3.25
2106,cymryd,לסרב,verbs,0.5
2107,creulon,קשוח,adjectives,1.65
2108,anghyfreithlon,מושחת,adjectives,2.05
2109,offeiriad,נביא,nouns,1.6
2110,osgoi,להכחיש,verbs,1.5
2111,angen,לברר,verbs,0.55
2112,cyntedd,כיתה,nouns,0.55
2113,yn aml,לעיתים רחוקות,adverbs,0.6
2114,llyfr,תאונה,nouns,0.0
2115,democratiaeth,מלוכה,nouns,0.95
2116,cystrawen,מילת מפתח,nouns,0.6
2117,lluwchwynt,גשם,nouns,1.25
2118,llaw,מפרק,nouns,1.65
2119,afal,אור,nouns,0.0
2120,y rhan fwyaf,בעיקר,adverbs,3.8
2121,dillad isaf,גוף,nouns,0.3
2122,dewis,פרק,nouns,0.1
2123,meddwl,לברר,verbs,1.15
2124,yn angheuol,באושר,adverbs,0.15
2125,awyr,יקום,nouns,1.4
2126,asgwrn cefn,גוף,nouns,1.15
2127,sblash,צמיגות,nouns,0.25
2128,difrifol,מצחיק,adjectives,0.45
2129,dyffryn,נהר,nouns,1.05
2130,graddio,לסמן,verbs,2.2
2131,ffêr,עצם,nouns,1.55
2132,ymosod,לפגוע,verbs,3.05
2133,tarfu,להטריח,verbs,1.3
2134,yn gryf,רשמית,adverbs,0.1
2135,o bosibl,באופטימיות,adverbs,1.15
2136,creigres,חוף,nouns,1.35
2137,cwpan,צנצנת,nouns,1.7
2138,brwnt,מדהים,adjectives,0.15
2139,dadl,הסכמה,nouns,0.55
2140,person dan amheuaeth,איש,nouns,0.75
2141,paragraff,מכתב,nouns,1.25
2142,stryd,סמטה,nouns,3.2
2143,gofyn,להתחנן,verbs,3.0
2144,clymu,לאחד,verbs,2.85
2145,ffynnu,לנסות,verbs,0.9
2146,ffôn,טלפון סלולרי,nouns,4.35
2147,cyfaddef,להכחיש,verbs,0.5
2148,adfer,להביא,verbs,0.6
2149,ffrio,להרתיח,verbs,1.4
2150,seren,בהירות,nouns,1.25
2151,meddu ar,לספוג,verbs,0.25
2152,byr,ארוך,adjectives,0.55
2153,ymbarél,תנור חימום,nouns,0.55
2154,cysuro,להשפיל,verbs,0.35
2155,gwynt,סופה,nouns,2.55
2156,oedolyn,שומר,nouns,1.0
2157,cosbi,לציית,verbs,0.6
2158,llyfr,תורה,nouns,1.8
2159,cefnogwr,קריקט,nouns,0.35
2160,rhyfedd,ערמומי,adjectives,0.35
2161,breuddwyd,שמיים,nouns,0.5
2162,benthyciwr,אשראי,nouns,1.35
2163,rhoi,לדעת,verbs,0.0
2164,swil,יקר,adjectives,0.05
2165,mynd,לטייל,verbs,2.25
2166,actor,פאון,nouns,0.6
2167,llidiog,הססן,adjectives,0.6
2168,dyn,חבר,nouns,1.3
2169,fisa,גלובליזם,nouns,0.45
2170,nihiliaeth,סרט,nouns,0.15
2171,gosod,לתת,verbs,1.05
2172,tric,אמבטיה,nouns,0.0
2173,rhybuddio,לעצור,verbs,1.1
2174,mab,אח,nouns,1.7
2175,clou,מהיר,adjectives,4.65
2176,allbriodasol,בלתי נסלח,adjectives,0.1
2177,yn amlwg,בחשאי,adverbs,0.1
2178,calon,ניתוח,nouns,0.55
2179,clywed,להקשיב,verbs,3.4
2180,teledu,תסריטאי,nouns,0.8
2181,llygad,דמעה,nouns,1.2
2182,cyflawni,להפוך,verbs,0.55
2183,perl,כסף,nouns,0.6
2184,derbyn,לשלוח,verbs,0.5
2185,morthwyl,שיניים,nouns,0.0
2186,coffi,פול,nouns,1.1
2187,cawod,מנזר,nouns,0.0
2188,cwpan,כף,nouns,1.25
2189,rhyfedd,נורמלי,adjectives,0.5
2190,rhiant,אבא,nouns,3.2
2191,dod yn,להראות,verbs,0.7
2192,bustach,סוס,nouns,1.25
2193,siampên,בירה,nouns,1.75
2194,hofrennydd,מטוס,nouns,2.95
2195,neidio,גדר,nouns,0.35
2196,braf,נדיב,adjectives,1.15
2197,dianc,להימלט,verbs,5.15
2198,gwacáu,לקבוע,verbs,0.1
2199,cyfarch,להיפגש,verbs,0.95
2200,eginblanhigyn,עלה,nouns,1.5
2201,estrys,פרדס,nouns,0.1
2202,reidio,לדשדש,verbs,0.4
2203,to,חלון,nouns,0.7
2204,cario ,להביא,verbs,1.95
2205,ynys,משימה,nouns,0.0
2206,beic,עור,nouns,0.1
2207,gwirod,יין,nouns,1.75
2208,cig eidion,בקר,nouns,3.4
2209,gwerthu,להשאיל,verbs,0.85
2210,mynydd,אדן,nouns,0.2
2211,gyferbyn,אחר,adjectives,0.8
2212,gwarcheidwad,מבוגר,nouns,1.0
2213,theatr,סרט,nouns,1.4
2214,cynffon,פרק,nouns,0.2
2215,ymddygiadaeth,טיפול,nouns,1.55
2216,esgus,להניח,verbs,0.3
2217,yn wallgof,בקול רם,adverbs,0.1
2218,gweithiwr,מעסיק,nouns,1.15
2219,aderyn,תרנגולת,nouns,2.2
2220,marcio,לדרג,verbs,2.2
2221,cyfansoddiad,סנט,nouns,0.95
2222,cyfarfod,לברך,verbs,0.95
2223,arllwys,לטפטף,verbs,2.35
2224,baglu,ליפול,verbs,4.55
2225,ymuno,לשתף,verbs,1.2
2226,weithiau,באופן אחיד,adverbs,0.25
2227,gorffwyll,חולה,adjectives,0.75
2228,hir,קצר,adjectives,0.55
2229,ffasiwn,צורה,nouns,0.4
2230,drwg,נורא,adjectives,3.65
2231,o ddifrif,בחשיבות,adverbs,2.35
2232,chwerthin,לבכות,verbs,0.55
2233,newyddiadurwr,משורר,nouns,1.0
2234,myfyrio,לחשוב,verbs,4.55
2235,corff,עצב,nouns,0.65
2236,mynach,צלב,nouns,0.9
2237,yn obeithiol,ייתכן,adverbs,1.15
2238,wythnosol,חודשי,adjectives,1.25
2239,blits,מתקפה,nouns,3.3
2240,enfawr,זעיר,adjectives,0.55
2241,yn ofalus,כרגע,adverbs,0.0
2242,brigeryn,האבקה,nouns,1.6
2243,tenau,צנום,adjectives,4.3
2244,dawnsio,שמלה,nouns,0.5
2245,sy'n dod i mewn,יוצא,adjectives,0.55
2246,yn derfynol,אחרת,adverbs,0.1
2247,yn fawr,בבהירות,adverbs,0.2
2248,bàth,חדר,nouns,0.85
2249,diffiniad,מילון,nouns,1.7
2250,cyflogwr,מועסק,nouns,1.15
2251,gwrthod,לבחור,verbs,0.1
2252,wastad,פעמיים,adverbs,0.65
2253,capel,כבל,nouns,0.0
2254,egluro,להוכיח,verbs,1.55
2255,derbyn,להסכים,verbs,2.75
2256,caled,קל,adjectives,0.5
2257,cytundeb,ויכוח,nouns,0.55
2258,datgysylltu,לפצל,verbs,1.55
2259,brwydr,כיבוש,nouns,2.2
2260,braich,מפרק,nouns,1.6
2261,cwmwl,סערה,nouns,1.55
2262,diflannu,למצוא,verbs,0.55
2263,blanced ,מיטה,nouns,1.25
2264,brawd,אב,nouns,1.4
2265,amddiffyn,להציל,verbs,2.55
2266,pennod,פרק,nouns,4.0
2267,mawr,קל,adjectives,0.35
2268,llawysgrif,ספר,nouns,1.45
2269,cynffon,קערה,nouns,0.0
2270,bwcler,מגן,nouns,1.8
2271,rheoli,עכבר,nouns,0.0
2272,brwnt,זול,adjectives,0.4
2273,terfysg,ציור,nouns,0.1
2274,thema,ספר,nouns,0.6
2275,llwyddo,להיכשל,verbs,0.55
2276,gogledd,דרום,nouns,1.15
2277,ffêr,חלון,nouns,0.0
2278,ysgafn,חד,adjectives,0.5
2279,achub,להציל,verbs,5.2
2280,pen,ציפורן,nouns,0.4
2281,cyflwr,בית,nouns,0.65
2282,yn hysbys,טוב,adjectives,0.4
2283,gwely,רהיט,nouns,1.95
2284,ystafell,מיטה,nouns,0.6
2285,gwawdlyd,בזוי,adjectives,3.8
2286,mwslim,בישוף,nouns,0.8
2287,anghrybwylladwy,מחוץ לנישואין,adjectives,0.1
2288,crwm,ישר,adjectives,0.55
2289,yn aml,לפעמים,adverbs,1.05
2290,ysgwydd,זרוע,nouns,1.9
2291,uchder,המרה,nouns,0.45
2292,hurt,צפוף,adjectives,0.1
2293,cot,בגדים,nouns,1.8
2294,gwisg unffurf,קרושה,nouns,0.15
2295,newydd,טרי,adjectives,3.75
2296,rhyfedd,מוזר,adjectives,4.4
2297,yn weithredol,באופן פסיבי,adverbs,0.25
2298,dan straen,נינוח,adjectives,0.5
2299,parêd,המון,nouns,1.7
2300,gwasgu,לשחרר,verbs,0.5
2301,heb ei ddefnyddio,חדש,adjectives,4.15
2302,gwyliwr,גבר,nouns,0.6
2303,corff,זרוע,nouns,1.2
2304,cyfrwys,מוזר,adjectives,0.35
2305,esgob,מוסלמי,nouns,0.8
2306,caniatáu,ללכת,verbs,0.05
2307,degawd,מאה,nouns,1.0
2308,cadw,להפסיד,verbs,0.55
2309,niwtral,רגוע,adjectives,1.3
2310,drwg,מושחת,adjectives,2.75
2311,mynegi,לומר,verbs,4.05
2312,dewis,בחירות,nouns,2.85
2313,eisiau,לבחור,verbs,1.1
2314,twll,רעיה,nouns,0.0
2315,canol,קיבה,nouns,0.9
2316,ffrind,בחור,nouns,1.3
2317,niwed,כאב,nouns,1.9
2318,bardd,עיתונאי,nouns,1.0
2319,proffesiwn,מכללה,nouns,0.75
2320,bod mewn dyled,להלוות,verbs,1.8
2321,darllenydd,סופר,nouns,0.8
2322,dod yn,לארגן,verbs,0.55
2323,sant,חוטא,nouns,0.8
2324,deall,לדעת,verbs,2.1
2325,cath,עכבר,nouns,1.05
2326,cas,חומרה,nouns,0.25
2327,arweinydd,מנהל,nouns,3.45
2328,peilot,נהג,nouns,2.7
2329,dinistrio,לבנות,verbs,0.55
2330,tagu,לנשום,verbs,1.05
2331,gwellt,המנון,nouns,0.0
2332,wedi'i goginio,מורתח,adjectives,2.7
2333,arian parod,כסף,nouns,3.45
2334,palas,גורד שחקים,nouns,0.95
2335,eang,צר,adjectives,0.55
2336,cyfreithiwr,בנקאי,nouns,1.0
2337,asgwrn,ברך,nouns,1.6
2338,pylu,לשחוק,verbs,2.55
2339,yn anhygoel,מאוד,adverbs,0.55
2340,bryn,צוק,nouns,1.9
2341,coeden,עלה,nouns,1.5
2342,ychwanegu,להצטרף,verbs,1.15
2343,gitâr,פורל,nouns,0.05
2344,sesiwn,מטופל,nouns,0.55
2345,wisgi,שמפניה,nouns,1.75
2346,ifanc,שמח,adjectives,0.5
2347,gwefus,פה,nouns,2.0
2348,darganfod,לחפש,verbs,1.3
2349,mynd i mewn,לחוב,verbs,0.1
2350,teclyn,סיר,nouns,0.5
2351,colli,לשמור,verbs,0.55
2352,pêl-fas,אחווה,nouns,0.25
2353,crëwr,מחבר,nouns,3.5
2354,roboteg,סימולציה,nouns,0.75
2355,dibynnu ar,לסמוך,verbs,3.65
2356,perllan,יען,nouns,0.1
2357,crwm,תוקפני,adjectives,0.05
2358,coginio,לטגן,verbs,2.05
2359,lladrad,פשע,nouns,2.15
2360,stondin,טלפון,nouns,0.3
2361,hyblyg,רפוי,adjectives,1.25
2362,anghyfrifol,ילדותי,adjectives,2.1
2363,eglwys gadeiriol,כנסייה,nouns,3.8
2364,rhoi,להכחיש,verbs,0.05
2365,rhoddi,להשאיל,verbs,2.5
2366,miniog,חלק,adjectives,0.6
2367,rheol,מוסכמה,nouns,2.8
2368,yn hael,לעולם לא,adverbs,0.45
2369,tafod,לחי,nouns,1.0
2370,duw,טרף,nouns,0.05
2371,bàth,בלון,nouns,0.05
2372,codi arian,פיתוח,nouns,0.6
2373,deilen,עץ,nouns,1.5
2374,ewin,אגודל,nouns,1.3
2375,hel,לתפוס,verbs,1.55
2376,lladd,לחנוק,verbs,1.9
2377,yn realistig,לאחרונה,adverbs,0.1
2378,cwmwl,תחזית,nouns,1.1
2379,oedran,יופי,nouns,0.7
2380,ceg,שפה,nouns,2.0
2381,rhoi,לתלות,verbs,0.65
2382,gwaith celf,אמן,nouns,1.4
2383,sgwâr,מפה,nouns,0.5
2384,ceirios,תות,nouns,1.5
2385,confensiwn,חוק,nouns,2.8
2386,gwely,חדר,nouns,0.6
2387,gofyn,לעזור,verbs,1.05
2388,arloesol,יצירתי,adjectives,2.9
2389,drws,כניסה,nouns,3.45
2390,pobi,לטגן,verbs,1.7
2391,penwythnos,מרוץ,nouns,0.05
2392,gwael,בודד,adjectives,0.85
2393,car,מעלית,nouns,0.5
2394,annheg,אכזר,adjectives,1.4
2395,ffug,אמיתי,adjectives,0.55
2396,glas,אדום,adjectives,1.1
2397,dod yn,להשיג,verbs,0.55
2398,prysur,עצלן,adjectives,0.4
2399,taro,למשוך,verbs,0.45
2400,emosiwn,תשוקה,nouns,3.55
2401,yn llawn,בעיקרון,adverbs,0.55
2402,trafferthu,להפריע,verbs,1.3
2403,glaw,ערפל,nouns,1.8
2404,anwybodus,רגיל,adjectives,0.05
2405,bawd,ציפורן,nouns,1.3
2406,talwrn,טייס משנה,nouns,0.7
2407,heddwch,חייל,nouns,0.5
2408,cymryd,לעזוב,verbs,0.2
2409,gwan,חזק,adjectives,0.5
2410,bacwn,שעועית,nouns,0.6
2411,annibynadwy,ערמומי,adjectives,1.6
2412,swcros,פחמימה,nouns,1.65
2413,rhodio,לשוטט,verbs,4.25
2414,bwydlen,הזמנה,nouns,0.8
2415,yn arbennig,באופן משמעותי,adverbs,1.9
2416,bod yn ddyledus,להיכנס,verbs,0.1
2417,ased,מנייה,nouns,3.2
2418,cystadleuwr,יריב,nouns,3.6
2419,tröedigaeth,גובה,nouns,0.45
2420,arian cyfred,תמימות דעים,nouns,0.6
2421,gwallgof,שמח,adjectives,0.5
2422,rhannu,לנתק,verbs,1.55
2423,yn wahanol,סופית,adverbs,0.1
2424,sgol,רוח,nouns,2.55
2425,offeryn,עבודה,nouns,0.4
2426,drwm,קרן,nouns,0.6
2427,mynnu,להתווכח,verbs,1.35
2428,prynu,לקבל,verbs,1.0
2429,twrci,ציפור,nouns,2.15
2430,allwedd,כתר,nouns,0.0
2431,cadno,כלב,nouns,1.35
2432,disg,מטען,nouns,0.15
2433,gwenynen,חרק,nouns,1.55
2434,menyn,תפוד,nouns,0.6
2435,papur newydd,מילה,nouns,1.05
2436,gwahanu,לחבר,verbs,0.55
2437,coleg,מקצוע,nouns,0.75
2438,llynges,אי,nouns,0.3
2439,cig eidion,בשר,nouns,2.65
2440,hanesydd,היסטוריוגרף,nouns,3.0
2441,gwisgo,לקרוע,verbs,0.15
2442,blodyn,פקעת,nouns,1.25
2443,llwch,מטאטא,nouns,0.75
2444,newydd,עתיק,adjectives,0.5
2445,gwybod,להבין,verbs,2.55
2446,balch ,כועס,adjectives,0.5
2447,braich,כתף,nouns,1.9
2448,da,מוכר,adjectives,0.4
2449,dadansoddi,להשוות,verbs,2.05
2450,drws,מרתף,nouns,0.55
2451,lloches,צריף,nouns,1.75
2452,hedyn,חרדל,nouns,0.85
2453,cymyl,ערפל,nouns,2.5
2454,brwydro,להרוג,verbs,0.95
2455,cytuno,לקבל,verbs,2.75
2456,yn ddarostyngedig,בגאווה,adverbs,0.55
2457,dug,רפובליקה,nouns,0.5
2458,poblogaeth,אנשים,nouns,2.7
2459,efelychiad,רובוטיקה,nouns,0.75
2460,cyffes,הכחשה,nouns,0.5
2461,cytundeb,תנאי,nouns,0.7
2462,atgoffa,לשכוח,verbs,0.55
2463,cyffrous,משעמם,adjectives,0.5
2464,ardderchog,מעולה,adjectives,4.6
2465,cafflo,להונות,verbs,4.75
2466,cwrw,משקה,nouns,2.15
2467,yn bwysig,ברצינות,adverbs,2.35
2468,carbohydrad,סוכרוז,nouns,1.65
2469,meddwl,לזכור,verbs,1.25
2470,meddu ar,לקחת,verbs,1.4
2471,stumog,חדר שינה,nouns,0.05
2472,hysbysu,לתאר,verbs,0.6
2473,gwn,סכין,nouns,1.25
2474,heddiw,הלילה,adverbs,1.5
2475,heb siâp,אמורפי,adjectives,5.5
2476,byth,בנדיבות,adverbs,0.45
2477,darlun,שלפוחית,nouns,0.0
2478,meddwl,להחליט,verbs,1.4
2479,ymerawdwr,מושל,nouns,3.25
2480,bacwn,בשר,nouns,2.55
2481,cyferbyn,ייחודי,adjectives,0.15
2482,llywydd,זיהום,nouns,0.05
2483,proffwydo,לקבוע,verbs,0.9
2484,swydd,משימה,nouns,3.45
2485,crynnu,לקפוא,verbs,1.75
2486,sitrws,תפוז,nouns,3.15
2487,helpu,לעזור,verbs,5.85
2488,pêl-fas,ספה,nouns,0.1
2489,diogel,מעיק,adjectives,0.1
2490,peilliad,אבקן,nouns,1.6
2491,busnes,תאגיד,nouns,2.6
2492,yn unffurf,לפעמים,adverbs,0.25
2493,dewis,להחליט,verbs,3.8
2494,alcohol,ג'ין,nouns,2.1
2495,carped,בית,nouns,0.65
2496,crogi,להרוג,verbs,1.95
2497,carchar,בחירה,nouns,0.35
2498,corws,זמר,nouns,1.35
2499,staff,זמר,nouns,0.05
2500,bara,בשר,nouns,0.55
2501,baled,שיר,nouns,4.15
2502,wedi eu cyfuno,מעורבב,adjectives,3.1
2503,sedd,שיפוע,nouns,0.1
2504,drws,קומה,nouns,0.55
2505,gofal,זהירות,nouns,2.8
2506,braich,וריד,nouns,0.75
2507,sensoriaeth,חופש,nouns,0.55
2508,organ,כבד,nouns,1.65
2509,talu,לקנות,verbs,2.6
2510,anghytuno,להסכים,verbs,0.55
2511,mwnci,קמפיין,nouns,0.0
2512,incwm,מס,nouns,0.9
2513,canolig,טוב,adjectives,1.7
2514,machlud haul,ערב,nouns,2.2
2515,castell,קיר,nouns,1.0
2516,gwrthod,לקבל,verbs,0.5
2517,niwl,גשם,nouns,1.8
2518,drws,נוכחות,nouns,0.15
2519,gwahanu,לעזוב,verbs,2.3
2520,gwely,שמיכה,nouns,1.25
2521,gwrthod,לתת,verbs,0.05
2522,basilica,פסיפס,nouns,1.4
2523,cytuno,להתווכח,verbs,0.53
2524,sychder,מים,nouns,0.4
2525,poen,צער,nouns,2.85
2526,yn swyddogol,חשוב,adverbs,1.6
2527,siaced,סוודר,nouns,1.95
2528,darogan,להניח,verbs,0.6
2529,yn agored i niwed,נוח,adjectives,0.15
2530,bathodyn,זכוכית,nouns,0.2
2531,maint,טריק,nouns,0.0
2532,claddu,למות,verbs,1.15
2533,corff,כתף,nouns,1.15
2534,braich,צוואר,nouns,0.75
2535,derbyn,להמליץ,verbs,0.75
2536,disgyrchiant,מטאור,nouns,0.8
2537,cyfieithydd,זר,nouns,0.45
2538,heulwen,קרן,nouns,1.95
2539,cwyno,להביא,verbs,0.0
2540,rhagflaenydd,עבר,nouns,1.6
2541,penelin,עצם,nouns,1.6
2542,seryddwr,גלקסיה,nouns,0.9
2543,gwawr,לילה,nouns,0.9
2544,sinematograffeg,במאי,nouns,1.05
2545,cyfreithiwr,משפטן,nouns,4.35
2546,llyfr,ספרות,nouns,2.1
2547,sawl,פעמיים,adverbs,0.75
2548,fformiwla,משוואה,nouns,4.5
2549,rhith,מציאות,nouns,0.6
2550,uno,לקשור,verbs,2.85
2551,ceiniog,מציאה,nouns,0.7
2552,darn,שדה תעופה,nouns,0.1
2553,sgïo,סנוברד,nouns,2.3
2554,edafedd,פתיל,nouns,4.4
2555,yn deg,באופן לא הוגן,adverbs,0.55
2556,gên,עצם,nouns,1.3
2557,lluosi,להוסיף,verbs,1.55
2558,traeth,אי,nouns,1.2
2559,gwydn,קשה,adjectives,3.4
2560,botwm,בגדים,nouns,0.75
2561,cwmwl,ערפל,nouns,2.85
2562,mecanyddol,חשמלי,adjectives,0.85
2563,gwneud,ליצור,verbs,4.35
2564,caws,לחם,nouns,0.85
2565,tymestl,שמיכה,nouns,0.4
2566,anwybodus,מדים,adjectives,0.1
2567,dod,להביא,verbs,1.2
2568,ymlid,לעקוב,verbs,1.85
2569,pumed,עליון,adjectives,0.25
2570,dewis,לרצות,verbs,1.1
2571,polyn,דגל,nouns,1.1
2572,damwain,אסון,nouns,3.75
2573,ofnadwy,עצוב,adjectives,1.7
2574,ceisio,לשכנע,verbs,0.6
2575,ffonoleg,מסך,nouns,0.15
2576,gwyddoniadur,מילון,nouns,2.05
2577,gwyddonydd,אחות,nouns,0.45
2578,dimai,רעיה,nouns,0.05
2579,cyfaill,ידיד,nouns,5.25
2580,gwraig,ג'נטלמן,nouns,0.9
2581,topoleg,מבנה,nouns,2.05
2582,rhoi,לשמור,verbs,0.35
2583,prynu,לגנוב,verbs,0.4
2584,fformiwla,יומן,nouns,0.6
2585,cwest,מטרה,nouns,1.65
2586,hollalluogrwydd,עליונות,nouns,2.15
2587,to,קומה,nouns,0.9
2588,tân,אפוקליפסה,nouns,0.85
2589,ffasiwn,סגנון,nouns,4.25
2590,losin,תפוח,nouns,0.75
2591,dadl,דיון,nouns,2.7
2592,cerflun,פסל,nouns,4.6
2593,curo,להצליף,verbs,3.15
2594,pont,מכונית,nouns,0.55
2595,trwyn,ראש,nouns,1.15
2596,gorchuddio,להגן,verbs,1.3
2597,ôl-ddodiad,מוספית,nouns,3.35
2598,dyn,מנצח,nouns,0.5
2599,ewythr,דודה,nouns,2.55
2600,moleciwl,אוויר,nouns,1.0
2601,meddw,פיכח,adjectives,0.55
2602,newyddion,מאמר מערכת,nouns,1.45
2603,annisgwyl,לא צפוי,adjectives,4.8
2604,llawr,גג,nouns,0.9
2605,hyder,גישה,nouns,0.95
2606,bricsen,קיר,nouns,1.45
2607,deilen,נבט,nouns,1.5
2608,gwddf,גב,nouns,1.2
2609,yn hapus,בבטחה,adverbs,0.3
2610,methu,להפסיד,verbs,3.2
2611,hurt,טיפשי,adjectives,4.65
2612,dillad,בד,nouns,1.55
2613,siarad,לאשר,verbs,0.5
2614,anghenus,חסר ביטחון,adjectives,1.05
2615,seremoni,חגיגה,nouns,2.65
2616,oriel,עורך דין,nouns,0.0
2617,hafaliad,נוסחה,nouns,4.5
2618,medrydd,מכונית,nouns,0.45
2619,anaml,נדיר,adjectives,1.55
2620,pen,רגל,nouns,0.75
2621,yn anghywir,בדיוק,adverbs,0.5
2622,glân,מסודר,adjectives,2.65
2623,gwn,אנשים,nouns,0.35
2624,enwogrwydd,עושר,nouns,1.2
2625,yn ddelfrydol,באופן מציאותי,adverbs,0.95
2626,dyfnder,גודל,nouns,1.55
2627,cuddwisgo,לכסות,verbs,2.5
2628,cymdeithas,תרבות,nouns,1.35
2629,dod â,להגיע,verbs,1.2
2630,cyfreithlon,לא חוקי,adjectives,0.55
2631,alcohol,בירה,nouns,2.5
2632,hyder,עצמי,nouns,0.4
2633,hir,צר,adjectives,1.1
2634,dirprwy,קצין,nouns,1.6
2635,cyhoeddi,להצהיר,verbs,4.55
2636,penelin,קרסול,nouns,1.4
2637,cynhesu,חימום מחדש,nouns,2.9
2638,mawr,ענק,adjectives,3.9
2639,tafod,גרון,nouns,0.75
2640,benthyg,למכור,verbs,0.85
2641,delwedd,השתקפות,nouns,1.25
2642,ymddengys,להפוך,verbs,0.7
2643,ymholi,לחשוב,verbs,1.15
2644,balchder,שמחה,nouns,1.85
2645,dadlau,לשכנע,verbs,1.75
2646,glaswellt,שורש,nouns,0.85
2647,cyfnos,ערב,nouns,3.55
2648,anhygoel,רגיל,adjectives,0.4
2649,dirywio,לנגב,verbs,0.3
2650,gwestai,חבר,nouns,1.35
2651,pen-blwydd,שנה,nouns,1.15
2652,pîn-afal,טלפון סללורי,nouns,0.0
2653,emosiwn,מצב רוח,nouns,2.8
2654,pledio,להתחנן,verbs,4.3
2655,arferol,משונה,adjectives,0.5
2656,cosbi,להכות,verbs,1.4
2657,digwydd,לעשות,verbs,1.0
2658,chwipio,להכות,verbs,3.15
2659,moleciwl,מטריצה,nouns,0.25
2660,rhan,תקופה,nouns,4.0
2661,gwenynen,מלכה,nouns,0.65
2662,stêc,בשר,nouns,3.3
