ID,FIN,RUS,PoS,score
2085,käsivarsi,тело,nouns,1.2
2086,polvi,кость,nouns,1.25
2087,lentoperämies,кокпит,nouns,0.45
2088,mansikka,вишня,nouns,1.15
2089,vaimo,цент,nouns,0.0
2090,selvin päin oleva,пьяный,adjectives,0.25
2091,ikä,красота,nouns,0.4
2092,tunnelma,загрязнение,nouns,0.4
2093,varakkuus,репутация,nouns,0.25
2094,jättää,появляться,verbs,0.05
2095,normaali,ненормальный,adjectives,0.25
2096,sykloni,тайфун,nouns,4.25
2097,aurinko,небо,nouns,1.0
2098,sallia,опровергать,verbs,0.3
2099,varmasti,очевидно,adverbs,3.35
2100,rauhallisesti,мирно,adverbs,4.4
2101,pujotella,завязать,verbs,0.6
2102,painava,груженный,adjectives,2.05
2103,runsaus,изобилие,nouns,4.95
2104,suorittaa loppuun,откладывать,verbs,0.25
2105,naida,присоединиться,verbs,0.85
2106,magma,вулкан,nouns,1.45
2107,kampus,университет,nouns,2.25
2108,kestävyys,цветок,nouns,0.0
2109,ajatella,помнить,verbs,0.85
2110,passiivisesti,активно,adverbs,0.25
2111,juusto,хлеб,nouns,0.85
2112,kauneus,сонет,nouns,0.15
2113,illuusio,реальность,nouns,0.5
2114,ottaa,оставлять,verbs,0.45
2115,ravistaa,собирать,verbs,0.1
2116,artikkeli,книга,nouns,1.3
2117,poliitikko,полицейский,nouns,0.45
2118,mennä,посылать,verbs,0.15
2119,kori,мяч,nouns,0.55
2120,presidentti,политик,nouns,2.65
2121,punainen,синий,adjectives,0.65
2122,mestari,победитель,nouns,4.1
2123,varastaa,покупать,verbs,0.3
2124,juuri,трава,nouns,0.85
2125,takaosa,хвост,nouns,0.8
2126,sää,снег,nouns,0.95
2127,hävitä ,находить,verbs,0.15
2128,jännittävä,скучный,adjectives,0.25
2129,behaviorismi,терапия,nouns,0.6
2130,nõyrästi,гордо,adverbs,0.3
2131,vaatetettu,покрытый,adjectives,1.5
2132,helppo,гибкий,adjectives,1.5
2133,nuori,неугомонный,adjectives,0.55
2134,diodi,конденсатор,nouns,1.35
2135,voittaa,отбивать,verbs,1.5
2136,tuomioistuin,судья,nouns,1.45
2137,puutavara,бревно,nouns,3.05
2138,hullu,безумный,adjectives,4.9
2139,gini,виски,nouns,1.85
2140,hengellinen,бестелесный,adjectives,2.9
2141,ruma,беспорядочный,adjectives,0.45
2142,pyörä,кожа,nouns,0.0
2143,viestiä,молиться,verbs,0.35
2144,satama,обертка,nouns,0.1
2145,vaikea,простой,adjectives,0.2
2146,kirjailija,роман,nouns,0.85
2147,koettaa,намереваться,verbs,2.5
2148,motelli,гостиница,nouns,4.0
2149,iho,велосипед,nouns,0.0
2150,laulaja,актер,nouns,1.15
2151,suu,нос,nouns,1.2
2152,rakentaminen,разрушение,nouns,0.35
2153,töykeä,критичный,adjectives,0.6
2154,turvallisuus,комфорт,nouns,0.75
2155,saada kiinni,получать,verbs,0.75
2156,nyt,здесь,adverbs,0.85
2157,virallisesti,сильно,adverbs,0.45
2158,mellakka,рисование,nouns,0.0
2159,teema,книга,nouns,0.7
2160,leveä,свежий,adjectives,0.0
2161,käsivarsi,колено,nouns,1.0
2162,puristaa,обнимать,verbs,0.75
2163,vedota,умолять,verbs,3.45
2164,rauhallisesti,тонко,adverbs,0.55
2165,onnekas,пристыженный,adjectives,0.05
2166,hankkia,получать,verbs,2.35
2167,liikkua,ткать,verbs,0.55
2168,moninkertainen,дважды,adverbs,0.85
2169,ihmiset,партия,nouns,1.0
2170,aamiainen,ужин,nouns,1.15
2171,museo,mинт,nouns,0.0
2172,biotooppi,биология,nouns,0.95
2173,olut,алкоголь,nouns,2.5
2174,selventää,определять,verbs,3.4
2175,rukoilla,общаться,verbs,0.35
2176,mies,охранник,nouns,1.65
2177,ottaa,доставлять,verbs,0.35
2178,anatomia,биология,nouns,1.9
2179,odottaa,оставаться,verbs,1.3
2180,vaikutelma,мнение,nouns,2.25
2181,riisi,курятина,nouns,0.6
2182,haluta,выбирать,verbs,0.7
2183,kiistellä,жаловаться,verbs,1.0
2184,hitti,рамка,nouns,0.0
2185,jälkeen,до,adverbs,0.2
2186,tehdä,прекращать,verbs,0.35
2187,kapteeni,моряк,nouns,2.15
2188,luu,мускул,nouns,0.75
2189,kana,рис,nouns,0.6
2190,järjestys,меню,nouns,0.55
2191,vaihto,валюта,nouns,0.5
2192,oksentaa,закрыть,verbs,0.0
2193,ilmailuelektroniikka,воздухоплавание,nouns,1.45
2194,vihollinen,противник,nouns,3.5
2195,pujotella,двигаться,verbs,0.55
2196,sydän,операция,nouns,0.7
2197,kylpy,шар,nouns,0.05
2198,kriketti,сторонник,nouns,0.0
2199,synnintekijä,святой,nouns,0.35
2200,seinä,замок,nouns,0.55
2201,sekoitettu,старый,adjectives,0.0
2202,koriste,стена,nouns,0.75
2203,temppu,игра,nouns,0.9
2204,kylpy,комната,nouns,0.8
2205,puolustaa,убивать,verbs,0.2
2206,tuore,новый,adjectives,4.0
2207,usein,иногда,adverbs,0.85
2208,järjestäytynyt,беспорядочный,verbs,0.2
2209,mainitsematon,внебрачный,adjectives,0.05
2210,partneri,мальчик,nouns,0.85
2211,huomauttaa,критиковать,verbs,1.85
2212,kääpiömäinen,коротковатый,adjectives,2.7
2213,luostari,душ,nouns,0.0
2214,valmiudet,сила,nouns,1.65
2215,keskinkertainen,плохой,adjectives,0.65
2216,valinta,вена,nouns,0.0
2217,tytär,отец,nouns,1.0
2218,ylpeä,сильный,adjectives,0.8
2219,vitamiini,железо,nouns,0.85
2220,raaka,уродливый,adjectives,0.9
2221,käsivarsi,плечо,nouns,1.55
2222,metalliseos,сталь,nouns,2.65
2223,setä,тетя,nouns,1.2
2224,heikko,пряный,adjectives,0.0
2225,terminaalisesti,в основном,adverbs,0.3
2226,vaatteet,пальто,nouns,1.95
2227,leipä,мясо,nouns,0.65
2228,hyväksyä,отвергать,verbs,0.25
2229,omena,сок,nouns,0.85
2230,alkuperäisesti,творчески,adverbs,0.45
2231,anteliaasti,никогда,adverbs,0.05
2232,lyödä,выиграть,verbs,1.5
2233,viikonloppu,гонка,nouns,0.0
2234,peitetty,непокрытый,adjectives,0.25
2235,kääntäjä,иностранец,nouns,0.35
2236,talo,квартира,nouns,3.85
2237,kirja,эссе,nouns,1.8
2238,ravistaa,размешать,verbs,1.55
2239,onnellinen,рассерженный,adjectives,0.25
2240,massiivinen,астрономический,adjectives,1.25
2241,töykeä,громкий,adjectives,0.95
2242,lusikka,сок,nouns,0.25
2243,saada kiinni,выпускать,verbs,0.25
2244,kypsentää,микшировать,verbs,0.35
2245,kynsi,палец,nouns,1.55
2246,ruokavalio,яблоко,nouns,0.65
2247,koodi,символ,nouns,1.85
2248,kuukausipalkka,деньги,nouns,2.45
2249,kahdesti,всегда,adverbs,0.45
2250,nurkka,область,nouns,0.5
2251,hanska,мяч,nouns,0.15
2252,veri,плоть,nouns,1.05
2253,tieto,книга,nouns,1.1
2254,reikä,жена,nouns,0.0
2255,strategi,комбинатор,nouns,2.25
2256,halpa,недорогой,adjectives,4.9
2257,joustava,крупный,adjectives,0.2
2258,eläin,человек,nouns,0.6
2259,vahvasti,официально,adverbs,0.45
2260,ulospäinsuuntautunut,приходящий,adjectives,0.2
2261,henkiolento,фонарь,nouns,0.2
2262,virkapuku,вязание,nouns,0.2
2263,suoli,хладнокровие,nouns,1.35
2264,leiri,домик,nouns,0.85
2265,rankka,легкий,adjectives,0.3
2266,tapaus,аппара́тное обеспече́ние,nouns,0.15
2267,lopettaa,делать,verbs,0.35
2268,hauska,серьезный,adjectives,0.3
2269,mehu,молочный коктейль,nouns,0.9
2270,makuuhuone,велосипед,nouns,0.0
2271,verho,карниз,nouns,0.4
2272,perustella,подтверждать,verbs,2.4
2273,poika,рис,nouns,0.0
2274,emolevy,главная плата,nouns,3.8
2275,vahvuus,выносливость,nouns,3.4
2276,tuomita,решать,verbs,1.5
2277,talo,ключ,nouns,0.6
2278,joskus,конечно,adverbs,0.3
2279,taistella,противоречить,verbs,0.8
2280,tammi,клен,nouns,1.35
2281,presidentti,загрязнение,nouns,0.0
2282,kapea,белый,adjectives,0.0
2283,nauttia,ненавидеть,verbs,0.15
2284,seinä,кирпич,nouns,0.9
2285,moittia,лгать,verbs,0.15
2286,kiistellä,посещать,verbs,0.15
2287,nilkka,локоть,nouns,0.95
2288,kylpyhuone,спальня,nouns,1.4
2289,onnellinen,злой,adjectives,0.2
2290,tehtävä,женщина,nouns,0.0
2291,vaarallisesti,внимательно,adverbs,0.15
2292,sensuuri,свобода,nouns,0.4
2293,väärä,точный,adjectives,0.05
2294,sähköinen,сладкий,adjectives,0.0
2295,kohde,стрела,nouns,0.55
2296,hirviö,демон,nouns,4.4
2297,sekunti,минута,nouns,1.65
2298,aktiivisesti,пассивно,adverbs,0.25
2299,universumi,небо,nouns,1.05
2300,tanko,флаг,nouns,0.7
2301,keskustella,объяснять,verbs,1.3
2302,sade,морось,nouns,4.2
2303,työnantaja,работник,nouns,1.25
2304,älypuhelin,ананас,nouns,0.0
2305,sanoa,подтверждать,verbs,0.8
2306,puumateriaali,одеяло,nouns,0.0
2307,sotkuinen,чистый,adjectives,0.2
2308,ajatella,обосновывать,verbs,2.05
2309,vanhempi,отец,nouns,3.55
2310,luoda,рисовать,verbs,1.35
2311,piispa,мусульман,nouns,0.3
2312,veikata,рисковать,verbs,2.8
2313,tietää,давать,verbs,0.35
2314,mäki,утес,nouns,2.1
2315,ratkaisematon,нейтральный,adjectives,0.65
2316,osavaltio,дом,nouns,0.3
2317,romahtaa,ударяться,verbs,0.5
2318,epäreilu,жестокий,adjectives,1.75
2319,elämäkerta,роман,nouns,1.0
2320,seistä,ходить,verbs,0.45
2321,oppimaton,обычный,adjectives,0.05
2322,vanha,свежий,adjectives,0.25
2323,häiritä,беспокоить,verbs,3.55
2324,merkittävä,незначительный,adjectives,0.25
2325,letku,автомобиль,nouns,0.4
2326,kangas,лен,nouns,2.3
2327,päivämäärä,юбилей,nouns,2.85
2328,saada selville,происходить,verbs,0.2
2329,etikka,салат,nouns,0.5
2330,vilpittömästi,серьезно,adverbs,1.15
2331,saari,принцесса,nouns,0.0
2332,haavoittuvainen,удобный,adjectives,0.05
2333,rakenne,топология,nouns,2.55
2334,nopeasti,срочно,adverbs,4.25
2335,mehu,ложка,nouns,0.25
2336,lonkka,губа,nouns,0.95
2337,asetyylikoliini,ирис,nouns,0.15
2338,kalkkuna,птица,nouns,2.55
2339,hevonen,жеребенок,nouns,2.9
2340,elokuva,кинолента,nouns,4.75
2341,akustiikka,звук,nouns,2.6
2342,kuvitus,волдырь,nouns,0.0
2343,katto,пол,nouns,0.75
2344,ilmiselvästi,локально,adverbs,0.0
2345,vastustaja,соперник,nouns,3.5
2346,metsästää,искать,verbs,1.75
2347,työntää,тянуть,verbs,0.55
2348,ankara,жестокий,adjectives,2.1
2349,yhtenäisesti,иногда,adverbs,0.1
2350,ansaita,заслуживать,verbs,3.05
2351,nykyään,на днях,adverbs,0.95
2352,pesäpallo,баскетбол,nouns,1.6
2353,lentokenttä,кусок,nouns,0.0
2354,työkalu,работа,nouns,0.7
2355,vesi,соль,nouns,0.3
2356,heppu,бабник,nouns,1.0
2357,vika,система,nouns,0.15
2358,pala,аэропорт,nouns,0.0
2359,silmä,бровь,nouns,0.85
2360,supistaa,опустить,verbs,1.0
2361,automobiili,машина,nouns,5.85
2362,katu,автомобиль,nouns,0.6
2363,dyyni,пустыня,nouns,1.8
2364,piirustus,бунт,nouns,0.0
2365,sopivuussäännöt,правило,nouns,1.7
2366,kahva,белок,nouns,0.0
2367,papu,бекон,nouns,0.3
2368,minkki,мех,nouns,2.0
2369,ottaa osaa,сотрудничать,verbs,2.3
2370,pitää,лелеять,verbs,1.7
2371,pölytys,тычинка,nouns,1.3
2372,luokka,беспорядок,nouns,0.1
2373,vihainen,счастливый,adjectives,0.2
2374,ruoho,корень,nouns,0.85
2375,päivällinen,курятина,nouns,0.95
2376,turvallinen,легальный,adjectives,1.25
2377,mieto,средний,adjectives,0.7
2378,saalis,бог,nouns,0.15
2379,salata,покрывать,verbs,3.15
2380,prinsessa,остров,nouns,0.0
2381,ajoneuvo,автобус,nouns,2.45
2382,käsivarsi,кость,nouns,1.15
2383,apuraha,обучение,nouns,0.65
2384,laittaa,давать,verbs,0.8
2385,antelias,дружелюбный,adjectives,2.2
2386,viaton,свободный,adjectives,0.3
2387,mahdoton,возможный,adjectives,0.35
2388,dia,указатель,nouns,0.0
2389,kynä,сказка,nouns,0.2
2390,matto,дом,nouns,0.65
2391,hyökkäys,блицкриг,nouns,3.65
2392,kristalli,стекло,nouns,2.75
2393,kieli,горло,nouns,1.2
2394,sana,страница,nouns,0.55
2395,sivilisaatio,образ жизни,nouns,0.8
2396,vartiomies,человек,nouns,1.65
2397,pilvi,окно,nouns,0.2
2398,filosofi,разгон,nouns,0.0
2399,varma,убежденный,adjectives,2.15
2400,tie,шоссе,nouns,4.4
2401,viskositeetti,всплеск,nouns,0.5
2402,paperi,дерево,nouns,1.15
2403,magistraatti,судья,nouns,1.2
2404,teeskennellä,лгать,verbs,3.05
2405,tylsä,скучающий,adjectives,2.35
2406,mulkoilla,щуриться,verbs,0.9
2407,kuppi,ложка,nouns,1.0
2408,näytös,математик,nouns,0.0
2409,kuunnella,подчиняться,verbs,1.2
2410,erityinen,ценный,adjectives,2.35
2411,lohduttaa,унижать,verbs,0.05
2412,virsi,библия,nouns,1.5
2413,sielu,брат,nouns,0.5
2414,vetäytyä,поглощать,verbs,0.35
2415,kylpy,шалость,nouns,0.0
2416,leuka,кость,nouns,1.25
2417,huone,камера,nouns,1.25
2418,pitää,давать,verbs,0.3
2419,ladata,презирать,verbs,0.15
2420,hauskuus,игра,nouns,1.1
2421,johdin,шнур,nouns,4.0
2422,taivas,солнце,nouns,1.0
2423,työläinen,фотоаппарат,nouns,0.3
2424,säikähtänyt,в восторге,adjectives,0.15
2425,pöly,метла,nouns,1.0
2426,neuropsykologia,парапсихология,nouns,1.65
2427,raaja,нога,nouns,3.2
2428,tulivuori,магма,nouns,1.45
2429,vetolaatikko,одежда,nouns,0.45
2430,uusi,недавний,adjectives,2.7
2431,moderni,старинный,adjectives,0.25
2432,mies,воин,nouns,1.35
2433,lisätä,умножать,verbs,0.9
2434,saari,полуостров,nouns,1.25
2435,pitää päällä,разъедать,verbs,0.0
2436,kaatua,ушибить,verbs,0.8
2437,brandy,алкоголь,nouns,2.5
2438,tukehtua,убивать,verbs,1.6
2439,kritisoida,замечать,verbs,1.85
2440,vieras,друг,nouns,1.0
2441,tehdä tutkimusmatka,игнорировать,verbs,0.0
2442,lainata,нищенствовать,verbs,0.8
2443,hiljaisesti,естественно,adverbs,0.2
2444,infektio,сгибание,nouns,0.0
2445,ystävä,мать,nouns,1.0
2446,sivuuttaa,забывать,verbs,2.0
2447,uskomattomasti,значительно,adverbs,0.85
2448,kova,прочный,adjectives,3.05
2449,kunnossa oleva,посредственный,adjectives,0.65
2450,kouluttaa,учиться,verbs,1.1
2451,typerä,упрямый,adjectives,0.7
2452,kilpi,щит,nouns,2.85
2453,juoksija,спортсмен,nouns,2.45
2454,yllättää,праздновать,verbs,0.1
2455,haukka,птица,nouns,2.5
2456,pallo,перчатка,nouns,0.15
2457,helikopteri,самолет,nouns,1.7
2458,tylsä,захватывающий,adjectives,0.25
2459,tekijä,создатель,nouns,4.15
2460,puumateriaali,бумага,nouns,1.15
2461,kohta,страница,nouns,0.65
2462,fraasi,слово,nouns,1.4
2463,täysin,минимально,adverbs,0.15
2464,järvi,болото,nouns,1.0
2465,pää,плечо,nouns,0.75
2466,koti,государство,nouns,0.3
2467,mieletön,счастливый,adjectives,0.25
2468,sitoa,ткать,verbs,0.6
2469,siemailla,глотать,verbs,2.3
2470,opettaja,ученик,nouns,1.0
2471,televisio,коммуникация,nouns,1.65
2472,pallo,пушка,nouns,0.6
2473,sulautua,бить,verbs,0.05
2474,purra,читать,verbs,0.0
2475,laaja,узкий,adjectives,0.2
2476,alusvaatteet,тело,nouns,0.3
2477,viha,настроение,nouns,0.95
2478,luonnollisesti,неестественно,adverbs,0.25
2479,toimeksianto,примечание,nouns,0.85
2480,varastaa,давать,verbs,0.15
2481,paperi,картон,nouns,3.0
2482,osua,целиться,verbs,1.05
2483,äänekäs,грубый,adjectives,0.95
2484,laturi,диск,nouns,0.65
2485,kypärä,оружие,nouns,0.75
2486,arkki,самолет,nouns,0.0
2487,nälkäinen,усталый,adjectives,0.4
2488,vapista,замерзать,verbs,1.05
2489,osoitin,слайд,nouns,0.0
2490,suojella,хранить,verbs,1.3
2491,hakusana,синтаксис,nouns,0.7
2492,kyynärpää,лодыжка,nouns,0.95
2493,naida,обручаться,verbs,1.9
2494,tuonpuoleinen,чистилище,nouns,1.85
2495,sitoumus,назначение,nouns,0.8
2496,kertolasku,деление,nouns,1.2
2497,väkijoukko,орава,nouns,4.6
2498,henkilökohtainen,интимный,adjectives,4.05
2499,tuoli,кровать,nouns,0.7
2500,kirsikka,клубника,nouns,1.15
2501,ovi,ворота,nouns,3.45
2502,omistaa,хранить,verbs,1.45
2503,sinappi,зерно,nouns,1.25
2504,kadenssi,ритм,nouns,1.0
2505,appelsiini,цитрус,nouns,4.05
2506,varastaa,брать,verbs,1.2
2507,onnellinen,радостный,adjectives,4.0
2508,paha,безнравственный,adjectives,2.75
2509,sonetti,красота,nouns,0.15
2510,puhua,слышать,verbs,0.45
2511,mennä,приходить,verbs,1.05
2512,hypoteesi,теория,nouns,3.6
2513,kevät,гейзер,nouns,0.1
2514,niska,кость,nouns,0.9
2515,tulla,делать,verbs,0.4
2516,varovasti,внимательно,adverbs,3.05
2517,typerä,доверчивый,adjectives,1.05
2518,olla tunnustamatta,запускать,verbs,0.3
2519,ruoka,программа,nouns,0.25
2520,yksinkertaisesti,видимо,adverbs,0.75
2521,herttua,республика,nouns,0.35
2522,ennustaa,определять,verbs,0.85
2523,valtava,тупой,adjectives,0.0
2524,arkeologia,антропология,nouns,1.15
2525,valmentaja,игрок,nouns,0.8
2526,luopua,подавлять,verbs,0.35
2527,tehdä tutkimusmatka,обнаруживать,verbs,1.55
2528,auto,карета,nouns,1.15
2529,yrittää,убеждать,verbs,0.4
2530,mekaanikko,работник,nouns,2.2
2531,outo,странный,adjectives,5.2
2532,pullo,банка,nouns,1.9
2533,miellyttää,ладить,verbs,1.1
2534,radikaali,агрессивный,adjectives,1.35
2535,suorittaa,приветствовать,verbs,0.7
2536,vaeltaa,искать,verbs,1.05
2537,ennakkoluulo,шовинист,nouns,1.1
2538,lehmä,скот,nouns,2.75
2539,hyväksyä,верить,verbs,1.05
2540,kuolema,трагедия,nouns,1.55
2541,maja,домик,nouns,3.25
2542,pilli,жена,nouns,0.0
2543,hallinto,управление,nouns,3.9
2544,jättää,присоединиться,verbs,0.05
2545,löytää,обнаруживать,verbs,4.45
2546,ase,сержант,nouns,0.5
2547,pitkä,узкий,adjectives,0.5
2548,kypsä,изысканный,adjectives,0.8
2549,lävistää,ущипнуть,verbs,0.85
2550,äänekkäästi,мягко,adverbs,0.05
2551,moraaliton,плохой,adjectives,2.75
2552,pikkuruinen,огромный,adjectives,0.2
2553,kadottaa,вычитать,verbs,0.6
2554,hurskaasti,зрело,adverbs,0.5
2555,keittää,жарить,verbs,1.4
2556,ilmailu,полет,nouns,1.95
2557,saapua,покидать,verbs,0.15
2558,presidentti,фотоаппарат,nouns,0.1
2559,puu,лодка,nouns,0.55
2560,ylpeys,радость,nouns,1.6
2561,juhlapäivä,календарь,nouns,0.8
2562,kadota,исчезать,verbs,5.25
2563,sytoplasma,цифра,nouns,0.0
2564,kaava,журнал,nouns,0.2
2565,leidi,господин,nouns,1.4
2566,uida,встретить,verbs,0.0
2567,monarkia,демократия,nouns,0.85
2568,nokkela,тупой,adjectives,0.25
2569,karkea,равнодушный,adjectives,0.35
2570,selittää,прояснять,verbs,3.65
2571,tunne,страсть,nouns,2.6
2572,rohkaista,отговаривать,verbs,0.25
2573,tauti,инфекция,nouns,3.3
2574,rehellinen,виноватый,adjectives,0.05
2575,sää,облако,nouns,0.95
2576,suola,вода,nouns,0.3
2577,kuolema,погребение,nouns,1.3
2578,omena,диета,nouns,0.65
2579,märkä,липкий,adjectives,0.9
2580,liha,говядина,nouns,3.0
2581,pohja,кислота,nouns,0.05
2582,yhdistää,связывать,verbs,3.1
2583,velho,кабель,nouns,0.0
2584,käsittää,читать,verbs,0.95
2585,päivä,ночь,nouns,0.7
2586,ovi,коридор,nouns,0.65
2587,kasvaa,сжиматься,verbs,0.2
2588,perhonen,роза,nouns,0.45
2589,laimilyödä,отрекаться,verbs,0.3
2590,vakuuttaa,спорить,verbs,1.15
2591,köyhä,одинокий,adjectives,0.35
2592,lentokone,простынь,nouns,0.0
2593,jättää,забирать,verbs,0.45
2594,laskuoppi,логика,nouns,1.3
2595,kuja,шар,nouns,0.0
2596,nuori,счастливый,adjectives,0.15
2597,normaalisti,ненормально,adverbs,0.2
2598,säästää,уничтожить,verbs,0.2
2599,ennuste,облачность,nouns,0.95
2600,ranta,риф,nouns,0.95
2601,muistuttaa,сказать,verbs,1.25
2602,ase,шлем,nouns,0.75
2603,kynsi,шляпка,nouns,1.2
2604,virsi,солома,nouns,0.1
2605,katastrofi,смерть,nouns,1.15
2606,säilyttää,забывать,verbs,0.1
2607,varoittaa,останавливаться,verbs,0.25
2608,puutarha,шланг,nouns,0.65
2609,käsivarsi,вена,nouns,0.65
2610,kapea,широкий,adjectives,0.25
2611,varmasti,явно,adverbs,2.95
2612,niemimaa,остров,nouns,1.25
2613,puro,река,nouns,2.3
2614,ei koskaan,честно говоря,adverbs,0.0
2615,kausi,зима,nouns,1.6
2616,tohtori,самообладание,nouns,0.15
2617,kieltäytyä,отклонять,verbs,2.75
2618,ajatella,спрашивать,verbs,0.65
2619,kylpy,жена,nouns,0.0
2620,puu,лист,nouns,1.2
2621,saari,пляж,nouns,0.8
2622,putka,клетка,nouns,0.4
2623,kritiikki,спор,nouns,0.95
2624,vankila,выбор,nouns,0.0
2625,puuvilla,свитер,nouns,0.9
2626,lamppu,джинн,nouns,0.2
2627,tavallinen,потрясающий,adjectives,0.3
2628,päivittäin,обычно,adverbs,1.5
2629,jättää,входить,verbs,0.0
2630,näkö,восприятие,nouns,3.95
2631,kuukausi,август,nouns,2.7
2632,käytävä,дверь,nouns,0.65
2633,kiireinen,ленивый,adjectives,0.2
2634,jäytää,разрешать,verbs,0.0
2635,alumiini,металл,nouns,2.4
2636,silmä,слеза,nouns,0.95
2637,voittaa,доминировать,verbs,1.35
2638,auringonlasku,строка,nouns,0.0
2639,jaardi,метр,nouns,2.25
2640,syntymäpäivä,год,nouns,1.1
2641,uskomus,впечатление,nouns,2.25
2642,käydä sisään,задолжать,verbs,0.0
2643,odottaa,покидать,verbs,0.25
2644,kiistellä,требовать,verbs,0.8
2645,todistaa,судить,verbs,0.3
2646,epäreilusti,довольно,adverbs,0.3
2647,vartalo,нерв,nouns,0.8
2648,julistaa,объявлять,verbs,4.6
2649,hame,часы,nouns,0.1
2650,elää,выживать,verbs,2.1
2651,auto,подъемник,nouns,0.45
2652,ei koskaan,отрицательный,adjectives,1.45
2653,sopimus,спор,nouns,0.45
2654,tulla sisään,идти,verbs,0.95
2655,näkökulma,расстояние,nouns,0.45
2656,sijainen,офицер,nouns,1.35
2657,analysoida,сравнивать,verbs,2.65
2658,täysikasvuinen,незрелый,adjectives,0.25
2659,epäluonnollisesti,естественно,adverbs,0.25
2660,koditon,миллиардер,nouns,0.2
2661,huomattava,очевидный,adjectives,2.45
2662,lautanen,миска,nouns,2.85
2663,putka,пруток,nouns,0.1
2664,vanha,смешанный,adjectives,0.0
2665,tila,злость,nouns,0.95
2666,luu,челюсть,nouns,1.25
2667,hallita,останавливать,verbs,0.4
2668,miljardööri,бездомный,nouns,0.2
2669,sänky,стул,nouns,0.7
2670,antaa,держать,verbs,0.3
2671,sonni,теленок,nouns,2.25
2672,maksu,платеж,nouns,3.8
2673,lumilauta,лыжи,nouns,1.45
2674,piirakka,шоколад,nouns,0.7
2675,shamppanja,пиво,nouns,1.15
2676,vartalo,желудок,nouns,1.75
2677,kielenkäyttö,общение,nouns,1.6
2678,mahdollisesti,скорее всего,adverbs,3.35
2679,tieto,энтропия,nouns,0.15
2680,tukahduttaa,обнимать,verbs,0.55
2681,ehdokas,победитель,nouns,0.95
2682,sisäkatto,пол,nouns,0.95
2683,sentti,народ,nouns,0.05
2684,vetäytyä,отвергать,verbs,1.5
2685,temppu,размер,nouns,0.05
2686,valmistaa,разрушать,verbs,0.25
2687,torjua,избирать,verbs,0.1
2688,vartalo,кровь,nouns,0.9
2689,älykkyys,невежество,nouns,0.45
2690,hakija,приложение,nouns,0.6
2691,paraati,оркестр,nouns,0.65
2692,kirkko,хор,nouns,0.95
2693,tietty,бесспорный,adjectives,2.15
2694,merkittävästi,серьезно,adverbs,1.6
2695,tavata,плавать,verbs,0.0
2696,hävitä,сжиматься,verbs,1.25
2697,mutantti,социобиология,nouns,0.25
2698,voittaja,чемпион,nouns,4.1
2699,takki,одежда,nouns,1.95
2700,poissaolo,пристуствие,nouns,0.45
2701,keskustelu,высота,nouns,0.0
2702,kilpaileminen,философ,nouns,0.0
2703,tyhmä,редкий,adjectives,0.0
2704,professori,студент,nouns,0.8
2705,innostunut,испуганный,adjectives,0.15
2706,loistava,отличный,adjectives,4.3
2707,partneri,парень,nouns,1.35
2708,virka,скорость,nouns,0.0
2709,kestävyys,сила,nouns,3.4
2710,uskomaton,обычный,adjectives,0.3
2711,arvovalta,богатство,nouns,0.25
2712,auringonpaiste,луч,nouns,1.7
2713,niukasti,грубо,adverbs,0.05
2714,monitori,экран,nouns,4.8
2715,metri,ярд,nouns,2.25
2716,neste,сопло,nouns,0.05
2717,fonologia,экран,nouns,0.1
2718,päällikkö,мэр,nouns,2.4
2719,totella,слушать,verbs,1.2
2720,murehtia,тратить,verbs,0.05
2721,kellua,петь,verbs,0.05
2722,linja-auto,таксомотор,nouns,1.25
2723,iso,крупный,adjectives,5.55
2724,mielipide,выбор,nouns,0.95
2725,kulta,цинк,nouns,0.9
2726,arvosana,школа,nouns,0.85
2727,laskeutua,уменьшаться,verbs,0.35
2728,mies,отец,nouns,2.0
2729,ajaa,шаркать,verbs,0.55
2730,kirkko,собор,nouns,3.95
2731,lattia,дверь,nouns,0.75
2732,fiksu,тупой,adjectives,0.35
2733,koira,лошадь,nouns,0.95
2734,hyväksyä,признавать,verbs,2.95
2735,koko,цент,nouns,0.95
2736,marihuana,трава,nouns,2.35
2737,epäonnistua,преуспевать,verbs,0.2
2738,pihvi,курятина,nouns,0.95
2739,rakentaa,добавлять,verbs,0.7
2740,kilpailla,заканчивать,verbs,0.2
2741,lukukausi,срок,nouns,1.1
2742,elokuva,театр,nouns,0.75
2743,kaaos,урок,nouns,0.1
2744,sormi,ладонь,nouns,0.5
2745,epäaito,настоящий,adjectives,0.35
2746,tähti,астероид,nouns,1.85
2747,pitkäveteinen,посредственный,adjectives,1.65
2748,ymmärtää,прощать,verbs,1.55
2749,vapaus,оазис,nouns,0.1
2750,elokuvateatteri,опера,nouns,0.95
2751,kirja,литература,nouns,2.35
2752,erottaa,прикреплять,verbs,0.2
2753,luoda,делать,verbs,4.3
2754,onnellisesti,смертельно,adverbs,0.1
2755,kastike,яблоко,nouns,0.85
2756,ilmoittaa,информировать,verbs,4.9
2757,elokuvateatteri,попкорн,nouns,0.75
2758,minkki,масло,nouns,0.3
2759,logiikka,интеллект,nouns,2.55
2760,normaalisti,повседневно,adverbs,3.9
2761,vaeltaa,покидать,verbs,0.2
2762,sokeri,мед,nouns,1.5
2763,jalkaterä,кисть,nouns,0.9
