ID,EST,FIN,PoS,score
2035,ekraan,fonologia,nouns,0.2
2036,kahanema,kasvaa,verbs,0.5
2037,domineerima,voittaa,verbs,1.7
2038,kaos,anarkia,nouns,3.25
2039,hiiglasuur,tyhmä,adjectives,0.1
2040,tihti,tuskin koskaan,adverbs,0.5
2041,täielikult,puhtaasti,adverbs,2.5
2042,reisima,mennä,verbs,2.75
2043,eesmärk,etsintä,nouns,0.85
2044,leidma,hankkia,verbs,1.3
2045,liiv,jalkaterä,nouns,0.05
2046,analüüsima,verrata,verbs,2.7
2047,osalema,liittyä,verbs,1.95
2048,hoidma,säilyttää,verbs,3.95
2049,purustamine,rakentaminen,nouns,0.65
2050,klooster,suihku,nouns,0.1
2051,tädi,setä,nouns,1.4
2052,dinosaurus,elefantti,nouns,1.15
2053,kohalikult,ilmiselvästi,adverbs,0.05
2054,valmistaja,luoja,nouns,3.75
2055,kääbuskasvu,pienehkö,adjectives,3.6
2056,uitama,jättää,verbs,0.4
2057,viha,raivo,nouns,4.65
2058,võimalikult,todennäköisesti,adverbs,2.6
2059,rahul,onnellinen,adjectives,3.85
2060,jumal,pappi,nouns,1.15
2061,esik,käytävä,nouns,3.95
2062,hull,hullu,adjectives,4.6
2063,kõht,vartalo,nouns,1.85
2064,vastupidavus,yhtye,nouns,0.15
2065,ilmselt,yksinkertaisesti,adverbs,0.75
2066,elegants,tyyli,nouns,3.75
2067,ehitama,lisätä,verbs,0.9
2068,printsess,saari,nouns,0.0
2069,kaitsma,tappaa,verbs,0.5
2070,lukk,avain,nouns,1.2
2071,sitke,kova,adjectives,2.85
2072,rahu,sotilas,nouns,0.3
2073,haiget tegema,järkyttää,verbs,1.35
2074,vaenulikkus,aggressio,nouns,4.4
2075,küsima,rukoilla,verbs,1.4
2076,iidne,moderni,adjectives,0.5
2077,imiteerima,kaapata,verbs,0.55
2078,ilu,ikä,nouns,0.5
2079,kott,käsilaukku,nouns,3.75
2080,elevant,kompassi,nouns,0.6
2081,pahkluu,ikkuna,nouns,0.0
2082,lahutama,kadottaa,verbs,1.0
2083,mees,nainen,nouns,1.0
2084,abitu,haavoittuvainen,adjectives,3.8
2085,vihmavari,kaliiperi,nouns,0.05
2086,nurk,alue,nouns,0.75
2087,pilvelõhkuja,palatsi,nouns,1.25
2088,paat,kansi,nouns,0.55
2089,pingutus,vaikeus,nouns,2.15
2090,analüüsima,arvioida,verbs,3.7
2091,unustama,tietää,verbs,0.35
2092,hajuma,jäytää,verbs,0.85
2093,hiljutine,uusi,adjectives,3.7
2094,globalism,viisumi,nouns,0.75
2095,õnnelikult,turvallisesti,adverbs,1.3
2096,arst,ortodontti,nouns,2.7
2097,leht,puu,nouns,1.3
2098,plärtsatus,viskositeetti,nouns,0.4
2099,rikkumata,vaatimaton,adjectives,0.85
2100,piitsutama,lyödä,verbs,3.0
2101,tõld,auto,nouns,1.45
2102,raamat,tarina,nouns,1.8
2103,kuritegu,petos,nouns,3.5
2104,küüs,peukalo,nouns,1.4
2105,laenama,olla velkaa,verbs,1.6
2106,vähk,pahoinvointi,nouns,1.25
2107,hindama,oppia,verbs,0.9
2108,ehitama,luoda,verbs,3.5
2109,paluma,lainata,verbs,1.4
2110,atsetüülkoliin,iiris,nouns,0.5
2111,närviline,pelästynyt,adjectives,2.05
2112,ülesanne,saari,nouns,0.0
2113,üliõpilane,oppilas,nouns,4.45
2114,kohane,muodollinen,adjectives,1.75
2115,kalkun,naaraslintu,nouns,1.75
2116,mäletama,ajatella,verbs,1.45
2117,torm,lumi,nouns,1.3
2118,keha,rintakehä,nouns,2.1
2119,vend,sielu,nouns,0.3
2120,veiseliha,liha,nouns,3.2
2121,kole,sotkuinen,adjectives,1.15
2122,ebatavaline,harvinainen,adjectives,4.75
2123,värske,vanha,adjectives,0.3
2124,naps,yhtye,nouns,0.3
2125,uskumus,arvo,nouns,1.65
2126,hämmastav,likainen,adjectives,0.25
2127,äri,yhtiö,nouns,1.9
2128,elektriline,mekaaninen,adjectives,0.9
2129,vannituba,makuuhuone,nouns,1.75
2130,enamasti,pääasiassa,adverbs,4.5
2131,peatükk,häntä,nouns,0.05
2132,parim,viides,adjectives,0.4
2133,saatma,vastaanottaa,verbs,0.5
2134,vallutus,taistelu,nouns,2.0
2135,kukkuma,sattua,verbs,1.1
2136,liblikas,ruusu,nouns,0.35
2137,kinnitama,perustella,verbs,1.6
2138,sõna,sanomalehti,nouns,1.0
2139,vine,pilvi,nouns,2.6
2140,magamistuba,sänky,nouns,0.95
2141,süsivesik,sakkaroosi,nouns,3.05
2142,küpsis,prinsessa,nouns,0.05
2143,nurk,käyrä,nouns,1.35
2144,mesilane,muurahainen,nouns,1.3
2145,saama,organisoida,verbs,0.35
2146,lõbu,amerikkalainen jalkapallo,nouns,0.55
2147,andma,laittaa,verbs,0.75
2148,nuuksuma,itkeä,verbs,4.0
2149,pöial,kynsi,nouns,1.4
2150,vägivaldne,pehmeä,adjectives,0.1
2151,kõristi,melu,nouns,1.1
2152,õppima,kuunnella,verbs,1.2
2153,kergelt,mukavasti,adverbs,1.5
2154,laskma,sallia,verbs,3.3
2155,kukkuma,kompastua,verbs,2.8
2156,pühkima,heikentyä,verbs,0.1
2157,sale,hoikka,adjectives,5.3
2158,seisund,poika,nouns,0.05
2159,näima,teeskennellä,verbs,1.5
2160,käsi,luu,nouns,1.35
2161,pisar,silmä,nouns,1.15
2162,kavatsema,koettaa,verbs,2.4
2163,kontrollima,pysähtyä,verbs,0.5
2164,karm,helppo,adjectives,0.25
2165,konteiner,hiiri,nouns,0.2
2166,maantee,tie,nouns,4.2
2167,eitama,hyväksyä,verbs,0.35
2168,minema,jättää,verbs,1.15
2169,sõna,kirjallisuus,nouns,1.2
2170,trikk,peli,nouns,1.3
2171,öö,aamunkoitto,nouns,1.45
2172,šampus,olut,nouns,1.25
2173,kotkas,haukka,nouns,2.25
2174,suhkruroog,leikkuupuimuri,nouns,0.55
2175,uks,kellari,nouns,0.7
2176,harima,opettaa,verbs,4.5
2177,konteiner,pullo,nouns,1.85
2178,muuseum,minttu,nouns,0.0
2179,hümn,raamattu,nouns,0.55
2180,munk,pappi,nouns,1.7
2181,passiivselt,aktiivisesti,adverbs,0.4
2182,compass,elefantti,nouns,0.6
2183,leebe,terävä,adjectives,0.15
2184,sihtima,osua,verbs,1.75
2185,kood,symboli,nouns,2.2
2186,aastaeg,talvi,nouns,2.2
2187,kasvama,kutistua,verbs,0.5
2188,printskond,herttuakunta,nouns,2.55
2189,kurb,hauska,adjectives,0.55
2190,slaid,osoitin,nouns,0.05
2191,astronoom,galaksi,nouns,0.95
2192,kuhjatud,painava,adjectives,1.4
2193,ettevaatlikult,vaarallisesti,adverbs,0.25
2194,portreteerima,päättää,verbs,0.4
2195,hea,tunnettu,adjectives,0.3
2196,süüdistama,työntää,verbs,0.25
2197,ilmnema,tapahtua,verbs,1.1
2198,arheoloogia,antropologia,nouns,1.45
2199,koidik,yö,nouns,1.45
2200,vehklemine,voimistelu,nouns,1.65
2201,kaamera,työläinen,nouns,0.1
2202,korvpall,pesäpallo,nouns,1.8
2203,käänamine,infektio,nouns,0.0
2204,positiivselt,todennäköisesti,adverbs,0.85
2205,lõuna,voileipä,nouns,1.25
2206,kandma,toimittaa,verbs,1.65
2207,abikaasa (naine),sentti,nouns,0.05
2208,häll,seimi,nouns,3.6
2209,uskumus,mielipide,nouns,3.1
2210,piin,suru,nouns,2.65
2211,laps,aikuinen,nouns,1.0
2212,kihlus,sormus,nouns,1.15
2213,eraldama,liittää,verbs,0.35
2214,võrrand,kaava,nouns,3.2
2215,küps,hienostonut,adjectives,1.2
2216,diplomaatia,neuvottelu,nouns,2.8
2217,mees,setä,nouns,2.55
2218,andma,lainata,verbs,2.4
2219,palvetama,kysyä,verbs,1.4
2220,raske,helppo,adjectives,0.45
2221,kultuur,yhteiskunta,nouns,2.4
2222,hobune,koira,nouns,1.25
2223,teater,elokuva,nouns,0.95
2224,putukamürk,tuhoeläin,nouns,0.85
2225,aeg-ajalt,säännöllisesti,adverbs,0.95
2226,sammal,ruoho,nouns,1.55
2227,seletama,selventää,verbs,4.35
2228,jumal,saatana,nouns,1.25
2229,puusüsi,hiili,nouns,3.3
2230,vann,ilmapallo,nouns,0.15
2231,tunnistama,hyväksyä,verbs,3.2
2232,teoreem,teoria,nouns,2.85
2233,ülbe,ylpeä,adjectives,2.7
2234,liikuma,pujotella,verbs,0.75
2235,haarama,tarttua,verbs,0.7
2236,laisk,kallisarvoinen,adjectives,0.15
2237,autor,lukija,nouns,1.05
2238,võlts,keinotekoinen,adjectives,4.4
2239,pagas,kiertäminen,nouns,0.6
2240,rahulik,rentoutunut,adjectives,3.7
2241,süsinik,atomi,nouns,1.35
2242,säilitama,jäädä,verbs,1.2
2243,näljane,janoinen,adjectives,1.55
2244,haige,hullu,adjectives,1.45
2245,austus,kunnia,nouns,2.55
2246,algama,mennä,verbs,0.65
2247,meel,neuroosi,nouns,0.95
2248,raam,hitti,nouns,0.25
2249,mees,isä,nouns,2.35
2250,teadma,antaa,verbs,0.15
2251,hommik,päivä ,nouns,1.85
2252,sisenema,jättää,verbs,0.25
2253,süsteemiplaat,emolevy,nouns,3.75
2254,tagasihoidlikult,ylpeästi,adverbs,0.5
2255,ärkama,kuorsata,verbs,0.65
2256,aken,ovi,nouns,1.25
2257,kerge,haavoittuvainen,adjectives,0.3
2258,hoidma,omistaa,verbs,1.75
2259,isiklik,intiimi,adjectives,4.3
2260,liha,pekoni,nouns,3.0
2261,skulptuur,patsas,nouns,5.05
2262,uhke,vahva,adjectives,0.7
2263,hüsteeria,sekaannus,nouns,2.2
2264,kivi,puumateriaali,nouns,0.9
2265,anuma,anoa,verbs,3.6
2266,prohvet,pappi,nouns,1.4
2267,veen,käsivarsi,nouns,0.65
2268,galaktika,sovellus,nouns,0.1
2269,vaidlema,olla erilainen,verbs,0.7
2270,haigla,sänky,nouns,0.7
2271,naarits,öljy,nouns,0.3
2272,pesapall,valmentaja,nouns,0.35
2273,unustama,antaa anteeksi,verbs,0.75
2274,poiss,veli,nouns,2.15
2275,aktiivselt,onnellisesti,adverbs,1.1
2276,diivan,tuoli,nouns,2.0
2277,dollar,miljonääri,nouns,0.75
2278,lapsik,houkkamainen,adjectives,1.2
2279,hämmastavalt,fantastisesti,adverbs,4.85
2280,luuletaja,toimittaja,nouns,1.15
2281,naine,tehtävä,nouns,0.05
2282,oluline,välttämätön,adjectives,4.1
2283,raamat,artikkeli,nouns,1.35
2284,ette kujutama,luoda,verbs,1.35
2285,teavitama,tunnustaa,verbs,1.45
2286,kergeusklik,typerä,adjectives,2.25
2287,kuu,elokuu,nouns,2.25
2288,hävitama,valmistaa,verbs,0.6
2289,ukseava,uloskäynti,nouns,3.4
2290,kass,leijona,nouns,2.1
2291,tüütama,häiritä,verbs,3.7
2292,erinev,normaali,adjectives,0.6
2293,hiir,johtokunta,nouns,0.0
2294,luu,polvi,nouns,1.2
2295,paberraha,korvaus,nouns,0.65
2296,kurbus,häpeä,nouns,1.3
2297,saar,tehtävä,nouns,0.0
2298,lennuk,arkki,nouns,0.15
2299,veenma,kiistellä,verbs,1.4
2300,lahkuma,tulla sisään,verbs,0.25
2301,närviline,tietty,adjectives,0.15
2302,siduma,yhdistää,verbs,3.1
2303,lill,uskomus,nouns,0.05
2304,hukka mõistma,torjua,verbs,1.1
2305,sõber,opettaja,nouns,0.9
2306,segama,vaivata,verbs,3.7
2307,vahe,aukko,nouns,3.35
2308,rüüpama,juoda,verbs,4.3
2309,usaldusväärselt,kovakouraisesti,adverbs,0.2
2310,piibel,kirja,nouns,2.0
2311,palk,kylpy,nouns,0.0
2312,krüptogramm,symboli,nouns,2.0
2313,valik,vankila,nouns,0.2
2314,taburet,tuoli,nouns,4.15
2315,põhimõtteliselt,täysin,adverbs,1.6
2316,passivselt,hiljaa,adverbs,1.1
2317,ükskord,välittömästi,adverbs,0.15
2318,väljend,sana,nouns,1.8
2319,tool,sohva,nouns,2.0
2320,tagasi lükkama,valita,verbs,0.45
2321,perv,vuori,nouns,0.85
2322,valvur,mies,nouns,1.75
2323,lai,tuore,adjectives,0.05
2324,suur,painava,adjectives,1.65
2325,optimistlikult,mahdollisesti,adverbs,1.3
2326,hütt,kämppä,nouns,3.85
2327,osalema,saapua,verbs,0.65
2328,hingama,tukehtua,verbs,0.6
2329,riis,poika,nouns,0.05
2330,hoidma,antaa,verbs,0.45
2331,rannik,tykkivene,nouns,0.5
2332,väljuv,tuleva,adjectives,0.5
2333,võitja,maali,nouns,0.85
2334,töö,työkalu,nouns,0.95
2335,teenijanna,tyttö,nouns,1.85
2336,nõustuma,olla erilainen,verbs,0.2
2337,selgroog,vartalo,nouns,1.4
2338,suu,hammas,nouns,1.45
2339,äkkrünnak,hyökkäys,nouns,4.0
2340,uks,oviaukko,nouns,3.2
2341,teleskoop,tuoli,nouns,0.0
2342,pruut,prinsessa,nouns,0.9
2343,vann,huone,nouns,0.4
2344,loll,harvinainen,adjectives,0.0
2345,jogurt,karja,nouns,0.35
2346,pära,kalliojyrkänne,nouns,0.0
2347,ütlema,varmistaa,verbs,1.5
2348,kanep,yrtti,nouns,1.95
2349,sekularist,uskonto,nouns,1.15
2350,kritiseerima,huomauttaa,verbs,1.9
2351,sulgema,oksentaa,verbs,0.0
2352,minema,myydä,verbs,0.25
2353,juhendaja,opettaja,nouns,4.05
2354,minut,sekunti,nouns,1.95
2355,vastu võtma,suositella,verbs,0.85
2356,juhm,lapsellinen,adjectives,1.2
2357,ülesanne,pilli,nouns,0.1
2358,lennuseadmeteadus,ilmailu,nouns,2.3
2359,aed,letku,nouns,0.7
2360,president,saastuminen,nouns,0.05
2361,vabariik,herttua,nouns,0.55
2362,edendama,edistää,verbs,2.55
2363,vibukütt,tienraivaaja,nouns,0.4
2364,taevas,unelma,nouns,0.45
2365,tuntud,hyvin,adjectives,0.3
2366,vahekäik,sali,nouns,1.25
2367,kurb,kauhea,adjectives,0.9
2368,kindlalt,salaa,adverbs,0.45
2369,neelama,juoda,verbs,2.2
2370,radikaalne,väkivaltainen,adjectives,1.6
2371,anne,kirjailija,nouns,0.3
2372,aktsepteerima,myöntyä,verbs,4.35
2373,üritus,varainkeruutapahtuma,nouns,1.55
2374,kohtumenetlus,tuomio,nouns,1.65
2375,kindlalt,ilmiselvästi,adverbs,3.4
2376,õpetama,kouluttaa,verbs,4.5
2377,kallas,ranta,nouns,3.55
2378,kana,lintu,nouns,2.55
2379,bänd,väkijuoma,nouns,0.3
2380,kohtuma,tervehtiä,verbs,1.75
2381,mutant,sosiobiologia,nouns,0.35
2382,lahkuma,ilmestyä,verbs,0.2
2383,kuup,lelu,nouns,0.5
2384,sisalik,krokotiili,nouns,2.85
2385,kulm,silmä,nouns,1.2
2386,spirituaalne,aineeton,adjectives,3.05
2387,tolmendamine,hede,nouns,1.6
2388,mugavus,turvallisuus,nouns,1.15
2389,süüdi,rehellinen,adjectives,0.45
2390,kaamera,jatko-osa,nouns,0.05
2391,heelium,ilma,nouns,1.2
2392,illegaalne,moraaliton,adjectives,1.95
2393,säilitama,pitää,verbs,3.95
2394,silm,kulmakarva,nouns,1.2
2395,saar,laivasto,nouns,0.25
2396,etteaste,kirjallinen muotokuva,nouns,0.9
2397,saar,ranta,nouns,1.0
2398,pagema,karata,verbs,5.5
2399,kalju,mäki,nouns,1.9
2400,hakk,lintu,nouns,2.85
2401,nakkus,tauti,nouns,3.2
2402,tass,kartio,nouns,0.25
2403,teenima,olla arvoinen,verbs,3.3
2404,tööline,kamera,nouns,0.1
2405,lehm,karja,nouns,2.25
2406,panema,roikkua,verbs,0.85
2407,tõbi,vaara,nouns,0.5
2408,mees,aviomies,nouns,3.55
2409,välja vihastama,hyökätä kimppuun,verbs,0.85
2410,imetlema,jumaloida,verbs,4.4
2411,pruut,sulhanen,nouns,1.05
2412,võmm,lentoperämies,nouns,0.6
2413,kontrollima,tutkia,verbs,2.55
2414,tunnistama,puhua,verbs,1.45
2415,ajastu,vuosikymmen,nouns,2.15
2416,energia,paristo,nouns,1.6
2417,koostama,tuhota,verbs,0.25
2418,maja,lato,nouns,1.9
2419,biotoop,biologia,nouns,1.3
2420,vihje,fakta,nouns,1.0
2421,mantel,vaatteet,nouns,2.15
2422,sisalik,hallitus,nouns,0.0
2423,kurbus,onnellisuus,nouns,0.7
2424,enesekindel,varma,adjectives,3.1
2425,õhtueine,aamiainen,nouns,1.4
2426,tõlge,ulkomaalainen,nouns,0.5
2427,kallis,laiska,adjectives,0.15
2428,ooper,elokuvateatteri,nouns,1.25
2429,looma,tuhota,verbs,0.5
2430,paindlik,siirrettävä,adjectives,1.4
2431,vahetama,muuttaa,verbs,3.2
2432,tähestik,kuulakärkikynä,nouns,0.35
2433,õrnalt,kirkkaasti,adverbs,0.9
2434,lükkama,syyttää,verbs,0.25
2435,surmavalt,onnellisesti,adverbs,0.05
2436,naine,mies,nouns,1.0
2437,tütar,muksu,nouns,1.55
2438,koostama,valmistaa,verbs,2.7
2439,naarits,turkki,nouns,2.5
2440,karusnahk,nainen,nouns,0.2
2441,populaarne,tunnettu,adjectives,3.25
2442,meelt lahutama,miellyttää,verbs,2.4
2443,närv,suoli,nouns,0.7
2444,juhtkond,työ,nouns,1.15
2445,hirmutama,kummitella,verbs,2.05
2446,põlgama,vihata,verbs,3.5
2447,kiir,auringonpaiste,nouns,1.75
2448,relv,turkki,nouns,0.3
2449,jooma,korottaa,verbs,0.4
2450,süüa tegema,sekoittaa,verbs,0.65
2451,õhtu,auringonlasku,nouns,1.95
2452,lumi,lumivyöry,nouns,1.65
2453,kohtuma,kokoontua,verbs,3.0
2454,partner,heppu,nouns,1.45
2455,relv,temppu,nouns,0.2
2456,lahtine,joustava,adjectives,1.3
2457,süüa tegema,menettää,verbs,0.0
2458,väljendama,sanoa,verbs,3.65
2459,riided,kangas,nouns,2.2
2460,sõrm,palmu,nouns,0.4
2461,võitma,dominoida,verbs,1.7
2462,rahumeelselt,rauhallisesti,adverbs,4.4
2463,uskuma,hyväksyä,verbs,1.3
2464,suhtumine,itseluottamus,nouns,1.35
2465,suhtlema,rukoilla,verbs,0.5
2466,miljonär,dollari,nouns,0.75
2467,jakk,neule,nouns,1.9
2468,seaduslik,laiton,adjectives,0.55
2469,informeerima,kiillottaa,verbs,0.0
2470,pool,pohja,nouns,0.75
2471,nutitelefon,ananas,nouns,0.05
2472,tooma,lähettää,verbs,0.7
2473,segunema,yhdistää,verbs,2.6
2474,hädaline,epävarma,adjectives,1.05
2475,jää,lumi,nouns,2.9
2476,kuulutama,kuuluttaa,verbs,4.2
2477,haihtuma,hävitä,verbs,5.2
2478,saabuma,jättää,verbs,0.55
2479,mõtlema,tiedustella,verbs,0.7
2480,kole,raaka,adjectives,0.6
2481,tõmbama,työntää,verbs,0.55
2482,supp,päivällinen,nouns,1.6
2483,kast,lähde,nouns,0.0
2484,pall,kori,nouns,0.55
2485,kahtlustama,pidättää,verbs,0.9
2486,otsima,löytää,verbs,1.5
2487,õun,makeinen,nouns,0.5
2488,ignoreerima,unohtaa,verbs,1.75
2489,roos,perhonen,nouns,0.35
2490,vedelik,suutin,nouns,0.65
2491,põlv,käsivarsi,nouns,1.15
2492,number,numero,nouns,4.85
2493,intelligentne,tyhmä,adjectives,0.55
2494,muld,muta,nouns,2.4
2495,hiiglasuur,pikkuruinen,adjectives,0.45
2496,veen,suoni,nouns,3.75
2497,külge tõmbama,osua,verbs,0.3
2498,jagamine,kertolasku,nouns,1.55
2499,lind,naaraslintu,nouns,2.55
2500,ühinema,ottaa osaa,verbs,1.95
2501,tõuk,silkkitoukka,nouns,3.1
2502,jahikoer,kettu,nouns,1.25
2503,maja,avain,nouns,0.7
2504,arvamus,uskomus,nouns,3.1
2505,rahvas,dollari,nouns,0.05
2506,ebaviisakas,kriittinen,adjectives,0.95
2507,vabastama,painaa,verbs,0.2
2508,täht,kohta,nouns,0.4
2509,tänav,auto,nouns,0.6
2510,sultan,ministeriö,nouns,0.2
2511,ketas,tietokone,nouns,0.5
2512,ülesanne,nainen,nouns,0.05
2513,emotsioon,intohimo,nouns,3.35
2514,raske,lastattu,adjectives,1.4
2515,ignoreerima,kysyä,verbs,0.1
2516,uppuma,säästää,verbs,0.45
2517,täiskasvanu,vauva,nouns,0.85
2518,motell,majatalo,nouns,4.0
2519,sonett,kauneus,nouns,0.45
2520,hoomama,tyydyttää,verbs,0.15
2521,lõikama,hyötyä,verbs,0.6
2522,keeruline,yksinkertainen,adjectives,0.55
2523,ärritama,lannistaa,verbs,1.15
2524,keha,veri,nouns,1.1
2525,tööandja,työntekijä,nouns,1.25
2526,auto,moottoritie,nouns,0.85
2527,vaip,talo,nouns,0.55
2528,käsi,oksa,nouns,0.4
2529,tsensuur,esteettömyys,nouns,0.25
2530,naljakas,tylsä,adjectives,0.3
2531,peigmees,morsian,nouns,1.05
2532,abikaasa (naine),pilli,nouns,0.0
2533,pesema,huuhdella,verbs,3.05
2534,küllus,runsaus,nouns,4.8
2535,putka,puhelin,nouns,0.6
2536,sõjalaev,taistelulaiva,nouns,5.05
2537,anatoomia,biologia,nouns,2.15
2538,vormimata,yhtenäinen,adjectives,0.55
2539,entsüklopeedia,sanakirja,nouns,2.65
2540,ebamäärane,epäselvä,adjectives,4.65
2541,rand,saari,nouns,1.0
2542,värav,ovi,nouns,3.3
2543,kõndima,ontua,verbs,2.25
2544,ulatuslik,iso,adjectives,4.25
2545,pärima,etsiä,verbs,1.95
2546,niit,ruohoalue,nouns,4.2
2547,klatš,uutiset,nouns,1.6
2548,püüdma,vastaanottaa,verbs,1.35
2549,demokraatia,monarkia,nouns,1.4
2550,näts,piparminttu,nouns,0.85
2551,ründama,syyttää,verbs,3.6
2552,kandma,tuoda,verbs,1.95
2553,peenike,solakka,adjectives,5.3
2554,ütlema,ilmaista,verbs,3.65
2555,emotsionaalselt,surullisesti,adverbs,1.9
2556,mahl,omena,nouns,1.2
2557,sõdur,poika,nouns,1.0
2558,eelkool,päiväkoti,nouns,2.45
2559,pöörane,sairas,adjectives,1.45
2560,ingel,demoni,nouns,1.1
2561,osalema,tehdä yhteistyötä,verbs,2.75
2562,normaalselt,rutiininomaisesti,adverbs,2.9
2563,simulatsioon,robotiikka,nouns,1.05
2564,karjuma,kirkua,verbs,3.9
2565,lahkuma,jäädä,verbs,0.8
2566,sassis,hallittu,adjectives,0.4
2567,defineerima,selventää,verbs,3.5
2568,igav,väsynyt,adjectives,1.2
2569,erinevalt,terminaalisesti,adverbs,0.2
2570,küsima,sivuuttaa,verbs,0.1
2571,sõitma,juosta,verbs,0.85
2572,viiul,soitin,nouns,2.6
2573,raamat,tieto,nouns,0.95
2574,mõtlema,miettiä,verbs,4.85
2575,nutma,nyyhkyttää,verbs,4.0
2576,eriline,arvokas,adjectives,2.75
2577,jooksma,ajaa,verbs,0.85
2578,nakkus,sairaus,nouns,2.75
2579,täkk,heppu,nouns,1.3
2580,õhupall,ihmiset,nouns,0.1
2581,armee,partio,nouns,0.95
2582,pettus,rikos,nouns,3.5
2583,pärima,edellyttää,verbs,0.7
2584,aken,pilvi,nouns,0.15
2585,merevägi,armeija,nouns,2.1
2586,ettevaatlikult,kunnolla,adverbs,4.2
2587,autojuht,lentäjä,nouns,2.55
2588,sõber,äiti,nouns,1.5
2589,kandidaat,voittaja,nouns,1.15
2590,harva,yleensä,adverbs,0.5
2591,pott,laite,nouns,0.25
2592,piir,rajaviiva,nouns,3.2
2593,vinge,mieletön,adjectives,3.55
2594,kallis,pyhä,adjectives,2.55
2595,artikkel,aikakauslehti,nouns,1.5
2596,rahe,sade,nouns,2.6
2597,diagramm,kuvaaja,nouns,3.45
2598,madu,lisko,nouns,2.2
2599,sidrun,omena,nouns,1.35
2600,mõistma,kuunnella,verbs,1.45
2601,atmosfäär,saastuminen,nouns,0.4
2602,kange,helppo,adjectives,0.1
2603,õun,auringonpaiste,nouns,0.2
2604,laul,esiintyjä,nouns,0.95
2605,uba,pekoni,nouns,0.45
2606,tädi,veljenpoika,nouns,1.0
2607,kõht,laskimo,nouns,0.65
2608,topoloogia,rakenne,nouns,2.0
2609,buss,ajoneuvo,nouns,2.65
2610,hambaarst,eversti,nouns,0.45
2611,lõimima,liikkua,verbs,0.75
2612,nõustuma,kiistellä,verbs,0.55
2613,taju,näkö,nouns,2.9
2614,õnn,rauha,nouns,1.75
2615,varastama,hankkia,verbs,0.95
2616,mõte,mielipide,nouns,2.3
2617,julm,epäreilu,adjectives,1.95
2618,ajaleht,sana,nouns,1.0
2619,klaaspurk,pullo,nouns,2.4
2620,kursor,sirut,nouns,0.2
2621,koidik,päivä ,nouns,1.85
2622,päev,yö,nouns,1.15
2623,vaidlema,suostutella,verbs,1.4
2624,administratsioon,johtokunta,nouns,3.7
2625,ühinema,lisätä,verbs,1.5
2626,ebavajalik,tarpeellinen,adjectives,0.45
2627,saar,niemimaa,nouns,1.85
2628,taldrik,kulho,nouns,2.4
2629,kuubik,noppa,nouns,2.8
2630,paar,pariskunta,nouns,4.4
2631,süütu,vapaa,adjectives,0.85
2632,peatuma,kuljettaa,verbs,0.4
2633,kannatamatult,karkeasti,adverbs,0.55
2634,kaklema,purra,verbs,1.05
2635,pakk,kuorma-auto,nouns,0.7
2636,matemaatik,näytös,nouns,0.05
2637,tähendusrikkalt,erityisesti,adverbs,1.05
2638,vestlus,viestintä,nouns,3.4
2639,tööstus,liiketoiminta,nouns,2.0
2640,jard,metri,nouns,2.3
2641,kohtuotsus,oikeudenkäynti,nouns,1.65
2642,lagunemine,tekijöihinjako,nouns,0.65
2643,molekul,matriisi,nouns,0.35
2644,ühiskond,kulttuuri,nouns,2.4
2645,meelespea,ero,nouns,0.3
2646,seebivaht,kupla,nouns,2.35
2647,sent,vaimo,nouns,0.05
2648,võrdlema,analysoida,verbs,2.7
2649,kahtlev,raivostunut,adjectives,0.55
2650,stipendium,lukukausimaksu,nouns,0.95
2651,kirg,tunne,nouns,3.35
2652,tool,teleskooppi,nouns,0.0
2653,pühak,synnintekijä,nouns,0.6
2654,veski,siemen,nouns,0.7
2655,täpselt,aktiivisesti,adverbs,0.5
2656,programm,ruoka,nouns,0.15
2657,relv,tykki,nouns,2.75
2658,heidutama,järkyttää,verbs,1.15
2659,alkohol,viski,nouns,2.55
2660,nüri,pitkästynyt,adjectives,2.05
2661,vihmavari,lämmitin,nouns,0.1
2662,kitsas,valkoinen,adjectives,0.1
2663,sõber,heppu,nouns,1.3
2664,sipelgas,mehiläinen,nouns,1.3
2665,küünarnukk,luu,nouns,1.25
2666,taevas,universumi,nouns,1.3
2667,küpsetama,paistaa,verbs,3.13
2668,mahl,maito,nouns,1.2
2669,halb,suurenmoinen,adjectives,0.1
2670,teadustama,julistaa,verbs,4.2
2671,kunstnik,taideteos,nouns,1.2
2672,rütm,melodia,nouns,1.7
2673,põhjendamatult,epäreilusti,adverbs,2.45
2674,säär,käsivarsi,nouns,1.5
2675,läbirääkimine,diplomatia,nouns,2.8
2676,andur,jäähdytin,nouns,0.15
2677,karm,julma,adjectives,2.75
2678,unistus,taivas,nouns,0.45
2679,sosistama,puhua,verbs,2.5
2680,maailm,maapallo,nouns,3.8
2681,teguriteks lahutamine,biohajoaminen,nouns,0.65
2682,küsima,anoa,verbs,2.85
2683,ühinema,jättää,verbs,0.2
2684,võtma,omistaa,verbs,1.65
2685,auto,letku,nouns,0.2
2686,kaebama,kiistellä,verbs,1.2
2687,ründama,pahentaa,verbs,0.85
2688,onu,serkku,nouns,1.8
2689,kitarr,taimen,nouns,0.0
2690,mägi,kieleke,nouns,0.85
2691,voodi,peitto,nouns,0.9
2692,protestant,kristitty,nouns,3.45
2693,nina,suu,nouns,1.45
2694,sekretär,nainen,nouns,1.05
