ID,FIN,FRA,PoS,score
2089,välittömästi,autrefois,adverbs,0.75
2090,tavoitella,enquêter,verbs,1.35
2091,suora,incurvé,adjectives,1.05
2092,särkyvä,frigide,adjectives,0.35
2093,sielu,frère,nouns,0.3
2094,laki,école,nouns,0.95
2095,ruoho,mousse,nouns,2.1
2096,nöyrä,modeste,adjectives,5.25
2097,balladi,chanson,nouns,4.55
2098,helppo,dur,adjectives,0.9
2099,kulttuuri,société,nouns,2.7
2100,lainata,vendre,verbs,0.75
2101,runoilija,journaliste,nouns,1.35
2102,hyvin,connu,adjectives,0.65
2103,kauniisti,élégamment,adverbs,4.1
2104,ravistaa,recueillir,verbs,0.25
2105,surullisesti,follement,adverbs,0.5
2106,tarina,sujet,nouns,1.45
2107,sotkuinen,laid,adjectives,0.6
2108,halata,câliner,verbs,5.05
2109,pirtelö,jus,nouns,2.0
2110,masennus,vallée,nouns,0.6
2111,torjunta-aine,parasite,nouns,1.35
2112,fakta,perspicacité,nouns,0.9
2113,pesäpallo,basket,nouns,2.65
2114,tuska,chagrin,nouns,2.95
2115,legioona,armée,nouns,3.2
2116,sekoitettu,vieux,adjectives,0.05
2117,juhlapäivä,calendrier,nouns,1.55
2118,suorittaa,saluer,verbs,0.25
2119,selkäranka,corps,nouns,1.7
2120,vaatteet,tiroir,nouns,0.8
2121,itsepäinen,stupide,adjectives,1.35
2122,poliitikko,président,nouns,3.4
2123,ase,sergent,nouns,0.7
2124,lopettaa,commencer,verbs,1.0
2125,mukavasti,facilement,adverbs,1.6
2126,helmi,argent,nouns,1.0
2127,työ,outil,nouns,0.7
2128,hankkia,voler,verbs,1.65
2129,ihmiset,ballon,nouns,0.0
2130,majatalo,motel,nouns,4.15
2131,rakentaa,ajouter,verbs,1.2
2132,kiistellä,persuader,verbs,0.75
2133,taistella,mordre,verbs,1.4
2134,takki,vêtement,nouns,2.9
2135,numero,chiffre,nouns,5.15
2136,tutka,manette,nouns,0.3
2137,virkkaus,uniforme,nouns,0.05
2138,amorfinen,informe,adjectives,3.4
2139,tylsä,marrant,adjectives,0.45
2140,katto,fenêtre,nouns,1.35
2141,saada selville,provenir,verbs,0.35
2142,usva,pluie,nouns,2.55
2143,epäselvä,vague,adjectives,4.95
2144,galaksi,application,nouns,0.1
2145,neuroosi,esprit,nouns,1.2
2146,vaatteet,manteau,nouns,2.9
2147,henkilökohtainen,intime,adjectives,4.9
2148,vetäytyä,prendre sa retraite,verbs,1.65
2149,kori,ballon,nouns,0.8
2150,ystävällisesti,improbable,adverbs,0.0
2151,epäluonnollisesti,négativement,adverbs,0.85
2152,mehiläinen,reine,nouns,1.45
2153,niska,bras,nouns,1.6
2154,ulospäinsuuntautunut,entrant,adjectives,0.35
2155,televisio,acteur,nouns,1.1
2156,gini,whisky,nouns,2.55
2157,valittaa,apporter,verbs,0.1
2158,kartta,carré,nouns,0.4
2159,häntä,falaise,nouns,0.05
2160,ortodontti,docteur,nouns,2.85
2161,elefantti,dinosaure,nouns,1.6
2162,kangas,vêtement,nouns,2.75
2163,jäykkä,facile,adjectives,0.25
2164,tervehtiä,rencontrer,verbs,2.15
2165,kämppä,campement,nouns,0.9
2166,kypsentää,frire,verbs,3.6
2167,sonni,veau,nouns,2.7
2168,ilmiselvästi,sûrement,adverbs,3.85
2169,hullu,insensé,adjectives,5.1
2170,kohtuuttomasti,injustement,adverbs,2.75
2171,vaatia,réprimander,verbs,0.6
2172,vedota,satisfaire,verbs,0.4
2173,halpa,bon marché,adjectives,5.3
2174,tehdä yhteistyötä,rejoindre,verbs,2.0
2175,maksa,poumon,nouns,2.1
2176,sateenvarjo,calibre,nouns,0.05
2177,kiltisti,généreusement,adverbs,2.0
2178,tarjous,centime,nouns,0.25
2179,vapauttaa,attraper,verbs,0.4
2180,kirja,bible,nouns,3.1
2181,tavu,lemme,nouns,1.5
2182,valtaistuin,épée,nouns,0.55
2183,omena,sauce,nouns,1.1
2184,kertoa,diviser,verbs,1.8
2185,tavata,laisser,verbs,0.35
2186,kettu,chien,nouns,1.9
2187,sivuuttaa,éviter,verbs,3.55
2188,elin,foie,nouns,2.8
2189,jaardi,mètre,nouns,3.45
2190,joustava,modeste,adjectives,0.45
2191,viisumi,globalisation,nouns,0.85
2192,kiistää,admettre,verbs,1.0
2193,hermo,cerveau,nouns,2.05
2194,kiivetä,randonner,verbs,2.15
2195,kotona,à l'extérieur,adverbs,1.15
2196,purra,lire,verbs,0.0
2197,pitkä,court,adjectives,1.1
2198,kirjoittaa,griffonner,verbs,4.05
2199,kääpiömäinen,petit,adjectives,3.9
2200,vuori,corniche,nouns,1.3
2201,halailla,étreindre,verbs,5.05
2202,peitto,tempête,nouns,0.05
2203,sihteeri,femme,nouns,1.2
2204,antaa,emprunter,verbs,1.8
2205,lumi,avalanche,nouns,2.3
2206,arvata,énerver,verbs,0.15
2207,vaatteet,chiffon,nouns,1.65
2208,loiske,viscosité,nouns,0.6
2209,hoikka,étroit,adjectives,2.85
2210,puumateriaali,pierre,nouns,1.25
2211,yleensä,sincèrement,adverbs,0.2
2212,kaoottisesti,pacifiquement,adverbs,0.7
2213,nainen,fourrure,nouns,0.25
2214,ihmiset,pistolet,nouns,0.2
2215,kansi,bateau,nouns,1.1
2216,valinta,chapitre,nouns,0.5
2217,sänky,hôpital,nouns,0.9
2218,sokeri,miel,nouns,2.4
2219,tulo,impôt,nouns,1.4
2220,pitkäveteinen,fatigué,adjectives,1.25
2221,pormestari,président,nouns,2.3
2222,asianmukainen,formel,adjectives,1.85
2223,irrottaa,diviser,verbs,1.5
2224,vartalo,sous-vêtement,nouns,1.0
2225,sanoa,vérifier,verbs,1.0
2226,kaaos,anarchie,nouns,3.95
2227,rauhallisesti,pacifiquement,adverbs,4.3
2228,arkeologia,anthropologie,nouns,2.15
2229,piirustus,émeute,nouns,0.15
2230,joskus,sûrement,adverbs,0.8
2231,utu,nuage,nouns,3.65
2232,optimistisesti,éventuellement,adverbs,1.0
2233,taksi,tacot,nouns,4.95
2234,luu,cou,nouns,1.7
2235,kirja,thème,nouns,0.95
2236,partneri,type,nouns,1.4
2237,reilusti,injustement,adverbs,1.0
2238,typerä,idiot,adjectives,5.6
2239,jumala,proie,nouns,0.05
2240,hampaat,marteau,nouns,0.0
2241,hämmentää,mélanger,verbs,4.85
2242,palaa,étouffer,verbs,0.6
2243,ilmeinen,évident,adjectives,5.05
2244,pallo,gant,nouns,0.8
2245,supistaa,mouiller,verbs,0.05
2246,pekoni,viande,nouns,3.25
2247,uskomus,opinion,nouns,3.75
2248,sumu,nuage,nouns,2.85
2249,jäädä,retenir,verbs,1.3
2250,tunne,passion,nouns,3.35
2251,ahdistunut,apeuré,adjectives,3.2
2252,aritmetiikka,rythme,nouns,0.2
2253,sana,journal,nouns,1.45
2254,kunniamerkki,verre,nouns,0.25
2255,historioitsija,historiographe,nouns,3.9
2256,kauhea,mal,adjectives,3.25
2257,varmasti,clairement,adverbs,3.25
2258,selittää,clarifier,verbs,5.0
2259,teeskennellä,imaginer,verbs,1.4
2260,päällikkö,maire,nouns,2.45
2261,uloskäynti,suffrage,nouns,0.3
2262,jahdata,suivre,verbs,3.1
2263,yksinkertaisesti,apparemment,adverbs,0.9
2264,vartalo,nerf,nouns,1.3
2265,maila,bruit,nouns,0.15
2266,tiili,mur,nouns,1.5
2267,rotta,souris,nouns,3.7
2268,lentokone,hélicoptère,nouns,2.6
2269,kiistellä,argumenter,verbs,4.7
2270,raha,perle,nouns,1.0
2271,opettaja,assistant,nouns,2.35
2272,hirveä,mal,adjectives,4.15
2273,etelä,nord,nouns,1.9
2274,laillinen,permis,adjectives,4.45
2275,arkki,avion,nouns,0.05
2276,kellari,porte,nouns,0.8
2277,liittyä,participer,verbs,2.85
2278,päättää,conclure,verbs,4.0
2279,alkoholi,gin,nouns,3.3
2280,jakaa,multiplier,verbs,1.8
2281,omena,régime,nouns,0.95
2282,viski,alcool,nouns,3.1
2283,tarpeellinen,inutile,adjectives,1.05
2284,seremonia,célébration,nouns,4.8
2285,sairaala,lit,nouns,0.9
2286,muistuttaa,vendre,verbs,0.2
2287,kokous,rassemblement,nouns,3.9
2288,yritys,affaire,nouns,3.55
2289,analysoida,comparer,verbs,2.8
2290,käsi ,pied,nouns,1.95
2291,normaalisti,systématiquement,adverbs,3.3
2292,kypsä,sophistiqué,adjectives,1.3
2293,virrata,dériver,verbs,2.8
2294,saari,marine,nouns,0.7
2295,demoni,ange,nouns,1.45
2296,tapahtuma,collecte de fonds,nouns,1.9
2297,pohjoinen,sud,nouns,1.9
2298,pallo,canon,nouns,0.45
2299,keskustelu,altitude,nouns,0.2
2300,epäaito,artificiel,adjectives,4.65
2301,korvaus,frais,nouns,3.6
2302,jumaloida,admirer,verbs,4.35
2303,varmistaa,dire,verbs,1.0
2304,kirja,histoire,nouns,2.3
2305,verrata,analyser,verbs,2.8
2306,onnistua,gagner,verbs,3.95
2307,ajokoira,renard,nouns,1.9
2308,kyynel,œil,nouns,1.35
2309,vauva,fille,nouns,2.35
2310,puumateriaali,rondin,nouns,3.6
2311,lanka,fil,nouns,3.75
2312,virkapuku,crochet,nouns,0.05
2313,lisko,gouvernement,nouns,0.0
2314,ranta,côte,nouns,nan
2315,sallia,éroder,verbs,0.15
2316,kiistää,mentir,verbs,1.75
2317,kana,riz,nouns,1.0
2318,jättää,entrer,verbs,0.2
2319,tähtitieteellinen,massif,adjectives,2.4
2320,ruma,brut,adjectives,0.85
2321,saari,tâche,nouns,0.05
2322,poliisi,politicien,nouns,1.15
2323,sentti,taille,nouns,0.7
2324,veli,sœur,nouns,2.5
2325,tsunami,mer,nouns,1.6
2326,ihmiset,centime,nouns,0.1
2327,näyttö,phonologie,nouns,0.15
2328,laiska,précieux,adjectives,0.1
2329,torjua,éviter,verbs,2.25
2330,koe,programme,nouns,1.2
2331,moottori,machine,nouns,3.25
2332,motelli,auberge,nouns,4.15
2333,auto,pont,nouns,0.45
2334,toimittaja,poète,nouns,1.35
2335,apina,campagne,nouns,0.05
2336,fiksu,stupide,adjectives,1.05
2337,tankki,voiture,nouns,1.15
2338,anarkia,chaos,nouns,3.95
2339,äiti,gardien,nouns,2.05
2340,veli,âme,nouns,0.3
2341,vaeltaa,laisser,verbs,0.25
2342,aloittaa,débuter,verbs,5.75
2343,taistella,tuer,verbs,1.8
2344,taifuuni,cyclone,nouns,5.0
2345,perustuslaki,empereur,nouns,0.75
2346,leveä,étroit,adjectives,1.1
2347,veistos,statue,nouns,5.3
2348,käsivarsi,muscle,nouns,1.9
2349,seinä,brique,nouns,1.5
2350,hotelli,appartement,nouns,1.95
2351,puuhiili,charbon,nouns,4.3
2352,helposti,confortablement,adverbs,1.6
2353,kypsästi,justement,adverbs,0.85
2354,kruunajaiset,eau,nouns,0.25
2355,mies,sentinelle,nouns,2.45
2356,vaimo,trou,nouns,0.1
2357,mahtava,mal,adjectives,0.35
2358,kuja,rue,nouns,4.6
2359,kestävyys,force,nouns,3.75
2360,fiktio,biographie,nouns,1.65
2361,häntä,chapitre,nouns,0.0
2362,tunnustus,déni,nouns,1.0
2363,korruptio,fraude,nouns,3.65
2364,paha,terrible,adjectives,4.15
2365,suostutella,se disputer,verbs,0.75
2366,murhe,honte,nouns,1.9
2367,häpeissään oleva,contrarié,adjectives,0.95
2368,luotettavasti,raisonnablement,adverbs,3.75
2369,hallitsija,roi,nouns,4.45
2370,koulu,droit,nouns,0.95
2371,tuhota,sauver,verbs,0.8
2372,ajoneuvo,autobus,nouns,3.5
2373,tekijä,lecteur,nouns,1.7
2374,edetä,promouvoir,verbs,2.35
2375,suorittaa loppuun,résoudre,verbs,3.35
2376,vasikka,taureau,nouns,2.7
2377,hiili,houille,nouns,4.3
2378,strutsi,verger,nouns,0.05
2379,ratkaista,terminer,verbs,3.35
2380,vanhempi,père,nouns,4.05
2381,mahtava,brillant,adjectives,4.75
2382,valopuhelin,homophone,nouns,0.25
2383,sormus,fiançailles,nouns,1.75
2384,monarkia,démocratie,nouns,2.15
2385,jogurtti,bétail,nouns,0.3
2386,toimittaa,accepter,verbs,0.55
2387,kuppi,bocal,nouns,2.85
2388,auto,taxi,nouns,3.6
2389,tuhoeläin,pesticide,nouns,1.35
2390,tiedottaa,polir,verbs,0.1
2391,vanha,frais,adjectives,0.35
2392,nilkka,os,nouns,1.95
2393,stressaantunut,détendu,adjectives,1.1
2394,kirja,information,nouns,1.5
2395,tyhjentää,expulser,verbs,1.8
2396,linna,mur,nouns,0.95
2397,vaatia,arguer,verbs,1.3
2398,aikuinen,tuteur,nouns,2.65
2399,suuri,énorme,adjectives,4.8
2400,poika,partenaire,nouns,1.55
2401,hakusana,syntaxe,nouns,1.2
2402,mielettömästi,tristement,adverbs,0.5
2403,onnettomuus,registre,nouns,0.3
2404,ottaa,recevoir,verbs,2.9
2405,biotooppi,biologie,nouns,1.7
2406,makuuhuone,vélo,nouns,0.05
2407,tulla,apporter,verbs,1.15
2408,syvästi,surtout,adverbs,0.85
2409,avuton,vulnérable,adjectives,3.55
2410,kummallinen,ordinaire,adjectives,1.0
2411,kokoontua,assister,verbs,1.35
2412,sallia,réfuter,verbs,0.5
2413,saada,acheter,verbs,1.4
2414,galleria,avocat,nouns,0.05
2415,peukalo,main,nouns,2.55
2416,tuhota,faire,verbs,0.9
2417,olut,alcool,nouns,3.25
2418,suklaa,tarte,nouns,1.3
2419,todennäköisesti,positivement,adverbs,1.1
2420,auto,rue,nouns,0.85
2421,kapea,long,adjectives,1.2
2422,robotiikka,simulation,nouns,1.1
2423,puhdashenkinen,modeste,adjectives,1.1
2424,kypsentää,perdre,verbs,0.05
2425,uloskäynti,porte,nouns,3.4
2426,totella,punir,verbs,1.0
2427,haudata,mourir,verbs,1.65
2428,dollari,personne,nouns,0.05
2429,itkeä,rire,verbs,1.15
2430,siristää silmiään,éblouir,verbs,0.7
2431,hiljattain,dernièrement,adverbs,5.1
2432,ilmiselvästi,apparemment,adverbs,3.3
2433,teoria,hypothèse,nouns,4.55
2434,prinsessa,île,nouns,0.25
2435,metri,pouce,nouns,2.35
2436,rannikkoalue,rive,nouns,5.0
2437,avain,maison,nouns,0.95
2438,puutteenalainen,impuissant,adjectives,1.5
2439,valita,rejeter,verbs,0.55
2440,harvoin,d'habitude,adverbs,1.05
2441,suoli,nerf,nouns,1.2
2442,olla erilainen,être d'accord,verbs,0.7
2443,löytää,chercher,verbs,2.25
2444,lemmikkieläin,chat,nouns,3.6
2445,kieli,gorge,nouns,2.0
2446,palkinto,paiement,nouns,3.1
2447,villapaita,coton,nouns,1.4
2448,karja,yaourt,nouns,0.3
2449,kone,ordinateur,nouns,3.95
2450,kallisarvoinen,paresseux,adjectives,0.1
2451,ankkuri,bateau,nouns,1.4
2452,miljardööri,sans abri,nouns,0.9
2453,vatsa,chambre,nouns,0.05
2454,ruokavalio,pomme,nouns,0.95
2455,punainen,bleu,adjectives,1.75
2456,myöntää,nier,verbs,1.0
2457,uskomattomasti,grandement,adverbs,1.7
2458,peittelemätön,confidentiel,adjectives,0.5
2459,eri tavalla,curieusement,adverbs,1.95
2460,käsivarsi,poignet,nouns,2.35
2461,luoja,fabricant,nouns,4.4
2462,typerä,têtu,adjectives,1.35
2463,elegantisti,admirablement,adverbs,4.1
2464,kitara,batterie,nouns,2.15
2465,tietoisuus,attention,nouns,2.8
2466,puuvilla,polyester,nouns,1.95
2467,kemia,théorie,nouns,1.05
2468,tuli,apocalypse,nouns,0.95
2469,sukeltaa,créer,verbs,0.1
2470,tarkalleen,exactement,adverbs,5.55
2471,filosofi,course,nouns,0.15
2472,viikottainen,mensuel,adjectives,2.05
2473,pääasiassa,en phase terminale,adverbs,0.15
2474,raaka,laid,adjectives,0.85
2475,pilvi,brouillard,nouns,2.85
2476,kohteliaasti,discrètement,adverbs,3.0
2477,lippu,mât,nouns,1.35
2478,todella,parfaitement,adverbs,2.65
2479,rauhallisesti,fermement,adverbs,0.55
2480,nõyrästi,fièrement,adverbs,1.1
2481,yrittää,atteindre,verbs,1.25
2482,juhla,gens,nouns,0.9
2483,ilmeisesti,évidemment,adverbs,3.3
2484,luu,cheville,nouns,1.95
2485,päivämäärä,date,nouns,2.5
2486,nuori,agité,adjectives,0.7
2487,lainata,donner,verbs,1.8
2488,ärsyttää,deviner,verbs,0.15
2489,rankka,sournois,adjectives,0.35
2490,tuhota,construire,verbs,1.15
2491,luku,cytoplasme,nouns,0.0
2492,laatikko,source,nouns,0.0
2493,makea,électrique,adjectives,0.2
2494,osua,attirer,verbs,0.55
2495,lumi,météo,nouns,1.45
2496,tyttö,enfant,nouns,2.95
2497,globalismi,visa,nouns,0.85
2498,jännittävä,terne,adjectives,0.5
2499,muurahainen,abeille,nouns,1.9
2500,leipoa,frire,verbs,3.7
2501,palvelustyttö,fille,nouns,1.45
2502,ovi,fenêtre,nouns,1.95
2503,makuuhuone,salle de bain,nouns,2.35
2504,pilvinen sää,prévision,nouns,0.85
2505,auringonlasku,table,nouns,0.0
2506,ase,aube,nouns,0.05
2507,mausteinen,faible,adjectives,0.1
2508,viulu,instrument,nouns,3.1
2509,talous,écosystème,nouns,1.15
2510,kiillottaa,informer,verbs,0.1
2511,pehmeästi,fermement,adverbs,0.9
2512,kalkkuna,poule,nouns,2.7
2513,omistaa,absorber,verbs,0.6
2514,kylmä,ordinaire,adjectives,0.2
2515,mehiläinen,fourmi,nouns,1.9
2516,ymmärtää,saisir,verbs,5.4
2517,olla arvoinen,gagner,verbs,3.1
2518,huijata,tromper,verbs,4.1
2519,isä,mère,nouns,2.25
2520,suuruus,profondeur,nouns,1.7
2521,pää,nez,nouns,2.0
2522,sähköinen,mécanique,adjectives,1.8
2523,vaunu,voiture,nouns,4.85
2524,magma,volcan,nouns,1.85
2525,veljeskunta,homme,nouns,1.65
2526,sensori,radiateur,nouns,0.55
2527,pilli,hymne,nouns,0.2
2528,temppu,taille,nouns,0.0
2529,rikollinen,délinquant,nouns,5.2
2530,tehtävä,île,nouns,0.05
2531,häätää,partir,verbs,1.7
2532,välikäytävä,entrée,nouns,1.55
2533,osoitin,transparent,nouns,0.1
2534,tauti,danger,nouns,0.85
2535,mennä,envoyer,verbs,0.55
2536,pohjoinen,ouest,nouns,1.8
2537,vapaa,innocent,adjectives,1.15
2538,virsi,paille,nouns,0.2
2539,professori,médecin,nouns,2.65
2540,leijona,chat,nouns,2.65
2541,epätoivo,misère,nouns,3.3
2542,lento,aviation,nouns,2.7
2543,appelsiini,agrume,nouns,4.25
2544,vilpittömästi,généralement,adverbs,0.2
2545,kumota,permettre,verbs,0.5
2546,hiekka,pied,nouns,0.3
2547,sisko,frère,nouns,2.5
2548,kansi,souris,nouns,0.05
2549,epäaito,réel,adjectives,1.05
2550,älypuhelin,ananas,nouns,0.0
2551,loistaa,briller,verbs,5.3
2552,tavoitella,persuader,verbs,0.7
2553,hysteria,désarroi,nouns,1.95
2554,syvyys,magnitude,nouns,1.7
2555,paikallisesti,évidemment,adverbs,0.15
2556,äänioikeus,sortie,nouns,0.3
2557,järjestäytynyt,désorganisé,verbs,1.05
2558,minuus,confiance,nouns,1.6
2559,tavallinen,banal,adjectives,5.1
2560,lohduttaa,humilier,verbs,0.45
2561,epäilty,homme,nouns,0.9
2562,nopea,rapide,adjectives,5.25
2563,keskinkertainen,convenable,adjectives,1.25
2564,antaa,désavouer,verbs,0.1
2565,jättää,arriver,verbs,0.35
2566,täsmällisesti,activement,adverbs,0.5
2567,saapua,assister,verbs,0.55
2568,aihe,récit,nouns,1.45
2569,kotka,faucon,nouns,3.3
2570,rotu,week-end,nouns,0.25
2571,lainmukainen,illégal,adjectives,0.85
2572,armeija,légion,nouns,3.2
2573,omistaa,prendre,verbs,2.05
2574,rikkoa,fissurer,verbs,4.1
2575,polkupyörä,chambre à coucher,nouns,0.05
2576,uudelleenhautaaminen,tombe,nouns,1.75
2577,olkapää,corps,nouns,1.7
2578,kaura,champ,nouns,1.3
2579,kauneus,sonnet,nouns,0.5
2580,etikka,salade,nouns,1.1
2581,ilmailu,vol,nouns,2.7
2582,intohimo,émotion,nouns,3.35
2583,vanha,nouveau,adjectives,1.05
2584,sininen,rouge,adjectives,1.75
2585,kitara,violon,nouns,2.45
2586,kaaos,classe,nouns,0.15
2587,huutaa,crier,verbs,5.1
2588,kilpailla,terminer,verbs,0.3
2589,kapea,sale,adjectives,0.1
2590,likainen,incroyable,adjectives,0.35
2591,kuvaaja,carte,nouns,2.7
2592,pensas,fleur,nouns,2.5
2593,antaa anteeksi,accepter,verbs,1.8
2594,reikä,femme,nouns,0.1
2595,televisio,communication,nouns,1.9
2596,teoreema,théorie,nouns,3.7
2597,etsiä,chasser,verbs,2.0
2598,kuume,grippe,nouns,2.95
2599,oppia,absorber,verbs,2.35
2600,laiska,occupé,adjectives,0.6
2601,taksi,voiture,nouns,3.6
2602,lisätä,diviser,verbs,1.35
2603,moderni,ancien,adjectives,1.1
2604,solakka,svelte,adjectives,5.55
2605,presidentti,maire,nouns,2.3
2606,saada kiinni,terminer,verbs,0.4
2607,eksoottinen,rare,adjectives,4.6
2608,sää,nuage,nouns,1.8
2609,toimisto,ouvrier,nouns,0.8
2610,maali,gagnant,nouns,1.1
2611,erilainen,normal,adjectives,1.1
2612,meri,delta,nouns,1.8
2613,kirja,accident,nouns,0.3
2614,tyhmä,rare,adjectives,0.15
2615,joki,mer,nouns,2.1
2616,presidentti,appareil photo,nouns,0.05
2617,saada,rester,verbs,0.25
2618,liha,sandwich,nouns,1.4
2619,teleskooppi,cogitation,nouns,0.05
2620,aikuinen,bébé,nouns,1.5
2621,isä,frère,nouns,2.05
2622,keilaaminen,lanceur,nouns,1.7
2623,lumivyöry,neige,nouns,2.3
2624,ilmestyä,laisser,verbs,0.1
2625,todellisuus,fantastique,nouns,1.15
2626,seinä,décoration,nouns,1.15
2627,näyttelijätär,acteur,nouns,4.75
2628,suositella,accepter,verbs,1.1
2629,rakko,illustration,nouns,0.15
2630,ilmestyä,assister,verbs,0.95
2631,taivutus,infection,nouns,0.15
2632,muta,saleté,nouns,2.9
2633,evakuoida,déterminer,verbs,0.25
2634,kuolla,enterrer,verbs,1.65
2635,fiksusti,mûrement,adverbs,3.4
2636,sade,bruine,nouns,4.4
2637,vasara,dent,nouns,0.0
2638,sateenvarjo,radiateur,nouns,0.3
2639,näyttelijä,chanteur,nouns,2.0
2640,ortodontti,dentiste,nouns,4.25
2641,makeinen,cannelle,nouns,0.95
2642,huolellisesti,prudemment,adverbs,3.45
2643,voileipä,viande,nouns,1.4
2644,anatomia,biologie,nouns,2.85
2645,naaraslintu,dinde,nouns,2.7
2646,häpeissään oleva,chanceux,adjectives,0.45
2647,myöntyä,satisfaire,verbs,1.6
2648,vihata,apprécier,verbs,0.95
2649,tunnustaa,notifier,verbs,1.45
2650,poika,condition,nouns,0.05
2651,haalistua,éroder,verbs,0.35
2652,kerätä,sauvegarder,verbs,3.15
2653,polvi,bras,nouns,1.75
2654,miellyttää,plaider,verbs,0.4
2655,rehellinen,coupable,adjectives,0.65
2656,ennustaa,supposer,verbs,2.8
2657,pitää,chérir,verbs,2.1
2658,päälevy,carte mère,nouns,3.8
2659,näppäimistö,lumière,nouns,0.1
2660,nainen,jeans,nouns,0.05
2661,rikos,vol,nouns,3.1
2662,tärkeä,nécessaire,adjectives,4.7
2663,poski,langue,nouns,1.75
2664,edellyttää,se renseigner,verbs,0.75
2665,luopua,réprimer,verbs,1.3
2666,kuningatar,abeille,nouns,1.45
2667,valittaa,se disputer,verbs,1.7
2668,maksu,paiement,nouns,3.6
2669,muodostaa,détruire,verbs,1.15
2670,kirjallisuus,mot,nouns,1.55
2671,ei koskaan,généreusement,adverbs,0.1
2672,hermo,intestin,nouns,1.2
2673,hiiri,pont,nouns,0.05
2674,helppo,simple,adjectives,5.1
2675,meri,tsunami,nouns,1.6
2676,pilvi,brume,nouns,3.33
2677,liha,boeuf,nouns,3.5
2678,taksi,autobus,nouns,2.4
2679,kivi,bois,nouns,1.25
2680,tytär,bébé,nouns,2.35
2681,vaeltaa,parcourir,verbs,2.8
2682,onnekas,honteux,adjectives,0.45
