ID,CYM,YUE,PoS,score
2141,corachaidd,短小,adjectives,3.21
2142,ffa,煙肉,nouns,0.1
2143,asgwrn,牙齒,nouns,1.4
2144,braich,膝蓋,nouns,0.53
2145,coleddu,保持,verbs,0.65
2146,disgyn,撤退,verbs,0.34
2147,addysgu,教,verbs,3.35
2148,chwydu,關閉,verbs,0.0
2149,tarddu,開始,verbs,3.44
2150,ffwr,槍,nouns,0.1
2151,economi,生態系統,nouns,0.18
2152,llaw,拇指,nouns,1.37
2153,blanced ,床,nouns,0.64
2154,troi drosodd,受傷,verbs,0.14
2155,darlun,起泡,nouns,0.04
2156,prysur,懶,adjectives,0.09
2157,cyfraniad,給予,nouns,2.55
2158,anghenfil,惡魔,nouns,2.83
2159,priffordd,任務,nouns,0.0
2160,yn ddiogel,小心地,adverbs,2.59
2161,llawysgrif,文章,nouns,1.63
2162,dweud celwydd,否認,verbs,0.33
2163,gwastraffu,擔心,verbs,0.0
2164,hawdd,脆弱,adjectives,0.23
2165,esgob,穆斯林,nouns,0.24
2166,stori,鉛筆,nouns,0.15
2167,trên,電車,nouns,2.82
2168,peilot,司機,nouns,3.37
2169,drwg,不誠實,adjectives,1.4
2170,planed,月亮,nouns,2.42
2171,glaswellt,根,nouns,0.43
2172,mawr,巨大,adjectives,3.81
2173,yn anghywir,精確地,adverbs,0.04
2174,ffidil,樂器,nouns,2.15
2175,cig,牛肉,nouns,3.04
2176,jar,杯子,nouns,1.69
2177,baled,歌曲,nouns,4.23
2178,ased,股票,nouns,3.33
2179,cael,放,verbs,0.15
2180,trefnus,亂七八糟,adjectives,0.14
2181,bachgen,士兵,nouns,0.75
2182,dyrchafu,舉起,verbs,3.31
2183,enillydd,目標,nouns,0.23
2184,ynys,半島,nouns,2.44
2185,cynllun,主意,nouns,3.44
2186,clyfar,笨,adjectives,0.28
2187,canlyn,說服,verbs,0.34
2188,adeiladu,毀滅,verbs,0.28
2189,eil,大廳,nouns,0.1
2190,ale,碗,nouns,0.0
2191,yn nerfus,焦急地,adverbs,3.33
2192,pwyntydd,幻灯片,nouns,0.14
2193,cig,牛扒,nouns,3.64
2194,buwch,家牛,nouns,4.45
2195,eglwys,合唱團,nouns,0.62
2196,teiffŵn,氣旋,nouns,3.5
2197,glaswellt,刀口,nouns,0.3
2198,gwydn,狡猾,adjectives,0.0
2199,crefydd,世俗主義,nouns,0.69
2200,dyddiad,生日,nouns,1.55
2201,yn ddi-drefn,和平地,adverbs,0.0
2202,cliw,字,nouns,0.34
2203,perswadio,追求,verbs,0.34
2204,parêd,樂隊,nouns,0.68
2205,rhannu,乘,verbs,0.39
2206,arsylwi,觀看,verbs,3.68
2207,taro,瞄准,verbs,1.1
2208,acwsteg,聲音,nouns,3.08
2209,digonedd,許多,nouns,3.97
2210,stondin,電話,nouns,0.0
2211,sant,罪人,nouns,0.39
2212,diogelwch,安慰,nouns,0.55
2213,yn amlwg,不顯眼地,adverbs,0.04
2214,rhannu,團結,verbs,0.05
2215,treisgar,被動,adjectives,0.04
2216,adref,在別處,adverbs,0.29
2217,hardd,精彩,adjectives,1.21
2218,derbyn,抓住,verbs,1.23
2219,asgwrn,頸,nouns,0.38
2220,difeddiannu,疏忽,verbs,0.2
2221,pledio,請,verbs,0.23
2222,dadl,討論,nouns,3.46
2223,cystrawen,首詞,nouns,0.43
2224,ffliwt,音樂,nouns,1.38
2225,amwys,不清楚,adjectives,4.58
2226,prifysgol,校園,nouns,1.83
2227,cyw iâr,米飯,nouns,0.33
2228,troed,手,nouns,1.11
2229,menyw,男人,nouns,0.42
2230,brwydr,好鬥,nouns,1.32
2231,plasty,雕塑家,nouns,0.15
2232,yn agored i niwed,簡單,adjectives,0.23
2233,pen-glin,手臂,nouns,0.53
2234,canrif,年,nouns,1.01
2235,dyn,父親,nouns,2.27
2236,mynach,十字架,nouns,0.39
2237,afon,溪流,nouns,3.74
2238,lansio,发送,verbs,1.5
2239,gair,報紙,nouns,0.8
2240,derbyn,拒絕,verbs,0.41
2241,pwnc,故事,nouns,0.96
2242,penwythnos,種族,nouns,0.0
2243,trallod,絕望,nouns,3.42
2244,meddwl,大腦,nouns,4.28
2245,ystafell,床,nouns,0.33
2246,offeiriad,僧侶,nouns,2.59
2247,diwydiant,商業,nouns,2.27
2248,dod,走,verbs,0.54
2249,apwyntiad,訂婚,nouns,0.55
2250,disgleirio,發光,verbs,4.08
2251,dimai,人,nouns,0.14
2252,yn sicr,緊張,adjectives,0.04
2253,harbwr,包裝紙,nouns,0.04
2254,arian,資本,nouns,3.37
2255,dillad,抽屜,nouns,0.53
2256,pwysig,關鍵,adjectives,4.14
2257,log,公式,nouns,0.4
2258,cwmwl,風暴,nouns,1.27
2259,amaethyddiaeth,植物,nouns,0.8
2260,car,的士,nouns,4.14
2261,metr,碼,nouns,1.64
2262,bronceitus,對乙酰氨基酚,nouns,0.15
2263,stori,歌曲,nouns,0.58
2264,amddiffyn,幫助,verbs,1.92
2265,twyllo,作弊,verbs,3.37
2266,diflannu,收縮,verbs,1.42
2267,band,酒,nouns,0.0
2268,tywysoges,新娘,nouns,0.73
2269,raced,球,nouns,0.81
2270,dyfnder,大小,nouns,0.73
2271,meddwl,記得,verbs,0.45
2272,taro,吸引,verbs,0.0
2273,pobl,人口,nouns,2.55
2274,cariad,伴侶,nouns,4.03
2275,drws,存在,nouns,0.0
2276,archesgob,主教,nouns,3.54
2277,gwraig,稻草,nouns,0.0
2278,crwydro,離開,verbs,0.54
2279,cul,髒,adjectives,0.0
2280,cyfansoddiad,皇帝,nouns,0.23
2281,theatr,電池,nouns,0.09
2282,glas,紅色,adjectives,0.44
2283,mêl,乳製品,nouns,0.24
2284,dyn,女孩,nouns,0.72
2285,asgwrn,膝蓋,nouns,1.3
2286,yn ddiweddarach,從未,adverbs,0.1
2287,ychwanegu,建立,verbs,0.87
2288,cred,花,nouns,0.0
2289,yn emosiynol,傷心地,adverbs,1.37
2290,yn llachar,輕輕地,adverbs,0.14
2291,prin,笨,adjectives,0.14
2292,yn dynn,難以置信地,adverbs,0.14
2293,reis,雞,nouns,0.33
2294,coeden,楓樹,nouns,3.58
2295,sigâr,盒子,nouns,0.04
2296,batri,劇院,nouns,0.09
2297,cyfathrebu,偈,nouns,3.55
2298,gweithiwr,相機,nouns,0.18
2299,pwyll,注意,nouns,3.5
2300,yn union,不準確地,adverbs,0.04
2301,cwtsh,擁抱,verbs,4.27
2302,llwyddo,贏,verbs,4.14
2303,heddwch,士兵,nouns,0.15
2304,athro,朋友,nouns,0.76
2305,argyhoeddi,嘗試,verbs,0.04
2306,yn gyfiawn,成熟地,adverbs,0.43
2307,minc,油,nouns,0.04
2308,gwenith,穀物,nouns,2.54
2309,ffordd,方式,nouns,4.17
2310,cyfoeth,名譽,nouns,0.67
2311,cerdded,站立,verbs,0.63
2312,gwych,靚,adjectives,1.21
2313,cosbi,擊中,verbs,0.45
2314,yn ddwfn,有意義,adverbs,1.27
2315,bustach,馬,nouns,1.31
2316,beic,皮膚,nouns,0.04
2317,ffrio,煮沸,verbs,0.78
2318,amnewid,恢復,verbs,0.46
2319,brawd,父親,nouns,1.27
2320,yn falch,謙遜地,adverbs,0.18
2321,rinsio,洗,verbs,3.5
2322,gwerthuso,學習,verbs,0.34
2323,car,車,nouns,5.5
2324,ar ôl,之前,adverbs,0.1
2325,twnnel,路徑,nouns,0.91
2326,creu,潛水,verbs,0.04
2327,gŵr,老婆,nouns,2.09
2328,angel,惡魔,nouns,0.18
2329,caffael,得到,verbs,4.22
2330,coeden,船,nouns,0.04
2331,gêm,戲法,nouns,0.68
2332,boch,舌頭,nouns,0.53
2333,cymysgu,抖動,verbs,1.23
2334,creulon,不公平,adjectives,1.22
2335,milwr,和平,nouns,0.15
2336,corfforaeth,企業,nouns,3.01
2337,iard,米,nouns,1.64
2338,ael,眼睛,nouns,0.78
2339,brawd,男孩,nouns,2.25
2340,cas,硬件,nouns,0.09
2341,milwr,男孩,nouns,0.75
2342,eisiau,借,verbs,0.19
2343,cyn,之後,adverbs,0.1
2344,chwibanu,停,verbs,0.18
2345,drwg,內疚,adjectives,0.88
2346,pêl,籃子,nouns,0.14
2347,allanfa,門口,nouns,2.73
2348,ennill,收割,verbs,0.79
2349,nerthol,強大,adjectives,5.03
2350,siwmper,棉,nouns,0.43
2351,gwydr,水晶,nouns,2.51
2352,gadael,攞,verbs,0.1
2353,awst,月,nouns,2.28
2354,emosiwn,心情,nouns,2.79
2355,anhygoel,普通,adjectives,0.0
2356,tyfu,收縮,verbs,0.05
2357,mynd i mewn,離開,verbs,0.15
2358,cymyl,霧,nouns,1.75
2359,angenrheidiol,完全必要,adjectives,5.08
2360,paragraff,頁,nouns,0.57
2361,i ffwrdd,在家裡,adverbs,0.29
2362,cadair,望遠鏡,nouns,0.04
2363,arogli,溺愛,verbs,0.0
2364,argymell,建議,verbs,3.45
2365,cwyno,拗撬,verbs,0.64
2366,hyder,態度,nouns,1.01
2367,yn fuan,立即,adverbs,1.37
2368,arnofio,唱,verbs,0.0
2369,amrwd,核突,adjectives,0.46
2370,amgylchedd,劍,nouns,0.0
2371,derbyn,給予,verbs,0.23
2372,tad,母親,nouns,1.67
2373,aderyn,母雞,nouns,1.69
2374,bòs,董事,nouns,3.41
2375,matrics,分子,nouns,0.6
2376,creu,毀滅,verbs,0.18
2377,niwl,雨,nouns,1.22
2378,degawd,時代,nouns,0.65
2379,ffroenell,流體,nouns,0.14
2380,anwybyddu,探索,verbs,0.05
2381,anodd,容易,adjectives,0.18
2382,diplomyddiaeth,談判,nouns,2.33
2383,gwirio,說,verbs,0.15
2384,blwch,電梯,nouns,0.04
2385,bàth,妻子,nouns,0.04
2386,gweledigaeth,知覺,nouns,0.95
2387,car,胎壓計,nouns,0.05
2388,hen,新鮮,adjectives,0.0
2389,byth,慷慨地,adverbs,0.04
2390,siwr,確定,adjectives,5.5
2391,mab,哥哥,nouns,0.91
2392,allwedd,房屋,nouns,0.33
2393,personol,親密,adjectives,0.6
2394,pêl-droed,英式足球,nouns,5.54
2395,carbohydrad,蔗糖,nouns,1.65
2396,calibr,遮,nouns,0.0
2397,eginblanhigyn,葉,nouns,1.15
2398,crosio,制服,nouns,0.0
2399,arfordir,濱,nouns,2.94
2400,basged,球,nouns,0.14
2401,tenau,苗條,adjectives,4.36
2402,gwybodaeth,書,nouns,0.9
2403,gwirod,世紀,nouns,0.04
2404,gwartheg,羊,nouns,1.3
2405,gwybod,相信,verbs,1.18
2406,yn ddibynadwy,負責任,adverbs,3.4
2407,coeden,葉,nouns,1.06
2408,dilyniant,相機,nouns,0.04
2409,hawdd,困難,adjectives,0.04
2410,newydd,新鮮,adjectives,3.32
2411,ffensio,體操,nouns,0.48
2412,gweddïo,溝通,verbs,0.54
2413,mintys,博物館,nouns,0.04
2414,sedd,銀行,nouns,0.05
2415,portreadu,假扮,verbs,0.39
2416,safbwynt,距離,nouns,0.33
2417,yn syml,看來,adverbs,0.52
2418,swyddog,副手,nouns,0.54
2419,ceffyl,母馬,nouns,4.07
2420,arwr,女英雄,nouns,3.9
2421,losin,蘋果,nouns,0.24
2422,nerf,身體,nouns,0.43
2423,ysglyfaeth,神,nouns,0.0
2424,cwt,避難所,nouns,1.18
2425,beio,推,verbs,0.28
2426,yn swyddogol,重要的,adverbs,1.56
2427,swyddfa,工作者,nouns,0.53
2428,chwerthin,唱,verbs,0.38
2429,trefnu,雜亂無章,verbs,0.1
2430,amddiffyn,保護,verbs,3.88
2431,beirniadol,無禮貌,adjectives,0.82
2432,addurn,牆壁,nouns,0.33
2433,mam,監護人,nouns,2.65
2434,actor,多面體,nouns,0.28
2435,yn dawel,被動地,adverbs,0.92
2436,casglu,出席,verbs,0.33
2437,dadlau,說服,verbs,1.13
2438,deall,原諒,verbs,0.53
2439,chwaraewr,教練,nouns,0.2
2440,anarferol,罕見,adjectives,4.01
2441,bacwn,早餐,nouns,0.57
2442,lledaenu,塗抹,verbs,0.18
2443,bodloni,理解,verbs,0.3
2444,aneglur,模糊,adjectives,4.58
2445,plentyn,成人,nouns,0.68
2446,hydwyll,蠢,adjectives,1.0
2447,bachgen,米飯,nouns,0.04
2448,pen,指甲,nouns,0.1
2449,gwartheg,牛肉,nouns,2.59
2450,gweddïo,問,verbs,0.88
2451,tywynnu,瞇,verbs,0.04
2452,tynnu'n ôl,吸收,verbs,0.45
2453,moesol,傳說,nouns,0.24
2454,arweinydd,經理,nouns,3.35
2455,neidio,籬笆,nouns,0.0
2456,brechdan,肉,nouns,0.24
2457,perswadio,拗撬,verbs,1.13
2458,to,窗口,nouns,0.42
2459,golchi,沖洗,verbs,3.5
2460,gwlychu,减少,verbs,0.04
2461,sarhau,得罪,verbs,3.13
2462,gweinidogaeth,蘇丹,nouns,0.2
2463,ymgeisydd,獲勝者,nouns,0.81
2464,yn ddelfrydol,機械地,adverbs,0.18
2465,gwddf,手臂,nouns,0.43
2466,anghywir,精確,adjectives,0.18
2467,cludo,電梯,verbs,0.88
2468,twyll,犯罪,nouns,2.62
2469,dicter,心情,nouns,0.68
2470,gwn,刀,nouns,1.3
2471,ewythr,男人,nouns,1.64
2472,yn gadarnhaol,大概,adverbs,0.81
2473,gwythïen,手臂,nouns,0.29
2474,cadair,沙發,nouns,2.84
2475,delta,海,nouns,0.87
2476,awdur,禮物,nouns,0.04
2477,traeth,暗礁,nouns,0.48
2478,strwythur,拓撲,nouns,0.8
2479,rhagorol,棒,adjectives,4.64
2480,anghytuno,同意,verbs,0.14
2481,yn fras,稍微地,adverbs,0.5
2482,sgwrs,溝通,nouns,3.55
2483,coes,手臂,nouns,0.53
2484,homoffon,光線電話機,nouns,0.15
2485,diddanu,享受,verbs,1.1
2486,rhosyn,蝴蝶,nouns,0.24
2487,ymgyrch,猴子,nouns,0.09
2488,duw,獵物,nouns,0.0
2489,cynffon,懸崖,nouns,0.04
2490,polyn,旗,nouns,0.71
2491,wedi gorffen,完結,adjectives,4.93
2492,chwalu,摔碎,verbs,4.2
2493,bach,巨大,adjectives,0.1
2494,aer,分子,nouns,0.52
2495,cydnabod,通知,verbs,0.63
2496,trefnu,需要,verbs,0.09
2497,graff,圖表,nouns,3.5
2498,hyfryd,精彩,adjectives,2.76
2499,patholeg,血液學,nouns,2.17
2500,llyfr,故事,nouns,2.55
2501,gwrando,明白,verbs,0.64
2502,gorffwyll,生病,adjectives,0.2
2503,dirmygus,輕視,adjectives,3.81
2504,afu,器官,nouns,2.12
2505,caled,强硬,adjectives,3.13
2506,trwyn,喉嚨,nouns,0.38
2507,gwisg unffurf,鈎織編織,nouns,0.0
2508,heddiw,今晚,adverbs,1.11
2509,ciwb,骰子,nouns,2.85
2510,maes llafur,考試,nouns,0.75
2511,arian,現金,nouns,4.5
2512,madfall,政府,nouns,0.04
2513,sobr,理性的,adjectives,2.08
2514,dimai,妻子,nouns,0.05
2515,mynd,旅行,verbs,1.56
2516,gliniadur,筆記本,nouns,0.76
2517,oer,普通,adjectives,0.0
2518,meddw,清醒,adjectives,0.14
2519,ci,貓,nouns,0.87
2520,gorffen,畢業,verbs,1.01
2521,anghefnogi,鼓勵,verbs,0.0
2522,tun,金屬,nouns,2.49
2523,arian,珍珠,nouns,0.38
2524,fitamin,鐵,nouns,0.54
2525,gwaith llaw,傳統,nouns,0.33
2526,corff,神經,nouns,0.43
2527,gwyliau,日曆,nouns,0.67
2528,cornel,地區,nouns,0.49
2529,perl,錢,nouns,0.38
2530,stumog,身體,nouns,1.73
2531,anhrefn,類別,nouns,0.05
2532,hapusrwydd,運氣,nouns,0.85
2533,gwrthod,給予,verbs,0.0
2534,modrwy,訂婚,nouns,1.44
2535,siriol,開心,adjectives,5.1
2536,gwaelod,上面,nouns,0.15
2537,dwywaith,多,adverbs,0.29
2538,niweidio,攻擊,verbs,3.05
2539,datgan,宣告,verbs,4.08
2540,taliad,紙幣,nouns,0.33
2541,ymerawdwr,憲法,nouns,0.23
2542,cleddyf,王座,nouns,0.35
2543,holi,需要,verbs,0.04
2544,tywydd,波浪,nouns,0.04
2545,cath,老鼠,nouns,0.43
2546,sudd,匙羹,nouns,0.23
2547,da,聞名,adjectives,0.5
2548,partner,男孩,nouns,0.33
2549,deallusrwydd,洞察力,nouns,2.52
2550,sychder,水,nouns,0.05
2551,cydio,握緊,verbs,2.37
2552,efelychiad,機器人技術,nouns,0.38
2553,drewi,發出氣味,verbs,3.27
2554,stoc,資產,nouns,3.33
2555,gwallgof,極好,adjectives,0.05
2556,rhyddid,自由,nouns,5.12
2557,cwpwrdd,衣服,nouns,0.81
2558,hedyn,磨坊,nouns,0.24
2559,dewin,電纜,nouns,0.0
2560,corff,脊柱,nouns,0.57
2561,perygl,威脅,nouns,3.98
2562,symbol,密碼,nouns,1.51
2563,plisman,副駕駛,nouns,0.1
2564,cynilwr,存款,nouns,1.65
2565,cynorthwy-ydd,女僕,nouns,2.04
2566,menyw,毛,nouns,0.05
2567,colli,保持,verbs,0.24
2568,het,盒子,nouns,0.0
2569,barnu,作證,verbs,0.4
2570,môr,海嘯,nouns,1.67
2571,salwch,發燒,nouns,2.93
2572,yn bennaf,末期,adverbs,0.45
2573,anrheg,作家,nouns,0.04
2574,penderfynu,描繪,verbs,0.0
2575,cwch,錨,nouns,0.82
2576,stumog,課程,nouns,0.0
2577,mis,八月,nouns,2.28
2578,bwyd,程序,nouns,0.05
2579,gwlyb,黏,adjectives,0.93
2580,maddau,明白,verbs,0.53
2581,ogleuo,發出惡臭,verbs,3.27
2582,ennill,完成,verbs,1.65
2583,brigeryn,授粉,nouns,1.05
2584,tarddu,發現,verbs,0.48
2585,gwaethygu,攻擊,verbs,0.15
2586,da,第五,adjectives,0.09
2587,germ,病原,nouns,3.6
2588,rhyfelwr,男人,nouns,0.65
2589,sgriblo,寫,verbs,3.37
2590,carchar,酒吧,nouns,0.24
2591,cig,煙肉,nouns,2.63
2592,awdur,小說,nouns,0.88
2593,pwnc,書,nouns,0.3
2594,tŷ,鎖匙,nouns,0.33
2595,tasg,高速公路,nouns,0.0
2596,dafad,牛,nouns,1.3
2597,cyffredin,難以置信,adjectives,0.0
2598,diogelu,防御,verbs,3.88
2599,gyferbyn,其他,adjectives,0.59
2600,cythruddo,對抗,verbs,1.91
2601,llawlyfr,指南,nouns,2.4
2602,drysu,學習,verbs,0.0
2603,ffrio,煮,verbs,1.41
2604,ymosod,傷害,verbs,3.05
2605,morwr,隊長,nouns,0.88
2606,tynnu,推,verbs,0.18
2607,concwest,旅程,nouns,0.29
2608,iro,傳播,verbs,0.18
2609,dodrefn,公寓,nouns,0.48
2610,diflannu,搵到,verbs,0.05
2611,undeb,總數,nouns,0.28
2612,gweinyddiaeth,行政管理,nouns,2.79
2613,dygnwch,花朵,nouns,0.15
2614,yn ofalus,危險地,adverbs,0.14
2615,ffraeo,說服,verbs,0.43
2616,cosbi,服從,verbs,0.34
2617,môr,海灘,nouns,2.13
2618,profi,拗撬,verbs,0.0
2619,carchar,選擇,nouns,0.0
2620,caniatáu,贊成,verbs,2.98
2621,tywynnu,照耀,verbs,4.08
2622,haint,感染,nouns,3.89
2623,cofio,想,verbs,0.45
2624,iris,乙酰膽鹼,nouns,0.05
2625,priodfab,新娘,nouns,2.13
2626,eang,狹窄,adjectives,0.18
2627,yn fras,明顯地,adverbs,0.75
2628,cythraul,怪獸,nouns,2.83
2629,balchder,貧窮,adjectives,0.05
2630,darganfod,認識到,verbs,3.49
2631,arfordir,小炮艦,nouns,0.1
2632,cyfoeth,聲望,nouns,0.1
2633,yn ddigynnwrf,安然,adverbs,2.79
2634,clogwyn,尾巴,nouns,0.04
2635,codi,喝,verbs,0.0
2636,biliwnydd,無家可歸,nouns,0.1
2637,trafod syniadau,望遠鏡,nouns,0.04
2638,mynd  ,允許,verbs,0.0
2639,breuddwyd,天空,nouns,0.1
2640,cyfnod,十,nouns,0.65
2641,maint,量,nouns,3.13
2642,gadael,出現,verbs,0.1
2643,gweithredu,代數,nouns,0.24
2644,hanfodol,重要,adjectives,4.14
2645,canrif,酒,nouns,0.04
2646,pydru,毀滅,verbs,0.88
2647,gwasgu,放開,verbs,0.14
2648,duw,牧師,nouns,0.72
2649,eisiau,選擇,verbs,0.59
2650,dannedd,骨頭,nouns,1.4
2651,yn ddibynadwy,大致,adverbs,0.23
2652,ymosod,加劇,verbs,0.15
2653,brithyll,吉他,nouns,0.0
2654,cloch,門,nouns,0.48
2655,cotwm,聚酯纖維,nouns,0.97
2656,dal gafael,保持,verbs,4.25
2657,stondin,盒子,nouns,0.05
2658,dyrchafu,促進,verbs,1.46
2659,gadael,無視,verbs,0.64
2660,ffabrig,麻布,nouns,2.46
2661,cotwm,冷衫,nouns,0.43
2662,ceffyl,牛,nouns,1.31
2663,arian,工資,nouns,3.41
2664,crisial,玻璃,nouns,2.51
2665,cath,獅子,nouns,1.92
2666,cyhuddo,說謊,verbs,0.39
2667,anghrybwylladwy,婚外,adjectives,0.23
2668,llywydd,市長,nouns,2.4
2669,arian cyfred,並行性,nouns,0.0
2670,yn oddefol,可靠地,adverbs,0.1
2671,cymhwysedd,能力,nouns,4.11
2672,blodyn,信念,nouns,0.0
2673,pêl,手套,nouns,0.14
2674,machlud haul,線,nouns,0.0
2675,deigryn,眼睛,nouns,0.77
2676,bachgen,合作夥伴,nouns,0.33
2677,lliain,布,nouns,2.46
2678,cyffredin,奇怪,adjectives,0.04
2679,ofnus,緊張,adjectives,3.3
2680,gwahanu,連接,verbs,0.05
2681,swydd,工具,nouns,0.14
2682,pen-blwydd,年,nouns,0.96
2683,maint,戲法,nouns,0.0
2684,ffraeo,合理地解釋,verbs,0.34
2685,caseg,馬,nouns,4.07
2686,ongl,彎曲,nouns,1.6
2687,anwybyddu,忘記,verbs,1.73
2688,boddi,救,verbs,0.1
2689,nerf,腦,nouns,1.0
2690,cyhyrau,骨頭,nouns,0.38
2691,atom,分子,nouns,2.04
2692,yn onest,真誠地,adverbs,4.38
2693,niweidio,踢,verbs,2.08
2694,yn anaml,經常,adverbs,0.1
2695,cyfartaledd,頻繁,adjectives,0.49
2696,ffon reoli,雷達,nouns,0.14
2697,gwylio,觀察,verbs,3.68
2698,ffenestr,踝,nouns,0.09
2699,dwyn,獲得,verbs,0.72
2700,archwilio,調查,verbs,3.89
2701,agwedd,自信,nouns,1.01
2702,ffwr,女人,nouns,0.05
2703,cwpan,匙羹,nouns,1.0
2704,byd,地球,nouns,4.5
2705,ewythr,表哥,nouns,1.07
2706,llen,竿,nouns,0.14
2707,pencampwr,優勝者,nouns,4.83
2708,pwffian chwerthin,大笑,verbs,4.13
2709,ffotoffon,同音詞,nouns,0.15
2710,ymuno,獲得,verbs,0.1
2711,cyfiawnhau,拗撬,verbs,0.58
2712,syniad,形象,nouns,0.49
2713,canon,槍,nouns,2.19
2714,ysbryd,天神,nouns,0.65
2715,cynffon,後部,nouns,0.8
2716,fformiwla,日誌,nouns,0.4
2717,clou,迅速,adjectives,4.68
2718,nyddu,绑,verbs,1.15
2719,ennill,打敗,verbs,3.92
2720,dadl,批評,nouns,1.98
2721,papur wal,背景,nouns,1.59
2722,brecwast,晚餐,nouns,1.5
2723,cyflogwr,工作者,nouns,0.57
2724,cansen siwgr,聯合,nouns,0.0
2725,mab,男孩子,nouns,3.26
2726,go iawn,假,adjectives,0.18
2727,pylu,侵蝕,verbs,1.83
2728,rheolaeth,管理,nouns,2.79
2729,moleciwl,空氣,nouns,0.52
2730,braich,頸,nouns,0.43
2731,enwogrwydd,財富,nouns,0.67
2732,thema,書,nouns,0.33
2733,serameg,陶藝,nouns,3.54
2734,mynychu,聚集,verbs,0.33
2735,llygoden,管理,nouns,0.04
2736,clywed,察覺,verbs,0.6
2737,troed,沙漠,nouns,0.1
2738,ffisigwr,醫生,nouns,4.8
2739,harmoni,鋼琴,nouns,0.82
2740,glob,世界,nouns,4.5
2741,llosgi,扼殺,verbs,1.07
2742,dadansoddi,評估,verbs,4.17
2743,anghyfreithlon,不道德,adjectives,2.27
2744,sbeislyd,弱,adjectives,0.04
2745,ymwybyddiaeth,注意,nouns,2.56
2746,bara,芝士,nouns,0.57
2747,isrwtîn,編譯器,nouns,0.18
2748,yn derfynol,主要,adverbs,0.45
2749,ecsotig,稀有,adjectives,0.74
2750,meddwl,決定,verbs,1.27
2751,cerbyd,四輪貨運馬車,nouns,4.09
2752,yn garedig,慷慨地,adverbs,3.17
2753,nos,黎明,nouns,0.38
2754,yn hanfodol,關鍵地,adverbs,0.28
2755,darganfod,定位,verbs,1.08
2756,amsugno,擁有,verbs,0.29
2757,datgymalu,死,verbs,0.05
2758,blwyddyn,生日,nouns,0.96
2759,cân,歌謠,nouns,4.23
2760,enfawr,大規模,adjectives,3.81
2761,gwyddbwyll,檢查,nouns,0.0
2762,cynnyrch llaeth,蜜糖,nouns,0.24
2763,beddrod,墳墓,nouns,1.0
2764,dydd  ,黎明,nouns,1.82
2765,braich,靜脈,nouns,0.29
2766,disgwyl,離開,verbs,0.0
2767,claddedigaeth,死亡,nouns,1.93
2768,modur,船,nouns,0.49
2769,coginio,失去,verbs,0.04
2770,tudalen,詞,nouns,0.68
2771,ardal,區城,nouns,4.74
2772,botwm,衣服,nouns,0.51
2773,pwerus,弱,adjectives,0.04
2774,lifft,汽車,nouns,0.19
2775,cyfansoddiad,參議院,nouns,0.91
2776,hapus,年輕,adjectives,0.2
2777,mynychu,來,verbs,2.91
2778,gwario,保存,verbs,0.05
2779,incwm,税,nouns,0.48
2780,braich,肩膀,nouns,1.81
2781,cyfieithydd,外國人,nouns,0.29
2782,addurn,信封,nouns,0.0
2783,mainc,椅子,nouns,3.18
2784,berwi,炒,verbs,0.78
2785,casglu,搖動,verbs,0.0
2786,dadl,協議,nouns,0.14
2787,merch,孩子,nouns,1.55
2788,arae,名單,nouns,1.08
2789,yn fras,容易地,adverbs,0.37
2790,drwm,吉他,nouns,0.86
2791,casáu,批評,verbs,0.73
2792,lori,汽車,nouns,1.98
2793,awyrgylch,污染,nouns,0.92
2794,rhyddhau,按下,verbs,0.14
2795,cais,申請人,nouns,1.18
2796,cerflunwaith,雕像,nouns,4.78
2797,esgeuluso,斷絕父子關係,verbs,0.2
2798,ochr,下面,nouns,0.68
2799,gwneud,發生,verbs,0.44
2800,gwirio,西洋棋,nouns,0.0
2801,aflonydd,年輕,adjectives,0.2
2802,fel mater o drefn,一般,adverbs,3.87
2803,digartref,億萬富翁,nouns,0.1
2804,dec,老鼠,nouns,0.04
2805,marwolaeth,災難,nouns,1.45
2806,ardal,地帶,nouns,4.65
2807,cwmwl,窗口,nouns,0.0
2808,dosbarth,混亂,nouns,0.05
2809,hawdd,困難,adjectives,0.18
2810,anghyfreithlon,合法,adjectives,0.14
2811,llys,法官,nouns,0.91
2812,traddodiad,手工業,nouns,0.33
2813,beic,睡房,nouns,0.0
2814,cegin,門,nouns,0.28
2815,nod,赢家,nouns,0.23
2816,calon,手術,nouns,0.46
2817,prawf,事實,nouns,0.95
2818,dod â,恢復,verbs,0.18
2819,disg,充電器,nouns,0.0
2820,cydymaith,情人,nouns,4.03
2821,yn hawdd,大致地,adverbs,0.37
2822,bàth,房間,nouns,0.48
2823,cau,嘔吐,verbs,0.0
2824,gymnasteg,擊劍,nouns,0.48
2825,ewin,拇指,nouns,1.46
2826,rhiant,父親,nouns,2.95
2827,pothell,插圖,nouns,0.04
2828,deall,滿足,verbs,0.3
2829,brifo,搞到唔開心,verbs,0.14
2830,allwedd,鎖,nouns,1.05
2831,anghenus,無助,adjectives,1.05
2832,pryd bwyd,晚餐,nouns,3.06
2833,cerflunydd,大廈,nouns,0.15
2834,dirmygu,討厭,verbs,2.12
2835,llyfr,聖經,nouns,1.41
2836,rhythm,詩,nouns,0.96
2837,newynog,渴,adjectives,1.84
