ID,EST,YUE,PoS,score
2180,äkkrünnak,攻擊,nouns,3.54
2181,autor,讀者,nouns,0.68
2182,taevas,宇宙,nouns,1.94
2183,jagama,加,verbs,0.52
2184,vajama,安排,verbs,0.44
2185,vaikselt,被動地,adverbs,0.92
2186,vehklemine,體操,nouns,1.08
2187,käsivars,手腕,nouns,1.47
2188,tuli,大災變,nouns,0.54
2189,valima,想,verbs,0.74
2190,raamat,故事,nouns,2.5
2191,põhi,上面,nouns,0.45
2192,ütlema,參與,verbs,0.35
2193,proovima,實現,verbs,0.73
2194,biograafia,小說,nouns,1.57
2195,arv,數字,nouns,4.3
2196,hankima,獲得,verbs,4.08
2197,rahvas,派對,nouns,0.81
2198,vähetähtis,重大,adjectives,0.43
2199,täring,立方體,nouns,2.66
2200,moraal,傳說,nouns,0.39
2201,iidne,現代,adjectives,0.39
2202,mees,哨兵,nouns,1.15
2203,väljend,字,nouns,1.55
2204,võtma,奪取,verbs,2.96
2205,seaduslik,非法,adjectives,0.44
2206,klaviatuur,光,nouns,0.19
2207,priius,自由,nouns,5.17
2208,hiilgav,棒,adjectives,4.34
2209,vahekäik,大廳,nouns,0.6
2210,printsess,島,nouns,0.0
2211,täht,行星,nouns,2.15
2212,tihti,不經常,adverbs,0.34
2213,valelik,真實,adjectives,0.34
2214,ebamoraalne,非法,adjectives,2.47
2215,naarits,油,nouns,0.24
2216,luu,頸,nouns,0.63
2217,kulutama,保存,verbs,0.4
2218,definitisioon,字典,nouns,1.5
2219,meloodia,音樂,nouns,2.86
2220,märksõna,句法,nouns,0.78
2221,trikk,遊戲,nouns,1.03
2222,putukamürk,蟲害,nouns,0.92
2223,esik,走廊,nouns,4.14
2224,au andma,演出,verbs,0.15
2225,vastutustundlikult,獨立地,adverbs,1.44
2226,luuletaja,記者,nouns,0.74
2227,metall,錫,nouns,2.49
2228,aken,門,nouns,0.96
2229,jõukus,聲望,nouns,0.74
2230,kerge,簡單,adjectives,4.88
2231,vastu võtma,拒絕,verbs,0.48
2232,süsteem,故障,nouns,0.34
2233,palee,高樓大廈,nouns,0.73
2234,hirmunud,緊張,adjectives,2.55
2235,kohus,法官,nouns,1.26
2236,käsikiri,文章,nouns,1.93
2237,kahanema,減少,verbs,2.8
2238,ülikoolilinnak,大學,nouns,2.13
2239,rahul,瘋狂,adjectives,0.57
2240,usaldusväärselt,大致,adverbs,0.38
2241,vill,插圖,nouns,0.1
2242,juhtkond,管理,nouns,3.74
2243,jänes,老師,nouns,0.5
2244,otsustama,判斷,verbs,2.75
2245,kaval,奇怪,adjectives,0.91
2246,mitte kunagi,稍後,adverbs,0.05
2247,käepide,蛋白質,nouns,0.04
2248,simulatsioon,機器人技術,nouns,0.92
2249,segadus,歇斯底里,nouns,2.58
2250,kari,乳酪,nouns,0.38
2251,kell,門,nouns,0.48
2252,imepisike,巨大,adjectives,0.29
2253,maja,穀倉,nouns,1.06
2254,lööma,捏,verbs,1.07
2255,ebaviisakas,噪,adjectives,1.13
2256,tähelepanelikult,謹慎地,adverbs,4.46
2257,diagramm,圖解,nouns,3.21
2258,aitama,保護,verbs,2.17
2259,maja,地毯,nouns,0.53
2260,põlgama,收費,verbs,0.0
2261,kägistama,殺,verbs,3.17
2262,pära,懸崖,nouns,0.04
2263,surmavalt,高高興興地,adverbs,0.1
2264,isa,天神,nouns,0.24
2265,hämmastav,脏,adjectives,0.25
2266,uks,兄弟會,nouns,0.15
2267,vahetama,改變,verbs,3.59
2268,ise,自信,nouns,0.92
2269,kaotama,保持,verbs,0.24
2270,kõver,直,adjectives,0.43
2271,kodu,州,nouns,0.34
2272,kummaline,怪誕,adjectives,4.88
2273,tegu,課程,nouns,0.93
2274,medal,運動鞋,nouns,0.2
2275,tihe,堅硬,adjectives,2.6
2276,suhtumine,自信,nouns,0.81
2277,lammas,羊肉,nouns,3.87
2278,isa,兒子,nouns,1.9
2279,hüpotees,理論,nouns,3.04
2280,poiss,合作夥伴,nouns,1.13
2281,arvuti,機器,nouns,2.31
2282,loomulikult,非自然,adverbs,0.29
2283,uhke,貧窮,adjectives,0.3
2284,ilusti,優雅地,adverbs,3.52
2285,kümnend,世紀,nouns,1.29
2286,puu,葉,nouns,0.96
2287,õlg,手臂,nouns,1.56
2288,assisteerima,援助,verbs,4.34
2289,leht,樹,nouns,0.96
2290,suu,鼻子,nouns,0.79
2291,tants,裙,nouns,0.45
2292,tass,錐形蛋筒,nouns,0.29
2293,ball,服裝,nouns,0.74
2294,auto,船,nouns,0.63
2295,samasugune,類似,adjectives,3.75
2296,sõdur,和平,nouns,0.24
2297,bioloogia,解剖學,nouns,2.27
2298,heelium,空氣,nouns,1.07
2299,põllumajandus,單一耕作,nouns,1.76
2300,kuu,八月,nouns,2.08
2301,auto,單車,nouns,1.33
2302,firma,商業,nouns,4.05
2303,vaidlema,叫喊,verbs,0.64
2304,kroon,锁匙,nouns,0.49
2305,halb,不誠實,adjectives,1.75
2306,põlv,手臂,nouns,0.68
2307,kleepuv,脏,adjectives,1.27
2308,popkorn,電影,nouns,0.87
2309,sõna,報紙,nouns,1.05
2310,veri,病毒,nouns,0.83
2311,patarei,能量,nouns,2.13
2312,tööline,相機,nouns,0.23
2313,kritseldama,寫,verbs,3.07
2314,raamat,聖經,nouns,1.16
2315,võõrastemaja,汽車旅館,nouns,3.41
2316,nüüd,這裡,adverbs,1.08
2317,kitsas,白色,adjectives,0.1
2318,hauakamber,重新安葬,nouns,1.0
2319,tekk,地板,nouns,0.73
2320,aktsepteerima,同意,verbs,4.45
2321,kukkuma,傷害,verbs,0.93
2322,määrama,撤離,verbs,0.05
2323,tugevalt,輕輕的,adverbs,0.34
2324,polüester,棉,nouns,0.72
2325,komm,蘋果,nouns,0.44
2326,sõrmus,訂婚,nouns,1.23
2327,advokaat,畫廊,nouns,0.0
2328,kass,老鼠,nouns,0.48
2329,vibukütt,探路者,nouns,0.34
2330,andma,放,verbs,0.62
2331,mäng,行動,nouns,1.21
2332,agressiivne,彎曲,adjectives,0.25
2333,komm,肉桂,nouns,0.58
2334,eellane,過去,nouns,2.25
2335,kulutama,穿,verbs,0.73
2336,vastu võtma,運送,verbs,0.3
2337,tagasi võtma,吸收,verbs,0.1
2338,kahanema,消失,verbs,1.21
2339,pehmelt,大聲地,adverbs,0.24
2340,keeglimängija,保齡球,nouns,1.61
2341,sajand,十年,nouns,1.29
2342,kuritegu,違反,nouns,3.49
2343,vihje,事實,nouns,0.92
2344,naps,紅酒,nouns,2.64
2345,tahtma,借,verbs,0.39
2346,nina,頭,nouns,0.49
2347,omandama,取得,verbs,4.08
2348,puhas,一塵不染,adjectives,4.65
2349,tila,流體,nouns,0.73
2350,kapp,衣服,nouns,0.86
2351,peatükk,晚上,nouns,0.05
2352,piparmünt,口香糖,nouns,0.58
2353,riff,海灘,nouns,0.58
2354,kirik,大教堂,nouns,4.78
2355,radiaator,傳感器,nouns,0.46
2356,stiil,時裝,nouns,3.55
2357,tolm,掃帚,nouns,1.01
2358,tagasi lükkama,接受,verbs,0.48
2359,küün,屋,nouns,1.06
2360,tooma,來,verbs,1.68
2361,usaldusväärselt,負責任,adverbs,3.5
2362,ihaldama,想要,verbs,4.07
2363,diplomaatia,談判,nouns,2.79
2364,ilmuma,成為,verbs,0.48
2365,laul,歌謠,nouns,3.73
2366,põrand,門,nouns,0.78
2367,põhiliselt,關鍵地,adverbs,0.53
2368,tossud,獎章,nouns,0.2
2369,kood,符號,nouns,1.35
2370,läbikukkumine,破產,nouns,1.45
2371,ründama,責怪,verbs,2.96
2372,suhtlus,偈,nouns,3.35
2373,kahuripaat,海岸,nouns,0.39
2374,molekul,空氣,nouns,0.82
2375,ignorantne,頻繁,adjectives,0.24
2376,osalema,拗撬,verbs,0.15
2377,õpetama,懲罰,verbs,0.33
2378,ründama,傷害,verbs,2.75
2379,teadlane,護士,nouns,0.15
2380,galerii,律師,nouns,0.0
2381,muffin,香芹,nouns,0.24
2382,hull,瘋狂,adjectives,5.08
2383,naps,世紀,nouns,0.04
2384,atmosfäär,污染,nouns,0.72
2385,biheiviorism,治療,nouns,0.5
2386,ühinema,獲得,verbs,0.25
2387,vesi,鹽,nouns,0.35
2388,auto,喇叭,nouns,0.59
2389,kahanema,成長,verbs,0.3
2390,kalju,尾巴,nouns,0.04
2391,toru,雪茄,nouns,0.54
2392,normaalne,不同,adjectives,0.45
2393,heledus,星,nouns,1.97
2394,kinnas,球,nouns,0.29
2395,pudel,廣口瓶,nouns,2.98
2396,harjutama,重複,verbs,2.91
2397,vihane,開心,adjectives,0.29
2398,lumelaud,滑雪,nouns,1.46
2399,mantel,衣服,nouns,2.18
2400,meel,直覺,nouns,3.69
2401,õnnetus,緊急情況,nouns,3.54
2402,osalema,聚集,verbs,1.03
2403,boss,董事,nouns,3.96
2404,ajaleht,資料,nouns,2.07
2405,käsi,頸,nouns,0.73
2406,õppima,評估,verbs,0.49
2407,puhastustuli,後世,nouns,0.7
2408,kartul,牛油,nouns,0.55
2409,looma,建立,verbs,3.66
2410,mõtisklema,想,verbs,3.73
2411,helikopter,飛機,nouns,2.13
2412,relv,戲法,nouns,0.2
2413,jumal,心靈,nouns,0.4
2414,tähestik,鋼筆,nouns,0.3
2415,otsekohe,一次,adverbs,0.14
2416,steik,肉,nouns,4.19
2417,andur,散熱器,nouns,0.46
2418,pühak,罪人,nouns,0.45
2419,mask,派對,nouns,0.58
2420,nõbu,叔叔,nouns,1.73
2421,halb,內疚,adjectives,0.97
2422,algama,走,verbs,0.3
2423,kaitsma,冚住,verbs,1.02
2424,säästja,存款,nouns,1.4
2425,eine,晚飯,nouns,3.0
2426,kohtuma,游泳,verbs,0.04
2427,paluma,借,verbs,1.22
2428,kääbuskasvu,短小,adjectives,3.81
2429,laisk,忙碌,adjectives,0.24
2430,seisund,男孩,nouns,0.1
2431,kass,狗,nouns,1.02
2432,veiseliha,肉,nouns,3.13
2433,veenma,追求,verbs,0.29
2434,reostus,大氣層,nouns,0.72
2435,tooma,發送,verbs,0.39
2436,säilitama,忘記,verbs,0.34
2437,kahtlemata,肯定地,adverbs,4.38
2438,ära ütlema,接受,verbs,0.3
2439,mängija,教練,nouns,0.7
2440,keeruline,容易,adjectives,0.48
2441,järv,雲,nouns,0.38
2442,õppima,教育,verbs,2.9
2443,naine,秘書,nouns,1.92
2444,auto,高速公路,nouns,1.01
2445,vihm,毛毛雨,nouns,4.13
2446,kõrb,沙丘,nouns,1.88
2447,mast,旗,nouns,1.11
2448,lisama,乘,verbs,0.96
2449,piparmünt,博物館,nouns,0.04
2450,osalema,說,verbs,0.35
2451,lubama,侵蝕,verbs,0.1
2452,köök,洗手間,nouns,0.83
2453,rõõmustav,精彩,adjectives,2.46
2454,maks,肺,nouns,0.83
2455,kroonimine,水,nouns,0.1
2456,rikkuma,聞,verbs,0.0
2457,pööraselt,可悲的是,adverbs,0.34
2458,mesilane,螞蟻,nouns,1.37
2459,mesilane,女王,nouns,0.4
2460,uhkus,喜悅,nouns,1.88
2461,sviiter,棉,nouns,0.83
2462,kaklema,玩,verbs,0.53
2463,haisema,發出氣味,verbs,2.58
2464,kirik,合唱團,nouns,1.12
2465,kostüüm,球,nouns,0.74
2466,pritsess,餅乾,nouns,0.05
2467,umbes,粗糙地,adverbs,1.77
2468,liikumine,活動,nouns,2.62
2469,kass,寵物,nouns,2.51
2470,pesema,沖洗,verbs,3.65
2471,veok,汽車,nouns,2.73
2472,ülioluline,重要,adjectives,4.04
2473,ala,角,nouns,0.29
2474,võitja,冠軍,nouns,4.73
2475,kaotama,失敗,verbs,1.46
2476,külge tõmbama,打,verbs,0.3
2477,muutma,更改,verbs,3.59
2478,juhm,孩子氣,adjectives,2.03
2479,kodus,在別處,adverbs,0.44
2480,naine,男人,nouns,0.87
2481,tahtma,選擇,verbs,0.74
2482,alati,兩次,adverbs,0.14
2483,katma,埋葬,verbs,1.83
2484,jahtima,搜索,verbs,1.47
2485,ümberlõikus,包皮,nouns,1.52
2486,abistama,協助,verbs,4.34
2487,jõud,耐力,nouns,2.76
2488,eine,晚餐,nouns,3.1
2489,leidma,逃逸,verbs,0.2
2490,kohalikult,緊密地,adverbs,0.75
2491,hiljem,從未,adverbs,0.05
2492,minema,發送,verbs,0.35
2493,tekst,書,nouns,1.55
2494,vürtsine,弱,adjectives,0.04
2495,leht,幼苗,nouns,1.0
2496,nädalavahetus,種族,nouns,0.0
2497,lubama,贊成,verbs,3.53
2498,õnnetus,大災難,nouns,3.66
2499,sõna,字典,nouns,1.21
2500,veen,手臂,nouns,0.49
2501,normaalne,奇怪,adjectives,0.39
2502,leidma,消失,verbs,0.35
2503,loobuma,斷絕父子關係,verbs,2.88
2504,teema,書,nouns,0.54
2505,rahu,士兵,nouns,0.24
2506,tagasi lükkama,選舉,verbs,0.45
2507,andma,收到,verbs,0.58
2508,oluline,關鍵,adjectives,4.04
2509,saabuma,離開,verbs,0.4
2510,keeruline,艱難,adjectives,5.03
2511,riided,布料,nouns,2.28
2512,tõsiselt,真誠地,adverbs,2.54
2513,miin,岩石,nouns,0.46
2514,rahulikult,堅固地,adverbs,0.71
2515,uhke,傷心,adjectives,0.0
2516,ilmselgelt,本地,adverbs,0.14
2517,tihedalt,難以置信地,adverbs,0.34
2518,sale,瘦,adjectives,4.96
2519,tööline,機器匠,nouns,2.1
2520,paindlik,有彈性,adjectives,4.24
2521,luu,膝蓋,nouns,1.01
2522,deemon,怪獸,nouns,3.49
2523,uus,舊,adjectives,0.44
2524,suur,容易,adjectives,0.1
2525,aluspesu,身體,nouns,0.77
2526,viies,最佳,adjectives,0.44
2527,vitamiin,鐵,nouns,0.54
2528,paraad,樂隊,nouns,0.68
2529,kaamera,工作者,nouns,0.23
2530,õde,科學家,nouns,0.15
2531,täiskasvanu,監護人,nouns,2.51
2532,tilkuma,倒,verbs,0.92
2533,tulema,出席,verbs,2.31
2534,jätma,見面,verbs,0.0
2535,trikk,槍,nouns,0.2
2536,taipama,發現,verbs,3.29
2537,aed,軟管,nouns,0.49
2538,värske,寬,adjectives,0.05
2539,kohalolek,門,nouns,0.2
2540,neelama,喝,verbs,1.56
2541,unistus,天空,nouns,0.4
2542,vabastama,拯救,verbs,4.78
2543,uskumus,花,nouns,0.05
2544,säravalt,輕輕地,adverbs,0.43
2545,tsüklon,颱風,nouns,3.04
2546,statistika,網球,nouns,0.2
2547,tubakas,香煙,nouns,3.27
2548,kass,兔子,nouns,1.32
2549,kirikutorn,教堂,nouns,1.07
2550,minema,開始,verbs,0.3
2551,vaimustav,平淡,adjectives,0.23
2552,leib,芝士,nouns,0.93
2553,abikaasa (naine),一分錢,nouns,0.05
2554,valgus,鍵盤,nouns,0.19
2555,luu,手臂,nouns,0.83
2556,peekon,肉,nouns,2.72
2557,reaalsus,幻想,nouns,0.81
2558,mehaaniliselt,理想地,adverbs,0.38
2559,kael,手臂,nouns,0.73
2560,mantel,帽子,nouns,0.68
2561,hiiglasuur,大規模,adjectives,3.76
2562,meelde tuletama,告訴,verbs,2.13
2563,piiskop,大主教,nouns,4.0
2564,plärtsatus,粘性,nouns,0.1
2565,jää,水,nouns,2.24
2566,rebima,穿,verbs,0.05
2567,abikaasa (naine),老公,nouns,2.79
2568,lahkuma,到達,verbs,0.4
2569,vajalikult,實質上,adverbs,0.92
2570,sulgema,嘔吐,verbs,0.0
2571,lõik,頁,nouns,1.07
2572,eneseväärikus,徽章,nouns,0.33
2573,rand,海,nouns,2.17
2574,trikk,沖涼,nouns,0.04
2575,varras,窗帘,nouns,0.29
2576,vaene,自豪,adjectives,0.3
2577,teejuht,手冊,nouns,3.19
2578,dieet,沙拉,nouns,0.73
2579,delikaatselt,目前,adverbs,0.38
2580,lennundus,航空電子學,nouns,3.18
2581,semester,學期,nouns,4.03
2582,kott,錢包,nouns,3.12
2583,brändi,紅酒,nouns,2.44
2584,preester,預言家,nouns,1.02
2585,kinnitama,辯解,verbs,0.84
2586,uurima,檢查,verbs,3.59
2587,pärima,想,verbs,0.49
2588,hõljuma,唱,verbs,0.0
2589,lõdvestunud,強調,adjectives,0.48
2590,kohtunik,法庭,nouns,1.26
2591,delta,海,nouns,0.87
2592,ütlema,提醒,verbs,2.13
2593,jõud,威力,nouns,3.53
2594,õhtueine,餐,nouns,3.1
2595,kaks korda,一次,adverbs,0.49
2596,käsi,身體,nouns,0.91
2597,iste,銀行,nouns,0.2
2598,tagasihoidlik,靈活,adjectives,0.48
2599,klaas,水晶,nouns,2.42
2600,vangla,選擇,nouns,0.2
2601,jõllitama,瞇,verbs,0.7
2602,karjuma,尖叫,verbs,3.51
2603,tänav,汽車,nouns,0.72
2604,loom,野獸,nouns,4.18
2605,alkohol,白蘭地酒,nouns,3.02
2606,soolikas,神經,nouns,0.39
2607,lipp,杆,nouns,1.11
2608,pall,排球,nouns,2.74
2609,kange,簡單,adjectives,0.05
2610,pragunema,打碎,verbs,1.4
2611,paat,錨,nouns,0.92
2612,antropoloogia,考古學,nouns,1.88
2613,pilv,霧氣,nouns,2.22
2614,ärritama,對抗,verbs,0.38
2615,proovima,說服,verbs,0.74
2616,teadma,理解,verbs,3.15
2617,iil,毯,nouns,0.25
2618,pahkluu,肘,nouns,0.92
2619,andma,保持,verbs,0.34
2620,hümn,征服,nouns,0.15
2621,intelligentsus,邏輯,nouns,2.56
2622,saama,失去,verbs,0.15
2623,noor,開心,adjectives,0.45
2624,münt,付款,nouns,0.97
2625,advokaat,大狀,nouns,4.28
2626,voodi,傢俱,nouns,2.37
2627,hindama,評分,verbs,4.08
2628,salat,醋,nouns,0.47
2629,põiktänav,碗,nouns,0.0
2630,turvama,保護,verbs,4.03
2631,säilitama,保持,verbs,3.91
2632,kolledž,級數,nouns,0.7
2633,klaas,徽章,nouns,0.24
2634,õlg,頭,nouns,0.83
2635,palavik,流感,nouns,1.7
2636,täiskasvanu,小孩,nouns,0.78
2637,kurat,天神,nouns,0.65
2638,õhk,分子,nouns,0.82
2639,valimine,選擇,nouns,2.73
2640,abikaasa (naine),沖涼,nouns,0.04
2641,autopasun,車,nouns,0.59
2642,globalism,簽證,nouns,0.68
2643,pea,指甲,nouns,0.29
2644,putka,盒子,nouns,0.55
2645,slaid,光標,nouns,0.18
2646,äri,公司,nouns,4.05
2647,tool,沙發,nouns,2.4
2648,hammas,嘴巴,nouns,0.87
2649,vestlus,溝通,nouns,3.35
2650,klatš,新聞,nouns,1.56
2651,rahvas,氣球,nouns,0.1
2652,nutitelefon,菠蘿,nouns,0.05
2653,ballaad,歌曲,nouns,3.73
2654,valuuta,並行性,nouns,0.05
2655,katma,保護,verbs,1.02
2656,teadma,明白,verbs,3.41
2657,kandma,運送,verbs,2.34
2658,süütu,自由,adjectives,0.55
2659,puus,嘴唇,nouns,0.39
2660,võtma,離開,verbs,0.45
2661,raamat,資料,nouns,1.05
2662,või,土豆,nouns,0.55
2663,vormimata,制服,adjectives,0.3
2664,kolonel,牙醫,nouns,0.1
2665,rohumaa,草地,nouns,4.43
2666,arvamus,選擇,nouns,1.01
2667,ettevaatlikult,危險地,adverbs,0.29
2668,korrutama,除,verbs,0.44
2669,tseremoonia,慶祝,nouns,3.07
2670,põlv,骨頭,nouns,1.01
2671,parim,第五,adjectives,0.44
2672,kerge,困難,adjectives,0.35
2673,mahl,蘋果,nouns,1.21
2674,tolmendamine,蕊,nouns,1.41
2675,number,數,nouns,4.3
2676,imetlema,崇拜,verbs,4.57
2677,ajaloouurija,歷史學家,nouns,5.56
2678,naine,毛,nouns,0.2
2679,aeg-ajalt,經常地,adverbs,0.97
2680,raha,珍珠,nouns,0.47
2681,lihtsalt,看來,adverbs,1.02
2682,kohtuma,離開,verbs,0.0
2683,tank,汽車,nouns,0.86
2684,kuulama,明白,verbs,0.74
2685,ebaküps,長大,adjectives,0.24
2686,soovitama,提議,verbs,4.98
2687,ühendama,結婚,verbs,0.97
2688,fantaasia,現實,nouns,0.81
2689,ratas,皮膚,nouns,0.15
2690,vöökoht,一餐,nouns,0.15
2691,kapten,水手,nouns,0.83
2692,korporatsioon,門,nouns,0.15
2693,päikeseloojang,表,nouns,0.05
2694,riis,豆,nouns,0.88
2695,homofoon,光線電話機,nouns,0.1
2696,kindlus,態度,nouns,0.81
2697,tõesti,完美地,adverbs,0.43
2698,tütar,孩子,nouns,1.46
2699,allikas,噴泉,nouns,3.53
2700,sidrun,茶,nouns,0.43
2701,suurus,戲法,nouns,0.05
2702,sisehõõrdumine,濺,nouns,0.1
2703,sukelduma,創建,verbs,0.2
2704,vastu võtma,推介,verbs,0.25
2705,oluline,次要,adjectives,0.43
2706,vann,妻子,nouns,0.04
2707,jard,米,nouns,1.94
2708,patune,聖,nouns,0.45
2709,valitseja,國王,nouns,4.43
2710,omandama,加入,verbs,0.25
2711,räpane,非常好,adjectives,0.25
2712,tõstma,提高,verbs,2.46
2713,anatoomia,生物學,nouns,2.27
2714,paindlik,鬆動,adjectives,1.45
2715,õepoeg,阿姨,nouns,1.19
2716,ülesanne,工作,nouns,3.19
2717,liikuma,編織,verbs,0.2
2718,laskuma,撤退,verbs,0.6
2719,nool,目標,nouns,0.9
2720,laager,艙,nouns,0.78
2721,ametlikult,強烈地,adverbs,0.82
2722,paindlik,活動,adjectives,2.41
2723,pisar,眼睛,nouns,1.02
2724,pilt,主意,nouns,0.39
2725,praadima,煮沸,verbs,0.68
2726,kissitama,怒視,verbs,0.7
2727,õhtueine,早餐,nouns,1.55
2728,võlgnema,進入,verbs,0.05
2729,koridor,門,nouns,0.98
2730,riided,鈕扣,nouns,0.81
2731,unustama,無視,verbs,2.03
2732,kirjanik,禮物,nouns,0.34
2733,kokkulangevus,貨幣,nouns,0.05
2734,solvama,打稿,verbs,0.4
2735,allkirjastama,浮動,verbs,0.0
2736,metsamajake,茅屋,nouns,3.33
2737,abikaasa (mees),男人,nouns,2.88
2738,loll,傻,adjectives,4.71
2739,õpetaja,朋友,nouns,1.05
2740,mugavalt,容易地,adverbs,1.21
2741,pink,椅子,nouns,3.63
2742,teksad,女人,nouns,0.24
2743,operatsioon,心臟,nouns,0.67
2744,kuup,玩具,nouns,0.44
2745,kogunema,出席,verbs,1.03
2746,raske,簡單,adjectives,0.29
2747,tänav,小巷,nouns,3.4
2748,ebavajalik,必須,adjectives,0.29
2749,analüüsima,比較,verbs,3.33
2750,sadam,包裝紙,nouns,0.04
2751,mees,丈夫,nouns,2.88
2752,lõpetama,做,verbs,0.7
2753,peatuma,駕駛,verbs,0.34
2754,surema,埋葬,verbs,0.95
2755,ehitamine,毀滅,nouns,0.58
2756,abikaasa (naine),稻草,nouns,0.0
2757,lihtne,容易,adjectives,4.88
2758,taganema,降落,verbs,0.6
2759,ohutu,合法,adjectives,1.46
2760,tera,草,nouns,0.25
2761,jooma,混合,verbs,0.34
2762,lükkama,責怪,verbs,0.47
2763,hoiatama,停,verbs,0.24
2764,tegema,戒除,verbs,0.7
2765,kinni püüdma,抓住,verbs,3.88
2766,vahetus,貨幣,nouns,0.93
2767,ema,妻子,nouns,2.51
2768,keetma,炒,verbs,0.68
2769,põhimõtteliselt,充分,adverbs,1.27
2770,valik,選舉,nouns,2.73
2771,paat,樹,nouns,0.04
2772,rikkumine,犯罪,nouns,3.49
2773,meeter,碼,nouns,1.94
2774,lasteaed,幼兒,nouns,1.78
2775,varastama,購買,verbs,0.3
2776,televisioon,編劇,nouns,1.01
2777,lisama,加入,verbs,0.76
2778,ümbris,港口,nouns,0.04
2779,dollar,百萬富翁,nouns,0.63
2780,laadima,蔑視,verbs,0.0
2781,kivisüsi,木炭,nouns,2.98
2782,nõudma,拗撬,verbs,0.8
2783,minema,進入,verbs,1.02
2784,fakt,洞察力,nouns,0.92
2785,haruldane,非一般,adjectives,4.07
2786,põrand,甲板,nouns,0.73
2787,aktiivselt,被動地,adverbs,0.24
2788,vannituba,睡房,nouns,1.02
2789,õnnelikult,積極地,adverbs,1.26
2790,puhas,亂,adjectives,0.34
2791,satiir,神話,nouns,0.78
2792,torm,雪,nouns,1.17
2793,liputeadus,旗,nouns,1.1
2794,ülestunnistus,否認,nouns,0.72
2795,võib-olla,大概,adverbs,3.5
2796,vahemaa,角度,nouns,0.63
2797,käekott,袋,nouns,3.12
2798,lahkelt,温和地,adverbs,3.11
2799,suurepäraselt,极其,adverbs,4.11
2800,puuvill,聚酯纖維,nouns,0.72
2801,passiivne,暴力,adjectives,0.29
2802,anuma,乞求,verbs,3.88
2803,elastne,靈活的,adjectives,4.24
2804,sile,尖,adjectives,0.4
2805,kindlalt,明顯地,adverbs,3.45
2806,sõrm,手掌,nouns,1.18
2807,kõht,腰,nouns,2.82
2808,auto,車,nouns,5.5
2809,õiglaselt,成熟地,adverbs,0.54
2810,patarei,劇院,nouns,0.29
2811,kehvasti,謙遜地,adverbs,0.69
2812,teekond,旅行,nouns,4.86
2813,alluma,懲罰,verbs,0.43
2814,elegantselt,美麗地,adverbs,3.52
2815,kaitsma,幫助,verbs,2.17
2816,sõbralik,不會,adverbs,0.0
2817,sihtima,打中,verbs,1.54
2818,maatriks,分子,nouns,0.8
2819,lahustama,混合,verbs,0.39
2820,välja tõstma,空出,verbs,0.59
2821,imenduma,退出,verbs,0.1
2822,lubama,給,verbs,2.52
2823,turvaline,乏味,adjectives,0.29
2824,murdma,裂開,verbs,1.4
2825,jääma,得到,verbs,0.55
2826,puuvijaaed,鴕鳥,nouns,0.0
2827,juust,麵包,nouns,0.93
2828,nahk,自行車,nouns,0.15
2829,lahkuma,參加,verbs,0.15
2830,teavitama,通知,verbs,5.38
2831,ära tõukama,聲明放棄,verbs,2.88
2832,rütm,旋律,nouns,2.69
2833,reis,旅程,nouns,4.86
2834,informeerima,通知,verbs,5.38
2835,teekond,征服,nouns,0.59
2836,veendunud,肯定,adjectives,5.0
2837,võimekus,力量,nouns,3.09
2838,tass,罐子,nouns,1.64
2839,lift,盒子,nouns,0.2
2840,luuletus,韻律,nouns,1.02
2841,kallis,神聖,adjectives,1.84
2842,leidma,獲得,verbs,2.08
2843,veski,種子,nouns,0.69
2844,tunnel,路徑,nouns,0.86
2845,umbes,不耐煩地,adverbs,0.38
2846,praadima,烘烤,verbs,2.88
2847,algvorm,音節,nouns,1.1
2848,korratu,井井有條,verbs,0.39
2849,nõustuma,不同,verbs,0.24
2850,sipelgas,蒼蠅,nouns,1.16
2851,ideaalselt,機械地,adverbs,0.38
2852,suu,牙齒,nouns,0.87
2853,järgima,說服,verbs,0.29
2854,tähendusrikkalt,特別,adverbs,1.16
2855,laotama,塗抹,verbs,0.43
2856,teadma,給,verbs,0.04
2857,madrus,隊長,nouns,0.83
2858,klassiruum,走廊,nouns,0.49
2859,õhk,氦氣,nouns,1.07
2860,auhind,付款,nouns,0.53
2861,nõrk,強大,adjectives,0.15
2862,vahe,開口,nouns,3.36
2863,sipelgas,蜜蜂,nouns,1.37
2864,ülesanne,島,nouns,0.0
2865,küpsetama,炒,verbs,2.88
2866,robustselt,大致,adverbs,1.77
2867,uks,存在,nouns,0.2
2868,kuu,行星,nouns,2.27
2869,hambad,鎚,nouns,0.15
2870,kirjanik,小說,nouns,0.88
2871,nõrk,辣,adjectives,0.04
2872,karistama,教,verbs,0.33
2873,taldrik,碗,nouns,2.38
2874,inimene,動物,nouns,0.93
2875,varastama,獲得,verbs,0.47
2876,kitarr,鼓,nouns,0.96
2877,andma,斷絕父子關係,verbs,0.2
2878,president,政治家,nouns,3.15
2879,semu,伴侶,nouns,3.69
2880,pakkumine,貢獻,nouns,2.35
2881,auto,街,nouns,0.72
2882,atmosfäär,臭氧,nouns,2.78
2883,kahur,槍,nouns,2.25
2884,valik,意見,nouns,1.01
2885,ukseava,門,nouns,3.41
2886,list,陣列,nouns,1.44
2887,koguma,聚集,verbs,1.5
2888,sajand,酒,nouns,0.04
