ID,ENG,SPA,PoS,score
2295,brightly,muy,adverbs,0.42
2296,uniform,desformado,adjectives,0.3
2297,magistrate,juez,nouns,3.79
2298,say,verificar,verbs,0.74
2299,tonight,mañana,adverbs,0.32
2300,necessary,importante,adjectives,3.75
2301,accident,catástrofe,nouns,3.27
2302,altitude,conversión,nouns,0.35
2303,sun,cielo,nouns,0.81
2304,foreskin,circuncisión,nouns,1.34
2305,furniture,cama,nouns,1.44
2306,meat,sándwich,nouns,0.52
2307,boat,ancla,nouns,0.66
2308,chair,sofá,nouns,2.65
2309,notebook,ordenador portátil,nouns,0.81
2310,cup,cuchara,nouns,0.94
2311,clearly,seguramente,adverbs,3.55
2312,trainers,medalla,nouns,0.14
2313,outgoing,bonito,adjectives,0.52
2314,formula,tronco,nouns,0.17
2315,calmly,firmemente,adverbs,0.71
2316,dissolve,mezclar,verbs,1.69
2317,soldier,niño,nouns,0.24
2318,biologist,microscopio,nouns,0.72
2319,juice,manzana,nouns,0.89
2320,nice,generoso,adjectives,0.82
2321,bean,arroz,nouns,0.94
2322,imagine,crear,verbs,1.34
2323,destroy,salvar,verbs,0.05
2324,writer,compositor,nouns,2.74
2325,capability,fuerza,nouns,2.6
2326,plant,agricultura,nouns,1.06
2327,erode,permitir,verbs,0.0
2328,lip,boca,nouns,1.92
2329,cab,autobús,nouns,1.54
2330,prosecutor,abogado,nouns,2.75
2331,border,límite,nouns,4.97
2332,pencil,historia,nouns,0.4
2333,mix,cocinar,verbs,0.81
2334,discourage,enfadar,verbs,0.49
2335,reheat,precalentamiento,nouns,1.38
2336,flour,pan,nouns,0.9
2337,wall,ladrillo,nouns,0.96
2338,mechanically,idealmente,adverbs,0.1
2339,brick,pared,nouns,0.96
2340,shoulder,cabeza,nouns,1.21
2341,sand,pie,nouns,0.2
2342,destroy,matar,verbs,2.04
2343,hit,objetivo,verbs,0.51
2344,separate,salir,verbs,0.65
2345,incline,parcialidad,verbs,1.91
2346,racing,filósofo,nouns,0.15
2347,stock,activo,nouns,3.07
2348,deal,vender,verbs,1.14
2349,shuffle,montar,verbs,0.3
2350,anchor,bote,nouns,0.66
2351,psychology,ciencia,nouns,1.06
2352,wait,pausa,verbs,3.14
2353,meal,cena,nouns,3.0
2354,adversary,oponente,nouns,5.09
2355,bar,jaula,nouns,0.46
2356,difficult,simple,adjectives,0.14
2357,sober,borracho,adjectives,0.14
2358,emperor,constitución,nouns,0.67
2359,night,amanecer,nouns,0.39
2360,inn,motel,nouns,3.46
2361,listen,oír,verbs,4.67
2362,limp,caminar,verbs,1.1
2363,argue,grito,verbs,1.33
2364,couple,par,nouns,4.92
2365,tongue,garganta,nouns,0.94
2366,often,raramente,adverbs,0.52
2367,bring,restaurar,verbs,0.13
2368,leave,deambular,verbs,0.77
2369,owe,entrar,verbs,0.0
2370,give,saber,verbs,0.29
2371,terrific,maravilloso,adjectives,5.36
2372,flexible,fácil,adjectives,1.83
2373,sea,océano,nouns,4.68
2374,formula,ecuación,nouns,4.09
2375,rose,mariposa,nouns,0.15
2376,deck,piso,nouns,1.44
2377,save,ahogar,verbs,0.15
2378,scholarship,matrícula,nouns,0.94
2379,worry,malgastar,verbs,0.05
2380,side,fondo,nouns,0.69
2381,nerve,cerebro,nouns,0.77
2382,bring,llevar,verbs,1.35
2383,phonology,pantalla,nouns,0.05
2384,tragedy,muerte,nouns,1.97
2385,motel,posada,nouns,3.46
2386,discreetly,obviamente,adverbs,0.24
2387,tribunal,justicia,nouns,2.3
2388,oil,visón,nouns,0.05
2389,terrible,malo,adjectives,4.25
2390,brother,niño,nouns,1.69
2391,winner,candidato,nouns,1.23
2392,wood,tronco,nouns,3.09
2393,argue,estar de acuerdo,verbs,0.29
2394,theme,libro,nouns,0.49
2395,parapsychology,neuropsicología,nouns,1.51
2396,boring,mediocre,adjectives,1.33
2397,decline,aceptar,verbs,0.04
2398,great,maravilloso,adjectives,4.49
2399,fur,mujer,nouns,0.15
2400,parliament,congreso,nouns,3.26
2401,helmet,arma,nouns,0.89
2402,knee,hueso,nouns,0.64
2403,essential,necesario,adjectives,5.09
2404,sailor,capitán,nouns,1.79
2405,tree,hoja,nouns,0.96
2406,creatively,originalmente,adverbs,2.06
2407,punish,obedecer,verbs,0.5
2408,inexpensive,barato,adjectives,5.13
2409,sugarcane,segadora,nouns,0.2
2410,push,culpar,verbs,0.05
2411,bean,tocino,nouns,0.19
2412,man,sospechar,nouns,0.28
2413,appear,volverse,verbs,0.49
2414,grass,raíz,nouns,0.91
2415,put,obtener,verbs,0.14
2416,fundraiser,evento,nouns,2.34
2417,secretary,mujer,nouns,0.24
2418,mist,nube,nouns,2.83
2419,fabric,lino,nouns,2.33
2420,mix,disolver,verbs,1.69
2421,fur,visón,nouns,2.1
2422,door,presencia,nouns,0.3
2423,choice,opinión,nouns,1.09
2424,car,ascensor,nouns,0.19
2425,take,recibir,verbs,1.26
2426,floor,techo,nouns,0.46
2427,flee,escapar,verbs,5.1
2428,sergeant,pistola,nouns,0.57
2429,give,prestar,verbs,2.45
2430,strike,perder,verbs,0.1
2431,grass,espada,nouns,0.39
2432,survive,vivir,verbs,2.59
2433,violin,guitarra,nouns,0.64
2434,cover,enterrar,verbs,2.7
2435,join,adquirir,verbs,0.56
2436,disappear,encoger,verbs,0.74
2437,day,amanecer,nouns,2.46
2438,paper,póster,nouns,1.79
2439,messy,limpiar,adjectives,0.49
2440,jumping,cerca,nouns,0.2
2441,cup,cono,nouns,0.99
2442,accident,libro,nouns,0.1
2443,violation,crimen,nouns,3.03
2444,fence,saltando,nouns,0.2
2445,sorrow,vergüenza,nouns,0.94
2446,restrict,reducir,verbs,2.14
2447,nurse,científico,nouns,0.32
2448,curve,ángulo,nouns,1.49
2449,aisle,sala,nouns,1.39
2450,succeed,fallar,verbs,0.14
2451,insignia,dignidad,nouns,0.39
2452,parcel,camión,nouns,0.3
2453,aggressive,curvo,adjectives,0.0
2454,leave,permanecer,verbs,0.17
2455,vitamin,plancha,nouns,0.86
2456,anarchy,caos,nouns,3.38
2457,dermatitis,eczema,nouns,2.64
2458,north,oeste,nouns,0.75
2459,announce,declarar,verbs,4.63
2460,body,brazo,nouns,0.71
2461,remain,obtener,verbs,0.0
2462,window,nube,nouns,0.35
2463,handicraft,tradición,nouns,0.91
2464,bowl,plato,nouns,1.97
2465,go,empezar,verbs,1.07
2466,unfair,cruel,adjectives,1.83
2467,decide,pensar,verbs,1.57
2468,curtain,barra,nouns,0.35
2469,cruel,duro,adjectives,3.34
2470,wipe,deteriorarse,verbs,0.2
2471,antecedent,pasado,nouns,2.85
2472,phrase,palabra,nouns,1.61
2473,national,grande,adjectives,0.27
2474,cruel,bonito,adjectives,0.05
2475,offend,molestia,verbs,1.68
2476,yard,pulgada,nouns,0.47
2477,truthful,deshonesto,adjectives,0.09
2478,surely,a veces,adverbs,0.49
2479,avionics,aeronáutica,nouns,3.19
2480,dreadnought,buque,nouns,2.87
2481,brightly,ligeramente,adverbs,0.57
2482,jar,botella,nouns,2.8
2483,reduce,restringir,verbs,2.14
2484,drench,reducir,verbs,0.0
2485,malware,gusano,nouns,0.72
2486,death,catástrofe,nouns,0.99
2487,kid,hija,nouns,0.7
2488,attack,herir,verbs,2.57
2489,discover,darse cuenta de,verbs,3.99
2490,add,multiplicar,verbs,1.04
2491,give,pedir prestado,verbs,0.54
2492,summer,invierno,nouns,0.49
2493,size,centavo,nouns,0.1
2494,oasis,libertad,nouns,0.26
2495,undecided,neutral,adjectives,2.17
2496,wander,salir,verbs,0.77
2497,stupid,crédulo,adjectives,2.49
2498,receive,dar,verbs,0.19
2499,get,poner,verbs,0.14
2500,simple,difícil,adjectives,0.14
2501,fault,sistema,nouns,0.22
2502,infection,dolencia,nouns,2.62
2503,husband,hombre,nouns,1.71
2504,girl,chico,nouns,0.98
2505,scared,tímido,adjectives,1.84
2506,replacement,intercambio,nouns,3.1
2507,grade,corregir,verbs,4.69
2508,irresponsible,inmaduro,adjectives,2.9
2509,blood,médula,nouns,0.96
2510,sucrose,carbohidrato,nouns,1.83
2511,boil,freír,verbs,1.17
2512,ordinary,extraño,adjectives,0.14
2513,lock-up,célula,nouns,1.14
2514,wife,marido,nouns,1.52
2515,cadence,ritmo,nouns,2.63
2516,fight,jugar,verbs,0.2
2517,illusion,realidad,nouns,0.22
2518,afterworld,purgatorio,nouns,2.66
2519,quick,rápido,adjectives,5.82
2520,monitor,pantalla,nouns,4.58
2521,army,equipo,nouns,1.46
2522,find,localizar,verbs,5.28
2523,cooperate,participar,verbs,3.43
2524,bias,inclinarse,verbs,1.91
2525,crown,llave,nouns,0.1
2526,stupid,tonto,adjectives,5.14
2527,doctor,médico,nouns,5.0
2528,mind,cerebro,nouns,3.46
2529,symbol,criptograma,nouns,2.49
2530,task,autopista,nouns,0.05
2531,fail,desalentar,verbs,0.57
2532,champagne,cerveza,nouns,1.15
2533,aluminium,estaño,nouns,1.4
2534,cloud,niebla,nouns,2.58
2535,compete,terminar,verbs,0.79
2536,steak,carne,nouns,3.49
2537,add,construir,verbs,1.19
2538,television,comunicación,nouns,0.99
2539,normal,extraño,adjectives,0.14
2540,chemistry,teoría,nouns,0.69
2541,intelligence,ignorancia,nouns,0.39
2542,government,lagartija,nouns,0.0
2543,entertain,disfrutar,verbs,1.15
2544,burn,ahogar,verbs,0.05
2545,organ,riñón,nouns,2.6
2546,cotton,suéter,nouns,0.51
2547,surprise,celebrar,verbs,0.69
2548,weird,normal,adjectives,0.14
2549,brother,padre,nouns,0.39
2550,sacred,precioso,adjectives,2.46
2551,story,libro,nouns,1.31
2552,negotiation,diplomacia,nouns,2.56
2553,perceive,oír,verbs,1.64
2554,crib,cama,nouns,3.0
2555,mouse,administración,nouns,0.0
2556,waist,comida,nouns,0.25
2557,rail,cerca,nouns,0.94
2558,perception,visión,nouns,4.02
2559,newspaper,información,nouns,1.46
2560,wood,manta,nouns,0.05
2561,hug,sostener,verbs,1.55
2562,tooth,boca,nouns,1.18
2563,actress,actor,nouns,3.89
2564,opera,cine,nouns,1.13
2565,divide,multiplicar,verbs,0.51
2566,engine,máquina,nouns,2.44
2567,stop,silbar,verbs,0.25
2568,bad,estupendo,adjectives,0.09
2569,actor,cantante,nouns,0.71
2570,fame,riqueza,nouns,1.46
2571,staff,vocalista,nouns,0.25
2572,expensive,tímido,adjectives,0.2
2573,meet,nadar,verbs,0.27
2574,ignore,explorar,verbs,0.1
2575,moral,leyenda,nouns,0.41
2576,suspect,hombre,nouns,0.28
2577,employer,obrero,nouns,1.54
2578,unnaturally,naturalmente,adverbs,0.09
2579,choice,capítulo,nouns,0.25
2580,body,nervio,nouns,0.25
2581,follow,perseguir,verbs,3.28
2582,fail,tener éxito,verbs,0.14
2583,guess,irritar,verbs,0.0
2584,train,tranvía,nouns,2.83
2585,clarify,definir,verbs,3.47
2586,arm,pierna,nouns,0.61
2587,bench,silla,nouns,3.06
2588,gathering,convocatoria,nouns,4.33
2589,information,periódico,nouns,1.46
2590,finish,graduarse,verbs,1.88
2591,flight,aviación,nouns,2.56
2592,sunshine,manzana,nouns,0.25
2593,car,manguera,nouns,0.15
2594,chapter,noche,nouns,0.35
2595,impression,creencia,nouns,2.35
2596,case,programa informático,nouns,0.45
2597,hostility,agresión,nouns,3.69
2598,carriage,vagón,nouns,2.71
2599,polyhedron,actor,nouns,0.04
2600,get,comprar,verbs,2.38
2601,straw,esposa,nouns,0.15
2602,man,mujer,nouns,0.91
2603,divide,unir,verbs,0.14
2604,take,entregar,verbs,0.76
2605,box,fuente,nouns,0.1
2606,suppose,predecir,verbs,2.21
2607,preschool,guardería,nouns,3.55
2608,writer,novela,nouns,0.81
2609,guy,pareja,nouns,0.63
2610,bedroom,bicicleta,nouns,0.15
2611,sticky,mojado,adjectives,0.67
2612,fraud,corrupción,nouns,3.33
2613,give,desconocer,verbs,0.09
2614,peacefully,tranquilamente,adverbs,4.1
2615,temper,médico,nouns,0.15
2616,argument,acuerdo,nouns,0.64
2617,gallery,abogado,nouns,0.1
2618,archaeology,antropología,nouns,0.98
2619,reburial,tumba,nouns,0.3
2620,disagree,estar de acuerdo,verbs,0.44
2621,squint,deslumbrar,verbs,0.79
2622,saver,ahorro,nouns,2.33
2623,opinion,parcialidad,nouns,2.09
2624,bacon,carne,nouns,1.59
2625,marry,unir,verbs,3.17
2626,decide,concluir,verbs,2.69
2627,chips,cursor,nouns,0.0
2628,communication,idioma,nouns,1.99
2629,stop,controlar,verbs,0.77
2630,peace,felicidad,nouns,2.42
2631,acquire,robar,verbs,1.04
2632,generously,nunca,adverbs,0.0
2633,book,historia,nouns,1.31
2634,hear,percibir,verbs,1.64
2635,bite,leer,verbs,0.0
2636,show,matemático,nouns,0.05
2637,salt,agua,nouns,0.28
2638,physician,doctor,nouns,5.0
2639,drum,cuerno,nouns,0.51
2640,phone,víctima,nouns,0.0
2641,brain,mente,nouns,3.46
2642,novel,escritor,nouns,0.81
2643,winner,campeón,nouns,4.78
2644,wife,madre,nouns,1.94
2645,couch,béisbol,nouns,0.1
2646,lover,compañero,nouns,1.88
2647,cold,ordinario,adjectives,0.05
2648,priest,profeta,nouns,1.25
2649,legal,permitido,adjectives,4.3
2650,aid,asistir,verbs,4.75
2651,bee,hormiga,nouns,0.71
2652,cocktail,alcohol,nouns,2.13
2653,bad,genial,adjectives,0.09
2654,fluid,boquilla,nouns,0.24
2655,exciting,aburrido,adjectives,0.14
2656,cuddle,abrazo,verbs,4.84
2657,victim,teléfono,nouns,0.0
2658,disown,dar,verbs,0.09
2659,fight,matar,verbs,0.59
2660,release,captura,verbs,0.24
2661,gravity,meteorito,nouns,0.81
2662,mother,guardián,nouns,1.92
2663,singer,coro,nouns,1.54
2664,rhythm,cadencia,nouns,2.63
2665,worm,código malicioso,nouns,0.72
2666,apple,sol,nouns,0.25
2667,boat,cubierta,nouns,0.69
2668,run,montar,verbs,0.39
2669,plane,aeropuerto,nouns,0.89
2670,speak,reconocer,verbs,0.67
2671,accept,recibir,verbs,2.19
2672,globalism,visado,nouns,0.59
2673,newspaper,palabra,nouns,0.63
2674,poor,orgulloso,adjectives,0.1
2675,obtain,tomar,verbs,3.06
2676,vampire,murciélago,nouns,1.22
2677,arrive,venir,verbs,2.1
2678,positively,probablemente,adverbs,0.64
2679,regularly,ocasionalmente,adverbs,1.46
2680,cruel,injusto,adjectives,1.83
2681,grass,musgo,nouns,1.86
2682,clothes,tela,nouns,1.97
2683,broad,grande,adjectives,2.26
2684,apparently,obviamente,adverbs,3.69
2685,hesitant,colérico,adjectives,0.45
2686,contemptuous,despreciativo,adjectives,3.99
2687,easy,rígido,adjectives,0.05
2688,car,cuerno,nouns,0.46
2689,apartment,casa,nouns,3.47
2690,roughly,ligeramente,adverbs,0.66
2691,cattle,ternera,nouns,3.29
2692,matrix,vector,nouns,1.95
2693,cigar,tubo,nouns,0.84
2694,roof,ventana,nouns,0.32
2695,universe,cielo,nouns,0.94
2696,agree,discrepar,verbs,0.44
2697,make,construir,verbs,3.7
2698,long,estrecho,adjectives,0.3
2699,flu,fiebre,nouns,2.06
2700,motor,bote,nouns,0.51
2701,supper,desayuno,nouns,0.54
2702,guitar,tambor,nouns,0.71
2703,neuropsychology,parasicología,nouns,1.51
2704,melody,música,nouns,3.27
2705,believe,aceptar,verbs,1.54
2706,neck,espina,nouns,1.02
2707,prey,dios,nouns,0.0
2708,cloud,tormenta,nouns,0.82
2709,child,hombre,nouns,0.48
2710,snow,avalancha,nouns,1.52
2711,inch,metro,nouns,1.08
2712,order,menú,nouns,0.81
2713,atmosphere,contaminación,nouns,0.81
2714,house,granero,nouns,0.82
2715,violent,suave,adjectives,0.1
2716,archbishop,obispo,nouns,3.38
2717,business,industria,nouns,3.51
2718,ordinary,increíble,adjectives,0.14
2719,probably,quizás,adverbs,3.75
2720,feel,creer,verbs,2.14
2721,hut,cabina,nouns,2.04
2722,music,flauta,nouns,1.35
2723,flower,violeta,nouns,1.9
2724,legion,ejército,nouns,3.17
2725,huge,tonto,adjectives,0.04
2726,perform,saludar,verbs,0.15
2727,bicycle,habitación,nouns,0.15
2728,inform,limpiar,verbs,0.0
2729,new,no usado,adjectives,5.12
2730,aggressive,grosero,adjectives,2.06
2731,plane,helicóptero,nouns,1.26
2732,lunch,sandwich,nouns,1.39
2733,waste,preocuparse,verbs,0.05
2734,celebrate,sorprender,verbs,0.69
2735,possibly,con optimismo,adverbs,0.59
2736,prophet,sacerdote,nouns,1.25
2737,hang,matar,verbs,0.68
2738,tightly,increíblemente,adverbs,0.0
2739,baseball,baloncesto,nouns,1.02
2740,religion,materialista,nouns,0.26
2741,importantly,seriamente,adverbs,1.51
2742,princess,galleta,nouns,0.0
2743,withdraw,retirarse,verbs,3.57
2744,come,llegar,verbs,2.1
2745,cone,vaso,nouns,0.99
2746,accurately,activamente,adverbs,0.54
2747,allow,erosionar,verbs,0.0
2748,persuade,discutir,verbs,1.73
2749,broom,polvo,nouns,0.57
2750,pride,alegría,nouns,1.41
2751,blood,cuerpo,nouns,0.41
2752,jacket,suéter,nouns,2.57
2753,gum,menta,nouns,0.39
2754,electricity,caso,nouns,0.0
2755,vision,percepción,nouns,4.02
2756,crowd,desfile,nouns,1.98
2757,gut,nervio,nouns,0.89
2758,capture,imitar,verbs,0.32
2759,screen,monitor,nouns,4.58
2760,chair,telescopio,nouns,0.1
2761,theft,crimen,nouns,2.67
2762,hardware,caso,nouns,0.45
2763,tsunami,mar,nouns,1.4
2764,exit,sufragio,nouns,0.05
2765,marry,involucrarse,verbs,1.02
2766,battleship,acorazado,nouns,2.87
2767,muscle,brazo,nouns,1.04
2768,tea,limón,nouns,0.29
2769,naturally,antinaturalmente,adverbs,0.09
2770,army,legión,nouns,3.17
2771,business,empresa,nouns,4.3
2772,coast,playa,nouns,3.09
2773,gun,cuchillo,nouns,1.31
2774,glove,pelota,nouns,0.82
2775,pretend,retratar,verbs,0.91
2776,crochet,uniforme,nouns,0.15
2777,destroy,crear,verbs,0.09
2778,meet,reunir,verbs,2.94
2779,rhythm,aritmética,nouns,0.45
2780,genie,lámpara,nouns,0.89
2781,artist,obra de arte,nouns,1.19
2782,help,proteger,verbs,1.5
2783,leave,retirarse,verbs,2.91
2784,worker,cámara,nouns,0.05
2785,dirty,barato,adjectives,0.04
2786,dense,difícil,adjectives,2.27
2787,celebration,ceremonia,nouns,3.59
2788,yell,discutir,verbs,1.33
2789,congress,parlamento,nouns,3.26
2790,attend,llegar,verbs,1.64
2791,industry,negocio,nouns,3.51
2792,story,canción,nouns,0.35
2793,juice,leche,nouns,0.66
2794,shoulder,brazo,nouns,0.89
2795,portray,pretender,verbs,0.91
2796,hysteria,confusión,nouns,1.66
2797,seedling,hoja,nouns,1.09
2798,amazing,sucio,adjectives,0.0
2799,great,malo,adjectives,0.09
2800,kidney,órgano,nouns,2.6
2801,theory,hipótesis,nouns,4.11
2802,differently,terminalmente,adverbs,0.04
2803,dinner,pollo,nouns,1.15
2804,dog,caballo,nouns,0.33
2805,hurricane,tormenta,nouns,3.21
2806,circumstance,situación,nouns,5.34
2807,door,fraternidad,nouns,0.2
2808,meteor,gravedad,nouns,0.81
2809,agreement,agujero,nouns,0.0
2810,interest,atención,nouns,3.36
2811,criticism,argumento,nouns,2.33
2812,deeply,principalmente,adverbs,0.85
2813,fury,enfado,nouns,4.71
2814,give,permitir,verbs,0.6
2815,arrow,objetivo,nouns,0.79
2816,bed,manta,nouns,0.86
2817,drive,detener,verbs,0.3
2818,bell,puerta,nouns,0.27
2819,learn,absorber,verbs,1.73
2820,proud,pobre,adjectives,0.1
2821,colt,caballo,nouns,2.79
2822,island,península,nouns,1.37
2823,tuition,beca,nouns,0.94
2824,bizarre,extraño,adjectives,4.57
2825,container,vagón,nouns,0.15
2826,calendar,fecha,nouns,1.21
2827,lizard,gobierno,nouns,0.0
2828,depart,separar,verbs,0.65
2829,drink,tragar,verbs,1.99
2830,bike,piel,nouns,0.2
2831,ignore,evitar,verbs,3.08
2832,borrow,desear,verbs,0.5
2833,receive,aceptar,verbs,2.19
2834,car,camión,nouns,1.44
2835,sadly,locamente,adverbs,0.39
2836,bone,rodilla,nouns,0.64
2837,fence,carril,nouns,0.94
2838,notify,informar,verbs,4.75
2839,unite,casar,verbs,3.17
2840,leg,brazo,nouns,0.61
2841,bronchitis,acetaminofeno,nouns,0.44
2842,sugar,miel,nouns,1.04
2843,lemma,sílaba,nouns,0.41
2844,diode,condensador,nouns,1.67
2845,flora,naturaleza,nouns,2.47
2846,grade,colegio,nouns,0.91
2847,grasp,apretar,verbs,3.07
2848,check,ajedrez,nouns,0.17
2849,bible,libro,nouns,1.77
2850,nose,boca,nouns,0.79
2851,unmentionable,extramatrimonial,adjectives,0.22
2852,effort,dificultad,nouns,3.0
2853,righteously,maduro,adverbs,0.94
2854,stop,advertir,verbs,0.73
2855,happiness,paz,nouns,2.42
2856,molecule,átomo,nouns,2.13
2857,do,dejar,verbs,0.24
2858,walk,cojear,verbs,1.1
2859,restore,traer,verbs,0.13
2860,sell,ir,verbs,0.05
2861,begin,comenzar,verbs,5.49
2862,chief,alcalde,nouns,1.64
2863,development,recaudación de fondos,nouns,0.44
2864,determine,evacuar,verbs,0.35
2865,millionaire,dólar,nouns,0.67
2866,flexible,grande,adjectives,0.0
2867,elect,escoger,verbs,5.2
2868,coffee,frijol,nouns,0.44
2869,god,sacerdote,nouns,0.99
2870,save,gastar,verbs,0.09
2871,send,ir,verbs,0.51
2872,participate,cooperar,verbs,3.43
2873,nervous,asustado,adjectives,2.4
2874,island,armada,nouns,0.2
2875,big,pesado,adjectives,1.52
2876,burial,muerte,nouns,1.32
2877,penny,ganga,nouns,0.27
2878,cry,sollozar,verbs,4.24
2879,hug,abrazar,verbs,4.84
2880,seed,molino,nouns,0.86
2881,bath,esposa,nouns,0.1
2882,nerve,cuerpo,nouns,0.25
2883,go,vender,verbs,0.05
2884,go,permitir,verbs,0.24
2885,try,convencer,verbs,0.92
2886,list,formación,nouns,0.91
2887,people,población,nouns,3.12
2888,cherish,mantener,verbs,0.85
2889,needy,inseguro,adjectives,1.04
2890,infinity,cero,nouns,0.66
2891,leave,entrar,verbs,0.09
2892,create,imaginar,verbs,1.34
2893,constitution,emperador,nouns,0.67
2894,radiator,sensor,nouns,0.71
2895,blame,empujar,verbs,0.05
2896,old,fresco,adjectives,0.04
2897,grown,inmaduro,adjectives,0.29
2898,attend,ven,verbs,2.58
2899,thirsty,hambriento,adjectives,1.02
2900,buckler,escudo,nouns,1.18
2901,composer,escritor,nouns,2.74
2902,cloud,ventana,nouns,0.35
2903,great,horrible,adjectives,0.14
2904,screen,fonología,nouns,0.05
2905,take,obtener,verbs,3.06
2906,carbohydrate,sacarosa,nouns,1.83
2907,bacon,desayuno,nouns,0.46
2908,travel,ir,verbs,2.52
2909,obviously,discretamente,adverbs,0.24
2910,word,literatura,nouns,2.01
2911,homeless,multimillonario,nouns,0.37
2912,sly,difícil,adjectives,0.15
2913,agree,discutir,verbs,0.29
2914,honey,lácteos,nouns,0.41
2915,bedroom,baño,nouns,1.06
2916,apocalypse,fuego,nouns,0.64
2917,mad,alegre,adjectives,0.1
2918,liver,pulmón,nouns,0.59
2919,opposite,otro,adjectives,0.82
2920,pay,tratar,verbs,0.29
2921,simple,duro,adjectives,0.14
2922,begin,originar,verbs,4.15
2923,book,texto,nouns,2.41
2924,branch,brazo,nouns,1.11
2925,decade,era,nouns,2.23
2926,anxious,temeroso,adjectives,1.67
2927,band,desfile,nouns,1.27
2928,forecast,nublado,nouns,0.81
2929,excited,asustado,adjectives,0.52
2930,creative,innovador,adjectives,4.52
2931,xenophobia,racismo,nouns,4.26
2932,street,callejón,nouns,3.23
2933,reduce,encoger,verbs,4.28
2934,size,magnitud,nouns,4.81
2935,ignorance,inteligencia,nouns,0.39
2936,violent,pasivo,adjectives,0.1
2937,saving,ahorrador,nouns,2.33
2938,clothes,botón,nouns,1.01
2939,remember,pensar,verbs,1.27
2940,helper,profesor,nouns,1.63
2941,assignment,tarea,nouns,4.91
2942,blanket,madera,nouns,0.05
2943,roughly,obviamente,adverbs,0.44
2944,factorization,descomposición,nouns,1.04
2945,bath,truco,nouns,0.0
2946,banker,abogado,nouns,0.97
2947,dumb,raro,adjectives,0.1
2948,strive,ejecutar,verbs,0.35
2949,demolish,aplastar,verbs,2.84
2950,intelligent,tonto,adjectives,0.34
2951,shiver,congelar,verbs,0.99
2952,wind,chubasco,nouns,1.81
2953,evaluate,analizar,verbs,4.61
2954,bus,vehículo,nouns,2.21
2955,horse,buey,nouns,1.04
2956,archer,pionero,nouns,0.56
2957,automobile,coche,nouns,5.6
2958,gunboat,costa,nouns,0.39
2959,medal,zapatillas,nouns,0.14
2960,mayor,jefe,nouns,1.64
2961,sunshine,rayo,nouns,0.92
2962,rude,crudo,adjectives,1.41
2963,demon,monstruo,nouns,3.61
2964,chauvinist,prejuicio,nouns,1.25
2965,note,trabajo,nouns,0.46
2966,liquor,banda,nouns,0.25
2967,know,comprender,verbs,3.02
2968,gun,gente,nouns,0.05
2969,protein,asa,nouns,0.15
2970,criticize,odiar,verbs,0.84
2971,scornful,desdeñoso,adjectives,3.99
2972,upset,avergonzado,adjectives,0.73
2973,hungry,sediento,adjectives,1.02
2974,meal,cintura,nouns,0.25
2975,dusk,noche,nouns,3.34
2976,microscope,biólogo,nouns,0.72
2977,book,ensayo,nouns,1.25
2978,emperor,gobernador,nouns,2.08
2979,nihilism,película,nouns,0.1
2980,suffrage,salida,nouns,0.05
2981,limb,pierna,nouns,2.88
2982,notebook,pistola,nouns,0.05
2983,matrix,molécula,nouns,0.24
2984,woman,hombre,nouns,0.91
2985,lifestyle,civilización,nouns,0.86
2986,relaxed,calma,adjectives,4.43
2987,north,sur,nouns,0.56
2988,anger,furia,nouns,4.71
2989,arm,hombro,nouns,0.89
2990,gin,alcohol,nouns,2.11
2991,log,bañera,nouns,0.0
2992,lose,mantener,verbs,0.05
2993,childish,tonto,adjectives,2.14
2994,century,década,nouns,0.69
2995,vinegar,ensalada,nouns,0.59
2996,politely,discretamente,adverbs,1.88
2997,ant,abeja,nouns,0.71
2998,agreement,discusión,nouns,0.64
2999,deliver,tomar,verbs,0.76
3000,rare,tonto,adjectives,0.1
3001,skin,bicicleta,nouns,0.2
3002,modest,flexible,adjectives,0.15
3003,elastic,flexible,adjectives,4.03
3004,cook,perder,verbs,0.05
3005,apple,limón,nouns,0.41
3006,greatly,brillantemente,adverbs,0.42
3007,hug,ahogar,verbs,0.92
3008,crime,violación,nouns,3.03
3009,hate,disfrutar,verbs,0.05
3010,lawyer,abogado,nouns,5.04
3011,decide,juzgar,verbs,3.09
3012,code,símbolo,nouns,2.04
3013,long,corto,adjectives,0.14
3014,take,llevar,verbs,0.81
3015,recently,últimamente,adverbs,4.88
3016,island,princesa,nouns,0.05
3017,task,isla,nouns,0.05
3018,plenty,abundancia,nouns,5.0
3019,narrow,blanco,adjectives,0.0
3020,deceive,hacer trampas,verbs,3.66
3021,doctor,profesor,nouns,1.48
3022,racket,pelota,nouns,0.99
3023,mad,estupendo,adjectives,0.05
3024,destroy,hacer,verbs,0.14
3025,man,guerrero,nouns,0.72
3026,breathe,ahogarse,verbs,0.25
3027,become,organizar,verbs,0.1
3028,grow,encoger,verbs,0.14
3029,crime,ataque,nouns,1.69
3030,specially,significativamente,adverbs,2.26
3031,nail,cabeza,nouns,0.25
3032,wine,espíritu,nouns,0.76
3033,paragraph,carta,nouns,0.52
3034,monster,demonio,nouns,3.61
3035,day,noche,nouns,0.66
3036,tear,vestir,verbs,0.31
3037,hole,esposa,nouns,0.0
3038,important,crucial,adjectives,4.74
3039,combat,beligerancia,nouns,2.66
3040,sonnet,belleza,nouns,0.36
