ID,EST,SWA,PoS,score
2037,kurat,mungu,nouns,0.6
2038,õde,dada,nouns,1.45
2039,isa,mtoto wa kiume,nouns,1.15
2040,varastama,iba,verbs,0.35
2041,kuluma,kumomonyoka,verbs,1.3
2042,panema,kuning'inia,verbs,0.85
2043,suurus,ukubwa,nouns,4.2
2044,pall,kikapu,nouns,0.55
2045,määrama,kutambulisha,verbs,0.05
2046,ära tõukama,kukataliwa,verbs,1.65
2047,üllatama,kushangaza,verbs,0.35
2048,korruptsioon,rushwa,nouns,2.65
2049,maitsetaim,bangi,nouns,1.1
2050,kiirus,mwendo,nouns,0.15
2051,joonistus,mchoro,nouns,0.05
2052,vastandlik,kinyume,adjectives,0.8
2053,kaklema,kupigana,verbs,0.6
2054,poliitik,mwanasiasa,nouns,0.25
2055,näitleja,mwimbaji,nouns,1.25
2056,gravitatsioon,mvuto,nouns,0.4
2057,imiteerima,kuonyesha,verbs,2.3
2058,varastama,kununua,verbs,0.3
2059,mängima,kucheza,verbs,0.35
2060,saatma,kutuma,verbs,0.25
2061,valik,mshipa,nouns,0.1
2062,paberraha,noti,nouns,1.2
2063,nõrk,dhaifu,adjectives,0.0
2064,muru,mzizi,nouns,0.75
2065,järgima,kushawishi,verbs,0.45
2066,karusnahk,bunduki,nouns,0.3
2067,panema,kupata,verbs,0.25
2068,programm,mradi,nouns,0.15
2069,võileib,nyama,nouns,0.75
2070,oletama,kujifanya,verbs,0.6
2071,raamat,andiko,nouns,2.85
2072,suhkur,asali,nouns,2.3
2073,kampaania,kampeni,nouns,0.05
2074,reisima,kusafiri,verbs,2.5
2075,vana,zamani,adjectives,0.1
2076,popkorn,bisi,nouns,0.6
2077,kokku põrkama,kumgongano,verbs,3.4
2078,jagama,kujumlisha,verbs,0.35
2079,katma,kufunika,verbs,1.52
2080,töö,jukumu,nouns,3.2
2081,juust,mkate,nouns,0.75
2082,üksildane,mpweke,adjectives,1.3
2083,riis,maharagwe,nouns,0.85
2084,hammas,kinywa,nouns,1.15
2085,petersell,pasile,nouns,0.2
2086,närv,matumbo,nouns,0.4
2087,huul,nyonga,nouns,0.35
2088,vaikselt,kwa ukimya,adverbs,0.45
2089,lubama,kuruhusu,verbs,1.38
2090,seemik,miche,nouns,1.05
2091,deemant,hela,nouns,0.85
2092,keha,uti,nouns,1.0
2093,kole,mbaya,adjectives,1.4
2094,meloodia,pigo,nouns,1.4
2095,järg,mwendelezo,nouns,0.05
2096,mehaanik,mfanyakazi,nouns,1.95
2097,matemaatik,mwanamahesabu,nouns,0.05
2098,turvaliselt,kwa ulinzi,adverbs,3.05
2099,poiss,mwanajeshi,nouns,0.5
2100,lärm,ghasia ,nouns,1.4
2101,hüppamine,kuruka,nouns,0.45
2102,sekund,dakika,nouns,2.25
2103,suruma,kuvyombo vya habari,verbs,0.2
2104,kõht,chumba cha kulala,nouns,0.1
2105,tundma,kuhisi,verbs,0.95
2106,soovitama,kupendekeza,verbs,4.3
2107,koostama,kuharibu,verbs,0.1
2108,amet,chuo,nouns,0.7
2109,aastaeg,msimu wa baridi,nouns,2.9
2110,vastandlik,kinyume,adjectives,0.25
2111,pudel,chombo,nouns,0.85
2112,puu,mti,nouns,1.0
2113,omandama,kupata,verbs,3.1
2114,lusikas,kijiko,nouns,0.3
2115,jahtima,kuwinda,verbs,2.75
2116,ilmselge,wa kuonekana,adjectives,4.9
2117,looma,kutengeneza,verbs,1.65
2118,kaebama,kugombana,verbs,1.05
2119,kinnas,mpira,nouns,0.9
2120,kaneel,mdalasini,nouns,0.55
2121,selgitama,kueleza,verbs,4.45
2122,rahumeelselt,kwa amani,adverbs,0.25
2123,enesekindel,ana hakika,adjectives,3.35
2124,relv,silaha,nouns,0.5
2125,reostus,angahewa,nouns,0.5
2126,arst,tabia,nouns,0.1
2127,rumal,mpumbavu,adjectives,3.17
2128,august,mwezi,nouns,2.45
2129,korratu,kutopangilia,verbs,0.35
2130,minema,kutuma,verbs,0.4
2131,tagasihoidlik,mnyenyekevu,adjectives,0.55
2132,paratsetamol,acetaminopheni,nouns,0.65
2133,hulktahukas,pembe zaidi ya sita,nouns,0.15
2134,uskuma,kuamini,verbs,0.95
2135,preester,mungu,nouns,0.95
2136,kaunistus,mapambo,nouns,0.25
2137,ülesanne,kazi,nouns,3.2
2138,diskreetselt,kwa siri,adverbs,0.25
2139,öö,mchana,nouns,0.75
2140,eriline,maalumu,adjectives,2.75
2141,kõrgus,urefu,nouns,0.1
2142,vann,mke,nouns,0.0
2143,lisama,kuzidisha,verbs,0.95
2144,moodus,njia,nouns,1.2
2145,väljuv,inayotoka,adjectives,0.5
2146,informatsioon,gazeti,nouns,1.8
2147,raamat,hadithi,nouns,1.9
2148,tsunaami,sunami,nouns,1.05
2149,ülesanne,njia kuu,nouns,0.2
2150,lill,imani,nouns,0.1
2151,hoomama,kuridhisha,verbs,0.1
2152,õrnalt,wepesi,adverbs,0.3
2153,nägemine,utambuzi,nouns,2.25
2154,seeme,viungo,nouns,0.6
2155,õli,ngozi,nouns,0.2
2156,koostööd tegema,kujiunga,verbs,2.6
2157,kurbus,aibu,nouns,0.85
2158,aasta,mwaka,nouns,1.2
2159,hobune,farasi wa kike,nouns,3.45
2160,kerge,mkubwa,adjectives,0.15
2161,viga,kosa,nouns,0.3
2162,ustavalt,kwa uaminifu,adverbs,3.2
2163,solvama,kukosea,verbs,0.45
2164,direktor,mkurugenzi,nouns,4.0
2165,keha,mwili,nouns,0.6
2166,kokku hoidma,kutumia,verbs,0.6
2167,tooma,kurudisha,verbs,0.75
2168,karp,sigara,nouns,0.25
2169,tagasihoidlikult,kwa unyenyekevu,adverbs,0.3
2170,hiljem,baadae,adverbs,0.05
2171,relv,mbinu,nouns,0.25
2172,soovitama,kukubali,verbs,0.5
2173,vaher,mti,nouns,2.7
2174,sisenema,kudaiwa,verbs,0.05
2175,tugev,wa kujivunia,adjectives,0.45
2176,talv,msimu,nouns,2.9
2177,vappumine,kutetemeka,nouns,2.5
2178,lihas,mkono,nouns,0.85
2179,õnnelik,mchanga,adjectives,0.5
2180,kuningas,mfalme,nouns,4.6
2181,peen,kisasa,adjectives,0.6
2182,analüüsima,kuchambua,verbs,3.6
2183,kena,mkorofi,adjectives,0.05
2184,lõpmatus,usio na mwisho,nouns,0.5
2185,vaenlaseks tegema,kuteteleza,verbs,0.65
2186,võõrastemaja,hosteli,nouns,3.25
2187,püsimatu,mchanga,adjectives,0.65
2188,lihas,mfupa,nouns,1.0
2189,miin,machimbo,nouns,0.0
2190,liiv,mchanga,nouns,0.05
2191,vale,kosa,adjectives,0.25
2192,valjusti,kwa sauti,adverbs,0.1
2193,lumelaud,ubao wa theluji,nouns,2.2
2194,kolonel,daktari wa meno,nouns,0.1
2195,riis,kuku,nouns,0.5
2196,ohtlikult,kwa uhatari,adverbs,0.2
2197,nina,pua,nouns,0.85
2198,margniaalselt,mara kwa mara,adverbs,0.7
2199,diivan,baseball,nouns,0.1
2200,torm,wingu,nouns,0.8
2201,tooma,kutuma,verbs,0.35
2202,vihmavari,mwavuli,nouns,0.05
2203,võmm,polisi,nouns,0.15
2204,tuntud,julikana,adjectives,0.5
2205,ilmne,wazi,adjectives,4.9
2206,täht,aya,nouns,0.6
2207,hull,ana wazimu,adjectives,5.25
2208,vastupidavus,ua,nouns,0.15
2209,minevik,zamani,nouns,1.3
2210,hertsog,mjuzi,nouns,0.35
2211,tähestik,alphabeti,nouns,0.3
2212,lõpetama,kumaliza,verbs,1.27
2213,suur,mkubwa sana,adjectives,4.0
2214,edu saavutama,kufeli,verbs,0.35
2215,süsteemiplaat,bodi kuu,nouns,4.05
2216,teostatav,inawezekana,adjectives,0.4
2217,suur,kubwa,adjectives,0.5
2218,voodi,chumba cha kulala,nouns,1.15
2219,ruumikas,mkubwa,adjectives,4.0
2220,teadma,kuelewa,verbs,3.65
2221,leht,jani,nouns,1.02
2222,filosoof,mphilisophia,nouns,0.0
2223,või,kiazi,nouns,0.6
2224,jõukus,umasikini,nouns,0.55
2225,sekretär,mwanamke,nouns,0.95
2226,kokkulangevus,mapatano,nouns,0.05
2227,hommikusöök,karamu,nouns,0.8
2228,kohtuma,kukutana,verbs,0.0
2229,palk,mbao,nouns,2.9
2230,uduvihm,mvua,nouns,4.3
2231,õhupall,watu,nouns,0.1
2232,molekul,atomu,nouns,2.1
2233,kaitsma,kuua,verbs,0.35
2234,ilmuma,kuondoka,verbs,0.6
2235,halb,mbaya,adjectives,1.0
2236,sfäär,mviringo,nouns,1.65
2237,põikpäine,msumbufu,adjectives,1.6
2238,teekond,mwendo,nouns,4.15
2239,tõsiselt,kwa umakini,adverbs,2.3
2240,delta,delta,nouns,0.95
2241,kohalolek,kutokuwepo,nouns,0.6
2242,valuuta,sarafu,nouns,0.38
2243,ebaseaduslik,haramu,adjectives,0.45
2244,õpetaja,mwalimu,nouns,1.2
2245,seletama,kujadili,verbs,1.9
2246,pädevus,uwezo,nouns,4.2
2247,võitja,mgombea wa uchaguzi,nouns,1.15
2248,otsima,kutafuta,verbs,1.85
2249,sõrmus,pete,nouns,0.8
2250,põgenema,kuhepa,verbs,0.2
2251,soolikas,neva,nouns,0.4
2252,ava,kufungua,nouns,2.75
2253,loll,mjinga,adjectives,4.7
2254,ukseava,mlango wa kutoka,nouns,2.6
2255,tooma,kulalamika,verbs,0.1
2256,putka,sanduku,nouns,0.6
2257,toll,mita,nouns,1.9
2258,intelligentsus,hekima,nouns,4.25
2259,triivima,kuteleza,verbs,0.95
2260,suruma,kukandamiza,verbs,0.35
2261,sõna,ishara,nouns,0.55
2262,diagramm,chati,nouns,3.35
2263,hävitama,kuumba,verbs,0.35
2264,vaikselt,kwa ukimya,adverbs,0.6
2265,kerge,imara,adjectives,0.1
2266,tuginema,tegemea,verbs,0.05
2267,täht,nyota,nouns,2.82
2268,kaos,vurugu,nouns,0.15
2269,firma,biashara,nouns,3.35
2270,õpilane,mwanafunzi,nouns,2.63
2271,ilukirjandus,wasifu,nouns,1.2
2272,rüüpama,kukunywa,verbs,4.45
2273,kandma,kuleta,verbs,2.2
2274,lahingulaev,manowari,nouns,5.3
2275,kaaspiloot,rubani msaidizi,nouns,0.15
2276,aken,mlango,nouns,1.15
2277,sõna,ukurasa,nouns,0.4
2278,eneseväärikus,hadhi,nouns,0.05
2279,klatš,habari,nouns,1.65
2280,pöörane,mgonjwa,adjectives,0.85
2281,juhtuma,kufanya,verbs,0.6
2282,vältima,kujiweka mbali,verbs,2.1
2283,võlur,mchawi,nouns,0.0
2284,eksam,mtihani,nouns,0.75
2285,õun,mpangilio wa chakula,nouns,0.35
2286,loogika,hesabu,nouns,0.9
2287,taastama,kuleta,verbs,0.75
2288,jääma,kudumisha,verbs,0.75
2289,põhiliselt,haswa,adverbs,0.1
2290,demokraatia,demokrasia,nouns,1.1
2291,korraldama,kupanga,verbs,4.75
2292,maks,kiungo,nouns,2.25
2293,ainulaadne,ya pekee,adjectives,0.8
2294,hõljuma,kuelea,verbs,0.0
2295,assisteerima,kusaidia,verbs,4.7
2296,kuulma,kuzungumza,verbs,0.55
2297,naerma,kucheka,verbs,3.55
2298,silm,chozi,nouns,1.4
2299,võistlema,kushindana,verbs,0.3
2300,oluline,muhimu,adjectives,0.3
2301,suhtlus,lugha,nouns,2.1
2302,sinine,bluu,adjectives,0.55
2303,võib-olla,labda,adverbs,2.85
2304,praadima,kaanga,verbs,0.95
2305,loll,ana akili,adjectives,0.4
2306,kinni püüdma,kudaka,verbs,3.95
2307,ajaleht,taarifa,nouns,1.8
2308,sajand,muongo,nouns,1.2
2309,nöör,waya,nouns,1.05
2310,sõna,gazeti,nouns,0.65
2311,tõbi,hatari,nouns,0.7
2312,puhtalt,kweli,adverbs,1.55
2313,lonkama,kuchechemea,verbs,2.25
2314,ignoreerima,kupuuza,verbs,0.0
2315,kallas,pwani,nouns,3.7
2316,miljonär,milionea,nouns,1.2
2317,uba,kahawa,nouns,0.9
2318,pruut,mtoto wa mfalme,nouns,0.75
2319,tšempion,mshindi,nouns,5.15
2320,aatom,kaboni,nouns,1.05
2321,haiget tegema,kuumia,verbs,1.0
2322,tarkus,akili,nouns,4.25
2323,ala,kona,nouns,0.5
2324,lumi,theluji,nouns,3.3
2325,varastama,kuchukua,verbs,1.55
2326,tüütama,kusumbua,verbs,2.75
2327,tennis,tenisi,nouns,0.2
2328,kahanema,kupunguza,verbs,3.05
2329,ilmselgelt,ni wazi,adverbs,0.05
2330,halb,ana hatia,adjectives,1.6
2331,õde,mwanasayansi,nouns,0.25
2332,ebatõenäoline,sio rahisi,adverbs,0.0
2333,erinevus,tofauti,nouns,0.35
2334,hiiglasuur,mpumbavu,adjectives,0.1
2335,kuninganna,nyuki,nouns,0.5
2336,pahkluu,dirisha,nouns,0.0
2337,kirik,kwaya,nouns,1.55
2338,sammal,nyasi,nouns,1.6
2339,halb,wa dhambi,adjectives,2.85
2340,vaher,mnazi,nouns,1.15
2341,au,heshima,nouns,1.85
2342,hõivatud,bizi,adjectives,0.2
2343,kiiver,helmeti,nouns,0.5
2344,keegel,bowling,nouns,1.95
2345,poster,bango,nouns,1.0
2346,tõenäoliselt,labda,adverbs,0.45
2347,inspekteerima,kuchunguza,verbs,3.25
2348,ministeerium,huduma,nouns,0.1
2349,vajama,kutafiti,verbs,0.45
2350,uba,nyama ya nguruwe,nouns,0.35
2351,pärima,kuhitaji,verbs,0.45
2352,raamat,fasihi,nouns,2.25
2353,rõõmustav,wa ajabu,adjectives,1.55
2354,ignorantsus,akili,nouns,0.5
2355,säravalt,kwa ukali,adverbs,0.3
2356,kaitsma,kuliinda,verbs,1.25
2357,tulema,kwenda,verbs,0.35
2358,saama,kujipatia,verbs,3.1
2359,naine,mwanamke,nouns,0.15
2360,õlg,mkono,nouns,1.75
2361,dollar,dola,nouns,1.2
2362,vürtsikas,pilipili,adjectives,0.55
2363,andma,kukana,verbs,0.2
2364,õiglus,haki,nouns,1.85
2365,jumal,shetani,nouns,0.6
2366,kristlane,mkristo,nouns,3.35
2367,mootor,injini,nouns,1.55
2368,pilvkate,kivuli cha mawingu,nouns,0.65
2369,religioon,dini,nouns,1.75
2370,iste,kiti,nouns,0.2
2371,pall,mpira,nouns,1.65
2372,satiir,satire,nouns,1.7
2373,sukelduma,piga mbizi,verbs,0.15
2374,hoidma,kupa,verbs,0.35
2375,laskuma,kushuka,verbs,0.55
2376,vinge,mbaya,adjectives,0.05
2377,sipelgas,nyuki,nouns,0.85
2378,mõistma,kusikiliza,verbs,0.95
2379,uitama,kutangatanga,verbs,1.55
2380,mööbel,kitanda,nouns,2.45
2381,valjult,kwa sauti,adverbs,0.68
2382,hädavajalik,lazima,adjectives,3.1
2383,imik,mtu mzima,nouns,0.55
2384,nisu,nafaka,nouns,2.7
2385,maantee,gari,nouns,0.8
2386,kartmatu,wa kujivunia,adjectives,1.0
2387,kana,ndege,nouns,2.6
2388,hõõguma,kumeremeta,verbs,2.85
2389,karp,kesi,nouns,0.23
2390,nutikas,mwerevu,adjectives,4.3
2391,kaasa lööma,kumhusisha,verbs,2.3
2392,mõõk,panga,nouns,0.0
2393,mahl,maziwa,nouns,0.8
2394,härrasmees,bibi,nouns,0.7
2395,veok,lori,nouns,3.5
2396,naljakas,inayochekesha,adjectives,0.45
2397,kaart,daraja,nouns,0.25
2398,nutitelefon,simu mahiri,nouns,0.05
2399,lukk,kufuli,nouns,1.35
2400,meri,ziwa,nouns,2.95
2401,suurus,senti,nouns,0.4
2402,uhke,mwenye nguvu,adjectives,0.45
2403,tüdruk,mtoto,nouns,1.1
2404,õigus,shule,nouns,0.25
2405,jääma,kuondoka,verbs,0.3
2406,suhtumine,hakika,nouns,0.4
2407,algama,kutokana,verbs,1.2
2408,meierei,maziwa,nouns,0.15
2409,piparmünt,mti wa minti,nouns,0.4
2410,ümbermaailmareis,mzunguko,nouns,0.45
2411,käsi,mwili,nouns,1.45
2412,väsinud,choka,adjectives,0.45
2413,uks,kengele,nouns,0.35
2414,kiibid,kibanzi,nouns,0.2
2415,valetama,kudanganya,verbs,2.5
2416,asteroid,kimondo,nouns,2.8
2417,noomima,kulaani,verbs,0.3
2418,suur,nama,adjectives,0.35
2419,keeglimängija,bowler,nouns,1.95
2420,kirikutorn,kanisa dogo,nouns,0.85
2421,nutikas,mpumbavu,adjectives,0.35
2422,põngerjas,mvulana,nouns,3.25
2423,tugevalt,kwa nguvu,adverbs,0.5
2424,skulptor,sonara,nouns,0.1
2425,professor,mwanafunzi,nouns,0.85
2426,mitu korda,nyingi zaidi,adverbs,1.2
2427,räpane,mwembamba,adjectives,0.25
2428,voodi,fanicha,nouns,2.45
2429,kokku suruma,kubana,verbs,0.4
2430,erinev,wa kawaida,adjectives,0.45
2431,puur,mti,nouns,0.0
2432,kurbus,huzuni,nouns,0.6
2433,aru saama,kuelewa,verbs,4.5
2434,aritmeetika,mantiki,nouns,0.9
2435,kõva,imara,adjectives,2.7
2436,ise,hakika,nouns,0.75
2437,käekott,mfuko,nouns,4.1
2438,protestant,protestanti,nouns,3.35
2439,rahutu,mwenye woga,adjectives,4.2
2440,peatükk,chaguo,nouns,0.45
2441,omandama,kujiunga,verbs,0.3
2442,vaimustav,sisimsha,adjectives,0.05
2443,kanep,mitishamba,nouns,1.1
2444,tass,kopo,nouns,0.85
2445,sassis,chafu,adjectives,0.25
2446,supp,chakula cha usiku,nouns,0.95
2447,raske,rahisi,adjectives,0.45
2448,munk,padri,nouns,2.45
2449,laenama,kuuza,verbs,0.3
2450,sonett,ushairi,nouns,0.35
2451,uks,sakafu,nouns,0.65
2452,veen,chaguo,nouns,0.1
2453,suvi,msimu wa baridi,nouns,0.7
2454,värske,mzee,adjectives,0.15
2455,veen,tumbo,nouns,0.25
2456,normaalne,si wa kawaida,adjectives,0.45
2457,veri,nyama,nouns,1.15
2458,peatuma,kuacha,verbs,0.22
2459,kutt,msichana,nouns,0.6
2460,oluliselt,kwa umuhimu,adverbs,0.5
2461,mees,baba,nouns,2.4
2462,märk,alama,nouns,4.3
2463,alati,mara kwa mara,adverbs,0.25
2464,habras,baridi,adjectives,0.35
2465,nüri,zorota,adjectives,0.05
2466,julm,katili,adjectives,2.3
2467,abielluma,kuchumbia,verbs,2.25
2468,tõenäoliselt,uwezekano,adverbs,2.85
2469,rääkima,kusikia,verbs,0.55
2470,kindel,bila shaka,adjectives,4.75
2471,sulama,kufuta,verbs,0.75
2472,jooma,kunywa,verbs,0.3
2473,rahvas,dola,nouns,0.4
2474,ema,mke,nouns,2.5
2475,uks,jiko,nouns,0.3
2476,lõimima,kufuma,verbs,0.25
2477,kange,ngumu,adjectives,0.2
2478,koridor,ushoroba,nouns,4.25
2479,number,tarakimu,nouns,5.1
2480,veski,koboa,nouns,0.65
2481,kabel,kanisa ,nouns,0.0
2482,häbenev,kua na aibu,adjectives,0.05
2483,harmoonia,umoja,nouns,0.6
2484,kohtuotsus,kesi,nouns,1.6
2485,tõlge,mtafsiri,nouns,0.5
2486,rakett,kelele,nouns,1.4
2487,salat,siki,nouns,0.35
2488,vanem,baba,nouns,3.4
2489,relv,alfajiri,nouns,0.05
2490,laenaja,mkopi,nouns,1.35
2491,purustama,kupondwa,verbs,1.85
2492,lahtine,pwaya,adjectives,1.4
2493,andma,kupokea,verbs,0.7
2494,veiseliha,nyama ya ng'ombe,nouns,3.1
2495,kindlalt,kwa kujiamini,adverbs,0.45
2496,kass,mbwa,nouns,0.9
2497,lihtne,rahisi,adjectives,4.6
2498,alustama,kuacha,verbs,0.35
2499,tegema,kuumba,verbs,4.1
2500,ehitama,kuumba,verbs,3.85
2501,märk,baji,nouns,0.15
2502,muuseum,jumba la makumbusho,nouns,0.0
2503,lagi,paa,nouns,3.85
2504,halb,poa,adjectives,0.2
2505,plekkpurk,kopo,nouns,1.6
2506,ühing,biashara,nouns,1.05
2507,ihaldama,kua na hamu,verbs,4.35
2508,emotsioon,hamu,nouns,3.3
2509,imeline,mwenye kupendeza,adjectives,1.55
2510,tõld,gari,nouns,1.25
2511,mees,mpiganaji,nouns,1.35
2512,kaart,ramani,nouns,0.25
2513,kerge,pole,adjectives,0.6
2514,proovima,kujaribu,verbs,0.7
2515,ignoreerima,kufanya utafiti,verbs,0.1
2516,konseptsioon,imani,nouns,1.4
2517,käsipuu,ua,nouns,0.1
2518,kass,sungura,nouns,0.7
2519,saama,kutuma,verbs,0.45
2520,mesi,sukari,nouns,2.3
2521,kaebama,kuleta,verbs,0.1
2522,lahkuma,kufika,verbs,0.45
2523,astronoom,mtaalam wa nyota,nouns,0.6
2524,sigar,bomba,nouns,0.45
2525,sisehõõrdumine,mnato,nouns,0.1
2526,kroon,taji,nouns,0.45
2527,vokalist,mtaalamu wa sauti,nouns,0.55
2528,vedelik,majimaji,nouns,0.6
2529,sahtel,nguo,nouns,0.85
2530,uber,motokaa,nouns,3.4
2531,vaidlema,kupinga,verbs,0.5
2532,poiss,wali,nouns,0.05
2533,vihane,mjeuri,adjectives,1.75
2534,ühinema,kujipatia,verbs,0.3
2535,karusnahk,ngozi,nouns,2.9
2536,ignoreerima,kuuliza,verbs,0.15
2537,mask,maski,nouns,0.5
2538,veri,damu,nouns,0.8
2539,käekell,saa,nouns,0.1
2540,vähetähtis,mdogo,adjectives,0.3
2541,pilv,vumbi,nouns,1.25
2542,linateos,filamu,nouns,4.9
2543,vahetama,kurudisha,verbs,0.4
2544,rahvas,bunduki,nouns,0.1
2545,poiss,kaka,nouns,2.3
2546,teenijanna,msaidizi,nouns,3.0
2547,triumf,ushindi,nouns,4.1
2548,aeg-ajalt,mara chache,adverbs,1.15
2549,null,sufuri,nouns,0.5
2550,korter,fanicha,nouns,0.6
2551,lääts,kamera,nouns,1.85
2552,tahtma,kuazima,verbs,0.6
2553,portreteerima,kuiga,verbs,2.3
2554,doktor,tabibu,nouns,5.1
2555,domineerima,kushinda,verbs,0.9
2556,suur,mzito,adjectives,2.05
2557,lumetorm,theluji kali,nouns,0.85
2558,tihti,mara nyingi,adverbs,0.3
2559,minema,kuruhusu,verbs,0.25
2560,tavaliselt,kawaida,adverbs,0.33
2561,lagunemine,utengano,nouns,0.5
2562,ebausaldusväärne,asiyeaminika,adjectives,1.05
2563,sihtima,kulenga,verbs,1.55
2564,liit,shirikisho,nouns,2.25
2565,ohutult,kwa usalama,adverbs,0.85
2566,isa,mtoto wa kike,nouns,0.65
2567,surmavalt,mwisho,adverbs,0.1
2568,sipelgas,chungu,nouns,0.95
2569,kogunema,kukutana,verbs,2.25
2570,aken,dirisha,nouns,0.6
2571,õppima,kusahau,verbs,0.4
2572,arvama,kubuni,verbs,0.2
2573,vesi,barafu,nouns,2.4
2574,rebima,kuchana,verbs,0.1
2575,tihedalt,kwa ukakamavu,adverbs,0.75
2576,kinematograafia,sinema,nouns,0.7
2577,edu saavutama,kujaribu,verbs,1.15
2578,sidrun,matofaa,nouns,0.8
2579,raske,bila jasho,adjectives,0.3
2580,hajuma,kufifia,verbs,1.3
2581,kahur,mpira,nouns,0.8
2582,lisama,kuunda,verbs,0.55
2583,onupojapoliitika,undugu,nouns,0.65
2584,õnneseen,enye bahati,adjectives,0.05
2585,film,filamu,nouns,0.2
2586,võtma,kuiba,verbs,1.55
2587,keetma,kuchemsha,verbs,0.95
2588,paraad,umati,nouns,1.1
2589,ebatavaliselt,sio kawaida,adverbs,4.65
2590,jurist,mwanasheria,nouns,4.55
2591,aru saama,kujua,verbs,3.65
2592,täna õhtul,leo usiku,adverbs,0.15
2593,tööline,makanika,nouns,1.95
2594,tulema,kufika,verbs,3.65
2595,vangla,chaguo,nouns,0.3
2596,õhtusöök,chakula cha asubuhi,nouns,0.95
2597,hirmunud,ogopa,adjectives,2.13
2598,kurb,wa kuchekesha,adjectives,0.4
2599,töötaja,mwajiri,nouns,0.9
2600,katedraal,dari,nouns,0.6
2601,biheiviorism,somo la tabia,nouns,0.65
2602,tsütoplasma,cytoplasm,nouns,0.05
2603,džinn,kileo,nouns,2.35
2604,kong,chumba,nouns,1.2
2605,tapeet,karatasi ya kupamba ukuta,nouns,2.25
2606,kirik,kanisa,nouns,4.25
2607,häbelik,aibu,adjectives,0.58
2608,pea,bega,nouns,0.95
2609,ametlikult,rasmi,adverbs,0.5
2610,regioon,eneo,nouns,3.7
2611,õnnelik,wa ghadhabu,adjectives,0.3
2612,pott,kifaa,nouns,0.45
2613,lisama,kugawanya,verbs,0.35
2614,päikesepaiste,matofaa,nouns,0.25
2615,pikk,mwembamba,adjectives,0.55
2616,essee,kitabu,nouns,1.0
2617,matma,kuzika,verbs,1.9
2618,kartul,siagi,nouns,0.6
2619,rääkima,kutamka,verbs,1.7
2620,pidu,sherehe,nouns,0.5
2621,hiir,menejimenti,nouns,0.0
2622,õppima,kujifunza,verbs,1.72
2623,juhtkond,kazi,nouns,1.05
2624,lennujaam,uwanja wa ndege,nouns,0.0
2625,lööma,kupiga,verbs,2.45
2626,vastu võtma,kupendekeza,verbs,0.5
2627,kari,kondoo,nouns,2.55
2628,segadusse ajama,kuchanganya,verbs,0.3
2629,laine,wimbi,nouns,0.6
2630,hümn,ushindi,nouns,0.2
2631,põnevil,sisimka,adjectives,1.35
2632,rumal,mpumbavu,adjectives,4.7
2633,negatiivselt,kwa ubaya,adverbs,0.55
2634,rand,kisiwa,nouns,0.9
2635,kallutama,kupendelea,verbs,3.5
2636,uhke,mjasiri,adjectives,1.0
2637,eine,chakula cha usiku,nouns,3.55
2638,tegema,kuharibu,verbs,0.45
2639,rütm,tuni,nouns,1.4
2640,ilmselgelt,ni dhahiri,adverbs,3.05
2641,teesklema,kuwazia,verbs,0.8
2642,otsustama,kuonyesha,verbs,0.25
2643,nakkus,ugonjwa,nouns,3.4
2644,trikk,saizi,nouns,0.05
2645,vöökoht,chakula,nouns,0.15
2646,pirukas,chokoleti,nouns,0.85
2647,imenduma,kumiliki,verbs,0.5
2648,võit,fora,nouns,4.1
2649,loll,hodari,adjectives,0.45
2650,mõtlema,kufikiria,verbs,1.8
2651,karm,rahisi,adjectives,0.1
2652,lahkelt,kwa fadhili,adverbs,3.3
2653,kivi,jiwe,nouns,0.55
2654,kritiseerima,kupinga,verbs,0.75
2655,eitama,kukataa,verbs,0.52
2656,dermatiit,ugonjwa wa ngozi,nouns,2.7
2657,illustratsioon,katuni,nouns,0.05
2658,võõrsil,ugenini,adverbs,0.35
2659,jäik,mdhaifu,adjectives,0.35
2660,pilv,mvuke,nouns,2.3
2661,hiiglasuur,mdogo,adjectives,0.3
2662,ebaküps,kutokomaa,adjectives,0.2
2663,politseinik,polisi,nouns,0.25
2664,amet,menejimenti,nouns,1.05
2665,aktsia,akiba,nouns,2.9
2666,küpsetama,kupika,verbs,3.05
2667,müksama,kugongana,verbs,3.4
2668,tegu,mwendo,nouns,0.85
2669,tõstma,nyanyua,verbs,0.75
2670,rand,mchanga,nouns,0.75
2671,mõnikord,muda mwingine,adverbs,0.2
2672,õnnetus,ajali,nouns,0.05
2673,tehe,uendeshaji,nouns,0.7
2674,puit,karatasi,nouns,0.9
2675,muutmine,uongofu,nouns,0.1
2676,laotama,kuenea,verbs,0.65
2677,vägi,nguvu,nouns,3.6
2678,šovinist,chauvinist,nouns,1.7
2679,paat,mota,nouns,1.3
2680,prognoosima,kubainisha,verbs,1.15
2681,ulatuslik,mkubwa,adjectives,3.7
2682,kurjategija,mhalifu,nouns,4.9
2683,tunnistama,kuzungumza,verbs,0.85
2684,viha,ghadhabu,nouns,4.8
2685,elektriline,chenye umeme,adjectives,0.1
2686,kits,ngombe,nouns,0.8
2687,ära ütlema,kukataa,verbs,0.4
2688,pidu,watu,nouns,0.65
2689,passiivselt,pasipo tu,adverbs,0.2
2690,kirjanik,muandishi,nouns,0.3
2691,leib,unga,nouns,1.2
