ID,POL,SWA,PoS,score
2010,obiecywać,kuweka ahadi,verbs,4.4
2011,zostawić,kupuuza,verbs,0.85
2012,stracić,kupoteza,verbs,0.7
2013,kość,taya,nouns,0.75
2014,cytoplazma,cytoplasm,nouns,0.0
2015,drzewo,mti,nouns,0.1
2016,zaułek,bakuli,nouns,0.05
2017,uzyskać,kuchukua,verbs,1.15
2018,klucz,funguo,nouns,0.8
2019,uczestniczyć,kusema,verbs,0.05
2020,wyrafinowany,kisasa,adjectives,0.75
2021,zeznawać,kushuhudia,verbs,0.4
2022,język,mawasiliano,nouns,2.5
2023,spokojnie,kwa utulivu,adverbs,2.25
2024,przestrzegać,kusikiliza,verbs,1.85
2025,sesja,kikao,nouns,0.0
2026,tępy,wa upuzi,adjectives,4.75
2027,kłamać,kudanganya,verbs,2.6
2028,ojciec,mtoto wa kike,nouns,0.3
2029,akceptować,kukana,verbs,0.05
2030,lubić,kufurahia,verbs,0.0
2031,rytm,mahadhi,nouns,0.7
2032,iglica,kanisa dogo,nouns,0.35
2033,róg,ngoma,nouns,0.35
2034,miękki,laini,adjectives,0.0
2035,miód,asali,nouns,0.05
2036,narzędzia,kifaa,nouns,0.3
2037,piwo,kinywaji,nouns,3.4
2038,zespół,subira,nouns,0.0
2039,ostry,mbutu,adjectives,0.05
2040,ratować,kuokoa,verbs,0.0
2041,energia,nishati,nouns,1.4
2042,robić,kuharibu,verbs,0.05
2043,drzwi,lango,nouns,4.55
2044,myć,kuosha,verbs,3.8
2045,śniadanie,chakula cha usiku,nouns,0.4
2046,film,sinema,nouns,4.6
2047,żyła,mkono,nouns,0.3
2048,głupi,mpumbavu,adjectives,4.95
2049,para,vitu viwili,nouns,5.45
2050,pić,kunywa,verbs,2.15
2051,szeroki,mwembamba,adjectives,0.05
2052,okrutny,katili,adjectives,2.05
2053,białko,protini,nouns,0.15
2054,tępy,mjinga,adjectives,4.95
2055,notatka,noti,nouns,0.55
2056,mnożyć,kugawanya,verbs,0.15
2057,wydawać,kuokoa,verbs,0.2
2058,prawo,maadili,nouns,0.95
2059,miasto,jiji,nouns,4.3
2060,komputer,kompyuta,nouns,3.4
2061,przejąć,kukuifungia,verbs,0.0
2062,pogoda,wingu,nouns,1.15
2063,pilot,dereva,nouns,2.25
2064,opowieść,mada,nouns,0.55
2065,mieszać,koroga,verbs,2.2
2066,zrealizować,kushinda,verbs,2.7
2067,cząsteczka,molekuli,nouns,0.1
2068,jednolity,sare,adjectives,0.1
2069,hełm,helmeti,nouns,0.5
2070,odrzucić,kukubali,verbs,0.05
2071,mechanicznie,kwa ustadi,adverbs,0.6
2072,wizja,utambuzi,nouns,1.9
2073,odchodzić,kubaki,verbs,0.05
2074,młotek,nyundo,nouns,0.0
2075,pistolet,alfajiri,nouns,0.0
2076,akapit,ukurasa,nouns,0.25
2077,miska,mkia,nouns,0.0
2078,operacja,uendeshaji,nouns,0.2
2079,wiec,mkutano,nouns,5.2
2080,ekosystem,mfumo wa ikolojia,nouns,0.2
2081,marynarka,jeshi,nouns,3.75
2082,polerować,kung'arisha,verbs,0.0
2083,unikać,kupuuza,verbs,2.7
2084,plusk,chubwi,nouns,0.0
2085,młyn,koboa,nouns,0.15
2086,wykonawca,mwigizaji,nouns,0.7
2087,giętki,rahisi kubadilika,adjectives,1.25
2088,baza,besi,nouns,0.25
2089,rozmiar,ukubwa,nouns,5.05
2090,szachy,chess,nouns,2.65
2091,wymiotować,kutapika,verbs,0.0
2092,wątroba,kiungo,nouns,2.85
2093,śmierdzieć,kunusa,verbs,0.6
2094,marginalnie,mara kwa mara,adverbs,0.5
2095,smagać,kubuta,verbs,2.8
2096,dorosły,umekua,adjectives,0.0
2097,kolano,mkono,nouns,0.5
2098,brzeg,pwani,nouns,4.35
2099,wybór,chaguo,nouns,2.75
2100,upaść,kuanguka,verbs,0.4
2101,kwiat,imani,nouns,0.05
2102,doktor,profesa,nouns,1.15
2103,czysty,nadhifu,adjectives,5.1
2104,brać,kuiba,verbs,1.15
2105,budka,sanduku,nouns,0.2
2106,brzydki,mbaya,adjectives,1.2
2107,złączyć,kujipatia,verbs,0.15
2108,zdolność,ustadi,nouns,3.8
2109,płot,reli,nouns,0.3
2110,rządać,kutaka,verbs,0.7
2111,wierzch,chini,nouns,0.1
2112,mozaika,mosaic,nouns,0.25
2113,uczęszczać,kuhudhuria,verbs,0.0
2114,styl życia,mtindo wa maisha,nouns,1.15
2115,ramię,mguu,nouns,1.15
2116,chodzić,kutembea,verbs,1.5
2117,przysięgać,kuapa,verbs,4.4
2118,mleko,juisi,nouns,0.6
2119,hardy,ngumu,adjectives,2.8
2120,wznosić,kukuinua,verbs,3.2
2121,brudny,mwembamba,adjectives,0.0
2122,lepkość,mnato,nouns,0.0
2123,dzielić,kuzidisha,verbs,0.15
2124,wieczór,giza kuingia,nouns,4.75
2125,pić,kunywa,verbs,0.05
2126,szach,saratanji,nouns,2.65
2127,krokodyl,mamba,nouns,1.9
2128,dolar,dola,nouns,1.0
2129,ignorować,kufanya utafiti,verbs,0.05
2130,ortodonta,mtaalamu wa meno,nouns,4.55
2131,komputer,cd,nouns,0.9
2132,zachowywać się,kutii,verbs,2.15
2133,instruktor,mwalimu,nouns,4.55
2134,pchać,kusukuma,verbs,0.75
2135,wielkość,saizi,nouns,5.05
2136,logika,akili,nouns,2.65
2137,niezależnie,kwa kujitegemea,adverbs,0.9
2138,polegać,tegemea,verbs,0.6
2139,kobieta,mwanaume,nouns,0.35
2140,tępy,hodari,adjectives,0.1
2141,krew,nyama,nouns,0.95
2142,bawełna,pamba,nouns,0.55
2143,uznawać,kujulisha,verbs,0.5
2144,pytać,kuuliza,verbs,0.2
2145,chłopiec,kijana,nouns,3.65
2146,susza,ukame,nouns,0.2
2147,żyła,tumbo,nouns,0.25
2148,glina,polisi,nouns,0.0
2149,ciało,tumbo,nouns,0.9
2150,zajęty,bizi,adjectives,0.05
2151,wydawać się,kujifanya,verbs,0.7
2152,egzamin,mtihani,nouns,0.25
2153,połączony,iliyojumuishwa,adjectives,2.1
2154,bańka,mapovu,nouns,1.6
2155,stopa,mguu,nouns,0.3
2156,fikcja,wasifu,nouns,0.6
2157,samochód,kiwanda,nouns,0.15
2158,swobodnie,bila shida,adverbs,3.05
2159,zwyczajny,kawaida,adjectives,0.0
2160,nawalić,kukanya,verbs,0.05
2161,cegła,ukuta,nouns,1.25
2162,wanna,puto,nouns,0.0
2163,kościół,kwaya,nouns,1.25
2164,skończony,malizika,adjectives,4.2
2165,krótki,mrefu,adjectives,0.05
2166,kapać,dondoka,verbs,1.05
2167,maszyna,mashine,nouns,3.4
2168,wspinać się,kupanda,verbs,0.45
2169,wolność,kujitawala,nouns,4.7
2170,udowodnić,kueleza,verbs,1.0
2171,rzadki,mpumbavu,adjectives,0.0
2172,zagotowany,chemshwa,adjectives,3.9
2173,żołądek,njia,nouns,0.05
2174,zespół,pombe,nouns,0.05
2175,cent,mke,nouns,0.05
2176,bóg,shetani,nouns,0.05
2177,zakładać,kujifanya,verbs,0.15
2178,kupować,kununua,verbs,2.4
2179,galaktyka,giligili,nouns,0.55
2180,chmura,wingu,nouns,0.0
2181,umiejętność,akili,nouns,2.25
2182,odkryty,haijafunikwa,adjectives,0.15
2183,sztuczny,sio asili,adjectives,4.8
2184,chcieć,kuchagua,verbs,1.15
2185,obserwować,kutazama,verbs,5.05
2186,nihilizm,kutoamini dini,nouns,0.0
2187,gromadzić się,kuhudhuria,verbs,1.2
2188,pytać,kusali,verbs,0.3
2189,prawnik,wakili,nouns,4.75
2190,oficjalnie,rasmi,adverbs,0.7
2191,osiągnąć,kupata,verbs,2.35
2192,iść,kuanza,verbs,0.05
2193,prosty,ana shida,adjectives,0.05
2194,ciotka,mjomba,nouns,0.65
2195,codziennie,kila siku,adverbs,2.3
2196,świat,ulimwengu,nouns,5.15
2197,manuskrypt,muswada,nouns,2.25
2198,wartość,thamani,nouns,0.8
2199,różnić się,kukubali,verbs,0.05
2200,nabiał,maziwa,nouns,0.05
2201,prymitywny,mbaya,adjectives,1.2
2202,prezydent,mwanasiasa,nouns,3.5
2203,pokornie,kwa unyenyekevu,adverbs,0.1
2204,kamień,jiwe,nouns,0.1
2205,praca,menejimenti,nouns,0.7
2206,nieśmiały,aibu,adjectives,0.63
2207,węgiel drzewny,makaa ya mawe,nouns,3.75
2208,adidasy,wakufunzi,nouns,0.35
2209,niszczyć,kuumba,verbs,0.05
2210,pręt,pazia,nouns,0.05
2211,uzasadniać,kuhakikisha,verbs,1.0
2212,płacić,kulipa,verbs,1.3
2213,powieść się,kufeli,verbs,0.05
2214,ignorować,kuondoka,verbs,0.85
2215,strumień,mto,nouns,2.95
2216,klatka piersiowa,mwili,nouns,1.85
2217,kciuk,ukucha,nouns,1.2
2218,opary,wingu,nouns,1.1
2219,łatwy,imara,adjectives,0.05
2220,weksylologia,elimu ya bendera,nouns,1.1
2221,silnik,mota,nouns,4.55
2222,wiersz,shairi,nouns,0.7
2223,apokalipsa,siku ya mwisho,nouns,0.55
2224,wino,kileo,nouns,3.65
2225,budynek,jengo,nouns,0.9
2226,baza,msingi,nouns,0.3
2227,eksplorować,kugundua,verbs,2.95
2228,stać się,kujitokeza,verbs,1.35
2229,pokój,kitanda,nouns,0.4
2230,bezradny,hoi,adjectives,1.8
2231,zakopać,kuzika,verbs,2.65
2232,wiatr,upepo,nouns,3.75
2233,przywrócić,kubadilisha,verbs,0.75
2234,cal,yadi,nouns,1.35
2235,niepotrzebny,lazima,adjectives,0.05
2236,obalać,kukanusha,verbs,0.0
2237,wielki,nama,adjectives,0.15
2238,rozprawa,wamuzi,nouns,1.5
2239,lato,msimu wa baridi,nouns,0.5
2240,mąka,mkate,nouns,0.9
2241,łazienka,chumba cha kulala,nouns,0.45
2242,dom ,jimbo,nouns,0.1
2243,książka,hadithi,nouns,2.15
2244,ogon,sura,nouns,0.0
2245,specjalny,maalumu,adjectives,2.55
2246,odrzutowiec,ndege,nouns,4.7
2247,rozdział,usiku,nouns,0.0
2248,przytulić,kumbatia,verbs,5.2
2249,metr,yadi,nouns,2.75
2250,płachta,gombo,nouns,0.25
2251,butelka,kopo,nouns,0.7
2252,klawiatura,kibodi,nouns,0.0
2253,tutaj,papa hapa,adverbs,1.3
2254,drżeć,kutetemeka,verbs,0.35
2255,siatkówka,mpira wa wavu,nouns,2.25
2256,film,filamu,nouns,0.0
2257,stary,mpya,adjectives,0.05
2258,zapominać,kujua,verbs,0.05
2259,obierać,kuteua,verbs,0.2
2260,opowieść,wimbo,nouns,0.8
2261,szosa,barabara kuu,nouns,5.2
2262,elektryczny,chenye umeme,adjectives,0.2
2263,zadanie,kazi,nouns,3.1
2264,krzesło,kiti,nouns,0.0
2265,przychodzący,inayoingia,adjectives,0.65
2266,drukować,kuchapisha,verbs,0.0
2267,milioner,milionea,nouns,1.0
2268,obecnie,kwa sasa,adverbs,0.0
2269,kongres,mkutano,nouns,2.5
2270,zwycięzca,mgombea wa uchaguzi,nouns,0.9
2271,motyl,kipepeo,nouns,0.15
2272,wiedzieć,kupa,verbs,0.1
2273,szef,bosi,nouns,4.55
2274,wyrzec się,kutelekeza,verbs,0.1
2275,absorbować,kumiliki,verbs,0.7
2276,karać,kuadhibu,verbs,0.4
2277,przekonanie,maadili,nouns,1.25
2278,mówić,kutamka,verbs,1.7
2279,bydło,mifugo,nouns,0.2
2280,ogon,mkia,nouns,2.9
2281,student,mwanachuo,nouns,4.45
2282,karta,daraja,nouns,0.6
2283,pisarz,mwandishi,nouns,0.5
2284,drogi,ghali,adjectives,0.0
2285,słoik,chupa,nouns,0.7
2286,myśleć,kuamua,verbs,2.05
2287,cel,mshale,nouns,0.5
2288,indyk,ndege,nouns,3.45
2289,dekoracja,mapambo,nouns,0.1
2290,uczyć się,kujifunza,verbs,1.95
2291,ksiądz,mtawa,nouns,2.7
2292,alkohol,brandi,nouns,3.15
2293,słowo,ukurasa,nouns,0.4
2294,zadanie,kisiwa,nouns,0.0
2295,drewno,mbao,nouns,0.0
2296,piosenka ,tuni,nouns,3.25
2297,przybywać,kuondoka,verbs,0.05
2298,prawo wyborcze,haki ya upigaji kura,nouns,0.05
2299,nauczyciel,mkufunzi,nouns,4.55
2300,fantastycznie,kimaajabu,adverbs,4.6
2301,jard,mita,nouns,2.75
2302,wierzyć,kujua,verbs,0.45
2303,klasa,ushoroba,nouns,0.2
2304,aplikacja,programu tumishi,nouns,0.0
2305,mówić,kutambua,verbs,0.35
2306,wojowniczość,ubishani,nouns,3.45
2307,naciskać,kuvyombo vya habari,verbs,0.0
2308,stać się,kuonekana,verbs,0.45
2309,w domu,nyumbani,adverbs,0.0
2310,śmieszny,wa kuchosha,adjectives,0.05
2311,zabawka,kichezeo,nouns,0.05
2312,rafa,ufuko,nouns,0.55
2313,brama,mlango,nouns,4.55
2314,perfekcyjnie,kiukamilifu,adverbs,0.95
2315,płakać,kulia,verbs,2.6
2316,ilustracja,katuni,nouns,0.0
2317,pokojowo,kwa amani,adverbs,0.0
2318,dać,kupokea,verbs,0.5
2319,spód,juu,nouns,0.1
2320,pytać,kusihi,verbs,1.6
2321,piłka nożna,burudani,nouns,1.05
2322,kabel,amari,nouns,0.03
2323,jednakowy,sawa,adjectives,3.9
2324,argument,ukosoaji,nouns,0.85
2325,towarzyski,inayotoka,adjectives,0.65
2326,zostać,kubaki,verbs,1.8
2327,oaza,oasisi,nouns,0.3
2328,silny,wa kujivunia,adjectives,0.45
2329,pułkownik,daktari wa meno,nouns,0.05
2330,dom,kapeti,nouns,0.2
2331,samochód,lifti,nouns,0.35
2332,cebulka,ua,nouns,1.65
2333,pokornie,kwa unyenyekevu,adverbs,0.05
2334,lampa,taa,nouns,0.3
2335,szeroki,mbivu,adjectives,0.05
2336,ksenofobia,ubaguzi,nouns,3.3
2337,unia,umoja,nouns,1.05
2338,nauczyciel,rafiki,nouns,0.3
2339,otrzymywać,kutuma,verbs,0.4
2340,celebrować,kusherekea,verbs,0.2
2341,autobus,teksi,nouns,1.85
2342,dorosły,mtoto mchanga,nouns,0.1
2343,przyjaciel,mgeni,nouns,0.65
2344,oddychać,kukaba,verbs,0.05
2345,klif,mkia,nouns,0.0
2346,głośny,yenye sauti,adjectives,0.45
2347,kot,sungura,nouns,0.75
2348,pudełko,sanduku,nouns,0.0
2349,zamykać,kufunga,verbs,0.0
2350,szeroki,mwembamba,adjectives,0.05
2351,ostry,ncha kali,adjectives,0.15
2352,dzisiaj wieczorem,leo usiku,adverbs,0.0
2353,udusić,kutakata,verbs,0.55
2354,biodro,mdomo,nouns,0.15
2355,niewiarygodnie,kwa umaradufu,adverbs,1.3
2356,wąski,nyembamba,adjectives,1.85
2357,szpital,kitanda,nouns,0.35
2358,rytm,muondoko,nouns,0.55
2359,pobieżnie,kwa kukadiria,adverbs,0.15
2360,płatność,malipo,nouns,1.45
2361,nieużywany,haijatumika,adjectives,5.05
2362,dysk,kompyuta,nouns,0.9
2363,niedawno,hivi karibuni,adverbs,0.0
2364,acetylocholina,acetylcholine,nouns,0.3
2365,dać,kukopesha,verbs,1.9
2366,ręka,kifundo,nouns,1.15
2367,wystrzelić,kuzindua,verbs,0.25
2368,krykiet,kriketi,nouns,0.2
2369,prawnik,mfanyakazi wa benki,nouns,0.45
2370,nos,koo,nouns,0.65
2371,prawowity,halali,adjectives,0.1
2372,mżawka,mvua,nouns,4.1
2373,cicho,kwa ukimya,adverbs,0.45
2374,dokładnie,kwa usahihi,adverbs,0.0
2375,wąski,mpana,adjectives,0.05
2376,homofon,nyumba ya nyumbani,nouns,0.05
2377,dążyć,kushawishi,verbs,1.25
2378,temat ,hadithi,nouns,0.55
2379,uderzyć,kuchapa,verbs,0.05
2380,teatr,ukumbi,nouns,0.0
2381,populacja,watu,nouns,3.9
2382,bogactwo,umasikini,nouns,0.25
2383,płyta matka,bodi mama(mama as central),nouns,4.0
2384,zachować,kuazima,verbs,0.05
2385,mężczyzna,baba,nouns,2.5
2386,wąski,mpana,adjectives,0.05
2387,niesprawiedliwie,bila haki,adverbs,0.75
2388,struktura,muundo,nouns,3.05
2389,śmierć,balaa,nouns,2.08
2390,śnieg,dhoruba,nouns,0.55
2391,narodowy,kitaifa,adjectives,0.05
2392,duży,mzito,adjectives,1.6
2393,wybaczać,kusahau,verbs,1.35
2394,alkohol,divai,nouns,3.65
2395,percepcja,kuona,nouns,1.9
2396,flaga,bendera,nouns,1.1
2397,maszyna,injini,nouns,3.95
2398,zachować,kumiliki,verbs,1.35
2399,zwiadowca,njia,nouns,0.75
2400,przypominać,kuuza,verbs,0.0
2401,zamieć,theluji kali,nouns,0.8
2402,gazeta,neno,nouns,0.3
2403,guzik,nguo,nouns,0.6
2404,sączyć,kuonja,verbs,0.5
2405,zawstydzony,kua na aibu,adjectives,0.05
2406,pchać,kusukuma,verbs,0.0
2407,kapitan,mwanamaji,nouns,2.5
2408,dumnie,kwa jeuri,adverbs,0.05
2409,wielościan,pembe zaidi ya sita,nouns,0.0
2410,mianowanie,shughuli,nouns,0.75
2411,orzeł,tai,nouns,1.1
2412,zabić,ua,verbs,0.6
2413,biblia,nyimbo,nouns,0.4
2414,orkiestra,bendi,nouns,4.3
2415,śniadanie,nyama ya nguruwe,nouns,0.95
2416,dziwny,wa kigeni,adjectives,4.4
2417,przezwyciężyć,kutawala,verbs,1.45
2418,zatrzymywać,kusahau,verbs,0.35
2419,krzesło,kiti,nouns,3.1
2420,wokalista,mtaalamu wa sauti,nouns,0.2
2421,wołowina,nyama ya ng'ombe,nouns,3.75
2422,dostać,kujipatia,verbs,2.45
2423,erodować,kumomonyoka,verbs,0.0
2424,krzyż,msalaba,nouns,0.25
2425,niepewny,sitasita,adjectives,0.15
2426,święty,mkosaji,nouns,0.05
2427,traktować,tibu,verbs,0.2
2428,prawnik,mwanasheria,nouns,0.0
2429,błyszczeć,kumeremeta,verbs,4.05
2430,robić,kuumba,verbs,4.1
2431,dążyć,kujitahidi,verbs,0.0
2432,ratować,kuokoa,verbs,2.6
2433,pożyczać,kuuza,verbs,0.0
2434,personel,wafanyakazi,nouns,0.2
2435,dżin,jini,nouns,0.3
2436,inteligencja,ustadi,nouns,2.25
2437,edukować,kuelimisha,verbs,5.3
2438,czesne,ada,nouns,2.55
2439,cygaro,bomba,nouns,0.15
2440,trzewia,neva,nouns,0.4
2441,wybierać,chagua,verbs,5.25
2442,krytycznie,kwa uweledi,adverbs,0.8
2443,odgrzewać,choma,verbs,0.9
2444,pokój,chumba,nouns,0.9
2445,fałszywy,bandia,adjectives,4.8
2446,argument,majadiliano,nouns,0.9
2447,łza,jicho,nouns,1.0
2448,nudny,wa kuchekesha,adjectives,0.05
2449,gwiazda,nyota,nouns,2.7
2450,sędzia,hakimu mkuu,nouns,4.45
2451,diament,hela,nouns,0.5
2452,policjant,polisi,nouns,0.05
2453,zima,msimu,nouns,3.25
2454,dinozaur,mijusi ya kale,nouns,0.25
2455,cytryna,matofaa,nouns,0.45
2456,poważnie,kwa umakini,adverbs,1.25
2457,nowy,ya zamani,adjectives,0.05
2458,szyja,mfupa,nouns,0.45
2459,mądrość,akili,nouns,4.15
2460,pogwałcenie,uhalifu,nouns,3.4
2461,rozzłoszczony,mwenye furaha,adjectives,0.2
2462,kontynuacja,mwendelezo,nouns,0.0
2463,dziura,mapatano,nouns,0.0
2464,prosić,kujipendekeza,verbs,0.2
2465,chronić,kulinda,verbs,1.55
2466,wygoda,usalama,nouns,1.05
2467,idealnie,walau,adverbs,0.6
2468,ściana,tofali,nouns,1.25
2469,kradzież,uhalifu,nouns,4.55
2470,tkać,kufuma,verbs,0.85
2471,osoba,mtu,nouns,2.1
2472,wesoły,mwenye furaha,adjectives,4.7
2473,budować,kuumba,verbs,4.25
2474,być dłużnym,kuingia,verbs,0.0
2475,zmartwiony,kasirika,adjectives,0.35
2476,nieukształtowany,kutobadilishwa,adjectives,0.1
2477,placek,chokoleti,nouns,0.65
2478,powietrze,molekuli,nouns,0.65
2479,metal,chuma,nouns,2.55
2480,stopa,kiwango,nouns,0.8
2481,dzieciak,mtoto wa kike,nouns,2.0
2482,rura,sigara,nouns,0.15
2483,wymagać,kuandaa,verbs,0.35
2484,zadanie,mwanamke,nouns,0.05
2485,niechlujny,chafu,adjectives,0.7
2486,przytulić,kukumbatia,verbs,0.0
2487,swoboda,uhuru,nouns,4.7
2488,student,profesa,nouns,0.55
2489,daleko,ugenini,adverbs,0.0
2490,decydować,kufikiria,verbs,2.05
2491,ceremonia,sherehe,nouns,5.5
2492,tani,rahisi,adjectives,3.35
2493,krzak,ua,nouns,0.75
2494,tragedia,kifo,nouns,2.3
2495,akcja,mchezo,nouns,1.1
2496,próbować,kutimiza,verbs,0.45
2497,wiązać,kuvunga,verbs,0.85
2498,prawdziwie,kweli,adverbs,0.95
2499,filiżanka,koni,nouns,0.1
2500,wanna,mbinu,nouns,0.0
2501,kraść,kuchukua,verbs,1.15
2502,słownik,kamusi,nouns,2.35
2503,rower,chumba cha kulala,nouns,0.0
2504,decydować,kuonyesha,verbs,0.1
2505,filozof,mphilisophia,nouns,0.0
2506,zatrzymywać,kusimamisha,verbs,1.3
2507,później,baadae,adverbs,0.3
2508,kandydat,mshindi,nouns,0.9
2509,klasztor,monasteri,nouns,0.0
2510,wchodzić,kuondoka,verbs,0.3
2511,bazgrać,kuandika,verbs,2.55
2512,dżinsy,jinzi,nouns,0.0
2513,zgadywać,kubuni,verbs,0.15
2514,stary,mbivu,adjectives,0.05
2515,książka,biblia,nouns,3.0
2516,funkcjonariusz,ofisa,nouns,1.05
2517,uczeń,rais,nouns,0.05
2518,raz,mara moja,adverbs,0.0
2519,skończyć,kumaliza,verbs,0.15
2520,płaszczyzna,ndege,nouns,0.25
2521,mnich,padri,nouns,2.7
2522,kaplica,kanisa ,nouns,0.05
2523,mieszany,kumbakumba,adjectives,0.05
2524,walczyć,kupigana,verbs,0.6
2525,przywrócić,kuleta,verbs,1.45
2526,miły,mkorofi,adjectives,0.05
2527,kursor,mshale,nouns,0.0
2528,udusić,kuwa nyororo,verbs,0.0
2529,fasola,wali,nouns,0.55
2530,tłum,kikundi,nouns,3.95
2531,matka,baba,nouns,0.75
2532,marnie,kwa ubaya,adverbs,0.05
2533,trudny,rahisi,adjectives,0.0
2534,kuzyn,mjomba,nouns,0.85
2535,wampir,vampire,nouns,0.85
2536,smartfon,simu mahiri,nouns,0.0
2537,zachować,kupa,verbs,0.2
2538,przyjaciel,mvulana,nouns,0.75
2539,przeważnie,zaidi,adverbs,0.2
2540,mrówka,chungu,nouns,0.8
2541,osądzać,kuhukumu,verbs,2.05
2542,powieść,simulizi,nouns,0.5
2543,data,siku ya kuzaliwa,nouns,1.65
2544,pracodawca,mwajiriwa,nouns,0.7
2545,przyjaciel,mwalimu,nouns,0.3
2546,drewno,gogo,nouns,3.25
2547,kurczyć się,kupotea,verbs,1.6
2548,ignorancja,akili,nouns,0.2
2549,słaby,dhaifu,adjectives,0.1
2550,wychodzić,kujitokeza,verbs,0.65
2551,flet,filimbi,nouns,0.85
2552,inaczej,kitofauti,adverbs,0.3
2553,ubrania,jaketi,nouns,2.7
2554,słoma,nyimbo,nouns,0.0
2555,specjalnie,makusudi,adverbs,2.5
2556,łódź,mota,nouns,1.3
2557,telewizja,runinga,nouns,0.2
2558,silny,mwenye nguvu,adjectives,0.1
2559,komórka,simu ya mkononi,nouns,4.85
2560,książka,fasihi,nouns,2.85
2561,środowisko,mazingira,nouns,0.0
2562,łucznik,mpiga mishale,nouns,0.75
2563,rzeka,bahari,nouns,1.9
2564,futerał,kesi,nouns,0.15
2565,obciążać,kutiachaji,verbs,0.4
2566,szybko,kwa haraka,adverbs,4.45
2567,nienaturalnie,si asili,adverbs,0.23
2568,czarodziej,mchawi,nouns,0.0
2569,informacja,gazeti,nouns,1.85
2570,logika,hesabu,nouns,0.45
2571,akceptować,kukataa,verbs,0.05
2572,mieszany,changanywa,adjectives,2.1
2573,piosenkarz,mwimbaji,nouns,0.2
2574,polecać,kukubali,verbs,0.45
2575,żłób,mlazi,nouns,2.55
2576,doktor,mtaalamu wa meno,nouns,3.15
2577,oceniać,kiwango,verbs,0.7
2578,kościół,kanisa,nouns,4.15
2579,profesor,daktari,nouns,1.15
2580,naturalnie,kiasili,adverbs,0.0
2581,robotnik,mfanyakazi,nouns,0.45
2582,prędki,wa haraka,adjectives,5.25
2583,bezpieczeństwo,starehe,nouns,1.05
2584,ostrożnie,kwa umakini,adverbs,5.05
2585,katedra,kanisa kuu,nouns,4.15
2586,ignorować,kuepa,verbs,2.7
2587,znany,inayojulikana,adjectives,0.05
2588,pojemnik,mkokoteni,nouns,0.05
2589,wolność,uhuru,nouns,0.3
2590,pożyczać,kupa,verbs,1.05
2591,zgromadzenie,kusanyiko,nouns,5.2
2592,wycofywać się,kurudia,verbs,0.75
2593,dolegliwość,hatari,nouns,0.5
2594,zezować,kufinya macho,verbs,0.15
2595,ogon,jabali,nouns,0.0
2596,bekon,maharagwe,nouns,0.3
2597,samochód,honi,nouns,0.4
2598,siła,makadara,nouns,4.05
2599,rak,maradhi,nouns,3.8
2600,ścigać,kukimbiza,verbs,0.55
2601,konstruować,kuharibu,verbs,0.05
2602,moneta,sarafu,nouns,1.45
2603,okno,dirisha,nouns,0.2
2604,pianino,kinanda,nouns,0.15
2605,supremacja,ukuu,nouns,1.9
2606,odgraniczenie,ukingo,nouns,3.75
2607,klejący,kunata,adjectives,1.0
2608,skłaniać,kupendelea,verbs,2.9
2609,młody,mwenye furaha,adjectives,0.25
2610,galeria,nyumba ya sanaa,nouns,0.0
2611,wizerunek,wazo,nouns,0.55
2612,słaby,dhaifu,adjectives,0.0
2613,zegarek,saa,nouns,0.05
2614,porwać,kuteka nyara,verbs,1.75
2615,dyskusja,pambano,nouns,0.9
2616,udawać,kuonyesha,verbs,0.3
2617,bark,kichwa,nouns,0.75
2618,wątroba,pafu,nouns,0.65
2619,osądzać,hakimu,verbs,0.4
2620,odbicie,picha,nouns,2.05
2621,duch,mungu,nouns,2.15
2622,koronacja,kusimikwa ufalme,nouns,0.0
2623,dach,sakafu,nouns,0.35
2624,insekt,nyuki,nouns,2.55
2625,silnik,mashine,nouns,3.95
2626,nagrzewać,pasha kabla,verbs,0.9
2627,grzecznie,kwa unyenyekevu,adverbs,0.6
2628,dzień,asubuhi,nouns,1.55
2629,stek,kuku,nouns,0.6
2630,jutro,kesho,adverbs,0.0
2631,pistolet,bunduki,nouns,0.0
2632,talia,chakula,nouns,0.05
2633,poeta,mshairi,nouns,0.45
2634,emocjonalnie,kwa hisia,adverbs,1.15
2635,opłata,malipo,nouns,2.75
2636,mężczyzna,mwanaume,nouns,0.25
2637,ładowarka,chaja,nouns,0.2
2638,próbować,kufanikiwa,verbs,0.5
2639,uczęszczać,kufika,verbs,2.45
2640,parasol,mwamvuli,nouns,0.0
2641,realistycznie,kihalisia,adverbs,0.8
2642,kanapka,nyama,nouns,0.25
2643,chłopiec,mazingira,nouns,0.0
2644,odpowiedzialnie,kwa kuwajibika,adverbs,1.65
2645,cząsteczka,hewa,nouns,0.65
2646,natychmiast,kwa haraka,adverbs,0.7
2647,królowa,nyuki,nouns,0.45
2648,szklanka,glasi,nouns,0.05
2649,kość,mkono,nouns,0.75
2650,własna osoba,hakika,nouns,0.6
2651,tłumaczyć,kufafanua,verbs,5.1
2652,pokrętny,njia za panya,adjectives,1.65
2653,szczupły,nyembamba,adjectives,4.95
2654,zstępować,kushuka,verbs,0.75
2655,polityk,mwanasiasa,nouns,0.05
2656,kobieta,sekretari,nouns,1.2
2657,usta,pua,nouns,0.5
2658,gotowany,pikwa,adjectives,3.9
2659,samochód,boti,nouns,0.65
2660,plotka,habari,nouns,1.4
