ID,CMN,RUS,PoS,score
2246,燕麦,поле,nouns,0.72
2247,市长,президент,nouns,1.5
2248,国境,рубеж,nouns,3.79
2249,接受,соглашаться,verbs,3.01
2250,大灾难,авария,nouns,3.35
2251,父亲,сын,nouns,0.68
2252,平淡,захватывающий,adjectives,0.14
2253,和声,пианино,nouns,0.53
2254,大规模,астрономический,adjectives,0.45
2255,借,нищенствовать,verbs,0.84
2256,和平,счастье,nouns,2.19
2257,节奏,мелодия,nouns,3.27
2258,最近,новый,adjectives,2.37
2259,泥土,слякоть,nouns,4.95
2260,老师,ученик,nouns,0.68
2261,草,корень,nouns,0.53
2262,拒绝,соглашаться,verbs,0.05
2263,舒服地,легко,adverbs,1.63
2264,除,складывать,verbs,0.28
2265,目标,стрела,nouns,0.86
2266,参加竞选,обезьяна,nouns,0.0
2267,很少,никогда,adverbs,1.54
2268,坚固地,мягко,adverbs,0.05
2269,恶化,протирать,verbs,0.0
2270,毛毛虫,шелкопряд,nouns,2.4
2271,突变体,социобиология,nouns,0.47
2272,无辜,свободный,adjectives,0.04
2273,棉,свитер,nouns,0.77
2274,数字,число,nouns,4.57
2275,种子,мельница,nouns,0.59
2276,努力,трудность,nouns,0.79
2277,同意,различаться,verbs,0.0
2278,减少,спускаться,verbs,0.29
2279,制服,вязание,nouns,0.43
2280,海报,бумага,nouns,1.96
2281,晚餐,курятина,nouns,0.43
2282,风,шквал,nouns,3.46
2283,豆,кофе,nouns,0.58
2284,国民,большой,adjectives,0.05
2285,感觉,интуиция,nouns,3.94
2286,盒子,источник,nouns,0.0
2287,教堂,кабель,nouns,0.0
2288,艺术品,художник,nouns,1.01
2289,激进,агрессивный,adjectives,1.88
2290,脏,удивительный,adjectives,0.0
2291,牙齿,рот,nouns,0.77
2292,汽车,танк,nouns,1.02
2293,扩大,расти,verbs,2.5
2294,情感,настроение,nouns,2.74
2295,外交,переговоры,nouns,1.86
2296,蝴蝶,роза,nouns,0.57
2297,城镇,город,nouns,3.61
2298,沉闷,скучный,adjectives,2.34
2299,离开,игнорировать,verbs,0.43
2300,建造,разрушение,nouns,0.29
2301,教室,коридор,nouns,0.54
2302,酱,яблоко,nouns,0.59
2303,喜悦,гордость,nouns,1.66
2304,顶,бок,nouns,0.34
2305,理解,читать,verbs,0.77
2306,日常,обычно,adverbs,2.44
2307,情况,обстоятельство,nouns,4.59
2308,防守,убивать,verbs,0.18
2309,关键地,практически,adverbs,0.53
2310,财富,бедность,nouns,0.1
2311,收集,встряхивать,verbs,0.04
2312,交换,замена,nouns,4.67
2313,脆弱,беспомощный,adjectives,1.71
2314,礼物,писатель,nouns,0.4
2315,报纸,известие,nouns,1.47
2316,换算,высота,nouns,0.04
2317,情况,состояние,nouns,3.11
2318,美丽地,элегантно,adverbs,3.19
2319,页,слово,nouns,0.4
2320,暖炉,зонтик,nouns,0.04
2321,强调,расслабленный,adjectives,0.05
2322,正牙医生,дантист,nouns,4.34
2323,收缩,уменьшаться,verbs,3.19
2324,加入,вкладывать,verbs,0.96
2325,击败,взбить,verbs,0.28
2326,未成熟的,взрослый,adjectives,0.23
2327,房间,здание,nouns,0.49
2328,牛仔裤,женщина,nouns,0.2
2329,吸收,отделяться,verbs,0.0
2330,简单,ранимый,adjectives,0.09
2331,电影,опера,nouns,0.66
2332,过去,предшествующее,nouns,4.0
2333,海,дельта,nouns,0.24
2334,宽大,узкий,adjectives,0.18
2335,娱乐,угождать,verbs,0.67
2336,短小,карликовый,adjectives,2.37
2337,政府,ящерица,nouns,0.0
2338,折断,хрустеть,verbs,1.95
2339,生日,год,nouns,1.06
2340,解释,доказывать,verbs,3.08
2341,举起,повышать,verbs,2.92
2342,老鼠,палуба,nouns,0.4
2343,承认,принимать,verbs,3.04
2344,男人,победитель,nouns,0.63
2345,哨兵,человек,nouns,1.55
2346,羞耻,расстроенный,adjectives,0.58
2347,公式,журнал,nouns,0.2
2348,打破,трескаться,verbs,1.7
2349,无助,ранимый,adjectives,1.71
2350,抓住,гнаться,verbs,2.04
2351,兄弟会,дверь,nouns,0.0
2352,墙壁,отделка,nouns,0.87
2353,乐队,спиртное,nouns,0.15
2354,狭窄,грязный,adjectives,0.0
2355,褪色,разъедать,verbs,0.37
2356,今天,сегодня ночью,adverbs,1.93
2357,看来,просто,adverbs,1.2
2358,小说,писатель,nouns,0.55
2359,收缩,исчезать,verbs,0.58
2360,肉,кровь,nouns,0.78
2361,肩膀,рука,nouns,0.83
2362,车,автострада,nouns,0.6
2363,赦免,прощать,verbs,3.81
2364,演员,многогранник,nouns,0.0
2365,休会,заканчивать,verbs,0.14
2366,玻璃,значок,nouns,0.04
2367,骨头,локоть,nouns,0.64
2368,映像,образ,nouns,2.5
2369,蜥蜴,правительство,nouns,0.0
2370,车辆,автобус,nouns,2.45
2371,追逐,следовать,verbs,2.76
2372,马赛克,базилика,nouns,0.15
2373,大炮,ружье,nouns,1.86
2374,丈夫,мужчина,nouns,2.85
2375,脊柱,тело,nouns,1.33
2376,徘徊,искать,verbs,0.83
2377,重要的,серьезно,adverbs,1.56
2378,女人,жена,nouns,2.54
2379,搜索,странствовать,verbs,0.83
2380,空气,гелий,nouns,2.12
2381,强大,мощный,adjectives,4.08
2382,一般,повседневно,adverbs,4.25
2383,朋友,мать,nouns,0.58
2384,天神,священник,nouns,0.69
2385,完成,соревноваться,verbs,0.0
2386,非常好,грязный,adjectives,0.0
2387,洗手间,кухня,nouns,0.44
2388,允许,давать,verbs,1.25
2389,极好,прекрасный,adjectives,4.32
2390,安全,комфорт,nouns,0.34
2391,工具,работа,nouns,0.58
2392,发送,приносить,verbs,0.2
2393,试着,намереваться,verbs,2.31
2394,收到,посылать,verbs,0.37
2395,发现,происходить,verbs,0.18
2396,学习,забывать,verbs,0.1
2397,获胜者,кандидат,nouns,1.49
2398,卡,бридж,nouns,0.68
2399,兴奋,испуганный,adjectives,0.33
2400,老师,помощник,nouns,1.46
2401,选举,назначать,verbs,0.72
2402,审判,вердикт,nouns,1.52
2403,虫害,пестицид,nouns,0.63
2404,马,бык,nouns,0.57
2405,草莓,вишня,nouns,1.13
2406,撕开,одевать,verbs,0.09
2407,海,пляж,nouns,1.88
2408,害怕,нервный,adjectives,1.75
2409,酒吧,тюрьма,nouns,0.18
2410,母亲,подруга,nouns,0.58
2411,羊,ягненок,nouns,3.68
2412,大,национальный,adjectives,0.05
2413,冰雹,дождь,nouns,1.32
2414,学习,спутывать,verbs,0.0
2415,菠萝,смартфон,nouns,0.0
2416,方式,привычка,nouns,3.98
2417,检查,шахматы,nouns,0.89
2418,字,газета,nouns,1.47
2419,可靠地,пассивно,adverbs,0.0
2420,男人,охранник,nouns,1.55
2421,儿子,брат,nouns,0.77
2422,手臂,вена,nouns,0.45
2423,爬,путешествовать,verbs,0.63
2424,容器,мышь,nouns,0.0
2425,坏,ужасный,adjectives,3.77
2426,电影,театр,nouns,1.3
2427,失败,полагаться,verbs,0.09
2428,木,бревно,nouns,3.74
2429,加剧,нападать,verbs,0.18
2430,轻松,спокойный,adjectives,1.75
2431,鸢尾花,ацетилхолин,nouns,0.0
2432,奖学金,обучение,nouns,0.77
2433,奇怪,необычный,adjectives,4.78
2434,冷静地,решительно,adverbs,0.43
2435,长笛,музыка,nouns,1.0
2436,祈祷,общаться,verbs,0.47
2437,争论,дискуссия,nouns,3.72
2438,积极地,точно,adverbs,0.32
2439,传说,мораль,nouns,0.3
2440,通常,нерегулярно,adverbs,0.28
2441,生物学家,микроскоп,nouns,0.64
2442,出现,покидать,verbs,0.05
2443,维他命,железо,nouns,0.81
2444,笨,редкий,adjectives,0.0
2445,犯罪,нарушение,nouns,3.73
2446,难看,беспорядочный,adjectives,0.42
2447,天文学家,галактика,nouns,0.84
2448,蜜糖,молочные продукты,nouns,0.28
2449,干旱,вода,nouns,0.29
2450,确定,предсказывать,verbs,0.64
2451,坠落,ушибить,verbs,0.73
2452,智力,проницательность,nouns,2.13
2453,豆,рис,nouns,0.53
2454,锡,алюминий,nouns,0.36
2455,大致地,легко,adverbs,0.0
2456,行李,кругосветное плавание,nouns,0.5
2457,撤退,спускаться,verbs,0.24
2458,甲板,пол,nouns,1.83
2459,狡猾,выносливый,adjectives,0.7
2460,家牛,йогурт,nouns,0.43
2461,加入,жениться,verbs,0.43
2462,崇拜,восхищаться,verbs,4.17
2463,天文,массивный,adjectives,0.45
2464,拿,получать,verbs,1.42
2465,划分,объединять,verbs,0.23
2466,社会生物学,мутант,nouns,0.47
2467,人,население,nouns,2.67
2468,飞机,вертолет,nouns,2.02
2469,统计资料,теннис,nouns,0.0
2470,快,скоростной,adjectives,4.77
2471,管理,работа,nouns,0.88
2472,显微镜,биолог,nouns,0.64
2473,货车,посылка,nouns,0.2
2474,发光,сиять,verbs,4.17
2475,大海,река,nouns,1.44
2476,灯泡,цветок,nouns,0.3
2477,和平地,хаотично,adverbs,0.1
2478,男孩,солдат,nouns,1.64
2479,学费,стипендия,nouns,0.77
2480,片,аэропорт,nouns,0.0
2481,火,апокалипсис,nouns,0.96
2482,人造,фальшивый,adjectives,3.45
2483,共和国,герцог,nouns,0.15
2484,限制,уменьшить,verbs,2.48
2485,沙发,стул,nouns,1.59
2486,沼泽,озеро,nouns,0.47
2487,男孩,партнер,nouns,0.63
2488,火鸡,птица,nouns,1.92
2489,伴侣,приятель,nouns,2.31
2490,西方,север,nouns,0.24
2491,听,подчиняться,verbs,2.25
2492,成年人,родитель,nouns,2.44
2493,徽章,стекло,nouns,0.04
2494,平面,простынь,nouns,0.14
2495,推荐,принимать,verbs,0.39
2496,害怕,неуверенный,adjectives,1.06
2497,角度,расстояние,nouns,0.54
2498,手臂,нога,nouns,0.53
2499,澄清,объяснять,verbs,3.27
2500,新娘,принцесса,nouns,0.34
2501,生物学,биотоп,nouns,0.89
2502,服从,наказывать,verbs,0.19
2503,海军,армия,nouns,3.11
2504,老鼠,управление,nouns,0.35
2505,强硬,твердый,adjectives,3.34
2506,身体,нижняя одежда,nouns,0.15
2507,达到,завершать,verbs,2.54
2508,酸,основание,nouns,0.18
2509,自然地,тихо,adverbs,0.33
2510,神话,сатира,nouns,0.53
2511,歌手,хор,nouns,1.57
2512,自由,невинный,adjectives,0.04
2513,留,ждать,verbs,0.94
2514,冰,снег,nouns,2.47
2515,迷惑,учить,verbs,0.0
2516,三角洲,море,nouns,0.24
2517,脚,кисть,nouns,0.43
2518,修道院,душ,nouns,0.0
2519,粘人,неуверенный,adjectives,0.04
2520,洗澡,монастырь,nouns,0.0
2521,主题标签,тема,nouns,2.95
2522,主要地,терминально,adverbs,0.15
2523,朋友,наставник,nouns,1.36
2524,大自然,флора,nouns,2.36
2525,心理学,наука,nouns,2.35
2526,灯,джинн,nouns,0.1
2527,牛排,мясо,nouns,4.14
2528,末期地,в основном,adverbs,0.15
2529,不定期地,обычно,adverbs,0.28
2530,发送,идти,verbs,0.1
2531,分析,сравнивать,verbs,2.96
2532,肚子,курс,nouns,0.1
2533,公国,княжество,nouns,1.77
2534,作业,примечание,nouns,0.57
2535,碗,тарелка,nouns,2.56
2536,人,животное,nouns,1.4
2537,擦,ухудшать,verbs,0.0
2538,征服,путешествие,nouns,0.23
2539,厨房,дверь,nouns,0.4
2540,最近,реалистично,adverbs,0.0
2541,男孩,брат,nouns,1.69
2542,冷,обычный,adjectives,0.0
2543,电容器,диод,nouns,0.88
2544,下面,верх,nouns,0.2
2545,胜利,триумф,nouns,4.67
2546,交付,брать,verbs,0.29
2547,正文,книга,nouns,2.27
2548,成熟,бойко,adverbs,0.38
2549,需求,выговаривать,verbs,0.34
2550,协议,прореха,nouns,0.0
2551,当然,очевидно,adverbs,2.81
2552,冠军,победитель,nouns,5.17
2553,铅笔,сказка,nouns,0.14
2554,白兰地酒,алкоголь,nouns,2.92
2555,好心地,щедро,adverbs,2.42
2556,兄弟,сестра,nouns,1.74
2557,信念,цветок,nouns,0.14
2558,溺爱,нюхать,verbs,0.0
2559,降落,уменьшаться,verbs,0.29
2560,相反,другой,adjectives,0.73
2561,男孩,ребенок,nouns,2.75
2562,教育,учить,verbs,3.44
2563,毁灭,создавать,verbs,0.14
2564,呕吐,закрыть,verbs,0.0
2565,阿姨,племянник,nouns,0.54
2566,非法,законный,adjectives,0.19
2567,现在,здесь,adverbs,1.55
2568,运动,действие,nouns,2.96
2569,砖,стена,nouns,0.82
2570,牧师,бог,nouns,0.69
2571,坟墓,перезахоронения,nouns,1.07
2572,根,трава,nouns,0.53
2573,疯狂,довольный,adjectives,0.33
2574,感染,сгибание,nouns,0.0
2575,问,молиться,verbs,1.23
2576,轻视,пренебрежительный,adjectives,4.17
2577,想要,занимать,verbs,0.14
2578,妻子,ванна,nouns,0.0
2579,淹,спасти,verbs,0.1
2580,汽车,мост,nouns,0.29
2581,晚上,день,nouns,0.1
2582,圣歌,завоевание,nouns,0.0
2583,偷,приобретать,verbs,0.73
2584,暴力,пассивный,adjectives,0.05
2585,老师,раввин,nouns,0.96
2586,策略家,комбинатор,nouns,2.41
2587,王子,король,nouns,1.65
2588,罪人,святой,nouns,0.2
2589,锡,металл,nouns,2.17
2590,实现,пытаться,verbs,1.31
2591,员工,вокалист,nouns,0.18
2592,威士忌酒,джин,nouns,1.72
2593,聚酯纤维,хлопок,nouns,0.65
2594,婴儿,взрослый,nouns,0.68
2595,害怕,стеснительный,adjectives,0.71
2596,盗窃,преступлениe,nouns,2.83
2597,男孩,состояние,nouns,0.14
2598,汽车,подъемник,nouns,0.4
2599,机灵,тупой,adjectives,0.14
2600,钱,наличные,nouns,4.04
2601,老师,друг,nouns,1.36
2602,墙纸,фон,nouns,2.45
2603,艰难,трудный,adjectives,4.38
2604,骨髓,кровь,nouns,0.48
2605,电影,телевидение,nouns,2.63
2606,完全地,минимально,adverbs,0.05
2607,树枝,рука,nouns,0.2
2608,书,история,nouns,1.82
2609,安全,легальный,adjectives,0.88
2610,幼苗,лист,nouns,0.86
2611,运动鞋,медаль,nouns,0.2
2612,提高,пить,verbs,0.0
2613,魔鬼,бог,nouns,0.24
2614,化学,теория,nouns,0.92
2615,刀,ружье,nouns,1.59
2616,帽子,коробка,nouns,0.25
2617,诗人,журналист,nouns,0.35
2618,简直,видимо,adverbs,1.2
2619,相机,работник,nouns,0.29
2620,乘法,деление,nouns,0.8
2621,性能,камея,nouns,0.04
2622,讽刺,миф,nouns,0.53
2623,小提琴,инструмент,nouns,2.98
2624,岛,задача,nouns,0.0
2625,不公平,довольно,adverbs,0.28
2626,酒店,квартира,nouns,0.77
2627,枯燥,смешной,adjectives,0.05
2628,鳄鱼,ящерица,nouns,0.63
2629,十年,век,nouns,0.24
2630,脚,песок,nouns,0.04
2631,橙子,цитрус,nouns,3.63
2632,肯定地,конечно,adverbs,3.24
2633,查询,думать,verbs,0.44
2634,儿子,отец,nouns,0.68
2635,臭氧,атмосфера,nouns,2.12
2636,丑陋,грубый,adjectives,0.88
2637,出租车,автомобиль,nouns,3.13
2638,非自然,отрицательно,adverbs,0.24
2639,灰尘,метла,nouns,0.83
2640,炒,кипятить,verbs,0.71
2641,争论,соглашение,nouns,0.47
2642,同意,спорить,verbs,0.28
2643,开襟毛衣,рубашка,nouns,1.03
2644,宪法,император,nouns,0.24
2645,电,ящик,nouns,0.34
2646,游泳,встретить,verbs,0.0
2647,创建,рисовать,verbs,0.54
2648,球,перчатка,nouns,0.14
2649,面具,вечеринка,nouns,0.44
2650,旅程,поездка,nouns,4.2
2651,收割,получать,verbs,2.47
2652,海滩,риф,nouns,0.54
2653,加,умножать,verbs,0.38
2654,幻灯片,указатель,nouns,0.09
2655,蜜蜂,насекомое,nouns,2.5
2656,谦虚,пристыженный,adjectives,0.43
2657,元,миллионер,nouns,0.6
2658,哥哥,отец,nouns,0.54
2659,卖,продаваться,verbs,0.4
2660,忘记,помнить,verbs,0.14
2661,家长,отец,nouns,3.98
2662,不同,соответствовать,verbs,0.0
2663,治疗,бихевиоризм,nouns,0.25
2664,校园,университет,nouns,2.16
2665,鼓,гитара,nouns,0.63
2666,很少地,обычно,adverbs,0.18
2667,声望,богатство,nouns,0.42
2668,坏,посредственный,adjectives,0.65
2669,品质,зонтик,nouns,0.04
2670,世界,земля,nouns,2.09
2671,奶昔,сок,nouns,0.38
2672,肉桂,конфеты,nouns,0.29
2673,军队,флот,nouns,3.11
2674,想,решать,verbs,1.13
2675,大,тяжелый,adjectives,1.07
2676,教学大纲,экзамен,nouns,0.57
2677,纯,скромный,adjectives,0.66
2678,自豪地,мирно,adverbs,0.09
2679,故事,песня,nouns,0.38
2680,女王,пчела,nouns,0.7
2681,放,давать,verbs,0.48
2682,谦逊地,гордо,adverbs,0.33
2683,生病,сумасшедший,adjectives,1.21
2684,续集,камера,nouns,0.04
2685,说谎,отрицать,verbs,0.87
2686,手腕,рука,nouns,0.7
2687,女人,джинсы,nouns,0.2
2688,假,настоящий,adjectives,0.29
2689,紧张地,тревожно,adverbs,3.46
2690,身体,нерв,nouns,1.21
2691,发现,изучать,verbs,2.56
2692,浮动,петь,verbs,0.05
2693,幸福,печаль,nouns,0.05
2694,使气馁,подбодрять,verbs,0.23
2695,拥有,хранить,verbs,0.92
2696,加,строить,verbs,0.75
2697,苗条,худенький,adjectives,3.92
2698,拇指,ноготь,nouns,0.92
2699,手机,ананас,nouns,0.0
2700,危险,угроза,nouns,4.32
2701,笨,доверчивый,adjectives,0.43
2702,松饼,петрушка,nouns,0.1
2703,有礼貌地,благоразумно,adverbs,0.72
2704,州长,император,nouns,0.73
2705,学校,юриспруденция,nouns,0.58
2706,外国人,переводчик,nouns,0.53
2707,总是,дважды,adverbs,0.05
2708,神,жертва,nouns,0.15
2709,付款,лечить,verbs,0.19
2710,运输,поднимать,verbs,1.27
2711,环球航行,багаж,nouns,0.5
2712,口香糖,мята,nouns,0.47
2713,啜,пить,verbs,1.92
2714,警察,шериф,nouns,4.11
2715,大,крупный,adjectives,4.56
2716,帮忙,просить,verbs,0.19
2717,马上,один раз,adverbs,0.05
2718,男人,братство,nouns,0.88
2719,脸颊,язык,nouns,0.5
2720,减去,потерять,verbs,1.11
2721,头脑风暴,телескоп,nouns,0.0
2722,主题,история,nouns,0.67
2723,花费,копить,verbs,0.37
2724,湿,липкий,adjectives,1.4
2725,手臂,колено,nouns,0.53
2726,失败,преуспевать,verbs,0.18
2727,屋,ковер,nouns,0.45
2728,伞,нагреватель,nouns,0.04
2729,叔叔,мужчина,nouns,2.19
2730,污染,атмосфера,nouns,0.49
2731,播放机,тренер,nouns,0.3
2732,制作者,создатель,nouns,3.77
2733,公共汽车,таксомотор,nouns,1.44
2734,标志,символ,nouns,4.75
2735,商业,промышленность,nouns,1.26
2736,分解,факторизация,nouns,1.97
2737,雾,облако,nouns,2.13
2738,行政管理,управление,nouns,4.17
2739,坚硬,прочный,adjectives,3.34
2740,找到,исчезать,verbs,0.0
2741,人群,парад,nouns,0.94
2742,漂移,течь,verbs,1.5
2743,奇怪地,иначе,adverbs,0.88
2744,当然,точно,adverbs,3.24
2745,轻轻地,ярко,adverbs,0.0
2746,冷淡,грубый,adjectives,0.1
2747,不同意,соглашаться,verbs,0.23
2748,稍后,никогда,adverbs,0.09
2749,发誓,обещать,verbs,3.46
2750,埋葬,умереть,verbs,1.44
2751,踢,ушибить,verbs,1.56
2752,借款人,кредит,nouns,1.36
2753,危害,боль,nouns,0.96
2754,走廊,дверь,nouns,0.53
2755,付得起,дешевый,adjectives,2.6
2756,服装,бал,nouns,0.55
2757,淫贱,грязный,adjectives,0.32
2758,令人惊讶,фантастически,adverbs,3.24
2759,友善,великодушный,adjectives,2.91
2760,硬纸板,бумага,nouns,2.9
2761,某些,нервный,adjectives,0.05
2762,派对,электорат,nouns,0.83
2763,老鼠,контейнер,nouns,0.0
2764,溶解,смешивать,verbs,1.18
2765,演员,актриса,nouns,2.98
2766,旧,новый,adjectives,0.24
2767,显然,конечно,adverbs,2.81
2768,滴,наливать,verbs,0.46
2769,百科全书,словарь,nouns,1.81
2770,不昂贵,дешевый,adjectives,4.41
2771,目前,деликатно,adverbs,0.0
2772,没打中,ударять,verbs,0.18
2773,生活方式,цивилизация,nouns,1.27
2774,毛毛雨,дождь,nouns,3.83
2775,想,размышлять,verbs,4.22
2776,来,приносить,verbs,1.17
2777,宽,свежий,adjectives,0.0
2778,讨厌,наслаждаться,verbs,0.09
2779,戒指,помолвка,nouns,1.24
2780,编剧,телевидение,nouns,0.78
2781,逮捕,подозревать,verbs,0.33
2782,夏天,зима,nouns,0.29
2783,小孩,взрослый,nouns,0.68
2784,扰乱,беспокоить,verbs,3.51
2785,音乐,флейта,nouns,1.0
2786,发送,запускать,verbs,2.71
2787,卖,занимать,verbs,0.33
2788,成年人,ребенок,nouns,0.68
2789,雇主,работник,nouns,0.64
2790,流星,сила тяжести,nouns,0.1
2791,家,государство,nouns,0.25
2792,裙子,часы,nouns,0.1
2793,风暴,туча,nouns,1.01
2794,狭窄,длинный,adjectives,0.29
2795,字,ключ,nouns,0.14
2796,肚子,спальня,nouns,0.0
2797,美人,возраст,nouns,0.48
2798,小牛,бык,nouns,2.69
2799,原谅,забывать,verbs,0.93
2800,欠,одалживать,verbs,0.83
2801,柑橘,апельсин,nouns,3.63
2802,对乙酰氨基酚,бронхит,nouns,0.49
2803,时装,форма,nouns,0.39
2804,走,входить,verbs,1.0
2805,星系,астроном,nouns,0.84
2806,不同,терминально,adverbs,0.05
2807,申请,кандидат,nouns,0.73
2808,全能,примат,nouns,0.37
2809,原子,молекула,nouns,1.73
2810,玫瑰,бабочка,nouns,0.57
2811,句法,заглавное слово,nouns,0.38
2812,愤怒,досада,nouns,2.18
2813,大致,надежно,adverbs,0.14
2814,证明,объяснять,verbs,3.08
2815,给,отрекаться,verbs,0.0
2816,审查,свобода,nouns,0.39
2817,必然,практически,adverbs,0.58
2818,侄子,тетя,nouns,0.54
2819,清洁,беспорядочный,adjectives,0.04
2820,花园,шланг,nouns,0.4
2821,坏,потрясающий,adjectives,0.24
2822,雇主,работник,nouns,0.45
2823,云,окно,nouns,0.2
2824,恢复,заменять,verbs,0.65
2825,讨论,спор,nouns,3.72
2826,直升机,самолет,nouns,2.02
2827,磨坊,семя,nouns,0.59
2828,焦急地,нервно,adverbs,3.46
2829,苹果,сок,nouns,1.23
2830,成为,организовывать,verbs,0.15
2831,忘记,знать,verbs,0.05
2832,出口,проход,nouns,3.27
2833,发展,сбор пожертвований,nouns,0.04
2834,挤压,обнимать,verbs,0.23
2835,船,палуба,nouns,1.11
2836,受惊,в восторге,adjectives,0.33
2837,地板,дверь,nouns,0.3
2838,大,гибкий,adjectives,0.14
2839,经济,экосистема,nouns,0.35
2840,差数,остаток,nouns,2.08
2841,财富,репутация,nouns,0.42
2842,善良,великодушный,adjectives,1.9
2843,苹果,лимон,nouns,0.44
2844,犹豫,гневный,adjectives,0.28
2845,不同的,странно,adverbs,0.88
2846,傲慢,гордый,adjectives,2.81
2847,歌谣,песня,nouns,3.34
2848,异常,странно,adverbs,3.71
2849,山羊,корова,nouns,0.47
2850,到达,покидать,verbs,0.14
2851,肉,бутерброд,nouns,0.53
2852,祈祷,просить,verbs,1.23
2853,三明治,мясо,nouns,0.53
2854,房屋,ключ,nouns,0.4
2855,原木,дерево,nouns,3.74
2856,饥饿,усталый,adjectives,0.47
2857,笨,интеллектуальный,adjectives,0.14
2858,英雄,героиня,nouns,3.3
2859,牧师,пророк,nouns,0.73
2860,联合,сумма,nouns,1.37
2861,手表,юбка,nouns,0.1
2862,戏法,ванна,nouns,0.0
2863,选择,мнение,nouns,1.1
2864,米,ярд,nouns,1.94
2865,作家,роман,nouns,0.55
2866,找到,приобретать,verbs,1.44
2867,离开,странствовать,verbs,0.24
2868,得到,оставаться,verbs,0.04
2869,女孩,парень,nouns,0.18
2870,得罪,оскорблять,verbs,2.96
2871,妻子,цент,nouns,0.18
2872,乐队,парад,nouns,0.68
2873,十,эпоха,nouns,0.64
2874,家伙,друг,nouns,1.39
2875,收集,организовать,verbs,1.69
2876,候选人,победитель,nouns,1.49
2877,雾气,облако,nouns,2.15
2878,偷,давать,verbs,0.18
2879,赶,торопиться,verbs,3.5
2880,狭窄,белый,adjectives,0.18
2881,磁盘,компьютер,nouns,0.97
2882,词缀,суффикс,nouns,1.83
2883,未成形,униформа,adjectives,0.0
2884,厂,автомобиль,nouns,0.29
2885,总统,загрязнение,nouns,0.0
2886,珍爱,хранить,verbs,0.97
2887,责怪,обвинять,verbs,3.83
2888,腿,конечность,nouns,2.5
2889,整齐,чистый,adjectives,3.3
2890,成年人,младенец,nouns,0.68
2891,欲望,хотеть,verbs,4.89
2892,脚,голова,nouns,0.39
2893,肚子,тело,nouns,1.61
2894,毁灭,создавать,verbs,0.23
2895,似乎,становиться,verbs,0.73
2896,沐浴,бревно,nouns,0.0
2897,字母,ручка,nouns,0.25
2898,哥哥,сын,nouns,0.77
2899,波浪,погода,nouns,0.29
2900,一次,дважды,adverbs,0.37
2901,章,выбор,nouns,0.34
2902,简单,тяжелый,adjectives,0.09
2903,光,клавиатура,nouns,0.04
2904,依靠,провалиться,verbs,0.09
2905,闻名,национальный,adjectives,0.05
2906,私人的,общественный,adjectives,0.09
2907,个人,частный,adjectives,4.18
2908,付款,примечание,nouns,0.55
2909,乳制品,мед,nouns,0.28
2910,派对,маска,nouns,0.44
2911,象征,знак,nouns,4.75
2912,肝脏,орган,nouns,2.27
2913,混合,бить,verbs,0.05
2914,身体,грудь,nouns,1.7
2915,辩论,спорить,verbs,2.74
2916,女人,задача,nouns,0.0
2917,篮球,бейсбол,nouns,0.82
2918,经常,иногда,adverbs,1.49
2919,煮熟的,кипячёный,adjectives,2.58
2920,屋顶,пол,nouns,0.34
2921,开心,злой,adjectives,0.0
2922,可笑,скучный,adjectives,0.05
2923,沙丘,пустыня,nouns,2.46
2924,冷静,расслабленный,adjectives,1.75
2925,威士忌酒,алкоголь,nouns,2.97
2926,借,держать,verbs,0.1
2927,意料之外,непредвиденный,adjectives,5.39
2928,应用,галакси,nouns,0.3
2929,棒球,братство,nouns,0.3
2930,显然,благоразумно,adverbs,0.43
2931,区域,область,nouns,4.79
2932,清醒,храпеть,verbs,0.33
2933,拥抱,душить,verbs,0.3
2934,害羞,дорогой,adjectives,0.0
2935,银行家,юрист,nouns,0.49
2936,头盔,оружие,nouns,0.69
2937,软管,сад,nouns,0.4
2938,灵活,движимый,adjectives,0.82
2939,混乱,урок,nouns,0.1
2940,锁,ключ,nouns,0.86
2941,讨厌,презирать,verbs,3.05
2942,唇,рот,nouns,1.88
2943,公牛,теленок,nouns,2.69
2944,房间,кровать,nouns,0.39
2945,好的,посредственный,adjectives,0.53
2946,雷达,джойстик,nouns,0.29
2947,经常地,иногда,adverbs,0.37
2948,矬小,коротковатый,adjectives,2.37
2949,吉他,форель,nouns,0.0
2950,男人,муж,nouns,2.85
2951,肌肉,язык,nouns,0.81
2952,抓住,получать,verbs,0.39
2953,穿着衣服的,покрытый,adjectives,1.63
2954,耐力,повязка,nouns,0.0
2955,烟斗,сигара,nouns,1.91
2956,伤害,падать,verbs,0.73
2957,手套,мяч,nouns,0.14
2958,出席,спорить,verbs,0.09
2959,蜜糖,сахар,nouns,1.82
2960,医生,профессор,nouns,1.16
2961,批评,ненавидеть,verbs,0.63
2962,给予,одалживать,verbs,1.9
2963,蜜蜂,матка,nouns,0.7
2964,沐浴,шар,nouns,0.0
2965,球,пушка,nouns,0.6
2966,值得,зарабатывать,verbs,1.78
2967,肉,говядина,nouns,3.12
2968,沙漠,дюна,nouns,2.46
2969,薄荷,музей,nouns,0.0
2970,替换,обмен,nouns,4.67
2971,流,дрейфовать,verbs,1.5
2972,向外,приходящий,adjectives,0.1
2973,可悲的是,безумно,adverbs,0.24
