ID,CMN,SWA,PoS,score
2121,窗口,kifundo cha mguu,nouns,0.0
2122,火,moto,nouns,0.41
2123,瓶子,chupa,nouns,2.22
2124,小炮舰,meli ya vita,nouns,0.15
2125,基督教,mkristo,nouns,3.21
2126,叫喊,kuguta,verbs,0.55
2127,尾巴,mkia,nouns,2.75
2128,实际地,kihalisia,adverbs,0.44
2129,柄,mpini,nouns,0.15
2130,异常地,sikawaida,adverbs,0.0
2131,不诚实,si mwaminifu,adjectives,0.1
2132,假设,kanunu,nouns,1.09
2133,运输,kuvuta,verbs,0.97
2134,显然,ni wazi,adverbs,0.15
2135,安排,kuhitaji,verbs,0.1
2136,学院,weledi,nouns,0.39
2137,雪,theluji,nouns,2.46
2138,优胜者,bingwa,nouns,5.38
2139,保护,kuliinda,verbs,0.95
2140,妻子,mama,nouns,2.49
2141,嘴巴,jino,nouns,0.92
2142,意志,hiari,nouns,1.26
2143,订婚,kuoa,verbs,2.68
2144,骗局,ulaghai,nouns,1.63
2145,小旅馆,hosteli,nouns,2.98
2146,贡献,mchango,nouns,2.71
2147,粗鲁,jeuri,adjectives,0.83
2148,中性,upande wowote,adjectives,0.26
2149,巨大,mpumbavu,adjectives,0.04
2150,旅行,safari,nouns,3.79
2151,收缩,kupotea,verbs,0.58
2152,爬,kupanda,verbs,0.28
2153,走道,njia,nouns,0.14
2154,清醒,kutolewa,adjectives,0.09
2155,椅子,kiti,nouns,0.0
2156,候选人,mshindi,nouns,1.64
2157,摔碎,kugonga,verbs,0.67
2158,形象,wazo,nouns,0.55
2159,建立,kuumba,verbs,4.42
2160,大方,wa kirafiki,adjectives,2.6
2161,饮食,matofaa,nouns,0.41
2162,咬,kung'ata,verbs,1.01
2163,铅笔,penseli,nouns,0.14
2164,说谎,kudanganya,verbs,2.29
2165,散热器,radiator,nouns,0.48
2166,元,dola,nouns,0.75
2167,自豪,mwenye nguvu,adjectives,0.33
2168,手稿,muswada,nouns,1.4
2169,停,kuacha,verbs,0.05
2170,男孩,wali,nouns,0.0
2171,容易地,kiurahisi,adverbs,0.05
2172,吉他,gitaa,nouns,0.0
2173,妻子,mwanamke,nouns,3.59
2174,发现,kutambua,verbs,4.51
2175,个人,kibinasfi,adjectives,3.73
2176,迷惑,kuchanganya,verbs,0.0
2177,保持,kushindwa,verbs,0.09
2178,权利,maadili,nouns,0.57
2179,演出,kutumbuiza,verbs,0.05
2180,小麦粉,mkate,nouns,1.46
2181,出席,kuja,verbs,3.09
2182,抓住,kukamata,verbs,3.75
2183,地带,eneo,nouns,4.77
2184,怒视,kukondoa macho,verbs,0.33
2185,卖,kuazima,verbs,0.28
2186,不耐烦,ana wasiwasi,adjectives,4.12
2187,银行家,mwanasheria,nouns,0.34
2188,肠子,neva,nouns,0.24
2189,陶艺,ufinyanzi,nouns,1.68
2190,淹,kutota,verbs,0.04
2191,司机,rubani,nouns,1.92
2192,阴谋家,mweka mipango,nouns,2.66
2193,稀少,haba,adjectives,4.64
2194,尺寸,mbinu,nouns,0.0
2195,床,blanketi,nouns,0.7
2196,刺激,sisimsha,adjectives,0.09
2197,布,nguo,nouns,2.83
2198,派对,sherehe,nouns,0.14
2199,救援,okoa,verbs,4.77
2200,无礼,jeuri,adjectives,0.32
2201,没有覆蓋的,haijafunikwa,adjectives,0.19
2202,死,kufariki,verbs,0.14
2203,望远镜,darubini,nouns,0.0
2204,哥哥,baba,nouns,0.29
2205,最近,hivi karibuni,adverbs,2.54
2206,反驳,kukanusha,verbs,0.0
2207,家牛,mifugo,nouns,0.33
2208,手术,moyo,nouns,0.39
2209,锁匙,nyumba,nouns,0.4
2210,男人,mwanamke,nouns,0.43
2211,人,senti,nouns,0.0
2212,北,kusini,nouns,0.14
2213,心理学,sayansi,nouns,2.6
2214,系统,mfumo,nouns,0.0
2215,罐子,kikombe,nouns,1.3
2216,匆匆地写,kuandika,verbs,2.88
2217,总统,mwanachuo,nouns,0.05
2218,牙齿,kinywa,nouns,0.92
2219,长凳,kiti,nouns,4.17
2220,争论,kulalamika,verbs,1.54
2221,果汁,matofaa,nouns,1.23
2222,突变体,jitu,nouns,0.23
2223,征服,nyimbo,nouns,0.05
2224,运送,kukubali,verbs,0.0
2225,湿,lowa,adjectives,1.25
2226,尺寸,senti,nouns,0.05
2227,果园,kiunga,nouns,0.0
2228,吉他,gita,nouns,0.32
2229,大笑,kucheka,verbs,0.09
2230,晚上,mchana,nouns,0.2
2231,云,dhoruba,nouns,0.56
2232,肉,nyama,nouns,3.42
2233,三明治,nyama,nouns,0.43
2234,地窖,mlango,nouns,0.18
2235,出席,kukusanya,verbs,0.53
2236,土豆,siagi,nouns,0.24
2237,骨髓,damu,nouns,0.48
2238,小巷,bakuli,nouns,0.05
2239,奴隶,falahi,nouns,3.23
2240,天神,padri,nouns,0.39
2241,人,puto,nouns,0.0
2242,偷,kuchukua,verbs,1.05
2243,董事,mkurugenzi,nouns,4.13
2244,避难所,kibanda,nouns,0.71
2245,残酷,mwema,adjectives,0.05
2246,工人,makanika,nouns,1.98
2247,蛇,nyoka,nouns,0.6
2248,寻求,lengo,nouns,0.65
2249,指甲,kichwa,nouns,0.1
2250,学校,sheria,nouns,0.23
2251,光,mwanga,nouns,0.04
2252,软线,waya,nouns,0.79
2253,警察,askari,nouns,4.56
2254,屋,kapeti,nouns,0.15
2255,云,wingu,nouns,0.1
2256,策略家,mkakati,nouns,2.66
2257,忘记,kudumisha,verbs,0.14
2258,任务,mwanamke,nouns,0.05
2259,肌肉,ulimi,nouns,0.56
2260,审查,udhibiti,nouns,0.2
2261,数,nambari,nouns,5.07
2262,忽略,kusahau,verbs,2.54
2263,旗帜学,elimu ya bendera,nouns,0.92
2264,座舱,chumba cha rubani,nouns,0.62
2265,王子,mfalme,nouns,2.45
2266,自豪,kujivunia,adjectives,0.04
2267,王座,kiti cha enzi,nouns,0.23
2268,巧妙,kwa akili,adverbs,0.43
2269,狗,paka,nouns,0.43
2270,钟,mnara,nouns,0.47
2271,重要地,kwa umuhimu,adverbs,0.0
2272,学费,ada,nouns,1.31
2273,内疚,mkweli,adjectives,0.15
2274,护士,mwanasayansi,nouns,0.24
2275,变成,kuonekana,verbs,0.34
2276,忘记,kujua,verbs,0.05
2277,续集,mwendelezo,nouns,0.04
2278,墙纸,karatasi ya kupamba ukuta,nouns,2.35
2279,酒,karne,nouns,0.0
2280,学期,muhula,nouns,4.22
2281,母亲,rafiki,nouns,0.24
2282,电脑,cd,nouns,0.53
2283,携带,kuleta,verbs,2.65
2284,意外,balaa,nouns,2.45
2285,门,korido,nouns,0.43
2286,鸡,steki,nouns,0.29
2287,两次,mara mbili,adverbs,0.32
2288,米,yadi,nouns,2.69
2289,柠檬,matofaa,nouns,0.34
2290,加入,kujipatia,verbs,0.1
2291,羞愧,huzuni,nouns,0.75
2292,亲密,kwa ukaribu,adjectives,0.05
2293,枫树,mti,nouns,3.68
2294,细胞质,cytoplasm,nouns,0.0
2295,联合,kujumuisha,verbs,1.92
2296,给,kuweka,verbs,0.14
2297,结婚,kujiunga,verbs,0.24
2298,伤心,huzuni,adjectives,0.14
2299,算术,pigo,nouns,0.04
2300,僧侣,padri,nouns,2.72
2301,完成,maliza,verbs,0.74
2302,地区,kanda,nouns,4.77
2303,下面,juu,nouns,0.15
2304,公共汽车,teksi,nouns,2.25
2305,松饼,muffini,nouns,0.0
2306,笨,mjanja,adjectives,0.19
2307,笨,ana akili,adjectives,0.1
2308,肚子,mwili,nouns,1.27
2309,狂怒,hasira,nouns,4.4
2310,古怪,mgeni,adjectives,4.78
2311,蠢,mpumbavu,adjectives,5.11
2312,一次,mara moja,adverbs,0.32
2313,不同的,tofauti,adverbs,0.53
2314,狡猾,imara,adjectives,0.39
2315,进入,kudaiwa,verbs,0.0
2316,选举权,haki ya upigaji kura,nouns,0.18
2317,棒球,mpira wa kikapu,nouns,0.42
2318,韵律,hesabu,nouns,0.04
2319,主意,picha,nouns,0.55
2320,奇怪地,ya kustajabisha,adverbs,4.17
2321,失去,kuweka,verbs,0.09
2322,书,fasihi,nouns,2.05
2323,年,siku ya kuzaliwa,nouns,0.61
2324,内衣褲,chupi,nouns,0.0
2325,电影,filamu,nouns,0.28
2326,异常,sio kawaida,adverbs,4.17
2327,追逐,kimbiza,verbs,2.46
2328,学习,kuchambua,verbs,0.68
2329,餐,chakula cha usiku,nouns,3.46
2330,眼泪,jicho,nouns,0.92
2331,雷达,rada,nouns,0.34
2332,椅子,benchi,nouns,4.17
2333,向外,inayotoka,adjectives,0.2
2334,运气,furaha,nouns,0.51
2335,相信,kujua,verbs,0.85
2336,谦逊地,kwa unyenyekevu,adverbs,0.23
2337,强烈地,kwa nguvu,adverbs,0.32
2338,查询,kuhitaji,verbs,0.18
2339,来,kuhudhuria,verbs,3.09
2340,笨,adimu,adjectives,0.0
2341,音乐,tuni,nouns,4.12
2342,强硬,ngumu,adjectives,2.74
2343,穿,kuvaa,verbs,0.14
2344,谦虚,mnyenyekevu,adjectives,0.46
2345,自豪,kujivunia,adjectives,0.14
2346,碗,mkia,nouns,0.0
2347,唱,kuimba,verbs,0.0
2348,死亡,balaa,nouns,2.04
2349,客串角色,kutokea kwenye onyesho,nouns,0.6
2350,忠诚地,kwa uaminifu,adverbs,3.88
2351,肢体,mguu,nouns,1.6
2352,脾气,daktari,nouns,0.0
2353,汤,chakula cha usiku,nouns,0.43
2354,接受,kukana,verbs,0.05
2355,美人,umri,nouns,0.28
2356,议会,bunge,nouns,2.67
2357,钝,mkali,adjectives,0.14
2358,萤幕,skrini,nouns,0.36
2359,必然,kwa ulazima,adverbs,0.33
2360,被动,kupooza,adjectives,0.0
2361,选择,kutaka,verbs,0.81
2362,呼吸,kukaba,verbs,0.37
2363,小木屋,nyumba ndogo,nouns,3.26
2364,沐浴,chumba,nouns,0.1
2365,电视,runinga,nouns,1.6
2366,男人,mjomba,nouns,2.38
2367,拥有,kuweka,verbs,0.53
2368,哨兵,mwanaume,nouns,1.35
2369,慷慨地,kwa fadhili,adverbs,2.42
2370,撤离,kuondoka,verbs,0.0
2371,拇指,mkono,nouns,0.93
2372,衣服,kabati,nouns,0.41
2373,交换,ubadilishaji,nouns,0.55
2374,试着,kujaribu,verbs,1.46
2375,相机,rais,nouns,0.0
2376,装作,jifanya,verbs,2.29
2377,自信,nafsi,nouns,0.43
2378,简单,ana shida,adjectives,0.14
2379,平面,ndege,nouns,0.14
2380,昆虫,nyuki,nouns,2.65
2381,冻结,kuganda,verbs,0.18
2382,谷物,ngano,nouns,2.79
2383,安慰,usalama,nouns,0.49
2384,父亲,mzazi,nouns,4.18
2385,医生,profesa,nouns,0.96
2386,高兴,ana hasira,adjectives,0.28
2387,草,mzizi,nouns,0.38
2388,确定,kutambulisha,verbs,0.0
2389,传染,utapiamlo,nouns,1.09
2390,牛,mbuzi,nouns,0.47
2391,小巷,mtaa,nouns,2.63
2392,警告,onya,verbs,0.1
2393,焦虑,mwenye woga,adjectives,4.12
2394,哭,kulia,verbs,2.92
2395,性能,utendaji,nouns,0.6
2396,硬纸板,karatasi,nouns,2.35
2397,警察,polisi,nouns,0.04
2398,智力,hekima,nouns,3.85
2399,推,kusukuma,verbs,0.18
2400,云,vumbi,nouns,1.3
2401,树,mti,nouns,0.54
2402,脚趾,kidole cha mkono,nouns,0.89
2403,哨,mluzi,verbs,0.0
2404,马车,mkokoteni,nouns,3.67
2405,值得,kuchuma,verbs,0.73
2406,选举,kuteua,verbs,0.0
2407,字,kamusi,nouns,1.07
2408,蓝色,bluu,adjectives,0.39
2409,来源,chanzo,nouns,0.0
2410,苦难,ukiwa,nouns,2.33
2411,喝醉,mlevi,adjectives,0.09
2412,井井有条,kupanga,verbs,0.18
2413,得到,kuweka,verbs,0.15
2414,身体,neva,nouns,1.31
2415,本地,kienyeji,adverbs,0.0
2416,饮品,bia,nouns,3.17
2417,沙子,mchanga,nouns,0.04
2418,叔叔,mwanaume,nouns,2.38
2419,自己,hakika,nouns,0.43
2420,毛毛雨,mvua,nouns,3.98
2421,相机,kamera,nouns,0.04
2422,监控,simamia,nouns,0.36
2423,妻子,majani makavu,nouns,0.09
2424,借,kuweka,verbs,0.05
2425,乙酰胆碱,acetylcholine,nouns,0.0
2426,碰撞,kumgongano,verbs,3.44
2427,小牛,fahali,nouns,2.69
2428,盒子,kofia,nouns,0.05
2429,态度,hakika,nouns,0.64
2430,疾病,hatari,nouns,0.57
2431,威士忌酒,kileo,nouns,3.97
2432,耐力,bendi,nouns,0.0
2433,日出,machweo,nouns,1.23
2434,教育,kuelimisha,verbs,4.74
2435,肚子,mshipa,nouns,0.24
2436,南,kaskazini,nouns,0.14
2437,幼苗,miche,nouns,1.01
2438,难得,adimu,adjectives,4.64
2439,选择,sura,nouns,0.1
2440,徽章,insilia,nouns,0.0
2441,留,kubaki,verbs,1.49
2442,非法,wa dhambi,adjectives,2.39
2443,接受,kukubali,verbs,0.28
2444,黎明,bunduki,nouns,0.0
2445,最近,hivi karibuni,adverbs,0.0
2446,创造性地,kiubunifu,adverbs,0.65
2447,病人,mgonjwa,nouns,0.18
2448,真诚地,kwa ukweli,adverbs,0.0
2449,顽固,msumbufu,adjectives,1.31
2450,小心地,kwa umakini,adverbs,5.13
2451,实现,kujaribu,verbs,0.66
2452,盗窃,uhalifu,nouns,3.77
2453,男孩,kaka,nouns,2.44
2454,书,kitabu,nouns,1.4
2455,歌谣,wimbo,nouns,2.94
2456,病理学,stadi ya magonjwa,nouns,2.54
2457,书,kitabu,nouns,0.0
2458,安全,lindwa,adjectives,0.0
2459,有时,muda mwingine,adverbs,0.0
2460,天神,shetani,nouns,0.04
2461,暗礁,ufuko,nouns,0.39
2462,埋葬,kuzika,verbs,2.53
2463,救,kuokoa,verbs,0.04
2464,酒,bendi,nouns,0.05
2465,当然,kwa uhakika,adverbs,0.43
2466,击中,piga,verbs,1.5
2467,察觉,kung'amua,verbs,0.89
2468,焦急地,kwa wasiwasi,adverbs,4.36
2469,劝告,kushauri,verbs,3.41
2470,电动,chenye umeme,adjectives,0.0
2471,脆弱,walio hatarini,adjectives,0.09
2472,深深地,kwa undani,adverbs,0.38
2473,总统,mwanasiasa,nouns,3.04
2474,参议院,seneti,nouns,0.77
2475,大口地吃,kufunda,verbs,0.23
2476,创建,kutengeneza,verbs,0.07
2477,丰富,ziada,nouns,3.44
2478,火车,treni,nouns,1.86
2479,大厦,nyumba,nouns,0.0
2480,经常地,mara kwa mara,adverbs,0.72
2481,北方,magharibi,nouns,0.24
2482,词性变化,inflection,nouns,0.75
2483,作证,kushuhudia,verbs,0.29
2484,羊肉,kondoo,nouns,4.08
2485,换算,uongofu,nouns,0.04
2486,大象,ndovu,nouns,0.07
2487,紧密地,kwa karibu,adverbs,0.09
2488,炒,kaanga,verbs,0.86
2489,星星,nyota,nouns,3.33
2490,诗,shairi,nouns,0.58
2491,不道德,mbaya,adjectives,2.56
2492,正常,si wa kawaida,adjectives,0.24
2493,黄昏,jioni,nouns,4.91
2494,教室,ushoroba,nouns,0.14
2495,故事,mada,nouns,0.42
2496,淫贱,mchafu,adjectives,0.37
2497,滑雪,skiing,nouns,1.88
2498,水晶,bilauri,nouns,0.6
2499,赢家,lengo,nouns,0.05
2500,游戏,mbinu,nouns,0.57
2501,经常,mara nyingi,adverbs,0.18
2502,显然,wazi,adjectives,4.91
2503,海啸,sunami,nouns,1.08
2504,谦虚,nyenyekevu,adjectives,5.13
2505,培根,nyama,nouns,3.69
2506,保持,kuazima,verbs,0.05
2507,保留,kuokoa,verbs,0.09
2508,枯燥,wa kuchekesha,adjectives,0.05
2509,逃逸,kuhepa,verbs,0.0
2510,忘记,kupuuza,verbs,2.54
2511,监狱,chaguo,nouns,0.15
2512,关键地,kwa uweledi,adverbs,0.57
2513,问,kuuliza,verbs,0.29
2514,建造,kuharibu,verbs,0.23
2515,明天,kesho,adverbs,0.14
2516,了解,kusikiliza,verbs,0.98
2517,和蔼,mkorofi,adjectives,0.05
2518,粗暴,baridi,adjectives,0.04
2519,电脑,kompyuta,nouns,2.81
2520,祈祷,kuuliza,verbs,0.53
2521,参加竞选,kampeni,nouns,0.0
2522,读,kufahamu,verbs,0.77
2523,绿洲,oasisi,nouns,0.04
2524,床,chumba,nouns,0.29
2525,腰部,chakula,nouns,0.0
2526,有礼貌地,kwa unyenyekevu,adverbs,0.32
2527,轻轻地,wepesi,adverbs,0.0
2528,电影,sinema,nouns,1.35
2529,外交,diplomasia,nouns,1.66
2530,忙碌,bizi,adjectives,0.1
2531,地图,ramani,nouns,0.14
2532,喷泉,chemchemi ya maji ya moto,nouns,3.26
2533,和平,furaha,nouns,1.83
2534,喷嘴,pua,nouns,0.0
2535,防守,kuua,verbs,0.23
2536,受伤,uma,verbs,0.04
2537,沐浴,gogo,nouns,0.0
2538,说,kushiriki,verbs,0.05
2539,搏斗,kupigana,verbs,0.42
2540,过道,korido,nouns,4.29
2541,出租车,gari,nouns,3.88
2542,英寸,mita,nouns,2.23
2543,教堂,mnara,nouns,0.46
2544,付款,malipo,nouns,1.15
2545,狮子,paka,nouns,0.76
2546,光标,kionyeshi,nouns,0.09
2547,传播,kuenea,verbs,0.71
2548,白兰地酒,kileo,nouns,3.32
2549,电影,filamu,nouns,4.44
2550,坦克,tenki,nouns,0.67
2551,维他命,chuma,nouns,0.41
2552,问,kusali,verbs,0.53
2553,滨,pwani,nouns,3.36
2554,通知,kutambua,verbs,0.3
2555,暴动,mgomo,nouns,0.04
2556,敌意,fujo,nouns,0.97
2557,没打中,kukosa,verbs,0.18
2558,打,pigo,nouns,0.04
2559,法律,shule,nouns,0.23
2560,喉,ulimi,nouns,1.01
2561,字典,kamusi,nouns,2.21
2562,书,hadithi,nouns,2.17
2563,车,boti,nouns,0.53
2564,旧,mbivu,adjectives,0.14
2565,豆,wali,nouns,0.47
2566,房子,fleti,nouns,4.08
2567,努力,kujitahidi,verbs,0.0
2568,早餐,karamu,nouns,0.56
2569,大笑,kucheka,verbs,3.19
2570,门,uwepo,nouns,0.0
2571,说明,kujadili,verbs,1.75
2572,状态,mvulana,nouns,0.14
2573,聪慧,mpumbavu,adjectives,0.19
2574,杀,kunyonga,verbs,3.56
2575,嘴巴,pua,nouns,0.24
2576,风,upepo,nouns,3.56
2577,保护,kulinda,verbs,1.09
2578,出口,mahali ya kutokea,nouns,0.18
2579,毁灭,kuharibu,verbs,0.09
2580,天花板,sakafu,nouns,0.15
2581,赢得,kufanikisha,verbs,2.69
2582,威力,nguvu,nouns,3.39
2583,雾气,wingu,nouns,1.3
2584,温和,vuguvugu,adjectives,0.0
2585,证明,ukweli,nouns,1.21
2586,线索,neno,nouns,0.29
2587,培根,chakula cha asubuhi,nouns,0.63
2588,肌肉,mkono,nouns,0.74
2589,统计资料,takwimu,nouns,0.0
2590,兄弟,kaka,nouns,1.9
2591,偷,kuiba,verbs,1.18
2592,停止,kusimamisha,verbs,1.61
2593,检查,kukagua,verbs,4.32
2594,打鼾,kung'orota,verbs,0.23
2595,柔韧,mkubwa sana,adjectives,0.29
2596,小,mkubwa mno,adjectives,0.14
2597,打印,kuchapisha,verbs,0.0
2598,戒除,kufanya,verbs,0.05
2599,肉,ugali,nouns,0.43
2600,自由,uhuru,nouns,4.24
2601,家俱,kitanda,nouns,3.22
2602,攻击,kushambulia,verbs,0.18
2603,防御,kulinda,verbs,4.35
2604,伞,mwamvuli,nouns,0.04
2605,混合,kuchanganya,verbs,0.73
2606,偷,kupa,verbs,0.18
2607,杯子,koni,nouns,0.51
2608,小马,farasi,nouns,3.73
2609,进入,kwenda,verbs,0.6
2610,获得,kutafuta,verbs,1.44
2611,十四行诗,ushairi,nouns,0.04
2612,眉头,jicho,nouns,0.48
2613,负责可靠地,kwa uwajibikaji,adverbs,1.04
2614,武器,silaha,nouns,0.34
2615,拿,kumiliki,verbs,0.78
2616,铝,alumini,nouns,2.85
2617,电视,mawasiliano,nouns,0.7
2618,定义,kamusi,nouns,0.32
2619,外国人,mgeni,nouns,0.18
2620,牛扒,kuku,nouns,0.29
2621,薄雾,wingu,nouns,2.41
2622,精确,uhakika,adjectives,0.09
2623,码,inchi,nouns,2.13
2624,积极地,kwa uhai,adverbs,0.18
2625,成功,kutimiza,verbs,2.4
2626,怀疑,kushukia,verbs,0.18
2627,云,mvuke,nouns,2.41
2628,薄荷,mti wa minti,nouns,0.32
2629,生气,mwenye furaha,adjectives,0.15
2630,当然,hakika,adverbs,1.5
2631,罗盘,dira,nouns,0.04
2632,地区,kona,nouns,0.47
2633,发动机,injini,nouns,1.29
2634,孩子气,wa upuzi,adjectives,3.35
2635,戏法,mchezo,nouns,0.57
2636,允许,kwenda,verbs,0.0
2637,女王,nyuki,nouns,0.1
2638,交流,mazungumzo,nouns,4.81
2639,预测,kubainisha,verbs,0.29
2640,密码,maandishi ya siri,nouns,0.29
2641,美,uzuri,nouns,0.04
2642,照耀,kuangaza,verbs,3.56
2643,疯狂,safi,adjectives,0.28
2644,年,mwaka,nouns,1.4
2645,医院,kitanda,nouns,0.43
2646,悬崖,mkia,nouns,0.0
2647,准确地,kwa usahihi,adverbs,0.52
2648,女人,jukumu,nouns,0.05
2649,紧紧地,kwa ukakamavu,adverbs,0.55
2650,面包,nyama,nouns,0.19
2651,种族,mbio,nouns,0.0
2652,可笑,wa kuchosha,adjectives,0.05
2653,炼狱,purigatori,nouns,0.74
2654,男人,mwanaume,nouns,0.28
2655,组织,kuwa,verbs,0.1
2656,红酒,pombe,nouns,4.1
2657,沙文主义,chauvinist,nouns,1.69
2658,款待,tibu,verbs,0.09
2659,桥,kadi,nouns,0.28
2660,到达,kuhudhuria,verbs,3.0
2661,姊妹,dada,nouns,1.9
2662,便士,peni,nouns,0.04
2663,轻微,mara kwa mara,adverbs,0.1
2664,杀,kukinga,verbs,0.23
2665,感染,maambukizo,nouns,0.75
2666,扼杀,kutakata,verbs,0.04
2667,国会,mkutano,nouns,2.67
2668,受惊,kua na uoga,adjectives,0.57
2669,国王,mtoto wa mfalme,nouns,2.45
2670,主教,askofu mkuu,nouns,4.38
2671,辣,pilipili,adjectives,0.0
2672,小行星,kimondo,nouns,3.2
2673,概念,imani,nouns,1.08
2674,科学家,muuguzi,nouns,0.24
2675,蜥蜴,mjusi,nouns,0.3
2676,舌头,koo,nouns,1.01
2677,同意,kugombana,verbs,0.33
2678,帅哥,mvulana,nouns,0.41
2679,元,watu,nouns,0.35
2680,大,mpana,adjectives,3.24
2681,甲板,boti,nouns,0.56
2682,收到,kutuma,verbs,0.47
2683,卡,daraja,nouns,0.28
2684,酱,matofaa,nouns,0.14
2685,结婚,kuchumbia,verbs,2.68
2686,牙齿,mfupa,nouns,0.42
2687,更改,kugeuza,verbs,4.56
2688,星期,wikendi,nouns,1.98
2689,保龄球选手,bowler,nouns,1.75
2690,笔记本,daftari,nouns,0.0
2691,收费,kutiachaji,verbs,0.3
2692,英寸,yadi,nouns,2.13
2693,手臂,kifundo,nouns,0.45
2694,沙拉,mpangilio wa chakula,nouns,0.53
2695,哭泣,kutoa machozi,verbs,5.66
2696,大炮,bunduki,nouns,1.77
2697,加入,kushiriki,verbs,4.24
2698,纸币,noti,nouns,1.1
2699,小学生,rais,nouns,0.05
2700,月,agosti,nouns,2.8
2701,捕获,kushika,verbs,0.0
2702,手臂,mkono,nouns,0.04
2703,编织,kufuma,verbs,0.05
2704,游戏,tendo,nouns,0.4
2705,坏,wa dhambi,adjectives,2.56
2706,令人惊讶,kwa kushangaza,adverbs,3.64
2707,磨坊,koboa,nouns,0.19
2708,有趣,mpira wa miguu,nouns,0.49
2709,必须,sio wa lazima,adjectives,0.14
2710,头脑风暴,changamsha bongo,nouns,0.0
2711,国王,mfalme,nouns,0.18
2712,手表,saa,nouns,0.0
2713,一分钱,watu,nouns,0.0
2714,挂,kuweka,verbs,0.51
2715,后世,kuzimu,nouns,0.74
2716,行动,mwendo,nouns,0.38
2717,书,andiko,nouns,3.08
2718,铁,vitamini,nouns,0.41
2719,钱,mshahara,nouns,3.63
2720,蜜糖,asali,nouns,0.18
2721,狭窄,mchafu,adjectives,0.0
2722,失败,kufanikiwa,verbs,0.23
2723,私人的,binafsi,adjectives,0.09
2724,卖,kukumbusha,verbs,0.0
2725,正牙医生,daktari,nouns,3.17
2726,学生,profesa,nouns,0.43
2727,做,kuacha,verbs,0.05
2728,甲板,panya,nouns,0.0
2729,用拳猛击,kukupiga ngumi,verbs,0.33
2730,竞争,kushindana,verbs,0.1
2731,盒子,sanduku,nouns,0.0
2732,星,nyota,nouns,3.2
2733,化学,nadharia,nouns,0.52
2734,屋顶,sakafu,nouns,0.1
2735,暴力,kigomvi,adjectives,0.0
2736,大,nama,adjectives,0.29
2737,走廊,ushoroba,nouns,4.29
2738,风暴,wingu,nouns,0.56
2739,拿,kubeba,verbs,3.01
2740,肚子,kiuno,nouns,1.54
2741,碳,atomu,nouns,0.63
2742,不诚实,danganyifu,adjectives,0.46
2743,放,kupata,verbs,0.15
2744,被动地,pasipo tu,adverbs,0.25
2745,叔叔,binamu,nouns,0.43
2746,一致地,sawa,adverbs,0.0
2747,人口,watu,nouns,2.88
2748,品质,kaliba,nouns,0.04
2749,重新安葬,zika upya,nouns,1.07
2750,信念,oni,nouns,0.23
2751,行为主义,somo la tabia,nouns,0.15
2752,狭窄,mrefu,adjectives,0.24
2753,付款,malipo,nouns,1.1
2754,脸颊,ulimi,nouns,0.2
2755,国民,kitaifa,adjectives,0.05
2756,悲伤,aibu,nouns,0.75
2757,瞇,kufinya macho,verbs,0.33
2758,旗,bendera,nouns,0.92
2759,争论,mapatano,nouns,0.28
2760,煮沸,kuchemsha,verbs,0.86
2761,母马,farasi,nouns,3.77
2762,股票,akiba,nouns,2.72
2763,黏,kunata,adjectives,0.47
2764,阵列,areyi,nouns,0.73
2765,果汁,juisi,nouns,0.0
2766,车,teksi,nouns,3.88
2767,兄弟,roho ,nouns,0.05
2768,薄雾,mvua,nouns,0.51
2769,收集,kuchukua,verbs,0.04
2770,汽车,mtaa,nouns,0.14
2771,侧面,juu,nouns,0.39
2772,句法,sintaksia,nouns,0.57
2773,狡诈,njia za panya,adjectives,1.74
2774,不定形,amofasi,adjectives,2.17
2775,模仿,kuiga,verbs,0.0
2776,角度,mtazamo,nouns,0.14
2777,到达,kuja,verbs,3.06
2778,洗手间,chumba cha kulala,nouns,0.28
2779,头,mguu,nouns,0.24
2780,世纪,pombe,nouns,0.0
2781,说服,kufuatilia,verbs,0.39
2782,汽车,gari,nouns,3.24
2783,臭氧,ozoni,nouns,2.72
2784,真实地,kweli,adverbs,0.63
2785,下面,upande,nouns,0.39
2786,公主,kisiwa,nouns,0.0
2787,靠不住的,asiyeaminika,adjectives,1.74
2788,听见,kusikiliza,verbs,4.63
2789,当然,kwa hakika,adverbs,3.88
2790,大致,takribani,adverbs,1.25
2791,忍耐力,ua,nouns,0.23
2792,接受,kuitikia,verbs,4.12
2793,猫,sungura,nouns,0.48
2794,体操,mazoezi,nouns,0.46
2795,组织,panga,verbs,1.6
2796,工作者,kamera,nouns,0.04
2797,冷静地,kiutulivu,adverbs,0.28
2798,夏天,msimu wa baridi,nouns,0.2
2799,马赛克,mosaic,nouns,0.05
2800,傻,mpumbavu,adjectives,5.04
2801,身体,mwili,nouns,0.3
2802,想,kuchagua,verbs,0.81
2803,现在,sasahivi,adverbs,1.75
2804,城市,jiji,nouns,4.26
2805,醋,saladi,nouns,0.19
2806,晚上,alfajiri,nouns,0.1
2807,无穷,usio na mwisho,nouns,0.05
