ID,HEB,SWA,PoS,score
1984,באופן שלילי,kwa ubaya,adverbs,0.55
1985,להתאמן,kujiandaa,verbs,0.35
1986,להילחם,kupigana,verbs,0.6
1987,לעיתים קרובות,mara nyingi,adverbs,1.3
1988,באופן לא הוגן,bila haki,adverbs,0.75
1989,לשכוח,kupuuza,verbs,1.6
1990,גוף,mwili,nouns,0.45
1991,תינוק,mtu mzima,nouns,0.8
1992,באופן אחראי,kwa uwajibikaji,adverbs,1.25
1993,ערבה,uwanda wenye majani,nouns,1.9
1994,אדן,mlima,nouns,1.15
1995,להקה,pombe,nouns,0.05
1996,למשוך,kuvuta,verbs,1.0
1997,צד,juu,nouns,0.5
1998,ספר,kitabu,nouns,1.65
1999,חיטה,nafaka,nouns,2.65
2000,ג'ויסטיק,joystiki,nouns,0.4
2001,היגיון,akili,nouns,2.8
2002,ליצור,kuharibu,verbs,0.55
2003,צער,aibu,nouns,0.8
2004,שכר לימוד,ada,nouns,1.6
2005,לטפל,tibu,verbs,0.2
2006,כדור,mzinga,nouns,0.6
2007,לשקר,kudanganya,verbs,2.75
2008,בית משפט,korti,nouns,1.9
2009,להרגיש,kuhisi,verbs,1.0
2010,הנהלה,utawala,nouns,2.8
2011,צופן,maandishi ya siri,nouns,0.9
2012,נייד,inayo hamishika,adjectives,0.75
2013,חזון,utambuzi,nouns,2.4
2014,ממתק,matofaa,nouns,0.8
2015,אטמוספירה,uchafuzi,nouns,0.4
2016,לכלול,kukuhusisha,verbs,2.8
2017,כביש מהיר,barabara kuu,nouns,4.6
2018,רזה,nyembamba,adjectives,4.65
2019,הוכחה,ukweli,nouns,1.6
2020,זנב,mkia,nouns,2.0
2021,מעוקל,yenye pindo,adjectives,0.1
2022,להקיא,kutapika,verbs,0.05
2023,כפתור,nguo,nouns,0.95
2024,בשר,damu,nouns,1.35
2025,כתב יד,muswada,nouns,1.95
2026,כדור,mpira,nouns,1.77
2027,עונה,msimu wa baridi,nouns,2.3
2028,לרוב,kawaida,adverbs,0.25
2029,מנצח,mgombea wa uchaguzi,nouns,1.15
2030,עמק,bonde,nouns,0.0
2031,חומץ,saladi,nouns,0.65
2032,הבדל,tofauti,nouns,1.05
2033,לשמור,kuazima,verbs,0.6
2034,לבקש,kuomba,verbs,3.15
2035,מינק,manyoya,nouns,2.7
2036,גדה,pwani,nouns,3.5
2037,אמונה,ua,nouns,0.05
2038,כבש,mwanakondoo,nouns,3.65
2039,מכללה,darasa,nouns,2.0
2040,אוכלוסייה,watu,nouns,3.25
2041,לשון,shavu,nouns,0.85
2042,סמטה,bakuli,nouns,0.05
2043,שעון,saa,nouns,0.25
2044,להמתין,kusubiri,verbs,2.05
2045,קרח,barafu,nouns,3.3
2046,לקחת,kubeba,verbs,2.55
2047,סמל,msimbo,nouns,2.15
2048,אסם,nyumba,nouns,2.0
2049,מעלית,gari,nouns,0.75
2050,להבריק,kung'arisha,verbs,0.0
2051,ג'ין,kileo,nouns,2.35
2052,חוברת הדרכה,kitabu cha mkono,nouns,1.25
2053,רגיל,kawaida,adjectives,0.2
2054,לסלוח,kusahau,verbs,1.2
2055,הרס,ujenzi,nouns,0.55
2056,לציית,kusikiliza,verbs,2.45
2057,מסדרון,mlango,nouns,0.95
2058,לקרוא,kusoma,verbs,0.0
2059,למות,kufariki,verbs,1.55
2060,איום,hatari,nouns,4.15
2061,כדור,kikapu,nouns,0.65
2062,שחקן,mchezaji,nouns,1.25
2063,תורה,kitabu,nouns,2.2
2064,ישן,zamani,adjectives,0.0
2065,מובך,kua na aibu,adjectives,0.05
2066,עובדה,umaizi,nouns,2.05
2067,שוביניסט,chauvinist,nouns,2.4
2068,נזק,maumivu,nouns,2.55
2069,להקשיב,kuzungumza,verbs,0.7
2070,סרט,filamu,nouns,0.15
2071,צדק,haki,nouns,1.42
2072,חברה,biashara,nouns,2.85
2073,מכונית,gari,nouns,3.4
2074,משוגע,mwenye furaha,adjectives,0.55
2075,כתף,mwili,nouns,1.15
2076,אוניית קרב,meli ya vita,nouns,5.5
2077,להאשים,kutiachaji,verbs,0.7
2078,נוחות,usalama,nouns,0.9
2079,כלייה,kiungo,nouns,2.25
2080,ספר,kitabu,nouns,0.0
2081,מבנה,muundo,nouns,3.05
2082,שמח,mchangamfu,adjectives,5.05
2083,מילה,gazeti,nouns,0.85
2084,ארוחה,ugali,nouns,1.8
2085,נפוטיזם,undugu,nouns,0.6
2086,פשוט,ngumu,adjectives,0.45
2087,מועדון,klabu,nouns,0.0
2088,שטח,kanda,nouns,4.9
2089,גוף,uti,nouns,1.05
2090,להביא,kubeba,verbs,2.15
2091,הכתרה,kusimikwa ufalme,nouns,0.05
2092,לימודים,sheria,nouns,0.55
2093,עמק,mto,nouns,0.85
2094,מיטה,fanicha,nouns,2.5
2095,קשוח,mwerevu,adjectives,0.6
2096,זיהום,rais,nouns,0.15
2097,צמח,mmea,nouns,1.6
2098,להודות,kukubali,verbs,0.6
2099,זעם,hasira,nouns,4.9
2100,אריג,nguo,nouns,2.8
2101,להימנע,kujiweka mbali,verbs,1.45
2102,פעמון,mnara,nouns,0.65
2103,רפוי,pwaya,adjectives,1.35
2104,בועה,mapovu,nouns,1.85
2105,תשלום,malipo,nouns,1.5
2106,ילד,mtu mzima,nouns,0.85
2107,לעזוב,kuondoka,verbs,0.35
2108,לארגן,kuwa,verbs,0.65
2109,אקדח,mbinu,nouns,0.15
2110,אזור,kona,nouns,0.9
2111,קדוש,takatifu,adjectives,1.8
2112,לשאת,kupeleka,verbs,0.8
2113,קבורה,kifo,nouns,2.7
2114,פאסיבי,kupooza,adjectives,0.3
2115,עובד,mfanyakazi,nouns,0.9
2116,נסיכה,kisiwa,nouns,0.3
2117,כפפה,mpira,nouns,1.2
2118,מצב,mvulana,nouns,0.0
2119,ספרות,neno,nouns,1.05
2120,לקרוע,kuchana,verbs,0.2
2121,הדיינות,jadiliano,nouns,1.65
2122,עץ,mbao,nouns,0.4
2123,חליל,filimbi,nouns,1.2
2124,גבר,mshindi,nouns,0.4
2125,להכחיש,kukubali,verbs,0.25
2126,שמיכה,blanketi,nouns,0.28
2127,תה,limau,nouns,0.55
2128,גמיש,rahisi kubadilika,adjectives,1.35
2129,הדגמה,katuni,nouns,0.0
2130,לפתור,kutoa suluhisho,verbs,1.85
2131,לנשום,kukaba,verbs,0.55
2132,קתדרלה,dari,nouns,0.5
2133,להפוך,kutengeneza,verbs,0.4
2134,ג'נטלמן,bibi,nouns,0.8
2135,לדרוש,hitaji,verbs,0.4
2136,תנין,mamba,nouns,2.65
2137,קר,baridi,adjectives,0.2
2138,ספר,hadithi,nouns,2.0
2139,מטרה,mshindi,nouns,0.55
2140,שמפניה,wiski,nouns,2.9
2141,חצוף,jeuri,adjectives,0.75
2142,דוד,mwanaume,nouns,2.0
2143,מולקולה,hewa,nouns,1.0
2144,חתול,sungura,nouns,0.85
2145,סינמטוגרפיה,sinema,nouns,0.6
2146,כבד,kiungo,nouns,2.0
2147,מלון,fleti,nouns,1.1
2148,לשלם,kulipa,verbs,1.35
2149,קנה סוכר,muwa,nouns,0.25
2150,ספר,fasihi,nouns,2.0
2151,נשיא,meya,nouns,1.35
2152,להסביר,kufafanua,verbs,4.35
2153,פרק,chaguo,nouns,0.15
2154,פתיל,uzi,nouns,5.15
2155,להרשות,kuruhusu,verbs,2.33
2156,סמן,mshale,nouns,0.15
2157,גודל,saizi,nouns,4.45
2158,הפוך,kinyume,adjectives,0.4
2159,בחירות,uchaguzi,nouns,2.9
2160,שמפניה,bia,nouns,2.55
2161,להגיע,kujitokeza,verbs,3.8
2162,מפרק,mkono,nouns,1.23
2163,בית דין,mahakama,nouns,2.05
2164,לסמן,kutia alama,verbs,1.2
2165,מלך,mtoto wa mfalme,nouns,2.45
2166,דקה,sekunde,nouns,2.55
2167,מועמדות,maombi,nouns,2.35
2168,חרד,ogopa,adjectives,4.45
2169,להבין,kuridhisha,verbs,0.15
2170,לרחוץ,kuosha,verbs,4.75
2171,שמיכה,kitanda,nouns,1.35
2172,פרח,subira,nouns,0.0
2173,דיאטה,saladi,nouns,0.95
2174,להאמין,kuamini,verbs,1.0
2175,עץ,mti,nouns,1.2
2176,עכבר,ndezi,nouns,3.2
2177,מנהרה,shimo,nouns,0.75
2178,חוזה,mapatano,nouns,5.25
2179,ללמוד,kujifunza,verbs,0.3
2180,צעיר,mwenye furaha,adjectives,0.45
2181,להקה,wanamuziki,nouns,4.35
2182,באופן מסוכן,kwa uhatari,adverbs,0.45
2183,עצם,taya,nouns,0.95
2184,נכס,mali,nouns,2.95
2185,אמבטיה,gogo,nouns,0.1
2186,להראות,kujifanya,verbs,0.7
2187,קרב,pambano,nouns,3.6
2188,גדול,mzito,adjectives,1.75
2189,להחזיר,kuleta,verbs,1.25
2190,חברה,klabu,nouns,1.35
2191,יחידה,jeshi,nouns,2.05
2192,מטען,chaja,nouns,0.15
2193,כבד,mzigo,adjectives,1.55
2194,נזיר,mtawa,nouns,0.65
2195,אגדה,hadithi,nouns,0.15
2196,בוודאי,hakika,adverbs,1.65
2197,לשמוע,kusikiliza,verbs,4.4
2198,עלה,jani,nouns,1.35
2199,ליצור,kuunda,verbs,4.15
2200,אפליקציה,programu tumishi,nouns,0.3
2201,סירה,meli,nouns,0.55
2202,להתווכח,kukubali,verbs,0.6
2203,נזיר,padri,nouns,3.25
2204,לווה,mkopi,nouns,1.25
2205,כומר,kasisi,nouns,2.45
2206,ברידג',kadi,nouns,0.8
2207,שעועית,wali,nouns,1.0
2208,כיתה,chuo,nouns,2.0
2209,סטייק,nyama,nouns,4.2
2210,מלוכה,ufalme,nouns,1.3
2211,תוף,gitaa,nouns,2.3
2212,לפגוע,kuumia,verbs,0.7
2213,נערה,mfanyakazi wa nyumbani,nouns,0.7
2214,מולקולה,molekuli,nouns,0.1
2215,דת,dini,nouns,1.45
2216,פרווה,bunduki,nouns,0.0
2217,נינוח,kupumzika,adjectives,0.5
2218,בדיה,wasifu,nouns,0.85
2219,שפך,delta,nouns,1.15
2220,אקדח,manyoya,nouns,0.0
2221,עיתונאי,mwanahabari,nouns,1.0
2222,סנט,mke,nouns,0.0
2223,דשן,samadi,nouns,0.7
2224,לשחות,kuogelea,verbs,0.05
2225,להסביר,kuthibitisha,verbs,1.1
2226,טיפש,mpumbavu,adjectives,0.85
2227,ים,mto,nouns,2.3
2228,דוקטור,tabibu,nouns,5.2
2229,מתכת,bati,nouns,1.4
2230,מציאות,njozi,nouns,0.55
2231,מוות,balaa,nouns,2.05
2232,משוגע,mkubwa sana,adjectives,0.3
2233,לסדר,kupanga,verbs,4.5
2234,שומר,mtu mzima,nouns,1.25
2235,לבן,nyeupe,adjectives,0.0
2236,להעמיד פנים,jifanya,verbs,2.75
2237,רגל,kichwa,nouns,0.7
2238,אינטליגנציה,umaizi,nouns,2.5
2239,בן,baba,nouns,1.25
2240,להקשיב,kujifunza,verbs,0.9
2241,יצירתי,mbunifu,adjectives,3.4
2242,דיסק,diski,nouns,0.15
2243,אמון,mtazamo,nouns,0.35
2244,להציל,kulinda,verbs,1.75
2245,מכולה,chupa,nouns,0.6
2246,מבוגר,mzazi,nouns,2.3
2247,המנון,biblia,nouns,0.25
2248,לחגוג,kusherekea,verbs,0.65
2249,לבקש,kutazamia,verbs,0.95
2250,צר,mchafu,adjectives,0.0
2251,משרה,menejimenti,nouns,0.9
2252,מיץ,matofaa,nouns,1.15
2253,מטוס,ndege,nouns,3.3
2254,להביא,kulalamika,verbs,0.05
2255,אורז,mvulana,nouns,0.2
2256,להיכנס,kwenda,verbs,0.4
2257,כוכב לכת,sayari,nouns,3.7
2258,לרכוש,kujiunga,verbs,0.2
2259,קול ,sauti,nouns,2.8
2260,לאשר,kujulisha,verbs,1.0
2261,להשיג,kushinda,verbs,2.55
2262,מעונן,kivuli cha mawingu,nouns,0.8
2263,לתת,kupokea,verbs,1.2
2264,חריף,pilipili,adjectives,0.45
2265,מעי,neva,nouns,0.45
2266,יום הולדת,mwaka,nouns,0.9
2267,אי,mtoto wa mfalme,nouns,0.3
2268,שמח,mchanga,adjectives,0.45
2269,חוזה,mazingira,nouns,0.75
2270,סנט,seneti,nouns,0.9
2271,בן,baba,nouns,1.05
2272,מפורסם,inayofahamika,adjectives,5.0
2273,עכבר,chombo,nouns,0.0
2274,מוות,mazishi,nouns,2.7
2275,להגיד,kushiriki,verbs,0.35
2276,לשמור,kupa,verbs,0.4
2277,גג,paa,nouns,0.65
2278,ארוחה,kiuno,nouns,0.4
2279,פרדס,kiunga,nouns,0.1
2280,לחפש,kutafuta,verbs,1.89
2281,לדכא,katisha tamaa,verbs,2.4
2282,להפציר,kujipendekeza,verbs,0.5
2283,ללמוד,kusahau,verbs,0.6
2284,מדליה,medali,nouns,0.8
2285,לאשר,kuzungumza,verbs,0.5
2286,יוצר,muumbaji,nouns,5.1
2287,להצליח,kujaribu,verbs,1.3
2288,לשמוע,kusikia,verbs,1.05
2289,מוטציה,jitu,nouns,0.4
2290,תא הטייס,chumba cha rubani,nouns,1.0
2291,להפוך,kupanga,verbs,0.65
2292,זועם,mkali,adjectives,0.55
2293,להצליח,kufeli,verbs,0.55
2294,לתפוס,kamata,verbs,0.9
2295,בשלווה,kwa amani,adverbs,0.2
2296,קוף,nyani,nouns,0.0
2297,לסלוח,kuelewa,verbs,0.7
2298,מושל,gavana,nouns,3.75
2299,עריסה,kitanda,nouns,4.1
2300,מצלמה,rais,nouns,0.05
2301,יום,asubuhi,nouns,1.45
2302,בטבעיות,kiasili,adverbs,0.2
2303,לשחרר,kuachilia,verbs,0.45
2304,להרוס,kuharibu,verbs,0.3
2305,להושיע,okoa,verbs,5.25
2306,זכוכית,glasi,nouns,0.2
2307,תבונה,akili,nouns,4.5
2308,בנדיבות,kwa ukarimu,adverbs,0.45
2309,גדול,nama,adjectives,0.25
2310,פה,jino,nouns,1.4
2311,לולאה,mkanda,nouns,1.4
2312,סנט,watu,nouns,0.65
2313,ויזה,mhuri,nouns,0.4
2314,אי,ufuko,nouns,1.0
2315,סופית,mwishoni,adverbs,0.1
2316,סיוף,uzio,nouns,0.65
2317,קופסה,kofia,nouns,0.1
2318,אורז,kuku,nouns,0.65
2319,קרח,maji,nouns,2.5
2320,בשלווה,kwa amani,adverbs,2.42
2321,ענו,mnyenyekevu,adjectives,5.4
2322,יד,kidole,nouns,1.45
2323,ללא הגיון,isiyo na akili,adverbs,0.75
2324,מפולת שלגים,maporomoko ya theluji,nouns,2.5
2325,תקשורת,lugha,nouns,2.15
2326,אלומיניום,alumini,nouns,2.27
2327,מקהלה,kiitiko,nouns,0.95
2328, בענווה,kwa unyenyekevu,adverbs,0.25
2329,בחשאי,kwa usiri,adverbs,0.1
2330, קפלה,kanisa ,nouns,0.0
2331,זעיר,mdogo,adjectives,0.45
2332,להבין,kusoma,verbs,1.0
2333,מלאך,malaika,nouns,0.8
2334,בהרס,kwa vurugu,adverbs,0.2
2335,כאב,madhara,nouns,2.55
2336,ליקר,bendi,nouns,0.05
2337,לעיתים רחוקות,mara chache,adverbs,0.55
2338,תכנית,wazo,nouns,1.6
2339,עצם,shingo,nouns,0.8
2340,לוח שנה,kalenda,nouns,0.8
2341,רטוב,lowa,adjectives,0.8
2342,להשאיל,kuweka,verbs,0.6
2343,לחבק,kukumbatia,verbs,1.07
2344,עור,ngozi,nouns,0.1
2345,מילת מפתח,nenokuu,nouns,0.8
2346,להישבע,kuapa,verbs,4.65
2347,פורל,samaki,nouns,0.05
2348,לתת,kukopesha,verbs,2.3
2349,כלכלה,uchumi,nouns,0.65
2350,לאפשר,kwenda,verbs,0.05
2351,להבין,kuelewa,verbs,3.9
2352,בהירות,nuru,nouns,2.1
2353,להסכים,kutofautiana,verbs,0.6
2354,זוג,jozi,nouns,5.7
2355,ציפור,kuku,nouns,2.65
2356,פרק,usiku,nouns,0.05
2357,לרכב,kuendesha,verbs,0.5
2358,אגם,ziwa,nouns,0.45
2359,תפוח,juisi,nouns,1.15
2360,תקרה,sakafu,nouns,0.7
2361,בלדה,wimbo,nouns,3.45
2362,להיעלם,kupotea,verbs,5.1
2363,מנוע,boti,nouns,1.65
2364,לרצות,kukubali,verbs,0.55
2365,להזניח,kupuuzia,verbs,1.3
2366,מדיה,habari,nouns,2.45
2367,לטאה,mjusi,nouns,2.65
2368,סערה,upepo mkali,nouns,0.4
2369,לקבל,kusamehe,verbs,1.0
2370,אנציקלופדיה,ensaiklopidia,nouns,2.55
2371,להצליח,kutimiza,verbs,2.45
2372,אשם,ana aibu,adjectives,0.55
2373,הזמנה,menyu,nouns,1.0
2374,לעזוב,kuzurura,verbs,1.05
2375,מסודר,kupanga,verbs,0.5
2376,באדיבות,kwa fadhili,adverbs,3.55
2377,ציפור,mwewe,nouns,2.9
2378,להצטרף,kukuunga,verbs,0.5
2379,לייעץ,kushauri,verbs,3.8
2380,כרכרה,gari,nouns,1.5
2381,דגל,bendera,nouns,1.3
2382,בחירה,sura,nouns,0.15
2383,סוס,farasi wa kike,nouns,3.65
2384,מכונית,kiwanda,nouns,0.5
2385,להרוויח,kufaida,verbs,1.6
2386,מקלדת,kibodi,nouns,0.0
2387,ברוגע,kwa utulivu,adverbs,2.52
2388,לילה,sura,nouns,0.05
2389,לקרות,kufanya,verbs,0.8
2390,לבנות,kuharibu,verbs,0.55
2391,גוף,mkono,nouns,1.7
2392,סיפור,wimbo,nouns,1.5
2393,מיטה,kiti,nouns,0.9
2394,עבודה,jukumu,nouns,3.5
2395,לקנות,kupata,verbs,0.75
2396,קערה,kichochoro,nouns,0.05
2397,גל,wimbi,nouns,0.7
2398,דומה,sawasawa,adjectives,4.3
2399,להמליץ,kukubali,verbs,0.8
2400,דם,damu,nouns,0.8
2401,טיסה,ndege,nouns,3.3
2402,אישה,jukumu,nouns,0.05
2403,מאמר,kitabu,nouns,1.6
2404,מיידית,papo hapo,adverbs,1.15
2405,סוס,ng'ombe dume,nouns,1.0
2406,ייאוש,taabu,nouns,2.65
2407,יכולת,ustadi,nouns,3.55
2408,שריף,polisi,nouns,4.85
2409,מכני,a kifundi,adjectives,0.65
2410,להתרחש,kutukia,verbs,5.05
2411,ביהביוריזם,somo la tabia,nouns,0.8
2412,הר,mwamba,nouns,1.15
2413,להאמין,kukubali,verbs,1.8
2414,עצם,kifundo cha mguu,nouns,1.8
2415,אכזר,katili,adjectives,1.7
2416,נסיך,mfalme,nouns,2.6
2417,לשמור,kuokota,verbs,1.3
2418,אוקיינוס,bahari,nouns,3.15
2419,בקול רם,kwa sauti,adverbs,0.3
2420,להשיג,kuwa,verbs,0.45
2421,חקלאות,kilimo,nouns,1.6
2422,מכונה,injini,nouns,2.95
2423,יוצר,mtunzi,nouns,3.15
2424,מועדון,jamii,nouns,1.35
2425,ממשלה,serikali,nouns,0.05
2426,צופר,gari,nouns,0.95
2427,חוק,shule,nouns,0.55
2428,מים,maji,nouns,0.3
2429,מטר,inchi,nouns,2.05
2430,לשאוף,kujitahidi,verbs,0.1
2431,להסכים,kujipendekeza,verbs,0.55
2432,קשה,rahisi,adjectives,0.7
2433,רעיה,tundu,nouns,0.0
2434,חלבון,protini,nouns,0.15
2435,ללכוד,kushika,verbs,0.15
2436,ברך,mkono,nouns,0.95
2437,חוף,kisiwa,nouns,1.0
2438,אולם,ukumbi,nouns,0.6
2439,בשר,ugali,nouns,0.8
2440,אקוסטיקה,akustik,nouns,2.8
2441,רגל,mkono,nouns,1.05
2442,זיהום,utapiamlo,nouns,1.6
2443,נשיא,mwanachuo,nouns,0.25
2444,זרוע,mshipa,nouns,0.8
2445,ציבורי,hadharani,adjectives,0.5
2446,לשרוק,mluzi,verbs,0.1
2447,מפוחד,ogopa,adjectives,1.15
2448,חדר,chumba,nouns,1.15
2449,להגן,kuokoa,verbs,1.75
2450,לחזור,kurudia,verbs,0.35
2451,אופנה,mtindo,nouns,1.05
2452,כבידה,mvuto,nouns,0.5
2453,ברך,mfupa,nouns,0.95
2454,לבקש,kuuliza,verbs,1.1
2455,להתעלם,kuepa,verbs,2.0
2456,לכסות,kufunika,verbs,3.05
2457,סיפור,kitabu,nouns,2.0
2458,להבחין,kung'amua,verbs,1.05
2459,להצטרף,kujumlisha,verbs,0.9
2460,גרון,pua,nouns,0.95
2461,להחליט,kuchagua,verbs,2.75
2462,להיכשל,kushidwa,verbs,0.25
2463,צוואר,mfupa,nouns,0.8
2464,מיטת תינוק,kitanda cha mtoto,nouns,3.7
2465,גאה,mwenye nguvu,adjectives,0.2
2466,יציאה,mlangoni,nouns,1.65
2467,מפה,ramani,nouns,0.45
2468,להתכחש,kukataa,verbs,1.45
2469,חמישי,wa tano,adjectives,0.25
2470,גיטרה,gitaa,nouns,0.05
2471,מערכת אקולוגית,mfumo wa ikolojia,nouns,0.65
2472,להתווכח,kugombana,verbs,2.85
2473,אטום,molekuli,nouns,2.65
2474,רושם,imani,nouns,0.6
2475,מהירות,mwendo,nouns,0.3
2476,חרדל,mbegu,nouns,0.75
2477,נסיכה,bibi arusi,nouns,0.65
2478,להופיע,kuwa,verbs,0.65
2479,קונגרס,mkutano,nouns,3.35
2480,כיבוש,safari,nouns,0.7
2481,עצוב,mbovu,adjectives,0.85
2482,כביש,jukumu,nouns,0.1
2483,למחוץ,kuminya,verbs,0.6
2484,לפגוע,kuchapa,verbs,0.5
2485,באופן אידיאלי,walau,adverbs,0.45
2486,לרחף,kuelea,verbs,0.2
2487,להתכווץ,kupotea,verbs,1.35
2488,לתקוף,kushambulia,verbs,0.45
2489,תעלול,bunduki,nouns,0.15
2490,אסיפה,kusanyiko,nouns,4.8
2491,לחפש,tafuta,verbs,1.3
2492,באופן מדהים,kwa umaradufu,adverbs,1.0
2493,אנדרטה,kinyagu,nouns,4.25
2494,לשכנע,kushawishi,verbs,0.6
2495,גלובליזם,utandawazi,nouns,0.4
2496,להתחרות,kushindana,verbs,0.2
2497,הומופון,nyumba ya nyumbani,nouns,0.5
2498,אומללות,ukiwa,nouns,2.65
2499,בטן,njia,nouns,0.05
2500,במיוחד,makusudi,adverbs,2.4
2501,קלף,daraja,nouns,0.8
2502,לבחוש,koroga,verbs,2.4
2503,לחשוב,kufikiria,verbs,1.7
2504,סימן,ishara,nouns,0.0
2505,נוירוזה,ugonjwa wa neurosis,nouns,1.1
2506,לטגן,kukaanga,verbs,1.9
2507,חתול,mnyama,nouns,2.95
2508,להתרסק,kumgongano,verbs,3.85
2509,לא אמין,asiyeaminika,adjectives,1.65
2510,פרווה,mwanamke,nouns,0.2
2511,דבורה,sisimizi,nouns,1.1
2512,לגנוב,kupa,verbs,0.4
2513,שקרן,si mwaminifu,adjectives,0.55
2514,מטר,yadi,nouns,3.1
2515,להביא,kutuma,verbs,0.6
2516,ספר,insha,nouns,1.1
2517,לבשל,kupika,verbs,0.35
2518,עוני,utajiri,nouns,0.65
2519,ליידע,arifu,verbs,0.0
2520,מקהלה,kanisa,nouns,1.5
2521,שבבים,kibanzi,nouns,0.15
2522,משימה,kisiwa,nouns,0.0
2523,יום,alfajiri,nouns,1.65
2524,למצוא,pata,verbs,0.75
2525,המון,gwaride,nouns,1.0
2526,מרפק,kifundo cha mguu,nouns,1.3
2527,חיבור,insha,nouns,1.0
2528,חברה,jamii,nouns,1.55
2529,בהחלט,vyema,adverbs,0.75
2530,זרוע,mguu,nouns,1.75
2531,לזכור,kukumbuka,verbs,1.7
2532,להחליט,kuonyesha,verbs,0.25
2533,לקחת,kumiliki,verbs,1.5
2534,לילה,mchana,nouns,0.7
2535,צפוף,ngumu,adjectives,0.4
2536,עוזרת,msichana,nouns,0.7
2537,ספר,andiko,nouns,3.1
2538,קישוט,ukuta,nouns,0.5
2539,לדחוף,kusukuma,verbs,1.0
2540,מותן,chakula,nouns,0.4
2541,אנשים,bunduki,nouns,0.35
2542,לתקשר,kusali,verbs,0.8
2543,להכחיש,kukataa,verbs,0.65
2544,צלב,msalaba,nouns,0.65
2545,זרוע,bega,nouns,2.0
2546,גברת,bwana,nouns,0.8
2547,קצר,mrefu,adjectives,0.55
2548,מסיכה,maski,nouns,0.5
2549,הססן,sitasita,adjectives,0.55
2550,בטבעיות,kwa uhalisia,adverbs,0.75
2551,להפציר,kuomba,verbs,4.75
2552,גודש,ziada,nouns,3.05
2553,עבודה,kazi,nouns,1.1
2554,אנשים,idadi ya watu,nouns,3.25
2555,בורא,mtengenezaji,nouns,5.1
2556,להזהיר,onya,verbs,0.5
2557,ברונכיטיס,ugonja wa bronchitis,nouns,0.8
2558,לא משומש,haijatumika,adjectives,4.45
2559,כבל,amari,nouns,0.07
2560,ללא רבב,bila doa,adjectives,4.8
2561,אגורה,peni,nouns,0.25
2562,סופר,muandishi,nouns,0.65
2563,להפריך,kukanusha,verbs,0.1
2564,מחלה,ugonjwa wa kuambukiza ,nouns,3.15
2565,טייס משנה,rubani msaidizi,nouns,1.0
2566,נסיכה,mtoto mke wa mfalme,nouns,0.0
2567,להקשיב,kuelewa,verbs,1.2
2568,בהגינות,kwa haki,adverbs,0.55
2569,ספה,kitanda,nouns,1.85
2570,כוח,makadara,nouns,4.15
2571,מחלה,hatari,nouns,0.95
2572,סלט,siki,nouns,0.65
2573,משמעותי,muhimu,adjectives,0.45
2574,ניהיליזם,kutoamini dini,nouns,0.15
2575,תא,gerezani,nouns,1.5
2576,כסף,fedha,nouns,5.15
2577,קיץ,msimu wa baridi,nouns,0.85
2578,פרופסור,mwanafunzi,nouns,0.9
2579,תחתית,juu,nouns,0.6
2580,מיוחד,maalumu,adjectives,2.85
2581,לטעון,kulalamika,verbs,1.45
2582,סוללה,betri,nouns,0.0
2583,שמח,ana hasira,adjectives,0.55
2584,מוזר,wa kigeni,adjectives,4.45
2585,מלך,mtoto wa mfalme,nouns,2.6
2586,עמלה,mshahara,nouns,0.65
2587,זרוע,mfupa,nouns,0.95
2588,תחפושת,sherehe,nouns,0.25
2589,דובדבן,cheri,nouns,1.9
2590,חוטא,mtakatifu,nouns,0.5
2591,שולחן,meza,nouns,0.0
2592,יין,wiski,nouns,3.0
2593,מדע,saikolojia,nouns,2.05
2594,לקבל,kuweka,verbs,0.55
2595,רדיאטור,radiator,nouns,0.7
2596,ויכוח,mapatano,nouns,0.55
2597,לנגב,kupanguza,verbs,0.0
2598,קשה,nene,adjectives,0.4
2599,זריחה,machweo,nouns,1.95
2600,באופן חריג,sikawaida,adverbs,0.45
2601,חבר,mwalimu,nouns,0.65
2602,אסון,kifo,nouns,2.0
2603,לסלוח,kukubali,verbs,1.0
2604,מאוד,sana,adverbs,1.0
2605,עסק,viwanda,nouns,1.85
2606,מיותר,lazima,adjectives,0.6
2607,להתפורר,kutenganisha,verbs,0.3
2608,תרומה,mchango,nouns,2.65
2609,לטאה,mjusi,nouns,0.05
2610,פסקה,herufi,nouns,1.05
2611,להתחתן,kujiunga,verbs,0.35
2612,אישה,manyoya,nouns,0.2
2613,מדבר,jangwa,nouns,2.15
2614,ניצחון,fora,nouns,3.55
2615,אננס,nanasi,nouns,0.0
2616,כבד,pafu,nouns,0.9
2617,משפט,wamuzi,nouns,1.75
2618,להיעלם,kupungua,verbs,1.35
2619,פוליטיקאי,rais,nouns,2.55
2620,לחלוק,kukutokubali,verbs,0.85
2621,לצמצם,kupungua,verbs,1.1
2622,להתעלם,kusahau,verbs,1.6
2623,תעלול,kuoga,nouns,0.0
2624,רע,mkubwa sana,adjectives,0.3
2625,נשיא,uchafuzi,nouns,0.15
2626,סוס,mbwa,nouns,0.85
2627,וויסקי,jini,nouns,3.0
2628,מונית,basi,nouns,2.35
2629,פוליטיקאי,mwanasiasa,nouns,0.35
2630,בגדים,koti,nouns,2.4
2631,בת,baba,nouns,0.8
2632,צנום,mwembamba,adjectives,4.65
2633,לחזות,kubainisha,verbs,0.7
