ID,CMN,YUE,PoS,score
2292,公主,餅乾,nouns,0.0
2293,危害,疼痛,nouns,0.5
2294,真诚地,誠實地,adverbs,4.18
2295,来,帶來,verbs,2.04
2296,新娘,公主,nouns,0.36
2297,逃逸,搵到,verbs,0.0
2298,炒,烘烤,verbs,1.73
2299,谨慎地,有禮貌地,adverbs,0.91
2300,恢复,代替,verbs,0.41
2301,污染,大氣層,nouns,0.41
2302,运动,活動,nouns,2.73
2303,收到,接受,verbs,0.78
2304,肉,牛扒,nouns,4.13
2305,税,收入,nouns,0.5
2306,悲剧,死亡,nouns,1.73
2307,家具,公寓,nouns,0.22
2308,锁起来,單身牢房,nouns,1.09
2309,门,兄弟會,nouns,0.0
2310,概念,信念,nouns,1.14
2311,小麦粉,麵包,nouns,1.19
2312,门,門口,nouns,3.73
2313,手指,腳趾,nouns,0.46
2314,伙伴,伴侶,nouns,2.96
2315,发送,發射,verbs,2.46
2316,大笑,傻笑,verbs,3.27
2317,携带,攞,verbs,3.23
2318,发誓,承諾,verbs,3.78
2319,窗,門,nouns,0.59
2320,牛奶,果汁,nouns,0.59
2321,工作者,雇主,nouns,0.41
2322,汽车,街,nouns,0.46
2323,轨,籬笆,nouns,0.0
2324,花,灌木,nouns,1.23
2325,侵蚀,穿,verbs,0.27
2326,负责任,可靠,adverbs,3.32
2327,稍后,從未,adverbs,0.09
2328,判决书,審判,nouns,2.37
2329,积极地,高高興興,adverbs,0.78
2330,牙,鎚,nouns,0.04
2331,未拿定主意,中性,adjectives,0.69
2332,教室,走廊,nouns,0.18
2333,得到,獲得,verbs,4.69
2334,坦克,汽車,nouns,0.69
2335,电话,受害者,nouns,0.04
2336,日落,表,nouns,0.0
2337,弯曲,好鬥,adjectives,0.09
2338,带,環,nouns,2.73
2339,大,容易,adjectives,0.0
2340,给,保持,verbs,0.18
2341,合作伙伴,男孩,nouns,0.5
2342,杯子,罐子,nouns,2.09
2343,公寓,酒店,nouns,1.32
2344,骑,拖著腳走,verbs,0.0
2345,装作,描繪,verbs,0.04
2346,墙纸,背景,nouns,2.59
2347,模仿,捕獲,verbs,0.0
2348,避免,拒絕,verbs,0.91
2349,地板,門,nouns,0.18
2350,检查,調查,verbs,3.5
2351,被动地,積極地,adverbs,0.22
2352,水,加冕禮,nouns,0.04
2353,创造性地,本來,adverbs,0.09
2354,磁盘,充電器,nouns,0.04
2355,正式,強烈地,adverbs,0.64
2356,留,等待,verbs,0.86
2357,大方,友善,adjectives,2.59
2358,马上,一次,adverbs,0.09
2359,后世,煉獄,nouns,0.09
2360,厂,汽車,nouns,0.09
2361,船,車,nouns,0.41
2362,吸收,學習,verbs,3.0
2363,受伤,搞到唔開心,verbs,0.18
2364,过去,前情,nouns,3.54
2365,放,掛,verbs,0.86
2366,平淡,刺激,adjectives,0.27
2367,认真地,真誠地,adverbs,2.96
2368,碱,酸,nouns,0.95
2369,基质,分子,nouns,0.86
2370,鸟,鷹,nouns,2.77
2371,门,鐘,nouns,0.28
2372,蜥蜴,政府,nouns,0.04
2373,船,甲板,nouns,0.82
2374,快,迅速,adjectives,5.2
2375,忙碌,懶,adjectives,0.14
2376,法庭,法官,nouns,0.86
2377,紧密地,本地,adverbs,0.09
2378,问,唔睬,verbs,0.09
2379,精确地,準確地,adverbs,5.09
2380,拿,交付,verbs,0.59
2381,旗,旗幟學,nouns,0.82
2382,公司,企業,nouns,4.18
2383,了解,聽,verbs,0.77
2384,水,鹽,nouns,0.18
2385,疯,生病,adjectives,0.5
2386,副手,軍官,nouns,0.77
2387,划分,團結,verbs,0.18
2388,害怕,不肯定,adjectives,0.69
2389,死,分化,verbs,0.14
2390,叔叔,表哥,nouns,0.96
2391,独立地,負責可靠地,adverbs,1.18
2392,奴隶,僕人,nouns,3.68
2393,来,走,verbs,0.36
2394,到达,出席,verbs,3.0
2395,年轻,開心,adjectives,0.09
2396,啤酒,酒,nouns,4.63
2397,否认,承認,verbs,0.22
2398,女人,男人,nouns,0.5
2399,手臂,骨頭,nouns,0.41
2400,应用,星系,nouns,0.0
2401,脏,狹窄,adjectives,0.0
2402,仆人,奴隸,nouns,3.68
2403,实现,成功,verbs,1.59
2404,耐力,強度,nouns,2.68
2405,气球,沖涼,nouns,0.0
2406,智力,無知,nouns,0.04
2407,看,搜索,verbs,0.91
2408,手稿,文章,nouns,2.77
2409,在别处,在家裡,adverbs,0.27
2410,购买,偷,verbs,0.28
2411,晚上,章節,nouns,0.0
2412,享受,娛樂,verbs,1.04
2413,玻璃,徽章,nouns,0.14
2414,找到,定位,verbs,0.69
2415,依靠,失敗,verbs,0.14
2416,杜松子酒,酒,nouns,3.91
2417,混合,煮,verbs,0.32
2418,开心,年輕,adjectives,0.09
2419,想,嘗試,verbs,0.64
2420,跑,騎,verbs,0.27
2421,煮沸,炒,verbs,0.59
2422,失败,破產,nouns,1.0
2423,眼泪,眼睛,nouns,0.55
2424,大夫,醫生,nouns,4.91
2425,暂停,等待,verbs,1.64
2426,批评,討厭,verbs,0.5
2427,支持者,蟋蟀,nouns,0.04
2428,词,文學,nouns,2.27
2429,暖炉,遮,nouns,0.09
2430,毯,大風,nouns,0.0
2431,读,理解,verbs,0.64
2432,帮手,女僕,nouns,2.37
2433,口香糖,薄荷,nouns,0.5
2434,乞求,借,verbs,0.86
2435,儿子,男孩子,nouns,2.87
2436,了解,原諒,verbs,0.5
2437,写,匆匆地寫,verbs,3.5
2438,花园,軟管,nouns,0.04
2439,矿,岩石,nouns,1.36
2440,女孩,小孩,nouns,2.68
2441,椅子,望遠鏡,nouns,0.04
2442,酒店,公寓,nouns,1.32
2443,警察,副駕駛,nouns,0.09
2444,州长,皇帝,nouns,0.5
2445,查询,需要,verbs,0.18
2446,巧克力,派,nouns,0.36
2447,安全,乏味,adjectives,0.04
2448,地毯,屋,nouns,0.27
2449,观看,觀察,verbs,4.36
2450,保持,擁抱,verbs,0.0
2451,电影,虛無主義,nouns,0.36
2452,中性,未定,adjectives,0.69
2453,休会,完成,verbs,0.14
2454,未成熟的,不負責任,adjectives,1.27
2455,避免,拒絕,verbs,0.41
2456,赶,匆忙,verbs,4.22
2457,日期,生日,nouns,1.68
2458,发送,接收,verbs,0.36
2459,海滩,暗礁,nouns,0.23
2460,需要,安排,verbs,0.09
2461,积极地,準確地,adverbs,0.86
2462,给,放,verbs,0.46
2463,恐龙,大象,nouns,0.27
2464,角,地區,nouns,0.27
2465,清醒,醉酒,adjectives,0.18
2466,头,腳,nouns,0.23
2467,波浪,天氣,nouns,0.09
2468,能力,力量,nouns,3.04
2469,进入,離開,verbs,0.22
2470,其他,相反,adjectives,0.23
2471,吸引,打,verbs,0.0
2472,电视,電影,nouns,2.63
2473,温和地,仁慈地,adverbs,3.59
2474,协议,洞,nouns,0.0
2475,旧,新鮮,adjectives,0.09
2476,大多,深深地,adverbs,0.59
2477,忍耐力,花朵,nouns,0.27
2478,摇动,收集,verbs,0.04
2479,肌肉,骨頭,nouns,0.36
2480,储蓄者,存款,nouns,0.68
2481,洞察力,智力,nouns,2.46
2482,带来,抱怨,verbs,0.09
2483,大教堂,教堂,nouns,5.46
2484,墙壁,裝飾,nouns,0.5
2485,模仿,描繪,verbs,0.77
2486,阿姨,侄子,nouns,0.72
2487,胜利者,男人,nouns,0.36
2488,巨大,笨,adjectives,0.14
2489,让,允許,verbs,3.13
2490,出租车,的士,nouns,5.96
2491,猫,獅子,nouns,1.27
2492,出席,聚集,verbs,0.5
2493,牙齿,嘴巴,nouns,0.64
2494,英雄,女英雄,nouns,4.0
2495,静脉,手臂,nouns,0.14
2496,慷慨地,好心地,adverbs,3.04
2497,给予,收到,verbs,0.18
2498,坠落,傷害,verbs,0.46
2499,协助,援助,verbs,3.91
2500,鼻子,頭,nouns,0.18
2501,机械师,工人,nouns,2.13
2502,分离,連接,verbs,0.18
2503,搜索,狩獵,verbs,0.73
2504,货车,汽車,nouns,2.59
2505,字典,定義,nouns,0.86
2506,掩盖,保護,verbs,0.95
2507,晚上,白天,nouns,0.14
2508,包括,包含,verbs,5.04
2509,英寸,米,nouns,3.04
2510,坏,可怕,adjectives,0.36
2511,裙带关系,國王,nouns,0.22
2512,污染,總統,nouns,0.0
2513,分离,裂開,verbs,2.96
2514,表哥,叔叔,nouns,0.96
2515,水手,隊長,nouns,0.22
2516,绑架,偷,verbs,0.46
2517,枯燥,沈悶,adjectives,4.32
2518,傍晚,日落,nouns,4.77
2519,公开地,大規模,adverbs,0.72
2520,讨论,說明,verbs,1.41
2521,井然有序,亂七八糟,adjectives,0.23
2522,溺爱,聞,verbs,0.0
2523,通常,不定期地,adverbs,0.41
2524,心情,情感,nouns,3.18
2525,床,幼兒床,nouns,3.27
2526,分析,比較,verbs,3.04
2527,懒,忙碌,adjectives,0.14
2528,撤退,降落,verbs,0.09
2529,腿,肢體,nouns,2.23
2530,理解,滿足,verbs,0.23
2531,野兽,動物,nouns,3.5
2532,肚子,腰,nouns,2.37
2533,小孩,成人,nouns,0.55
2534,打破,裂開,verbs,1.5
2535,安全,安慰,nouns,0.04
2536,经常地,偶然,adverbs,0.55
2537,磁盘,電腦,nouns,0.91
2538,幼儿,幼兒園,nouns,1.0
2539,排外主义,種族主義,nouns,3.77
2540,沟通,祈禱,verbs,0.46
2541,幻灯片,光標,nouns,0.23
2542,元,人,nouns,0.0
2543,培根,肉,nouns,2.87
2544,冰雹,雨,nouns,1.14
2545,记者,詩人,nouns,0.04
2546,选举,拒絕,verbs,0.0
2547,善良,大方,adjectives,2.04
2548,喷气式飞机,飛機,nouns,3.46
2549,重,大,adjectives,0.55
2550,大致地,容易地,adverbs,0.32
2551,发现,起源,verbs,0.41
2552,理想地,現實地,adverbs,0.14
2553,娱乐,享受,verbs,1.04
2554,假日,日曆,nouns,0.59
2555,城镇,城市,nouns,3.59
2556,草,根,nouns,0.41
2557,辩解,校驗,verbs,0.27
2558,完全必要,必須,adjectives,5.46
2559,香烟,煙草,nouns,4.23
2560,拯救,救援,verbs,5.04
2561,携带,帶來,verbs,3.63
2562,医生,脾氣,nouns,0.18
2563,名誉,財富,nouns,0.82
2564,湿,黏,adjectives,1.77
2565,动物,野獸,nouns,3.5
2566,有时,一致地,adverbs,0.04
2567,人,氣球,nouns,0.0
2568,感觉到,相信,verbs,0.59
2569,老鼠,鼠,nouns,5.23
2570,原子,分子,nouns,2.36
2571,编织,绑,verbs,1.5
2572,环球航行,行李,nouns,0.23
2573,伤害,跌,verbs,0.46
2574,妻子,洞,nouns,0.32
2575,蜜蜂,女王,nouns,0.0
2576,创建,做,verbs,1.04
2577,叶,樹,nouns,0.5
2578,音乐,旋律,nouns,3.23
2579,河,溪流,nouns,3.41
2580,不同,終末,adverbs,0.04
2581,程序,食物,nouns,0.0
2582,蔑视,收費,verbs,0.0
2583,跳跃,籬笆,nouns,0.0
2584,幸福,和平,nouns,2.5
2585,旋律,節奏,nouns,3.46
2586,方案,主意,nouns,3.54
2587,发现,探索,verbs,2.77
2588,必然,實質上,adverbs,0.5
2589,偷,購買,verbs,0.28
2590,老师,拉比,nouns,0.86
2591,便宜,不昂貴,adjectives,3.41
2592,米,英寸,nouns,3.04
2593,差数,剩餘,nouns,2.54
2594,毛毛雨,雨,nouns,3.81
2595,学习,聽,verbs,0.46
2596,圣经,聖歌,nouns,2.5
2597,抓住,收到,verbs,0.41
2598,离开,無視,verbs,0.32
2599,歌曲,故事,nouns,0.36
2600,统治,贏,verbs,0.5
2601,相机,續集,nouns,0.09
2602,谨慎地,小心地,adverbs,4.59
2603,得出结论,決定,verbs,3.5
2604,环境,劍,nouns,0.18
2605,智力,智慧,nouns,3.96
2606,洗澡,修道院,nouns,0.0
2607,自己,自信,nouns,0.59
2608,雕像,雕塑,nouns,4.91
2609,僧侣,十字架,nouns,0.18
2610,出席,出現,verbs,3.22
2611,年轻,焦躁不安,adjectives,0.04
2612,女演员,演員,nouns,3.46
2613,当然,當然,adverbs,3.86
2614,愉快,快樂,adjectives,5.0
2615,岩浆,火山,nouns,1.69
2616,锁匙,房屋,nouns,0.18
2617,哭泣,哭,verbs,5.54
2618,困难,容易,adjectives,0.14
2619,显然,看來,adverbs,1.68
2620,装作,似乎,verbs,0.32
2621,压抑,宣佈放棄,verbs,0.14
2622,听,察覺,verbs,1.09
2623,失败,依靠,verbs,0.14
2624,蝙蝠,吸血殭屍,nouns,0.78
2625,角度,彎曲,nouns,1.46
2626,货币,並行性,nouns,0.04
2627,忘记,無視,verbs,2.86
2628,考试,教學大綱,nouns,0.82
2629,香槟酒,啤酒,nouns,2.68
2630,留,離開,verbs,0.14
2631,忽略,忘記,verbs,2.86
2632,羊肉,羊,nouns,4.04
2633,最近,目前,adverbs,3.37
2634,电脑,機器,nouns,2.73
2635,蠢,笨,adjectives,5.54
2636,未成熟的,長大,adjectives,0.22
2637,争论,需求,verbs,0.18
2638,移动,編織,verbs,0.0
2639,生活,生存,verbs,3.04
2640,神经官能症,頭腦,nouns,0.32
2641,成熟,巧妙,adverbs,0.36
2642,咬,讀,verbs,0.09
2643,想,記得,verbs,0.22
2644,玉米,玉米,nouns,5.96
2645,手指,手掌,nouns,1.69
2646,嘴巴,嘴唇,nouns,3.04
2647,大海,河流,nouns,2.13
2648,得到,留,verbs,0.59
2649,埋葬,死,verbs,1.54
2650,老鼠,貓,nouns,0.27
2651,副驾驶,警察,nouns,0.09
2652,狂怒,生氣,nouns,4.09
2653,消失,消逝,verbs,4.09
2654,星系,應用程式,nouns,0.0
2655,机械,電動,adjectives,2.54
2656,脆弱,無助,adjectives,1.91
2657,衣服,鈕扣,nouns,0.64
2658,更改,改變,verbs,4.0
2659,走廊,走道,nouns,4.68
2660,雕塑家,大廈,nouns,0.0
2661,申请,申請人,nouns,0.91
2662,海岸,海灘,nouns,3.37
2663,毯子,床,nouns,0.14
2664,认识到,發現,verbs,3.54
2665,极好,棒,adjectives,4.82
2666,手臂,靜脈,nouns,0.14
2667,运动鞋,獎章,nouns,0.09
2668,虫害,農藥,nouns,0.54
2669,完全地,輕微,adverbs,0.04
2670,屏蔽,小圆盾,nouns,0.32
2671,车辆,巴士,nouns,2.59
2672,谢绝,接受,verbs,0.18
2673,红酒,酒,nouns,3.69
2674,大厦,雕塑家,nouns,0.0
2675,打,混合,verbs,0.0
2676,出席,來,verbs,3.0
2677,获得,加入,verbs,0.04
2678,异常地,一般,adverbs,0.0
2679,争论,叫喊,verbs,0.68
2680,弯曲,歪斜,adjectives,3.45
2681,安排,需要,verbs,0.09
2682,离开,出現,verbs,0.04
2683,相机,總統,nouns,0.0
2684,想要,借,verbs,0.23
2685,收到,給予,verbs,0.18
2686,扼杀,制服,verbs,0.27
2687,放走,抓住,verbs,0.36
2688,宇宙,天空,nouns,2.27
2689,傻,笨,adjectives,5.0
2690,任务,工作,nouns,3.27
2691,懒,珍貴,adjectives,0.09
2692,女仆,幫手,nouns,2.37
2693,内疚,壞,adjectives,0.32
2694,膝盖,骨頭,nouns,1.14
2695,有趣,傷心,adjectives,0.09
2696,清醒,理性的,adjectives,3.18
2697,谦虚,靈活,adjectives,0.46
2698,杂,舊,adjectives,0.14
2699,傲慢,自豪,adjectives,3.0
2700,游戏,行動,nouns,0.36
2701,收到,抓住,verbs,0.41
2702,流感,發熱,nouns,1.54
2703,危险,威脅,nouns,4.0
2704,加剧,攻擊,verbs,0.22
2705,瓶子,罐,nouns,2.46
2706,贫困,無助,adjectives,0.78
2707,时代,十,nouns,0.09
2708,发烧,疾病,nouns,2.31
2709,农药,蟲害,nouns,0.54
2710,攻击,閃電攻擊,nouns,3.27
2711,线,日落,nouns,0.0
2712,衣服,衣櫃,nouns,0.69
2713,非常好,脏,adjectives,0.0
2714,收藏,保存,verbs,4.23
2715,房屋,鎖匙,nouns,0.18
2716,每月,每週,adjectives,1.54
2717,静脉,容器,nouns,0.23
2718,收到,發送,verbs,0.36
2719,宣布,宣告,verbs,4.5
2720,音系学,屏幕,nouns,0.0
2721,肺,肝,nouns,0.59
2722,赢,成功,verbs,3.96
2723,腹部,肚皮,nouns,2.59
2724,男人,兄弟會,nouns,1.68
2725,日常,通常,adverbs,3.18
2726,智力,邏輯,nouns,2.96
2727,外套,衣服,nouns,3.59
2728,头,指甲,nouns,0.04
2729,徘徊,離開,verbs,0.14
2730,手表,裙子,nouns,0.09
2731,肠子,神經,nouns,0.23
2732,态度,自信,nouns,1.04
2733,威士忌酒,香檳,nouns,3.09
2734,大灾变,火,nouns,0.54
2735,偷,綁架,verbs,0.46
2736,正常,奇怪,adjectives,0.18
2737,加冕礼,水,nouns,0.04
2738,珍珠,錢,nouns,0.23
2739,步行,跛行,verbs,2.59
2740,沙发,椅子,nouns,2.63
2741,婴儿,女兒,nouns,2.32
2742,友好,不會,adverbs,0.09
2743,海洋,海,nouns,5.73
2744,组织,安排,verbs,0.96
2745,唱,大笑,verbs,0.18
2746,讨论,爭論,nouns,3.69
2747,接受,收到,verbs,0.78
2748,赢家,目標,nouns,0.18
2749,日志,公式,nouns,0.0
2750,门,走廊,nouns,0.36
2751,手,指甲,nouns,0.69
2752,短,長,adjectives,0.23
2753,公主,島,nouns,0.0
2754,天神,心靈,nouns,0.0
2755,长凳,椅子,nouns,3.54
2756,聪明,笨,adjectives,0.09
2757,合唱,歌手,nouns,1.19
2758,白天,黎明,nouns,2.59
2759,肚皮,腹部,nouns,2.59
2760,部,蘇丹,nouns,0.04
2761,使满意,滿足,verbs,4.81
2762,棚屋,避難所,nouns,0.64
2763,相像,類似,adjectives,3.04
2764,花朵,燈泡,nouns,0.0
2765,插曲,章節,nouns,0.96
2766,成长,收縮,verbs,0.09
2767,洞,協議,nouns,0.0
2768,信念,印象,nouns,0.36
2769,罐子,杯子,nouns,2.09
2770,小亭,盒子,nouns,0.0
2771,原木,沖涼,nouns,0.0
2772,聪慧,聰明,adjectives,4.72
2773,可笑,枯燥,adjectives,0.04
2774,出现,離開,verbs,0.04
2775,击败,鞭打,verbs,0.54
2776,幼儿床,搖床,nouns,3.5
2777,部长,拉比,nouns,0.09
2778,量,大小,nouns,2.91
2779,约定,訂婚,nouns,1.59
2780,大声地,輕輕的,adverbs,0.14
2781,病理学,血液學,nouns,2.41
2782,谦逊,謙虛,adjectives,5.31
2783,游泳,見面,verbs,0.04
2784,门,地窖,nouns,0.27
2785,拓扑,結構,nouns,0.04
2786,癌症,疾病,nouns,3.78
2787,叶,幼苗,nouns,0.96
2788,世俗主义,宗教,nouns,0.09
2789,潜水,創建,verbs,0.04
2790,合法,非法,adjectives,0.18
2791,指控,責怪,verbs,3.09
2792,花朵,忍耐力,nouns,0.27
2793,危险地,小心地,adverbs,0.27
2794,钱,珍珠,nouns,0.23
2795,元,百萬富翁,nouns,0.18
2796,传说,道德,nouns,0.04
2797,最近,最近,adverbs,5.5
2798,真实地,重要地,adverbs,0.23
2799,狡诈,靠不住的,adjectives,2.41
2800,浪费,擔心,verbs,0.0
2801,意识,注意,nouns,2.77
2802,骨头,膝蓋,nouns,1.14
2803,意见,偏壓,nouns,0.18
2804,相信,知道,verbs,0.68
2805,舱,棚屋,nouns,0.27
2806,卖,走,verbs,0.04
2807,汽车,單車,nouns,1.0
2808,舱,營地,nouns,0.27
2809,茅屋,小木屋,nouns,3.0
2810,警察,政治家,nouns,0.09
2811,罕见,非一般,adjectives,3.96
2812,分离,離開,verbs,2.77
2813,起源,發現,verbs,0.41
2814,生态系统,經濟,nouns,0.14
2815,脖子,手臂,nouns,0.36
2816,明天,今晚,adverbs,0.27
2817,罗盘,大象,nouns,0.09
2818,手,腳,nouns,1.14
2819,课程,行動,nouns,0.46
2820,大学,校園,nouns,2.59
2821,清洁,整齊,adjectives,3.68
2822,碗,小巷,nouns,0.0
2823,国会,議會,nouns,3.0
2824,偏见,傾向,verbs,2.86
2825,笔直,彎曲,adjectives,0.23
2826,除,乘,verbs,0.36
2827,责怪,指控,verbs,3.09
2828,形象,主意,nouns,0.04
2829,维他命,鐵,nouns,0.54
2830,带来,發送,verbs,0.14
2831,生存,生活,verbs,3.04
2832,埋葬,冚住,verbs,2.45
2833,关键,重要,adjectives,4.46
2834,小心地,安全地,adverbs,2.87
2835,启,開始,verbs,4.0
2836,棚屋,艙,nouns,0.27
2837,视力,知覺,nouns,0.78
2838,聪明,醒目,adjectives,4.72
2839,喷泉,泉,nouns,3.63
2840,律师,畫廊,nouns,0.0
2841,乱,清潔,adjectives,0.14
2842,创造者,製作者,nouns,3.77
2843,密度大,堅硬,adjectives,2.73
2844,续集,相機,nouns,0.09
2845,遇见,打招呼,verbs,0.69
2846,安慰,羞辱,verbs,0.09
2847,哥哥,父親,nouns,0.91
2848,想像,假扮,verbs,0.18
2849,晚餐,早餐,nouns,1.32
2850,家长,父親,nouns,3.63
2851,锁,鎖匙,nouns,0.91
2852,营地,艙,nouns,0.27
2853,磨坊,種子,nouns,0.23
2854,使惊奇,慶祝,verbs,0.27
2855,紧张,害怕,adjectives,2.5
2856,自信,肯定,adjectives,3.54
2857,汽车,貨車,nouns,2.59
2858,审查,自由,nouns,0.09
2859,断绝亲子关系,疏忽,verbs,0.04
2860,扫帚,灰塵,nouns,0.64
2861,柄,蛋白質,nouns,0.04
2862,出席,拗撬,verbs,0.14
2863,史学家,歷史學家,nouns,5.69
2864,宗教,世俗主義,nouns,0.09
2865,聚会,大型會議,nouns,2.91
2866,云,薄霧,nouns,2.68
2867,新,沒用過,adjectives,4.04
2868,羞愧,內疚,adjectives,4.31
2869,停,駕駛,verbs,0.09
2870,沙拉,醋,nouns,0.32
2871,抓住,放走,verbs,0.36
2872,自由,無辜,adjectives,0.04
2873,游行,樂隊,nouns,0.41
2874,选择,監獄,nouns,0.04
2875,反驳,允許,verbs,0.0
2876,大,大規模,adjectives,3.5
2877,易损坏,冷淡,adjectives,0.0
2878,一分钱,人,nouns,0.14
2879,说谎,指控,verbs,0.23
2880,尝试,成功,verbs,0.23
2881,海,三角洲,nouns,0.46
2882,不耐烦,焦慮,adjectives,3.5
2883,三明治,肉,nouns,0.27
2884,轻轻的,堅固地,adverbs,0.04
2885,航空学,航空電子學,nouns,3.22
2886,传播,塗抹,verbs,0.5
2887,申请人,申請,nouns,0.91
2888,宽大,窄小,adjectives,0.23
2889,盒子,小亭,nouns,0.0
2890,目前,微妙地,adverbs,0.18
2891,餐,晚飯,nouns,2.91
2892,加入,連接,verbs,0.86
2893,光标,幻灯片,nouns,0.23
2894,戏法,槍,nouns,0.04
2895,仁慈地,好心地,adverbs,4.59
2896,牙齿,骨頭,nouns,1.32
2897,肯定,確定,adjectives,5.13
2898,跛行,步行,verbs,2.59
2899,政治家,警察,nouns,0.09
2900,有意义,深度地,adverbs,2.0
2901,混乱,類別,nouns,0.0
2902,皮肤,自行車,nouns,0.04
2903,王冠,锁匙,nouns,0.04
2904,强大,弱,adjectives,0.04
2905,字典,字,nouns,0.59
2906,爆玉米花,電影,nouns,0.55
2907,准确地,精確地,adverbs,5.09
2908,十字架,僧侣,nouns,0.18
2909,星星,行星,nouns,2.63
2910,灰濛蒙,預測,nouns,0.14
2911,普通,奇怪,adjectives,0.09
2912,门,窗,nouns,0.59
2913,保龄,保齡球選手,nouns,1.41
2914,酒,啤酒,nouns,4.63
2915,绑,編織,verbs,1.5
2916,高度,換算,nouns,0.09
2917,非自然,自然地,adverbs,0.22
2918,键盘,光,nouns,0.14
2919,漂移,流,verbs,1.73
2920,弯曲,直,adjectives,0.23
2921,生物学,解剖學,nouns,2.59
2922,节约,花费,verbs,0.32
2923,宫殿,高樓大廈,nouns,0.32
2924,瓶子,容器,nouns,3.09
2925,庆祝,儀式,nouns,2.46
2926,立方体,骰子,nouns,2.68
2927,失去,得到,verbs,0.22
2928,熔化,溶解,verbs,4.41
2929,学生,小學生,nouns,3.5
2930,冷静,中性,adjectives,0.36
2931,主意,意見,nouns,4.23
2932,学习,評估,verbs,0.32
2933,肩,身體,nouns,0.73
2934,借款人,信用,nouns,0.54
2935,腰,肚,nouns,2.37
2936,牛肉,家牛,nouns,2.54
2937,说谎,假扮,verbs,2.59
2938,女士,先生,nouns,0.54
2939,坏,不誠實,adjectives,0.96
2940,锤,牙,nouns,0.04
2941,峡谷,山谷,nouns,4.22
2942,疏忽,斷絕父子關係,verbs,0.04
2943,貂,毛,nouns,0.55
2944,墙,磚,nouns,0.73
2945,图解,圖表,nouns,3.04
2946,外国人,翻譯者,nouns,0.32
2947,高高兴兴,積極地,adverbs,0.78
2948,啤酒,香檳,nouns,2.68
2949,信息,熵,nouns,0.36
2950,两次,總是,adverbs,0.14
2951,检查,檢查,verbs,5.0
2952,小亭,電話,nouns,0.0
2953,制服,鈎織編織,nouns,0.23
2954,手术,心臟,nouns,0.45
2955,牛排,肉,nouns,4.13
2956,早餐,晚餐,nouns,1.32
2957,不可能,友好,adverbs,0.09
2958,病原,病菌,nouns,3.13
2959,女人,牛仔褲,nouns,0.14
2960,说,校驗,verbs,0.0
2961,收入,税,nouns,0.5
2962,忘记,知道,verbs,0.04
2963,目标,尋求,nouns,0.64
2964,餐,晚餐,nouns,3.13
2965,缺席,在场,nouns,0.18
2966,分子,空氣,nouns,0.55
2967,正式,合乎體統,adjectives,3.46
2968,解剖学,生物學,nouns,2.59
2969,工作,工具,nouns,0.32
2970,无穷,零,nouns,0.23
2971,西方,北,nouns,0.14
2972,静脉,肚,nouns,0.27
2973,发现,認識到,verbs,3.54
2974,云,霧氣,nouns,2.27
2975,使满意,同意,verbs,2.27
2976,意见,信念,nouns,0.72
2977,抖动,攪拌,verbs,1.23
2978,主机板,主板,nouns,3.5
2979,得罪,侮辱,verbs,3.18
2980,听见,說話,verbs,0.32
2981,天气,雪,nouns,1.09
2982,拥抱,扼殺,verbs,0.04
2983,樱桃,士多啤梨,nouns,2.04
2984,酒吧,監獄,nouns,0.22
2985,意见,主意,nouns,4.23
2986,拒绝,給予,verbs,0.0
2987,搜索,搵,verbs,4.23
2988,完成,達到,verbs,3.68
2989,乐队,遊行,nouns,0.41
2990,炒,煮,verbs,0.64
2991,知觉,視力,nouns,0.78
2992,敬佩,崇拜,verbs,4.59
2993,古老,現代,adjectives,0.09
2994,任务,島,nouns,0.0
2995,演员,女演員,nouns,3.46
2996,电梯,運輸,verbs,0.95
2997,新闻,社論,nouns,2.64
2998,月,八月,nouns,2.43
2999,统计资料,網球,nouns,0.0
3000,完全地,全然地,adverbs,4.37
3001,马,牛,nouns,1.14
3002,游标,微晶片,nouns,0.09
3003,预测,確定,verbs,0.14
3004,光线电话机,同音詞,nouns,0.0
3005,手机,電話,nouns,4.46
3006,得到,放,verbs,0.0
3007,门口,出口,nouns,3.54
3008,立即,不久,adverbs,1.23
3009,向外,進來,adjectives,0.09
3010,嘴巴,牙齒,nouns,0.64
3011,匆忙,趕,verbs,4.22
3012,无辜,自由,adjectives,0.04
3013,自由,自由,nouns,4.46
3014,奖励,付款,nouns,0.22
3015,泡,肥皂泡沫,nouns,3.82
3016,经济,生態系統,nouns,0.14
3017,指南,手冊,nouns,2.96
3018,捕获,模仿,verbs,0.0
3019,对手,對手,nouns,5.18
3020,菜单,點菜,nouns,1.14
3021,推,拉,verbs,0.36
3022,射手,探路者,nouns,0.18
3023,服从,聽,verbs,3.37
3024,说话,承認,verbs,0.55
3025,冠军,優勝者,nouns,4.96
3026,意外,書,nouns,0.0
3027,喝,啜,verbs,1.32
3028,棒球,沙發,nouns,0.0
3029,海,海灘,nouns,2.5
3030,案件,電,nouns,0.04
3031,成为,做,verbs,2.59
3032,编译器,子程序,nouns,0.54
3033,平均,頻繁,adjectives,0.32
3034,天空,夢想,nouns,0.09
3035,木,紙,nouns,0.45
3036,疼痛,危害,nouns,0.5
3037,性能,客串角色,nouns,0.04
3038,出现,成為,verbs,0.32
3039,侄子,阿姨,nouns,0.72
