ID,CYM,SWA,PoS,score
1988,brechdan,chakula cha mchana,nouns,1.55
1989,balchder,kujivunia,adjectives,0.05
1990,erfyn,kuuliza,verbs,2.55
1991,yn rhyfedd,ya kustajabisha,adverbs,4.25
1992,sgil,akili,nouns,2.1
1993,duw,baba,nouns,2.2
1994,tsunami,sunami,nouns,1.2
1995,doniol,inayochekesha,adjectives,0.0
1996,gwrthod,kupa,verbs,0.05
1997,gwlyb,lowa,adjectives,0.4
1998,porth,mlango,nouns,3.8
1999,ci,paka,nouns,0.75
2000,llyncu,meza,verbs,2.55
2001,anaml,nadra,adverbs,0.05
2002,oedolyn,mzazi,nouns,2.25
2003,sibrwd,kunong'oneza,verbs,1.7
2004,cangen,shina,nouns,0.6
2005,anwybodus,mjinga,adjectives,0.0
2006,busnes,kampuni,nouns,3.35
2007,llong,mshipa,nouns,0.05
2008,ymddeol,kustaafu,verbs,0.4
2009,swper,chakula,nouns,3.3
2010,semester,awamu,nouns,4.9
2011,cig,nyama ya nguruwe,nouns,3.45
2012,fel arfer,kawaida,adverbs,0.1
2013,yn dawel,kwa ukimya,adverbs,0.1
2014,maneg,mpira,nouns,0.75
2015,purdan,purigatori,nouns,1.6
2016,papur,kuni,nouns,0.35
2017,yn rhyfeddol,kwa kushangaza,adverbs,4.1
2018,yn gynnil,kijanja,adverbs,0.0
2019,drwg,poa,adjectives,0.05
2020,gwrthod,kukana,verbs,1.75
2021,ewin,kichwa,nouns,0.15
2022,mynd,kuenda,verbs,2.5
2023,cymryd,kupeleka,verbs,0.3
2024,cerddoriaeth,tuni,nouns,3.85
2025,amherchnogi,kutelekeza,verbs,0.93
2026,paragraff,ukurasa,nouns,0.35
2027,canrif,muongo,nouns,1.0
2028,llygoden,ndezi,nouns,3.55
2029,amlwg,bila siri,adjectives,0.15
2030,gwenynen,mdudu,nouns,1.75
2031,yn sicr,hakika,adverbs,1.4
2032,nam,kosa,nouns,0.0
2033,cromlin,pembe,nouns,1.35
2034,siarad,kutambua,verbs,0.2
2035,ffa,nyama ya nguruwe,nouns,0.2
2036,ffurfdroad,inflection,nouns,0.75
2037,gohirio,kuhairisha,verbs,1.0
2038,ffilm,filamu,nouns,0.55
2039,bychanu,kuaibisha,verbs,0.0
2040,gweddïo,kuwasiliana,verbs,0.55
2041,ffwr,bunduki,nouns,0.05
2042,berwi,kuchemsha,verbs,1.05
2043,cadw,kusahau,verbs,0.05
2044,eang,mkubwa,adjectives,3.4
2045,holi,kuhitaji,verbs,0.05
2046,gweinyddiaeth,menejimenti,nouns,2.8
2047,cwch,gari,nouns,0.75
2048,gwirio,kutetea,verbs,0.45
2049,cadw,kupa,verbs,0.15
2050,argraffu,kuchapisha,verbs,0.0
2051,ofnus,wa wasiwasi,adjectives,4.05
2052,yn unffurf,sawa,adverbs,0.0
2053,gwyn,nyeupe,adjectives,0.0
2054,undeb,umoja,nouns,0.8
2055,trwyn,kinywa,nouns,0.5
2056,pennod,chaguo,nouns,0.05
2057,tric,bunduki,nouns,0.05
2058,gwybod,kupa,verbs,0.0
2059,anniben,chafu,adjectives,0.7
2060,sesiwn,kikao,nouns,0.0
2061,dewis,kuchagua,verbs,4.7
2062,rhanbarth,eneo,nouns,4.75
2063,troed,mguu,nouns,0.6
2064,disgyn,teremka,verbs,0.75
2065,afon,mkondo,nouns,3.8
2066,byddin,jeshi la wanamaji,nouns,3.85
2067,profi,kueleza,verbs,0.85
2068,car,boti,nouns,0.75
2069,trydanol,chenye umeme,adjectives,0.2
2070,corn,ngoma,nouns,0.25
2071,sâl,ana wazimu,adjectives,0.35
2072,siwr,ana kujiamini,adjectives,4.0
2073,cwch,mota,nouns,1.4
2074,craig,mwamba,nouns,0.15
2075,wagen,chombo,nouns,0.0
2076,dermatitis,ugonjwa wa ngozi,nouns,3.2
2077,haerllug,peketevu,adjectives,0.6
2078,salad,siki,nouns,0.3
2079,cyw iâr,steki,nouns,0.65
2080,storm,theluji,nouns,0.65
2081,lwcus,enye bahati,adjectives,0.0
2082,heno,leo usiku,adverbs,0.2
2083,erthygl,kitabu,nouns,1.0
2084,llyfr,taarifa,nouns,0.75
2085,trefnu,panga,verbs,1.5
2086,enillydd,uwepo,nouns,0.05
2087,offeiriad,mtawa,nouns,2.45
2088,caethwas,falahi,nouns,2.65
2089,profi,kugombana,verbs,0.0
2090,ifanc,isiyotulia,adjectives,0.25
2091,pont,gari,nouns,0.2
2092,anelu,kulenga,verbs,1.1
2093,canfod,kung'amua,verbs,0.4
2094,annheg,jeuri,adjectives,2.1
2095,trên,treni,nouns,2.45
2096,llygoden,paka,nouns,0.45
2097,capel,kanisa ,nouns,0.0
2098,herwgipio,kuteka nyara,verbs,2.4
2099,morwr,kapteni,nouns,1.7
2100,hapus,mchanga,adjectives,0.25
2101,amrwd,mbaya,adjectives,1.15
2102,awyrgylch,uchafuzi,nouns,0.7
2103,llac,pwaya,adjectives,0.9
2104,cred,ua,nouns,0.05
2105,syfrdanu,kushangaza,verbs,0.0
2106,siwr,bila shaka,adjectives,5.25
2107,tagu,kuua,verbs,0.85
2108,gwrthod,kukataa,verbs,0.08
2109,seryddwr,mtaalam wa nyota,nouns,0.15
2110,gwerthu,kuuza,verbs,0.4
2111,afal,juisi,nouns,0.95
2112,dewis,sura,nouns,0.05
2113,chwerthin,kucheka,verbs,4.05
2114,gwenynen,sisimizi,nouns,0.75
2115,dod â,kutuma,verbs,0.65
2116,disg,kompyuta,nouns,0.65
2117,dirmygu,kuchukia,verbs,0.3
2118,olew,ngozi,nouns,0.0
2119,gadael,enda,verbs,0.45
2120,yn lleol,kienyeji,adverbs,0.0
2121,go iawn,halisi,adjectives,0.15
2122,gwallgof,mkubwa sana,adjectives,0.05
2123,afon,bahari,nouns,1.8
2124,peiriant,mashine,nouns,2.45
2125,drws,korido,nouns,0.4
2126,gwneuthurio,kujenga,verbs,4.25
2127,pren,mbao,nouns,0.05
2128,bachgen,mwanajeshi,nouns,0.3
2129,taliad,ada,nouns,4.75
2130,pen-blwydd,tarehe,nouns,1.3
2131,peilot,dereva,nouns,2.7
2132,curo,kupiga,verbs,1.45
2133,tad,mama,nouns,1.05
2134,ifanc,mwenye furaha,adjectives,0.25
2135,crensian,kuteketa,verbs,0.85
2136,tymor,msimu wa baridi,nouns,2.65
2137,dewis,jela,nouns,0.1
2138,golau,mwanga,nouns,0.0
2139,dicter,hali,nouns,0.45
2140,lori,gari la mzigo,nouns,0.35
2141,yn llachar,kwa ukali,adverbs,0.03
2142,ffêr,dirisha,nouns,0.0
2143,band,pombe,nouns,0.05
2144,eang,mwembamba,adjectives,0.1
2145,deallusrwydd,mantiki,nouns,2.45
2146,gwregys,kitanzi,nouns,0.75
2147,bore,mchana,nouns,1.0
2148,tywydd,theluji,nouns,0.85
2149,raced,raketi,nouns,0.75
2150,gwisg unffurf,sare,nouns,0.0
2151,trin,tibu,verbs,0.0
2152,ffôn,simu,nouns,2.17
2153,car,kiwanda,nouns,0.1
2154,casglu,kukutana,verbs,1.4
2155,anaeddfed,kutokomaa,adjectives,0.05
2156,lema,lemma,nouns,0.2
2157,rhaniad,mgawanyiko,nouns,0.5
2158,traeth,kisiwa,nouns,0.9
2159,yn ddiweddar,hivi karibuni,adverbs,1.45
2160,bwcler,ngao,nouns,0.75
2161,yn anhygoel,kimaajabu,adverbs,4.1
2162,sudd,maziwa,nouns,0.75
2163,hysteria,ghasia,nouns,1.35
2164,peiriannydd,mfanyakazi,nouns,1.85
2165,drws,sakafu,nouns,0.1
2166,maint,mbinu,nouns,0.0
2167,ffrog,gauni,nouns,0.15
2168,gweithred,mchezo,nouns,0.5
2169,diflannu,kupotea,verbs,5.4
2170,crosio,krocheti,nouns,0.0
2171,brwnt,rahisi,adjectives,0.05
2172,mygu,kuwa nyororo,verbs,0.1
2173,nawr,sasahivi,adverbs,1.8
2174,coes,kiungo,nouns,0.75
2175,tŷ,ufunguo,nouns,0.55
2176,tasg,kazi,nouns,4.25
2177,rhaglen,mradi,nouns,0.05
2178,derbyn,kusamehe,verbs,0.75
2179,anghwrtais,jeuri,adjectives,0.95
2180,awst,mwezi,nouns,2.65
2181,tynnu,kuvuta,verbs,0.55
2182,gwerthuso,kujifunza,verbs,0.7
2183,dadlau,kutetea,verbs,0.55
2184,mynd i mewn,kuondoka,verbs,0.15
2185,carbohydrad,wanga,nouns,1.25
2186,dadlau,kushawishi,verbs,0.95
2187,annibynadwy,asiyeaminika,adjectives,1.25
2188,gwifren,kamba,nouns,1.05
2189,organ,figo,nouns,2.5
2190,artist,msanii,nouns,1.05
2191,teithlyfr,kitabu cha mwongozi,nouns,1.5
2192,gwaed,nyama,nouns,1.15
2193,ufuddhau,kusikiliza,verbs,1.8
2194,cyfreithlon,halali,adjectives,0.15
2195,drws,undugu,nouns,0.0
2196,mynd o'r golwg,kutoweka,verbs,5.4
2197,drachtio,kunywa,verbs,2.55
2198,pryd bwyd,karamu,nouns,3.3
2199,sgert,sketi,nouns,0.0
2200,yn heddychlon,kwa amani,adverbs,0.05
2201,dyn,mume,nouns,4.4
2202,yn hael,kwa ukarimu,adverbs,0.0
2203,tynnu,toa ,verbs,0.1
2204,llywydd,mwanachuo,nouns,0.1
2205,angerdd,hisia,nouns,3.4
2206,cwrtais,sahihi,adjectives,0.6
2207,ymdrechu,kujitahidi,verbs,0.15
2208,corff,uti,nouns,0.5
2209,dysgu,kusahau,verbs,0.3
2210,barnwr,hakimu mkuu,nouns,4.75
2211,brifo,uma,verbs,0.0
2212,mynychu,kuja,verbs,3.0
2213,tudalen,neno,nouns,0.45
2214,mintys,minti,nouns,0.0
2215,yn anarferol,sio kawaida,adverbs,4.25
2216,ymofyn,kutazamia,verbs,0.85
2217,beiddgar,wa kujivunia,adjectives,0.75
2218,rhwystredigaeth,hasira,nouns,0.9
2219,cyntedd,ukumbi,nouns,0.65
2220,rhythm,mahadhi,nouns,1.0
2221,brenin,mfalme,nouns,0.15
2222,presenoldeb,mlango,nouns,0.0
2223,anodd,rahisi,adjectives,0.0
2224,cyfathrebu,lugha,nouns,2.15
2225,safbwynt,mtazamo,nouns,0.05
2226,ochr,juu,nouns,0.45
2227,rhagflaenydd,antecedent,nouns,1.0
2228,mathemategydd,mwanamahesabu,nouns,0.0
2229,cyrraedd,kuondoka,verbs,0.1
2230,traethawd,kitabu,nouns,0.6
2231,bricsen,ukuta,nouns,1.5
2232,car,honi,nouns,0.5
2233,stopio,kuacha,verbs,0.27
2234,yn gyfrinachgar,kwa usiri,adverbs,0.0
2235,cyfeillgar,mkarimu,adjectives,1.95
2236,drws,jiko,nouns,0.15
2237,bwrw,kukupiga ngumi,verbs,0.7
2238,arogli,kunusa,verbs,0.0
2239,llen,nguzo,nouns,0.05
2240,blanced,blanketi,nouns,0.0
2241,llygad,chozi,nouns,1.15
2242,coflaid,kukumbatia,verbs,0.1
2243,pumed,wa tano,adjectives,0.0
2244,anghefnogi,katisha tamaa,verbs,1.8
2245,ceiniog,peni,nouns,0.45
2246,derbyn,kuchukua,verbs,2.95
2247,deigryn,jicho,nouns,1.15
2248,fformiwla,kuzidisha,nouns,0.4
2249,iselder,huzuni,nouns,0.3
2250,machlud haul,machweo,nouns,0.0
2251,mwgwd,maski,nouns,0.2
2252,miliwnydd,milionea,nouns,1.1
2253,difeddiannu,kukataliwa,verbs,0.95
2254,realiti,ndoto,nouns,0.35
2255,byth,kamwe,adjectives,0.15
2256,hawdd,ngumu,adjectives,0.2
2257,cynffon,jabali,nouns,0.0
2258,llunio,kutengeneza,verbs,4.25
2259,brithyll,samaki,nouns,0.0
2260,anhrefn,vurugu,nouns,0.05
2261,brenhiniaeth,ufalme,nouns,0.65
2262,diflas,kulivu,adjectives,0.0
2263,casglu,kuokoa,verbs,1.2
2264,dyn,msichana,nouns,0.5
2265,balch,kiburi,adjectives,0.6
2266,cegin,bafu,nouns,0.55
2267,tramorwr,mgeni,nouns,0.15
2268,llawysgrif,muswada,nouns,1.6
2269,buwch,mbuzi,nouns,0.85
2270,gwadu,kukubali,verbs,0.15
2271,byddin,kundi,nouns,2.85
2272,llyfr,dhima,nouns,0.1
2273,angenrheidiol,sio wa lazima,adjectives,0.05
2274,offeryn,kitendea kazi,nouns,0.7
2275,undeb,shirikisho,nouns,2.15
2276,dwyn,kuiba,verbs,2.4
2277,cath,panya,nouns,0.45
2278,pothell,malengelenge,nouns,0.0
2279,awyrgylch,hali ya anga,nouns,2.25
2280,hurt,mjinga,adjectives,4.85
2281,degawd,karne,nouns,0.4
2282,lluosi,kujumlisha,verbs,1.25
2283,homoffon,nyumba ya nyumbani,nouns,0.15
2284,môr,ufuko,nouns,2.2
2285,pastai,chokoleti,nouns,0.6
2286,byddin,kikosi,nouns,3.5
2287,athro,mwalimu,nouns,0.9
2288,theori,kanuni,nouns,2.75
2289,llyfr,insha,nouns,0.6
2290,tymestl,upepo mkali,nouns,0.0
2291,caniatáu,kupa,verbs,0.95
2292,creadigol,mbunifu,adjectives,3.1
2293,anodd,bila jasho,adjectives,0.1
2294,egluro,kuthibitisha,verbs,0.85
2295,tafarn,hosteli,nouns,1.8
2296,gwraidd,nyasi,nouns,0.4
2297,corn,gari,nouns,0.5
2298,dod yn,kupanga,verbs,0.1
2299,pla,wadudu,nouns,0.85
2300,sgriptiwr,mwandishi wa filamu,nouns,0.3
2301,canu,kuimba,verbs,0.2
2302,sgrîn,skrini,nouns,0.3
2303,difrifol,makini,adjectives,0.0
2304,ffilm,sinema,nouns,4.35
2305,cig,ugali,nouns,0.4
2306,dynwared,kuiga,verbs,0.0
2307,ecsema,uwasho,nouns,3.2
2308,campws,eneo,nouns,0.65
2309,to,dari,nouns,4.35
2310,yn wir,kweli,adverbs,0.85
2311,awdur,muumbaji,nouns,2.75
2312,edrych,kuangalia,verbs,3.2
2313,hapus,ana hasira,adjectives,0.1
2314,awyren,uwanja wa ndege,nouns,1.8
2315,gwrthod,kukataa,verbs,0.27
2316,fideo,filamu,nouns,4.35
2317,rhoi,kupokea,verbs,0.35
2318,ysgafn,vuguvugu,adjectives,0.2
2319,malware,programu hatarishi,nouns,0.05
2320,cwrw,kinywaji,nouns,3.05
2321,dieithr,wa kigeni,adjectives,3.65
2322,balŵn,watu,nouns,0.0
2323,yn aeddfed,kiukomavu,adverbs,0.3
2324,mintys poethion,mti wa minti,nouns,0.2
2325,neidr,nyoka,nouns,0.85
2326,cysuro,kufaraja,verbs,0.0
2327,cymysg,changanywa,adjectives,2.8
2328,bawd,ukucha,nouns,1.15
2329,prawf,ukweli,nouns,1.2
2330,haf,msimu wa baridi,nouns,0.55
2331,hawdd,pole,adjectives,0.6
2332,carchar,chaguo,nouns,0.1
2333,lens,kamera,nouns,2.0
2334,gwaith cartref,kazi ya ziada,nouns,1.05
2335,ynys,ufuko,nouns,0.9
2336,geneth,mtoto,nouns,0.95
2337,bagiau,mzigo,nouns,0.0
2338,bardd,mshairi,nouns,0.4
2339,arian,mshahara,nouns,2.95
2340,diweddeb,uharamia,nouns,0.05
2341,chwim,wa haraka,adjectives,5.1
2342,cydnabod,kukubali,verbs,2.1
2343,sensoriaeth,udhibiti,nouns,0.2
2344,plaladdwr,dawa ya wadudu,nouns,0.85
2345,gorllewin,kaskazini,nouns,0.7
2346,deallusrwydd,hekima,nouns,3.6
2347,deall,kusikiliza,verbs,0.85
2348,car,mpira wa maji,nouns,0.0
2349,cyfoeth,umaarufu,nouns,0.45
2350,gwrando,kujifunza,verbs,0.4
2351,maes llafur,mtaala,nouns,0.35
2352,gweithred,mwendo,nouns,0.2
2353,môr,mto,nouns,1.8
2354,ymennydd,bongo,nouns,4.6
2355,ystafell,mahabusu,nouns,1.3
2356,soffa,kitanda,nouns,1.05
2357,meithrinfa,elimu ya awali,nouns,4.9
2358,pibell,gari,nouns,0.0
2359,harbwr,bandari,nouns,0.0
2360,ysgwyd,kutikisa,verbs,1.07
2361,anhygoel,maradufu,adjectives,0.05
2362,dysgu,kufundisha,verbs,0.25
2363,thema,kitabu,nouns,0.1
2364,tagu,kupumua,verbs,0.6
2365,cwpwrdd,nguo,nouns,0.55
2366,medi,kuvuna,verbs,0.6
2367,bywgraffiad,habari za kubuniwa,nouns,0.45
2368,nerf,matumbo,nouns,0.3
2369,anwybodus,kutobadilishwa,adjectives,0.05
2370,mis,agosti,nouns,2.65
2371,aneglur,haijulikani,adjectives,4.65
2372,afal,sosi,nouns,0.25
2373,ysgrifennydd,mwanamke,nouns,0.45
2374,meddyg,profesa,nouns,0.8
2375,hylif,majimaji,nouns,0.0
2376,haematoleg,hematolojia,nouns,2.3
2377,cyfreithiwr,mwanasheria,nouns,0.0
2378,menyw,mwanamke,nouns,0.05
2379,gwerthu,kwenda,verbs,0.0
2380,mosäig,mosaic,nouns,0.4
2381,bàth,gogo,nouns,0.0
2382,talu,kulipa,verbs,1.3
2383,cludo,kuvuta,verbs,0.9
2384,diwydiant,biashara,nouns,1.8
2385,llawdriniaeth,moyo,nouns,0.4
2386,ffoi,kukimbia,verbs,4.65
2387,anghenus,uhitaji,adjectives,1.25
2388,sblash,chubwi,nouns,0.0
2389,yn fawr,sana,adverbs,1.25
2390,pêl,mavazi,nouns,0.1
2391,pennaeth,meya,nouns,1.55
2392,siriol,mwenye furaha,adjectives,5.0
2393,eang,mbivu,adjectives,0.05
2394,carfan,jeshi,nouns,2.85
2395,tasg,kazi,nouns,3.15
2396,gwefrydd,chaja,nouns,0.0
2397,anwybodaeth,akili,nouns,0.25
2398,gwybod,kuamini,verbs,1.35
2399,newynog,kua na njaa,adjectives,0.1
2400,bioleg gymdeithasol,jamii,nouns,0.1
2401,reidio,kuendesha,verbs,0.05
2402,yn gadarn,kwa kidete,adverbs,0.2
2403,darganfod,kupotea,verbs,0.15
2404,realiti,njozi,nouns,0.15
2405,rhad,mchafu,adjectives,0.05
2406,actor,mwigaji,nouns,0.35
2407,dweud,kushiriki,verbs,0.05
2408,ffres,mpana,adjectives,0.05
2409,uchel,yenye sauti,adjectives,0.1
2410,yn anhygoel,kwa umaradufu,adverbs,0.55
2411,piston,pistoni,nouns,2.0
2412,pryd bwyd,chakula cha usiku,nouns,3.55
2413,cyfiawnder,haki,nouns,0.85
2414,pledio,kuomba,verbs,4.45
2415,darllen,kusoma,verbs,0.0
2416,athronydd,mphilisophia,nouns,0.0
2417,glofa,machimbo,nouns,0.15
2418,mynach,padri,nouns,2.45
2419,emyn,ushindi,nouns,0.05
2420,gair,gazeti,nouns,0.4
2421,darlun,katuni,nouns,0.0
2422,da,juu,adjectives,0.0
2423,aseiniad,jukumu,nouns,4.25
2424,trafod syniadau,changamsha bongo,nouns,0.0
2425,mecanyddol,a kifundi,adjectives,0.2
2426,gofyn,kuomba,verbs,2.55
2427,alcohol,brandi,nouns,2.65
2428,maddau,kuelewa,verbs,0.45
2429,ffordd,namna,nouns,4.25
2430,ceisio,kutimiza,verbs,0.7
2431,cynhwysor,capacitor,nouns,0.9
2432,angau,balaa,nouns,1.5
2433,diafol,mungu,nouns,0.4
2434,yn derfynol,mwisho,adverbs,0.5
2435,ffidil,chombo,nouns,2.1
2436,hedyn,viungo,nouns,0.2
2437,myfyriwr,profesa,nouns,0.75
2438,anarchiaeth,vurugu,nouns,4.45
2439,pydru,kuoza,verbs,1.55
2440,cytuno,kugombana,verbs,0.2
2441,bedd,kaburi,nouns,1.25
2442,gwahaniaethu,kukubali,verbs,0.05
2443,person,mtu,nouns,2.85
2444,cul,mpana,adjectives,0.1
2445,braich,mshipa,nouns,0.45
2446,yn realistig,kwelikweli,adverbs,0.0
2447,danfon,kuleta,verbs,0.65
2448,tafod,koo,nouns,0.8
2449,ychydig,mara kwa mara,adverbs,0.25
2450,myffin,muffini,nouns,0.05
2451,carped,nyumba,nouns,0.25
2452,tynnu'n ôl,kufyonza,verbs,1.2
2453,cwrs,tendo,nouns,0.2
2454,gadael,kujitokeza,verbs,0.45
2455,artiffisial,sio asili,adjectives,5.3
2456,da,salama,adjectives,0.0
2457,dadelfennu,utengano,nouns,0.7
2458,penderfynu,kuonyesha,verbs,0.05
2459,galaeth,giligili,nouns,0.15
2460,cwtsh,kukumbatia,verbs,4.45
2461,ffenestr,mlango,nouns,0.95
2462,proffesiwn,chuo,nouns,0.5
2463,calendr,tarehe,nouns,2.85
2464,bachgen,mtoto wa kiume,nouns,4.4
2465,pwysig,lazima,adjectives,3.0
2466,garw,baridi,adjectives,0.35
2467,pechadur,mtakatifu,nouns,0.4
2468,pryf sidan,mnyoo wa nyuzi,nouns,1.4
2469,mam,mlezi,nouns,2.8
2470,priffordd,gari,nouns,0.65
2471,anonest,si mwaminifu,adjectives,0.1
2472,pren,gogo,nouns,3.75
2473,brwydro,pigana,verbs,0.2
2474,dyweddïad,mkutano,nouns,0.3
2475,hyderus,ana hakika,adjectives,4.0
2476,gwirod,bendi,nouns,0.05
2477,rhoi,kuweka,verbs,0.15
2478,nenfwd,sakafu,nouns,0.15
2479,sudd,juisi,nouns,0.05
2480,wisgi,jini,nouns,2.35
2481,llyfr,fasihi,nouns,2.2
2482,gymnasteg,mazoezi,nouns,0.2
2483,anghofio,kupuuza,verbs,1.4
2484,nant,mto,nouns,3.8
2485,tebyg,sawasawa,adjectives,4.6
2486,agoriad,kufungua,nouns,2.0
2487,cwrs,tumbo,nouns,0.05
2488,barnu,kuhukumu,verbs,2.4
2489,losin,peremende,nouns,0.55
2490,yn gyfrinachol,kwa siri,adverbs,0.2
2491,penderfynu,kuhitimisha,verbs,0.65
2492,ton,wimbi,nouns,0.4
2493,glaswellt,mzizi,nouns,0.4
2494,wythnos,wikendi,nouns,1.65
2495,osgoi,kujiweka mbali,verbs,1.75
2496,brwnt,chafu,adjectives,0.0
2497,ffatri,gari,nouns,0.1
2498,rhoi,kutoa,verbs,0.55
2499,dyn,mtu mzuri,nouns,0.3
2500,yn gadarnhaol,vyema,adverbs,0.45
2501,miniog,kali,adjectives,0.05
2502,eil,njia,nouns,0.1
2503,blwch,sanduku,nouns,0.0
2504,swcros,sukrosi,nouns,1.25
2505,trist,wa kuchekesha,adjectives,0.05
2506,perygl,ugonjwa,nouns,0.45
2507,arian,almasi,nouns,0.75
2508,anghrybwylladwy,haionekani,adjectives,0.0
2509,allwedd,funguo,nouns,1.15
2510,cyflwr,hali,nouns,1.9
2511,car,gari,nouns,3.08
2512,llo,fahali,nouns,2.0
2513,arferol,tofauti,adjectives,0.4
2514,gwadu,kukiri,nouns,0.25
2515,priodfab,bibi arusi,nouns,1.15
2516,ffens,reli,nouns,0.05
2517,dod,kuleta,verbs,1.3
2518,mwd,uchafu,nouns,4.4
2519,niwroseicoleg,saikolojia ya akili,nouns,2.75
2520,danfon,kupokea,verbs,0.2
2521,ffonoleg,fonolojia,nouns,0.15
2522,bwydlen,agizo,nouns,0.6
2523,euog,mbaya,adjectives,1.5
2524,hwyliau,hisia,nouns,1.9
2525,gwely,kochi,nouns,1.05
2526,hyll,mbaya,adjectives,1.2
2527,ysgwydd,mwili,nouns,0.7
2528,enillydd,mgombea wa uchaguzi,nouns,0.95
2529,gwehyddu,kufuma,verbs,0.05
2530,oer,baridi,adjectives,0.0
2531,dianc,kutoroka,verbs,4.65
2532,cnoi,uma,verbs,0.0
2533,wedi eu cyfuno,iliyojumuishwa,adjectives,2.8
2534,medal,medali,nouns,0.45
2535,rasio,mbio,nouns,0.0
2536,llwch,vumbi,nouns,0.3
2537,yn gywir,kwa usahihi,adverbs,0.6
2538,credu,kujua,verbs,1.35
2539,ergydio,kuchapa,verbs,0.05
2540,degawd,enzi,nouns,0.9
2541,rhoi,kukana,verbs,0.05
2542,jîns,jinzi,nouns,0.05
2543,yn fawr,zaidi,adverbs,0.05
2544,dod yn,kufanikisha,verbs,0.7
2545,wal,tofali,nouns,1.5
2546,bioleg,biolojia,nouns,0.55
2547,dymuno,kua na hamu,verbs,4.35
2548,anarferol,si wa kawaida,adjectives,3.5
2549,yn ddigynnwrf,kiutulivu,adverbs,0.3
2550,tudalen,aya,nouns,0.35
2551,gwern,ziwa,nouns,2.05
2552,gwesty,fleti,nouns,0.4
2553,yn dawel,kwa upole,adverbs,0.0
2554,cael,kuchukua,verbs,1.1
2555,archwilio,kukagua,verbs,3.5
2556,twyn,dune,nouns,1.5
2557,crefydd,dini,nouns,1.45
2558,banc,benki,nouns,0.05
2559,glo,makaa,nouns,3.4
2560,heb fod yn ddrud,rahisi,adjectives,4.85
2561,cyhyrau,mfupa,nouns,0.45
2562,plentyn,msichana,nouns,0.95
2563,llygredd,angahewa,nouns,0.7
2564,dimai,watu,nouns,0.0
2565,pryderus,ogopa,adjectives,4.05
2566,carreg,jiwe,nouns,0.05
2567,gwan,dhaifu,adjectives,0.0
2568,caseg,farasi,nouns,4.3
2569,yn hawdd,kiurahisi,adverbs,0.1
2570,morgrugyn,chungu,nouns,0.2
2571,blin,mwenye furaha,adjectives,0.2
2572,bowliwr,bowler,nouns,1.9
2573,protein,protini,nouns,0.15
2574,derwen,mpera,nouns,1.35
2575,rhesymoli,kugombana,verbs,0.35
2576,anialwch,jangwa,nouns,1.5
2577,gwellt,jukumu,nouns,0.0
2578,brandi,kileo,nouns,2.65
2579,iro,kupaka,verbs,0.4
2580,dweud,kuhakikisha,verbs,0.2
2581,yn rhyfedd,kiajabu,adverbs,1.3
2582,cyfnos,jioni,nouns,4.35
2583,pwnc,kitabu,nouns,0.5
2584,dugiaeth,dukedom,nouns,2.05
2585,yn anarferol,sikawaida,adverbs,0.15
2586,gwraig,tundu,nouns,0.0
2587,yn enfawr,kwa ukubwa,adverbs,0.4
2588,gwaethygu,kukuza,verbs,0.35
2589,llygredd,rais,nouns,0.1
2590,brawd,baba,nouns,0.65
2591,credu,kukubali,verbs,1.8
2592,cytundeb,tundu,nouns,0.0
2593,bwriadu,kuania,verbs,1.1
2594,aseiniad,mgawo,nouns,0.4
2595,firws,kirusi,nouns,0.55
2596,ceffyl,mbwa,nouns,0.65
2597,benthyg,kutaka,verbs,0.4
2598,ciwb,mchemraba,nouns,0.05
2599,claf,mgonjwa,nouns,0.0
2600,peiriant,injini,nouns,3.75
2601,ymgyrch,kampeni,nouns,0.0
2602,tenau,nyembamba,adjectives,4.25
2603,myfyrio,kuwaza,verbs,4.85
2604,colli,kupoteza,verbs,0.1
2605,styden,mvulana,nouns,0.3
2606,yn arw,kwa kukadiria,adverbs,0.15
2607,camera,kamera,nouns,0.0
2608,rhyfelwr,mwanaume,nouns,0.6
2609,fitamin,chuma,nouns,0.4
2610,creu,kuwa,verbs,0.1
2611,gwaed,damu,nouns,0.65
2612,deiet,saladi,nouns,0.65
2613,cyfreithiwr,mfanyakazi wa benki,nouns,0.65
2614,aur,dhahabu,nouns,0.7
2615,sigâr,bomba,nouns,0.4
2616,cymdeithas,jamii,nouns,1.3
2617,hyblyg,flexibo,adjectives,1.15
2618,ymuno,kuambatisha,verbs,1.0
2619,mae'n debygol,uwezekano,adverbs,2.25
2620,sgrîn,kiwambo,nouns,0.15
2621,bachgen,kaka,nouns,2.15
2622,trefnu,kuwa,verbs,0.1
2623,ffynnu,kujaribu,verbs,0.7
2624,llygoden,menejimenti,nouns,0.0
2625,corff,mkono,nouns,1.4
2626,benthyg,kuuza,verbs,0.15
2627,dadl,mapatano,nouns,0.1
2628,gwrthod,kukubali,verbs,0.1
2629,cân,tuni,nouns,3.5
2630,pen-glin,mkono,nouns,0.55
2631,actores,mchezaji,nouns,4.0
2632,carbon,atomu,nouns,0.75
2633,yn sicr,uhakika,adjectives,0.0
2634,anghofio,kusamehe,verbs,0.9
2635,dug,mjuzi,nouns,0.05
2636,etholi,kuteua,verbs,0.0
2637,cywilydd,mwenye kiasi,adjectives,0.0
2638,delwedd,kioo,nouns,1.0
2639,yn ddelfrydol,walau,adverbs,0.8
