ID,CYM,RUS,PoS,score
2100,lema,слог,nouns,0.25
2101,arf,шлем,nouns,0.95
2102,athro,ученик,nouns,0.8
2103,chwim,быстрый,adjectives,4.8
2104,gwrando,понимать,verbs,0.85
2105,achub,спасать,verbs,4.5
2106,tân,апокалипсис,nouns,0.9
2107,gadael,идти,verbs,1.1
2108,mob,толпа,nouns,4.35
2109,cristion,протестант,nouns,1.25
2110,arwydd,символ,nouns,4.45
2111,cwpan,кувшин,nouns,1.2
2112,diod,пиво,nouns,2.3
2113,cyfrwys,странный,adjectives,0.65
2114,cas,электричество,nouns,0.3
2115,ceisio,преуспевать,verbs,0.6
2116,gludedd,всплеск,nouns,0.2
2117,ystafell,ванна,nouns,0.95
2118,llygoden,крыса,nouns,2.65
2119,bygythiad,опасность,nouns,4.3
2120,modur,двигатель,nouns,4.4
2121,blaengau,стараться,verbs,0.15
2122,anarferol,редкий,adjectives,3.9
2123,dymuno,хотеть,verbs,5.1
2124,cywilydd,скромный,adjectives,0.25
2125,pwnc,книга,nouns,0.7
2126,rhyfelwr,мужчина,nouns,0.85
2127,yn ofalus,теперь,adverbs,0.0
2128,trafferthu,обострять,verbs,0.4
2129,bwcler,щит,nouns,2.1
2130,gwerthu,напоминать,verbs,0.05
2131,ymwybyddiaeth,внимание,nouns,1.6
2132,oer,обычный,adjectives,0.0
2133,portreadu,решать,verbs,0.5
2134,yn ystyrlon,глубоко,adverbs,0.95
2135,incwm,налог,nouns,0.65
2136,cwpwrdd,одежда,nouns,0.75
2137,doler,миллионер,nouns,0.95
2138,fector,матрица,nouns,1.4
2139,oedolyn,младенец,nouns,0.5
2140,sgrechian,вопить,verbs,4.6
2141,swyddfa,работник,nouns,0.8
2142,llywydd,фотоаппарат,nouns,0.1
2143,clo,ключ,nouns,1.0
2144,gadael,появляться,verbs,0.1
2145,bwthyn,домик,nouns,3.95
2146,arian parod,деньги,nouns,3.95
2147,deintydd,ортодонт,nouns,4.2
2148,losin,корица,nouns,0.6
2149,brithyll,гитара,nouns,0.0
2150,yn agored,массивно,adverbs,0.45
2151,pothell,иллюстрация,nouns,0.0
2152,gorffen,соревноваться,verbs,0.0
2153,bàth,бревно,nouns,0.0
2154,ysgrifennydd,женщина,nouns,0.5
2155,cerdded,хромать,verbs,0.45
2156,ffordd,манера,nouns,3.8
2157,yn gwrtais,благоразумно,adverbs,0.4
2158,gwych,потрясающий,adjectives,5.3
2159,ewythr,мужчина,nouns,1.55
2160,cawod,монастырь,nouns,0.0
2161,mynychu,собираться,verbs,0.25
2162,realiti,иллюзия,nouns,0.4
2163,pechadur,святой,nouns,0.5
2164,ffrio,кипятить,verbs,0.9
2165,gwneuthurwr,создатель,nouns,4.6
2166,dyn,женщина,nouns,0.3
2167,yn uchel,безумно,adverbs,0.25
2168,rhesymeg,арифметика,nouns,1.0
2169,ymaflyd,брать,verbs,1.4
2170,bwlb,цветок,nouns,0.6
2171,treisgar,радикальный,adjectives,0.95
2172,gwn,народ,nouns,0.1
2173,pla,пестицид,nouns,0.9
2174,coginio,микшировать,verbs,0.6
2175,disg,компьютер,nouns,1.1
2176,dolen,пояс,nouns,0.45
2177,offeiriad,монах,nouns,2.7
2178,taith,поездка,nouns,3.7
2179,drws,присутствие,nouns,0.1
2180,ymuno,вкладывать,verbs,1.05
2181,yn berffaith,действительно,adverbs,1.35
2182,het,коробка,nouns,0.25
2183,llidiog,нерешительный,adjectives,0.1
2184,mynd i mewn,задолжать,verbs,0.1
2185,oedolyn,опекун,nouns,1.4
2186,doniol,печальный,adjectives,0.0
2187,pennod,ночь,nouns,0.0
2188,sgert,часы,nouns,0.1
2189,lleihau,сжиматься,verbs,3.05
2190,ofnus,встревоженный,adjectives,3.85
2191,gwydr,значок,nouns,0.0
2192,gwarcheidwad,взрослый,nouns,1.4
2193,traethawd,книга,nouns,1.2
2194,unwaith,немедленно,adverbs,0.6
2195,bws,таксомотор,nouns,0.8
2196,mathemategydd,показ,nouns,0.0
2197,troed,песок,nouns,0.05
2198,braich,ветка,nouns,0.75
2199,esgeuluso,отрекаться,verbs,0.15
2200,gwn,тетрадь,nouns,0.0
2201,diniwed,свободный,adjectives,0.0
2202,colli,готовить,verbs,0.0
2203,yn weithredol,точно,adverbs,0.4
2204,awdur,читатель,nouns,0.6
2205,dechrau,идти,verbs,0.35
2206,cywilydd,печаль,nouns,1.0
2207,dyn,товарищ,nouns,1.35
2208,tristwch,стыд,nouns,1.0
2209,mawr,национальный,adjectives,0.35
2210,portreadu,уведомлять,verbs,0.15
2211,beio,обвинять,verbs,4.7
2212,gwrthddadlau,обсуждать,verbs,2.75
2213,swper,трапеза,nouns,3.2
2214,yn bwysig,серьезно,adverbs,2.1
2215,cynffon,миска,nouns,0.0
2216,potel,банка,nouns,2.15
2217,deallusrwydd,логика,nouns,2.2
2218,realiti,фантазия,nouns,0.55
2219,tyfu,увеличивать,verbs,3.55
2220,anghytuno,бороться,verbs,0.7
2221,perl,деньги,nouns,0.3
2222,cleddyf,окружение,nouns,0.2
2223,anghefnogi,проваливать,verbs,0.35
2224,bacwn,боб,nouns,0.2
2225,am ddim,невинный,adjectives,0.0
2226,dyn,девушка,nouns,0.45
2227,geiriadur,толкование,nouns,2.1
2228,ysgafn,средний,adjectives,0.6
2229,addurn,конверт,nouns,0.1
2230,byth,потом,adverbs,0.1
2231,lluwchwynt,дождь,nouns,0.85
2232,tad,сын,nouns,0.9
2233,sgrîn,фонология,nouns,0.0
2234,mynd  ,начинать,verbs,0.35
2235,hyfforddwyr,медаль,nouns,0.3
2236,tric,ружье,nouns,0.05
2237,ystafell wely,желудок,nouns,0.0
2238,penderfynu,думать,verbs,1.85
2239,niwroseicoleg,парапсихология,nouns,1.75
2240,syth,изогнутый,adjectives,0.1
2241,baner,столб,nouns,0.7
2242,proffesiwn,колледж,nouns,0.5
2243,rhyddhau,ловить,verbs,0.6
2244,tanc,машина,nouns,1.1
2245,newid,изменять,verbs,2.4
2246,hawdd,жесткий,adjectives,0.0
2247,anarchiaeth,хаос,nouns,4.4
2248,ffug,настоящий,adjectives,0.2
2249,uno,связывать,verbs,3.1
2250,car,велосипед,nouns,0.9
2251,ceinder,стиль,nouns,3.1
2252,pastai,шоколад,nouns,0.55
2253,gwythïen,рука,nouns,0.6
2254,anrheg,писатель,nouns,0.4
2255,yn arbennig,значительно,adverbs,0.75
2256,ewythr,тетя,nouns,1.45
2257,masarnen,дуб,nouns,1.25
2258,hyfryd,радостный,adjectives,3.15
2259,gwleidydd,президент,nouns,1.75
2260,fflat,гостиница,nouns,0.5
2261,wedi ymlacio,напряжённый,adjectives,0.05
2262,cadair,телескоп,nouns,0.0
2263,creu,представлять,verbs,0.65
2264,weithiau,конечно,adverbs,0.15
2265,amgueddfa,mинт,nouns,0.0
2266,gwahanu,прикреплять,verbs,0.05
2267,pren,бревно,nouns,3.5
2268,cyd-beilot,полицейский,nouns,0.05
2269,ffrio,готовить,verbs,1.65
2270,goruchafu,выигрывать,verbs,2.25
2271,corff,нерв,nouns,0.45
2272,yn anhygoel,значительно,adverbs,0.65
2273,bioleg gymdeithasol,мутант,nouns,0.35
2274,duw,отец,nouns,1.8
2275,heddwch,счастье,nouns,1.6
2276,ystlum,вампир,nouns,0.6
2277,mawr,гибкий,adjectives,0.1
2278,egluro,обсуждать,verbs,1.35
2279,pren,бумага,nouns,0.6
2280,cell,комната,nouns,1.6
2281,caniatáu,давать,verbs,1.3
2282,rhifyddeg,ритм,nouns,0.1
2283,meteor,сила тяжести,nouns,0.4
2284,rheoli,мышь,nouns,0.35
2285,ffens,прыжки,nouns,0.3
2286,gweinidog,раввин,nouns,2.6
2287,yn derfynol,в основном,adverbs,0.55
2288,dod â,посылать,verbs,0.75
2289,cosbi,подчиниться,verbs,0.3
2290,wedi blino,голодный,adjectives,0.35
2291,dosbarthu,брать,verbs,0.35
2292,stori,книга,nouns,1.6
2293,tad,дочь,nouns,0.85
2294,penelin,кость,nouns,1.2
2295,ychwanegu,делить,verbs,0.1
2296,graddio,заканчивать,verbs,1.7
2297,atom,молекула,nouns,1.4
2298,yn weithredol,счастливо,adverbs,0.05
2299,maddau,принимать,verbs,1.15
2300,hwyliau,эмоция,nouns,2.35
2301,diflas,тоскливый,adjectives,3.25
2302,amlwg,кажущийся,adjectives,2.3
2303,glaw,морось,nouns,4.05
2304,seiclon,тайфун,nouns,3.7
2305,nodyn,задание,nouns,0.65
2306,banc,сиденье,nouns,0.05
2307,ar unwaith,скоро,adverbs,2.05
2308,cario ,приносить,verbs,2.05
2309,aflonydd,молодой,adjectives,0.6
2310,atodi,соединять,verbs,1.05
2311,gwisgedig,покрытый,adjectives,1.25
2312,plentynaidd,безрассудный,adjectives,1.95
2313,yn ddarostyngedig,гордо,adverbs,0.15
2314,brwnt,узкий,adjectives,0.0
2315,dyn,подозреваемый,nouns,0.45
2316,yn anarferol,странно,adverbs,3.8
2317,meddwl,решать,verbs,1.85
2318,syml,трудный,adjectives,0.0
2319,anwybodus,униформа,adjectives,0.0
2320,llyfr nodiadau,пистолет,nouns,0.0
2321,alaw,ритм,nouns,2.25
2322,drwg,посредственный,adjectives,0.7
2323,aseiniad,задача,nouns,4.35
2324,ewin,палец,nouns,1.2
2325,darganfod,происходить,verbs,0.25
2326,yn ddiffuant,обычно,adverbs,0.25
2327,meddal,агрессивный,adjectives,0.0
2328,ffabrig,одежда,nouns,1.65
2329,dathlu,удивлять,verbs,0.1
2330,bwyd,программа,nouns,0.3
2331,cynddaredd,злость,nouns,4.15
2332,cerddoriaeth,мелодия,nouns,3.6
2333,yn wallgof,громко,adverbs,0.25
2334,penwythnos,гонка,nouns,0.0
2335,duw,дьявол,nouns,0.6
2336,drws,пол,nouns,0.35
2337,iâr,птица,nouns,2.05
2338,gaeaf,лето,nouns,0.65
2339,da,пряный,adjectives,0.35
2340,tywynnu,сиять,verbs,4.65
2341,treisgar,мягкий,adjectives,0.0
2342,cyfamod,соглашение,nouns,4.9
2343,coflaid,прижиматься,verbs,3.25
2344,niweidio,пинать,verbs,1.95
2345,gitâr,барабан,nouns,0.95
2346,rabi,священник,nouns,2.6
2347,theatr,батарейка,nouns,0.0
2348,ffilm,фильм,nouns,4.1
2349,rhwygo,одевать,verbs,0.0
2350,cosbi,учить,verbs,0.05
2351,cadach,одежда,nouns,1.1
2352,llygoden,кошка,nouns,0.6
2353,barn,выбор,nouns,1.1
2354,car,танк,nouns,1.1
2355,ystafell ddosbarth,коридор,nouns,0.55
2356,rhoi,отрекаться,verbs,0.5
2357,cot,одежда,nouns,1.6
2358,yn dawel,пассивно,adverbs,1.45
2359,ochr,низ,nouns,0.7
2360,eang,узкий,adjectives,0.1
2361,cael,брать,verbs,1.35
2362,cyfarwyddwr,кинематография,nouns,1.05
2363,euog,честный,adjectives,0.05
2364,stumog,вена,nouns,0.45
2365,gwialen,занавеска,nouns,0.4
2366,ysgubell,пыль,nouns,0.75
2367,danfon,идти,verbs,0.6
2368,digon,изобилие,nouns,4.5
2369,llygoden fawr,мышь,nouns,2.65
2370,sensoriaeth,свобода,nouns,0.4
2371,golchi,полоскать,verbs,2.8
2372,gitâr,скрипка,nouns,0.95
2373,meddw,трезвый,adjectives,0.1
2374,gynfad,берег,nouns,0.15
2375,beic,спальня,nouns,0.0
2376,llyfr,библия,nouns,1.8
2377,anwybyddu,исследовать,verbs,0.05
2378,nofio,встретить,verbs,0.0
2379,mosäig,базилика,nouns,0.5
2380,system,вина,nouns,0.05
2381,poenus,пристыженный,adjectives,0.6
2382,ufuddhau,наказывать,verbs,0.3
2383,yn ddiamynedd,грубо,adverbs,0.65
2384,dadlau,различаться,verbs,0.5
2385,machlud haul,рассвет,nouns,0.85
2386,cell,запирание,nouns,1.35
2387,cytuno,принимать,verbs,2.5
2388,yn achlysurol,регулярно,adverbs,0.35
2389,egni,батарейка,nouns,2.3
2390,gofyn,умолять,verbs,2.65
2391,gludiog,мокрый,adjectives,0.55
2392,cyfnod,десятилетие,nouns,1.2
2393,anhygoel,обычный,adjectives,0.1
2394,adeiladu,создавать,verbs,2.6
2395,drwg,ужасный,adjectives,3.65
2396,gardd,шланг,nouns,0.4
2397,anghofio,прощать,verbs,1.25
2398,ystafell wely,велосипед,nouns,0.0
2399,darganfod,убегать,verbs,0.05
2400,mynd i mewn,идти,verbs,1.5
2401,oeraidd,грубый,adjectives,0.4
2402,bod yn ddyledus,входить,verbs,0.1
2403,porth,выход,nouns,2.45
2404,rhaniad,умножение,nouns,0.75
2405,angenrheidiol,неотъемлемый,adjectives,4.2
2406,gwin,спиртное,nouns,2.05
2407,tywysoges,бисквит,nouns,0.0
2408,cig eidion,мясо,nouns,2.7
2409,stôl,стул,nouns,2.9
2410,berwi,жарить,verbs,0.9
2411,pibell,автомобиль,nouns,0.4
2412,cegin,ванная,nouns,0.8
2413,yn aml,иногда,adverbs,0.6
2414,modfedd,ярд,nouns,1.2
2415,person dan amheuaeth,человек,nouns,0.45
2416,llywydd,мэр,nouns,1.4
2417,ffenestr,лодыжка,nouns,0.0
2418,casáu,презирать,verbs,2.35
2419,afal,сок,nouns,0.95
2420,mwstard,зерно,nouns,0.85
2421,thema,книга,nouns,0.5
2422,diflas,смешной,adjectives,0.1
2423,swydd,инструмент,nouns,0.4
2424,chwedl,сатира,nouns,0.5
2425,caffael,находить,verbs,1.15
2426,deallusrwydd,навык,nouns,1.15
2427,piston,мотор,nouns,2.2
2428,yn ddyddiol,обычно,adverbs,1.4
2429,danfon,запускать,verbs,1.75
2430,mawr,тяжелый,adjectives,1.35
2431,anonest,правдивый,adjectives,0.05
2432,arholiad,учебный план,nouns,0.5
2433,llwyddo,проваливать,verbs,0.05
2434,yfed,перемешать,verbs,0.2
2435,merch,дева,nouns,2.75
2436,cymhwysedd,способность,nouns,3.4
2437,drwm,рожок,nouns,0.5
2438,capten,моряк,nouns,1.55
2439,hongian,класть,verbs,0.35
2440,tasg,женщина,nouns,0.0
2441,melys,электрический,adjectives,0.0
2442,trasiedi,смерть,nouns,1.55
2443,lifft,коробка,nouns,0.35
2444,derbyn,доставлять,verbs,0.15
2445,llyncu,хлебать,verbs,2.6
2446,llygoden,палуба,nouns,0.4
2447,gwrthod,избегать,verbs,1.3
2448,bachgen,брат,nouns,1.4
2449,theatr,фильм,nouns,0.85
2450,hapus,радостный,adjectives,4.8
2451,ail,минута,nouns,0.55
2452,gwyddoniaeth,психология,nouns,1.85
2453,brecwast,бекон,nouns,0.75
2454,ynys,флот,nouns,0.45
2455,eisiau,занимать,verbs,0.1
2456,eirfwrdd,лыжи,nouns,1.95
2457,sgïo,сноуборд,nouns,1.95
2458,gŵr,жена,nouns,1.35
2459,syml,тяжелый,adjectives,0.05
2460,garddwrn,кисть,nouns,1.95
2461,osôn,атмосфера,nouns,1.65
2462,difeddiannu,запускать,verbs,0.15
2463,estrys,плодовый сад,nouns,0.0
2464,ciwb,игральная кость,nouns,2.85
2465,gwenynen,муравей,nouns,0.65
2466,dillad isaf,тело,nouns,0.25
2467,storm,снег,nouns,1.05
2468,madfall,крокодил,nouns,0.9
2469,tŷ,ключ,nouns,0.55
2470,bodloni,понимать,verbs,0.5
2471,lloches,хижина,nouns,1.65
2472,gorllewin,север,nouns,0.7
2473,gwern,озеро,nouns,0.9
2474,yn ddwfn,в основном,adverbs,0.15
2475,diymadferth,ранимый,adjectives,1.55
2476,yn wahanol,обычный,adjectives,0.4
2477,llyfr,авария,nouns,0.0
2478,cinio,курятина,nouns,0.7
2479,gwerddon,свобода,nouns,0.45
2480,aer,молекула,nouns,0.65
2481,canu,плавать,verbs,0.05
2482,moleciwl,матрица,nouns,0.65
2483,buan,скорый,adjectives,4.4
2484,cadair,кровать,nouns,0.4
2485,pydru,уничтожить,verbs,0.95
2486,braich,мускул,nouns,0.85
2487,fformiwla,уравнение,nouns,3.6
2488,ymbarél,нагреватель,nouns,0.0
2489,yn naturiol,тихо,adverbs,0.15
2490,llaw,запястье,nouns,1.95
2491,torf,парад,nouns,1.7
2492,dysgu,поглощать,verbs,0.5
2493,ethol,выбирать,verbs,3.85
2494,hysbysu,полировать,verbs,0.0
2495,sefyllfa,обстоятельство,nouns,4.65
2496,cul,белый,adjectives,0.0
2497,dyfalu,раздражать,verbs,0.0
2498,plentyn,взрослый,nouns,0.8
2499,yn oddefol,молча,adverbs,1.45
2500,brandi,алкоголь,nouns,2.25
2501,yn deg,несправедливо,adverbs,0.15
2502,cymeryd,получать,verbs,3.5
2503,emyn,солома,nouns,0.0
2504,mynd i mewn,покидать,verbs,0.1
2505,awdur,дар,nouns,0.4
2506,brenin,непотизм,nouns,0.3
2507,llyfr,эссе,nouns,1.2
2508,benthyciwr,кредит,nouns,1.55
2509,yn falch,смиренно,adverbs,0.15
2510,melin,семя,nouns,0.6
2511,atgoffa,забывать,verbs,0.05
2512,arfordir,канонерская лодка,nouns,0.15
2513,rhesymeg,интеллект,nouns,2.2
2514,balch ,сильный,adjectives,0.85
2515,chwilio,находить,verbs,1.2
2516,ysbryd,фонарь,nouns,0.1
2517,tafod,горло,nouns,0.6
2518,ardderchog,плохой,adjectives,0.15
2519,fel mater o drefn,обычно,adverbs,4.2
2520,wedi ei orchuddio,непокрытый,adjectives,0.05
2521,swydd,управление,nouns,0.85
2522,rhedwr,спортсмен,nouns,2.45
2523,golygyddol,новости,nouns,0.7
2524,newydd,свежий,adjectives,3.7
2525,yn fras,легко,adverbs,0.05
2526,yn gadarn,мягко,adverbs,0.25
2527,dillad,пуговица,nouns,0.75
2528,gwallgof,несчастный,adjectives,0.8
2529,cymysgu,бить,verbs,0.6
2530,gwraig,дыра,nouns,0.0
2531,dimai,народ,nouns,0.0
2532,weithiau,когда,adverbs,0.2
2533,merch,парень,nouns,0.45
2534,gofyn,молиться,verbs,1.65
2535,cwmwl,погода,nouns,0.9
2536,yn sylfaenol,вполне,adverbs,0.3
2537,newyddiadur,статья,nouns,2.1
2538,yn gyfforddus,легко,adverbs,1.4
2539,yn agored i niwed,удобный,adjectives,0.05
2540,trydanol,сладкий,adjectives,0.0
2541,ymddygiadaeth,терапия,nouns,1.15
2542,llyncu,пить,verbs,2.15
2543,dillad,пальто,nouns,1.6
2544,cynllun,идея,nouns,2.2
2545,modern,старинный,adjectives,0.05
2546,hydoddi,смешивать,verbs,1.8
2547,anghefnogi,расстраивать,verbs,1.05
2548,protein,ручка,nouns,0.0
2549,unwaith,дважды,adverbs,0.35
2550,meddwl,размышлять,verbs,4.5
2551,deallusrwydd,невежество,nouns,0.3
2552,bara,мясо,nouns,0.3
2553,clywed,слушать,verbs,2.95
2554,adeilad,комната,nouns,0.95
2555,blanced ,постель,nouns,1.15
2556,cyfoeth,слава,nouns,0.85
2557,porth,дверь,nouns,3.55
2558,argymell,советовать,verbs,4.45
2559,trafferthu,обижать,verbs,0.45
2560,sylw,осведомленность,nouns,1.6
2561,derwen,клен,nouns,1.25
2562,iard,метр,nouns,1.35
2563,hurt,интеллектуальный,adjectives,0.05
2564,llyn,облако,nouns,0.3
2565,dechrau,прекращать,verbs,0.05
2566,meddwl,спрашивать,verbs,0.9
2567,lleihau,спускаться,verbs,0.55
2568,lladd,вешать,verbs,1.85
2569,cân,история,nouns,0.6
2570,yfed,хлебать,verbs,2.1
2571,gafr,корова,nouns,0.85
2572,sinematograffeg,режиссер,nouns,1.05
2573,pêl,корзина,nouns,0.45
2574,gwybod,верить,verbs,1.2
2575,nyddu,завязать,verbs,0.65
2576,person,животное,nouns,0.5
2577,pledio,просить,verbs,2.65
2578,adfer,ремонтировать,verbs,3.7
2579,gwraig,мать,nouns,1.85
2580,sgwâr,карта,nouns,0.4
2581,delta,море,nouns,0.65
2582,cyfreithiwr,галерея,nouns,0.0
2583,erfyn,просить,verbs,3.95
2584,sero,бесконечность,nouns,0.2
2585,yn amlwg,грубо,adverbs,0.2
2586,ardal,регион,nouns,4.85
2587,cyflym,скоростной,adjectives,4.8
2588,afal,повидло,nouns,0.7
2589,gadael,входить,verbs,0.1
2590,ffrind,мать,nouns,1.05
2591,rhoi,знать,verbs,0.2
2592,trychineb,авария,nouns,3.5
2593,caniatáu,разъедать,verbs,0.0
2594,bawd,ноготь,nouns,1.2
2595,balŵn,ванна,nouns,0.0
2596,yn fras,нетерпеливо,adverbs,0.65
2597,hydoddi,плавиться,verbs,2.6
2598,wedi ei orchuddio,тканевый,adjectives,1.25
2599,arwyddluniau,достоинство,nouns,0.15
2600,hercio,ходить,verbs,0.45
2601,cyrnol,дантист,nouns,0.0
2602,benthyg,нищенствовать,verbs,0.65
2603,cymyl,туман,nouns,2.1
2604,dieithr,необычный,adjectives,3.65
2605,ffidil,гитара,nouns,0.95
2606,dweud celwydd,отрицать,verbs,0.65
2607,chwilio,охотиться,verbs,1.95
2608,mwgwd,вечеринка,nouns,0.5
2609,dug,республика,nouns,0.2
2610,paraseicoleg,нейропсихология,nouns,1.75
2611,perfformiwr,песня,nouns,1.0
2612,lleuad,планета,nouns,2.35
2613,gwybodaeth,газета,nouns,1.65
2614,log,древесина,nouns,3.05
2615,actor,многогранник,nouns,0.0
2616,cyffredin,холодный,adjectives,0.0
2617,niwed,боль,nouns,1.55
2618,dadlau,жаловаться,verbs,0.9
2619,to,пол,nouns,0.5
2620,gwddf,нос,nouns,0.6
2621,metel,алюминий,nouns,2.35
2622,amsugno,учиться,verbs,0.5
2623,pwffian chwerthin,смеяться,verbs,4.55
2624,adfer,приносить,verbs,0.05
2625,modryb,дядя,nouns,1.45
2626,magma,вулкан,nouns,1.9
2627,llaw,ступня,nouns,0.4
2628,twyllo,мошенничать,verbs,4.15
2629,cyfathrebu,молиться,verbs,0.55
2630,yn sicr,явно,adverbs,2.65
2631,canol,желудок,nouns,0.7
2632,penderfynu,завершать,verbs,1.0
2633,ffilm,театр,nouns,0.85
2634,cyhyr,рука,nouns,0.85
2635,arbed,уничтожить,verbs,0.05
2636,parti,электорат,nouns,1.2
2637,gwawdlyd,пренебрежительный,adjectives,3.9
2638,cab,автобус,nouns,0.8
2639,torf,группа,nouns,2.55
2640,dal,захватить,verbs,2.7
2641,yn hael,никогда,adverbs,0.0
2642,cul,широкий,adjectives,0.1
2643,brecwast,ужин,nouns,0.9
2644,lindys,шелкопряд,nouns,2.45
2645,taliad,примечание,nouns,0.05
2646,yn debygol,положительно,adverbs,0.5
2647,cnocio,разбивать,verbs,0.6
2648,ailadrodd,практиковаться,verbs,1.3
2649,darllen,понимать,verbs,0.8
2650,ymlid,следовать,verbs,2.2
2651,ystafell,здание,nouns,0.95
2652,gohirio,заканчивать,verbs,0.4
2653,corff,кровь,nouns,0.95
2654,cadw,давать,verbs,0.15
2655,rhosyn,бабочка,nouns,0.5
2656,ale,шар,nouns,0.0
2657,rhadlon,приходящий,adjectives,0.05
2658,mynachlog,душ,nouns,0.0
2659,bwydlen,заказ,nouns,0.7
2660,gwrando,подчиняться,verbs,1.65
2661,deall,знать,verbs,2.1
2662,gwin,алкоголь,nouns,2.0
2663,yn bennaf,терминально,adverbs,0.55
2664,bryn,утес,nouns,2.05
2665,anhrefn,анархия,nouns,4.4
2666,arall,противолежащий,adjectives,1.1
2667,môr,цунами,nouns,1.25
2668,bach,огромный,adjectives,0.05
2669,gwallgof,сумасшедший,adjectives,4.8
2670,diweddeb,ритм,nouns,0.2
2671,clecs,новость,nouns,2.6
2672,noswaith,закат,nouns,2.75
2673,trefn,меню,nouns,0.7
2674,nenfwd,пол,nouns,0.35
2675,siriol,счастливый,adjectives,4.8
2676,corachaidd,коротковатый,adjectives,2.4
2677,caniatáu,опровергать,verbs,0.05
2678,siofinist,предубеждение,nouns,2.0
2679,diogelwch,комфорт,nouns,0.85
2680,cau,срыгивать,verbs,0.0
2681,sugnwr gwaed,летучая мышь,nouns,0.6
2682,afiechyd,опасность,nouns,0.4
2683,ystafell wely,кровать,nouns,1.7
2684,gwahaniaethu,соответствовать,verbs,0.0
2685,salad,диета,nouns,0.75
2686,byth,честно говоря,adverbs,0.0
2687,anthropoleg,археология,nouns,1.2
2688,partner,мальчик,nouns,0.45
2689,derbyn,достигать,verbs,0.7
2690,munud,секунда,nouns,0.55
2691,person,персонаж,nouns,2.8
2692,brenhiniaeth,демократия,nouns,0.2
2693,gwastraffu,беспокоиться,verbs,0.0
2694,newynog,усталый,adjectives,0.35
2695,darganfod,приобретать,verbs,1.15
2696,tywysog,король,nouns,1.2
2697,glas,красный,adjectives,0.4
2698,cangen,рука,nouns,0.75
2699,pêl,пушка,nouns,0.9
2700,menyw,мех,nouns,0.25
2701,senedd,конгресс,nouns,2.15
2702,gorffwyll,больной,adjectives,0.9
2703,rhiant,взрослый,nouns,1.75
2704,arian,жемчуг,nouns,0.3
2705,bodloni,угождать,verbs,2.95
2706,concwest,псалом,nouns,0.0
2707,organ,печень,nouns,1.75
2708,cwmwl,озеро,nouns,0.3
2709,gwely,одеяло,nouns,1.15
2710,poeni,тратить,verbs,0.0
2711,rhagorol,отличный,adjectives,4.7
2712,cylchfordaith,багаж,nouns,0.5
2713,pryd bwyd,талия,nouns,0.0
2714,dyfnder,величина,nouns,1.2
2715,brwnt,дешевый,adjectives,0.0
2716,awyr,мечта,nouns,0.3
2717,cinio,суп,nouns,1.15
2718,anghenus,неуверенный,adjectives,0.4
2719,derbyn,брать,verbs,1.7
2720,wythnos,выходной,nouns,1.1
2721,enillydd,гол,nouns,0.2
2722,llyfr,тема,nouns,0.6
2723,taliad,гонорар,nouns,4.35
2724,hen,смешанный,adjectives,0.1
2725,perlysieuyn,марихуана,nouns,2.1
2726,tynnu'n ôl,поглощать,verbs,0.4
2727,arestio,подозревать,verbs,0.2
2728,ar frys,быстро,adverbs,4.3
2729,cyhyrau,язык,nouns,1.3
2730,dwywaith,всегда,adverbs,0.25
2731,cwningen,кот,nouns,0.65
2732,dyn,бабник,nouns,0.75
2733,llym,жестокий,adjectives,1.8
2734,cnoi,читать,verbs,0.0
2735,trafodaeth,дипломатия,nouns,2.15
2736,crebachu,исчезать,verbs,1.5
2737,morwr,капитан,nouns,1.55
2738,coleg,класс,nouns,1.05
2739,ceffyl,кобыла,nouns,4.5
2740,yn rhyfeddol,фантастически,adverbs,3.7
2741,band,износоустойчивость,nouns,0.0
2742,mis,август,nouns,2.45
2743,finegr,салат,nouns,0.5
2744,yn annheg,довольно,adverbs,0.15
2745,llythyr,абзац,nouns,0.9
2746,bioleg,анатомия,nouns,2.15
2747,barnu,давать показания,verbs,0.45
2748,sarhau,обижать,verbs,2.9
2749,yn angheuol,счастливо,adverbs,0.1
2750,merch,младенец,nouns,1.25
2751,jin,алкоголь,nouns,2.05
2752,aros,покидать,verbs,0.05
2753,adfer,заменять,verbs,0.7
2754,saethydd,следопыт,nouns,0.35
2755,crisial,стекло,nouns,2.45
2756,asid,основание,nouns,0.05
2757,tegan,куб,nouns,0.4
2758,diflas,усталый,adjectives,0.6
2759,stumog,тело,nouns,1.3
2760,diymhongar,смиренный,adjectives,1.9
2761,cartref,государство,nouns,0.25
2762,beichio,плакать,verbs,4.15
2763,gwrthbrofi,разрешать,verbs,0.05
2764,ecsema,дерматит,nouns,3.65
2765,yn arw,грубо,adverbs,0.4
2766,cwch,палуба,nouns,1.35
2767,myfyrdod,образ,nouns,1.3
2768,injan,поршень,nouns,2.2
2769,llawenydd,гордость,nouns,1.6
2770,anodd,простой,adjectives,0.05
2771,tarth,облако,nouns,2.3
2772,hedfan,муравей,nouns,0.3
2773,newydd,старый,adjectives,0.0
2774,gwestai,друг,nouns,0.9
2775,glaw mân,дождь,nouns,4.05
2776,meithrinfa,детский сад,nouns,5.4
2777,clogwyn,холм,nouns,2.05
2778,angau,трагедия,nouns,1.55
2779,cymeradwyo,разрешать,verbs,2.7
2780,esgus,воображать,verbs,2.0
