ID,POL,RUS,PoS,score
2114,jard,дюйм,nouns,1.2
2115,zadanie,пустяк,nouns,0.05
2116,koniak,алкоголь,nouns,2.75
2117,ocet,салат,nouns,0.45
2118,bazgrać,записывать,verbs,2.4
2119,publiczny,частный,adjectives,0.0
2120,kino,попкорн,nouns,0.75
2121,cynamon,конфеты,nouns,0.25
2122,pozamałżeński,неприличный,adjectives,0.15
2123,szczerze,честно говоря,adverbs,4.6
2124,granica,рубеж,nouns,3.9
2125,owca,ягненок,nouns,3.5
2126,facet,бабник,nouns,0.85
2127,zakryć,защищать,verbs,2.65
2128,normalnie,ежедневно,adverbs,1.75
2129,wyraźnie,конечно,adverbs,3.1
2130,straszliwy,рассерженный,adjectives,1.2
2131,biuro,работник,nouns,0.6
2132,swoboda,цензура,nouns,0.35
2133,inteligentny,тупой,adjectives,0.05
2134,parasol,нагреватель,nouns,0.0
2135,mężczyzna,охранник,nouns,1.1
2136,miska,хвост,nouns,0.0
2137,mikroskop,биолог,nouns,0.9
2138,logika,интеллект,nouns,2.4
2139,wyrzec się,давать,verbs,0.05
2140,notatnik,пистолет,nouns,0.0
2141,nieukształtowany,униформа,adjectives,0.05
2142,klub,марка,nouns,0.0
2143,łza,глаз,nouns,0.8
2144,krytycznie,практически,adverbs,0.75
2145,żołądek,курс,nouns,0.1
2146,żona,муж,nouns,0.7
2147,świecić,светиться,verbs,4.65
2148,mucha,муравей,nouns,0.9
2149,uderzyć,привлекать,verbs,0.0
2150,duży,широкий,adjectives,1.75
2151,whisky,шампанское,nouns,1.0
2152,formuła,уравнение,nouns,3.15
2153,zadowolony,рассерженный,adjectives,0.05
2154,optymistycznie,возможно,adverbs,0.8
2155,przekonanie,впечатление,nouns,2.4
2156,brudny,удивительный,adjectives,0.0
2157,celować,ударять,verbs,1.05
2158,podróżować,ходить,verbs,2.4
2159,moneta,оплата,nouns,1.45
2160,zagrożenie,опасность,nouns,5.35
2161,chłopiec,брат,nouns,1.15
2162,zero,бесконечность,nouns,0.45
2163,nieoczekiwany,непредвиденный,adjectives,5.35
2164,osobliwy,странный,adjectives,4.4
2165,student,ученик,nouns,4.95
2166,pokład,пол,nouns,1.85
2167,galaktyka,приложение,nouns,0.3
2168,zachować,терять,verbs,0.05
2169,rama,удар,nouns,0.0
2170,norka,мех,nouns,1.6
2171,bok,верх,nouns,0.35
2172,trzeźwy,рациональный,adjectives,2.9
2173,mierny,плохой,adjectives,1.8
2174,dać,держать,verbs,0.2
2175,kalendarz,дата,nouns,1.55
2176,traktować,платить,verbs,0.3
2177,dziwny,чудной,adjectives,5.2
2178,wystraszony,в восторге,adjectives,0.25
2179,podbój,путешествие,nouns,0.3
2180,piosenka,исполнитель,nouns,1.0
2181,chmura,буря,nouns,1.0
2182,decydować,представлять,verbs,0.55
2183,mrówka,муха,nouns,0.9
2184,niszczyć,спасти,verbs,0.0
2185,budzić się,храпеть,verbs,0.2
2186,kamień,дерево,nouns,0.2
2187,fałszywy,искусственный,adjectives,4.15
2188,kardigan,рубашка,nouns,1.05
2189,kapelusz,пальто,nouns,0.55
2190,pozwalać,разрешать,verbs,5.25
2191,teatr,батарейка,nouns,0.0
2192,bogactwo,слава,nouns,0.8
2193,półka (skalna),гора,nouns,1.7
2194,żona,мать,nouns,1.5
2195,znacząco,официально,adverbs,1.2
2196,dekada,век,nouns,0.5
2197,atleta,бегун,nouns,2.3
2198,niesamowity,грязный,adjectives,0.0
2199,dom ,ключ,nouns,0.5
2200,robić,создавать,verbs,3.85
2201,baza,ступня,nouns,0.3
2202,drewno,камень,nouns,0.2
2203,grób,перезахоронения,nouns,1.6
2204,prawowity,нелегальный,adjectives,0.1
2205,powieść,писатель,nouns,0.8
2206,nieskończoność,ноль,nouns,0.45
2207,kłócić się,играть,verbs,0.05
2208,trzeźwy,пьяный,adjectives,0.05
2209,wieczór,сумерки,nouns,3.85
2210,kurczak,стейк,nouns,0.95
2211,wypadek,книга,nouns,0.0
2212,dać,разрешать,verbs,1.6
2213,nerwowo,тревожно,adverbs,2.4
2214,zły,нечестный,adjectives,1.8
2215,jednorodnie,иногда,adverbs,0.05
2216,taboret,стул,nouns,3.0
2217,wyspa,пляж,nouns,1.2
2218,śnieg,снежный обвал,nouns,1.85
2219,patologia,гематология,nouns,0.35
2220,zaprzeczać,избежать,verbs,0.3
2221,żołądek,спальня,nouns,0.0
2222,zbierać,встряхивать,verbs,0.05
2223,zadanie,задание,nouns,4.35
2224,możlwie,скорее всего,adverbs,4.2
2225,rzadki,немой,adjectives,0.0
2226,kobieta,задача,nouns,0.0
2227,zdarzyć się,случаться,verbs,3.35
2228,muzeum,mинт,nouns,0.05
2229,brat,человек,nouns,0.65
2230,nasienie,мельница,nouns,0.55
2231,krzesło,скамейка,nouns,1.65
2232,karta,бридж,nouns,1.0
2233,dzień,рассвет,nouns,1.5
2234,ojciec,брат,nouns,0.6
2235,słuchać,подчиняться,verbs,1.7
2236,szermierka,гимнастика,nouns,0.6
2237,sprawiedliwie,несправедливо,adverbs,0.1
2238,odchodzić,встретить,verbs,0.0
2239,taksówka,автомобиль,nouns,3.15
2240,witamina,железо,nouns,0.95
2241,morze,океан,nouns,1.9
2242,esej,книга,nouns,1.25
2243,dowiadywać się,думать,verbs,0.55
2244,łóżko,мебель,nouns,2.7
2245,wskazówka,слово,nouns,0.5
2246,statystyka,теннис,nouns,0.05
2247,posiadać,хранить,verbs,1.75
2248,wychodzić,выселять,verbs,0.7
2249,rytm,арифметика,nouns,0.1
2250,konstrukcja,разрушение,nouns,0.15
2251,brudny,узкий,adjectives,0.0
2252,nowy,старый,adjectives,0.0
2253,dysza,жидкость,nouns,0.0
2254,ciało,грудь,nouns,1.6
2255,szukać,смотреть,verbs,0.7
2256,zgadzać się,угождать,verbs,1.05
2257,natychmiast,скоро,adverbs,1.7
2258,chaotycznie,мирно,adverbs,0.1
2259,inteligencja,логика,nouns,2.4
2260,ukraść,приобретать,verbs,0.5
2261,eksplorować,обнаруживать,verbs,2.8
2262,zadanie,женщина,nouns,0.0
2263,pietruszka,маффин,nouns,0.1
2264,wielce,невероятно,adverbs,0.7
2265,rzeka,поток,nouns,2.15
2266,znudzony,скучный,adjectives,2.15
2267,tunel,дорожка,nouns,0.6
2268,rozprawa,вердикт,nouns,1.55
2269,zezwalać,разъедать,verbs,0.0
2270,tutaj,сейчас,adverbs,1.1
2271,szalenie,грустно,adverbs,0.15
2272,nóż,ружье,nouns,0.9
2273,kapitan,моряк,nouns,2.35
2274,parada,оркестр,nouns,0.6
2275,powiadamiać,информировать,verbs,5.25
2276,nastrój,злость,nouns,1.4
2277,deszcz,метель,nouns,0.95
2278,encyklopedia,словарь,nouns,1.95
2279,bóg,священник,nouns,0.85
2280,winić,обвинять,verbs,4.4
2281,dyskretnie,очевидно,adverbs,0.25
2282,pensja,деньги,nouns,3.05
2283,kompetencja,способность,nouns,3.1
2284,pozostać,сохранять,verbs,1.1
2285,whisky,джин,nouns,1.5
2286,mundur,вязание,nouns,0.2
2287,posiadłość,скульптор,nouns,0.25
2288,występ,камея,nouns,0.15
2289,pogoda,облако,nouns,0.8
2290,placek,шоколад,nouns,0.6
2291,odchodzić,отходить,verbs,3.0
2292,uwielbiać,восхищаться,verbs,3.4
2293,starożytny,новый,adjectives,0.0
2294,zasłona,карниз,nouns,0.4
2295,wchodzić,покидать,verbs,0.25
2296,supremacja,всемогущество,nouns,0.8
2297,polecać,принимать,verbs,0.45
2298,brać,завладевать,verbs,2.5
2299,otwarcie,массивно,adverbs,0.3
2300,bawełna,полиэстер,nouns,0.45
2301,posiłek,талия,nouns,0.05
2302,miksować,комбинировать,verbs,4.15
2303,wielki,огромный,adjectives,5.35
2304,ratować,тонуть,verbs,0.05
2305,byk,теленок,nouns,2.1
2306,dzień,ночь,nouns,0.15
2307,przestępstwo,атака,nouns,1.25
2308,zamek,ключ,nouns,0.65
2309,kompletnie,чисто,adverbs,1.7
2310,drzwi,кухня,nouns,0.5
2311,elektryczny,механический,adjectives,0.35
2312,niegrzeczny,критичный,adjectives,0.55
2313,oddzielać,прикреплять,verbs,0.0
2314,kość,шея,nouns,0.4
2315,sekretarka,женщина,nouns,1.25
2316,nadgarstek,рука,nouns,1.15
2317,kontrolować,останавливать,verbs,0.5
2318,poważny,смешной,adjectives,0.05
2319,wyparcie,признание,nouns,0.2
2320,zachować,занимать,verbs,0.1
2321,tytoń,сигарета,nouns,2.3
2322,próbować,думать,verbs,0.4
2323,matryca,молекула,nouns,0.6
2324,dumny,бедный,adjectives,0.15
2325,pokład,мышь,nouns,0.4
2326,papier,плакат,nouns,1.75
2327,wrzeszczeć,орать,verbs,5.45
2328,chaos,урок,nouns,0.15
2329,dumnie,смиренно,adverbs,0.2
2330,pszczoła,насекомое,nouns,2.4
2331,właściwy,вежливый,adjectives,2.15
2332,mit,сатира,nouns,1.25
2333,szkodnik,пестицид,nouns,1.2
2334,wędrować,лазить,verbs,0.8
2335,popcorn,кино,nouns,0.75
2336,szczerze,никогда,adverbs,0.0
2337,akceptować,верить,verbs,1.15
2338,rok,юбилей,nouns,1.05
2339,aparat,линза,nouns,0.8
2340,współpracować,участвовать,verbs,2.65
2341,fotofon,омофон,nouns,0.15
2342,zapylanie,тычинка,nouns,0.75
2343,znaleźć,исчезать,verbs,0.0
2344,stać się,казаться,verbs,0.98
2345,polano,ванна,nouns,0.0
2346,ewakuować,определить,verbs,0.1
2347,rządać,выговаривать,verbs,0.95
2348,akceptować,доставлять,verbs,0.1
2349,niszczyć,разлагаться,verbs,1.1
2350,wymieszać,готовить,verbs,0.35
2351,trzasnąć,хрустеть,verbs,1.4
2352,fabryka,автомобиль,nouns,0.3
2353,w domu,далеко,adverbs,0.1
2354,myć,полоскать,verbs,3.05
2355,odejmować,потерять,verbs,0.9
2356,nieśmiały,напуганный,adjectives,1.25
2357,kciuk,кисть,nouns,1.2
2358,siła,мощь,nouns,4.45
2359,ogromnie,открыто,adverbs,0.3
2360,krowa,коза,nouns,0.8
2361,aplikant,приложение,nouns,0.4
2362,narodowy,большой,adjectives,0.05
2363,pocieszać,унижать,verbs,0.05
2364,łokieć,лодыжка,nouns,0.65
2365,zadowolony,счастливый,adjectives,4.0
2366,ramię,кость,nouns,0.9
2367,absorbować,отделяться,verbs,0.0
2368,spódnica,часы,nouns,0.15
2369,zasadniczo,критично,adverbs,0.75
2370,hol,класс,nouns,0.6
2371,uczyć,наказать,verbs,0.0
2372,stać  ,ходить,verbs,0.1
2373,powieść się,достигать,verbs,3.1
2374,zobowiązanie,назначение,nouns,1.1
2375,ekonomia,экосистема,nouns,0.4
2376,dumny,высокомерный,adjectives,2.45
2377,umrzeć,закапывать,verbs,1.05
2378,słuchać,слышать,verbs,2.6
2379,dorosły,родитель,nouns,2.0
2380,spokojnie,решительно,adverbs,0.6
2381,mysz,крыса,nouns,1.65
2382,kurtka,свитер,nouns,0.95
2383,wąski,длинный,adjectives,0.25
2384,ryż,курятина,nouns,0.35
2385,literatura,книга,nouns,2.95
2386,chłopiec,сын,nouns,2.2
2387,prywatny,общественный,adjectives,0.0
2388,jabłko,лимон,nouns,0.55
2389,film,театр,nouns,0.8
2390,parapsychologia,нейропсихология,nouns,1.3
2391,podejrzewać,арестовывать,verbs,0.75
2392,kompilator,подпрограмма,nouns,2.0
2393,narzekać,ругаться,verbs,1.1
2394,korytarz,дверь,nouns,0.45
2395,przebiegły,странный,adjectives,0.65
2396,rywalizować,заканчивать,verbs,0.05
2397,biedny,одинокий,adjectives,0.6
2398,hymn,завоевание,nouns,0.0
2399,nabyć,украсть,verbs,0.5
2400,cyfra,цитоплазма,nouns,0.0
2401,łódź,мотор,nouns,0.75
2402,ludzie,шар,nouns,0.05
2403,wybór,вена,nouns,0.0
2404,słuchać,понимать,verbs,0.85
2405,organ,почка,nouns,2.85
2406,ciężki,легкий,adjectives,0.1
2407,szpital,койка,nouns,0.65
2408,pokornie,неудачно,adverbs,0.05
2409,samotny,бедный,adjectives,0.6
2410,przewidywać,определять,verbs,1.7
2411,ortodonta,дантист,nouns,4.3
2412,sprzedawać,продаваться,verbs,0.4
2413,siła,выносливость,nouns,2.7
2414,słownik,толкование,nouns,1.95
2415,koszula,кардиган,nouns,1.05
2416,dąb,клен,nouns,1.3
2417,wąski,белый,adjectives,0.0
2418,polegać,зависеть,verbs,1.4
2419,krew,вирус,nouns,0.65
2420,bagno,озеро,nouns,0.55
2421,król,принц,nouns,1.35
2422,wygoda,безопасность,nouns,0.9
2423,przejąć,стараться,verbs,0.0
2424,drzwi,проем,nouns,3.7
2425,zarabiać,заслуживать,verbs,1.7
2426,kwiat,фиалка,nouns,2.85
2427,urządzenie,кастрюля,nouns,0.3
2428,drzewo,лодка,nouns,0.4
2429,stal,сплав,nouns,2.1
2430,uczyć się,слушать,verbs,0.6
2431,liczba,цифра,nouns,4.6
2432,roślina,сельское хозяйство,nouns,0.65
2433,podręcznik,путеводитель,nouns,3.6
2434,nieregularnie,обычно,adverbs,0.1
2435,księżniczka,король,nouns,1.05
2436,pudełko,шляпа,nouns,0.35
2437,sprawiedliwość,право,nouns,1.25
2438,zostawić,игнорировать,verbs,1.0
2439,łóżko,комната,nouns,0.5
2440,odbicie,образ,nouns,2.35
2441,grzejnik,зонтик,nouns,0.0
2442,nosić,разъедать,verbs,0.0
2443,dom,ковер,nouns,0.5
2444,papieros,табак,nouns,2.3
2445,chór,церковь,nouns,1.15
2446,samochód,подъемник,nouns,0.4
2447,blaknąć,разъедать,verbs,0.65
2448,młyn,семя,nouns,0.55
2449,argumentować,обосновывать,verbs,5.45
2450,znany,популярный,adjectives,4.75
2451,skromny,пристыженный,adjectives,0.9
2452,ojciec,мужчина,nouns,1.85
2453,reperować,восстановить,verbs,2.85
2454,poślubić,присоединиться,verbs,1.35
2455,kościół,собор,nouns,3.9
2456,ostrożność,забота,nouns,2.2
2457,sufiks,аффикс,nouns,1.45
2458,przejście,коридор,nouns,3.35
2459,katedra,потолок,nouns,0.4
2460,mierny,скучный,adjectives,1.8
2461,usprawiedliwiać,думать,verbs,0.9
2462,anioł,демон,nouns,0.2
2463,szkoła,класс,nouns,0.8
2464,pewność siebie,настрой,nouns,2.0
2465,szalenie,громко,adverbs,0.55
2466,argumentować,обсуждать,verbs,3.0
2467,zachować,владеть,verbs,1.75
2468,szyja,позвоночник,nouns,1.0
2469,idealnie,реалистично,adverbs,0.65
2470,pożyczać,давать,verbs,1.6
2471,nerwowy,уверенный,adjectives,0.05
2472,miesięczny,еженедельный,adjectives,0.35
2473,rolnictwo,растение,nouns,0.65
2474,impreza,маска,nouns,0.6
2475,córka,ребенок,nouns,1.85
2476,dzisiaj wieczorem,завтра,adverbs,0.2
2477,pić,выращивать,verbs,0.1
2478,charakter,человек,nouns,2.05
2479,złączyć,приобретать,verbs,0.2
2480,dolina,река,nouns,0.65
2481,dziura,соглашение,nouns,0.0
2482,miły,дружелюбный,adjectives,3.5
2483,kierownictwo,руководство,nouns,4.2
2484,krótki,длинный,adjectives,0.05
2485,czasem,часто,adverbs,0.7
2486,zniechęcać,проваливать,verbs,0.2
2487,święty,грешник,nouns,0.15
2488,melodia,ритм,nouns,2.55
2489,obłąkany,несчастный,adjectives,0.7
2490,znacząco,глубоко,adverbs,1.45
2491,hojny,приятный,adjectives,1.3
2492,oficjalnie,важно,adverbs,1.2
2493,papier,дерево,nouns,0.85
2494,nabyć,получать,verbs,2.2
2495,nerw,мужество,nouns,1.15
2496,plusk,вязкость,nouns,0.2
2497,hol,проход,nouns,3.35
2498,zwykle,нерегулярно,adverbs,0.1
2499,zaślubić,объединяться,verbs,1.7
2500,koc,дерево,nouns,0.0
2501,dziewczyna,парень,nouns,0.05
2502,własna osoba,уверенность,nouns,1.65
2503,wzgardliwy,презрительный,adjectives,3.8
2504,gwałtowny,пассивный,adjectives,0.05
2505,ludzie,доллар,nouns,0.0
2506,antropologia,археология,nouns,1.15
2507,koc,постель,nouns,0.85
2508,nieszczęśliwy,рассерженный,adjectives,0.7
2509,drewno,бревно,nouns,3.45
2510,mleko,сок,nouns,0.4
2511,pragnąć,хотеть,verbs,5.45
2512,pikantny,хороший,adjectives,0.6
2513,bydło,йогурт,nouns,0.3
2514,wybaczać,забывать,verbs,1.7
2515,organizować,становиться,verbs,0.2
2516,rozbić,ударяться,verbs,1.15
2517,sprzedawać,напоминать,verbs,0.05
2518,pręt,занавеска,nouns,0.4
2519,śmiertelnie,счастливо,adverbs,0.1
2520,mnożyć,складывать,verbs,0.25
2521,północ,запад,nouns,0.55
2522,pudełko,источник,nouns,0.0
2523,tępy,интеллектуальный,adjectives,0.05
2524,bronchit,ацетаминофен,nouns,0.65
2525,holować,поднимать,verbs,1.25
2526,cytoplazma,цифра,nouns,0.0
2527,zachód słońca,стол,nouns,0.0
2528,terapia,бихевиоризм,nouns,1.05
2529,intencja,воля,nouns,2.6
2530,robótka szydełkowa,форма,nouns,0.2
2531,fasola,рис,nouns,0.6
2532,cent,жена,nouns,0.05
2533,trudny,тяжелый,adjectives,3.6
2534,szczęśliwy,молодой,adjectives,0.25
2535,angażować,жениться,verbs,1.35
2536,tłumaczyć,доказывать,verbs,2.25
2537,dziwacznie,иначе,adverbs,1.6
2538,mennica,музей,nouns,0.05
2539,oglądać,наблюдать,verbs,4.0
2540,harmonia,пианино,nouns,0.4
2541,firma,предприятие,nouns,4.2
2542,nielegalny,безнравственный,adjectives,0.75
2543,kupować,платить,verbs,1.7
2544,ułaskawić,прощать,verbs,3.85
2545,łatwo,грубо,adverbs,0.15
2546,zatrzymywać,ехать,verbs,0.05
2547,głównie,терминально,adverbs,0.15
2548,zawstydzony,скромный,adjectives,0.9
2549,piłka,ракетка,nouns,0.7
2550,dziecko,взрослый,nouns,0.4
2551,otwór drzwiowy,дверь,nouns,3.7
2552,brzeg,сиденье,nouns,0.15
2553,informacja,книга,nouns,1.15
2554,insekt,пчела,nouns,2.4
2555,wygrać,преуспевать,verbs,2.15
2556,przynieść,приходить,verbs,0.35
2557,zapominać,напоминать,verbs,0.0
2558,dwójka,пара,nouns,5.15
2559,wada,система,nouns,0.1
2560,notatka,оплата,nouns,0.0
2561,miesiąc,август,nouns,2.45
2562,zwycięzca,гол,nouns,0.25
2563,przypominać,забывать,verbs,0.0
2564,gryźć,читать,verbs,0.0
2565,światło,клавиатура,nouns,0.0
2566,miecz,трон,nouns,0.15
2567,znany,хороший,adjectives,0.15
2568,ćwiczyć,повторять,verbs,2.45
2569,powodzenie,счастье,nouns,3.55
2570,piłka nożna,развлечение,nouns,1.15
2571,kłamać,притворяться,verbs,3.0
2572,wymiotować,закрыть,verbs,0.0
2573,białko,ручка,nouns,0.0
2574,długopis,алфавит,nouns,0.3
2575,pieniądze,жемчуг,nouns,0.25
2576,gubernator,император,nouns,1.05
2577,kolacja,суп,nouns,1.3
2578,egzema,дерматит,nouns,3.2
2579,piwnica,дверь,nouns,0.4
2580,kuzyn,дядя,nouns,1.35
2581,motor,лодка,nouns,0.75
2582,karać,ударять,verbs,1.05
2583,gotować,микшировать,verbs,0.35
2584,teraz,здесь,adverbs,1.1
2585,nowy,старый,adjectives,0.1
2586,inteligencja,мудрость,nouns,4.05
2587,stać się,организовывать,verbs,0.2
2588,obłąkany,счастливый,adjectives,0.05
2589,myśleć,обосновывать,verbs,0.9
2590,sypialnia,желудок,nouns,0.0
2591,bazylika,мозаика,nouns,0.35
2592,konsorcjum,сахарный тростник,nouns,0.15
2593,pewnie,иногда,adverbs,0.15
2594,brać,оставлять,verbs,0.05
2595,pojawić się,посещать,verbs,1.15
2596,modlić się,общаться,verbs,0.35
2597,jasno,слегка,adverbs,0.15
2598,słowo,литература,nouns,1.55
2599,cebulka,цветок,nouns,1.1
2600,łączyć,делить,verbs,0.05
2601,brew,глаз,nouns,0.7
2602,noga,рука,nouns,0.65
2603,pięknie,элегантно,adverbs,3.2
2604,głowa,нос,nouns,0.85
2605,awionika,воздухоплавание,nouns,1.8
2606,list,абзац,nouns,0.6
2607,udusić,обнимать,verbs,0.3
2608,pożyczać,держать,verbs,0.1
2609,lampa,джинн,nouns,0.4
2610,nieświadomy,обычный,adjectives,0.05
2611,baseball,кушетка,nouns,0.0
2612,wystraszony,встревоженный,adjectives,3.8
2613,ogromny,большой,adjectives,5.35
2614,bilioner,бездомный,nouns,0.05
2615,armia,легион,nouns,2.4
2616,autobus,автотранспорт,nouns,2.65
2617,wojownik,мужчина,nouns,1.35
2618,polować,искать,verbs,2.05
2619,baza,кислота,nouns,0.05
2620,hardy,твердый,adjectives,3.4
2621,piękny,прекрасный,adjectives,4.25
2622,świetny,ужасный,adjectives,0.0
2623,zatrzymywać,оставаться,verbs,1.1
2624,żołnierz,мальчик,nouns,0.5
2625,nowatorski,творческий,adjectives,3.7
2626,zwiadowca,лучник,nouns,1.05
2627,filiżanka,рожок,nouns,0.25
2628,pokój,солдат,nouns,0.45
2629,ceramika,глиняная посуда,nouns,3.3
2630,sok,молоко,nouns,0.4
2631,odrzucić,отодвигать,verbs,2.05
2632,kapelusz,коробка,nouns,0.35
2633,tron,меч,nouns,0.15
2634,karton,бумага,nouns,3.15
2635,bankier,юрист,nouns,0.6
2636,córka,отец,nouns,0.65
2637,chojnie,никогда,adverbs,0.0
2638,skontrolować,изучать,verbs,3.4
2639,ciągnąć,толкать,verbs,0.55
2640,biały,узкий,adjectives,0.0
2641,lepkość,всплеск,nouns,0.2
2642,brzydki,грубый,adjectives,1.1
2643,głośny,грубый,adjectives,1.1
2644,guzik,одежда,nouns,0.95
2645,prywatny,личный,adjectives,4.75
2646,kanapka,обед,nouns,0.75
2647,usta,нос,nouns,0.7
2648,oskarżyciel,адвокат,nouns,1.25
2649,płaszcz,одежда,nouns,2.1
2650,pomniejszy,значительный,adjectives,0.05
2651,brać,доставлять,verbs,0.35
2652,odchodzić,странствовать,verbs,0.55
2653,opary,облако,nouns,1.95
2654,dżin,фонарь,nouns,0.4
2655,okno,лодыжка,nouns,0.0
2656,łódź,дерево,nouns,0.4
2657,zlecenie,задача,nouns,4.35
2658,prawdziwie,важно,adverbs,1.0
2659,ludzie,партия,nouns,0.95
2660,pomagać,защищать,verbs,2.6
2661,odroczyć,заканчивать,verbs,0.15
2662,kryptogram,символ,nouns,2.7
2663,pytać,игнорировать,verbs,0.0
2664,drut,шнур,nouns,3.85
2665,stanowczo,спокойно,adverbs,0.6
2666,znak,символ,nouns,5.1
2667,korupcja,мошенничество,nouns,3.2
2668,miły,жестокий,adjectives,0.0
2669,zniknąć,сжиматься,verbs,1.6
2670,nigdy,редко,adverbs,0.6
2671,pić,хлебать,verbs,2.85
2672,kłócić się,соглашаться,verbs,0.1
2673,grzeczny,приличный,adjectives,2.15
2674,oskarżać,судить,verbs,3.65
2675,dążyć,убеждать,verbs,1.5
2676,muzułmanin,епископ,nouns,0.2
2677,kompas,слон,nouns,0.0
2678,słodki,электрический,adjectives,0.0
2679,nos,горло,nouns,0.75
2680,szał,злость,nouns,4.4
2681,aktorka,актер,nouns,2.6
2682,nudny,скучающий,adjectives,2.15
2683,ksenofobia,расизм,nouns,2.75
2684,naciskać,освобождать,verbs,0.0
2685,straszny,печальный,adjectives,0.4
2686,wujek,мужчина,nouns,1.9
2687,nieśmiały,дорогой,adjectives,0.0
2688,zależeć,полагаться,verbs,1.4
2689,agresywny,изогнутый,adjectives,0.0
2690,wąski,широкий,adjectives,0.05
2691,uderzyć,наказать,verbs,1.05
2692,gimnastyka,фехтование,nouns,0.6
2693,historiograf,историк,nouns,2.55
2694,koledż,класс,nouns,0.75
2695,szampan,виски,nouns,1.0
2696,szczęście,умиротворенность,nouns,2.05
2697,wybrzeże,канонерская лодка,nouns,0.1
2698,zmierzch,вечер,nouns,3.85
2699,pistolet,шалость,nouns,0.1
2700,głowa,гвоздь,nouns,0.75
2701,wyspa,задача,nouns,0.0
2702,powiadamiać,изображать,verbs,0.65
2703,region,область,nouns,4.75
2704,mysz,управление,nouns,0.4
2705,rozpacz,бедствование,nouns,1.5
2706,wymiana,валюта,nouns,0.55
2707,pistolet,пушка,nouns,1.7
2708,zezwalać,идти,verbs,0.2
2709,oziębły,ранимый,adjectives,0.15
2710,płuco,печень,nouns,0.85
2711,babeczka,петрушка,nouns,0.1
2712,czysty,беспорядочный,adjectives,0.0
2713,dowiadywać się,искать,verbs,1.4
2714,tworzyć,разрушать,verbs,0.05
2715,prawdziwie,совершенно,adverbs,1.45
2716,rzeka,море,nouns,1.1
2717,potrzebujący,неуверенный,adjectives,0.2
2718,wielkość,глубина,nouns,1.3
2719,otrzymywać,посылать,verbs,0.3
2720,kryminalista,правонарушитель,nouns,5.0
2721,niemowlę,дочь,nouns,2.0
2722,argument,критика,nouns,1.05
2723,zapominać,помнить,verbs,0.35
2724,praca,управление,nouns,1.05
2725,ścigać,следовать,verbs,3.0
2726,dach,потолок,nouns,2.25
2727,pogwałcenie,преступление,nouns,3.75
2728,prawo,правосудие,nouns,1.25
2729,kreatywny,инновационный,adjectives,3.7
2730,spadać,уменьшаться,verbs,1.0
2731,strona,абзац,nouns,0.7
2732,aktor,телевидение,nouns,0.9
2733,rejestr,формула,nouns,0.65
2734,wybrzeże,пляж,nouns,2.95
2735,wspaniały,потрясающий,adjectives,5.25
2736,demon,чудовище,nouns,4.35
2737,tkać,двигаться,verbs,0.0
2738,burmistrz,президент,nouns,1.35
2739,dolina,депрессия,nouns,0.7
2740,krykiet,сторонник,nouns,0.2
2741,ciężarówka,посылка,nouns,0.65
2742,budka,телефон,nouns,1.1
2743,żona,дыра,nouns,0.0
2744,wola,намерение,nouns,2.6
2745,obiad,бутерброд,nouns,0.75
2746,sława,богатство,nouns,0.8
2747,spód,верх,nouns,0.15
2748,koledż,профессия,nouns,0.35
2749,mnóstwo,изобилие,nouns,4.6
2750,negatywnie,неестественно,adverbs,0.25
2751,zimny,обычный,adjectives,0.0
2752,walnąć,ущипнуть,verbs,0.45
2753,uparty,глупый,adjectives,0.65
2754,triumfator,человек,nouns,0.6
2755,drogi,стеснительный,adjectives,0.0
2756,gwiazda,яркость,nouns,1.25
2757,iść,посылать,verbs,0.05
2758,wstępniak,новости,nouns,0.8
2759,jawny,неизвестный,adjectives,0.15
2760,kredyt,заёмщик,nouns,1.65
2761,skała,мина,nouns,0.4
2762,niebo,вселенная,nouns,1.45
2763,skończyć,соревноваться,verbs,0.05
2764,uwaga,интерес,nouns,3.9
2765,samolot,аэропорт,nouns,1.1
2766,zachować,защищать,verbs,1.8
2767,język,горло,nouns,0.85
2768,piłka,сфера,nouns,2.1
2769,żyła,рука,nouns,0.45
2770,matka,отец,nouns,1.05
2771,szczupły,узкий,adjectives,2.8
2772,stracić,готовить,verbs,0.0
2773,trymestr,семестр,nouns,1.65
2774,bateria,театр,nouns,0.0
2775,zauważalny,очевидный,adjectives,2.9
2776,przywrócić,заменять,verbs,1.3
2777,profesor,доктор,nouns,1.35
2778,niewiarygodnie,плотно,adverbs,0.3
2779,miecz,окружение,nouns,0.2
2780,obniżać,спускаться,verbs,1.0
2781,kobieta,жена,nouns,2.1
2782,planeta,звезда,nouns,2.25
2783,menadżer,глава,nouns,4.15
2784,niezawodnie,пассивно,adverbs,0.1
2785,trzymać,обнимать,verbs,0.7
2786,dziewczyna,ребенок,nouns,1.35
2787,dzielić,объединять,verbs,0.05
2788,dach,пол,nouns,0.6
2789,nieuczciwy,плохой,adjectives,1.8
2790,okoliczność,ситуация,nouns,4.4
2791,błyszczeć,сиять,verbs,4.65
2792,przychodzący,уходящий,adjectives,0.55
2793,róg,барабан,nouns,0.6
2794,rozumieć,читать,verbs,0.85
2795,niezdecydowany,нейтральный,adjectives,1.45
2796,stary,смешанный,adjectives,0.05
2797,robić,разрушать,verbs,0.05
2798,prosić,просить,verbs,2.5
