ID,EST,SPA,PoS,score
2143,päästma,rescatar,verbs,4.85
2144,taganema,descender,verbs,1.0
2145,kiire,rápido,adjectives,3.75
2146,lahutama,perder,verbs,0.8
2147,fakt,visión,nouns,0.85
2148,jääma,salir,verbs,0.3
2149,valima,nombrar,verbs,2.7
2150,heledus,estrella,nouns,2.05
2151,kerge,vulnerable,adjectives,0.85
2152,heldelt,nunca,adverbs,0.1
2153,veri,médula,nouns,1.25
2154,relv,piel,nouns,0.35
2155,kass,ratón,nouns,0.6
2156,looma,hacer,verbs,3.55
2157,võitma,golpear,verbs,0.95
2158,kaklema,morder,verbs,0.85
2159,uhkelt,humildemente,adverbs,0.35
2160,sõbralik,generoso,adjectives,2.3
2161,puur,bote,nouns,0.15
2162,uba,tocino,nouns,0.4
2163,vürtsikas,bueno,adjectives,0.55
2164,kongress,parlamento,nouns,3.2
2165,polüester,algodón,nouns,1.2
2166,kaamera,lente,nouns,1.95
2167,vann,esposa,nouns,0.1
2168,skulptor,palacio,nouns,0.45
2169,pühak,pecador,nouns,0.4
2170,valik,capítulo,nouns,0.65
2171,tõsiselt,sinceramente,adverbs,2.2
2172,ekseem,dermatitis,nouns,2.5
2173,võitja,gol,nouns,0.75
2174,mootor,pistón,nouns,1.95
2175,mahl,manzana,nouns,1.35
2176,kohv,frijol,nouns,0.8
2177,uskumus,concepto,nouns,2.0
2178,meeleheide,miseria,nouns,2.45
2179,kõrs,tarea,nouns,0.15
2180,kardin,barra,nouns,0.35
2181,rõõmsameelne,encantador,adjectives,2.7
2182,sõnaraamat,enciclopedia,nouns,2.3
2183,sikutama,levantar,verbs,0.55
2184,kabel,cable,nouns,0.0
2185,riis,frijol,nouns,1.15
2186,paat,motor,nouns,0.5
2187,vahetama,alterar,verbs,3.6
2188,mantel,sombrero,nouns,0.9
2189,ära ütlema,aceptar,verbs,0.3
2190,jumal,sacerdote,nouns,1.5
2191,lõbu,juego,nouns,1.6
2192,küpselt,rectamente,adverbs,0.95
2193,vaidlema,grito,verbs,0.95
2194,tulema,asistir,verbs,1.9
2195,tee,limón,nouns,0.55
2196,valelik,veraz,adjectives,0.35
2197,omama,tomar,verbs,2.1
2198,näidik,coche,nouns,0.8
2199,roos,mariposa,nouns,0.35
2200,putka,teléfono,nouns,1.2
2201,igapäevaselt,normalmente,adverbs,3.55
2202,erinevalt,extrañamente,adverbs,1.85
2203,oaas,libertad,nouns,0.45
2204,mäng,truco,nouns,1.85
2205,kaotama,obtener,verbs,0.2
2206,pilvkate,pronóstico,nouns,1.15
2207,radar,palanca de mando,nouns,0.4
2208,pilvelõhkuja,palacio,nouns,0.9
2209,minema,venir,verbs,0.95
2210,teksad,mujer,nouns,0.3
2211,analüüsima,comparar,verbs,3.0
2212,kuubik,dado,nouns,2.95
2213,küngas,acantilado,nouns,1.8
2214,kaaspiloot,policía,nouns,0.3
2215,kaduma,esfumarse,verbs,5.2
2216,ohver,teléfono,nouns,0.15
2217,rõõm,orgullo,nouns,1.3
2218,kaklema,jugar,verbs,0.55
2219,segunema,remover,verbs,2.35
2220,õigus,colegio,nouns,0.6
2221,episood,actuación,nouns,0.4
2222,lõimima,movimiento,verbs,0.35
2223,šampus,cerveza,nouns,1.3
2224,teema,historia,nouns,1.45
2225,ülesanne,trabajo,nouns,3.85
2226,tõenäoliselt,afirmativamente,adverbs,0.9
2227,kuluma,descolorarse,verbs,1.3
2228,nõustuma,complacer,verbs,1.0
2229,mõnikord,uniformemente,adverbs,0.4
2230,uskumatu,ordinario,adjectives,0.4
2231,karastusjook,cerveza,nouns,1.8
2232,kaduma,encoger,verbs,1.05
2233,heli,acústica,nouns,3.35
2234,vastupidavus,flor,nouns,0.2
2235,rahulik,neutral,adjectives,1.8
2236,krediit,prestatario,nouns,2.05
2237,lõppema,graduarse,verbs,1.7
2238,rumal,crédulo,adjectives,2.55
2239,raske,sencillo,adjectives,0.35
2240,penn,ganga,nouns,0.2
2241,eelsoojendama,recalentamiento,nouns,1.45
2242,õnnetus,emergencia,nouns,3.45
2243,põld,avena,nouns,1.15
2244,imlselgelt,aproximadamente,adverbs,0.5
2245,õppemaks,beca,nouns,1.3
2246,armee,equipo,nouns,1.1
2247,imenduma,poseer,verbs,0.95
2248,kriitiliselt,esencialmente,adverbs,0.7
2249,parlament,congreso,nouns,3.2
2250,õpetaja,amigo,nouns,0.8
2251,suhtlus,idioma,nouns,1.85
2252,paratsetamol,bronquitis,nouns,0.9
2253,anne,escritor,nouns,0.35
2254,propageerima,avanzar,verbs,2.7
2255,imiteerima,retratar,verbs,2.4
2256,kunstiteos,artista,nouns,1.55
2257,hingama,ahogarse,verbs,0.6
2258,kandma,traer,verbs,1.4
2259,valik,vena,nouns,0.05
2260,tagasi lükkama,aceptar,verbs,0.4
2261,ehitama,añadir,verbs,0.95
2262,rebima,vestir,verbs,0.05
2263,kroonimine,agua,nouns,0.1
2264,jalgpall,divertido,nouns,1.0
2265,nautima,entretener,verbs,2.05
2266,ülesanne,cañita,nouns,0.15
2267,jõgi,corriente,nouns,1.55
2268,umbes,fácilmente,adverbs,0.55
2269,paberraha,pago,nouns,1.0
2270,issi,madre,nouns,1.75
2271,suhtlus,conversacion,nouns,3.45
2272,abiline,mucama,nouns,2.55
2273,korvpall,béisbol,nouns,1.45
2274,aed,carril,nouns,0.5
2275,kell,torre,nouns,1.5
2276,vilistama,detener,verbs,0.4
2277,korporatsioon,puerta,nouns,0.35
2278,pilv,calina,nouns,1.4
2279,erinevalt,terminalmente,adverbs,0.1
2280,märkmik,pistola,nouns,0.05
2281,keel,mejilla,nouns,0.7
2282,nõrk,picante,adjectives,0.0
2283,puhtalt,completamente,adverbs,2.15
2284,määrama,predecir,verbs,1.75
2285,paat,ancla,nouns,1.1
2286,rahul,feliz,adjectives,4.0
2287,algebra,operación,nouns,1.45
2288,kallistama,sostener,verbs,1.7
2289,isa,hombre,nouns,2.05
2290,pidu,gente,nouns,0.85
2291,keskkond,espada,nouns,0.05
2292,sügavalt,principalmente,adverbs,1.05
2293,ainulaadne,opuesto,adjectives,1.15
2294,ohvitser,diputado,nouns,1.05
2295,elevant,dinosaurio,nouns,0.85
2296,parim,quinto,adjectives,0.4
2297,toores,feo,adjectives,0.6
2298,hiir,administración,nouns,0.0
2299,kurvalt,emocionalmente,adverbs,1.7
2300,tegema,destruir,verbs,0.5
2301,riided,cajón,nouns,1.15
2302,surm,catástrofe,nouns,1.45
2303,kaabel,mago,nouns,0.0
2304,lill,resistencia,nouns,0.2
2305,tüütama,agravar,verbs,1.35
2306,uhke,arrogante,adjectives,3.3
2307,kitsas,ancho,adjectives,0.25
2308,nakkus,enfermedad,nouns,2.85
2309,lill,arbusto,nouns,1.75
2310,piiskop,musulmán,nouns,0.65
2311,selgitama,definir,verbs,3.85
2312,liha,carne de vaca,nouns,3.45
2313,vöö,lazo,nouns,1.1
2314,perfektselt,verdaderamente,adverbs,0.75
2315,eine,cena,nouns,3.5
2316,loogika,aritmética,nouns,1.85
2317,sotsiobioloogia,mutante,nouns,0.55
2318,traditsioon,artesanía,nouns,1.45
2319,pool,fondo,nouns,1.0
2320,auk,acuerdo,nouns,0.05
2321,ahv,campaña,nouns,0.1
2322,hambad,hueso,nouns,1.9
2323,sõitma,detener,verbs,0.6
2324,sahtel,ropa,nouns,1.15
2325,viga,sistema,nouns,0.4
2326,õhtusöök,pollo,nouns,1.1
2327,laadija,disco,nouns,0.35
2328,pära,acantilado,nouns,0.0
2329,positiivselt,probablemente,adverbs,0.9
2330,romaan,escritor,nouns,1.3
2331,kallis,sagrado,adjectives,2.25
2332,matmine,muerte,nouns,1.6
2333,taasmatmine,tumba,nouns,0.65
2334,uudised,chisme,nouns,2.15
2335,kogunema,asistir,verbs,1.25
2336,mõtlema,recuerda,verbs,1.8
2337,lukk,llave,nouns,1.95
2338,vägev,potente,adjectives,4.2
2339,päikeseloojang,cuerda,nouns,0.05
2340,käsi,cuello,nouns,0.7
2341,seeme,molino,nouns,1.3
2342,klass,colegio,nouns,1.55
2343,vihm,tormenta de nieve,nouns,0.9
2344,sõitma,correr,verbs,0.6
2345,põsk,lengua,nouns,0.7
2346,õnnetus,libro,nouns,0.15
2347,kasvama,incrementar,verbs,4.2
2348,töö,herramienta,nouns,1.05
2349,karistama,obedecer,verbs,0.8
2350,avalik,privado,adjectives,0.7
2351,suu,nariz,nouns,1.1
2352,paindlik,móvil,adjectives,2.15
2353,astronoomiline,masivo,adjectives,2.0
2354,kandma,romper,verbs,0.05
2355,näima,pretender,verbs,2.35
2356,klassiruum,pasillo,nouns,0.6
2357,soovima,desear,verbs,4.6
2358,täpselt,precisamente,adverbs,5.15
2359,karjuma,discutir,verbs,0.95
2360,ilukirjandus,biografía,nouns,1.1
2361,harmoonia,piano,nouns,0.75
2362,kurjategija,delincuente,nouns,4.6
2363,hirmus,triste,adjectives,0.7
2364,sõna,página,nouns,0.6
2365,pilv,ventana,nouns,0.5
2366,operatsioon,corazón,nouns,0.8
2367,informatsioon,libro,nouns,1.15
2368,onupojapoliitika,rey,nouns,1.5
2369,õiglus,derecho,nouns,2.6
2370,loll,enorme,adjectives,0.1
2371,osoon,atmósfera,nouns,2.1
2372,lammas,cordero,nouns,3.9
2373,kodu,estado,nouns,0.4
2374,suurepärane,brillante,adjectives,3.95
2375,raha,efectivo,nouns,4.5
2376,raskendama,molestar,verbs,1.35
2377,haamer,dientes,nouns,0.15
2378,intelligentsus,destreza,nouns,2.0
2379,seisund,niño,nouns,0.1
2380,terav,aburrido,adjectives,0.35
2381,põud,agua,nouns,0.8
2382,lisama,construir,verbs,0.95
2383,tüütama,interrumpir,verbs,3.35
2384,jäik,frágil,adjectives,0.3
2385,tuba,bañera,nouns,0.7
2386,tamm,arce,nouns,1.25
2387,lämmatama,abrumar,verbs,1.85
2388,kohalolek,ausencia,nouns,0.6
2389,agressioon,hostilidad,nouns,3.4
2390,pingutus,dificultad,nouns,2.5
2391,pilt,reflexión,nouns,1.4
2392,ülestunnistus,negación,nouns,1.1
2393,pall,esfera,nouns,2.2
2394,kolonel,dentista,nouns,0.2
2395,kogunema,recoger,verbs,2.55
2396,müüt,sátira,nouns,1.5
2397,tellimus,menú,nouns,1.1
2398,aktiivselt,precisamente,adverbs,0.75
2399,mees,guerrero,nouns,1.35
2400,troon,espada,nouns,0.5
2401,treener,jugador,nouns,0.95
2402,lõpetama,decidir,verbs,1.85
2403,osalema,ven,verbs,1.9
2404,nöör,cable,nouns,2.1
2405,äsja,últimamente,adverbs,4.45
2406,kõht,habitación,nouns,0.2
2407,korjandus,desarrollo,nouns,0.65
2408,pööraselt,ruidosamente,adverbs,1.55
2409,maskeerima,cubrir,verbs,1.9
2410,intuitsioon,sentido,nouns,3.4
2411,algama,ir,verbs,0.6
2412,valvur,hombre,nouns,1.1
2413,viisakas,apropiado,adjectives,3.25
2414,kari,vaca,nouns,2.05
2415,lennuk,chorro,nouns,0.55
2416,surmavalt,diferentemente,adverbs,0.1
2417,aritmeetika,lógica,nouns,1.85
2418,ameerika jalgpall,fútbol americano,nouns,2.7
2419,pudel,poder,nouns,0.65
2420,abieluväline,inmencionable,adjectives,0.7
2421,aitama,proteger,verbs,1.5
2422,imeline,hermoso,adjectives,3.25
2423,esinema,saludar,verbs,0.3
2424,meri,playa,nouns,2.65
2425,tubakas,cigarrillo,nouns,3.25
2426,lahtine,flexible,adjectives,1.55
2427,kaval,inteligente,adjectives,4.4
2428,lähedaselt,localmente,adverbs,1.75
2429,münt,pago,nouns,1.75
2430,legaalne,seguro,adjectives,1.75
2431,haistma,mimar,verbs,0.0
2432,taotleja,solicitud,nouns,1.55
2433,uskuma,aceptar,verbs,1.4
2434,lõikama,ganancia,verbs,0.7
2435,imenduma,aprender,verbs,1.25
2436,ostma,robar,verbs,0.4
2437,tegevus,movimiento,nouns,2.8
2438,veendunud,nervioso,adjectives,0.2
2439,purjus,sobrio,adjectives,0.4
2440,kerge,flexible,adjectives,1.5
2441,imperaator,gobernador,nouns,1.8
2442,tahtma,escoger,verbs,1.35
2443,kaks korda,siempre,adverbs,0.05
2444,pahkluu,codo,nouns,0.8
2445,põrand,puerta,nouns,1.05
2446,ekraan,monitor,nouns,4.8
2447,abikaasa (naine),mujer,nouns,3.3
2448,erinema,de acuerdo,verbs,0.35
2449,robootika,simulación,nouns,1.15
2450,eine,cena,nouns,3.35
2451,prognoosima,determinar,verbs,1.75
2452,kiiver,arma,nouns,1.0
2453,tooma,enviar,verbs,0.8
2454,auto,puente,nouns,0.4
2455,käsitöö,tradición,nouns,1.45
2456,karm,fácil,adjectives,0.15
2457,vaip,casa,nouns,0.45
2458,elektriline,dulce,adjectives,0.1
2459,teadma,entender,verbs,3.2
2460,valmistaja,creador,nouns,3.75
2461,maksma,comprar,verbs,1.7
2462,saama,realizar,verbs,0.6
2463,koidik,noche,nouns,1.05
2464,tavaliselt,raramente,adverbs,0.35
2465,haigus,cáncer,nouns,2.45
2466,struktuur,topología,nouns,1.5
2467,lehekülg,palabra,nouns,0.6
2468,etendus,matemático,nouns,0.1
2469,külg,parte superior,nouns,1.05
2470,tähelepanu,conciencia,nouns,2.05
2471,keeruline,simple,adjectives,0.45
2472,ette kujutama,crear,verbs,1.5
2473,varastama,dar,verbs,0.2
2474,põhiliselt,mayormente,adverbs,4.25
2475,liiv,pie,nouns,0.25
2476,naerma,cantar,verbs,0.4
2477,õhupall,bañera,nouns,0.15
2478,suhkur,miel,nouns,1.7
2479,senat,constitución,nouns,1.2
2480,kirjanik,regalo,nouns,0.35
2481,relv,truco,nouns,0.3
2482,väiksevõitu,enano,adjectives,4.35
2483,mööbel,apartamento,nouns,0.8
2484,uks,piso,nouns,1.05
2485,järgima,investigar,verbs,1.15
2486,muru,musgo,nouns,1.9
2487,täiskasvanu,bebé,nouns,0.75
2488,ümbris,puerto,nouns,0.05
2489,entsüklopeedia,diccionario,nouns,2.3
2490,torbik,vaso,nouns,0.9
2491,õpetaja,rabino,nouns,0.3
2492,tugevalt,tranquilamente,adverbs,0.7
2493,neutraalne,calma,adjectives,1.8
2494,surema,enterrar,verbs,0.95
2495,hävitama,hacer,verbs,0.5
2496,reegel,convención,nouns,2.85
2497,ebatäpselt,precisamente,adverbs,0.3
2498,sigar,tubo,nouns,0.55
2499,kuu,planeta,nouns,1.6
2500,vähetähtis,significativo,adjectives,0.4
2501,ideaalselt,de modo realista,adverbs,0.8
2502,õnnelikult,sin peligro,adverbs,1.0
2503,osalema,enviar,verbs,0.7
2504,panema,obtener,verbs,0.2
2505,meel,neurosis,nouns,1.35
2506,kana,cena,nouns,1.1
2507,teadus,psicología,nouns,1.45
2508,kuritegu,violación,nouns,3.45
2509,sekretär,mujer,nouns,0.85
2510,rannik,litoral,nouns,4.1
2511,valima,rechazar,verbs,0.65
2512,saama,parecer,verbs,0.45
2513,vajama,preguntar,verbs,1.25
2514,puu,arce,nouns,3.0
2515,anarhia,caos,nouns,3.3
2516,programm,comida,nouns,0.2
2517,hirmunud,tímido,adjectives,2.0
2518,riie,ropa,nouns,2.25
2519,viiul,instrumento,nouns,2.65
2520,võimatu,factible,adjectives,0.4
2521,lugu,libro,nouns,1.5
2522,sihtmärk,flecha,nouns,1.0
2523,tušš,monasterio,nouns,0.1
2524,sularaha,dinero,nouns,4.5
2525,puuvijaaed,avestruz,nouns,0.2
2526,õlu,alcohol,nouns,2.6
2527,kõver,derecho,adjectives,0.45
2528,hankima,tomar,verbs,2.6
2529,teostama,volverse,verbs,0.6
2530,ema,guardián,nouns,1.65
2531,omandama,recibir,verbs,3.15
2532,hävitama,matar,verbs,2.25
2533,stiil,moda,nouns,3.95
2534,jahu,pan,nouns,1.15
2535,kaks korda,múltiple,adverbs,1.65
2536,margniaalselt,completamente,adverbs,0.65
2537,üliõpilane,profesor,nouns,0.85
2538,taim,agricultura,nouns,1.15
2539,võrrand,fórmula,nouns,3.35
2540,kutt,niña,nouns,1.1
2541,trikk,juego,nouns,1.85
2542,kodus,lejos,adverbs,0.4
2543,kihlus,anillo,nouns,1.65
2544,põhiseadus,emperador,nouns,1.0
2545,imperaator,constitución,nouns,1.0
2546,põgenema,huir,verbs,5.45
2547,päikeseloojang,mesa,nouns,0.1
2548,patarei,teatro,nouns,0.3
2549,pärima,pensar,verbs,0.75
2550,õpetaja,ayudante,nouns,1.45
2551,lumi,avalancha,nouns,1.5
2552,ihaldama,querer,verbs,4.6
2553,kivisüsi,carboncillo,nouns,2.45
2554,teesklema,retratar,verbs,0.95
2555,päikeseloojang,noche,nouns,1.9
2556,tähelepanuta jätma,desconocer,verbs,1.6
2557,diivan,béisbol,nouns,0.2
2558,tunnus,dignidad,nouns,0.25
2559,võitlus,conquista,nouns,2.0
2560,esineja,canción,nouns,0.8
2561,omandama,obtener,verbs,4.2
2562,teguriteks lahutamine,descomposición,nouns,1.15
2563,fonoloogia,pantalla,nouns,0.15
2564,selgroog,cuerpo,nouns,1.1
2565,põhi,lado,nouns,1.0
2566,päikesetõus,puesta de sol,nouns,0.85
2567,põnevil,asustado,adjectives,1.45
2568,liikuma,tejer,verbs,0.35
2569,ala,zona,nouns,4.95
2570,teenima,hacer,verbs,0.6
2571,number,número,nouns,4.75
2572,telliskivi,pared,nouns,1.25
2573,ebavajalik,necesario,adjectives,0.35
2574,luu,mandíbula,nouns,1.05
2575,vaidlema,estar de acuerdo,verbs,0.6
2576,lennundus,vuelo,nouns,2.0
2577,tulnukas,forastero,nouns,1.8
2578,segama,molestar,verbs,3.35
2579,hiiglasuur,tonto,adjectives,0.1
2580,matma,morir,verbs,0.95
2581,komistama,caerse,verbs,3.05
2582,hing,hermano,nouns,0.45
2583,kombain,caña de azúcar,nouns,0.65
2584,rikkuma,oler,verbs,0.0
2585,sein,castillo,nouns,1.05
2586,müts,capa,nouns,0.9
2587,telefon,teléfono móvil,nouns,4.6
2588,tugev,orgulloso,adjectives,0.9
2589,dollar,millonario,nouns,1.0
2590,õigus,justicia,nouns,2.6
2591,vesistama,llorar,verbs,4.3
2592,saabuma,salir,verbs,0.6
2593,matkama,escalar,verbs,1.45
2594,linnapea,jefe,nouns,1.85
2595,vana,fresco,adjectives,0.1
2596,kandma,entregar,verbs,2.15
2597,uks,bodega,nouns,0.65
2598,hoidma,conservar,verbs,4.45
2599,teooria,química,nouns,0.9
2600,kolledž,profesión,nouns,0.85
2601,kõht,curso,nouns,0.1
2602,täht,planeta,nouns,2.4
2603,tulemus,nivel,nouns,2.6
2604,lumi,clima,nouns,1.15
2605,looma,bucear,verbs,0.15
2606,lihas,hueso,nouns,1.0
2607,uks,campana,nouns,0.35
2608,omandama,encontrar,verbs,1.35
2609,haiget tegema,patear,verbs,1.6
2610,lükkama,culpar,verbs,0.3
2611,tulema,ir,verbs,0.95
2612,kaisutama,abrazo,verbs,4.5
2613,tõmbama,empujar,verbs,1.25
2614,kindlalt,obviamente,adverbs,2.7
2615,kuberner,emperador,nouns,1.8
2616,valetama,acusar,verbs,0.5
2617,artikkel,manuscrito,nouns,1.85
2618,saavutama,tener éxito,verbs,4.35
2619,lammas,ganado,nouns,2.25
2620,ette kujutama,pretender,verbs,1.4
2621,külge tõmbama,golpear,verbs,0.35
2622,hammustama,leer,verbs,0.1
2623,mitte kunagi,después,adverbs,0.25
2624,sõna,pista,nouns,0.45
2625,tähestik,bolígrafo,nouns,0.7
2626,põiktänav,calle,nouns,3.7
2627,ignoreerima,salir,verbs,1.0
2628,mootor,bote,nouns,0.5
2629,rõõm,tristeza,nouns,0.9
2630,kuld,zinc,nouns,1.25
2631,vabadus,oasis,nouns,0.45
2632,mäletama,pensar,verbs,1.8
2633,vokalist,personal,nouns,0.65
2634,väärima,ganar,verbs,2.2
2635,ratas,piel,nouns,0.3
2636,vein,brandy,nouns,1.65
2637,sent,gente,nouns,0.1
2638,vahekäik,sala,nouns,0.9
2639,allikas,caja,nouns,0.1
2640,rikkumine,crimen,nouns,3.45
2641,vaidlema,persuadir,verbs,1.7
2642,lagunema,morir,verbs,1.3
2643,soovitama,asesorar,verbs,4.7
2644,rüüpama,tragar,verbs,2.0
2645,avastama,ignorar,verbs,0.15
2646,petma,engañar,verbs,4.55
2647,neuroos,mente,nouns,1.35
2648,aktsepteerima,perdonar,verbs,2.55
2649,kitsas,delgado,adjectives,3.55
2650,märk,club,nouns,0.8
2651,kõver,torcido,adjectives,4.0
2652,mitte kunagi,honestamente,adverbs,0.1
2653,pärima,exigir,verbs,1.25
2654,vältima,rechazar,verbs,2.55
2655,nutikas,tonto,adjectives,0.35
2656,püüdma,capturar,verbs,3.8
2657,tegu,curso,nouns,1.3
2658,paindlik,grande,adjectives,0.2
2659,lagi,tejado,nouns,4.1
2660,ebaaus,cruel,adjectives,2.05
2661,ebaregulaarselt,generalmente,adverbs,0.5
2662,nakkus,inflexión,nouns,0.1
2663,kleepuv,sucio,adjectives,1.8
2664,äsja,actualmente,adverbs,3.4
2665,karp,sombrero,nouns,0.3
2666,algvorm,sílaba,nouns,0.95
2667,võlts,real,adjectives,0.3
2668,katteta,cubierto,adjectives,0.35
2669,täiskasvanu,guardián,nouns,1.8
2670,seisma,caminar,verbs,0.35
2671,mikroskoop,biólogo,nouns,1.25
2672,auto,automóvil,nouns,5.25
2673,vahetus,reemplazo,nouns,3.4
2674,nutma,sollozar,verbs,3.75
2675,muutma,cambiar,verbs,3.6
2676,tolmendamine,estambre,nouns,1.4
2677,vägivaldne,enojado,adjectives,2.1
2678,tööline,mecánico,nouns,2.35
2679,printsess,novia,nouns,1.3
2680,suu,diente,nouns,1.3
2681,usaldusväärselt,pasivamente,adverbs,0.2
2682,ärkama,roncar,verbs,0.6
2683,ootamatu,imprevisto,adjectives,5.25
2684,bioloog,microscopio,nouns,1.25
2685,laenama,dar,verbs,2.35
2686,vaidlema,debate,verbs,3.0
2687,võlts,artificial,adjectives,3.75
2688,liha,sangre,nouns,0.8
2689,raha,diamante,nouns,0.95
2690,eraldama,salir,verbs,0.45
2691,sõrmus,compromiso,nouns,1.65
2692,tool,banco,nouns,3.7
2693,odav,sucio,adjectives,0.65
2694,ronima,hacer senderismo,verbs,1.45
2695,vaikselt,pasivamente,adverbs,0.95
2696,jalgpall,fútbol,nouns,2.7
2697,haavatav,fácil,adjectives,0.85
2698,koguma,sacudir,verbs,0.25
2699,tehe,álgebra,nouns,1.45
2700,vaatama,observar,verbs,3.75
2701,nutikas,astuto,adjectives,4.4
2702,praegu,delicadamente,adverbs,0.2
2703,pahavara,gusano,nouns,1.0
2704,uurima,descubrir,verbs,3.0
2705,elevant,brújula,nouns,0.6
2706,ümbrik,decoración,nouns,0.3
2707,teesklema,imaginar,verbs,1.4
2708,sonett,belleza,nouns,0.6
2709,edendama,promover,verbs,2.7
2710,gripp,fiebre,nouns,2.3
2711,viski,alcohol,nouns,2.1
2712,sosistama,hablar,verbs,1.85
2713,kokku hoidma,gastar,verbs,0.45
2714,pull,becerro,nouns,1.9
2715,müüma,ir,verbs,0.2
2716,mood,modo,nouns,0.65
2717,kindlus,pared,nouns,1.05
2718,aasta,cumpleaños,nouns,1.3
2719,ilmselgelt,en la zona,adverbs,0.05
2720,domineerima,ganar,verbs,2.3
2721,käsi,pie,nouns,1.3
2722,ortodont,médico,nouns,2.7
2723,ball,disfraz,nouns,0.8
2724,peegeldus,imagen,nouns,1.4
2725,õhtusöök,comida,nouns,3.35
2726,sisenema,ir,verbs,1.3
2727,vaenulikkus,agresión,nouns,3.4
2728,luud,polvo,nouns,1.0
2729,jumal,diablo,nouns,0.9
2730,käekell,falda,nouns,0.25
2731,loomulikult,tranquilamente,adverbs,1.15
2732,lehm,ganado,nouns,2.05
2733,kokkukutsumine,reunión,nouns,4.1
2734,võidusõit,filósofo,nouns,0.15
2735,piibel,libro,nouns,1.75
2736,rääkima,reconocer,verbs,1.15
2737,hoidma,dar,verbs,0.6
2738,tõuk,gusano de seda,nouns,2.85
2739,pea,hombro,nouns,1.3
2740,kallama,gotear,verbs,1.35
2741,harva,a menudo,adverbs,0.7
2742,võõrsil,a casa,adverbs,0.4
2743,kinnitama,decir,verbs,1.4
2744,mesilane,hormiga,nouns,0.95
2745,ümbermaailmareis,equipaje,nouns,1.0
2746,ilmselge,perceptible,adjectives,3.3
2747,õrnalt,ruidosamente,adverbs,0.05
2748,kaamera,continuación,nouns,0.15
2749,hobune,buey,nouns,1.35
2750,lubama,aprobar,verbs,3.4
2751,otseloomulikult,discretamente,adverbs,0.45
2752,džinn,lámpara,nouns,0.9
2753,ekraan,fonología,nouns,0.15
2754,odav,económico,adjectives,5.1
2755,valk,asa,nouns,0.15
2756,mobiiltelefon,teléfono,nouns,4.6
2757,pära,posterior,nouns,2.7
2758,hoomama,satisfacer,verbs,0.45
2759,kiibid,cursor,nouns,0.2
2760,kaduma,encontrar,verbs,0.5
2761,eeldama,predecir,verbs,2.4
2762,rahu,soldado,nouns,0.35
2763,karm,cruel,adjectives,3.3
2764,vaher,roble,nouns,1.25
2765,kino,televisión,nouns,2.25
2766,pädevus,capacidad,nouns,3.65
2767,kirjanik,compositor,nouns,1.85
2768,tina,aluminio,nouns,1.25
2769,ärritama,enemistarse,verbs,1.25
2770,puit,piedra,nouns,1.0
2771,rütm,aritmética,nouns,1.1
2772,ebakohane,extramatrimonial,adjectives,0.7
2773,tõbi,infección,nouns,2.45
2774,samasugune,similar,adjectives,4.05
2775,kavatsema,intentar,verbs,2.9
2776,rada,túnel,nouns,1.65
2777,õhk,helio,nouns,1.45
2778,rahumeelselt,orgullosamente,adverbs,0.45
2779,sisehõõrdumine,chapoteo,nouns,0.55
2780,abikaasa (naine),madre,nouns,2.2
2781,karusnahk,mujer,nouns,0.35
2782,aken,puerta,nouns,1.05
2783,väärtus,tarifa,nouns,2.5
2784,haruldane,exótico,adjectives,4.2
2785,soolikas,nervio,nouns,0.6
2786,võitma,dominar,verbs,2.3
2787,ülesanne,nota,nouns,0.6
2788,kood,símbolo,nouns,2.05
2789,kirjandus,palabra,nouns,2.0
2790,bioloogia,biotopo,nouns,1.1
2791,ähvardus,peligro,nouns,3.45
2792,teadustama,declarar,verbs,4.05
2793,sünnipäev,cita,nouns,1.7
2794,tõesti,perfectamente,adverbs,0.75
2795,suhkruroog,segadora,nouns,0.65
2796,asendus,intercambio,nouns,3.4
2797,lööma,castigar,verbs,1.6
2798,patsient,sesión,nouns,0.75
2799,kuup,juguete,nouns,0.85
2800,õlg,brazo,nouns,1.2
2801,kaaslane,compañero,nouns,4.25
2802,määrima,untar,verbs,0.5
2803,hea,conocido,adjectives,0.5
2804,solvama,molestia,verbs,1.15
2805,jurist,licenciado en derecho,nouns,4.4
2806,hirmunud,nervioso,adjectives,2.1
2807,loobuma,reprimir,verbs,0.5
2808,videvik,noche,nouns,3.3
2809,rahumeelselt,caóticamente,adverbs,0.3
2810,massiivselt,abiertamente,adverbs,0.25
2811,põhiliselt,terminalmente,adverbs,0.2
2812,haigutama,despierto,verbs,0.6
2813,pehme,violento,adjectives,0.1
2814,riided,tela,nouns,2.25
2815,menüü,orden,nouns,1.1
2816,seelik,reloj,nouns,0.25
2817,nõu andma,sugerir,verbs,4.35
2818,jahikoer,zorro,nouns,1.1
2819,pärima,buscar,verbs,1.3
2820,voodi,hospital,nouns,0.95
2821,tass,cuchara,nouns,1.2
2822,intelligentne,tonto,adjectives,0.65
2823,puhkus,calendario,nouns,1.15
2824,siin,ahora,adverbs,1.85
2825,teema,hashtag,nouns,2.55
2826,voodi,mueble,nouns,1.75
2827,valem,ecuación,nouns,3.35
2828,keha,espina,nouns,1.1
2829,uhke,fuerte,adjectives,0.9
2830,põlv,brazo,nouns,0.75
2831,klaaspurk,botella,nouns,2.4
2832,ülikond,tejer,nouns,0.35
2833,tööriist,trabajo,nouns,1.05
