ID,ENG,FIN,PoS,score
2175,bulb,kukka,nouns,0.39
2176,wine,väkijuoma,nouns,1.96
2177,apartment,huonekalut,nouns,0.45
2178,foot,käsi ,nouns,1.2
2179,formula,yhtälö,nouns,3.94
2180,suspect,pidättää,verbs,0.33
2181,demolish,murskata,verbs,2.79
2182,aggression,vihamielisyys,nouns,4.69
2183,logic,älykkyys,nouns,2.7
2184,doctor,lääkäri,nouns,4.89
2185,cytoplasm,luku,nouns,0.0
2186,completely,puhtaasti,adverbs,2.66
2187,chicken,pihvi,nouns,0.71
2188,august,kuukausi,nouns,2.35
2189,trick,peli,nouns,0.79
2190,wander,etsiä,verbs,0.73
2191,tank,auto,nouns,0.76
2192,ideally,realistisesti,adverbs,0.47
2193,kill,tukehtua,verbs,0.95
2194,brightly,kevyesti,adverbs,1.17
2195,anthropology,arkeologia,nouns,1.18
2196,sailor,kapteeni,nouns,2.34
2197,grow,laajentaa,verbs,4.25
2198,die,haudata,verbs,0.94
2199,normal,erilainen,adjectives,0.2
2200,straw,vaimo,nouns,0.0
2201,cathedral,sisäkatto,nouns,0.05
2202,apple,makeinen,nouns,0.19
2203,arrange,edellyttää,verbs,0.0
2204,helmet,ase,nouns,0.39
2205,acknowledge,puhua,verbs,0.97
2206,mob,väkijoukko,nouns,4.87
2207,guardian,aikuinen,nouns,1.97
2208,magnitude,koko,nouns,5.21
2209,allow,jäytää,verbs,0.0
2210,vulnerable,helppo,adjectives,0.39
2211,winner,mestari,nouns,4.13
2212,drizzle,sade,nouns,3.67
2213,white,kapea,adjectives,0.0
2214,cannon,pallo,nouns,0.31
2215,easily,kovakouraisesti,adverbs,0.15
2216,algebra,operaatio,nouns,0.36
2217,elbow,nilkka,nouns,0.89
2218,birthday,päivämäärä,nouns,1.9
2219,new,muinainen,adjectives,0.24
2220,discreetly,ilmiselvästi,adverbs,0.14
2221,castle,seinä,nouns,0.36
2222,mouth,nenä,nouns,1.15
2223,rapid,nopea,adjectives,5.42
2224,cardigan,paita,nouns,1.31
2225,list,ryhmä,nouns,0.85
2226,want,himoita,verbs,5.21
2227,muscle,käsivarsi,nouns,0.94
2228,require,tiedustella,verbs,0.3
2229,boat,auto,nouns,0.72
2230,locate,löytää,verbs,4.88
2231,coast,tykkivene,nouns,0.19
2232,joystick,tutka,nouns,0.32
2233,believe,tietää,verbs,1.85
2234,lizard,krokotiili,nouns,2.55
2235,elevator,auto,nouns,0.09
2236,soul,veli,nouns,0.0
2237,busy,laiska,adjectives,0.15
2238,president,oppilas,nouns,0.2
2239,nice,julma,adjectives,0.1
2240,reader,tekijä,nouns,0.86
2241,basically,täysin,adverbs,0.74
2242,woman,turkki,nouns,0.0
2243,rarely,yleensä,adverbs,0.32
2244,bone,kyynärpää,nouns,1.05
2245,agriculture,kasvi,nouns,1.1
2246,demand,nuhdella,verbs,0.19
2247,sultan,ministeriö,nouns,0.26
2248,parade,väkijoukko,nouns,1.77
2249,cable,kappeli,nouns,0.0
2250,promote,edetä,verbs,2.24
2251,foot,pää,nouns,0.64
2252,fail,menettää,verbs,1.64
2253,nervous,tietty,adjectives,0.0
2254,lawyer,asianajaja,nouns,5.09
2255,cloud,sää,nouns,0.98
2256,retain,jäädä,verbs,0.79
2257,drink,siemailla,verbs,3.22
2258,car,letku,nouns,0.0
2259,win,lyödä,verbs,2.64
2260,theme,kirja,nouns,0.34
2261,creative,innovatiivinen,adjectives,4.97
2262,neck,selkäranka,nouns,1.37
2263,salad,ruokavalio,nouns,0.98
2264,quit,aloittaa,verbs,0.24
2265,fee,korvaus,nouns,3.54
2266,ankle,kyynärpää,nouns,0.89
2267,rare,tyhmä,adjectives,0.0
2268,mare,hevonen,nouns,3.23
2269,often,tuskin koskaan,adverbs,0.32
2270,join,hankkia,verbs,0.21
2271,require,järjestää,verbs,0.0
2272,millionaire,dollari,nouns,0.41
2273,bone,hampaat,nouns,2.04
2274,hill,kalliojyrkänne,nouns,1.32
2275,dune,aavikko,nouns,1.56
2276,vein,vatsa,nouns,0.5
2277,search,metsästää,verbs,2.62
2278,enjoy,viihdyttää,verbs,0.69
2279,nail,pää,nouns,0.6
2280,actor,televisio,nouns,0.34
2281,blanket,voimakas tuuli,nouns,0.0
2282,collect,säästää,verbs,2.67
2283,vitamin,rauta,nouns,1.06
2284,cold,tavallinen,adjectives,0.0
2285,argument,kritiikki,nouns,1.33
2286,shake,kerätä,verbs,0.1
2287,loudly,mielettömästi,adverbs,0.73
2288,importantly,vakavasti,adverbs,1.41
2289,gap,aukko,nouns,4.05
2290,pure,vaatimaton,adjectives,0.57
2291,odd,outo,adjectives,5.08
2292,cabin,leiri,nouns,0.59
2293,giggle,nauraa,verbs,4.42
2294,ordinary,uskomaton,adjectives,0.24
2295,handicraft,perinne,nouns,0.35
2296,ministry,sulttaani,nouns,0.26
2297,manager,johtaja,nouns,3.2
2298,currency,samanaikaisuus,nouns,0.04
2299,wealth,kuuluisuus,nouns,0.92
2300,happiness,tuuri,nouns,0.44
2301,south,pohjoinen,nouns,0.91
2302,manuscript,artikkeli,nouns,1.57
2303,honestly,ei koskaan,adverbs,0.0
2304,pretend,kuvata,verbs,0.66
2305,anchor,vene,nouns,0.51
2306,day,yö,nouns,0.76
2307,taxi,taksiauto,nouns,5.39
2308,apple,auringonpaiste,nouns,0.0
2309,pain,haitta,nouns,2.16
2310,idea,kuva,nouns,0.89
2311,normal,outo,adjectives,0.24
2312,appliance,kattila,nouns,0.44
2313,steel,metalliseos,nouns,2.76
2314,absorb,omistaa,verbs,0.29
2315,hound,kettu,nouns,1.14
2316,motel,majatalo,nouns,3.81
2317,smash,särkeä,verbs,4.24
2318,turkey,lintu,nouns,2.4
2319,arm,niska,nouns,0.59
2320,foreigner,kääntäjä,nouns,0.15
2321,attorney,lakimies,nouns,5.09
2322,gun,tykki,nouns,2.67
2323,accurately,aktiivisesti,adverbs,0.29
2324,destroy,muodostaa,verbs,0.24
2325,fantasy,todellisuus,nouns,0.39
2326,kid,tytär,nouns,1.55
2327,unmentionable,avioliiton ulkopuolinen,adjectives,0.07
2328,score,taso,nouns,0.86
2329,go,tulla,verbs,0.76
2330,surely,selvästi,adverbs,3.55
2331,agree,miellyttää,verbs,0.79
2332,divide,lisätä,verbs,0.6
2333,honest,syyllinen,adjectives,0.05
2334,sharp,mieto,adjectives,0.0
2335,attend,kiistellä,verbs,0.15
2336,uniformly,joskus,adverbs,0.05
2337,band,väkijuoma,nouns,0.0
2338,impatiently,karkeasti,adverbs,0.89
2339,skirt,rannekello,nouns,0.0
2340,straight,kaareva,adjectives,0.33
2341,acetylcholine,iiris,nouns,0.15
2342,here,nyt,adverbs,1.11
2343,overcome,dominoida,verbs,2.59
2344,fresh,vanha,adjectives,0.24
2345,fight,tappaa,verbs,1.09
2346,elegantly,kauniisti,adverbs,3.76
2347,great,loistava,adjectives,4.2
2348,fertilizer,kasvu,nouns,0.59
2349,reject,välttää,verbs,1.53
2350,terrible,paha,adjectives,3.9
2351,inaccurately,tarkalleen,adverbs,0.24
2352,bible,virsi,nouns,0.83
2353,vexillology,lippu,nouns,1.46
2354,senate,perustuslaki,nouns,0.41
2355,fencing,voimistelu,nouns,1.23
2356,insight,fakta,nouns,1.33
2357,loudly,pehmeästi,adverbs,0.09
2358,speak,tunnustaa,verbs,0.97
2359,pupil,presidentti,nouns,0.2
2360,lonely,köyhä,adjectives,0.24
2361,convince,yrittää,verbs,0.27
2362,sea,ranta,nouns,0.96
2363,goat,lehmä,nouns,1.18
2364,ankle,luu,nouns,1.11
2365,contemptuous,halveksuva,adjectives,5.09
2366,body,käsivarsi,nouns,0.81
2367,drive,pysähtyä,verbs,0.1
2368,king,prinssi,nouns,1.96
2369,awake,kuorsata,verbs,0.19
2370,known,kansallinen,adjectives,0.25
2371,forgive,ymmärtää,verbs,0.94
2372,surgery,sydän,nouns,0.38
2373,cone,kuppi,nouns,0.34
2374,text,kirja,nouns,2.5
2375,scribble,kirjoittaa,verbs,2.8
2376,organized,sekava,verbs,0.24
2377,bowl,lautanen,nouns,1.97
2378,top,kylki,nouns,0.41
2379,joy,ylpeys,nouns,1.66
2380,combination,liitto,nouns,3.0
2381,go,lähettää,verbs,0.26
2382,arrive,osallistua,verbs,0.89
2383,listen,kuulla,verbs,3.67
2384,beauty,sonetti,nouns,0.22
2385,dust,luuta,nouns,0.46
2386,sober,humalainen,adjectives,0.24
2387,princess,morsian,nouns,0.19
2388,warrior,mies,nouns,0.92
2389,hard,rankka,adjectives,2.99
2390,mother,vaimo,nouns,1.73
2391,planet,tähti,nouns,1.81
2392,essentially,välttämättömästi,adverbs,3.58
2393,drown,säästää,verbs,0.05
2394,orchard,strutsi,nouns,0.0
2395,religion,sekularisti,nouns,0.41
2396,value,uskomus,nouns,1.96
2397,plant,maatalous,nouns,1.1
2398,gauge,auto,nouns,0.2
2399,proud,vahva,adjectives,0.61
2400,achieve,onnistua,verbs,3.46
2401,light,näppäimistö,nouns,0.0
2402,rough,hyytävä,adjectives,0.3
2403,stomach,vartalo,nouns,1.39
2404,safety,mukavuus,nouns,1.26
2405,leave,häätää,verbs,0.77
2406,jet,lentokone,nouns,4.39
2407,elect,torjua,verbs,0.0
2408,legal,sallittu,adjectives,4.05
2409,dominate,nujertaa,verbs,2.59
2410,send,vastaanottaa,verbs,0.24
2411,stop,viheltää,verbs,0.05
2412,discourage,rohkaista,verbs,0.24
2413,arrogant,ylpeä,adjectives,3.0
2414,paper,puumateriaali,nouns,1.21
2415,communication,televisio,nouns,0.79
2416,translator,ulkomaalainen,nouns,0.15
2417,archaeology,antropologia,nouns,1.18
2418,specially,mielekkäästi,adverbs,1.31
2419,novel,kirjailija,nouns,0.51
2420,straw,virsi,nouns,0.1
2421,satire,myytti,nouns,0.33
2422,destruction,rakentaminen,nouns,0.28
2423,administration,johtokunta,nouns,3.17
2424,pen,aakkoset,nouns,0.09
2425,wonderful,kaunis,adjectives,1.6
2426,storm,lumi,nouns,1.19
2427,woman,sihteeri,nouns,0.44
2428,compass,elefantti,nouns,0.05
2429,mad,onnellinen,adjectives,0.2
2430,hug,tukahduttaa,verbs,0.82
2431,second,minuutti,nouns,1.64
2432,leave,saapua,verbs,0.19
2433,once,kahdesti,adverbs,1.05
2434,proud,uskalias,adjectives,1.14
2435,opposite,muu,adjectives,0.42
2436,inquire,ajatella,verbs,0.8
2437,head,kynsi,nouns,0.6
2438,piece,lentokenttä,nouns,0.0
2439,style,muoti,nouns,4.0
2440,cruel,ankara,adjectives,2.79
2441,theft,rikos,nouns,2.81
2442,presence,poissaolo,nouns,0.32
2443,disagree,myöntyä,verbs,0.24
2444,gymnastics,miekkailu,nouns,1.23
2445,eye,kulmakarva,nouns,1.02
2446,ray,auringonpaiste,nouns,1.27
2447,rail,aita,nouns,0.64
2448,president,poliitikko,nouns,2.84
2449,roughly,kärsimättömästi,adverbs,0.89
2450,bread,liha,nouns,0.49
2451,soup,päivällinen,nouns,1.39
2452,loose,joustava,adjectives,1.4
2453,now,täällä,adverbs,1.11
2454,beach,rannikkoalue,nouns,nan
2455,tree,lehti,nouns,1.01
2456,king,nepotismi,nouns,0.71
2457,dumb,älykäs,adjectives,0.24
2458,compare,analysoida,verbs,2.32
2459,boy,muksu,nouns,2.42
2460,tonight,huomenna,adverbs,0.46
2461,theory,hypoteesi,nouns,4.41
2462,room,kylpy,nouns,0.13
2463,homework,essee,nouns,2.31
2464,obey,rangaista,verbs,0.2
2465,sky,aurinko,nouns,0.81
2466,ride,siirrellä,verbs,0.45
2467,bed,valmentaja,nouns,0.61
2468,dog,kissa,nouns,1.01
2469,rabbi,opettaja,nouns,2.06
2470,foot,hiekka,nouns,0.0
2471,symbol,kryptogrammi,nouns,2.14
2472,do,tapahtua,verbs,1.04
2473,overwhelm,tukahduttaa,verbs,2.91
2474,lizard,hallitus,nouns,0.0
2475,reliably,vastuullisesti,adverbs,3.21
2476,dictionary,määritelmä,nouns,0.54
2477,god,henki,nouns,2.25
2478,man,nainen,nouns,0.6
2479,uniform,virkkaus,nouns,0.0
2480,public,yksityinen,adjectives,0.24
2481,bath,ilmapallo,nouns,0.05
2482,ball,kori,nouns,0.15
2483,weak,mausteinen,adjectives,0.0
2484,crochet,virkapuku,nouns,0.0
2485,hematology,patologia,nouns,1.71
2486,radar,sauvaohjain,nouns,0.32
2487,river,laakso,nouns,0.77
2488,ride,juosta,verbs,0.64
2489,peninsula,saari,nouns,1.32
2490,choose,päättää,verbs,3.48
2491,telephone,matkapuhelin,nouns,4.07
2492,stupid,itsepäinen,adjectives,0.51
2493,nail,käsi,nouns,0.99
2494,obvious,ilmeinen,adjectives,5.18
2495,tree,vaahtera,nouns,2.75
2496,home,poissa,adverbs,0.41
2497,meal,illallinen,nouns,2.91
2498,arm,luu,nouns,0.81
2499,vanish,hävitä,verbs,5.27
2500,task,työ,nouns,4.14
2501,pray,viestiä,verbs,0.54
2502,alphabet,kuulakärkikynä,nouns,0.09
2503,rapid,vikkelä,adjectives,4.84
2504,melody,musiikki,nouns,2.52
2505,tail,kulho,nouns,0.0
2506,pollution,tunnelma,nouns,0.15
2507,leave,vetäytyä,verbs,3.01
2508,hug,halailla,verbs,4.89
2509,ugly,sotkuinen,adjectives,0.77
2510,leaf,taimi,nouns,0.94
2511,cheese,leipä,nouns,0.72
2512,bath,tukki,nouns,0.0
2513,car,tankki,nouns,0.76
2514,saint,synnintekijä,nouns,0.28
2515,door,ikkuna,nouns,0.84
2516,say,ottaa osaa,verbs,0.41
2517,rare,epätavallinen,adjectives,4.89
2518,comfort,nöyryyttää,verbs,0.04
2519,cinema,televisio,nouns,1.09
2520,add,rakentaa,verbs,1.14
2521,bride,sulhanen,nouns,1.24
2522,roughly,luotettavasti,adverbs,0.05
2523,lose,saada,verbs,0.05
2524,riot,piirustus,nouns,0.0
2525,hawk,lintu,nouns,2.75
2526,simple,kova,adjectives,0.04
2527,liberty,sensuuri,nouns,0.17
2528,create,valmistaa,verbs,4.54
2529,bone,nilkka,nouns,1.11
2530,attend,kokoontua,verbs,1.27
2531,multiple,kahdesti,adverbs,1.27
2532,guy,naistenmies,nouns,1.24
2533,weather,aalto,nouns,0.1
2534,waste,murehtia,verbs,0.05
2535,glass,kristalli,nouns,2.33
2536,strange,tavallinen,adjectives,0.24
2537,baseball,veljeskunta,nouns,0.0
2538,sticky,märkä,adjectives,0.77
2539,destroy,valmistaa,verbs,0.24
2540,bed,sairaala,nouns,0.1
2541,party,ihmiset,nouns,0.65
2542,kindergarten,esikoulu,nouns,3.35
2543,garden,letku,nouns,0.33
2544,safe,laillinen,adjectives,1.04
2545,toy,kuutio,nouns,0.15
2546,terminally,pääasiassa,adverbs,0.19
2547,squeeze,halata,verbs,1.68
2548,conquest,virsi,nouns,0.0
2549,send,laukaista,verbs,2.15
2550,criticize,huomauttaa,verbs,1.76
2551,microscope,biologi,nouns,0.28
2552,atmosphere,saastuminen,nouns,0.15
2553,satisfy,käsittää,verbs,0.13
2554,manner,tapa,nouns,2.92
2555,bury,kuolla,verbs,0.94
2556,tear,pitää päällä,verbs,0.36
2557,flu,kuume,nouns,2.31
2558,article,käsikirjoitus,nouns,1.57
2559,logic,laskuoppi,nouns,1.63
2560,sign,symboli,nouns,5.08
2561,weather,lumi,nouns,0.86
2562,infinity,nolla,nouns,0.36
2563,win,dominoida,verbs,1.41
2564,reduce,kutistua,verbs,3.63
2565,humbly,ylpeästi,adverbs,0.47
2566,church,katedraali,nouns,3.89
2567,stand,kävellä,verbs,0.54
2568,wife,sentti,nouns,0.0
2569,amazing,likainen,adjectives,0.0
2570,room,solu,nouns,1.42
2571,dirty,hämmästyttävä,adjectives,0.0
2572,partner,heppu,nouns,0.57
2573,paper,juliste,nouns,2.09
2574,cradle,seimi,nouns,4.67
2575,weekend,viikko,nouns,1.11
2576,sad,kauhea,adjectives,1.22
2577,club,merkki,nouns,0.05
2578,bacon,papu,nouns,0.24
2579,disease,vaara,nouns,0.3
2580,check,shakki,nouns,0.07
2581,notebook,kannettava tietokone,nouns,0.86
2582,hard,helppo,adjectives,0.24
2583,get,laittaa,verbs,0.14
2584,colt,hevonen,nouns,3.0
2585,leaf,puu,nouns,1.01
2586,softly,äänekkäästi,adverbs,0.09
2587,haunt,pelästyttää,verbs,1.89
2588,give,olla tunnustamatta,verbs,0.04
2589,bother,loukata,verbs,1.48
2590,lemon,omena,nouns,0.96
2591,precious,laiska,adjectives,0.0
2592,people,juhla,nouns,0.65
2593,aid,avustaa,verbs,4.86
2594,lawful,laiton,adjectives,0.24
2595,strength,valmiudet,nouns,2.21
2596,intelligence,tietämättömyys,nouns,0.24
2597,hut,suoja,nouns,1.86
2598,bring,tulla,verbs,0.74
2599,truthful,epärehellinen,adjectives,0.24
2600,decline,hyväksyä,verbs,0.24
2601,bad,suurenmoinen,adjectives,0.09
2602,accept,torjua,verbs,0.24
2603,tradition,käsityö,nouns,0.35
2604,sculptor,kartano,nouns,0.05
2605,turkey,naaraslintu,nouns,1.57
2606,mine,kallio,nouns,0.47
2607,worker,toimisto,nouns,0.46
2608,coast,rannikko,nouns,4.47
2609,accomplish,tulla,verbs,0.24
2610,boat,ankkuri,nouns,0.51
2611,meet,kokoontua,verbs,3.13
2612,milk,mehu,nouns,1.01
2613,massively,avoimesti,adverbs,0.05
2614,celebration,seremonia,nouns,3.69
2615,sad,hauska,adjectives,0.32
2616,globe,maailma,nouns,4.05
2617,ashamed,onnekas,adjectives,0.05
2618,worker,kamera,nouns,0.05
2619,man,lapsi,nouns,0.63
2620,handbook,ohjekirja,nouns,4.49
2621,fraud,korruptio,nouns,2.88
2622,dissolve,sekoittaa,verbs,1.29
2623,branch,käsivarsi,nouns,0.56
2624,morning,päivä ,nouns,2.0
2625,aggravate,hyökätä kimppuun,verbs,0.63
2626,kill,taistella,verbs,1.09
2627,release,painaa,verbs,0.0
2628,bad,keskinkertainen,adjectives,0.51
2629,car,taksi,nouns,3.03
2630,task,moottoritie,nouns,0.0
2631,screenwriter,televisio,nouns,0.52
2632,rude,äänekäs,adjectives,0.65
2633,door,lattia,nouns,0.49
2634,policeman,poliitikko,nouns,0.42
2635,devil,jumala,nouns,0.92
2636,advance,edistää,verbs,2.24
2637,deny,hyväksyä,verbs,0.24
2638,fever,sairaus,nouns,2.57
2639,uniform,muotoutumaton,adjectives,0.25
2640,tough,ovela,adjectives,0.0
2641,leave,jäädä,verbs,0.67
2642,mechanically,ihanteellisesti,adverbs,0.0
2643,delta,meri,nouns,0.92
2644,harmony,piano,nouns,0.46
2645,book,käsikirjoitus,nouns,2.41
2646,game,temppu,nouns,0.79
2647,supporter,kriketti,nouns,0.0
2648,hand,peukalo,nouns,1.57
2649,trial,tuomio,nouns,1.31
2650,write,raapustaa,verbs,2.8
2651,blue,punainen,adjectives,0.91
2652,princess,keksi,nouns,0.0
2653,factory,auto,nouns,0.1
2654,bother,häiritä,verbs,3.88
2655,legend,moraali,nouns,0.12
2656,ordinary,kummallinen,adjectives,0.24
2657,company,liiketoiminta,nouns,3.8
2658,clothes,liina,nouns,1.39
2659,actively,täsmällisesti,adverbs,0.29
2660,beg,lainata,verbs,1.07
2661,deny,myöntää,verbs,0.24
2662,duke,tasavalta,nouns,0.24
2663,national,iso,adjectives,0.22
2664,saver,säästö,nouns,1.63
2665,allow,mennä,verbs,0.29
2666,money,helmi,nouns,0.32
2667,fury,viha,nouns,4.87
2668,stiff,helppo,adjectives,0.05
2669,fairly,epäreilusti,adverbs,0.24
2670,convocation,kokoontuminen,nouns,4.17
2671,begin,lopettaa,verbs,0.24
2672,long,lyhyt,adjectives,0.24
2673,orthodontist,hammaslääkäri,nouns,3.25
2674,unhappy,mieletön,adjectives,1.02
2675,cop,sheriffi,nouns,3.56
2676,boiled,kypsennetty,adjectives,3.07
2677,happily,turvallisesti,adverbs,0.63
2678,year,vuosisata,nouns,1.22
2679,butter,peruna,nouns,0.52
2680,flower,kestävyys,nouns,0.0
2681,please,myöntyä,verbs,0.79
2682,friend,heppu,nouns,0.91
2683,fight,leikkiä,verbs,0.3
2684,breakfast,illallinen,nouns,0.99
2685,chess,tarkistus,nouns,0.07
2686,modest,häpeissään oleva,adjectives,0.32
2687,competence,valmiudet,nouns,4.42
2688,session,potilas,nouns,0.17
2689,waist,ateria,nouns,0.05
2690,deputy,virkailija,nouns,1.15
2691,cricket,tukija,nouns,0.0
2692,optimistically,mahdollisesti,adverbs,0.69
2693,absorb,vetäytyä,verbs,0.35
2694,monthly,viikottainen,adjectives,1.04
2695,go,matkustaa,verbs,2.72
2696,seem,tulla,verbs,0.32
2697,shame,murhe,nouns,1.24
2698,go,aloittaa,verbs,1.12
2699,capacitor,diodi,nouns,1.27
2700,juice,pirtelö,nouns,1.04
2701,free,viaton,adjectives,1.11
2702,subtly,rauhallisesti,adverbs,1.09
2703,heroine,sankari,nouns,3.51
2704,move,pujotella,verbs,0.74
2705,death,katastrofi,nouns,0.84
2706,pact,kunto,nouns,0.34
2707,national,tunnettu,adjectives,0.25
2708,choice,mielipide,nouns,0.94
2709,snow,sää,nouns,0.86
2710,computer,kone,nouns,2.61
2711,predict,määrittää,verbs,1.34
2712,driver,lentäjä,nouns,2.59
2713,film,nihilismi,nouns,0.0
2714,seem,teeskennellä,verbs,1.09
2715,jeans,nainen,nouns,0.0
2716,order,ruokalista,nouns,0.36
2717,apple,kastike,nouns,0.73
2718,cover,salata,verbs,2.69
2719,box,hissi,nouns,0.04
2720,destroy,biohajota,verbs,0.91
2721,lemma,tavu,nouns,0.52
2722,actively,passiivisesti,adverbs,0.24
2723,train,raitiovaunu,nouns,2.54
2724,bicycle,auto,nouns,0.9
2725,inch,metri,nouns,1.23
2726,frustrate,lannistaa,verbs,2.04
2727,decrease,laskeutua,verbs,0.49
2728,decide,valita,verbs,3.48
2729,hole,sopimus,nouns,0.0
2730,receive,hyväksyä,verbs,1.33
2731,information,entropia,nouns,0.48
2732,winner,läsnäolo,nouns,0.0
2733,log,kylpy,nouns,0.0
2734,delicately,nykyään,adverbs,0.0
2735,strong,ylpeä,adjectives,0.61
2736,twice,moninkertainen,adverbs,1.27
2737,bacon,liha,nouns,2.4
2738,read,käsittää,verbs,1.39
2739,journey,valloitus,nouns,0.82
2740,curve,kulma,nouns,0.98
2741,cigar,putki,nouns,0.84
2742,pointer,dia,nouns,0.0
2743,curtain,sauva,nouns,0.15
2744,cattle,jogurtti,nouns,0.42
2745,frigid,karkea,adjectives,0.3
2746,promise,vannoa,verbs,4.82
2747,mouth,huuli,nouns,1.77
2748,catch,vapauttaa,verbs,0.24
2749,nurse,tieteilijä,nouns,0.32
2750,precisely,täsmällisesti,adverbs,5.27
2751,sucrose,hiilihydraatti,nouns,2.38
2752,significant,vähäpätöinen,adjectives,0.24
2753,note,korvaus,nouns,0.31
2754,importantly,virallisesti,adverbs,1.3
2755,god,pappi,nouns,0.64
2756,year,syntymäpäivä,nouns,0.67
2757,notify,tunnustaa,verbs,1.34
2758,trick,kylpy,nouns,0.0
2759,shiver,jäätyä,verbs,0.89
2760,sonnet,kauneus,nouns,0.22
2761,bus,ajoneuvo,nouns,2.46
2762,aluminium,säilyketölkki,nouns,1.19
2763,try,ajatella,verbs,0.15
2764,movie,filmi,nouns,5.54
2765,sacred,kallisarvoinen,adjectives,2.76
2766,search,hakea,verbs,4.92
2767,cooked,keitetty,adjectives,3.07
2768,president,saastuminen,nouns,0.12
2769,director,pomo,nouns,2.69
2770,apple,ruokavalio,nouns,0.54
2771,structure,topologia,nouns,2.21
2772,slim,kapea,adjectives,3.71
2773,poem,rytmi,nouns,0.41
2774,join,liittää,verbs,3.85
2775,convention,sääntö,nouns,2.49
2776,preheat,uudelleenlämmitys,nouns,1.13
2777,sly,kummallinen,adjectives,0.28
2778,camera,työläinen,nouns,0.05
2779,island,niemimaa,nouns,1.32
2780,blame,työntää,verbs,0.0
2781,tease,sattua,verbs,0.46
2782,meter,jaardi,nouns,2.41
2783,huge,suuri,adjectives,4.96
2784,meat,pekoni,nouns,2.4
2785,historiographer,historioitsija,nouns,3.52
2786,predict,edellyttää,verbs,0.77
2787,god,saalis,nouns,0.0
2788,mutant,sosiobiologia,nouns,0.0
2789,verdict,oikeudenkäynti,nouns,1.31
2790,apple,sitruuna,nouns,0.96
2791,simply,ilmeisesti,adverbs,0.37
2792,vomit,sulkea,verbs,0.0
2793,child,aikuinen,nouns,0.69
2794,escape,löytää,verbs,0.2
2795,helium,ilma,nouns,1.1
2796,give,pitää,verbs,0.2
2797,colonel,hammaslääkäri,nouns,0.44
2798,monitor,näyttö,nouns,4.68
2799,portray,ilmoittaa,verbs,0.15
2800,help,kysyä,verbs,0.35
2801,dignity,arvomerkki,nouns,0.34
2802,headword,syntaksi,nouns,0.74
2803,independently,vastuullisesti,adverbs,1.09
2804,gullible,typerä,adjectives,2.19
2805,discourage,järkyttää,verbs,0.49
2806,slide,osoitin,nouns,0.0
2807,journey,retki,nouns,4.87
2808,cellphone,puhelin,nouns,4.07
2809,can,pullo,nouns,1.56
2810,charger,levy,nouns,0.17
2811,mink,öljy,nouns,0.1
2812,fence,hyppy,nouns,0.1
2813,legal,turvallinen,adjectives,1.04
2814,shrink,kasvaa,verbs,0.24
2815,twice,kerran,adverbs,1.05
2816,chapel,kaapeli,nouns,0.0
2817,smallish,kääpiömäinen,adjectives,3.54
2818,girl,lapsi,nouns,2.28
2819,negatively,epäluonnollisesti,adverbs,0.22
2820,hall,välikäytävä,nouns,1.74
2821,strange,eriskummallinen,adjectives,5.07
2822,friendly,epätodennäköisesti,adverbs,0.0
2823,cliff,häntä,nouns,0.0
2824,elephant,kompassi,nouns,0.05
2825,descend,vetäytyä,verbs,1.27
2826,burn,tukahduttaa,verbs,0.25
2827,car,vaunut,nouns,1.97
2828,iris,asetyylikoliini,nouns,0.15
2829,cheap,likainen,adjectives,0.14
2830,fragile,hyytävä,adjectives,0.15
2831,task,nainen,nouns,0.0
2832,wife,reikä,nouns,0.0
2833,explain,selventää,verbs,4.54
2834,broom,pöly,nouns,0.46
2835,guitar,viulu,nouns,1.33
2836,storm,pilvi,nouns,0.72
2837,artist,taideteos,nouns,0.83
2838,death,hautaaminen,nouns,1.17
2839,flower,orvokki,nouns,2.25
2840,glad,mieletön,adjectives,0.05
2841,stamen,pölytys,nouns,0.99
2842,never,tuskin koskaan,adverbs,2.83
2843,argue,huutaa,verbs,1.44
2844,supper,ateria,nouns,2.91
2845,candy,kaneli,nouns,0.32
2846,anarchy,kaaos,nouns,3.33
2847,argument,sopimus,nouns,0.24
2848,culture,yhteiskunta,nouns,2.6
2849,citrus,appelsiini,nouns,3.43
2850,divide,yhdistää,verbs,0.34
2851,hike,kiivetä,verbs,2.23
2852,patient,istunto,nouns,0.17
2853,keep,säilyttää,verbs,4.42
2854,big,helppo,adjectives,0.0
2855,mustard,siemen,nouns,0.9
2856,allowed,laillinen,adjectives,4.05
2857,pest,torjunta-aine,nouns,0.61
2858,learn,imeä itseensä,verbs,1.98
2859,ignore,jättää,verbs,1.77
2860,anxious,pelokas,adjectives,2.56
2861,motherboard,päälevy,nouns,3.34
2862,bad,mahtava,adjectives,0.09
2863,obviously,paikallisesti,adverbs,0.0
2864,retreat,jättää,verbs,3.01
2865,dawn,ase,nouns,0.0
2866,tough,helppo,adjectives,0.24
2867,salt,vesi,nouns,0.17
2868,construct,valmistaa,verbs,3.3
2869,growth,lannoite,nouns,0.59
2870,ignorant,säännöllinen,adjectives,0.07
2871,prestige,varakkuus,nouns,0.96
2872,battery,energia,nouns,1.47
2873,cent,vaimo,nouns,0.0
2874,number,luku,nouns,5.13
2875,ball,tykki,nouns,0.31
2876,forget,oppia,verbs,0.24
2877,bell,torni,nouns,0.33
2878,mix,liueta,verbs,1.29
