ID,FIN,SWA,PoS,score
1986,seremonia,sherehe,nouns,4.85
1987,arvomerkki,insilia,nouns,0.15
1988,menneisyys,zamani,nouns,1.3
1989,peitetty,funikwa,adjectives,0.3
1990,auringonnousu,machweo,nouns,1.55
1991,kokous,mkutano,nouns,4.55
1992,muistaa,kukumbuka,verbs,1.35
1993,teleskooppi,darubini,nouns,0.0
1994,kritisoida,kupinga,verbs,0.55
1995,lävistää,kukupiga ngumi,verbs,0.65
1996,satunnaisesti,mara chache,adverbs,0.6
1997,neuroosi,ugonjwa wa neurosis,nouns,0.85
1998,piirakka,chokoleti,nouns,0.75
1999,tarkoitus,nia,nouns,1.55
2000,totella,kutii,verbs,0.2
2001,valtaistuin,kiti cha enzi,nouns,0.05
2002,kahva,mpini,nouns,0.15
2003,lannoite,samadi,nouns,0.45
2004,piirustus,mchoro,nouns,0.0
2005,prinsessa,bibi arusi,nouns,0.15
2006,demoni,pepo,nouns,0.55
2007,atomi,molekuli,nouns,2.55
2008,laite,chungu,nouns,0.4
2009,avoimesti,wazi,adverbs,0.15
2010,heppu,msichana,nouns,0.6
2011,talvi,msimu wa joto,nouns,0.7
2012,sekoitettu,kumbakumba,adjectives,0.0
2013,suu,jino,nouns,1.5
2014,katsoa,kuangalia,verbs,2.2
2015,lautanen,bakuli,nouns,2.75
2016,lähettää,kuleta,verbs,0.45
2017,äiti,rafiki,nouns,0.65
2018,esilämmitys,pasha kabla,nouns,0.65
2019,pitkä,mwembamba,adjectives,0.45
2020,sovinisti,chauvinist,nouns,1.55
2021,taimi,miche,nouns,1.2
2022,meri,mto,nouns,1.9
2023,vapista,kutetemeka,verbs,0.4
2024,syytön,asiye na hatia,adjectives,0.15
2025,mennä,kutuma,verbs,0.15
2026,työntekijä,mwajiri,nouns,0.75
2027,raekuuro,mvua ya mawe,nouns,3.25
2028,pysähtyä,kuacha,verbs,0.1
2029,minkki,mafuta,nouns,0.1
2030,katto,paa,nouns,0.5
2031,tammi,mpera,nouns,1.45
2032,epäselvä,haijulikani,adjectives,4.65
2033,menettää,poteza,verbs,0.0
2034,haluta,kuazima,verbs,0.7
2035,ikkuna,dirisha,nouns,0.0
2036,vesi,chumvi,nouns,0.25
2037,älykkyys,ustadi,nouns,2.1
2038,sekunti,dakika,nouns,2.5
2039,toimittaja,mwanahabari,nouns,0.65
2040,unohtaa,kukumbusha,verbs,0.25
2041,pohjoinen,kusini,nouns,0.65
2042,vaahtera,mti,nouns,3.3
2043,valehdella,kudanganya,verbs,2.65
2044,paeta,kukimbia,verbs,4.9
2045,sitruuna,chai,nouns,0.35
2046,vatsa,chumba cha kulala,nouns,0.0
2047,olla peräisin,kuanza,verbs,0.6
2048,vetäytyä,kukataa,verbs,0.7
2049,usva,wingu,nouns,2.25
2050,lumivyöry,maporomoko ya theluji,nouns,2.5
2051,hallinto,menejimenti,nouns,3.25
2052,kappale,chaguo,nouns,0.15
2053,kaikkivaltius,uwezaji,nouns,2.8
2054,etäisyys,umbali,nouns,0.05
2055,kynä,penseli,nouns,0.2
2056,työläinen,mfanyakazi,nouns,0.65
2057,valinta,oni,nouns,1.2
2058,ananas,nanasi,nouns,0.0
2059,kirja,andiko,nouns,3.15
2060,painava,mkubwa,adjectives,1.6
2061,vatsa,njia,nouns,0.05
2062,usein,mara nyingi,adverbs,0.2
2063,näyttää,kujifanya,verbs,0.55
2064,väkijoukko,kikundi,nouns,4.7
2065,pöytä,meza,nouns,0.0
2066,huomio,ufahamu,nouns,1.4
2067,usein,mara nyingi,adverbs,0.9
2068,mies,mwanamke,nouns,0.7
2069,sisäkatto,kanisa kuu,nouns,0.15
2070,tragedia,kifo,nouns,1.5
2071,käsivarsi,mkono,nouns,0.1
2072,ikkuna,dirisha,nouns,0.5
2073,ymmärrys,ukweli,nouns,1.35
2074,ovela,mgeni,adjectives,0.2
2075,sallia,kwenda,verbs,0.25
2076,näytös,onyesha,nouns,0.0
2077,tavallinen,kawaida,adjectives,0.28
2078,taistelulaiva,manowari,nouns,5.35
2079,matkia,kuiga,verbs,0.1
2080,kärpänen,nzi,nouns,1.0
2081,tylsä,hafifu,adjectives,0.65
2082,valtava,mkubwa sana,adjectives,5.3
2083,minttu,minti,nouns,0.0
2084,elokuva,filamu,nouns,0.0
2085,kieli,misuli,nouns,1.05
2086,turvallisesti,kwa usalama,adverbs,0.65
2087,kävellä,kutembea ,verbs,0.4
2088,asu,sherehe,nouns,0.05
2089,kupla,mapovu,nouns,1.95
2090,pahentaa,kukuza,verbs,0.2
2091,sanakirja,kamusi,nouns,2.95
2092,planeetta,mwezi,nouns,1.7
2093,iltahämärä,jioni,nouns,4.25
2094,pitää päällä,kuvaa,verbs,0.1
2095,päivä,usiku,nouns,0.8
2096,tekijä,muumbaji,nouns,3.1
2097,äiti,mlezi,nouns,3.1
2098,häkki,kizuizi,nouns,0.5
2099,hienovaraisesti,kwa siri,adverbs,0.1
2100,napsahtaa,kuvunja,verbs,0.75
2101,nenä,kinywa,nouns,1.0
2102,sairas,ana wazimu,adjectives,1.0
2103,laatikko,sigara,nouns,0.15
2104,pappi,mungu,nouns,0.7
2105,tavallinen,kawaida,adjectives,0.0
2106,pariskunta,jozi,nouns,5.35
2107,kapea,nyembamba,adjectives,1.88
2108,tuleva,inayoingia,adjectives,0.3
2109,tytär,kijana,nouns,1.85
2110,kova,rahisi,adjectives,0.4
2111,kastike,matofaa,nouns,0.4
2112,ohjaamo,chumba cha rubani,nouns,0.55
2113,kaataa,kumwaga,verbs,0.85
2114,ystävä,mgeni,nouns,0.45
2115,päivittäin,kila siku,adverbs,2.05
2116,varmasti,hakika,adverbs,1.85
2117,ystävä,mwalimu,nouns,0.5
2118,poliitikko,mwanasiasa,nouns,0.35
2119,ihmiset,idadi ya watu,nouns,3.35
2120,lähde,chanzo,nouns,0.0
2121,yksinkertainen,rahisi,adjectives,4.75
2122,mehiläinen,mdudu,nouns,2.6
2123,kuunnella,kujifunza,verbs,0.4
2124,säästää,kuokoa,verbs,0.2
2125,liha,mkate,nouns,0.55
2126,aviomies,mke,nouns,0.85
2127,jalkaterä,mguu,nouns,0.1
2128,jousiampuja,mpiga mishale,nouns,0.1
2129,taivas,ulimwengu,nouns,0.8
2130,voittaa,kutawala,verbs,0.85
2131,herättää,kuamka,verbs,0.2
2132,raamattu,nyimbo,nouns,0.5
2133,laiska,mvivu,adjectives,0.1
2134,elokuu,mwezi,nouns,2.9
2135,omistaa,kuweka,verbs,1.05
2136,jauho,mkate,nouns,1.3
2137,tulla,kwenda,verbs,0.5
2138,tavata,kupatana,verbs,0.0
2139,tapaaminen,shughuli,nouns,0.45
2140,veri,damu,nouns,0.6
2141,tykki,bunduki,nouns,2.45
2142,makuuhuone,baisikeli,nouns,0.0
2143,rauhallinen,utulivu,adjectives,0.45
2144,totella,kusikiliza,verbs,1.35
2145,kirsikka,cheri,nouns,1.7
2146,jäätyä,kuganda,verbs,0.4
2147,olkapää,kichwa,nouns,0.85
2148,tienraivaaja,njia,nouns,0.1
2149,haistaa,kunusa,verbs,0.05
2150,järjestää,kuhitaji,verbs,0.1
2151,sijainen,msaidizi,nouns,0.6
2152,ilmeinen,wazi,adjectives,5.25
2153,timantti,hela,nouns,0.45
2154,valmistaa,kuumba,verbs,4.55
2155,kahvi,maharagwe,nouns,0.5
2156,ovela,mjanja,adjectives,4.35
2157,pätevyys,uwezo,nouns,4.2
2158,energia,nishati,nouns,1.1
2159,sotkuinen,chafu,adjectives,0.68
2160,huuli,nyonga,nouns,0.7
2161,näppäimistö,kibodi,nouns,0.0
2162,kiertäminen,mzunguko,nouns,0.15
2163,enimmäkseen,zaidi,adverbs,0.5
2164,uskalias,wa kujivunia,adjectives,0.4
2165,niemimaa,peninsula,nouns,1.05
2166,kuvata,kuiga,verbs,1.4
2167,tihkusade,mvua,nouns,4.35
2168,torjua,kutoa,verbs,0.7
2169,toimeksianto,jukumu,nouns,4.4
2170,realistisesti,kihalisia,adverbs,0.55
2171,letku,bustani,nouns,0.3
2172,syyllinen,mkweli,adjectives,0.15
2173,aikuinen,mzazi,nouns,2.95
2174,tiedustella,kuhitaji,verbs,0.35
2175,lusikka,kijiko,nouns,0.1
2176,helppo,imara,adjectives,0.25
2177,palauttaa,kubadilisha,verbs,0.65
2178,naudanliha,nyama ya ng'ombe,nouns,3.3
2179,museo,jumba la makumbusho,nouns,0.0
2180,ratkaisematon,kuwa yumba,adjectives,0.35
2181,valittaa,kugombana,verbs,1.15
2182,paistaa,kukaanga,verbs,3.05
2183,prinssikunta,mfalme,nouns,2.3
2184,tukki,mbao,nouns,2.85
2185,mies,mume,nouns,4.15
2186,vahvasti,kwa nguvu,adverbs,0.25
2187,työläinen,makanika,nouns,2.1
2188,paukkumaissi,bisi,nouns,0.25
2189,taiteilija,msanii,nouns,0.85
2190,tohtori,mtaalamu wa meno,nouns,2.45
2191,oppia,kuchambua,verbs,0.85
2192,lähettää,kupokea,verbs,0.35
2193,hysteria,ghasia,nouns,1.2
2194,yö,alfajiri,nouns,0.65
2195,rehellisesti,kwa kweli,adverbs,0.0
2196,todistaa,kugombana,verbs,0.25
2197,ammatti,chuo,nouns,0.55
2198,villapaita,fulana,nouns,0.6
2199,rukoilla,kuwasiliana,verbs,0.35
2200,kypärä,helmeti,nouns,0.4
2201,planeetta,sayari,nouns,2.7
2202,leidi,bwana,nouns,0.7
2203,ihmiset,bunduki,nouns,0.05
2204,saada,kujipatia,verbs,2.6
2205,olla peräisin,kugundua,verbs,0.25
2206,muistutus,baki,nouns,0.35
2207,laakso,bonde,nouns,0.0
2208,käsittää,kuridhisha,verbs,0.05
2209,talo,banda,nouns,2.55
2210,edeltäjä,antecedent,nouns,1.3
2211,vapauttaa,kuachilia,verbs,0.0
2212,tieto,kitabu,nouns,0.75
2213,kuolettavasti,hatari sana,adverbs,0.0
2214,lentokone,ndege,nouns,0.0
2215,hirveä,poa,adjectives,0.25
2216,lopettaa,kufanya,verbs,0.3
2217,galaksi,giligili,nouns,0.0
2218,monitahokas,pembe zaidi ya sita,nouns,0.05
2219,iso,rahisi,adjectives,0.05
2220,moittia,kushtaki,verbs,0.05
2221,varvas,kidole cha mkono,nouns,1.7
2222,strategi,mkakati,nouns,2.5
2223,kannettava tietokone,kipakatio,nouns,0.25
2224,tuntea,kuhisi,verbs,1.0
2225,pohja,msingi,nouns,0.1
2226,säännöllinen,mara kwa mara,adjectives,0.0
2227,veli,baba,nouns,0.95
2228,kokoontuminen,kusanyiko,nouns,4.55
2229,virallisesti,rasmi,adverbs,0.4
2230,kuukausipalkka,ada,nouns,1.05
2231,tutka,rada,nouns,0.5
2232,keskustella,kueleza,verbs,1.5
2233,lakimies,mfanyakazi wa benki,nouns,0.8
2234,vihainen,mwenye furaha,adjectives,0.35
2235,tulla,kuonekana,verbs,0.4
2236,sauva,pazia,nouns,0.05
2237,suola,maji,nouns,0.25
2238,takaosa,nyuma,nouns,1.9
2239,kunnia,heshima,nouns,1.9
2240,vähentää,toa ,verbs,0.4
2241,peli,mbinu,nouns,0.7
2242,auto,mpira wa maji,nouns,0.0
2243,tehtävä,njia kuu,nouns,0.1
2244,vaatimaton,ana aibu,adjectives,0.2
2245,väsynyt,choka,adjectives,0.15
2246,testi,jaribio,nouns,0.15
2247,kirjallisuus,kitabu,nouns,2.25
2248,veljeskunta,baseball,nouns,0.0
2249,luuri,simu,nouns,0.0
2250,pankki,benki,nouns,0.0
2251,karitsa,kondoo,nouns,4.05
2252,joki,mkondo,nouns,3.1
2253,pilvi,wingu,nouns,0.0
2254,jalka,mkono,nouns,1.5
2255,sykloni,kimbunga,nouns,4.8
2256,nöyryyttää,kuaibisha,verbs,0.0
2257,uskoa,kujua,verbs,1.25
2258,palatsi,jumba la kubwa,nouns,2.0
2259,vaatimaton,pole,adjectives,0.8
2260,luoda,kuwazia,verbs,0.5
2261,kaatua,kuanguka,verbs,2.6
2262,hienotunteisesti,kwa uangalifu,adverbs,0.0
2263,mekaanikko,mfanyakazi,nouns,2.1
2264,aina,mara kwa mara,adverbs,0.65
2265,tippua,dondoka,verbs,0.85
2266,suuri,mkubwa mno,adjectives,5.3
2267,laulu,wimbo,nouns,0.65
2268,kihlautua,kuoa,verbs,2.5
2269,reikä,mapatano,nouns,0.0
2270,kirjailija,mwandishi,nouns,0.55
2271,lukukausimaksu,ada,nouns,1.2
2272,anoa,kuuliza,verbs,2.55
2273,poski,ulimi,nouns,0.95
2274,koko,mbinu,nouns,0.0
2275,suorittaa loppuun,maliza,verbs,0.85
2276,talvi,msimu,nouns,2.2
2277,pohjoinen,magharibi,nouns,0.7
2278,häpeissään oleva,kua na aibu,adjectives,0.05
2279,roikkua,kuweka,verbs,0.1
2280,epäillä,kushukia,verbs,0.25
2281,syntymäpäivä,mwaka,nouns,0.65
2282,tanssi,densi,nouns,0.1
2283,vapauttaa,kukutolewa,verbs,0.2
2284,lähettää,kuhudhuria,verbs,0.15
2285,mieto,vuguvugu,adjectives,0.22
2286,erottaa,kutenganisha,verbs,0.2
2287,peruna,siagi,nouns,0.5
2288,pää,kichwa,nouns,1.1
2289,tuomita,hakimu,verbs,0.45
2290,tyhmä,mkubwa mno,adjectives,0.0
2291,ohjelma,wazo,nouns,0.75
2292,pohjimmiltaan,kimsingi,adverbs,0.7
2293,kuoro,kanisa,nouns,1.05
2294,unohtaa,kupuuza,verbs,1.85
2295,terminaalisesti,mwishoni,adverbs,0.1
2296,kantaa,kupeleka,verbs,1.15
2297,saavuttaa,kujaribu,verbs,0.8
2298,loukata,kukosea,verbs,0.6
2299,lannistaa,kutia moyo,verbs,0.3
2300,kongressi,mkutano,nouns,3.25
2301,saastuminen,angahewa,nouns,0.1
2302,mekaaninen,a kifundi,adjectives,0.55
2303,metalli,chuma,nouns,2.85
2304,sateenvarjo,mwamvuli,nouns,0.05
2305,rikollinen,mhalifu,nouns,5.25
2306,istuin,kiti,nouns,0.0
2307,kaliiperi,kaliba,nouns,0.0
2308,auto ,njia kuu,nouns,0.55
2309,hiiri,menejimenti,nouns,0.0
2310,epäonnistua,kushidwa,verbs,0.15
2311,jäykkä,ngumu,adjectives,0.2
2312,aloittaa,kutokana,verbs,0.6
2313,vaahtera,mnazi,nouns,1.45
2314,pyörä,baiskeli,nouns,0.0
2315,täydellisesti,kiukamilifu,adverbs,1.6
2316,prinssi,mfalme,nouns,2.45
2317,elämäntapa,mtindo wa maisha,nouns,1.2
2318,painovoima,mvuto,nouns,0.1
2319,turvallinen,salama,adjectives,0.7
2320,häpeä,huzuni,nouns,0.95
2321,arvostella,kiwango,verbs,0.55
2322,auto,mtaa,nouns,0.2
2323,ovi,korido,nouns,0.55
2324,lammas,mwanakondoo,nouns,4.05
2325,tulla sisään,kwenda,verbs,0.55
2326,sopimus,pambano,nouns,0.25
2327,yhtenäisesti,sawa,adverbs,0.05
2328,tahrata,kupaka,verbs,0.75
2329,valmistua,kuhitimu,verbs,3.85
2330,todennäköisesti,uwezekano,adverbs,2.55
2331,lumi,theluji,nouns,2.5
2332,tukehtua,kuua,verbs,0.6
2333,munuainen,kiungo,nouns,2.45
2334,suunnaton,kubwa,adjectives,0.55
2335,myrsky,wingu,nouns,0.6
2336,artikkeli,makala,nouns,1.6
2337,oksa,shina,nouns,0.1
2338,maksa,kiungo,nouns,2.3
2339,avain,nyumba,nouns,0.6
2340,tekijöihinjako,sababu,nouns,0.15
2341,ystävä,mvulana,nouns,0.6
2342,liittyä,kukuunga,verbs,0.05
2343,säännöllinen,mara kwa mara,adjectives,0.6
2344,rohkaista,kukanya,verbs,0.3
2345,sininen,bluu,adjectives,0.9
2346,sivuuttaa,kuepa,verbs,2.9
2347,vastaanottaa,kupa,verbs,0.55
2348,valinta,jela,nouns,0.1
2349,liittyä,kujipatia,verbs,0.1
2350,fantasia,uhalisi,nouns,0.25
2351,lentopallo,mpira wa wavu,nouns,2.95
2352,kypsä,kukomaa,adjectives,0.6
2353,kausi,msimu wa baridi,nouns,2.2
2354,näyttää,kuwa,verbs,0.4
2355,osua,piga,verbs,1.3
2356,monarkia,ufalme,nouns,1.3
2357,teollisuus,biashara,nouns,1.8
2358,karja,ngombe,nouns,2.9
2359,löytää,kujipatia,verbs,0.85
2360,isä,mtoto wa kiume,nouns,0.95
2361,sotilas,mvulana,nouns,0.7
2362,äänekäs,yenye sauti,adjectives,0.3
2363,vuosisata,muongo,nouns,1.35
2364,populaatio,watu,nouns,3.35
2365,kapteeni,mwanamaji,nouns,2.3
2366,teeskennellä,kuwazia,verbs,0.65
2367,mukavuus,usalama,nouns,0.9
2368,älykkyys,ujinga,nouns,0.4
2369,hyppy,kuruka,nouns,0.1
2370,sikari,bomba,nouns,0.2
2371,veljenpoika,shangazi,nouns,0.5
2372,ottaa,kuchukua,verbs,1.65
2373,naistenmies,mvulana,nouns,0.55
2374,taso,kiwango,nouns,0.5
2375,erilainen,wa kawaida,adjectives,0.25
2376,nopeus,kiwango,nouns,0.5
2377,älykäs,mpumbavu,adjectives,0.3
2378,aavikko,jangwa,nouns,1.85
2379,juoma,bia,nouns,3.25
2380,yhdistää,kuunganisha,verbs,0.45
2381,kauneus,uzuri,nouns,0.1
2382,tuhota,kutengeneza,verbs,0.25
2383,jonkun poika,mvulana,nouns,4.55
2384,väkivaltainen,wa ghadhabu,adjectives,1.6
2385,vaimo,senti,nouns,0.0
2386,kiistää,kukana,verbs,1.3
2387,setä,mwanaume,nouns,2.75
2388,tukija,msaidizi,nouns,0.0
2389,moninkertainen,nyingi zaidi,adverbs,0.9
2390,keskinkertainen,mtumba,adjectives,0.35
2391,herra,bibi,nouns,0.7
2392,munkki,mtawa,nouns,0.25
2393,supistaa,kupunguza,verbs,0.9
2394,huonosti,kwa ubaya,adverbs,0.05
2395,miellyttää,kuridhisha,verbs,2.0
2396,raja,mpaka,nouns,3.55
2397,pallo,kikapu,nouns,0.3
2398,molekyyli,hewa,nouns,0.5
2399,teksti,kitabu,nouns,3.15
2400,kuulakärkikynä,kalamu,nouns,0.05
2401,pohja,upande,nouns,0.55
2402,hiljaisesti,kwa ukimya,adverbs,0.15
2403,ilta,giza kuingia,nouns,4.25
2404,repiä,kuchana,verbs,0.1
2405,aikuinen,mlezi,nouns,2.15
2406,muodostaa,kuharibu,verbs,0.25
2407,vaunu,gari la farasi,nouns,4.1
2408,kulttuuri,utamaduni,nouns,1.85
2409,ravistaa,kutikisa,verbs,1.13
2410,ajaa,endesha,verbs,0.45
2411,suora,nyooka,adjectives,0.35
2412,lentokone,uwanja wa ndege,nouns,1.35
2413,asunto,hoteli,nouns,0.95
2414,epäreilu,jeuri,adjectives,2.05
2415,sähköinen,chenye umeme,adjectives,0.55
2416,viskositeetti,mnato,nouns,0.3
2417,surullinen,huzuni,adjectives,0.0
2418,vartalo,tumbo,nouns,1.4
2419,lisätä,kugawanya,verbs,0.65
2420,ennakkoluulo,ubaguzi,nouns,1.55
2421,imeä itseensä,kutoa,verbs,1.15
2422,lainmukainen,halali,adjectives,0.3
2423,ottaa,kupeleka,verbs,0.3
2424,auto,honi,nouns,0.3
2425,joustava,mkubwa sana,adjectives,0.35
2426,mahdollisesti,inawezekana,adverbs,1.15
2427,tavata,kukutana,verbs,0.0
2428,säilyketölkki,chuma,nouns,0.95
2429,varmistaa,kusema,verbs,0.55
2430,sulhanen,bibi arusi,nouns,0.85
2431,viikko,wikendi,nouns,1.65
2432,seurata,kufuata,verbs,2.8
2433,riippua,kuhitaji,verbs,1.65
2434,elokuva,filamu,nouns,2.73
2435,rannikkoalue,pwani,nouns,0.25
2436,papu,kahawa,nouns,0.5
2437,märkä,lowa,adjectives,0.75
2438,valkoinen,nyeupe,adjectives,0.0
2439,suo,ziwa,nouns,2.15
2440,uskomattomasti,kwa umaradufu,adverbs,1.45
2441,hiljaa,kwa ukimya,adverbs,0.5
2442,väsynyt,iliyochoka,adjectives,1.55
2443,näyttö,kiwambo,nouns,0.25
2444,peittelemätön,bila siri,adjectives,0.25
2445,jahdata,kukimbiza,verbs,0.75
2446,ystävällinen,mkarimu,adjectives,1.9
2447,voittaja,uwepo,nouns,0.05
2448,neuvoa,kushauri,verbs,3.25
2449,hävitä,kutoweka,verbs,5.4
2450,huolellisesti,kwa utaratibu,adverbs,0.05
2451,nujertaa,kutawala,verbs,1.85
2452,rakko,malengelenge,nouns,0.0
2453,diodi,diode,nouns,1.4
2454,voitto,fora,nouns,3.35
2455,sekoitettu,changanywa,adjectives,2.5
2456,rentoutunut,kupumzika,adjectives,0.2
2457,kuorma-auto,gari la mzigo,nouns,0.05
2458,neuvoa,kupendekeza,verbs,3.6
2459,luonnollisesti,kiasili,adverbs,0.15
2460,papu,nyama ya nguruwe,nouns,0.3
2461,sammal,nyasi,nouns,1.45
2462,sivu,aya,nouns,0.2
2463,keuhko,ini,nouns,1.0
2464,pehmeästi,kwa upole,adverbs,0.05
2465,poika,kijana,nouns,3.25
2466,muksu,mvulana,nouns,3.25
2467,voittaja,mgombea wa uchaguzi,nouns,1.1
2468,matto,nyumba,nouns,0.35
2469,heppu,mtu mzuri,nouns,0.55
2470,levoton,mchanga,adjectives,0.2
2471,ottaa osaa,kusema,verbs,0.3
2472,persilja,pasile,nouns,0.2
2473,kehitys,maendeleo,nouns,0.1
2474,kuningas,mfalme,nouns,0.55
2475,suru,huzuni,nouns,0.3
2476,tekijä,msomaji,nouns,0.65
2477,käsivarsi,goti,nouns,0.85
2478,surullisesti,kwa huzuni,adverbs,1.13
2479,varastaa,kununua,verbs,0.3
2480,hiili,atomu,nouns,1.1
2481,myöntyä,kugombana,verbs,0.35
2482,onnekas,enye bahati,adjectives,0.05
2483,työ,kazi,nouns,1.0
2484,paita,shati,nouns,1.75
2485,sänky,chumba cha kulala,nouns,1.0
2486,vuohi,ngombe,nouns,1.0
2487,aamunkoitto,bunduki,nouns,0.0
2488,oikeudenmukaisuus,haki,nouns,1.7
2489,matkustaa,kusafiri,verbs,3.05
2490,rannekello,saa,nouns,0.0
2491,maila,raketi,nouns,0.6
2492,kriittisesti,kwa uweledi,adverbs,0.95
2493,lakimies,mwanasheria,nouns,0.0
2494,arkkipiispa,askofu,nouns,4.05
2495,laiton,wa dhambi,adjectives,2.1
2496,hukkua ,kutota,verbs,0.05
2497,ei koskaan,kamwe,adjectives,0.42
2498,olla tunnustamatta,kutelekeza,verbs,0.25
2499,tehtävä,majani makavu,nouns,0.0
2500,pala,kipande,nouns,0.0
2501,vahva,wa kujivunia,adjectives,0.35
2502,kiistellä,kuthibitisha,verbs,0.25
2503,pallo,mpira,nouns,1.78
2504,kesä,msimu wa baridi,nouns,0.7
2505,luotettavasti,pasipo tu,adverbs,0.05
2506,käsivarsi,misuli,nouns,0.75
2507,kirja,biblia,nouns,2.65
2508,ihmiset,dola,nouns,0.35
2509,iskeä,kuchapa,verbs,0.2
2510,yksityinen,binafsi,adjectives,0.2
2511,turvautua,tegemea,verbs,0.9
2512,serkku,mjomba,nouns,1.1
2513,mellakka,mgomo,nouns,0.0
2514,näyttelijätär,mchezaji,nouns,4.35
2515,älykkyys,umaizi,nouns,3.05
2516,varainkeruu ,mchango,nouns,0.1
2517,isä,mtoto wa kike,nouns,0.65
2518,painaa,kuvyombo vya habari,verbs,0.0
2519,asunto,fanicha,nouns,0.35
2520,operaatio,uendeshaji,nouns,0.05
2521,kauneus,umri,nouns,0.2
2522,aloittaa,kuacha,verbs,0.25
2523,puhua,kutambua,verbs,0.8
2524,toiminta,mwendo,nouns,0.3
2525,pysyä,kubaki,verbs,1.85
2526,ihmiset,senti,nouns,0.05
2527,itkeä,kulia,verbs,0.2
2528,nälkäinen,kua na njaa ,adjectives,0.75
2529,epäreilusti,si kwa haki,adverbs,0.25
2530,ottaa,kuondoka,verbs,0.4
2531,kohdella,tibu,verbs,0.0
2532,päälevy,bodi kuu,nouns,4.3
2533,iso,mpana,adjectives,3.75
2534,akustiikka,akustik,nouns,2.6
2535,kirjoittaa,kuchorachora,verbs,2.85
2536,nuori,mwenye furaha,adjectives,0.15
2537,jälkeen,baada ya,adverbs,0.25
2538,pehmeästi,kwa ulaini,adverbs,0.2
2539,hissi,sanduku,nouns,0.0
2540,vene,gari,nouns,0.8
2541,rukoilla,kuuliza,verbs,0.75
2542,kummallinen,mwerevu,adjectives,0.2
2543,epätavallisesti,sio kawaida,adverbs,4.8
2544,idea,picha,nouns,1.05
2545,kuulla,kuzungumza,verbs,0.5
2546,kehto,kitanda cha mtoto,nouns,3.6
2547,viha,ghadhabu,nouns,4.65
2548,fonologia,fonolojia,nouns,0.25
2549,luuta,ufagio,nouns,0.55
2550,juoda,kunywa,verbs,2.1
2551,päivämäärä,siku ya kuzaliwa,nouns,1.75
2552,nauraa,kucheka,verbs,0.23
2553,täsmällinen,uhakika,adjectives,0.05
2554,letku,gari,nouns,0.0
2555,unohtaa,kujua,verbs,0.2
2556,myydä,kuazima,verbs,0.15
2557,tarkalleen,kwa usahihi,adverbs,0.2
2558,taito,akili,nouns,2.1
2559,tila,njia,nouns,0.7
2560,vaeltaa,kuondoka,verbs,0.35
2561,säilytysastia,panya,nouns,0.0
2562,terminaalisesti,mwisho,adverbs,0.25
2563,rauhanomaisesti,kwa amani,adverbs,2.08
2564,pää,bega,nouns,0.85
2565,kartio,kikombe,nouns,0.1
2566,läsnäolo,kutokuwepo,nouns,0.35
2567,liittyä,kujumlisha,verbs,1.0
2568,vaihto,ubadilishaji,nouns,0.15
2569,ehdokas,mshindi,nouns,1.1
2570,tuomio,kesi,nouns,1.25
2571,pikainen,wa haraka,adjectives,4.55
2572,suoja,kibanda,nouns,1.25
2573,uutiset,habari,nouns,1.1
2574,työ,menejimenti,nouns,0.7
2575,matriisi,matriksi,nouns,0.68
2576,kansi,panya,nouns,0.0
2577,hyväksyä,kupendekeza,verbs,0.85
2578,puristaa,kuminya,verbs,0.85
2579,taideteos,mchoro,nouns,0.85
2580,todentaa,kutetea,verbs,1.0
2581,typerä,mpumbavu,adjectives,0.8
2582,sallia,kuruhusu,verbs,0.13
2583,osavaltio,nyumba,nouns,0.15
2584,hyytävä,mdhaifu,adjectives,0.25
2585,mikroskooppi,darubini,nouns,0.45
2586,sana,ukurasa,nouns,0.2
2587,laskimo,chaguo,nouns,0.05
2588,tasavalta,jamhuri,nouns,0.2
2589,helppo,mkubwa,adjectives,0.05
2590,rikos,wizi,nouns,3.75
2591,seutu,eneo,nouns,4.4
2592,vene,sitaha,nouns,0.45
2593,osoitin,kionyeshi,nouns,0.0
2594,kerätä,kukusanya,verbs,1.5
2595,sotkuinen,chafu,adjectives,0.15
2596,muksu,mtoto wa kike,nouns,1.85
2597,kylpy,gogo,nouns,0.0
2598,luoda,kutengeneza,verbs,2.28
2599,vaivata,kusumbua,verbs,0.6
2600,nälkäinen,kua na njaa,adjectives,0.15
2601,moottori ,boti,nouns,1.35
2602,saada kiinni,kudaka,verbs,0.47
2603,paikallisesti,kienyeji,adverbs,0.0
2604,peli,tendo,nouns,0.85
2605,rationaalinen,kueleweka,adjectives,0.55
2606,rankka,rahisi,adjectives,0.25
2607,ääni,sauti,nouns,2.6
2608,kallio,mwamba,nouns,0.2
2609,mylly,koboa,nouns,0.25
2610,sormi,kiganja,nouns,0.6
2611,ruokalista,agizo,nouns,0.45
2612,juhlapäivä,likizo,nouns,0.45
2613,palaa,kuunguza,verbs,0.25
2614,aamiainen,chakula cha usiku,nouns,0.9
2615,jaardi,mita,nouns,3.0
2616,laillinen,halali,adjectives,0.7
2617,onnistua,kufeli,verbs,0.25
2618,suisto,delta,nouns,1.05
2619,suoli,neva,nouns,0.6
2620,kypsentää,kupika,verbs,1.32
2621,laittaa,kupa,verbs,0.45
2622,keuhkoputkentulendus,ugonja wa bronchitis,nouns,0.25
2623,jakku,sweta,nouns,2.85
