ID,CYM,FIN,PoS,score
1996,batri,energia,nouns,2.1
1997,amgylchedd,miekka,nouns,0.0
1998,yn ddibynadwy,kovakouraisesti,adverbs,0.05
1999,cynhwysydd,hiiri,nouns,0.0
2000,plaladdwr,tuhoeläin,nouns,0.75
2001,anhrefn,anarkia,nouns,3.9
2002,to,lattia,nouns,0.65
2003,anaml,niukka,adjectives,2.05
2004,niwl,sade,nouns,1.8
2005,pibell,puutarha,nouns,0.25
2006,hedfaniad,ilmailu,nouns,2.85
2007,ceiniog,korvaus,nouns,0.65
2008,tywysog,kuningas,nouns,1.55
2009,gogledd,länsi,nouns,1.1
2010,sleid,osoitin,nouns,0.0
2011,goruchafiath,voitto,nouns,3.4
2012,claddu,kuolla,verbs,1.1
2013,bacwn,liha,nouns,2.9
2014,caethwas,palvelija,nouns,2.2
2015,cwrw,shamppanja,nouns,1.25
2016,saethydd,tienraivaaja,nouns,0.15
2017,anadlu,tukehtua,verbs,0.8
2018,oeraidd,karkea,adjectives,0.65
2019,gadael,tulla sisään,verbs,0.1
2020,yn gadarn,rauhallisesti,adverbs,0.65
2021,gorffwyll,sairas,adjectives,0.95
2022,yn ddwfn,mielekkäästi,adverbs,1.05
2023,caledwedd,tapaus,nouns,0.0
2024,clywed,puhua,verbs,0.65
2025,cyfeillgar,antelias,adjectives,1.55
2026,sglodion,kursori,nouns,0.0
2027,tegan,kuutio,nouns,0.2
2028,garw,hyytävä,adjectives,0.65
2029,baglu,kaatua,verbs,4.0
2030,fel arfer,epäsäännöllisesti,adverbs,0.3
2031,gwirod,yhtye,nouns,0.0
2032,yn heddychlon,ylpeästi,adverbs,0.05
2033,cadair,penkki,nouns,3.4
2034,hynafol,moderni,adjectives,0.2
2035,bronceitus,parasetamoli,nouns,0.25
2036,plentyn,tyttö,nouns,2.0
2037,petrusgar,raivostunut,adjectives,0.35
2038,ysgwyd,hämmentää,verbs,1.9
2039,cydnabod,hyväksyä,verbs,2.95
2040,ffilm,teatteri,nouns,0.9
2041,dianc,paeta,verbs,5.35
2042,llywydd,oppilas,nouns,0.25
2043,meddu ,pitää,verbs,2.15
2044,erthygl,aikakauslehti,nouns,2.1
2045,diflas,terävä,adjectives,0.3
2046,canlyn,tutkia,verbs,0.45
2047,cythruddo,suututtaa,verbs,3.7
2048,troi allan,jättää,verbs,0.7
2049,yn onest,ei koskaan,adverbs,0.0
2050,cynfas,lentokone,nouns,0.0
2051,gwawr,päivä ,nouns,1.6
2052,disgyrchiant,meteori,nouns,0.4
2053,disgyn,pienentää,verbs,0.5
2054,car,polkupyörä,nouns,1.1
2055,gwneuthurio,muodostaa,verbs,3.2
2056,trasiedi,kuolema,nouns,1.2
2057,llyfr,essee,nouns,1.3
2058,duw,henki,nouns,1.75
2059,ogleuo,löyhkätä,verbs,4.75
2060,gwirod,vuosisata,nouns,0.0
2061,drwg,epärehellinen,adjectives,1.65
2062,osgoi,sivuuttaa,verbs,3.3
2063,tristwch,häpeä,nouns,1.35
2064,chwilio,löytää,verbs,1.45
2065,gên,luu,nouns,1.2
2066,yn bennaf,syvästi,adverbs,0.45
2067,mynychu,kiistellä,verbs,0.15
2068,troed,käsi ,nouns,0.9
2069,dan straen,rentoutunut,adjectives,0.2
2070,planed,kuu,nouns,2.2
2071,dant,suu,nouns,1.4
2072,dewis,päättää,verbs,3.55
2073,gwybodaeth,entropia,nouns,0.2
2074,brifo,järkyttää,verbs,0.4
2075,pwysig,välttämätön,adjectives,4.2
2076,ymddygiadaeth,terapia,nouns,1.25
2077,nenfwd,kadetraali,nouns,0.1
2078,arestio,epäillä,verbs,0.3
2079,llygredd,tunnelma,nouns,0.6
2080,derbyn,suositella,verbs,0.8
2081,cyfuno,sulautua,verbs,3.2
2082,adeiladu,lisätä,verbs,1.0
2083,anhygoel,tavallinen,adjectives,0.2
2084,pennod,jakso,nouns,3.7
2085,yn fawr,uskomattomasti,adverbs,1.0
2086,trefnu,edellyttää,verbs,0.0
2087,diplomyddiaeth,neuvottelu,nouns,2.35
2088,newyddiadur,artikkeli,nouns,2.1
2089,diymhongar,häpeissään oleva,adjectives,0.2
2090,sylweddoli,saada selville,verbs,3.65
2091,bowlio,keilaaja,nouns,1.6
2092,tywysoges,kuningas,nouns,1.2
2093,hyfforddiant,apuraha,nouns,0.7
2094,dal,kaapata,verbs,3.1
2095,gwybod,unohtaa,verbs,0.2
2096,gaeaf,kausi,nouns,1.95
2097,bricsen,seinä,nouns,1.0
2098,swm,liitto,nouns,0.3
2099,bàth,ilmapallo,nouns,0.05
2100,anwybodus,säännöllinen,adjectives,0.0
2101,treisgar,vihainen,adjectives,1.5
2102,clo,avain,nouns,1.0
2103,gwleidydd,poliisi,nouns,0.45
2104,ystafell ymolchi,makuuhuone,nouns,2.0
2105,hael,mukava,adjectives,0.75
2106,sbeislyd,hyvä,adjectives,0.1
2107,proffesiwn,korkeakoulu,nouns,0.35
2108,cyfiawnhau,todentaa,verbs,1.15
2109,jin,alkoholi,nouns,2.4
2110,cydsyniad,valuutta,nouns,0.0
2111,haul,taivas,nouns,0.85
2112,glaw,raekuuro,nouns,2.35
2113,ymddengys,tulla,verbs,0.85
2114,balŵn,kylpy,nouns,0.05
2115,gwefus,lonkka,nouns,0.75
2116,cymysgu,ravistaa,verbs,1.9
2117,pêl-fas,koripallo,nouns,2.15
2118,brawd,isä,nouns,1.3
2119,de,pohjoinen,nouns,1.0
2120,injan,kone,nouns,3.4
2121,gwraig,kylpy,nouns,0.0
2122,llosgi,tukahduttaa,verbs,1.1
2123,creu,valmistaa,verbs,4.65
2124,ffôn clyfar,ananas,nouns,0.0
2125,ymchwilio,kuulustella,verbs,2.85
2126,euog,rehellinen,adjectives,0.1
2127,sbeislyd,heikko,adjectives,0.0
2128,traddodiad,käsityö,nouns,0.25
2129,cotwm,polyesteri,nouns,1.45
2130,diflannu,löytää,verbs,0.2
2131,rhesymoli,ajatella,verbs,2.55
2132,ymddangos,teeskennellä,verbs,0.55
2133,priodi,kihlautua,verbs,1.55
2134,prif air,syntaksi,nouns,0.7
2135,gwirio,shakki,nouns,0.0
2136,cyhyr,käsivarsi,nouns,0.9
2137,ystlum,vamppyyri,nouns,1.25
2138,dod yn,organisoida,verbs,0.0
2139,canolig,paha,adjectives,0.15
2140,papur,juliste,nouns,1.85
2141,uchder,keskustelu,nouns,0.0
2142,clymu,yhdistää,verbs,2.8
2143,yn oddefol,aktiivisesti,adverbs,0.2
2144,traethu,muistuttaa,verbs,0.95
2145,rhoi,tietää,verbs,0.15
2146,taith,valloitus,nouns,0.45
2147,corfforaeth,liiketoiminta,nouns,2.25
2148,corff,vatsa,nouns,1.55
2149,ystafell,sänky,nouns,0.6
2150,hela,etsiä,verbs,2.2
2151,gwydr,kristalli,nouns,2.6
2152,rhagolwg,pilvinen sää,nouns,0.35
2153,maddau,ymmärtää,verbs,0.9
2154,nai,täti,nouns,0.85
2155,tynnu,kadottaa,verbs,0.5
2156,sinc,kulta,nouns,0.95
2157,dillad,vetolaatikko,nouns,0.4
2158,ymwrthod,tukahduttaa,verbs,0.4
2159,ymennydd,hermo,nouns,1.4
2160,cadw,lainata,verbs,0.3
2161,cymryd,evätä,verbs,0.25
2162,llyncu,juoda,verbs,2.5
2163,craig,kaivos,nouns,0.35
2164,hawdd,kova,adjectives,0.2
2165,hawdd,rankka,adjectives,0.2
2166,iselder,laakso,nouns,0.3
2167,fel arfer,harvoin,adverbs,0.25
2168,cân,esiintyjä,nouns,0.85
2169,protein,kahva,nouns,0.0
2170,twll,vaimo,nouns,0.0
2171,diflannu,hävitä,verbs,5.3
2172,gwallgof,hullu,adjectives,4.3
2173,caws,leipä,nouns,0.95
2174,gwyn,kapea,adjectives,0.0
2175,bwrw,nipistää,verbs,1.05
2176,wal,linna,nouns,0.55
2177,anniben,puhdas,adjectives,0.2
2178,madfall,käärme,nouns,1.9
2179,amnewid,palauttaa,verbs,0.6
2180,glo,puuhiili,nouns,3.6
2181,cyflwr,tilanne,nouns,1.85
2182,curo,ruoskia,verbs,3.0
2183,chwilio,tiedustella,verbs,1.6
2184,parch,kunnia,nouns,2.6
2185,aren,elin,nouns,2.55
2186,gludedd,loiske,nouns,0.3
2187,egluro,todistaa,verbs,1.75
2188,bys,palmu,nouns,0.0
2189,rhuglen,melu,nouns,0.6
2190,llawr,sisäkatto,nouns,0.7
2191,gwydn,kova,adjectives,2.65
2192,rhoi,antaa lainaksi,verbs,1.65
2193,urddas,arvomerkki,nouns,0.15
2194,clun,huuli,nouns,0.75
2195,amddiffyn,tappaa,verbs,0.5
2196,priodi,liittyä,verbs,1.85
2197,llwyddo,saavuttaa,verbs,4.1
2198,ffilm,nihilismi,nouns,0.0
2199,traeth,riutta,nouns,0.85
2200,stôl,tuoli,nouns,3.6
2201,bws,taksi,nouns,1.25
2202,pastai,suklaa,nouns,0.45
2203,beic,auto,nouns,1.1
2204,crio,nyyhkyttää,verbs,4.2
2205,anonest,paha,adjectives,1.65
2206,pledio,anoa,verbs,3.5
2207,seler,ovi,nouns,0.3
2208,amddiffyn,auttaa,verbs,1.6
2209,yn ansicr,pelästynyt,adjectives,1.5
2210,dicter,tila,nouns,0.65
2211,lansio,lähettää,verbs,1.65
2212,cadair,sänky,nouns,0.9
2213,moleciwl,ilma,nouns,0.5
2214,plesio,tyydyttää,verbs,3.0
2215,mintys poethion,purukumi,nouns,0.65
2216,mynd  ,tulla,verbs,0.85
2217,damweinio,esiintyä,verbs,0.6
2218,colli,pitää,verbs,0.3
2219,cwrs,vatsa,nouns,0.0
2220,ewin,käsi,nouns,1.25
2221,gadael,sivuuttaa,verbs,1.7
2222,euog,paha,adjectives,1.1
2223,bwcler,suoja,nouns,2.25
2224,delwedd,heijastus,nouns,1.25
2225,nyddu,sitoa,verbs,1.15
2226,benthyca,antaa,verbs,1.85
2227,ymbarél,lämmitin,nouns,0.05
2228,sylweddol,vähäpätöinen,adjectives,0.2
2229,gŵr,mies,nouns,3.85
2230,bod mewn dyled,lainata,verbs,2.05
2231,mab,poika,nouns,3.95
2232,dyweddïad,sormus,nouns,1.35
2233,llawenydd,ylpeys,nouns,1.7
2234,hanesyddiaethwr,historioitsija,nouns,3.2
2235,lluwchwynt,sade,nouns,1.55
2236,marw,hajota,verbs,0.6
2237,tywysoges,keksi,nouns,0.0
2238,yn swyddogol,vahvasti,adverbs,0.35
2239,rhyfelgarwch,taistelu,nouns,1.9
2240,therapi,behaviorismi,nouns,1.25
2241,newydd,hiljattainen,adjectives,3.15
2242,nerf,vartalo,nouns,0.65
2243,eglwys,kuoro,nouns,0.6
2244,darlun,rakko,nouns,0.0
2245,coeden,lehti,nouns,1.4
2246,baled,laulu,nouns,4.25
2247,sibrwd,puhua,verbs,2.5
2248,profi,selittää,verbs,1.75
2249,gêm,toiminta,nouns,0.55
2250,ymgeisydd,hakemus,nouns,1.4
2251,hyblyg,löysä,adjectives,0.8
2252,osgoi,kiistää,verbs,1.35
2253,gwn,aamunkoitto,nouns,0.0
2254,nenfwd,lattia,nouns,0.7
2255,apocalyps,tuli,nouns,0.45
2256,cwyno,tuoda,verbs,0.0
2257,cebl,velho,nouns,0.0
2258,hyder,asenne,nouns,1.55
2259,cerflunydd,kartano,nouns,0.2
2260,medi,hyötyä,verbs,0.45
2261,derbyn,lähettää,verbs,0.25
2262,tarddu,saada selville,verbs,0.35
2263,marw,haudata,verbs,1.1
2264,gwenynen,kuningatar,nouns,0.45
2265,rhad,huokea,adjectives,4.55
2266,chwydu,sulkea,verbs,0.0
2267,gorffen,lykätä,verbs,0.55
2268,llaw,ranne,nouns,1.95
2269,gadael,häätää,verbs,0.7
2270,melys,sähköinen,adjectives,0.0
2271,rhiant,aikuinen,nouns,2.5
2272,cytoplasm,luku,nouns,0.0
2273,esgob,muslimi,nouns,0.3
2274,symudiad,aktiviteetti,nouns,1.4
2275,bore,päivä ,nouns,1.55
2276,diflas,hauska,adjectives,0.25
2277,casglu,ravistaa,verbs,0.1
2278,brenin,prinssi,nouns,1.55
2279,dod yn,näyttää,verbs,0.85
2280,digwyddiad,varainkeruutapahtuma,nouns,2.15
2281,troed,pohja,nouns,0.7
2282,darganfod,hankkia,verbs,1.3
2283,bathodyn,lasi,nouns,0.0
2284,dydd ,yö,nouns,0.7
2285,crensian,napsahtaa,verbs,1.3
2286,twr,kello,nouns,0.4
2287,wedi ei orchuddio,peittämätön,adjectives,0.2
2288,hyblyg,siirrettävä,adjectives,1.25
2289,cornel,alue,nouns,0.95
2290,darganfod,hävitä ,verbs,0.2
2291,o bosibl,optimistisesti,adverbs,1.3
2292,dwyn,hankkia,verbs,1.2
2293,cymryd,vastaanottaa,verbs,2.65
2294,crëwr,tekijä,nouns,3.45
2295,cerddoriaeth,huilu,nouns,1.1
2296,senedd,perustuslaki,nouns,0.75
2297,dewis,mielipide,nouns,0.95
2298,cywilydd,järkyttynyt,adjectives,0.45
2299,iro,levitä,verbs,0.45
2300,gwneud,tapahtua,verbs,1.05
2301,ffenestr,ovi,nouns,1.05
2302,mam,ystävä,nouns,1.15
2303,cosbi,opettaa,verbs,0.4
2304,benthyg,anoa,verbs,0.85
2305,angel,demoni,nouns,0.45
2306,sblash,viskositeetti,nouns,0.3
2307,ciledrych,mulkoilla,verbs,0.55
2308,brwydro,leikkiä,verbs,0.4
2309,gwylio,tarkkailla,verbs,3.25
2310,datgysylltu,halkaista,verbs,1.25
2311,canwr,näyttelijä,nouns,1.2
2312,tŷ,asunto,nouns,2.85
2313,ffliwt,musiikki,nouns,1.1
2314,peilot,kuljettaja,nouns,3.05
2315,argraffu,sivuuttaa,verbs,0.0
2316,ifanc,onnellinen,adjectives,0.2
2317,canolig,pitkäveteinen,adjectives,0.55
2318,cefnogwr,kriketti,nouns,0.05
2319,traeth,rannikkoalue,nouns,nan
2320,cael,jäädä,verbs,0.05
2321,anhrefnu,järjestäytynyt,verbs,0.25
2322,dillad isaf,vartalo,nouns,0.25
2323,anaeddfed,täysikasvuinen,adjectives,0.25
2324,polyhedron,näyttelijä,nouns,0.05
2325,eliffant,kompassi,nouns,0.05
2326,llyfr,kirjallisuus,nouns,2.35
2327,papur newydd,sana,nouns,0.75
2328,dinistrio,luoda,verbs,0.25
2329,cadw,suojella,verbs,0.95
2330,anhygoel,likainen,adjectives,0.0
2331,mynach,risti,nouns,0.5
2332,drws,kellari,nouns,0.3
2333,drwg,syyllinen,adjectives,1.1
2334,gadael,vetäytyä,verbs,3.0
2335,boddi,säästää,verbs,0.1
2336,gwaith llaw,perinne,nouns,0.25
2337,hael,ystävällinen,adjectives,1.55
2338,newyddiadurwr,runoilija,nouns,0.65
2339,creu,sukeltaa,verbs,0.0
2340,graff,kaavio,nouns,3.75
2341,mab,isä,nouns,1.15
2342,ffotoffon,homofoni,nouns,0.15
2343,cath,lemmikkieläin,nouns,2.85
2344,dadlau,valittaa,verbs,1.2
2345,oren,sitrushedelmä,nouns,3.65
2346,cyflwr,pakti,nouns,0.0
2347,croes,munkki,nouns,0.5
2348,cynorthwyo,suojella,verbs,1.6
2349,deallus,tyhmä,adjectives,0.2
2350,yn amlwg,paikallisesti,adverbs,0.0
2351,ffynnu,yrittää,verbs,1.0
2352,cyferbyn,uniikki,adjectives,0.15
2353,calibr,sateenvarjo,nouns,0.0
2354,llyncu,siemailla,verbs,2.3
2355,paragraff,kirje,nouns,0.5
2356,orthodontydd,tohtori,nouns,1.6
2357,bachgen,partneri,nouns,0.5
2358,cyngres,parlamentti,nouns,3.15
2359,gwrando,kuulla,verbs,3.05
2360,amlen,koriste,nouns,0.05
2361,anystwyth,helppo,adjectives,0.05
2362,porth,uloskäynti,nouns,2.75
2363,emyn,raamattu,nouns,0.75
2364,esgus,näyttää,verbs,0.55
2365,bachgen,muksu,nouns,2.3
2366,sgrechian,huutaa,verbs,4.2
2367,yn anghywir,tarkalleen,adverbs,0.2
2368,deallusrwydd,logiikka,nouns,2.35
2369,synhwyrydd,jäähdytin,nouns,0.15
2370,teledu,elokuvateatteri,nouns,0.95
2371,dyfalu,ärsyttää,verbs,0.0
2372,ci hela,kettu,nouns,1.15
2373,cyfoeth,köyhyys,nouns,0.5
2374,caffael,löytää,verbs,1.3
2375,trafod syniadau,teleskooppi,nouns,0.0
2376,fector,matriisi,nouns,1.3
2377,yn ystyrlon,syvästi,adverbs,1.05
2378,syfrdanu,juhlia,verbs,0.0
2379,ysglyfaeth,jumala,nouns,0.0
2380,disgleirdeb,tähti,nouns,0.95
2381,rhannu,irrottaa,verbs,1.25
2382,cytuno,olla eri mieltä,verbs,0.25
2383,barnu,päättää,verbs,2.25
2384,partner,heppu,nouns,1.0
2385,dinas,kaupunki,nouns,3.05
2386,taliad,maksu,nouns,4.25
2387,coffi,papu,nouns,0.7
2388,cryptogram,symboli,nouns,2.15
2389,cwpwrdd,vaatteet,nouns,0.6
2390,seren,asteroidi,nouns,1.85
2391,pêl,tykki,nouns,0.3
2392,amsugno,vetäytyä,verbs,0.75
2393,to,ikkuna,nouns,0.55
2394,hanesydd,historiografi,nouns,3.2
2395,doniol,surullinen,adjectives,0.2
2396,canon,ase,nouns,2.7
2397,llyfr,tarina,nouns,1.85
2398,gwin,väkijuoma,nouns,2.1
2399,preifat,henkilökohtainen,adjectives,4.0
2400,neuadd,välikäytävä,nouns,0.75
2401,o ddifrif,merkittävästi,adverbs,1.4
2402,bedd,uudelleenhautaaminen,nouns,1.1
2403,barn,uskomus,nouns,3.6
2404,sensoriaeth,esteettömyys,nouns,0.1
2405,aderyn,kalkkuna,nouns,2.7
2406,tywydd,lumi,nouns,0.95
2407,danfon,mennä,verbs,0.65
2408,camera,presidentti,nouns,0.0
2409,gwrando,totella,verbs,1.25
2410,balchder,uskalias,adjectives,0.85
2411,amsugno,omistaa,verbs,0.25
2412,gadael,jäädä,verbs,0.6
2413,tric,koko,nouns,0.0
2414,awyr,unelma,nouns,0.15
2415,meddwl,neuroosi,nouns,0.95
2416,meddwl,järkeistää,verbs,2.55
2417,yn feirniadol,olennaisesti,adverbs,0.65
2418,mynd o'r golwg,kadota,verbs,5.3
2419,ysgytlaeth,mehu,nouns,1.25
2420,lens,kamera,nouns,1.65
2421,gwddf,kieli,nouns,1.0
2422,perfformio,tehdä kunniaa,verbs,0.15
2423,pwerus,heikko,adjectives,0.2
2424,amgylchiad,tilanne,nouns,4.95
2425,peiriant,tietokone,nouns,2.65
2426,car,letku,nouns,0.0
2427,noswaith,iltahämärä,nouns,3.7
2428,creu,tulla,verbs,0.05
2429,oedran,kauneus,nouns,0.3
2430,modfedd,metri,nouns,1.3
2431,atgoffa,kertoa,verbs,0.95
2432,yn hapus,kuolettavasti,adverbs,0.0
2433,pigo,valikoida,verbs,3.95
2434,drwm,sarvi,nouns,0.15
2435,treisgar,passiivinen,adjectives,0.1
2436,gwirio,sanoa,verbs,0.65
2437,coeden,vene,nouns,0.25
2438,car,tehdas,nouns,0.15
2439,cynhwysor,diodi,nouns,0.8
2440,sudd,omena,nouns,0.8
2441,gwersyll,kämppä,nouns,0.7
2442,rhyddid,sensuuri,nouns,0.1
2443,person dan amheuaeth,mies,nouns,0.5
2444,ergydio,ampua ohi,verbs,0.25
2445,crwm,aggressiivinen,adjectives,0.0
2446,gadael,liittyä,verbs,0.1
2447,difetha,haistaa,verbs,0.05
2448,ystafell,rakennus,nouns,1.2
2449,bws,ajoneuvo,nouns,3.0
2450,gogledd,etelä,nouns,1.0
2451,cred,vaikutelma,nouns,1.45
2452,fflat,talo,nouns,2.85
2453,mynychu,saapua,verbs,0.85
2454,banciwr,lakimies,nouns,0.95
2455,cab,auto,nouns,3.65
2456,maer,päällikkö,nouns,1.45
2457,yn agored i niwed,helppo,adjectives,0.1
2458,aneglur,epämääräinen,adjectives,4.7
2459,hurt,nokkela,adjectives,0.2
2460,trosedd,petos,nouns,3.1
2461,merch,muksu,nouns,1.65
2462,gwallgof,onneton,adjectives,0.6
2463,disgybl,opiskelija,nouns,5.05
2464,drwg,keskinkertainen,adjectives,0.15
2465,corff,käsivarsi,nouns,1.1
2466,profi,kiistellä,verbs,0.25
2467,ebol,hevonen,nouns,3.55
2468,anifail,henkilö,nouns,0.3
2469,blaengau,pyrkiä,verbs,0.15
2470,mawr,joustava,adjectives,0.3
2471,safbwynt,etäisyys,nouns,0.1
2472,stopio,viheltää,verbs,0.1
2473,cyfieithydd,ulkomaalainen,nouns,0.15
2474,ysgrifennu,raapustaa,verbs,3.2
2475,aros,jättää,verbs,0.6
2476,syml,helppo,adjectives,3.9
2477,siampên,viski,nouns,1.4
2478,niwroseicoleg,parapsykologia,nouns,1.9
2479,prynu,varastaa,verbs,0.35
2480,cyw iâr,päivällinen,nouns,1.05
2481,asgwrn,hampaat,nouns,1.4
2482,myfyriwr,opettaja,nouns,0.9
2483,lleuad,planeetta,nouns,2.2
2484,digid,sytoplasma,nouns,0.0
2485,dewis,vankila,nouns,0.0
2486,dicter,raivo,nouns,4.2
2487,dysgu,unohtaa,verbs,0.35
2488,cangen,käsivarsi,nouns,0.7
2489,cosbi,totella,verbs,0.4
2490,reis,papu,nouns,1.0
2491,anghytuno,taistella,verbs,1.0
2492,cerdded,seistä,verbs,0.8
2493,asgwrn,kyynärpää,nouns,1.25
2494,yn aml,tuskin koskaan,adverbs,0.25
2495,gwaethygu,vaivata,verbs,0.55
2496,archesgob,piispa,nouns,3.3
2497,tafod,poski,nouns,1.1
2498,siarad,kuiskata,verbs,2.5
2499,yn annibynnol,vastuullisesti,adverbs,0.8
2500,geneth,lapsi,nouns,2.0
2501,machlud haul,auringonnousu,nouns,1.15
2502,yn anhygoel,tiukasti,adverbs,0.1
2503,pobl,ase,nouns,0.05
2504,gofyn,anoa,verbs,2.4
2505,gwaelod,huippu,nouns,0.35
2506,gŵr,vaimo,nouns,1.65
2507,caets,baari,nouns,0.1
2508,dyn,tyttö,nouns,0.9
2509,tystio,tuomita,verbs,0.65
2510,cefnfor,meri,nouns,4.25
2511,castell,seinä,nouns,0.55
2512,offeryn,viulu,nouns,2.6
2513,gwaed,vartalo,nouns,0.95
2514,corff,selkäranka,nouns,0.9
2515,gludiog,märkä,adjectives,0.65
2516,dadansoddi,arvioida,verbs,4.1
2517,mawr,laaja,adjectives,3.95
2518,tyfu,kutistua,verbs,0.25
2519,awyren,arkki,nouns,0.0
2520,yn ddigynnwrf,hienovaraisesti,adverbs,0.85
2521,afu,elin,nouns,1.95
2522,rhith,todellisuus,nouns,0.3
2523,yn wahanol,normaali,adjectives,0.55
2524,cyntedd,välikäytävä,nouns,1.7
2525,troed,pää,nouns,0.8
2526,eira,lumivyöry,nouns,1.55
2527,gwestai,ystävä,nouns,0.7
2528,gwarcheidwad,äiti,nouns,2.5
2529,gwacáu,määrittää,verbs,0.05
2530,gwael,yksinäinen,adjectives,0.3
2531,gwthio,syyttää,verbs,0.05
2532,rheolaeth,työ,nouns,0.6
2533,awdur,lahja,nouns,0.0
2534,yn sicr,joskus,adverbs,0.15
2535,rhyfelwr,mies,nouns,0.8
2536,sychder,vesi,nouns,0.2
2537,fforddiadwy,halpa,adjectives,5.25
2538,rhan,kappale,nouns,3.7
2539,balch ,mieletön,adjectives,0.05
2540,gwybod,uskoa,verbs,1.8
2541,dweud,ilmaista,verbs,3.85
2542,dimai,vaimo,nouns,0.05
2543,natur,kasvisto,nouns,2.2
2544,hapusrwydd,tuuri,nouns,0.65
2545,plentyn,mies,nouns,0.65
2546,sinematograffeg,ohjaaja,nouns,0.85
2547,sesiwn,potilas,nouns,0.1
2548,rhannu,yhdistää,verbs,0.35
2549,blodyn,pensas,nouns,1.65
2550,stori,laulu,nouns,0.7
2551,dŵr,jää,nouns,2.1
2552,egni,paristo,nouns,2.1
2553,ardal,vyöhyke,nouns,4.9
2554,llawr,kansi,nouns,1.5
2555,cyhoeddi,tiedottaa,verbs,4.7
2556,dwyn,siepata,verbs,2.65
2557,pêl-foli,pallo,nouns,2.65
2558,gofyn,rukoilla,verbs,1.2
2559,emosiwn,tila,nouns,1.8
2560,anfoesol,laiton,adjectives,1.75
2561,hydoddi,sekoittaa,verbs,1.5
2562,yn uchel,pehmeästi,adverbs,0.05
2563,ystafell,kylpy,nouns,0.25
2564,coridor,ovi,nouns,0.45
2565,arbed,tuhota,verbs,0.25
2566,ceisio,onnistua,verbs,0.9
2567,eil,sali,nouns,0.75
2568,caffael,liittyä,verbs,0.15
2569,gwehyddu,liikkua,verbs,0.55
2570,pur,vaatimaton,adjectives,0.95
2571,balch,surullinen,adjectives,0.1
2572,dwyn,ostaa,verbs,0.35
2573,rhestr,ryhmä,nouns,0.65
2574,cyfathrebu,rukoilla,verbs,0.6
2575,unig,köyhä,adjectives,0.3
2576,gadael,tavata,verbs,0.05
2577,teledu,näyttelijä,nouns,0.8
2578,gwych,ihana,adjectives,2.3
2579,asgwrn,lihas,nouns,0.65
2580,ungnwd,maatalous,nouns,0.4
2581,lladd,tukehtua,verbs,1.15
2582,ymwybyddiaeth,huomio,nouns,2.2
2583,cawl,päivällinen,nouns,1.5
2584,gwrthod,myöntää,verbs,0.2
2585,bwrw,rangaista,verbs,0.6
2586,cwmwl,ikkuna,nouns,0.0
2587,cynffon,takaosa,nouns,0.95
2588,bri,varakkuus,nouns,0.2
2589,magma,tulivuori,nouns,1.65
2590,cyfiawnder,tuomioistuin,nouns,1.15
2591,cyfreithiol,sallittu,adjectives,3.1
2592,enillydd,maali,nouns,0.5
2593,enillydd,läsnäolo,nouns,0.0
2594,drwg,moraaliton,adjectives,3.3
2595,band,kestävyys,nouns,0.0
2596,angen,järjestää,verbs,0.0
2597,tynnu'n ôl,imeä itseensä,verbs,0.75
2598,yn ddelfrydol,realistisesti,adverbs,0.65
2599,gwefus,suu,nouns,2.3
2600,drôr,vaatteet,nouns,0.4
2601,datgymalu,kuolla,verbs,0.6
2602,tasg,toimeksianto,nouns,4.95
2603,modur,vene,nouns,0.75
2604,ffa,kahvi,nouns,0.7
2605,anatomeg,biologia,nouns,2.55
2606,sawl,kahdesti,adverbs,0.85
2607,fflat,hotelli,nouns,0.75
2608,hyblyg,helppo,adjectives,1.1
2609,mae'n debygol,ehkäpä,adverbs,2.2
2610,ynys,prinsessa,nouns,0.0
2611,tynnu'n ôl,torjua,verbs,1.75
2612,penodi,valita,verbs,3.2
2613,log,kylpy,nouns,0.0
2614,clymu,pujotella,verbs,1.15
2615,cegin,ovi,nouns,0.25
2616,meddwl,tiedustella,verbs,0.85
2617,cansen siwgr,leikkuupuimuri,nouns,0.1
2618,cymryd,omistaa,verbs,1.15
2619,topoleg,rakenne,nouns,2.0
2620,cynffon,kalliojyrkänne,nouns,0.0
2621,awyr,universumi,nouns,0.85
2622,theori,teoreema,nouns,3.3
2623,dychmygu,luoda,verbs,0.9
2624,gwthio,vetää,verbs,0.3
2625,yn ddwfn,enimmäkseen,adverbs,0.45
2626,disgwyl,jättää,verbs,0.15
2627,hapus,nuori,adjectives,0.2
2628,gwythïen,vatsa,nouns,0.65
2629,caled,yksinkertainen,adjectives,0.0
2630,penderfynu,tuomita,verbs,2.25
2631,anialwch,dyyni,nouns,1.15
2632,heb fod yn ddrud,halpa,adjectives,4.55
2633,ynys,tehtävä,nouns,0.0
2634,portreadu,päättää,verbs,0.2
2635,peiriannydd,työläinen,nouns,2.35
2636,rhybuddio,pysähtyä,verbs,0.75
2637,tywod,jalkaterä,nouns,0.05
2638,morwyn,tyttö,nouns,2.35
2639,yn hyderus,salaa,adverbs,0.2
2640,geiriadur,sana,nouns,1.5
2641,yn dawel,passiivisesti,adverbs,1.1
2642,dynwared,kaapata,verbs,0.1
2643,brwnt,kapea,adjectives,0.0
2644,dod â,valittaa,verbs,0.0
2645,post,nopeus,nouns,0.0
2646,seren,planeetta,nouns,2.15
