ID,FIN,YUE,PoS,score
2118,käsivarsi,樹枝,nouns,0.1
2119,energia,電池,nouns,1.93
2120,sekava,井井有條,verbs,0.24
2121,ooppera,電影,nouns,2.12
2122,sentti,人,nouns,0.18
2123,onnellinen,高興,adjectives,4.63
2124,puhdas,亂,adjectives,0.29
2125,vartiomies,男人,nouns,1.6
2126,kypärä,武器,nouns,1.02
2127,matriisi,向量,nouns,0.93
2128,unelma,天空,nouns,0.05
2129,eri tavalla,終末,adverbs,0.15
2130,ihmiset,槍,nouns,0.28
2131,epäaito,人造,adjectives,4.03
2132,satama,包裝紙,nouns,0.04
2133,alkoholi,葡萄酒,nouns,3.17
2134,kouluttaja,老師,nouns,3.79
2135,moninkertainen,兩次,adverbs,0.74
2136,syvyys,大小,nouns,0.94
2137,ministeriö,蘇丹,nouns,0.15
2138,soturi,男人,nouns,1.15
2139,lisätä,乘,verbs,1.11
2140,väkijuoma,紅酒,nouns,2.89
2141,saari,半島,nouns,1.59
2142,laulaja,演員,nouns,1.79
2143,lainaaja,信用,nouns,0.48
2144,kuvanveistäjä,大廈,nouns,0.05
2145,kuppi,匙羹,nouns,1.1
2146,maatalous,植物,nouns,0.91
2147,tarkoitus,意志,nouns,1.2
2148,muurahainen,蜜蜂,nouns,1.57
2149,villapaita,棉,nouns,0.78
2150,pitää,失去,verbs,0.15
2151,luonnollisesti,非自然,adverbs,0.24
2152,oksentaa,關閉,verbs,0.0
2153,taistelu,征服,nouns,1.36
2154,onnellisesti,死氣沈沈的,adverbs,0.04
2155,keisari,州長,nouns,0.92
2156,toukka,蠶,nouns,3.08
2157,naudanliha,肉,nouns,3.33
2158,kone,電腦,nouns,3.01
2159,karja,羊,nouns,2.21
2160,konkurssi,失敗,nouns,1.4
2161,auringonnousu,日落,nouns,0.92
2162,lelu,立方體,nouns,0.24
2163,tajuta,發現,verbs,3.44
2164,alkoholi,威士忌酒,nouns,3.35
2165,ehkäpä,大概,adverbs,3.21
2166,lämmitin,遮,nouns,0.1
2167,itseluottamus,自己,nouns,1.02
2168,lopettaa,開始,verbs,0.24
2169,haudata,死,verbs,1.05
2170,kirja,手稿,nouns,1.41
2171,luu,顎,nouns,1.65
2172,tiili,牆,nouns,0.81
2173,miekkailu,體操,nouns,1.13
2174,kaaos,類別,nouns,0.0
2175,tohtori,脾氣,nouns,0.18
2176,leveä,新鮮,adjectives,0.0
2177,uhka,危險,nouns,4.83
2178,paha,平庸,adjectives,0.05
2179,kapea,白色,adjectives,0.0
2180,tappaa,毀滅,verbs,2.74
2181,vaimo,女人,nouns,2.54
2182,ilta,黃昏,nouns,4.21
2183,vaatteet,布料,nouns,1.68
2184,armahtaa,原諒,verbs,3.79
2185,isä,男人,nouns,2.62
2186,myrsky,雲,nouns,1.27
2187,pohjoinen,南,nouns,1.23
2188,ei koskaan,稍後,adverbs,0.6
2189,kriittisesti,實質上,adverbs,0.93
2190,hyppy,籬笆,nouns,0.1
2191,kylmä,普通,adjectives,0.0
2192,kohtelias,合乎體統,adjectives,2.63
2193,jää,雪,nouns,3.27
2194,korkeus,換算,nouns,0.04
2195,tavallinen,冷,adjectives,0.0
2196,valehdella,假扮,verbs,2.96
2197,kulho,小巷,nouns,0.0
2198,alue,角,nouns,0.55
2199,kova,容易,adjectives,0.24
2200,tänä iltana,明天,adverbs,0.48
2201,kuppi,錐形蛋筒,nouns,0.04
2202,hyväntuulinen,開心,adjectives,4.3
2203,neutraali,未定,adjectives,0.61
2204,puhdas,整齊,adjectives,4.63
2205,paperi,硬紙板,nouns,2.88
2206,vaatimaton,謙遜,adjectives,4.93
2207,oviaukko,門,nouns,3.61
2208,huutaa,尖叫,verbs,4.12
2209,munuainen,器官,nouns,2.98
2210,väärä,精確,adjectives,0.18
2211,huippu,第五,adjectives,0.14
2212,pallo,服裝,nouns,0.04
2213,poissaolo,在场,nouns,0.29
2214,kypsentää,混合,verbs,0.38
2215,makeinen,肉桂,nouns,0.38
2216,virus,血液,nouns,0.63
2217,härkä,馬,nouns,1.76
2218,luu,肌肉,nouns,0.63
2219,olla tunnustamatta,給,verbs,0.04
2220,tunnelma,污染,nouns,0.32
2221,kieli,喉,nouns,1.3
2222,uusi,舊,adjectives,0.29
2223,pitää päällä,撕開,verbs,0.05
2224,todennäköisesti,也許,adverbs,3.21
2225,jäytää,穿,verbs,0.14
2226,toimeksianto,便條,nouns,0.72
2227,mennä,賣,verbs,0.15
2228,kämppä,茅屋,nouns,3.33
2229,joskus,每當,adverbs,0.78
2230,torjunta-aine,蟲害,nouns,0.67
2231,tytär,父親,nouns,0.87
2232,ovi,兄弟會,nouns,0.0
2233,töykeä,粗糙,adjectives,0.88
2234,unohtaa,提醒,verbs,0.24
2235,käsittää,知道,verbs,3.29
2236,uskomus,花,nouns,0.0
2237,rehellisesti,從未,adverbs,0.0
2238,kapea,長,adjectives,0.67
2239,tavoitella,調查,verbs,0.95
2240,ovela,奇怪,adjectives,0.61
2241,rohkaista,使氣餒,verbs,0.2
2242,kiistää,避免,verbs,0.58
2243,pirtelö,果汁,nouns,1.02
2244,mennä,允許,verbs,0.25
2245,vanha,新鮮,adjectives,0.2
2246,työläinen,辦公室,nouns,0.53
2247,rintakehä,身體,nouns,2.01
2248,negatiivinen,從未,adjectives,0.91
2249,tyttö,男人,nouns,0.82
2250,hallitsija,國王,nouns,4.18
2251,partneri,男孩,nouns,0.73
2252,kerätä,搖動,verbs,0.1
2253,pilata,聞,verbs,0.05
2254,säästää,淹,verbs,0.1
2255,piirtää,創建,verbs,1.13
2256,varmasti,清楚地,adverbs,3.64
2257,kovakouraisesti,可靠地,adverbs,0.28
2258,matkia,描繪,verbs,1.0
2259,terävä,鈍,adjectives,0.29
2260,epäröivä,憤怒,adjectives,0.48
2261,kamera,總統,nouns,0.0
2262,huomenna,今晚,adverbs,0.48
2263,auto,橋,nouns,0.29
2264,tuhota,殺,verbs,2.74
2265,muinainen,新,adjectives,0.29
2266,bändi,管弦樂隊,nouns,4.17
2267,työntekijä,雇主,nouns,1.02
2268,kukka,忍耐力,nouns,0.04
2269,kuljettaa,停,verbs,0.15
2270,rauhanomaisesti,自豪地,adverbs,0.28
2271,omituinen,奇怪,adjectives,5.4
2272,sade,薄霧,nouns,1.22
2273,toimisto,工作者,nouns,0.53
2274,tiede,心理學,nouns,1.55
2275,tavu,詞元,nouns,0.85
2276,sytoplasma,數字,nouns,0.0
2277,tieto,書,nouns,0.9
2278,kasvi,農業,nouns,0.91
2279,fraasi,字,nouns,1.25
2280,ystävä,傢伙,nouns,0.91
2281,selvästi,肯定地,adverbs,3.64
2282,kaupunki,城市,nouns,3.53
2283,vastuullisesti,獨立地,adverbs,1.39
2284,älykkyys,邏輯,nouns,2.76
2285,solu,鎖起來,nouns,0.6
2286,kovakouraisesti,稍微地,adverbs,0.55
2287,tarkkailla,觀看,verbs,3.93
2288,pilvi,風暴,nouns,1.27
2289,sade,毛毛雨,nouns,4.18
2290,aavikko,沙丘,nouns,1.93
2291,ateria,晚餐,nouns,3.21
2292,sopimus,洞,nouns,0.0
2293,kausi,冬天,nouns,1.93
2294,tiukasti,難以置信地,adverbs,0.24
2295,pestä,沖洗,verbs,3.4
2296,jogurtti,家牛,nouns,0.33
2297,arkkipiispa,主教,nouns,3.84
2298,sovellus,星系,nouns,0.0
2299,ulkomaalainen,翻譯者,nouns,0.14
2300,muinainen,現代,adjectives,0.29
2301,odottaa,留,verbs,1.23
2302,henkilökohtainen,私人,adjectives,4.01
2303,tulokset,水平,nouns,0.72
2304,biologia,解剖學,nouns,2.42
2305,juoksija,運動員,nouns,3.45
2306,teeskennellä,假設,verbs,0.63
2307,aktiivisesti,高高興興,adverbs,0.76
2308,kitara,鼓,nouns,1.21
2309,salaatti,減肥,nouns,0.83
2310,dyyni,沙漠,nouns,1.93
2311,vapauttaa,抓住,verbs,0.43
2312,yksinkertainen,困難,adjectives,0.19
2313,nuoli,目標,nouns,0.55
2314,kasvu,肥料,nouns,0.72
2315,kuutio,骰子,nouns,3.06
2316,äiti,朋友,nouns,0.73
2317,salaatti,醋,nouns,0.43
2318,minkki,油,nouns,0.15
2319,liitto,總數,nouns,0.47
2320,kompassi,大象,nouns,0.1
2321,paristo,能量,nouns,1.93
2322,laiton,合法,adjectives,0.29
2323,mehiläinen,女王,nouns,0.4
2324,temppu,沖涼,nouns,0.04
2325,pölytys,蕊,nouns,1.1
2326,mittari,車,nouns,0.2
2327,älykäs,聰明,adjectives,4.93
2328,vakavasti,真誠地,adverbs,2.4
2329,toimittaa,接受,verbs,0.0
2330,kärsimättömästi,大致,adverbs,0.53
2331,hattu,大褸,nouns,0.93
2332,tylsä,好笑,adjectives,0.24
2333,kori,球,nouns,0.24
2334,aloittaa,走,verbs,0.35
2335,kalkkuna,鳥,nouns,2.49
2336,vastapäinen,其他,adjectives,0.24
2337,saavuttaa,完成,verbs,3.44
2338,keskinkertainen,壞,adjectives,0.05
2339,auringonlasku,線,nouns,0.0
2340,nilkka,骨頭,nouns,1.03
2341,pysyä,等待,verbs,1.23
2342,opettaja,拉比,nouns,1.6
2343,päällikkö,市長,nouns,2.31
2344,saavuttaa,嘗試,verbs,0.73
2345,kantaa,運送,verbs,2.4
2346,liittyä,離開,verbs,0.05
2347,raide,籬笆,nouns,0.1
2348,selittää,討論,verbs,1.16
2349,järjestää,需要,verbs,0.09
2350,kuolla,埋葬,verbs,1.05
2351,sitoumus,約定,nouns,0.7
2352,viestintä,偈,nouns,3.05
2353,poski,舌頭,nouns,0.93
2354,pellava,布,nouns,2.56
2355,ase,黎明,nouns,0.0
2356,vene,甲板,nouns,0.71
2357,loiske,粘性,nouns,0.3
2358,aito,假,adjectives,0.34
2359,hyökätä,犯罪,nouns,0.56
2360,polkupyörä,汽車,nouns,1.33
2361,voimistelu,擊劍,nouns,1.13
2362,logiikka,智力,nouns,2.76
2363,kilpaileminen,哲學家,nouns,0.09
2364,mennä,開始,verbs,0.35
2365,vihata,蔑視,verbs,2.82
2366,tukki,木,nouns,4.07
2367,erityisesti,有意義地,adverbs,0.8
2368,liha,牛肉,nouns,3.33
2369,itsevarma,肯定,adjectives,3.5
2370,kristitty,新教,nouns,4.03
2371,julma,和藹,adjectives,0.1
2372,alue,區城,nouns,4.39
2373,merkittävä,次要,adjectives,0.34
2374,peli,戲法,nouns,0.63
2375,helppo,困難,adjectives,0.38
2376,hauta,重新安葬,nouns,1.1
2377,kasvisto,大自然,nouns,1.83
2378,kamera,續集,nouns,0.04
2379,rauhallisesti,混亂,adverbs,0.2
2380,lapsi,女孩,nouns,2.58
2381,demoni,怪獸,nouns,3.79
2382,kitara,小提琴,nouns,2.22
2383,sotkuinen,井然有序,adjectives,0.24
2384,ortodontti,醫生,nouns,2.69
2385,paperi,海報,nouns,2.48
2386,valehdella,否認,verbs,0.72
2387,totella,守規矩,verbs,2.98
2388,varastaa,購買,verbs,0.3
2389,kummallinen,怪誕,adjectives,4.63
2390,metalliseos,鋼,nouns,3.24
2391,tavata,打招呼,verbs,1.31
2392,realistisesti,最近,adverbs,0.32
2393,kana,晚餐,nouns,0.79
2394,epäsäännöllisesti,平時,adverbs,0.43
2395,supistaa,收縮,verbs,3.05
2396,korottaa,喝,verbs,0.0
2397,mies,勝利者,nouns,0.33
2398,tyhmä,醒目,adjectives,0.48
2399,suola,水,nouns,0.1
2400,kukka,燈泡,nouns,0.0
2401,kohde,箭頭,nouns,0.55
2402,evätä,接受,verbs,0.2
2403,ksenofobia,種族主義,nouns,4.38
2404,kappeli,電纜,nouns,0.0
2405,käsivarsi,手腕,nouns,1.47
2406,nieleksiä,啜,verbs,1.27
2407,kangas,麻布,nouns,2.56
2408,luu,牙齒,nouns,2.0
2409,kuukausi,八月,nouns,2.53
2410,kalenteri,假日,nouns,0.72
2411,homofoni,光線電話機,nouns,0.0
2412,tuoli,床,nouns,1.51
2413,tehtävä,稻草,nouns,0.0
2414,muksu,男孩子,nouns,2.53
2415,muistuttaa,告訴,verbs,1.93
2416,jumala,父親,nouns,0.29
2417,laakso,峽谷,nouns,4.28
2418,yö,白天,nouns,0.73
2419,pitää sisällään,包括,verbs,5.26
2420,ruoho,刀口,nouns,0.0
2421,suoja,棚屋,nouns,1.18
2422,kaapeli,教堂,nouns,0.0
2423,väkijoukko,束,nouns,0.05
2424,apina,参加競選,nouns,0.09
2425,sekaannus,歇斯底里,nouns,1.98
2426,vihata,批評,verbs,0.78
2427,risti,僧侣,nouns,0.29
2428,farkut,女人,nouns,0.09
2429,turvallisuus,安慰,nouns,0.45
2430,otaksua,假扮,verbs,0.63
2431,epätodennäköisesti,友好,adverbs,0.0
2432,jättää,撤退,verbs,3.55
2433,yksinäinen,貧窮,adjectives,0.2
2434,hermostuneesti,焦急地,adverbs,3.44
2435,ei koskaan,慷慨地,adverbs,0.1
2436,aktiivisesti,被動地,adverbs,0.24
2437,uskoa,知道,verbs,1.07
2438,hiljattain,最近,adverbs,5.07
2439,voittaja,候選人,nouns,0.96
2440,pää,腳,nouns,0.73
2441,haalistua,侵蝕,verbs,0.69
2442,ihmiset,人口,nouns,3.25
2443,selittää,澄清,verbs,4.01
2444,huomio,意識,nouns,2.46
2445,hiili,木炭,nouns,3.68
2446,rauta,維他命,nouns,0.58
2447,käsi,指甲,nouns,1.21
2448,kummallinen,普通,adjectives,0.24
2449,uloskäynti,選舉權,nouns,0.04
2450,välttämätön,重要,adjectives,4.24
2451,mukava,残酷,adjectives,0.1
2452,taivas,宇宙,nouns,1.44
2453,kuva,主意,nouns,0.55
2454,poika,兒子,nouns,3.42
2455,kaataa,滴,verbs,0.86
2456,teleskooppi,頭腦風暴,nouns,0.04
2457,niukka,稀少,adjectives,3.17
2458,juonittelija,策略家,nouns,2.67
2459,kirkkaasti,輕輕地,adverbs,0.73
2460,karja,牛,nouns,3.54
2461,tila,時裝,nouns,0.0
2462,tiedustella,需要,verbs,0.34
2463,lähettää,出席,verbs,0.24
2464,tuskin koskaan,從未,adverbs,3.71
2465,ostaa,得到,verbs,0.55
2466,kallio,礦,nouns,0.66
2467,sikari,盒子,nouns,0.2
2468,virsi,征服,nouns,0.0
2469,ilmeinen,明顯,adjectives,5.34
2470,viime aikoina,最近,adverbs,5.07
2471,kaveri,朋友,nouns,4.73
2472,antaa anteeksi,明白,verbs,0.73
2473,moottori,活塞,nouns,1.21
2474,mies,哨兵,nouns,1.6
2475,sallia,給,verbs,3.37
2476,taimi,葉,nouns,1.15
2477,ihmeellinen,愉快,adjectives,2.27
2478,tehtävä,工作,nouns,3.54
2479,pyrkiä,阻礙,verbs,0.0
2480,jalka,肢體,nouns,2.92
2481,voimallinen,弱,adjectives,0.24
2482,arvovalta,財富,nouns,0.2
2483,veljeskunta,門,nouns,0.0
2484,nappi,衣服,nouns,1.11
2485,muistaa,想,verbs,0.55
2486,lyhyt,長,adjectives,0.34
2487,lentokone,機場,nouns,0.82
2488,äänekäs,無禮貌,adjectives,0.57
2489,poika,米飯,nouns,0.04
2490,avustaa,援助,verbs,4.29
2491,vanhempi,父親,nouns,3.2
2492,ranta,海岸,nouns,nan
2493,pysähtyä,警告,verbs,0.19
2494,puumateriaali,毯,nouns,0.0
2495,tuhota,建造,verbs,0.43
2496,pääkirjoitus,新聞,nouns,2.07
2497,lattia,甲板,nouns,0.68
2498,halveksia,討厭,verbs,2.82
2499,edellyttää,查詢,verbs,0.34
2500,puhelin,小亭,nouns,0.0
2501,laiska,珍貴,adjectives,0.04
2502,vikkelä,迅速,adjectives,4.83
2503,luoda,毀滅,verbs,0.24
2504,korvaaminen,交換,nouns,4.09
2505,kovakouraisesti,容易地,adverbs,0.47
2506,epäreilu,殘忍,adjectives,1.17
2507,juhla,面具,nouns,0.29
2508,romaani,作家,nouns,0.57
2509,sääntö,慣例,nouns,2.56
2510,puolueellisuus,意見,nouns,0.29
2511,kokoontuminen,大型會議,nouns,3.79
2512,sana,報紙,nouns,0.95
2513,läsnäolo,優勝者,nouns,0.04
2514,vaihtaa,改變,verbs,3.79
2515,käyttämätön,新,adjectives,4.63
2516,auto,電梯,nouns,0.14
2517,henkiolento,燈,nouns,0.19
2518,kirjekuori,裝飾,nouns,0.05
2519,vaatteet,大褸,nouns,2.33
2520,leiri,艙,nouns,0.43
2521,lainata,賣,verbs,0.2
2522,tylsä,尖,adjectives,0.29
2523,köyhyys,財富,nouns,0.43
2524,muistuttaa,忘記,verbs,0.24
2525,ovi,地窖,nouns,0.29
2526,uskonto,世俗主義,nouns,0.34
2527,sileä,尖,adjectives,0.15
2528,voittaja,存在,nouns,0.04
2529,ilmiselvästi,大致,adverbs,0.55
2530,murehtia,浪費,verbs,0.05
2531,maila,球,nouns,0.67
2532,joustava,大,adjectives,0.24
2533,teema,書,nouns,0.53
2534,jäädä,得到,verbs,0.6
2535,keitto,晚餐,nouns,1.44
2536,aihe,故事,nouns,0.91
2537,laskeutua,撤退,verbs,0.55
2538,hankkia,偷,verbs,0.92
2539,voittaja,目標,nouns,0.63
2540,vahvasti,正式,adverbs,0.57
2541,harjoitella,重複,verbs,2.66
2542,maksaa,購買,verbs,3.08
2543,painava,滿載,adjectives,1.16
2544,päättää,得出結論,verbs,3.63
2545,vapaus,綠洲,nouns,0.0
2546,ylpeästi,和平地,adverbs,0.28
2547,aivoriihi,望遠鏡,nouns,0.04
2548,koe,教學大綱,nouns,0.84
2549,pesäpallo,籃球,nouns,1.97
2550,tekijä,創造者,nouns,3.72
2551,asunto,家具,nouns,0.48
2552,rakentaminen,毀滅,nouns,0.34
2553,teoria,定理,nouns,3.83
2554,kana,牛扒,nouns,0.45
2555,ymmärtää,知道,verbs,3.46
2556,ovi,走廊,nouns,0.48
2557,olla eri mieltä,搏鬥,verbs,0.55
2558,makuuhuone,廁所,nouns,1.37
2559,tuleva,向外,adjectives,0.2
2560,elefantti,恐龍,nouns,0.93
2561,kansallinen,大,adjectives,0.1
2562,mahti,力量,nouns,3.33
2563,kirja,主題,nouns,0.53
2564,kumota,允許,verbs,0.25
2565,ihana,精彩,adjectives,2.27
2566,kylpy,妻子,nouns,0.04
2567,tylsä,刺激,adjectives,0.38
2568,suora,彎曲,adjectives,0.39
2569,käsivarsi,靜脈,nouns,0.34
2570,teoria,化學,nouns,0.29
2571,koko,一分錢,nouns,0.7
2572,musiikki,長笛,nouns,1.27
2573,veljeskunta,棒球,nouns,0.14
2574,yritys,商業,nouns,3.65
2575,pidättää,懷疑,verbs,0.43
2576,maissikasvi,玉米,nouns,5.55
2577,eteishalli,課堂,nouns,0.6
2578,roikkua,放,verbs,0.46
2579,lento,航空,nouns,3.03
2580,tehdas,汽車,nouns,0.1
2581,pitää päällä,侵蝕,verbs,0.14
2582,olkapää,頭,nouns,0.73
2583,juhlia,使驚奇,verbs,0.04
2584,varovasti,小心地,adverbs,4.17
2585,jättää,進入,verbs,0.04
2586,hallitus,蜥蜴,nouns,0.04
2587,työ,任務,nouns,3.54
2588,pihvi,雞,nouns,0.45
2589,epävarma,害怕,adjectives,0.73
2590,tylsä,沉悶,adjectives,2.51
2591,surullisesti,感情上,adverbs,1.37
2592,gini,酒,nouns,3.44
2593,poliisi,政治家,nouns,0.39
2594,hankkia,加入,verbs,0.05
2595,ateria,腰部,nouns,0.05
2596,kappeli,尖頂,nouns,1.22
2597,aalto,天氣,nouns,0.15
2598,yhdistää,結婚,verbs,0.97
2599,pitkä,短,adjectives,0.34
2600,työläinen,機器匠,nouns,2.25
2601,kaava,日誌,nouns,0.0
2602,vaimo,沖涼,nouns,0.04
2603,hiljaisesti,自然地,adverbs,0.43
2604,pikkuruinen,巨大,adjectives,0.24
2605,baari,監獄,nouns,0.15
2606,komero,衣服,nouns,0.61
2607,auttaa,保護,verbs,2.32
2608,tukija,蟋蟀,nouns,0.04
2609,vatsa,身體,nouns,2.18
2610,kynsi,頭,nouns,0.65
2611,muffini,香芹,nouns,0.24
2612,uudelleenlämmitys,預熱,nouns,1.73
2613,itsenäisesti,負責可靠地,adverbs,1.39
2614,arkki,平面,nouns,0.36
2615,kaapata,抓住,verbs,3.17
2616,hissi,汽車,nouns,0.14
2617,artikkeli,雜誌,nouns,1.88
2618,vilpittömästi,誠實地,adverbs,4.58
2619,liittyä,獲得,verbs,0.05
2620,petos,犯罪,nouns,3.12
2621,jalkaterä,頭,nouns,0.73
2622,vartalo,血液,nouns,0.81
2623,nilkka,肘,nouns,1.02
2624,poissa,在家裡,adverbs,0.34
2625,takavarikoida,攞,verbs,2.46
2626,mehu,匙羹,nouns,0.28
2627,lumi,雪崩,nouns,2.13
2628,kirje,段,nouns,0.05
2629,ilmiselvästi,肯定地,adverbs,3.95
2630,jousiampuja,探路者,nouns,0.15
2631,kiistellä,叫喊,verbs,0.69
2632,vauva,女兒,nouns,2.0
2633,iso,容易,adjectives,0.0
2634,ovi,廚房,nouns,0.33
2635,omena,果汁,nouns,0.71
2636,laskimo,手臂,nouns,0.34
2637,hiiri,容器,nouns,0.0
2638,presidentti,污染,nouns,0.0
2639,aamunkoitto,槍,nouns,0.0
2640,luotettavasti,負責任,adverbs,3.29
2641,täti,叔叔,nouns,0.97
2642,kumppani,夥伴,nouns,3.34
2643,tukahduttaa,宣佈放棄,verbs,0.43
2644,poimia,選擇,verbs,3.98
2645,organisoida,收集,verbs,1.08
2646,lukija,作者,nouns,0.73
2647,yhtye,耐力,nouns,0.0
2648,pitää,借,verbs,0.2
2649,kylpy,房間,nouns,0.33
2650,päättää,想,verbs,1.27
2651,merenranta,沙灘,nouns,2.97
2652,rangaista,服從,verbs,0.34
2653,tohtori,正牙醫生,nouns,2.69
2654,rajaviiva,國境,nouns,3.37
2655,viha,心情,nouns,0.53
2656,vasikka,公牛,nouns,2.83
2657,runoilija,記者,nouns,0.49
2658,isä,家長,nouns,3.2
2659,tauota,等待,verbs,1.3
2660,tehdä,發生,verbs,0.79
2661,köyhä,自豪,adjectives,0.0
2662,mahtava,攞命,adjectives,0.29
2663,korkeakoulu,職業,nouns,0.24
2664,päättää,判斷,verbs,2.35
2665,suojella,幫助,verbs,2.32
2666,puhdashenkinen,謙虛,adjectives,0.43
2667,operaatio,代數,nouns,0.1
2668,rehellinen,內疚,adjectives,0.18
2669,aliohjelma,編譯器,nouns,0.28
2670,mies,叔叔,nouns,2.63
2671,aamunkoitto,白天,nouns,2.33
2672,selkäranka,頸,nouns,1.78
2673,leipä,肉,nouns,0.63
2674,kerho,標識,nouns,0.1
2675,säästää,收藏,verbs,3.5
2676,rutiininomaisesti,一般,adverbs,3.56
2677,jumala,牧師,nouns,0.77
2678,noppa,立方體,nouns,3.06
2679,olkapää,手臂,nouns,1.71
2680,vuohi,牛,nouns,1.89
2681,katto,地板,nouns,0.58
2682,rytmi,詩,nouns,0.67
2683,laatikko,電梯,nouns,0.04
2684,epäonnistua,依靠,verbs,0.15
2685,meri,海灘,nouns,1.73
2686,totella,懲罰,verbs,0.34
2687,sisko,兄弟,nouns,1.67
2688,taksi,的士,nouns,5.55
2689,neuletakki,衫,nouns,2.31
2690,raaka,核突,adjectives,0.66
2691,etikka,沙拉,nouns,0.43
2692,isä,母親,nouns,1.67
2693,voitto,凱旋,nouns,3.73
2694,saari,任務,nouns,0.0
2695,kaaos,無政府,nouns,3.34
2696,olut,飲品,nouns,2.49
2697,antelias,善良,adjectives,1.34
2698,yrtti,大麻,nouns,2.29
2699,hätätilanne,意外,nouns,3.54
2700,saada,購買,verbs,0.55
2701,juosta,騎,verbs,0.54
2702,vatsa,腰,nouns,2.67
2703,syntymäpäivä,年,nouns,0.85
2704,kuvitus,起泡,nouns,0.04
2705,kertoa,提醒,verbs,1.93
2706,galleria,律師,nouns,0.0
2707,negatiivisesti,非自然,adverbs,0.52
2708,appelsiini,柑橘,nouns,4.59
2709,pää,指甲,nouns,0.65
2710,nõyrästi,自豪的,adverbs,0.34
2711,hävitä,收縮,verbs,1.17
2712,moottori,機器,nouns,2.63
2713,valuutta,並行性,nouns,0.0
2714,huonosti,謙遜地,adverbs,0.18
2715,rukoilla,問,verbs,0.68
2716,aukko,缺口,nouns,3.81
2717,lainata,乞求,verbs,0.82
2718,märkä,黏,adjectives,1.27
2719,mies,丈夫,nouns,2.94
2720,orvokki,花朵,nouns,3.22
2721,hakemus,申請人,nouns,0.78
2722,purra,讀,verbs,0.09
2723,salaa,信心十足地,adverbs,0.05
2724,sähköinen,甜,adjectives,0.0
2725,olla erilainen,拗撬,verbs,0.19
2726,vartalo,手臂,nouns,1.06
2727,kihlautua,結婚,verbs,2.46
2728,sana,頁,nouns,0.43
2729,jättää,留,verbs,0.6
2730,uusi,沒用過,adjectives,4.63
2731,pekoni,豆,nouns,0.2
2732,sinkki,金,nouns,1.89
2733,ankkuri,船,nouns,0.67
2734,pappi,預言家,nouns,0.93
2735,käsivarsi,腿,nouns,0.88
2736,dermatiitti,濕疹,nouns,3.67
2737,käsittää,讀,verbs,0.82
2738,pilli,聖歌,nouns,0.28
2739,kellua,唱,verbs,0.0
2740,palvelustyttö,女孩,nouns,1.18
2741,suositella,接受,verbs,0.6
2742,akustiikka,聲音,nouns,2.74
2743,joustava,謙虛,adjectives,0.39
2744,yhtenäisesti,有時,adverbs,0.1
2745,hämmentää,抖動,verbs,1.23
2746,pilvi,湖,nouns,0.33
2747,kristalli,玻璃,nouns,2.81
2748,taimen,吉他,nouns,0.0
2749,usein,不經常,adverbs,0.24
2750,velho,電纜,nouns,0.0
2751,esinahka,割禮,nouns,1.32
2752,saari,公主,nouns,0.0
2753,hiiri,貓,nouns,0.83
2754,naudanliha,家牛,nouns,2.49
2755,sauva,窗帘,nouns,0.14
2756,uusi,古老,adjectives,0.29
2757,sekoittaa,煮,verbs,0.38
2758,veljeskunta,男人,nouns,1.75
2759,teeskennellä,描繪,verbs,0.24
2760,tappaa,防守,verbs,0.2
2761,varmistaa,說,verbs,0.5
2762,nainen,任務,nouns,0.04
2763,epäonnistua,失去,verbs,0.86
2764,salamahyökkäys,攻擊,nouns,3.54
2765,raha,鑽石,nouns,0.61
2766,veitsi,槍,nouns,2.4
2767,sää,雪,nouns,0.63
2768,kunnossa oleva,平庸,adjectives,0.39
2769,rikos,詐騙,nouns,3.12
2770,seurata,追逐,verbs,2.98
2771,jäytää,褪色,verbs,0.69
2772,hermostunut,某些,adjectives,0.04
2773,nöyrä,謙虛,adjectives,4.93
2774,tuomita,決定,verbs,2.35
2775,tuomita,作證,verbs,0.25
2776,joustava,鬆動,adjectives,0.95
2777,todennäköisesti,積極地,adverbs,0.77
2778,luuri,受害者,nouns,0.04
2779,työnantaja,員工,nouns,0.73
2780,antaa anteeksi,接受,verbs,1.07
2781,kuulla,察覺,verbs,1.56
2782,paristo,劇院,nouns,0.09
2783,sopivuussäännöt,規則,nouns,2.56
2784,onnistua,贏,verbs,3.74
2785,nuhdella,需求,verbs,0.15
2786,työkalu,工作,nouns,0.43
2787,veri,肉,nouns,0.63
2788,kaatua,絆倒,verbs,3.74
2789,peukalo,手,nouns,1.82
2790,lääkäri,醫生,nouns,5.05
2791,äiti,妻子,nouns,2.21
2792,liiketoiminta,公司,nouns,3.65
2793,menneisyys,前情,nouns,2.25
2794,täsmällisesti,積極地,adverbs,0.8
2795,selvin päin oleva,醉酒,adjectives,0.29
2796,raaja,腿,nouns,2.92
2797,kiistellä,證明,verbs,0.25
2798,iso,國民,adjectives,0.1
2799,kevyesti,明亮地,adverbs,0.73
2800,vetäytyä,拒絕,verbs,0.74
2801,ase,頭盔,nouns,1.02
2802,irrottaa,裂開,verbs,2.06
2803,mitali,運動鞋,nouns,0.1
2804,lempeästi,仁慈地,adverbs,3.96
2805,hyväksyä,運送,verbs,0.0
2806,sähkö,案件,nouns,0.0
2807,takki,衣服,nouns,2.33
2808,senaatti,憲法,nouns,0.76
2809,lapsi,成人,nouns,0.78
