ID,CMN,FIN,PoS,score
2131,肌肉,kieli,nouns,1.31
2132,得到,laittaa,verbs,0.1
2133,抓住,vapauttaa,verbs,0.34
2134,赢,dominoida,verbs,0.78
2135,旗帜学,lippu,nouns,1.21
2136,蜜糖,sokeri,nouns,2.22
2137,内疚,rehellinen,adjectives,0.1
2138,清洁,sotkuinen,adjectives,0.24
2139,沐浴,temppu,nouns,0.0
2140,珍贵,laiska,adjectives,0.04
2141,射线,auringonpaiste,nouns,1.64
2142,肘,luu,nouns,0.69
2143,正义,tuomioistuin,nouns,1.21
2144,收到,ottaa,verbs,2.37
2145,码,tuuma,nouns,2.17
2146,漂移,virrata,verbs,2.6
2147,站立,kävellä,verbs,0.53
2148,雾气,pilvi,nouns,2.65
2149,刺激,arvata,verbs,0.04
2150,老鼠,kissa,nouns,0.83
2151,薄雾,pilvi,nouns,2.75
2152,白兰地,viini,nouns,2.17
2153,很可能,mahdollisesti,adverbs,3.63
2154,聪慧,tyhmä,adjectives,0.29
2155,选择,vaalit,nouns,2.51
2156,头,jalkaterä,nouns,0.69
2157,头脑,neuroosi,nouns,0.44
2158,简单,haavoittuvainen,adjectives,0.14
2159,发炎,tauti,nouns,3.21
2160,选择,mielipide,nouns,0.95
2161,跑,ajaa,verbs,0.63
2162,薪水,maksu,nouns,1.35
2163,防守,tappaa,verbs,0.38
2164,战役,valloitus,nouns,1.27
2165,年轻,onnellinen,adjectives,0.1
2166,系统,vika,nouns,0.1
2167,主机板,päälevy,nouns,3.63
2168,社会生物学,mutantti,nouns,0.23
2169,打扰,häiritä,verbs,3.86
2170,田,kaura,nouns,0.57
2171,新鲜,vanha,adjectives,0.29
2172,小旅馆,motelli,nouns,3.73
2173,病理学,hematologia,nouns,1.99
2174,枪,kersantti,nouns,0.24
2175,波浪,sää,nouns,0.15
2176,海滩,rannikkoalue,nouns,nan
2177,乞求,vedota,verbs,3.5
2178,歌手,kuoro,nouns,1.77
2179,喝醉,selvin päin oleva,adjectives,0.29
2180,儿童,mies,nouns,1.73
2181,无家可归,miljardööri,nouns,0.15
2182,相反,muu,adjectives,0.29
2183,打扰,loukata,verbs,1.5
2184,母亲,vaimo,nouns,1.98
2185,覆盖着,vaatetettu,adjectives,2.23
2186,没有覆蓋的,peitetty,adjectives,0.29
2187,离开,ilmestyä,verbs,0.0
2188,侄子,täti,nouns,0.54
2189,救,hukkua ,verbs,0.1
2190,对乙酰氨基酚,keuhkoputkentulendus,nouns,0.19
2191,钢笔,aakkoset,nouns,0.05
2192,长凳,tuoli,nouns,3.76
2193,完成,lykätä,verbs,0.29
2194,帮忙,kysyä,verbs,0.29
2195,生存,elää,verbs,2.42
2196,鸵鸟,hedelmätarha,nouns,0.0
2197,同意,miellyttää,verbs,1.45
2198,大主教,piispa,nouns,3.93
2199,雇主,työntekijä,nouns,0.89
2200,放走,saada kiinni,verbs,0.34
2201,段,kirje,nouns,0.14
2202,火鸡,naaraslintu,nouns,2.13
2203,罗盘,elefantti,nouns,0.1
2204,任务,saari,nouns,0.0
2205,判断,todistaa,verbs,0.34
2206,极好,ihmeellinen,adjectives,3.31
2207,生日,vuosi,nouns,0.77
2208,床,tuoli,nouns,0.78
2209,退出,jäädä eläkkeelle,verbs,1.91
2210,吸收,vetäytyä,verbs,0.35
2211,有攻击性的,töykeä,adjectives,1.74
2212,日历,juhlapäivä,nouns,0.68
2213,不同,myöntyä,verbs,0.0
2214,出口,äänioikeus,nouns,0.18
2215,欲望,haluta,verbs,4.49
2216,望远镜,aivoriihi,nouns,0.0
2217,练习,toistaa,verbs,2.06
2218,圣经,virsi,nouns,1.58
2219,步行,seistä,verbs,0.53
2220,床,peitto,nouns,0.34
2221,昂贵,ujo,adjectives,0.0
2222,窗口,pilvi,nouns,0.0
2223,教室,eteishalli,nouns,0.69
2224,理想地,realistisesti,adverbs,0.29
2225,天花板,kadetraali,nouns,0.1
2226,谦虚,nöyrä,adjectives,4.88
2227,组织,kerätä,verbs,1.0
2228,女人,sihteeri,nouns,0.77
2229,脸颊,kieli,nouns,0.75
2230,妻子,aviomies,nouns,0.79
2231,聪慧,fiksu,adjectives,5.39
2232,未成形,yhtenäinen,adjectives,0.25
2233,云,järvi,nouns,0.2
2234,生活,selviytyä,verbs,2.42
2235,外套,neule,nouns,2.59
2236,人,sentti,nouns,0.05
2237,分离,liittää,verbs,0.38
2238,呕吐,sulkea,verbs,0.0
2239,外国人,alieni,nouns,3.96
2240,歌曲,tarina,nouns,0.47
2241,流感,kuume,nouns,2.4
2242,不显眼地,ilmiselvästi,adverbs,0.28
2243,玩,taistella,verbs,0.48
2244,世纪,vuosi,nouns,1.95
2245,剧院,paristo,nouns,0.0
2246,饮品,olut,nouns,2.63
2247,伤害,kaatua,verbs,0.63
2248,疯,sairas,adjectives,1.26
2249,笨,nokkela,adjectives,0.29
2250,评论说,kritisoida,verbs,1.92
2251,身体,veri,nouns,0.91
2252,校验,sanoa,verbs,0.5
2253,头脑风暴,teleskooppi,nouns,0.0
2254,咬,taistella,verbs,1.36
2255,得到,kadottaa,verbs,0.23
2256,资料,kirja,nouns,1.4
2257,看来,yksinkertaisesti,adverbs,0.65
2258,伤害,härnätä,verbs,0.47
2259,合法,sallittu,adjectives,3.17
2260,听,kuulla,verbs,3.68
2261,原子,hiili,nouns,0.92
2262,草,sammal,nouns,1.52
2263,年级,koulu,nouns,0.95
2264,武士,mies,nouns,0.93
2265,聪明,älykäs,adjectives,5.39
2266,异族,ulkolainen,nouns,3.96
2267,吸血鬼,lepakko,nouns,1.02
2268,糟糕,nöyrästi,adverbs,0.05
2269,讨厌,kritisoida,verbs,0.72
2270,牛,lammas,nouns,1.93
2271,锁,avain,nouns,0.86
2272,显然,ilmiselvä,adjectives,5.25
2273,文章,läksyt,nouns,1.46
2274,书,raamattu,nouns,2.43
2275,获得,varastaa,verbs,1.33
2276,描绘,ilmoittaa,verbs,0.15
2277,进入,mennä,verbs,0.95
2278,公共汽车,ajoneuvo,nouns,3.0
2279,大海,joki,nouns,1.74
2280,云,usva,nouns,2.75
2281,甲板,vene,nouns,0.61
2282,飞机,suihkukone,nouns,3.82
2283,复杂,kypsä,adjectives,0.82
2284,失去,epäonnistua,verbs,0.77
2285,花,uskomus,nouns,0.09
2286,竿,verho,nouns,0.14
2287,课程,toiminta,nouns,0.28
2288,最佳,viides,adjectives,0.1
2289,天气,aalto,nouns,0.15
2290,图解,kaavio,nouns,3.29
2291,总和,liitto,nouns,0.57
2292,错误,täsmällinen,adjectives,0.14
2293,大致,ilmiselvästi,adverbs,0.28
2294,洞,sopimus,nouns,0.0
2295,大小,syvyys,nouns,1.21
2296,网球,tilastotiede,nouns,0.0
2297,酒,brandy,nouns,3.22
2298,帮手,palvelustyttö,nouns,2.22
2299,女孩,lapsi,nouns,2.81
2300,冷,tavallinen,adjectives,0.0
2301,极好,paha,adjectives,0.14
2302,金属,alumiini,nouns,3.0
2303,羊,karja,nouns,1.93
2304,当然,joskus,adverbs,0.15
2305,宣告,julistaa,verbs,4.29
2306,无知,säännöllinen,adjectives,0.04
2307,薄荷,purukumi,nouns,0.77
2308,徽章,arvokkuus,nouns,0.15
2309,棒,loistava,adjectives,4.97
2310,苔藓,ruoho,nouns,1.52
2311,小行星,tähti,nouns,2.35
2312,开朗,mukava,adjectives,0.94
2313,溶解,sulaa,verbs,3.61
2314,岛,prinsessa,nouns,0.0
2315,移动,pujotella,verbs,0.55
2316,侧面,huippu,nouns,0.39
2317,暂停,odottaa,verbs,2.03
2318,接受,uskoa,verbs,1.15
2319,信念,kukka,nouns,0.09
2320,火山,magma,nouns,1.38
2321,海军,saari,nouns,0.1
2322,推,syyttää,verbs,0.18
2323,盒子,hattu,nouns,0.05
2324,求情,kysyä,verbs,0.29
2325,决定,kuvata,verbs,0.2
2326,读者,tekijä,nouns,0.73
2327,妻子,reikä,nouns,0.32
2328,夏天,talvi,nouns,0.6
2329,公国,prinssikunta,nouns,1.92
2330,房间,kylpy,nouns,0.1
2331,邮件,nopeus,nouns,0.0
2332,岛,laivasto,nouns,0.1
2333,友好,epätodennäköisesti,adverbs,0.09
2334,洗澡,luostari,nouns,0.0
2335,冬天,kausi,nouns,1.89
2336,稻草,virsi,nouns,0.1
2337,贫穷,yksinäinen,adjectives,0.34
2338,祈祷,kysyä,verbs,0.78
2339,车辆,linja-auto,nouns,3.0
2340,征服,taistelu,nouns,1.27
2341,自己,itseluottamus,nouns,0.97
2342,捏碎,napsahtaa,verbs,1.6
2343,哨,pysähtyä,verbs,0.05
2344,自豪,ilo,nouns,1.76
2345,财富,köyhyys,nouns,0.3
2346,枪,turkki,nouns,0.0
2347,名誉,varallisuus,nouns,0.8
2348,灵活,helppo,adjectives,0.72
2349,苦难,epätoivo,nouns,2.63
2350,枪,tykki,nouns,2.42
2351,棉,villapaita,nouns,0.86
2352,农业,kasvi,nouns,1.04
2353,编织,sitoa,verbs,1.5
2354,走,aloittaa,verbs,0.44
2355,开始,lopettaa,verbs,0.2
2356,发展,lannoite,nouns,0.68
2357,除,kertoa,verbs,0.88
2358,接受,suositella,verbs,0.73
2359,幸福,suru,nouns,0.2
2360,简单,kova,adjectives,0.04
2361,沐浴,tukki,nouns,0.0
2362,血液学,patologia,nouns,1.99
2363,衣服,kangas,nouns,2.33
2364,国王,nepotismi,nouns,0.73
2365,孩子,tytär,nouns,2.5
2366,精确地,täsmällisesti,adverbs,5.38
2367,离开,saapua,verbs,0.29
2368,邮包,kuorma-auto,nouns,0.1
2369,屋,matto,nouns,0.29
2370,杜松子酒,viski,nouns,1.77
2371,大麻,yrtti,nouns,2.52
2372,守规矩,totella,verbs,3.3
2373,奇怪,normaali,adjectives,0.29
2374,教学大纲,koe,nouns,0.57
2375,男孩,riisi,nouns,0.0
2376,停,varoittaa,verbs,0.15
2377,管理,työ,nouns,0.63
2378,车,moottoritie,nouns,0.34
2379,有时,yhtenäisesti,adverbs,0.05
2380,女佣,tyttö,nouns,1.95
2381,尝试,ajatella,verbs,0.43
2382,兄弟,sisko,nouns,1.99
2383,重复,harjoitella,verbs,2.06
2384,打中,ampua ohi,verbs,0.38
2385,工作,tehtävä,nouns,3.63
2386,喉咙,nenä,nouns,0.84
2387,十四行诗,kauneus,nouns,0.15
2388,相机,linssi,nouns,0.97
2389,毛毛雨,sade,nouns,3.73
2390,小牛,sonni,nouns,2.74
2391,杂,vanha,adjectives,0.0
2392,高速公路,auto ,nouns,0.34
2393,肩,pää,nouns,0.54
2394,溶解,sekoittaa,verbs,0.88
2395,年轻,levoton,adjectives,0.1
2396,枪,muistikirja,nouns,0.0
2397,自豪,köyhä,adjectives,0.04
2398,容易,rankka,adjectives,0.24
2399,征服,virsi,nouns,0.0
2400,狡猾,rankka,adjectives,0.04
2401,艺术家,taideteos,nouns,0.86
2402,共和国,herttua,nouns,0.2
2403,穿着衣服的,peitetty,adjectives,2.23
2404,否定,ei koskaan,adjectives,1.41
2405,外交,neuvottelu,nouns,2.06
2406,蜥蜴,käärme,nouns,1.66
2407,仁慈地,lempeästi,adverbs,3.73
2408,航空,lento,nouns,2.8
2409,解剖学,biologia,nouns,2.47
2410,手臂,laskimo,nouns,0.29
2411,小木屋,mökki,nouns,3.06
2412,娱乐,nauttia,verbs,0.85
2413,知道,käsittää,verbs,3.66
2414,装作,kuvitella,verbs,0.69
2415,信息,entropia,nouns,0.38
2416,在场,poissaolo,nouns,0.29
2417,混合,juoda,verbs,0.0
2418,毛线衣,puuvilla,nouns,0.86
2419,西方,pohjoinen,nouns,0.64
2420,自信,varma,adjectives,2.95
2421,忘记,tietää,verbs,0.15
2422,合作,liittyä,verbs,0.97
2423,无辜,vapaa,adjectives,0.34
2424,之后,ennen,adverbs,0.38
2425,乘,lisätä,verbs,0.97
2426,口香糖,piparminttu,nouns,0.77
2427,枯燥,hauska,adjectives,0.2
2428,牛油,peruna,nouns,0.54
2429,割礼,esinahka,nouns,0.82
2430,美丽地,elegantisti,adverbs,3.69
2431,不负责任,epäkypsä,adjectives,2.06
2432,完成,saavuttaa,verbs,3.04
2433,心脏,kirurgia,nouns,0.39
2434,策略家,juonittelija,nouns,2.75
2435,经常,tuskin koskaan,adverbs,0.38
2436,沐浴,vaimo,nouns,0.0
2437,长,lyhyt,adjectives,0.29
2438,联合,sulautua,verbs,2.32
2439,歌手,henkilökunta,nouns,0.18
2440,警察,lentoperämies,nouns,0.49
2441,大规模,avoimesti,adverbs,0.55
2442,优雅地,kauniisti,adverbs,3.69
2443,抽屉,vaatteet,nouns,0.15
2444,坦克,auto,nouns,0.77
2445,唇,lonkka,nouns,0.65
2446,皇帝,kuvernööri,nouns,0.69
2447,搏斗,tappaa,verbs,1.39
2448,理解,tietää,verbs,3.14
2449,坟墓,uudelleenhautaaminen,nouns,0.92
2450,女英雄,sankari,nouns,3.9
2451,周末,rotu,nouns,0.0
2452,游戏,toiminta,nouns,0.45
2453,羞愧,vaatimaton,adjectives,0.38
2454,相像,samankaltainen,adjectives,3.35
2455,借,anoa,verbs,1.04
2456,坏,keskinkertainen,adjectives,0.1
2457,紧张,tietty,adjectives,0.0
2458,活动,liike,nouns,2.36
2459,肩膀,käsivarsi,nouns,0.98
2460,找到,hankkia,verbs,1.59
2461,散热器,sensori,nouns,0.23
2462,清洁,tahraton,adjectives,5.16
2463,概念,uskomus,nouns,1.19
2464,骨头,niska,nouns,0.83
2465,牙齿,suu,nouns,1.22
2466,苹果,mehu,nouns,1.07
2467,一致地,joskus,adverbs,0.05
2468,发誓,luvata,verbs,4.36
2469,卧室,polkupyörä,nouns,0.0
2470,行政管理,johtokunta,nouns,3.46
2471,爬,patikoida,verbs,1.13
2472,可靠地,kovakouraisesti,adverbs,0.14
2473,保留,pitää,verbs,3.59
2474,伟大,paha,adjectives,0.05
2475,平面,arkki,nouns,0.14
2476,给予,vastaanottaa,verbs,0.25
2477,尾巴,kulho,nouns,0.0
2478,从不,rehellisesti,adverbs,0.0
2479,滴,kaataa,verbs,0.86
2480,羞愧,murhe,nouns,1.2
2481,打赌,pelata uhkapeliä,verbs,3.78
2482,击中,tähdätä,verbs,1.71
2483,暖炉,sateenvarjo,nouns,0.1
2484,砖,seinä,nouns,0.72
2485,混合,liueta,verbs,0.88
2486,火鸡,lintu,nouns,2.17
2487,减少,laskeutua,verbs,0.24
2488,蜜糖,päiväkirja,nouns,0.18
2489,交换,korvaaminen,nouns,4.37
2490,奇怪地,epätavallisesti,adverbs,4.37
2491,脚,käsi ,nouns,0.92
2492,轨,aita,nouns,0.1
2493,流星,painovoima,nouns,0.1
2494,掩盖,haudata,verbs,3.13
2495,声明,kuuluttaa,verbs,4.29
2496,决定,valita,verbs,3.31
2497,字,sanakirja,nouns,0.88
2498,主题,kirja,nouns,1.25
2499,灰濛蒙,ennuste,nouns,0.39
2500,骑,juosta,verbs,0.63
2501,酸奶,karja,nouns,0.43
2502,膝盖,luu,nouns,1.33
2503,射手,tienraivaaja,nouns,0.24
2504,目标,nuoli,nouns,0.41
2505,愤怒,turhautuminen,nouns,2.33
2506,页,sana,nouns,0.15
2507,描绘,päättää,verbs,0.2
2508,行李,kiertäminen,nouns,0.15
2509,标识,kerho,nouns,0.05
2510,脊柱,vartalo,nouns,1.28
2511,世纪,vuosikymmen,nouns,0.79
2512,女仆,auttaja,nouns,2.22
2513,图像,heijastus,nouns,2.44
2514,等式,kaava,nouns,2.79
2515,不耐烦地,karkeasti,adverbs,0.35
2516,坚固,ovela,adjectives,0.04
2517,侵蚀,haalistua,verbs,0.37
2518,洞,vaimo,nouns,0.32
2519,车,sarvi,nouns,0.09
2520,定理,teoria,nouns,3.56
2521,男人,aviomies,nouns,3.3
2522,地心引力,meteori,nouns,0.1
2523,日志,kaava,nouns,0.0
2524,一次,välittömästi,adverbs,0.1
2525,完成,tulla,verbs,0.56
2526,带来,valittaa,verbs,0.09
2527,模拟,robotiikka,nouns,0.63
2528,纸,puumateriaali,nouns,0.97
2529,纸币,korvaus,nouns,0.55
2530,意识,huomio,nouns,2.42
2531,失去,pitää,verbs,0.19
2532,黄昏,ilta,nouns,4.25
2533,雕像,veistos,nouns,5.38
2534,受伤,järkyttää,verbs,0.45
2535,唱,kellua,verbs,0.0
2536,松动,joustava,adjectives,1.31
2537,尾巴,kappale,nouns,0.0
2538,教授,tohtori,nouns,1.66
2539,并发,valuutta,nouns,0.04
2540,忽略,unohtaa,verbs,2.58
2541,旅程,valloitus,nouns,0.47
2542,轻轻地,kirkkaasti,adverbs,0.6
2543,学校,arvosana,nouns,0.95
2544,重要的,virallisesti,adverbs,0.8
2545,走廊,luokkahuone,nouns,0.69
2546,奇怪,ovela,adjectives,0.52
2547,电缆,kappeli,nouns,0.0
2548,能力,vahvuus,nouns,2.5
2549,自然地,hiljaisesti,adverbs,0.43
2550,恳求,anoa,verbs,3.5
2551,谢绝,kieltäytyä,verbs,3.63
2552,付款,kohdella,verbs,0.09
2553,贫困,avuton,adjectives,0.73
2554,溺爱,haistaa,verbs,0.05
2555,主要地,terminaalisesti,adverbs,0.15
2556,神,saalis,nouns,0.0
2557,牙齿,luu,nouns,1.32
2558,伙伴,heppu,nouns,1.64
2559,朋友,heppu,nouns,1.04
2560,购买,maksaa,verbs,2.81
2561,红酒,alkoholi,nouns,3.21
2562,忽略,kysyä,verbs,0.09
2563,积极地,todennäköisesti,adverbs,0.4
2564,下面,huippu,nouns,0.24
2565,星,kirkkaus,nouns,0.54
2566,支气管炎,parasetamoli,nouns,0.19
2567,争论,väitellä,verbs,3.79
2568,河谷,joki,nouns,1.21
2569,可笑,tylsä,adjectives,0.2
2570,卖,mennä,verbs,0.1
2571,疯狂,onnellinen,adjectives,0.66
2572,昆虫,mehiläinen,nouns,2.95
2573,电梯,laatikko,nouns,0.0
2574,加,kertoa,verbs,0.97
2575,好的,keskinkertainen,adjectives,0.48
2576,做,tuhota,verbs,0.29
2577,机器,moottori,nouns,2.73
2578,劝告,ehdottaa,verbs,2.75
2579,崇拜,ihailla,verbs,4.42
2580,面包,juusto,nouns,0.79
2581,磨坊,siemen,nouns,0.24
2582,母鸡,lintu,nouns,2.37
2583,屋顶,sisäkatto,nouns,3.54
2584,成年人,vauva,nouns,0.68
2585,饥饿,väsynyt,adjectives,0.38
2586,聚酯纤维,puuvilla,nouns,1.2
2587,建造,tuho,nouns,0.34
2588,模式,muoti,nouns,0.04
2589,乐观地,mahdollisesti,adverbs,0.83
2590,国王,prinssi,nouns,2.0
2591,桥,auto,nouns,0.24
2592,连接,erottaa,verbs,0.38
2593,男孩,partneri,nouns,0.68
2594,猴子,kampanja,nouns,0.0
2595,尝试,vakuuttaa ,verbs,0.47
2596,危险,tauti,nouns,0.38
2597,选举,valinta,nouns,2.51
2598,听,ymmärtää,verbs,1.48
2599,搅拌,ravistaa,verbs,1.9
2600,找到,karata,verbs,0.2
2601,合法,turvallinen,adjectives,0.93
2602,运动鞋,mitali,nouns,0.1
2603,惩罚,osua,verbs,0.15
2604,清醒,humalainen,adjectives,0.29
2605,来源,laatikko,nouns,0.0
2606,赞成,antaa lupa,verbs,3.11
2607,正常,outo,adjectives,0.29
2608,果汁,pirtelö,nouns,0.88
2609,橡木,vaahtera,nouns,2.13
2610,案件,sähkö,nouns,0.04
2611,笨,fiksu,adjectives,0.24
2612,成功,epäonnistua,verbs,0.38
2613,退出,imeä itseensä,verbs,0.35
2614,谢绝,hyväksyä,verbs,0.38
2615,参与,sanoa,verbs,0.25
2616,种族主义,ksenofobia,nouns,3.79
2617,樱桃,mansikka,nouns,1.48
2618,衣服,vetolaatikko,nouns,0.15
2619,愤怒,epäröivä,adjectives,0.53
2620,柠檬,tee,nouns,0.29
2621,男孩,veli,nouns,2.29
2622,开心,mieletön,adjectives,0.66
2623,活动,joustava,adjectives,0.63
2624,最近,hiljattain,adverbs,5.03
2625,歇斯底里,sekaannus,nouns,2.12
2626,争论,olla erilainen,verbs,0.24
2627,印象,uskomus,nouns,0.94
2628,韵律,runo,nouns,0.48
2629,也许,todennäköisesti,adverbs,3.07
2630,伤害,potkaista,verbs,0.81
2631,画廊,lakimies,nouns,0.0
2632,岛,ranta,nouns,1.08
2633,社论,uutiset,nouns,2.07
2634,毛,minkki,nouns,1.13
2635,快,pikainen,adjectives,4.85
2636,最近,realistisesti,adverbs,0.0
2637,证明,selittää,verbs,2.74
2638,政治家,presidentti,nouns,3.04
2639,动物,peto,nouns,3.13
2640,赚,valmistaa,verbs,0.28
2641,通常,vilpittömästi,adverbs,0.0
2642,星,asteroidi,nouns,2.35
2643,窗帘,sauva,nouns,0.14
2644,喉,kieli,nouns,1.21
2645,创建,sukeltaa,verbs,0.0
2646,小孩,aikuinen,nouns,0.78
2647,飞机,helikopteri,nouns,2.22
2648,甲板,lattia,nouns,1.68
2649,工业,liiketoiminta,nouns,1.41
2650,病人,istunto,nouns,0.28
2651,争论,valittaa,verbs,1.69
2652,卖,käydä kauppaa,verbs,3.06
2653,发送,tuoda,verbs,0.45
2654,国王,prinsessa,nouns,0.75
2655,女士,herra,nouns,0.64
2656,粘性,loiske,nouns,0.34
2657,目标,voittaja,nouns,0.45
2658,作证,tuomita,verbs,0.34
2659,真诚地,vakavasti,adverbs,2.26
2660,无知,älykkyys,nouns,0.2
2661,停止,hallita,verbs,0.29
2662,带来,tulla,verbs,1.56
2663,码,metri,nouns,2.58
2664,血液,vartalo,nouns,0.91
2665,报纸,tieto,nouns,1.42
2666,电缆,velho,nouns,0.0
2667,破产,epäonnistuminen,nouns,1.3
2668,复诊,potilas,nouns,0.28
2669,掩盖,suojella,verbs,1.89
2670,妻子,kylpy,nouns,0.0
2671,否认,valehdella,verbs,0.82
2672,成长,laajentaa,verbs,2.75
2673,喜悦,ylpeys,nouns,1.76
2674,舌头,kurkku,nouns,1.21
2675,状况,tilanne,nouns,4.89
2676,教育,oppia,verbs,1.73
2677,兔子,kissa,nouns,0.93
2678,鼓励,lannistaa,verbs,0.38
2679,杆,lippu,nouns,0.98
2680,幸福,rauha,nouns,1.64
2681,扫帚,pöly,nouns,0.53
2682,苗条,hoikka,adjectives,4.97
2683,手臂,vartalo,nouns,0.88
2684,说,varmistaa,verbs,0.5
2685,得到,jäädä,verbs,0.1
2686,使气馁,rohkaista,verbs,0.38
2687,珍贵,pyhä,adjectives,2.02
2688,忘记,muistuttaa,verbs,0.38
2689,兄弟会,pesäpallo,nouns,0.0
2690,搏斗,purra,verbs,1.36
2691,尖,sileä,adjectives,0.24
2692,城镇,suurkaupunki,nouns,3.76
2693,小巷,katu,nouns,3.79
2694,新,muinainen,adjectives,0.29
2695,嘴巴,huuli,nouns,2.23
2696,数字,numero,nouns,4.82
2697,尖,mieto,adjectives,0.0
2698,不道德,laiton,adjectives,1.89
2699,付款,kolikko,nouns,0.84
2700,异常,oudosti,adverbs,4.37
2701,笨,älykäs,adjectives,0.29
2702,山谷,kanjoni,nouns,4.14
2703,意外,kirja,nouns,0.0
2704,寻求,maali,nouns,0.6
2705,行为主义,terapia,nouns,0.35
2706,庆祝,yllättää,verbs,0.23
2707,智力,ymmärrys,nouns,2.88
2708,谦虚,häpeissään oleva,adjectives,0.38
2709,酒,gini,nouns,3.26
2710,负面地,epäluonnollisesti,adverbs,0.24
2711,肯定地,varmasti,adverbs,2.83
2712,赌,veikata,verbs,3.78
2713,撤退,laskeutua,verbs,0.55
2714,星星,planeetta,nouns,2.63
2715,一分钱,ihmiset,nouns,0.05
2716,夺取,ottaa,verbs,2.42
2717,显然,varmasti,adverbs,3.36
2718,文章,aikakauslehti,nouns,1.74
2719,数字,sytoplasma,nouns,0.0
2720,肥料,kasvu,nouns,0.68
2721,肉桂,makeinen,nouns,0.29
2722,便条,toimeksianto,nouns,0.72
2723,全球化,viisumi,nouns,0.61
2724,大,painava,adjectives,0.82
2725,担心,tuhlata,verbs,0.05
2726,调查,tavoitella,verbs,0.54
2727,偷偷,itsevarmasti,adverbs,0.05
2728,搂抱,halata,verbs,4.94
2729,重大,vähäpätöinen,adjectives,0.29
2730,球拍,pallo,nouns,0.48
2731,季节,talvi,nouns,1.89
2732,不清楚,epämääräinen,adjectives,4.44
2733,赢,onnistua,verbs,3.51
2734,离开,jäädä,verbs,0.64
2735,罪犯,lainrikkoja,nouns,5.11
2736,开口,rako,nouns,3.76
2737,手臂,polvi,nouns,0.83
2738,听见,kuunnella,verbs,3.68
2739,肉,naudanliha,nouns,3.52
2740,母马,hevonen,nouns,3.58
2741,装饰,seinä,nouns,0.52
2742,戏弄,sattua,verbs,0.47
2743,窗口,nilkka,nouns,0.0
2744,接受,tunnustaa,verbs,3.19
2745,机械地,ihanteellisesti,adverbs,0.09
2746,困难,helppo,adjectives,0.29
2747,有时,milloin tahansa,adverbs,0.83
2748,杀,tuhota,verbs,3.24
2749,同意,olla eri mieltä,verbs,0.38
2750,妻子,nainen,nouns,2.94
2751,狡猾,kummallinen,adjectives,0.52
2752,失败,konkurssi,nouns,1.3
2753,窗台,vuori,nouns,0.3
2754,脾气,tohtori,nouns,0.0
2755,划分,yhdistää,verbs,0.48
2756,雪,lumivyöry,nouns,1.77
2757,内衣褲,vartalo,nouns,0.15
2758,有创造力,innovatiivinen,adjectives,5.2
2759,拒绝,antaa,verbs,0.0
2760,朋友,äiti,nouns,0.69
2761,发动机,mäntä,nouns,1.44
2762,宽广,kapea,adjectives,0.24
2763,小麦粉,leipä,nouns,1.56
2764,弱,voimallinen,adjectives,0.2
2765,统计资料,tennis,nouns,0.0
2766,杯子,kartio,nouns,0.41
2767,四轮货运马车,vaunut,nouns,4.07
2768,人口,ihmiset,nouns,3.02
2769,皇帝,perustuslaki,nouns,0.2
2770,大概,positiivisesti,adverbs,0.4
2771,门口,uloskäynti,nouns,3.57
2772,马,koira,nouns,1.21
2773,胜利,riemuvoitto,nouns,3.92
2774,房屋,avain,nouns,0.2
2775,红色,sininen,adjectives,0.69
2776,今天晚上,huomenna,adverbs,0.48
2777,男孩,muksu,nouns,3.03
2778,谦逊地,huonosti,adverbs,0.05
2779,直升机,lentokone,nouns,2.22
2780,给,varastaa,verbs,0.33
2781,国王,hallitsija,nouns,4.5
2782,男人,nainen,nouns,0.63
2783,新鲜,uusi,adjectives,4.3
2784,闷,keskinkertainen,adjectives,0.96
2785,蠕虫,haittaohjelma,nouns,1.41
2786,末期地,pääasiassa,adverbs,0.15
2787,吸引,osua,verbs,0.0
2788,学院,ammatti,nouns,0.24
2789,死气沉沉的,onnellisesti,adverbs,0.18
2790,查询,ajatella,verbs,0.39
2791,未公开,peittelemätön,adjectives,0.19
2792,卧室,sänky,nouns,0.77
2793,音系学,näyttö,nouns,0.1
2794,僵硬,helppo,adjectives,0.14
2795,帽子,laatikko,nouns,0.05
2796,陶艺,keraaminen esine,nouns,3.08
2797,小炮舰,rannikkoalue,nouns,0.2
2798,果汁,maito,nouns,1.02
2799,征服,matka,nouns,0.47
2800,悲伤,onnellisuus,nouns,0.2
2801,装作,valehdella,verbs,2.63
2802,说服,yrittää,verbs,0.47
2803,未拿定主意,neutraali,adjectives,0.57
2804,查询,edellyttää,verbs,0.43
2805,脚,hiekka,nouns,0.04
2806,男人,soturi,nouns,0.93
2807,尝试,onnistua,verbs,0.58
2808,野兽,eläin,nouns,3.13
2809,自由,sensuuri,nouns,0.1
2810,保留,tuhota,verbs,0.29
2811,眉头,silmä,nouns,0.73
2812,听见,puhua,verbs,0.53
2813,基本上,täysin,adverbs,0.92
2814,保护,peittää,verbs,1.89
2815,平均,säännöllinen,adjectives,0.57
2816,高速公路,tehtävä,nouns,0.0
2817,给,tietää,verbs,0.15
2818,鹰,lintu,nouns,2.65
2819,笨,herkkäuskoinen,adjectives,0.98
2820,教,rangaista,verbs,0.63
2821,球,hanska,nouns,0.19
2822,帮助,suojella,verbs,1.54
