ID,ENG,EST,PoS,score
2231,cheap,soodne,adjectives,5.13
2232,positively,tõenäoliselt,adverbs,0.64
2233,dermatitis,ekseem,nouns,2.94
2234,loose,paindlik,adjectives,1.9
2235,crown,võti,nouns,0.45
2236,argument,arutelu,nouns,2.54
2237,woman,sekretär,nouns,0.69
2238,body,õlg,nouns,0.69
2239,lazy,hõivatud,adjectives,0.15
2240,zone,ala,nouns,4.8
2241,management,administratsioon,nouns,3.67
2242,differently,imelikult,adverbs,2.09
2243,sick,pöörane,adjectives,0.81
2244,reliably,vastutustundlikult,adverbs,3.41
2245,gin,viski,nouns,1.41
2246,rice,kana,nouns,0.44
2247,aggression,vaenulikkus,nouns,4.09
2248,contemptuous,põlastav,adjectives,4.84
2249,uncle,tädi,nouns,1.54
2250,dentist,kolonel,nouns,0.09
2251,astronomer,galaktika,nouns,0.87
2252,mix,lahustama,verbs,0.99
2253,fall,haiget tegema,verbs,0.91
2254,organ,neer,nouns,2.05
2255,occasionally,regulaarselt,adverbs,1.36
2256,wife,auk,nouns,0.05
2257,rabbit,kass,nouns,0.81
2258,peacefully,kaootiliselt,adverbs,0.29
2259,friend,ema,nouns,1.56
2260,incredible,tavaline,adjectives,0.34
2261,salary,raha,nouns,3.08
2262,terrific,halb,adjectives,0.09
2263,air,molekul,nouns,0.77
2264,lemon,tee,nouns,0.34
2265,ceiling,katus,nouns,3.54
2266,after,enne,adverbs,0.34
2267,flute,muusika,nouns,1.1
2268,river,org,nouns,1.07
2269,acquire,saama,verbs,4.34
2270,punish,lööma,verbs,1.26
2271,ashamed,ärritunud,adjectives,0.48
2272,branch,käsi,nouns,0.76
2273,proud,tugev,adjectives,0.71
2274,insight,fakt,nouns,1.52
2275,ask,paluma,verbs,2.96
2276,bottle,plekkpurk,nouns,1.31
2277,skin,ratas,nouns,0.1
2278,couch,voodi,nouns,1.86
2279,closet,riided,nouns,0.76
2280,guardian,täiskasvanu,nouns,1.92
2281,salute,esinema,verbs,0.15
2282,predict,eeldama,verbs,2.11
2283,water,sool,nouns,0.42
2284,weep,nutma,verbs,3.98
2285,care,ettevaatus,nouns,3.89
2286,delta,meri,nouns,0.82
2287,mother,eestkostja,nouns,1.88
2288,date,kalender,nouns,1.51
2289,fashion,moodus,nouns,1.43
2290,leader,juhataja,nouns,3.65
2291,seed,sinep,nouns,0.9
2292,deck,hiir,nouns,0.15
2293,happen,tegema,verbs,0.79
2294,bring,saatma,verbs,0.34
2295,door,köök,nouns,0.29
2296,sheep,lambatall,nouns,4.27
2297,safely,õnnelikult,adverbs,0.82
2298,bowler,keegel,nouns,1.32
2299,shuffle,sõitma,verbs,0.1
2300,earn,väärima,verbs,2.67
2301,new,iidne,adjectives,0.24
2302,stock,vara,nouns,3.22
2303,snow,ilm,nouns,1.16
2304,cheap,räpane,adjectives,0.69
2305,patient,sessioon,nouns,0.48
2306,rhythm,luuletus,nouns,0.77
2307,cell,ruum,nouns,1.67
2308,stop,hoiatama,verbs,0.54
2309,mother,sõber,nouns,1.56
2310,tedious,turvaline,adjectives,0.29
2311,companion,armastaja,nouns,2.13
2312,join,omandama,verbs,0.41
2313,digit,arv,nouns,4.88
2314,borrow,paluma,verbs,1.48
2315,capital,raha,nouns,3.34
2316,sheriff,võmm,nouns,3.56
2317,keep,laenama,verbs,0.36
2318,accept,tunnistama,verbs,2.96
2319,bite,kaklema,verbs,0.9
2320,unnecessary,vajalik,adjectives,0.29
2321,mood,viha,nouns,1.84
2322,importantly,ametlikult,adverbs,2.25
2323,boat,tekk,nouns,0.49
2324,saving,säästja,nouns,1.83
2325,sweater,puuvill,nouns,0.71
2326,head,nina,nouns,0.59
2327,decompose,hävitama,verbs,1.41
2328,punish,õpetama,verbs,0.1
2329,rude,agressivne,adjectives,2.11
2330,hurricane,torm,nouns,3.5
2331,intelligent,loll,adjectives,0.39
2332,opinion,mõte,nouns,2.69
2333,worker,mehaanik,nouns,2.11
2334,cent,abikaasa (naine),nouns,0.05
2335,cloud,udu,nouns,2.63
2336,star,planeet,nouns,1.96
2337,river,meri,nouns,1.49
2338,allow,minema,verbs,0.29
2339,arrange,organiseerima,verbs,5.24
2340,comprehend,rahuldama,verbs,0.17
2341,shut,oksendama,verbs,0.0
2342,alcohol,brändi,nouns,1.89
2343,arithmetic,rütm,nouns,0.65
2344,mosaic,basiilika,nouns,0.54
2345,theory,keemia,nouns,0.59
2346,trout,kitarr,nouns,0.0
2347,car,tehas,nouns,0.25
2348,sergeant,relv,nouns,0.72
2349,crowd,paraad,nouns,1.83
2350,molecule,maatriks,nouns,0.39
2351,graduate,lõppema,verbs,1.98
2352,gun,märkmik,nouns,0.0
2353,imitate,jäädvustama,verbs,0.57
2354,appear,lahkuma,verbs,0.24
2355,lake,pilv,nouns,0.2
2356,bowl,taldrik,nouns,1.97
2357,bar,vangla,nouns,0.74
2358,intelligence,loogika,nouns,2.5
2359,star,asteroid,nouns,1.87
2360,tonight,täna,adverbs,2.07
2361,school,õigus,nouns,0.28
2362,muscle,keel,nouns,1.21
2363,umbrella,küttekeha,nouns,0.05
2364,wife,sent,nouns,0.05
2365,pencil,lugu,nouns,0.25
2366,piano,harmoonia,nouns,0.71
2367,proudly,tagasihoidlikult,adverbs,0.57
2368,enter,võlgnema,verbs,0.05
2369,intuition,meel,nouns,4.0
2370,fly,sipelgas,nouns,1.06
2371,argue,erinema,verbs,1.67
2372,seldom,tihti,adverbs,0.41
2373,camp,metsamajake,nouns,0.94
2374,truthful,valelik,adjectives,0.34
2375,funny,nüri,adjectives,0.1
2376,shrink,kasvama,verbs,0.34
2377,adult,imik,nouns,0.6
2378,decade,ajastu,nouns,2.03
2379,sad,uhke,adjectives,0.0
2380,harm,valu,nouns,2.26
2381,receive,andma,verbs,0.44
2382,justify,kinnitama,verbs,1.25
2383,precisely,täpselt,adverbs,5.21
2384,eczema,dermatiit,nouns,2.94
2385,maple,tamm,nouns,1.23
2386,borrow,tahtma,verbs,0.3
2387,engine,kolb,nouns,1.77
2388,nail,käsi,nouns,0.74
2389,proud,kartmatu,adjectives,1.73
2390,defend,kaitsma,verbs,4.3
2391,attend,tulema,verbs,2.48
2392,participate,ütlema,verbs,0.51
2393,clarify,seletama,verbs,4.58
2394,leg,jäse,nouns,2.42
2395,negatively,ebaloomulikult,adverbs,0.57
2396,blood,liha,nouns,1.07
2397,endurance,bänd,nouns,0.15
2398,opening,vahe,nouns,3.6
2399,passive,vägivaldne,adjectives,0.25
2400,guitar,trumm,nouns,0.91
2401,snap,krõmpsutama,verbs,1.31
2402,coast,rand,nouns,2.95
2403,crash,müksama,verbs,2.53
2404,massive,astronoomiline,adjectives,2.81
2405,cover,matma,verbs,1.6
2406,pact,kokkulepe,nouns,4.9
2407,tail,peatükk,nouns,0.05
2408,peacefully,uhkelt,adverbs,0.51
2409,forget,õppima,verbs,0.29
2410,walk,lonkama,verbs,1.8
2411,sad,hirmus,adjectives,1.22
2412,king,valitseja,nouns,3.83
2413,delicately,praegu,adverbs,0.2
2414,catch,vabastama,verbs,0.44
2415,aunt,õepoeg,nouns,0.71
2416,tsunami,meri,nouns,1.15
2417,join,abielluma,verbs,2.41
2418,aggravate,ründama,verbs,1.07
2419,nice,julm,adjectives,0.0
2420,scared,häbelik,adjectives,1.54
2421,put,saama,verbs,0.14
2422,stand,kõndima,verbs,0.44
2423,song,ballaad,nouns,3.25
2424,leave,võtma,verbs,0.44
2425,right,õiglus,nouns,2.29
2426,crazy,haige,adjectives,0.81
2427,child,tüdruk,nouns,1.73
2428,chemistry,teooria,nouns,0.59
2429,monarchy,demokraatia,nouns,1.06
2430,take,omama,verbs,1.81
2431,lady,härrasmees,nouns,0.81
2432,dull,terav,adjectives,0.39
2433,food,programm,nouns,0.15
2434,oddly,erinevalt,adverbs,2.09
2435,navy,armee,nouns,2.34
2436,world,maakera,nouns,3.75
2437,fabric,lina,nouns,2.23
2438,cover,maskeerima,verbs,2.29
2439,king,prints,nouns,1.91
2440,hat,karp,nouns,0.19
2441,window,katus,nouns,0.67
2442,sunrise,päikeseloojang,nouns,0.82
2443,unnaturally,negatiivselt,adverbs,0.57
2444,dress,tants,nouns,0.45
2445,educate,õpetama,verbs,5.17
2446,guy,sõber,nouns,1.31
2447,send,minema,verbs,0.51
2448,carpet,maja,nouns,0.34
2449,bite,lugema,verbs,0.1
2450,asset,aktsia,nouns,3.22
2451,do,juhtuma,verbs,0.79
2452,arrive,osalema,verbs,0.84
2453,fog,pilv,nouns,2.53
2454,reheat,eelsoojendama,nouns,1.23
2455,century,naps,nouns,0.0
2456,hand,küüs,nouns,0.74
2457,deny,valetama,verbs,1.17
2458,roof,aken,nouns,0.67
2459,awake,haigutama,verbs,0.54
2460,satisfy,hoomama,verbs,0.17
2461,weekend,nädal,nouns,1.01
2462,sea,rand,nouns,1.41
2463,wine,brändi,nouns,1.54
2464,tunnel,rada,nouns,0.72
2465,amazingly,fantastiliselt,adverbs,4.74
2466,easy,lihtne,adjectives,4.41
2467,presence,puudumine,nouns,0.57
2468,bacon,liha,nouns,2.29
2469,helper,teenijanna,nouns,2.49
2470,biology,anatoomia,nouns,2.38
2471,man,naine,nouns,0.71
2472,charger,ketas,nouns,0.27
2473,garden,voolik,nouns,0.53
2474,cold,tavaline,adjectives,0.2
2475,do,lõpetama,verbs,0.69
2476,smart,intelligentne,adjectives,5.35
2477,alley,kauss,nouns,0.04
2478,inn,motell,nouns,3.81
2479,lawyer,prokurör,nouns,2.35
2480,shy,hirmunud,adjectives,1.54
2481,jumping,aed,nouns,0.45
2482,event,rahakorjamine,nouns,1.44
2483,graph,diagramm,nouns,3.59
2484,firmly,pehmelt,adverbs,0.3
2485,seashore,rand,nouns,4.17
2486,enter,lahkuma,verbs,0.29
2487,pretend,portreteerima,verbs,0.96
2488,know,uskuma,verbs,1.95
2489,corruption,pettus,nouns,3.08
2490,boy,seisund,nouns,0.05
2491,morning,päev,nouns,1.85
2492,hug,hoidma,verbs,2.15
2493,rat,hiir,nouns,2.41
2494,leave,ilmuma,verbs,0.24
2495,app,galaktika,nouns,0.1
2496,nihilism,film,nouns,0.2
2497,shy,kallis,adjectives,0.05
2498,sign,sümbol,nouns,4.73
2499,acid,alus,nouns,0.77
2500,weekend,rass,nouns,0.0
2501,job,tööriist,nouns,0.72
2502,meet,jätma,verbs,0.0
2503,racket,pall,nouns,0.9
2504,young,püsimatu,adjectives,0.59
2505,marijuana,maitsetaim,nouns,1.59
2506,daily,normaalselt,adverbs,3.16
2507,spend,kokku hoidma,verbs,0.44
2508,hardware,karp,nouns,0.35
2509,floor,katus,nouns,0.66
2510,bible,raamat,nouns,1.52
2511,volleyball,pall,nouns,1.99
2512,teacher,abiline,nouns,1.98
2513,belief,mulje,nouns,1.81
2514,blanket,voodi,nouns,0.91
2515,bus,sõiduk,nouns,2.11
2516,passively,aktiivselt,adverbs,0.24
2517,hose,aed,nouns,0.53
2518,portray,teavitama,verbs,0.1
2519,fiction,biograafia,nouns,1.09
2520,flexible,lahtine,adjectives,1.9
2521,drink,segama,verbs,0.3
2522,tonight,homme,adverbs,0.27
2523,preheat,taassoojendama,nouns,1.23
2524,elevator,auto,nouns,0.39
2525,development,korjandus,nouns,0.29
2526,decide,kohut mõistma,verbs,2.94
2527,freedom,oaas,nouns,0.51
2528,grown,ebaküps,adjectives,0.24
2529,erode,hajuma,verbs,2.07
2530,sound,akustika,nouns,2.95
2531,tear,silm,nouns,0.77
2532,lonely,vaene,adjectives,0.39
2533,hate,nautima,verbs,0.05
2534,biology,biotoop,nouns,0.99
2535,band,orkester,nouns,3.04
2536,brainstorming,teleskoop,nouns,0.0
2537,today,täna õhtul,adverbs,2.07
2538,gun,trikk,nouns,0.2
2539,promote,edendama,verbs,2.69
2540,card,sild,nouns,0.15
2541,combined,segatud,adjectives,4.11
2542,business,firma,nouns,4.21
2543,absorb,õppima,verbs,1.38
2544,management,hiir,nouns,0.0
2545,cattle,jogurt,nouns,0.47
2546,press,vabastama,verbs,0.2
2547,ideally,mehaaniliselt,adverbs,0.2
2548,scholarship,õppemaks,nouns,1.04
2549,appliance,pott,nouns,0.49
2550,island,poolsaar,nouns,2.07
2551,evict,lahkuma,verbs,0.77
2552,persuade,vaidlema,verbs,2.13
2553,retain,hoidma,verbs,4.38
2554,argue,nõudma,verbs,0.94
2555,story,teema,nouns,1.55
2556,booth,telefon,nouns,0.87
2557,piston,mootor,nouns,1.77
2558,survive,elama,verbs,2.69
2559,chess,tuli,nouns,0.82
2560,arm,õlg,nouns,1.08
2561,repeat,harjutama,verbs,2.52
2562,wear,rebima,verbs,0.36
2563,mainly,surmavalt,adverbs,0.04
2564,kill,kaitsma,verbs,0.45
2565,leave,ignoreerima,verbs,1.42
2566,immediately,varsti,adverbs,2.65
2567,take,saama,verbs,1.31
2568,leave,kohtuma,verbs,0.0
2569,kill,kaklema,verbs,0.84
2570,notify,tunnistama,verbs,1.19
2571,personal,intiimne,adjectives,3.79
2572,speak,sosistama,verbs,1.87
2573,marry,kihluma,verbs,1.32
2574,bubble,seebivaht,nouns,2.74
2575,drum,kitarr,nouns,0.91
2576,effort,raskus,nouns,2.8
2577,differently,surmavalt,adverbs,0.14
2578,knee,luu,nouns,0.74
2579,ask,ignoreerima,verbs,0.1
2580,mouth,huul,nouns,1.92
2581,loop,vöö,nouns,0.84
2582,elastic,paindlik,adjectives,4.08
2583,smell,rikkuma,verbs,0.04
2584,mouse,tekk,nouns,0.15
2585,atom,süsinik,nouns,1.31
2586,drip,kallama,verbs,1.09
2587,defend,tapma,verbs,0.45
2588,article,ajakiri,nouns,1.8
2589,sense,intuitsioon,nouns,4.0
2590,hotel,korter,nouns,0.98
2591,pie,šokolaad,nouns,0.67
2592,captain,madrus,nouns,1.69
2593,cursor,kiibid,nouns,0.2
2594,hand,jalg,nouns,1.25
2595,mist,pilv,nouns,2.74
2596,hurt,kukkuma,verbs,0.91
2597,vision,taju,nouns,3.07
2598,will,kavatsus,nouns,3.54
2599,digit,tsütoplasma,nouns,0.05
2600,check,male,nouns,0.82
2601,choice,veen,nouns,0.05
2602,bag,käekott,nouns,3.42
2603,trick,mäng,nouns,1.19
2604,lower,vähendama,verbs,3.48
2605,sucrose,süsivesik,nouns,2.53
2606,robotics,simulatsioon,nouns,1.2
2607,protect,turvama,verbs,4.3
2608,spoon,tass,nouns,0.94
2609,monk,rist,nouns,0.61
2610,find,omandama,verbs,2.07
2611,carbon,aatom,nouns,1.31
2612,sheet,lennuk,nouns,0.15
2613,multiply,jagama,verbs,0.51
2614,dog,kass,nouns,1.01
2615,beg,anuma,verbs,4.48
2616,glad,pöörane,adjectives,0.3
2617,grass,tera,nouns,0.59
2618,discover,pärinema,verbs,0.63
2619,give,laenama,verbs,2.59
2620,unnaturally,loomulikult,adverbs,0.29
2621,bicycle,magamistuba,nouns,0.05
2622,melody,muusika,nouns,2.72
2623,attach,eraldama,verbs,0.19
2624,badge,klaas,nouns,0.19
2625,mountain,perv,nouns,0.82
2626,furniture,korter,nouns,0.71
2627,throne,mõõk,nouns,0.38
2628,structure,topoloogia,nouns,1.71
2629,nose,kõri,nouns,0.84
2630,meat,võileib,nouns,0.61
2631,analyze,võrdlema,verbs,2.92
2632,highway,ülesanne,nouns,0.1
2633,define,selgitama,verbs,3.52
2634,job,ülesanne,nouns,3.79
2635,meteor,gravitatsioon,nouns,0.52
2636,priest,jumal,nouns,0.89
2637,confidently,salaja,adverbs,0.67
2638,maid,abiline,nouns,2.49
2639,copilot,võmm,nouns,0.19
2640,often,vahepeal,adverbs,0.54
2641,chair,diivan,nouns,2.19
2642,stomach,suund,nouns,0.05
2643,mouse,kass,nouns,0.51
2644,shoulder,käsi,nouns,1.08
2645,guy,tüdruk,nouns,0.89
2646,whip,lööma,verbs,2.58
2647,emotionally,kurvalt,adverbs,1.77
2648,practice,kordama,verbs,2.52
2649,destruction,ehitamine,nouns,0.53
2650,money,sularaha,nouns,4.71
2651,stool,tool,nouns,3.38
2652,encyclopedia,sõnaraamat,nouns,1.94
2653,intelligence,ignorantsus,nouns,0.34
2654,bowling,keeglimängija,nouns,1.32
2655,cover,kaitsma,verbs,1.54
2656,can,pudel,nouns,1.31
2657,predict,määrama,verbs,1.99
2658,spring,geiser,nouns,3.23
2659,peace,õnn,nouns,2.37
2660,achieve,proovima,verbs,0.74
2661,daughter,tita,nouns,1.68
2662,perform,au andma,verbs,0.15
2663,hear,tajuma,verbs,1.74
2664,rain,uduvihm,nouns,3.62
2665,think,ratsionaliseerima,verbs,2.6
2666,agreement,auk,nouns,0.05
2667,mixed,vana,adjectives,0.1
2668,circumnavigation,pagas,nouns,0.53
2669,frigid,habras,adjectives,0.25
2670,class,kaos,nouns,0.15
2671,candy,õun,nouns,0.39
2672,intelligence,tarkus,nouns,4.28
2673,honor,austus,nouns,2.83
2674,nervous,veendunud,adjectives,0.15
2675,difficult,lihtne,adjectives,0.39
2676,cherish,hoidma,verbs,2.05
2677,extramarital,ebakohane,adjectives,0.63
2678,attract,lööma,verbs,0.3
2679,search,leidma,verbs,1.56
2680,quit,alustama,verbs,0.34
2681,body,veri,nouns,0.81
2682,achieve,edu saavutama,verbs,3.66
2683,pray,küsima,verbs,1.44
2684,outgoing,kena,adjectives,1.12
2685,foot,käsi,nouns,1.25
2686,meal,vöökoht,nouns,0.15
2687,capability,pädevus,nouns,4.42
2688,text,raamat,nouns,2.21
2689,daughter,põngerjas,nouns,1.0
2690,prince,kuningas,nouns,1.91
2691,sad,naljakas,adjectives,0.46
2692,condemn,tagasi lükkama,verbs,1.29
2693,noise,kõristi,nouns,2.07
2694,muffin,petersell,nouns,0.2
2695,shore,rannik,nouns,3.67
2696,college,klass,nouns,0.96
2697,shower,klooster,nouns,0.1
2698,feasible,võimatu,adjectives,0.34
2699,bed,haigla,nouns,0.6
2700,think,mõtisklema,verbs,4.39
2701,story,raamat,nouns,1.81
2702,criticize,vihkama,verbs,0.94
2703,wine,alkohol,nouns,2.08
2704,chapter,valik,nouns,0.4
2705,save,koguma,verbs,2.26
2706,sincerely,ausalt,adverbs,5.0
2707,soup,õhtusöök,nouns,1.29
2708,engagement,sõrmus,nouns,1.25
2709,beat,segama,verbs,1.0
2710,roof,lagi,nouns,3.54
2711,virus,veri,nouns,0.86
2712,rude,vali,adjectives,1.19
2713,crystal,klaas,nouns,1.94
2714,film,linateos,nouns,5.43
2715,vomit,sulgema,verbs,0.0
2716,hallway,koridor,nouns,4.91
2717,mad,rahul,adjectives,0.3
2718,peppermint,näts,nouns,0.74
2719,fall,komistama,verbs,2.76
2720,subtract,kaotama,verbs,1.71
2721,find,otsima,verbs,1.56
2722,alcohol,kokteil,nouns,1.93
2723,become,teostama,verbs,0.54
2724,foolish,loll,adjectives,4.46
2725,hug,kaisutama,verbs,4.74
2726,body,käsi,nouns,0.66
2727,globalism,viisa,nouns,0.69
2728,key,kroon,nouns,0.45
2729,crucial,oluline,adjectives,4.49
2730,bride,peigmees,nouns,1.19
2731,medal,tossud,nouns,0.19
2732,try,edu saavutama,verbs,1.08
2733,suspect,mees,nouns,0.53
2734,crime,rünnak,nouns,1.99
2735,disown,andma,verbs,0.19
2736,cannon,kuul,nouns,1.01
2737,hit,külge tõmbama,verbs,0.3
2738,comfort,ohutus,nouns,1.51
2739,acoustics,heli,nouns,2.95
2740,flower,kannike,nouns,1.95
2741,accept,soovitama,verbs,0.25
2742,deeply,tähendusrikkalt,adverbs,3.39
2743,truck,auto,nouns,2.4
2744,wash,loputama,verbs,3.54
2745,warrior,mees,nouns,1.17
2746,camera,lääts,nouns,1.25
2747,solve,lõpetama,verbs,2.39
2748,window,pilv,nouns,0.15
2749,lie,eitama,verbs,1.17
2750,bridge,auto,nouns,0.3
2751,compiler,alamprogramm,nouns,0.76
2752,limb,jalg,nouns,2.42
2753,lawyer,pankur,nouns,0.87
2754,search,uitama,verbs,1.23
2755,demand,noomima,verbs,0.34
2756,purely,täielikult,adverbs,2.16
2757,explain,tõestama,verbs,2.35
2758,alike,sarnane,adjectives,4.97
2759,street,auto,nouns,0.79
2760,brother,hing,nouns,0.3
2761,choice,valimine,nouns,2.36
2762,grow,suurenema,verbs,4.47
2763,milkshake,mahl,nouns,1.04
2764,sweater,jakk,nouns,2.12
2765,people,rahvastik,nouns,2.77
2766,receive,vastu võtma,verbs,2.44
2767,salad,äädikas,nouns,0.29
2768,explain,arutama,verbs,1.99
2769,meter,jard,nouns,1.81
2770,home,osariik,nouns,0.57
2771,hound,rebane,nouns,0.89
2772,whiskey,alkohol,nouns,2.01
2773,regular,keskmine,adjectives,3.25
2774,locally,ilmselgelt,adverbs,0.05
2775,unclear,ebamäärane,adjectives,4.99
2776,fee,makse,nouns,3.39
2777,flag,liputeadus,nouns,1.27
2778,conversion,kõrgus,nouns,0.1
2779,cat,jänes,nouns,0.81
2780,buddy,kaaslane,nouns,4.45
2781,millionaire,dollar,nouns,0.57
2782,bee,kuninganna,nouns,0.74
2783,rain,udu,nouns,2.19
2784,congress,parlament,nouns,2.86
2785,employer,tööline,nouns,1.74
2786,ability,pädevus,nouns,4.21
2787,notebook,sülearvuti,nouns,1.06
2788,cube,mänguasi,nouns,0.35
2789,wood,tekk,nouns,0.05
2790,broad,kitsas,adjectives,0.19
2791,choir,kirik,nouns,0.99
2792,lake,soo,nouns,1.02
2793,anger,raev,nouns,5.02
2794,school,klass,nouns,0.96
2795,car,jalgratas,nouns,0.9
2796,dirt,muda,nouns,3.04
2797,construct,tegema,verbs,3.4
2798,telescope,ajurünnak,nouns,0.0
2799,allow,ümber lükkama,verbs,0.0
2800,applicant,taotlus,nouns,1.04
2801,borrower,krediit,nouns,1.0
2802,steal,andma,verbs,0.19
2803,body,kõht,nouns,1.23
2804,give,saama,verbs,0.44
2805,assume,teesklema,verbs,0.94
2806,word,sõnaraamat,nouns,1.19
2807,car,tänav,nouns,0.79
2808,side,tipp,nouns,0.6
2809,gun,karusnahk,nouns,0.3
2810,agree,erinema,verbs,0.24
2811,shake,segama,verbs,1.68
2812,sob,nutma,verbs,3.89
2813,bone,hambad,nouns,2.09
2814,iron,vitamiin,nouns,1.02
2815,anxiously,närviliselt,adverbs,5.0
2816,lawyer,galerii,nouns,0.0
2817,magma,vulkaan,nouns,1.4
2818,ignore,avastama,verbs,0.05
2819,brandy,alkohol,nouns,1.89
2820,firmly,rahulikult,adverbs,0.61
2821,fur,naarits,nouns,2.75
2822,bias,arvamus,nouns,2.39
2823,chicken,õhtusöök,nouns,0.65
2824,sell,meenutama,verbs,0.0
2825,finish,lahendama,verbs,2.39
2826,pathology,hematoloogia,nouns,1.46
2827,dance,kleit,nouns,0.45
2828,elect,valima,verbs,4.04
2829,coal,puusüsi,nouns,2.65
2830,destroy,tegema,verbs,0.44
2831,fraud,kuritegu,nouns,2.85
2832,beautiful,imeline,adjectives,2.85
2833,money,palk,nouns,3.08
2834,speak,kuulma,verbs,0.39
2835,precious,püha,adjectives,2.71
2836,paragraph,täht,nouns,0.46
2837,believe,aktsepteerima,verbs,1.54
2838,concurrency,valuuta,nouns,0.09
2839,jar,tass,nouns,1.4
2840,draw,looma,verbs,1.27
2841,belief,arvamus,nouns,3.56
2842,comprehend,lugema,verbs,1.39
2843,tool,töö,nouns,0.72
2844,bulb,lill,nouns,0.73
2845,tongue,lihas,nouns,1.21
2846,symbol,märk,nouns,4.73
2847,sky,päike,nouns,1.06
2848,basilica,mosaiik,nouns,0.54
2849,water,jää,nouns,2.08
2850,artificial,võlts,adjectives,4.47
2851,communicate,palvetama,verbs,0.65
2852,mechanic,tööline,nouns,2.11
2853,gum,piparmünt,nouns,0.74
2854,openly,massiivselt,adverbs,0.15
2855,organized,korratu,verbs,0.39
2856,boy,laps,nouns,1.88
2857,operation,algebra,nouns,1.01
2858,gun,seersant,nouns,0.72
2859,belief,lill,nouns,0.17
2860,lamb,lammas,nouns,4.27
2861,jaw,luu,nouns,0.77
2862,national,tuntud,adjectives,0.5
2863,absorb,omama,verbs,0.64
2864,science,psühholoogia,nouns,1.71
2865,alley,tänav,nouns,3.33
2866,liver,kops,nouns,0.9
2867,regular,ignorantne,adjectives,0.28
2868,think,mäletama,verbs,1.38
2869,son,poiss,nouns,2.09
2870,owe,laenama,verbs,0.54
2871,tongue,kõri,nouns,0.98
2872,bathroom,köök,nouns,0.92
2873,believe,teadma,verbs,1.95
2874,box,putka,nouns,1.48
2875,disappear,haihtuma,verbs,5.17
2876,carry,võtma,verbs,1.01
2877,sauce,õun,nouns,0.58
2878,wealth,prestiiž,nouns,1.51
2879,weird,normaalne,adjectives,0.34
2880,globe,maailm,nouns,3.75
2881,victory,triumf,nouns,4.96
2882,astronomical,massivne,adjectives,2.81
2883,glow,särama,verbs,2.96
2884,archbishop,piiskop,nouns,3.83
2885,sky,unistus,nouns,0.48
2886,envelope,kaunistus,nouns,0.25
2887,square,kaart,nouns,0.25
2888,acknowledge,rääkima,verbs,1.02
2889,send,osalema,verbs,0.35
2890,lizard,madu,nouns,1.69
2891,constitution,imperaator,nouns,0.48
2892,save,kulutama,verbs,0.44
2893,scornful,põlglik,adjectives,4.84
2894,imagine,looma,verbs,1.54
2895,buddy,sõber,nouns,4.86
2896,give,ära tõukama,verbs,0.19
2897,save,vabastama,verbs,4.56
2898,easy,paindlik,adjectives,1.52
2899,governor,imperaator,nouns,1.48
2900,beat,piitsutama,verbs,2.58
2901,cow,kits,nouns,0.98
2902,portray,teesklema,verbs,0.96
2903,gymnastics,vehklemine,nouns,1.19
2904,pursue,uurima,verbs,1.94
2905,animal,inimene,nouns,1.06
2906,replacement,vahetus,nouns,3.3
2907,house,võti,nouns,0.61
2908,find,kaduma,verbs,0.35
2909,basket,pall,nouns,0.4
2910,moss,muru,nouns,1.66
2911,examine,uurima,verbs,3.5
2912,juice,õun,nouns,1.23
2913,toe,sõrm,nouns,1.11
2914,house,vaip,nouns,0.34
2915,meat,peekon,nouns,2.29
2916,drench,vähendama,verbs,0.25
2917,tragedy,surm,nouns,1.72
2918,highway,auto,nouns,0.71
2919,milk,mahl,nouns,0.81
2920,singer,refrään,nouns,1.39
2921,avalanche,lumi,nouns,1.52
2922,handbook,teejuht,nouns,3.69
2923,score,tase,nouns,1.46
2924,surely,kahtlemata,adverbs,4.5
2925,irresponsible,ebaküps,adjectives,2.65
2926,navy,saar,nouns,0.2
2927,task,saar,nouns,0.0
2928,meal,õhtusöök,nouns,3.01
2929,copilot,kokpit,nouns,0.67
2930,argue,ratsionaliseerima,verbs,1.67
2931,church,koor,nouns,0.99
2932,completely,margniaalselt,adverbs,0.64
2933,sing,naerma,verbs,0.35
2934,book,kirjandus,nouns,2.47
2935,clothes,riie,nouns,1.82
2936,ignore,jätma,verbs,1.42
2937,nephew,tädi,nouns,0.71
2938,dumb,intelligentne,adjectives,0.39
2939,leave,taganema,verbs,2.61
2940,apparently,lihtsalt,adverbs,0.92
2941,read,hoomama,verbs,1.39
2942,atmosphere,reostus,nouns,0.56
2943,withdraw,tagasi lükkama,verbs,1.4
2944,dawn,öö,nouns,1.04
2945,charcoal,kivisüsi,nouns,2.65
2946,letter,lõik,nouns,0.46
2947,cabin,hütt,nouns,3.49
2948,seem,teesklema,verbs,1.79
2949,weekly,igakuine,adjectives,0.98
2950,long,lühike,adjectives,0.29
2951,yell,vaidlema,verbs,1.39
2952,inch,jard,nouns,1.02
2953,dishonest,tõene,adjectives,0.34
2954,cup,lusikas,nouns,0.94
2955,sequel,kaamera,nouns,0.05
2956,cat,hiir,nouns,0.51
2957,sky,univesum,nouns,1.25
2958,drown,päästma,verbs,0.4
2959,discuss,seletama,verbs,1.99
2960,happy,noor,adjectives,0.44
2961,paper,poster,nouns,1.65
2962,secure,tüütu,adjectives,0.29
2963,topic,raamat,nouns,0.53
