ID,CYM,ENG,PoS,score
2193,gwaed,body,nouns,0.66
2194,cydymaith,buddy,nouns,4.5
2195,clogwyn,hill,nouns,1.27
2196,hen,mixed,adjectives,0.1
2197,gwely,blanket,nouns,0.86
2198,cas,electricity,nouns,0.0
2199,dinistrio,construct,verbs,0.09
2200,egluro,clarify,verbs,4.43
2201,mygu,hug,verbs,0.67
2202,mintys,museum,nouns,0.04
2203,sugnwr gwaed,bat,nouns,0.77
2204,llygoden,rat,nouns,2.96
2205,ffa,rice,nouns,0.79
2206,iâ,water,nouns,1.88
2207,deallusrwydd,ignorance,nouns,0.09
2208,bronceitus,acetaminophen,nouns,0.19
2209,diogel,legal,adjectives,0.83
2210,tybio,pretend,verbs,0.69
2211,sigarét,tobacco,nouns,2.52
2212,dweud,express,verbs,3.51
2213,doler,millionaire,nouns,0.46
2214,corff,nerve,nouns,0.15
2215,arfordir,gunboat,nouns,0.09
2216,gardd,hose,nouns,0.07
2217,pêl,racket,nouns,0.79
2218,sigâr,pipe,nouns,1.04
2219,tric,gun,nouns,0.0
2220,rhoi,allow,verbs,0.71
2221,argymell,accept,verbs,0.2
2222,tywydd,cloud,nouns,0.93
2223,canolig,bad,adjectives,0.56
2224,rhythm,arithmetic,nouns,0.0
2225,creu,make,verbs,4.79
2226,hyfforddwr,teacher,nouns,4.32
2227,mob,crowd,nouns,4.62
2228,anrhydedd,esteem,nouns,2.88
2229,cyhyr,arm,nouns,0.65
2230,deall,know,verbs,2.67
2231,gorffwyll,sick,adjectives,0.3
2232,penwythnos,race,nouns,0.0
2233,cod,symbol,nouns,1.94
2234,yn falch,humbly,adverbs,0.32
2235,arogli,spoil,verbs,0.04
2236,diemwnt,money,nouns,0.66
2237,taro,attract,verbs,0.0
2238,ffrio,cook,verbs,2.16
2239,prin,exotic,adjectives,2.0
2240,anobaith,misery,nouns,3.95
2241,parsel,truck,nouns,0.35
2242,post,speed,nouns,0.0
2243,brandi,alcohol,nouns,1.84
2244,trwyn,mouth,nouns,0.65
2245,tynnu'n ôl,reject,verbs,1.55
2246,tyfu,expand,verbs,4.65
2247,lladd,destroy,verbs,2.74
2248,marwolaeth,burial,nouns,1.27
2249,llyfr,essay,nouns,0.85
2250,casglu,organize,verbs,0.95
2251,car,street,nouns,0.73
2252,llenwi,despise,verbs,0.0
2253,trydanol,mechanical,adjectives,0.47
2254,cyfradd,value,nouns,1.82
2255,bàth,wife,nouns,0.0
2256,magma,volcano,nouns,1.55
2257,trwm,big,adjectives,1.61
2258,edau,yarn,nouns,3.51
2259,croes,monk,nouns,0.41
2260,gwallgof,glad,adjectives,0.0
2261,amlwg,undisclosed,adjectives,0.27
2262,cenllysg,rain,nouns,1.88
2263,dal,chase,verbs,0.92
2264,cipio,catch,verbs,3.65
2265,casáu,criticize,verbs,0.79
2266,dirmygu,charge,verbs,0.0
2267,cyffredin,strange,adjectives,0.04
2268,cnocio,crash,verbs,1.23
2269,deall,read,verbs,1.23
2270,y rhan fwyaf,mainly,adverbs,3.59
2271,cyn,after,adverbs,0.09
2272,dillad,fabric,nouns,1.62
2273,ychwanegu,divide,verbs,0.21
2274,darllenydd,author,nouns,0.51
2275,ifanc,restless,adjectives,0.19
2276,cyflawni,become,verbs,0.44
2277,llaw,thumb,nouns,1.13
2278,hapus,mad,adjectives,0.0
2279,cyflawn,finished,adjectives,5.63
2280,stumog,course,nouns,0.0
2281,dweud,verify,verbs,0.49
2282,sâl,crazy,adjectives,0.3
2283,cyhuddo,judge,verbs,2.04
2284,ymosodiad,blitz,nouns,3.15
2285,canwr,chorus,nouns,1.19
2286,anadlu,choke,verbs,0.55
2287,cymhwysedd,ability,nouns,4.46
2288,afioneg,aeronautics,nouns,3.89
2289,rhith,reality,nouns,0.22
2290,oedolyn,parent,nouns,1.56
2291,rhagolwg,overcast,nouns,0.15
2292,caffael,join,verbs,0.26
2293,gwrthod,lie,verbs,0.67
2294,caban,cottage,nouns,3.34
2295,dyfalu,irritate,verbs,0.0
2296,cefnogwr,cricket,nouns,0.05
2297,ystlum,vampire,nouns,0.77
2298,modryb,nephew,nouns,0.57
2299,dinistrio,decompose,verbs,1.11
2300,nodadwy,obvious,adjectives,4.24
2301,gwahaniaethu,argue,verbs,1.42
2302,bwydlen,order,nouns,0.51
2303,eang,fresh,adjectives,0.05
2304,ebol,horse,nouns,3.25
2305,socer,football,nouns,5.72
2306,brecwast,dinner,nouns,0.91
2307,cydnabod,speak,verbs,0.37
2308,pobl,gun,nouns,0.05
2309,cwt,cabin,nouns,3.24
2310,moleciwl,air,nouns,0.47
2311,tebyg,alike,adjectives,5.07
2312,swyddfa,worker,nouns,0.46
2313,gwadu,accept,verbs,0.14
2314,tŷ,barn,nouns,0.63
2315,ymholi,think,verbs,1.05
2316,cythraul,angel,nouns,0.17
2317,machlud haul,sunrise,nouns,0.82
2318,uno,divide,verbs,0.09
2319,sgol,wind,nouns,2.42
2320,ofnadwy,bad,adjectives,3.74
2321,nai,aunt,nouns,0.57
2322,sylfaen,acid,nouns,0.27
2323,yr un peth,similar,adjectives,5.07
2324,yn sicr,sometimes,adverbs,0.04
2325,deallusrwydd,wisdom,nouns,3.63
2326,dinistrio,create,verbs,0.09
2327,meithrinfa,preschool,nouns,4.4
2328,anghefnogi,upset,verbs,0.59
2329,cyfarch,perform,verbs,0.0
2330,trydanol,sweet,adjectives,0.0
2331,trydan,case,nouns,0.0
2332,cinio,meal,nouns,3.01
2333,arbed,destroy,verbs,0.05
2334,ffabrig,clothes,nouns,1.62
2335,llawr,ceiling,nouns,0.17
2336,tymor,semester,nouns,4.79
2337,llifo,drift,verbs,2.4
2338,gwaith cartref,essay,nouns,2.21
2339,ffôn,victim,nouns,0.0
2340,dec,boat,nouns,0.79
2341,osgoi,deny,verbs,1.09
2342,enillydd,candidate,nouns,0.79
2343,car,horn,nouns,0.66
2344,anwybodaeth,intelligence,nouns,0.09
2345,mawr,national,adjectives,0.41
2346,nenfwd,cathedral,nouns,0.05
2347,blaen,finger,nouns,0.51
2348,yn derfynol,mainly,adverbs,0.44
2349,anhygoel,ordinary,adjectives,0.04
2350,twll,wife,nouns,0.0
2351,actores,actor,nouns,3.84
2352,arae,list,nouns,1.1
2353,gwerthfawr,special,adjectives,2.27
2354,cebl,wizard,nouns,0.0
2355,plât,bowl,nouns,1.42
2356,ofnadwy,great,adjectives,0.04
2357,gwario,save,verbs,0.09
2358,gwrando,understand,verbs,1.09
2359,balch ,mad,adjectives,0.0
2360,rhyfedd,normal,adjectives,0.04
2361,yn gynnil,loudly,adverbs,0.04
2362,hyfforddwraig,player,nouns,0.35
2363,dod â,send,verbs,0.64
2364,drud,shy,adjectives,0.0
2365,edmygu,adore,verbs,2.42
2366,rhad,inexpensive,adjectives,4.68
2367,cyflogwr,employee,nouns,0.51
2368,hyder,self,nouns,0.51
2369,wisgi,gin,nouns,1.66
2370,rhythm,melody,nouns,1.73
2371,chwalu,smash,verbs,4.08
2372,newydd,ancient,adjectives,0.04
2373,cig,beef,nouns,2.55
2374,priodi,join,verbs,2.76
2375,blodyn,bush,nouns,1.21
2376,cadair,stool,nouns,2.83
2377,dyn,woman,nouns,0.26
2378,ardal,corner,nouns,0.76
2379,stopio,drive,verbs,0.05
2380,yn weithredol,accurately,adverbs,0.44
2381,parêd,crowd,nouns,1.83
2382,gwybod,comprehend,verbs,2.67
2383,plymio,create,verbs,0.0
2384,sefyll,walk,verbs,0.64
2385,pren,blanket,nouns,0.0
2386,rhyddhau,press,verbs,0.05
2387,baled,song,nouns,3.75
2388,beirniadu,hate,verbs,0.79
2389,ysgubor,house,nouns,0.63
2390,bardd,journalist,nouns,0.51
2391,adeiladu,destroy,verbs,0.09
2392,mam,dad,nouns,1.3
2393,trallod,despair,nouns,3.95
2394,glaswellt,blade,nouns,0.65
2395,cloch,door,nouns,0.32
2396,pêl-droed,fun,nouns,0.15
2397,emyn,straw,nouns,0.0
2398,sitrws,orange,nouns,2.99
2399,brest,body,nouns,0.93
2400,drwg,guilty,adjectives,1.29
2401,cytuno,argue,verbs,0.09
2402,darganfod,escape,verbs,0.05
2403,storm,cloud,nouns,0.72
2404,trefnus,messy,adjectives,0.09
2405,dydd  ,morning,nouns,1.55
2406,twyllo,cheat,verbs,3.66
2407,galaeth,app,nouns,0.0
2408,atom,molecule,nouns,1.79
2409,tywynnu,shine,verbs,4.16
2410,clywed,listen,verbs,3.62
2411,eisiau,borrow,verbs,0.1
2412,beibl,hymn,nouns,0.69
2413,ailadrodd,practice,verbs,1.48
2414,creu,destroy,verbs,0.09
2415,yn annaturiol,naturally,adverbs,0.09
2416,pobi,fry,verbs,1.31
2417,eilradd,significant,adjectives,0.04
2418,baner,vexillology,nouns,0.92
2419,realiti,fantasy,nouns,0.49
2420,hedyn,mustard,nouns,0.49
2421,dweud yn gyhoeddus,proclaim,verbs,4.57
2422,anwybyddu,leave,verbs,1.07
2423,dysgu,forget,verbs,0.19
2424,planed,star,nouns,1.96
2425,cloch,tower,nouns,0.22
2426,gwisgo,erode,verbs,3.28
2427,cytuno,disagree,verbs,0.09
2428,gwin,brandy,nouns,1.24
2429,paragraff,letter,nouns,0.57
2430,ciledrych,glare,verbs,0.54
2431,cyflog,money,nouns,2.83
2432,swil,scared,adjectives,1.69
2433,cwmwl,weather,nouns,0.93
2434,pêl,glove,nouns,0.32
2435,derbyn,achieve,verbs,0.14
2436,ale,street,nouns,2.83
2437,prif fwrdd,motherboard,nouns,2.65
2438,yn ddarostyngedig,proudly,adverbs,0.32
2439,llosgfynydd,magma,nouns,1.55
2440,methu,strike,verbs,0.05
2441,bygythiad,danger,nouns,4.23
2442,cymysgu,beat,verbs,0.71
2443,geiriadur,encyclopedia,nouns,1.73
2444,caniatáu,give,verbs,0.71
2445,cyrraedd,come,verbs,1.85
2446,peilot,driver,nouns,2.54
2447,tasg,assignment,nouns,4.86
2448,barnu,decide,verbs,3.09
2449,dyn,victor,nouns,0.41
2450,argyhoeddi,try,verbs,0.12
2451,cyflawni,succeed,verbs,3.96
2452,cytundeb,hole,nouns,0.0
2453,thema,book,nouns,0.14
2454,bàth,balloon,nouns,0.0
2455,yn wallgof,loudly,adverbs,0.39
2456,taliad,reward,nouns,2.14
2457,rhoi,get,verbs,0.19
2458,cul,broad,adjectives,0.09
2459,dadlau,differ,verbs,1.42
2460,ynys,princess,nouns,0.0
2461,mynd  ,come,verbs,0.71
2462,arbed,drown,verbs,0.05
2463,cynyddu,grow,verbs,4.22
2464,yn dawel,passively,adverbs,1.37
2465,arwres,hero,nouns,3.51
2466,lleihau,descend,verbs,0.69
2467,sudd,milk,nouns,0.76
2468,twrci,hen,nouns,1.57
2469,yn bendant,surely,adverbs,5.29
2470,map,square,nouns,0.05
2471,duw,prey,nouns,0.0
2472,cwch,car,nouns,0.67
2473,doler,people,nouns,0.0
2474,dinistr,construction,nouns,0.13
2475,meddu ,keep,verbs,2.94
2476,ffilm,theatre,nouns,1.34
2477,ardderchog,mad,adjectives,0.05
2478,wisgi,alcohol,nouns,1.96
2479,cynhwysydd,mouse,nouns,0.0
2480,jar,bottle,nouns,3.05
2481,ennill,dominate,verbs,2.31
2482,ffoi,escape,verbs,4.89
2483,drifftio,flow,verbs,2.4
2484,llyfr nodiadau,gun,nouns,0.0
2485,gwartheg,sheep,nouns,1.12
2486,glaw,hail,nouns,1.88
2487,ymddygiadaeth,therapy,nouns,1.32
2488,pren,paper,nouns,0.66
2489,o reidrwydd,essentially,adverbs,4.18
2490,yn amlwg,roughly,adverbs,0.24
2491,danfon,attend,verbs,0.0
2492,blits,attack,nouns,3.15
2493,gwybod,believe,verbs,1.95
2494,harddwch,age,nouns,0.28
2495,galar,agony,nouns,2.63
2496,metr,inch,nouns,0.83
2497,dwyn,acquire,verbs,1.19
2498,gofyn,ignore,verbs,0.0
2499,chwaer,brother,nouns,1.75
2500,myfyriwr,professor,nouns,0.57
2501,yn onest,loyally,adverbs,2.0
2502,awdur,novel,nouns,0.81
2503,gwydn,hard,adjectives,3.04
2504,gorffwyll,insane,adjectives,4.87
2505,mynychu,send,verbs,0.0
2506,mynd,travel,verbs,2.17
2507,ecsema,dermatitis,nouns,3.44
2508,canon,gun,nouns,2.26
2509,beichio,cry,verbs,4.09
2510,rhanbarth,area,nouns,5.19
2511,cerddoriaeth,melody,nouns,2.82
2512,maint,trick,nouns,0.0
2513,gwyliwr,man,nouns,0.69
2514,crynnu,freeze,verbs,1.39
2515,dirywio,wipe,verbs,0.3
2516,amddiffyn,save,verbs,2.73
2517,afu,lung,nouns,0.79
2518,myfyrdod,image,nouns,1.31
2519,anystwyth,easy,adjectives,0.0
2520,amddiffyn,kill,verbs,0.45
2521,gweithred,game,nouns,0.22
2522,damwain,book,nouns,0.0
2523,adeiladwaith,destruction,nouns,0.13
2524,gwerthu,remind,verbs,0.0
2525,dug,republic,nouns,0.09
2526,ceffyl,ox,nouns,0.74
2527,tybio,predict,verbs,1.66
2528,dawnsio,dress,nouns,0.15
2529,gwellt,task,nouns,0.0
2530,fitamin,iron,nouns,1.02
2531,darganfod,originate,verbs,0.63
2532,newyddion,medium,nouns,0.15
2533,traeth,reef,nouns,0.69
2534,enwogrwydd,wealth,nouns,0.96
2535,presenoldeb,absence,nouns,0.57
2536,canrif,year,nouns,0.87
2537,siryf,cop,nouns,3.01
2538,llygoden fawr,mouse,nouns,2.96
2539,llyfr,article,nouns,0.74
2540,o ychydig,completely,adverbs,0.09
2541,papur lapio,harbor,nouns,0.0
2542,rhedeg,ride,verbs,0.24
2543,diflas,funny,adjectives,0.05
2544,ased,stock,nouns,3.47
2545,cyfarch,meet,verbs,1.51
2546,nodyn,assignment,nouns,0.41
2547,gadael,meet,verbs,0.05
2548,creigres,beach,nouns,0.69
2549,cynhwysydd,bottle,nouns,2.2
2550,dosbarthu,accept,verbs,0.05
2551,gwraidd,grass,nouns,0.51
2552,swil,expensive,adjectives,0.0
2553,bachgen,kid,nouns,2.02
2554,gwraig,gentleman,nouns,0.61
2555,proffwydo,suppose,verbs,1.66
2556,arbed,rescue,verbs,4.81
2557,cwmwl,window,nouns,0.0
2558,llaw,wrist,nouns,1.46
2559,arian,cash,nouns,4.41
2560,brwydr,conquest,nouns,2.37
2561,gwddf,spine,nouns,1.22
2562,dyn,child,nouns,0.17
2563,cyntedd,aisle,nouns,1.61
2564,oedolyn,child,nouns,0.59
2565,argraffu,ignore,verbs,0.0
2566,yn fras,reliably,adverbs,0.0
2567,band,orchestra,nouns,2.94
2568,yn anarferol,strangely,adverbs,4.53
2569,arloeswr,archer,nouns,0.21
2570,bedd,reburial,nouns,0.66
2571,mariwana,herb,nouns,1.79
2572,merch,baby,nouns,1.48
2573,meteor,gravity,nouns,0.41
2574,trên,tram,nouns,2.88
2575,salwch,infection,nouns,3.99
2576,anaeddfed,irresponsible,adjectives,2.29
2577,drws,presence,nouns,0.0
2578,glo,charcoal,nouns,2.95
2579,siarad,hear,verbs,0.39
2580,yn wir,perfectly,adverbs,0.9
2581,ofnus,unsure,adjectives,1.48
2582,dyffryn,canyon,nouns,3.42
2583,glan y môr,beach,nouns,4.72
2584,yn hapus,actively,adverbs,0.15
2585,trafferthu,offend,verbs,1.13
2586,diogelwch,comfort,nouns,1.36
2587,het,coat,nouns,0.6
2588,hawdd,simple,adjectives,3.96
2589,tasg,island,nouns,0.0
2590,llwyn,flower,nouns,1.21
2591,caled,difficult,adjectives,5.47
2592,offeryn,job,nouns,0.07
2593,dynwared,portray,verbs,2.71
2594,pwerus,mighty,adjectives,5.0
2595,aros,leave,verbs,0.17
2596,portreadu,imitate,verbs,2.71
2597,llen,rod,nouns,0.15
2598,seryddwr,galaxy,nouns,0.42
2599,hwyl,football,nouns,0.15
2600,i ffwrdd,home,adverbs,0.35
2601,deigryn,eye,nouns,0.53
2602,caffael,steal,verbs,1.19
2603,ysbryd,lamp,nouns,0.39
2604,anhrefn,anarchy,nouns,3.72
2605,raced,ball,nouns,0.79
2606,anghwrtais,crude,adjectives,1.11
2607,llyfr,information,nouns,0.86
2608,priodi,engage,verbs,1.13
2609,aderyn,hawk,nouns,2.21
2610,reis,boy,nouns,0.0
2611,anghofio,retain,verbs,0.0
2612,eira,ice,nouns,2.96
2613,fel arfer,irregularly,adverbs,0.17
2614,hawdd,big,adjectives,0.0
2615,cangen,arm,nouns,1.06
2616,blodyn,violet,nouns,1.5
2617,ymgynnull,collect,verbs,4.57
2618,prynu,pay,verbs,2.0
2619,radar,joystick,nouns,0.17
2620,gwirio,say,verbs,0.49
2621,gorsedd,sword,nouns,0.42
2622,anghofio,forgive,verbs,0.67
2623,cynorthwy-ydd,teacher,nouns,2.13
2624,methu,discourage,verbs,0.27
2625,archwilio,investigate,verbs,3.8
2626,cath,rabbit,nouns,0.81
2627,anhrefn,class,nouns,0.05
2628,yn gyfrifol,independently,adverbs,0.39
2629,gweinidogaeth,sultan,nouns,0.3
2630,gwerth,rate,nouns,1.82
2631,nendwr,palace,nouns,0.22
2632,gwybod,give,verbs,0.04
2633,nos,day,nouns,0.26
2634,wal,decoration,nouns,0.3
2635,mynd  ,begin,verbs,0.97
2636,cytoplasm,digit,nouns,0.0
2637,cyfreithiol,safe,adjectives,0.83
2638,gwyliadwraeth,skirt,nouns,0.0
2639,amrwd,rude,adjectives,1.11
2640,amddiffyn,keep,verbs,1.1
2641,dydd ,night,nouns,0.26
2642,hysteria,confusion,nouns,1.76
2643,plasty,sculptor,nouns,0.15
2644,yn bennaf,terminally,adverbs,0.44
2645,gadael,take,verbs,0.09
2646,pwnc,hashtag,nouns,0.69
2647,dis,cube,nouns,2.25
2648,clwb,society,nouns,4.04
2649,pledio,beg,verbs,4.38
2650,bwrw,pinch,verbs,0.82
2651,ras,weekend,nouns,0.0
2652,toddi,dissolve,verbs,3.14
2653,pryd bwyd,dinner,nouns,3.01
2654,car,bicycle,nouns,0.9
2655,blaengroen,circumcision,nouns,0.79
2656,dweud celwydd,deny,verbs,0.67
2657,niwed,pain,nouns,2.26
2658,clymu,weave,verbs,1.56
2659,cynffon,cliff,nouns,0.0
2660,melys,electric,adjectives,0.0
2661,cyfathrebu,television,nouns,0.64
2662,twyll,crime,nouns,2.46
2663,arholiad,syllabus,nouns,0.66
2664,blwch,elevator,nouns,0.04
2665,fformiwla,equation,nouns,4.34
2666,cryndod,earthquake,nouns,3.06
2667,bregus,frigid,adjectives,0.1
2668,ceisio,convince,verbs,0.12
2669,ffôn,cellphone,nouns,3.97
2670,crwydro,leave,verbs,0.57
2671,gair,newspaper,nouns,0.38
2672,allwedd,lock,nouns,0.74
2673,yn weithredol,passively,adverbs,0.04
2674,cariad,companion,nouns,2.88
2675,angerdd,emotion,nouns,3.31
2676,wedi blino,hungry,adjectives,0.22
2677,diniwed,naive,adjectives,4.88
2678,afon,sea,nouns,1.29
2679,canfod,hear,verbs,0.84
2680,cath,pet,nouns,2.62
2681,storm,hurricane,nouns,3.25
2682,cyflwr,situation,nouns,2.24
2683,reis,bean,nouns,0.79
2684,mynychu,arrive,verbs,1.04
2685,fel arfer,rarely,adverbs,0.17
2686,yn gain,beautifully,adverbs,2.96
2687,strwythur,topology,nouns,1.71
2688,rhoi,lend,verbs,2.04
2689,beiddgar,proud,adjectives,1.48
2690,helpu,aid,verbs,5.55
2691,cwch,tree,nouns,0.0
2692,yma,now,adverbs,1.86
2693,pastai,chocolate,nouns,0.42
2694,cyhyrau,bone,nouns,0.28
2695,athro,instructor,nouns,4.32
2696,yn aml,sometimes,adverbs,0.39
2697,amlwg,noticeable,adjectives,4.24
2698,bwyd,program,nouns,0.05
2699,anodd,easy,adjectives,0.04
2700,dechrau,begin,verbs,5.44
2701,o bosibl,likely,adverbs,2.39
2702,goruchafu,win,verbs,2.31
2703,gwobr,payment,nouns,2.14
2704,clywed,speak,verbs,0.39
2705,lliain,fabric,nouns,1.93
2706,cynffon,bowl,nouns,0.0
2707,hawdd,tough,adjectives,0.04
2708,sain,acoustics,nouns,2.95
2709,democratiaeth,monarchy,nouns,0.61
2710,mewnwelediad,fact,nouns,1.33
2711,archeoleg,anthropology,nouns,1.23
2712,pîn-afal,smartphone,nouns,0.0
2713,cyd-beilot,cockpit,nouns,0.12
2714,rhewi,shiver,verbs,1.39
2715,cryptogram,symbol,nouns,2.39
2716,aur,zinc,nouns,0.51
2717,drachtio,swallow,verbs,2.29
2718,ceffyl,dog,nouns,0.53
2719,teiffŵn,cyclone,nouns,4.03
2720,meddwl,rationalize,verbs,2.8
2721,tacsi,cab,nouns,5.7
2722,dirmygus,scornful,adjectives,4.14
2723,testun,book,nouns,1.66
2724,coginio,mix,verbs,0.76
2725,di-ffurf,shapeless,adjectives,5.2
2726,cyfnos,evening,nouns,3.94
2727,cyfiawnhau,verify,verbs,0.8
2728,hyblyg,loose,adjectives,1.4
2729,pâr,couple,nouns,5.57
2730,garddwrn,arm,nouns,1.27
2731,ennill,succeed,verbs,3.59
2732,llawysgrif,article,nouns,1.22
2733,lleng,army,nouns,3.33
2734,tatws,butter,nouns,0.22
2735,syniad,image,nouns,0.83
2736,aderyn,turkey,nouns,2.3
2737,achub,save,verbs,4.81
2738,oen,sheep,nouns,3.92
2739,lwc,happiness,nouns,0.59
2740,bathodyn,glass,nouns,0.04
2741,yn enfawr,openly,adverbs,0.3
2742,niwrosis,mind,nouns,1.02
2743,gwthio,pull,verbs,0.09
2744,llo,bull,nouns,1.71
2745,nerf,body,nouns,0.15
2746,pili-pala,rose,nouns,0.2
2747,anodd,hard,adjectives,5.47
2748,ceisio,achieve,verbs,0.64
2749,diplomyddiaeth,negotiation,nouns,2.51
2750,dychmygu,pretend,verbs,2.33
2751,bawd,nail,nouns,0.89
2752,dolen,belt,nouns,0.34
2753,yn ddiweddar,currently,adverbs,1.61
2754,arfordir,shore,nouns,3.33
2755,môr,beach,nouns,1.36
2756,sudd,spoon,nouns,0.05
2757,cadair,sofa,nouns,2.65
2758,etholi,reject,verbs,0.0
2759,cig eidion,cattle,nouns,3.04
2760,nôl rhywbeth,buy,verbs,1.29
2761,argyfwng,accident,nouns,2.11
2762,ffenestr,door,nouns,0.59
2763,yn ddiffuant,usually,adverbs,0.2
2764,hwyliau,emotion,nouns,2.85
2765,bachgen,condition,nouns,0.0
2766,milwr,boy,nouns,0.24
2767,enfawr,dumb,adjectives,0.04
2768,llywydd,camera,nouns,0.0
2769,glân,neat,adjectives,2.71
2770,diflannu,find,verbs,0.05
2771,ysgrifennydd,woman,nouns,0.19
2772,yn annheg,fairly,adverbs,0.09
2773,confensiwn,rule,nouns,2.74
2774,capten,sailor,nouns,1.74
2775,gosod,give,verbs,0.81
2776,yn hyfryd,elegantly,adverbs,2.96
2777,diflannu,shrink,verbs,1.59
2778,teithio,go,verbs,2.17
2779,herwgipio,steal,verbs,2.42
2780,anniben,orderly,adjectives,0.09
2781,garddwrn,hand,nouns,1.46
2782,bowliwr,bowling,nouns,1.27
2783,enillydd,man,nouns,0.41
2784,cadair,telescope,nouns,0.0
2785,corff,stomach,nouns,0.94
2786,arbed,protect,verbs,2.73
2787,aros,retain,verbs,0.44
2788,lleihau,shrink,verbs,3.58
2789,pechadur,saint,nouns,0.42
2790,braich,branch,nouns,1.06
2791,caled,easy,adjectives,0.04
2792,cadw,cherish,verbs,1.25
2793,cyngres,parliament,nouns,2.66
2794,duw,spirit,nouns,1.81
2795,hafaliad,formula,nouns,4.34
2796,barnwr,magistrate,nouns,4.34
2797,crio,laugh,verbs,0.14
2798,ymerawdwr,constitution,nouns,0.13
2799,papur,poster,nouns,1.44
2800,yn gadarn,calmly,adverbs,0.91
2801,hael,friendly,adjectives,1.46
2802,chwyrnu,awake,verbs,0.09
2803,stumog,vein,nouns,0.15
2804,aflonyddu,scare,verbs,1.84
2805,stori,book,nouns,1.86
2806,disgleirio,glow,verbs,4.16
2807,gwael,proud,adjectives,0.05
2808,gwych,bad,adjectives,0.04
2809,diangen,necessary,adjectives,0.04
2810,gogledd,west,nouns,1.05
2811,llyfr,accident,nouns,0.0
2812,cot,hat,nouns,0.6
2813,go fach,dwarfish,adjectives,3.24
2814,carbon,atom,nouns,1.0
2815,wythnosol,monthly,adjectives,0.83
2816,elastig,flexible,adjectives,3.13
2817,parti,people,nouns,0.84
2818,hyfforddiant,scholarship,nouns,0.79
2819,dewis,vein,nouns,0.0
2820,rhyfedd,ordinary,adjectives,0.04
2821,perllan,ostrich,nouns,0.0
2822,ufuddhau,behave,verbs,2.02
2823,ffrog,dance,nouns,0.15
2824,soffa,baseball,nouns,0.0
2825,dillad,coat,nouns,1.57
2826,cau,vomit,verbs,0.0
2827,tyfu,shrink,verbs,0.09
2828,cadw,forget,verbs,0.0
2829,byw,survive,verbs,3.24
2830,cyffredin,cold,adjectives,0.0
2831,ffabrig,linen,nouns,1.93
2832,concwest,hymn,nouns,0.0
2833,rhad,affordable,adjectives,4.38
2834,ymosodol,rude,adjectives,1.36
2835,dathliad,ceremony,nouns,2.59
2836,meddyg,temper,nouns,0.0
2837,nos,dawn,nouns,0.34
2838,cawod,monastery,nouns,0.0
2839,lladd,choke,verbs,1.2
2840,newyddiadurwr,poet,nouns,0.51
2841,llawr,door,nouns,0.09
2842,gwraig,hole,nouns,0.0
2843,rhoi,keep,verbs,0.05
2844,taliad,coin,nouns,0.96
2845,dyn,uncle,nouns,0.84
2846,bydysawd,sky,nouns,0.79
2847,clun,lip,nouns,0.14
2848,aloi,steel,nouns,2.17
2849,allbriodasol,unmentionable,adjectives,0.07
2850,pennu,evacuate,verbs,0.0
2851,awst,month,nouns,2.1
2852,dwywaith,always,adverbs,0.28
2853,gadael,wander,verbs,0.57
2854,de,north,nouns,0.71
2855,dyrchafu,lift,verbs,4.53
2856,cynilwr,saving,nouns,2.08
2857,dadlau,agree,verbs,0.09
2858,cystrawen,headword,nouns,0.34
2859,gwrtaith,growth,nouns,0.59
2860,stopio,prohibit,verbs,3.72
2861,nyrs,scientist,nouns,0.32
2862,artist,artwork,nouns,1.04
2863,yn ddigynnwrf,subtly,adverbs,0.84
2864,yn agored,massively,adverbs,0.3
2865,poenus,ashamed,adjectives,0.54
2866,cwmpawd,elephant,nouns,0.0
2867,esgus,portray,verbs,0.81
2868,balchder,poor,adjectives,0.05
2869,lluosiad,division,nouns,0.82
2870,chwim,fast,adjectives,5.39
2871,dyn,father,nouns,1.91
2872,haul,sky,nouns,0.66
2873,canwr,actor,nouns,0.86
2874,siart,graph,nouns,3.89
2875,dechrau,quit,verbs,0.04
2876,caffael,get,verbs,4.44
2877,betio,gamble,verbs,5.52
2878,esgus,seem,verbs,0.84
2879,cymylog,forecast,nouns,0.15
2880,cyfreithlon,illegal,adjectives,0.09
2881,pennod,night,nouns,0.0
2882,diflas,sharp,adjectives,0.14
2883,wedi'i goginio,boiled,adjectives,2.37
2884,dewis,pick,verbs,4.77
2885,rhoi,receive,verbs,0.09
2886,llyn,swamp,nouns,1.23
2887,pencampwr,winner,nouns,5.07
2888,cwrw,champagne,nouns,1.15
2889,arian,capital,nouns,3.04
2890,cymryd,deliver,verbs,0.46
2891,reidio,run,verbs,0.24
2892,stori,pencil,nouns,0.15
2893,nenfwd,floor,nouns,0.17
2894,cydymaith,lover,nouns,2.88
2895,crëwr,author,nouns,3.4
2896,bysellfwrdd,light,nouns,0.0
2897,tad,brother,nouns,0.69
2898,diod,beer,nouns,1.99
2899,gyferbyn,other,adjectives,0.77
2900,cwest,goal,nouns,1.98
2901,yn gadarnhaol,probably,adverbs,0.64
2902,siaced,clothes,nouns,1.62
2903,mwgwd,party,nouns,0.15
2904,eryr,falcon,nouns,2.39
2905,hyll,messy,adjectives,1.02
2906,heb ei ddatgelu,overt,adjectives,0.27
2907,offeiriad,god,nouns,0.59
2908,dydd  ,dawn,nouns,1.71
