ID,CMN,ENG,PoS,score
2350,赢,dominate,verbs,0.99
2351,坏,great,adjectives,0.04
2352,开朗,nice,adjectives,0.86
2353,深度地,meaningfully,adverbs,2.96
2354,服装,ball,nouns,0.04
2355,难以置信,ordinary,adjectives,0.04
2356,扼杀,burn,verbs,0.14
2357,糟糕,bad,adjectives,3.86
2358,收到,give,verbs,0.04
2359,泡,suds,nouns,3.41
2360,世纪,decade,nouns,0.43
2361,钩针编织,uniform,nouns,0.23
2362,晚餐,breakfast,nouns,0.87
2363,非常好,dirty,adjectives,0.0
2364,摔倒,stumble,verbs,3.12
2365,司机,pilot,nouns,1.77
2366,埋葬,die,verbs,1.43
2367,尝试,succeed,verbs,0.52
2368,逃逸,find,verbs,0.0
2369,公共汽车,vehicle,nouns,2.46
2370,拇指,hand,nouns,0.75
2371,政治家,president,nouns,2.89
2372,运输,lift,verbs,2.07
2373,小行星,star,nouns,2.27
2374,重要,necessary,adjectives,3.91
2375,元,people,nouns,0.0
2376,不久,immediately,adverbs,2.41
2377,讨厌,enjoy,verbs,0.09
2378,盒子,source,nouns,0.0
2379,伤心地,emotionally,adverbs,1.38
2380,电缆,wizard,nouns,0.0
2381,没打中,strike,verbs,0.18
2382,偷,buy,verbs,0.39
2383,女人,man,nouns,0.33
2384,网球,statistics,nouns,0.0
2385,游标,chips,nouns,0.04
2386,小亭,telephone,nouns,0.27
2387,新,fresh,adjectives,3.54
2388,描绘,pretend,verbs,0.46
2389,歌谣,song,nouns,3.2
2390,米饭,boy,nouns,0.0
2391,目前,delicately,adverbs,0.0
2392,喧闹声,racket,nouns,4.02
2393,管理,mouse,nouns,0.0
2394,最佳,fifth,adjectives,0.04
2395,获得,steal,verbs,1.32
2396,汽车,truck,nouns,2.25
2397,剧院,film,nouns,1.8
2398,敬礼,perform,verbs,0.0
2399,房间,bed,nouns,0.23
2400,群落生境,biology,nouns,0.93
2401,地窖,door,nouns,0.22
2402,工作者,camera,nouns,0.04
2403,从不,honestly,adverbs,0.0
2404,抓住,capture,verbs,3.96
2405,使满意,entertain,verbs,1.25
2406,紧急情况,accident,nouns,3.31
2407,信念,value,nouns,3.08
2408,体操,fencing,nouns,0.84
2409,威胁,danger,nouns,4.25
2410,小孩,girl,nouns,2.38
2411,同意,argue,verbs,0.22
2412,老师,rabbi,nouns,1.32
2413,查询,think,verbs,0.59
2414,大夫,doctor,nouns,4.76
2415,轻微,completely,adverbs,0.04
2416,平淡,exciting,adjectives,0.13
2417,毛毛虫,silkworm,nouns,1.89
2418,退出,reject,verbs,0.86
2419,钟,door,nouns,0.12
2420,果汁,spoon,nouns,0.0
2421,承认,notify,verbs,0.54
2422,负面地,unnaturally,adverbs,0.16
2423,屋,barn,nouns,0.7
2424,男孩,brother,nouns,1.94
2425,声明放弃,repress,verbs,0.34
2426,疯狂,terrific,adjectives,0.18
2427,避免,deny,verbs,0.47
2428,橡木,maple,nouns,1.75
2429,屋顶,ceiling,nouns,3.44
2430,结婚,engage,verbs,1.75
2431,云,haze,nouns,2.31
2432,自由,oasis,nouns,0.2
2433,鼓,horn,nouns,0.2
2434,舞蹈,dress,nouns,0.09
2435,豆,bacon,nouns,0.04
2436,草,root,nouns,0.49
2437,饮品,beer,nouns,2.12
2438,篮球,baseball,nouns,0.59
2439,欠,enter,verbs,0.0
2440,酒,century,nouns,0.0
2441,机场,plane,nouns,0.74
2442,成为,appear,verbs,0.22
2443,一分钱,people,nouns,0.0
2444,地区,region,nouns,5.13
2445,害羞,expensive,adjectives,0.0
2446,学生,professor,nouns,0.25
2447,想,decide,verbs,0.99
2448,黎明,night,nouns,0.23
2449,宽大,narrow,adjectives,0.18
2450,侵蚀,allow,verbs,0.0
2451,刺激,guess,verbs,0.04
2452,知道,believe,verbs,1.46
2453,储蓄者,saving,nouns,1.1
2454,圣歌,bible,nouns,1.52
2455,悲伤,happiness,nouns,0.04
2456,冰,snow,nouns,2.73
2457,失去,keep,verbs,0.09
2458,运动鞋,medal,nouns,0.08
2459,信,paragraph,nouns,0.21
2460,偷,give,verbs,0.22
2461,故事,song,nouns,0.38
2462,天真,naive,adjectives,4.38
2463,搂抱,hug,verbs,5.13
2464,混乱,hysteria,nouns,2.13
2465,卖,remind,verbs,0.0
2466,树,leaf,nouns,0.45
2467,光,keyboard,nouns,0.04
2468,申请,applicant,nouns,0.98
2469,成年人,child,nouns,0.47
2470,诚实地,sincerely,adverbs,4.54
2471,走开,leave,verbs,4.23
2472,才能,capability,nouns,4.81
2473,优胜者,champion,nouns,5.2
2474,治疗,behaviorism,nouns,0.42
2475,交付,take,verbs,0.4
2476,搅拌,mix,verbs,3.58
2477,取得,acquire,verbs,4.79
2478,生存,live,verbs,2.77
2479,黎明,gun,nouns,0.0
2480,牙,hammer,nouns,0.0
2481,律师,gallery,nouns,0.0
2482,甜,electric,adjectives,0.0
2483,羊,lamb,nouns,4.45
2484,生物学,anatomy,nouns,2.71
2485,戏法,size,nouns,0.0
2486,目标,winner,nouns,0.15
2487,马,colt,nouns,3.07
2488,向量,matrix,nouns,1.54
2489,赛跑运动员,athlete,nouns,2.75
2490,教堂,mosaic,nouns,0.19
2491,走,allow,verbs,0.04
2492,吸血鬼,bat,nouns,0.55
2493,农业,monoculture,nouns,1.13
2494,骑,run,verbs,0.37
2495,厨房,door,nouns,0.04
2496,正义,tribunal,nouns,1.46
2497,传感器,radiator,nouns,0.29
2498,浮动,sing,verbs,0.0
2499,共和国,duke,nouns,0.04
2500,小,huge,adjectives,0.16
2501,叫喊,argue,verbs,1.43
2502,现在,here,adverbs,1.81
2503,争论,justify,verbs,3.29
2504,女孩,child,nouns,2.38
2505,海报,paper,nouns,1.8
2506,手机,pineapple,nouns,0.0
2507,地区,zone,nouns,4.82
2508,不同,agree,verbs,0.04
2509,椅子,bench,nouns,3.17
2510,离开,remain,verbs,0.21
2511,阳光,apple,nouns,0.09
2512,多面体,actor,nouns,0.04
2513,胎压计,car,nouns,0.14
2514,肘,bone,nouns,0.64
2515,灵活的,elastic,adjectives,3.65
2516,白天,dawn,nouns,2.48
2517,容易地,roughly,adverbs,0.0
2518,大致,marginally,adverbs,1.46
2519,盒子,cigar,nouns,0.12
2520,脚,sand,nouns,0.04
2521,宫殿,skyscraper,nouns,0.29
2522,不公平,fairly,adverbs,0.22
2523,煮沸,fry,verbs,1.14
2524,薄荷,museum,nouns,0.04
2525,衣服,closet,nouns,0.58
2526,薄雾,cloud,nouns,2.84
2527,私人的,public,adjectives,0.13
2528,现代,ancient,adjectives,0.04
2529,流体,nozzle,nouns,0.04
2530,冬天,summer,nouns,0.23
2531,坟墓,reburial,nouns,0.47
2532,踢,hurt,verbs,0.87
2533,公主,king,nouns,0.39
2534,故事,book,nouns,2.08
2535,老师,helper,nouns,1.48
2536,丰富,plenty,nouns,4.59
2537,问,ignore,verbs,0.09
2538,被动地,reliably,adverbs,0.0
2539,沙发,chair,nouns,2.44
2540,黎明,day,nouns,2.48
2541,柄,protein,nouns,0.0
2542,肉,beef,nouns,2.98
2543,决定,choose,verbs,3.99
2544,艺术品,artist,nouns,0.79
2545,检察官,lawyer,nouns,2.27
2546,州,home,nouns,0.27
2547,钢笔,alphabet,nouns,0.04
2548,蜜蜂,insect,nouns,2.42
2549,小心地,cautiously,adverbs,4.61
2550,歌曲,story,nouns,0.38
2551,想,inquire,verbs,0.59
2552,指南,handbook,nouns,3.45
2553,草地,grassland,nouns,3.1
2554,雨,mist,nouns,1.29
2555,手表,skirt,nouns,0.0
2556,走廊,hallway,nouns,4.95
2557,雪茄,box,nouns,0.12
2558,懒,busy,adjectives,0.04
2559,一尘不染,clean,adjectives,5.14
2560,肌肉,bone,nouns,0.26
2561,异常地,normally,adverbs,0.04
2562,顽固,stupid,adjectives,1.02
2563,宠物,cat,nouns,2.95
2564,听,learn,verbs,0.66
2565,颚,bone,nouns,1.09
2566,给予,contribution,nouns,3.37
2567,掌握,understand,verbs,4.17
2568,豆,coffee,nouns,0.52
2569,木,blanket,nouns,0.0
2570,马车,wagon,nouns,3.28
2571,混合,stir,verbs,3.58
2572,假,real,adjectives,0.18
2573,完成,complete,adjectives,5.38
2574,容易,big,adjectives,0.0
2575,沙拉,diet,nouns,0.7
2576,声望,wealth,nouns,1.13
2577,开口,gap,nouns,4.02
2578,紧张,scared,adjectives,2.34
2579,依靠,fail,verbs,0.09
2580,完成,compete,verbs,0.69
2581,晚上,dawn,nouns,0.23
2582,果汁,milkshake,nouns,0.52
2583,男人,victor,nouns,0.49
2584,选举权,exit,nouns,0.18
2585,汽车旅馆,inn,nouns,3.54
2586,笨,foolish,adjectives,4.75
2587,雕塑,statue,nouns,5.14
2588,失去,cook,verbs,0.0
2589,哥哥,son,nouns,0.75
2590,需求,argue,verbs,0.33
2591,创建,build,verbs,4.17
2592,出席,come,verbs,3.17
2593,公共的,private,adjectives,0.13
2594,汽车,bridge,nouns,0.09
2595,开心,angry,adjectives,0.04
2596,部,sultan,nouns,0.15
2597,存款,saver,nouns,1.1
2598,重要地,truly,adverbs,0.27
2599,优雅地,beautifully,adverbs,3.16
2600,窄小,wide,adjectives,0.18
2601,星系,astronomer,nouns,0.36
2602,老板,director,nouns,3.82
2603,经常,seldom,adverbs,0.29
2604,苹果,candy,nouns,0.08
2605,统计资料,tennis,nouns,0.0
2606,散热器,sensor,nouns,0.29
2607,身体,stomach,nouns,1.25
2608,美丽地,elegantly,adverbs,3.16
2609,疯,crazy,adjectives,5.36
2610,老鼠,container,nouns,0.0
2611,才能,ability,nouns,4.4
2612,负责可靠地,independently,adverbs,0.89
2613,飞机,helicopter,nouns,2.08
2614,得到,acquire,verbs,4.91
2615,末期地,mainly,adverbs,0.04
2616,棚屋,shelter,nouns,1.32
2617,鳟鱼,guitar,nouns,0.0
2618,打算,attempt,verbs,1.18
2619,搏斗,play,verbs,0.18
2620,眉头,eye,nouns,0.85
2621,眼睛,brow,nouns,0.85
2622,门,window,nouns,0.42
2623,拥抱,smother,verbs,0.57
2624,来,arrive,verbs,2.56
2625,主意,scheme,nouns,3.23
2626,击剑,gymnastics,nouns,0.84
2627,男孩,condition,nouns,0.14
2628,通常,sincerely,adverbs,0.0
2629,原谅,forget,verbs,0.35
2630,教练,player,nouns,0.15
2631,拥抱,cuddle,verbs,5.13
2632,喜爱,hate,verbs,0.09
2633,法官,court,nouns,0.91
2634,报纸,information,nouns,1.32
2635,握紧,grasp,verbs,3.31
2636,温和地,kindly,adverbs,2.87
2637,建议,recommend,verbs,4.22
2638,狮子,cat,nouns,1.34
2639,评估,analyze,verbs,4.54
2640,戒指,engagement,nouns,1.25
2641,腰部,meal,nouns,0.0
2642,海军,island,nouns,0.04
2643,枪,knife,nouns,1.5
2644,学习,evaluate,verbs,0.55
2645,刀,gun,nouns,1.5
2646,严酷,cruel,adjectives,3.82
2647,从不,seldom,adverbs,2.21
2648,父亲,daughter,nouns,0.16
2649,下面,top,nouns,0.2
2650,收到,accept,verbs,1.34
2651,相机,president,nouns,0.0
2652,谨慎地,carefully,adverbs,4.61
2653,把握,clench,verbs,3.31
2654,大,broad,adjectives,2.95
2655,任务,island,nouns,0.0
2656,玩具,cube,nouns,0.09
2657,选择,election,nouns,2.17
2658,完美地,truly,adverbs,0.68
2659,胜利者,man,nouns,0.49
2660,人们,party,nouns,0.48
2661,树,boat,nouns,0.0
2662,稀少,scarce,adjectives,4.39
2663,盒子,elevator,nouns,0.04
2664,岩浆,volcano,nouns,1.27
2665,女佣,girl,nouns,1.27
2666,主教,muslim,nouns,0.52
2667,积极地,passively,adverbs,0.22
2668,井井有条,disorganized,verbs,0.22
2669,柑橘,orange,nouns,3.02
2670,烘烤,fry,verbs,1.16
2671,发送,receive,verbs,0.36
2672,任务,straw,nouns,0.0
2673,歌剧,cinema,nouns,0.88
2674,茶,lemon,nouns,0.08
2675,走,come,verbs,0.54
2676,脏,cheap,adjectives,0.36
2677,海岸,gunboat,nouns,0.08
2678,跑,ride,verbs,0.37
2679,床,couch,nouns,1.02
2680,交换,currency,nouns,1.19
2681,无知,intelligence,nouns,0.04
2682,接受,deny,verbs,0.04
2683,天气,cloud,nouns,1.52
2684,避难所,hut,nouns,1.32
2685,出席,gather,verbs,0.55
2686,说明,clarify,verbs,4.16
2687,字母,pen,nouns,0.04
2688,字典,encyclopedia,nouns,1.75
2689,疾病,danger,nouns,0.38
2690,煮熟的,boiled,adjectives,2.54
2691,订婚,ring,nouns,1.25
2692,音乐,flute,nouns,1.04
2693,考古学,anthropology,nouns,0.88
2694,牛肉,meat,nouns,2.98
2695,毁灭,save,verbs,0.09
2696,弯曲,straight,adjectives,0.16
2697,亿万富翁,homeless,nouns,0.27
2698,锁起来,cell,nouns,1.43
2699,统治,win,verbs,0.99
2700,战斗,belligerence,nouns,2.46
2701,游戏,fun,nouns,1.04
2702,移动,weave,verbs,0.19
2703,基质,molecule,nouns,0.45
2704,猫,dog,nouns,0.54
2705,驱逐,vacate,verbs,1.11
2706,通常,irregularly,adverbs,0.34
2707,好心地,kindly,adverbs,4.74
2708,枪,people,nouns,0.0
2709,电影,popcorn,nouns,0.34
2710,选举,reject,verbs,0.0
2711,事实,proof,nouns,1.52
2712,母亲,dad,nouns,0.78
2713,检查,investigate,verbs,3.41
2714,徘徊,search,verbs,0.52
2715,借,give,verbs,2.39
2716,悬崖,hill,nouns,0.65
2717,争论,persuade,verbs,2.21
2718,批评,remark,verbs,1.48
2719,河谷,river,nouns,1.29
2720,坚强,proud,adjectives,0.58
2721,责怪,push,verbs,0.18
2722,金属,tin,nouns,2.17
2723,学习,confuse,verbs,0.0
2724,平滑,sharp,adjectives,0.09
2725,家长,father,nouns,3.71
2726,阳光,sky,nouns,0.77
2727,极好,mad,adjectives,0.18
2728,公寓,house,nouns,3.56
2729,猛烈地,sadly,adverbs,0.13
2730,年轻,happy,adjectives,0.08
2731,做,destroy,verbs,0.13
2732,打扰,disturb,verbs,3.83
2733,锁匙,house,nouns,0.12
2734,雪茄,pipe,nouns,1.6
2735,尊严,insignia,nouns,0.19
2736,房子,apartment,nouns,3.56
2737,罪犯,offender,nouns,4.45
2738,波浪,weather,nouns,0.04
2739,世俗主义,religion,nouns,0.15
2740,未成熟的,grown,adjectives,0.22
2741,恳求,beg,verbs,4.38
2742,携带,bring,verbs,2.5
2743,贫穷,proud,adjectives,0.04
2744,承认,deny,verbs,0.22
2745,不清楚,vague,adjectives,4.78
2746,容易地,comfortably,adverbs,2.27
2747,植物群,nature,nouns,2.18
2748,借,keep,verbs,0.12
2749,忘记,remind,verbs,0.22
2750,王座,sword,nouns,0.3
2751,字,phrase,nouns,1.18
2752,并发,currency,nouns,0.08
2753,说话,whisper,verbs,2.27
2754,电视,communication,nouns,0.19
2755,肩,body,nouns,0.55
2756,资料,book,nouns,1.46
2757,人类学,archaeology,nouns,0.88
2758,锌,gold,nouns,0.72
2759,经理,leader,nouns,2.5
2760,机械地,ideally,adverbs,0.09
2761,肢体,leg,nouns,2.08
2762,自行车,skin,nouns,0.0
2763,脚,hand,nouns,0.72
2764,和声,piano,nouns,0.39
2765,剑,throne,nouns,0.3
2766,交流,language,nouns,1.36
2767,燕麦,field,nouns,0.23
2768,傲慢,proud,adjectives,3.3
2769,攻击,hurt,verbs,2.81
2770,暴力,passive,adjectives,0.0
2771,问,pray,verbs,0.82
2772,日出,sunset,nouns,0.55
2773,假日,calendar,nouns,0.39
2774,花,belief,nouns,0.21
2775,想像,create,verbs,1.05
2776,合乎体统,polite,adjectives,3.45
2777,内疚,bad,adjectives,0.73
2778,担心,waste,verbs,0.0
2779,蚕,caterpillar,nouns,1.89
2780,男孩,rice,nouns,0.0
2781,拿,seize,verbs,3.41
2782,否认,admit,verbs,0.22
2783,修道院,shower,nouns,0.0
2784,坦白,denial,nouns,0.27
2785,牛,sheep,nouns,1.45
2786,血液,body,nouns,0.61
2787,珍爱,keep,verbs,0.88
2788,联合,combination,nouns,2.43
2789,大脑,mind,nouns,3.84
2790,尝试,think,verbs,0.28
2791,画廊,lawyer,nouns,0.0
2792,心情,emotion,nouns,3.25
2793,底部,base,nouns,2.83
2794,惩罚,obey,verbs,0.09
2795,唇,mouth,nouns,2.0
2796,正牙医生,dentist,nouns,3.54
2797,合唱,singer,nouns,1.51
2798,酱,apple,nouns,0.47
2799,保护,save,verbs,2.65
2800,闻名,national,adjectives,0.0
2801,贡献,offering,nouns,3.37
2802,强大,weak,adjectives,0.04
2803,分钟,second,nouns,1.58
2804,信念,flower,nouns,0.21
2805,击中,aim,verbs,1.26
2806,眼泪,eye,nouns,0.3
2807,裁判官,judge,nouns,3.96
2808,靠不住的,devious,adjectives,2.86
2809,通知,portray,verbs,0.0
2810,山羊,cow,nouns,0.65
2811,能力,competence,nouns,4.81
2812,能量,battery,nouns,1.64
2813,监狱,choice,nouns,0.04
2814,沙丘,desert,nouns,2.22
2815,植物,agriculture,nouns,1.25
2816,弱,powerful,adjectives,0.04
2817,开始,go,verbs,0.86
2818,允许,disprove,verbs,0.0
2819,医院,bed,nouns,0.23
2820,苹果,juice,nouns,1.11
2821,年,birthday,nouns,0.64
2822,无聊,tired,adjectives,0.24
2823,墙纸,background,nouns,3.04
2824,塔,bell,nouns,0.4
2825,陶艺,ceramic,nouns,2.83
2826,在场,absence,nouns,0.21
2827,谨慎,care,nouns,3.72
2828,安全地,carefully,adverbs,2.2
2829,依靠,depend,verbs,4.62
2830,聪明,dumb,adjectives,0.08
2831,新鲜,new,adjectives,3.54
2832,魔鬼,god,nouns,0.32
2833,形象,idea,nouns,0.39
2834,暖炉,umbrella,nouns,0.04
2835,刀口,grass,nouns,0.34
2836,大致地,easily,adverbs,0.0
2837,參加,cooperate,verbs,1.21
2838,音节,lemma,nouns,0.61
2839,多,twice,adverbs,0.7
2840,地心引力,meteor,nouns,0.12
2841,舌头,throat,nouns,0.79
2842,主要,mostly,adverbs,4.04
2843,创新,creative,adjectives,4.77
2844,出现,leave,verbs,0.04
2845,航空学,avionics,nouns,3.23
2846,食物,program,nouns,0.0
2847,皇帝,constitution,nouns,0.12
2848,巫师,cable,nouns,0.0
2849,说,express,verbs,3.25
2850,单身牢房,room,nouns,1.91
2851,匆忙,rush,verbs,4.35
2852,简单,vulnerable,adjectives,0.43
2853,身体,shoulder,nouns,0.55
2854,啜,drink,verbs,2.13
2855,球拍,ball,nouns,0.52
2856,失去,subtract,verbs,2.02
2857,文章,journal,nouns,2.04
2858,拒绝,give,verbs,0.0
2859,牙齿,bone,nouns,1.36
2860,遇见,leave,verbs,0.18
2861,匆匆地写,write,verbs,2.83
2862,长大,immature,adjectives,0.22
2863,家具,apartment,nouns,0.2
2864,下面,side,nouns,0.28
2865,留,wait,verbs,1.71
2866,汤,dinner,nouns,0.77
2867,冻结,shiver,verbs,0.68
2868,财富,poverty,nouns,0.12
2869,证明,argue,verbs,1.79
2870,有时,uniformly,adverbs,0.0
2871,感觉,intuition,nouns,4.39
2872,片,airport,nouns,0.0
2873,火车,tram,nouns,2.29
2874,茅屋,cabin,nouns,3.05
2875,大学,class,nouns,0.4
2876,种族,weekend,nouns,0.0
2877,柠檬,apple,nouns,0.24
2878,分子,matrix,nouns,0.45
2879,国民,big,adjectives,0.12
2880,早餐,bacon,nouns,0.54
2881,出租车,bus,nouns,1.58
2882,事件,fundraiser,nouns,1.72
2883,变成,seem,verbs,0.25
2884,枯燥,funny,adjectives,0.0
2885,铁,vitamin,nouns,1.02
2886,女孩,maid,nouns,1.27
2887,屋,carpet,nouns,0.08
2888,烧伤,smother,verbs,0.14
2889,驾驶,stop,verbs,0.04
2890,肩,head,nouns,0.55
2891,费用,salary,nouns,1.03
2892,身体,chest,nouns,1.43
2893,纯,modest,adjectives,0.73
2894,手腕,arm,nouns,0.66
2895,稍后,never,adverbs,0.36
2896,降落,retreat,verbs,0.82
2897,撤离,determine,verbs,0.0
2898,军队,squad,nouns,1.28
2899,词性变化,infection,nouns,0.0
2900,不同,terminally,adverbs,0.04
2901,脖子,bone,nouns,0.25
2902,这里,now,adverbs,1.81
2903,老师,friend,nouns,0.56
2904,灯,genie,nouns,0.39
2905,骨头,arm,nouns,0.34
2906,许多,abundance,nouns,4.59
2907,减少,lower,verbs,3.99
2908,纽扣,clothes,nouns,0.54
2909,神话,satire,nouns,0.26
2910,帮手,maid,nouns,2.46
2911,针织套衫,jacket,nouns,2.81
2912,流星,gravity,nouns,0.12
2913,天花板,roof,nouns,3.44
2914,国王,prince,nouns,1.96
2915,开始,start,verbs,4.72
2916,瓶子,can,nouns,1.93
2917,幼儿床,bed,nouns,3.04
2918,矬小,smallish,adjectives,3.21
2919,除,multiply,verbs,0.43
2920,亲王国,dukedom,nouns,1.65
2921,牛油,potato,nouns,0.25
2922,不定期地,usually,adverbs,0.34
2923,准许,approve,verbs,4.29
2924,天花板,cathedral,nouns,0.04
2925,观看,observe,verbs,4.79
2926,女王,bee,nouns,0.34
2927,猫,rabbit,nouns,0.58
2928,故障,system,nouns,0.12
2929,水煮,cooked,adjectives,2.54
2930,公主,bride,nouns,0.13
2931,和蔼,cruel,adjectives,0.0
2932,偏见,incline,verbs,2.14
2933,发动机,machine,nouns,2.27
2934,宽广,narrow,adjectives,0.13
2935,仁慈地,nicely,adverbs,4.74
2936,安全,tedious,adjectives,0.04
2937,伤害,tease,verbs,0.63
2938,权利,justice,nouns,1.12
2939,田,oat,nouns,0.23
2940,死亡,tragedy,nouns,1.91
2941,争论,rationalize,verbs,2.25
2942,不道德,bad,adjectives,3.22
2943,瞇,glare,verbs,0.72
2944,黄昏,evening,nouns,4.5
2945,断绝亲子关系,neglect,verbs,0.5
2946,电动机,boat,nouns,0.45
2947,手指,toe,nouns,0.59
2948,花,bush,nouns,0.98
2949,韵律,poem,nouns,0.29
2950,马,mare,nouns,3.2
2951,失败,bankruptcy,nouns,1.03
2952,虚无主义,film,nouns,0.28
2953,完成,become,verbs,0.4
2954,怪兽,demon,nouns,3.33
2955,猎鹰,eagle,nouns,2.78
2956,尺寸,trick,nouns,0.0
2957,理解,know,verbs,3.48
2958,白天,night,nouns,0.15
2959,四轮货运马车,carriage,nouns,3.28
2960,砖,wall,nouns,0.63
2961,经济,ecosystem,nouns,0.19
2962,轻轻的,loudly,adverbs,0.04
2963,指控,blame,verbs,3.75
2964,显然,discreetly,adverbs,0.22
2965,系统,fault,nouns,0.12
2966,副驾驶,cop,nouns,0.08
2967,雪崩,snow,nouns,1.64
2968,撞,smash,verbs,1.87
2969,不合理,unfairly,adverbs,3.46
2970,鸟,hen,nouns,1.59
2971,维他命,iron,nouns,1.02
2972,冷静,neutral,adjectives,0.9
2973,钱,cash,nouns,4.5
2974,电脑,machine,nouns,2.33
2975,任务,highway,nouns,0.0
2976,象征,sign,nouns,4.88
2977,烟斗,cigar,nouns,1.6
2978,合法,illegal,adjectives,0.13
2979,脖子,arm,nouns,0.13
2980,擦,deteriorate,verbs,0.0
2981,完结,finished,adjectives,5.38
2982,洞,wife,nouns,0.32
2983,说服,pursue,verbs,0.13
2984,内衣褲,body,nouns,0.15
2985,朋友,guy,nouns,1.05
2986,实际地,ideally,adverbs,0.36
2987,糟糕,great,adjectives,0.08
2988,臀部,lip,nouns,0.04
2989,放,give,verbs,0.29
2990,天花板,floor,nouns,0.16
2991,毁灭,make,verbs,0.13
2992,骨头,knee,nouns,0.87
2993,教学大纲,exam,nouns,0.74
2994,主意,opinion,nouns,3.25
2995,盐,water,nouns,0.26
2996,冷静地,firmly,adverbs,0.49
2997,洗手间,bedroom,nouns,0.64
2998,肚子,body,nouns,1.25
2999,便宜,affordable,adjectives,3.34
3000,总统,pollution,nouns,0.12
3001,撞击,crash,verbs,2.56
3002,苍蝇,ant,nouns,0.63
3003,分子,air,nouns,0.49
3004,指甲,head,nouns,0.0
3005,想,contemplate,verbs,4.17
3006,快乐,happy,adjectives,5.28
3007,十年,century,nouns,0.43
3008,税,income,nouns,0.47
3009,球,racket,nouns,0.52
3010,全球化,visa,nouns,0.55
3011,秘书,woman,nouns,0.4
3012,肉,bread,nouns,0.13
3013,手臂,knee,nouns,0.22
3014,培根,meat,nouns,2.44
3015,谢绝,accept,verbs,0.22
3016,无畏舰,battleship,nouns,2.5
3017,座舱,copilot,nouns,0.43
3018,来源,box,nouns,0.0
3019,宽,fresh,adjectives,0.0
3020,离开,meet,verbs,0.18
3021,弯曲,crooked,adjectives,2.73
3022,酒,band,nouns,0.0
3023,枪,fur,nouns,0.0
3024,焦急地,nervously,adverbs,4.56
3025,云,fog,nouns,2.7
3026,震,earthquake,nouns,3.5
3027,走廊,door,nouns,0.22
3028,平淡,bored,adjectives,2.13
3029,负责任,reliably,adverbs,3.23
3030,大概,perhaps,adverbs,3.48
3031,电影,theatre,nouns,1.8
3032,甲板,mouse,nouns,0.0
3033,教,educate,verbs,4.86
3034,窗口,ankle,nouns,0.0
3035,表达,say,verbs,3.25
3036,争论,agree,verbs,0.22
3037,残忍,unfair,adjectives,1.11
3038,主板,motherboard,nouns,2.98
3039,推,blame,verbs,0.18
3040,鸢尾花,acetylcholine,nouns,0.0
3041,头,shoulder,nouns,0.55
3042,毁灭,construct,verbs,0.22
3043,钝,sharp,adjectives,0.13
3044,容器,wagon,nouns,0.24
3045,智力,wisdom,nouns,3.88
3046,付款,note,nouns,0.85
3047,听,understand,verbs,1.22
3048,比较,analyze,verbs,2.63
3049,平凡,ordinary,adjectives,5.0
3050,红色,blue,adjectives,0.4
3051,马,ox,nouns,0.57
3052,锥形蛋筒,cup,nouns,0.75
3053,优胜者,presence,nouns,0.0
3054,自豪的,humbly,adverbs,0.49
3055,星,brightness,nouns,0.45
3056,起源,discover,verbs,0.56
3057,职业,college,nouns,0.23
3058,新娘,groom,nouns,0.96
3059,奴隶,servant,nouns,3.22
3060,攻击,crime,nouns,1.3
3061,完成,solve,verbs,1.86
3062,家伙,stud,nouns,1.1
3063,零,infinity,nouns,0.31
3064,羞耻,lucky,adjectives,0.04
3065,皇帝,governor,nouns,1.02
3066,坚固地,calmly,adverbs,0.49
3067,果汁,milk,nouns,0.63
3068,冷,ordinary,adjectives,0.0
3069,早餐,supper,nouns,0.55
3070,碗,alley,nouns,0.04
3071,成熟地,righteously,adverbs,0.93
3072,嘴巴,nose,nouns,0.39
3073,旧,new,adjectives,0.18
3074,理想地,mechanically,adverbs,0.09
3075,提醒,forget,verbs,0.22
3076,车,boat,nouns,0.45
3077,疯狂,happy,adjectives,0.46
3078,尾巴,chapter,nouns,0.0
3079,床,crib,nouns,3.04
3080,面包,flour,nouns,1.21
3081,发生,do,verbs,0.34
3082,大多,deeply,adverbs,0.33
3083,空气,molecule,nouns,0.49
3084,傻,childish,adjectives,2.5
3085,疯狂,insane,adjectives,5.36
3086,申请人,application,nouns,0.98
3087,杜松子酒,whiskey,nouns,1.48
3088,困难,hard,adjectives,5.15
3089,律师,prosecutor,nouns,2.27
3090,破产,failure,nouns,1.03
3091,云,storm,nouns,0.68
3092,兄弟,soul,nouns,0.0
3093,窗台,mountain,nouns,0.27
3094,草莓,cherry,nouns,1.11
3095,教室,hallway,nouns,0.18
3096,女人,jeans,nouns,0.04
3097,女儿,baby,nouns,2.29
3098,撤退,descend,verbs,0.82
3099,肌肉,arm,nouns,0.93
3100,承认,accept,verbs,2.95
3101,叫喊,scream,verbs,3.62
3102,淫贱,dirty,adjectives,0.36
3103,腿,arm,nouns,0.54
3104,醋,salad,nouns,0.13
3105,奇怪,normal,adjectives,0.13
3106,尖顶,chapel,nouns,1.14
3107,寻求,goal,nouns,1.43
3108,水,salt,nouns,0.26
3109,神经,gut,nouns,0.63
3110,选择,jail,nouns,0.04
3111,不诚实,truthful,adjectives,0.08
3112,喝,swallow,verbs,1.43
3113,背景,wallpaper,nouns,3.04
3114,电影,opera,nouns,0.88
