ID,CYM,POL,PoS,score
2034,cynhwysydd,butelka,nouns,2.45
2035,car,most,nouns,0.15
2036,llaw,stopa,nouns,0.55
2037,yn afreolaidd,zwykle,adverbs,0.1
2038,taro,pociągać,verbs,0.0
2039,codiad haul,zachód słońca,nouns,0.7
2040,tasg,szosa,nouns,0.05
2041,yn sicr,czasem,adverbs,0.0
2042,llygad,brew,nouns,0.8
2043,llyfr,temat,nouns,0.65
2044,offeiriad,prorok,nouns,0.8
2045,radar,dżojstik,nouns,0.05
2046,car,rower,nouns,0.75
2047,parêd,tłum ,nouns,1.9
2048,gwallgof,nieszczęśliwy,adjectives,0.6
2049,yn arw,grubo,adverbs,0.35
2050,barnu,zeznawać,verbs,0.6
2051,ynys,marynarka,nouns,0.15
2052,diymhongar,pokorny,adjectives,3.15
2053,mosäig,bazylika,nouns,0.55
2054,dyfalu,irytować,verbs,0.15
2055,graff,diagram,nouns,4.5
2056,tudalen,akapit,nouns,0.6
2057,gwastraffu,martwić,verbs,0.0
2058,môr,delta,nouns,1.0
2059,cenedlaethol,znany,adjectives,0.25
2060,fel mater o drefn,normalnie,adverbs,3.85
2061,yn gadarn,ciasno,adverbs,0.65
2062,ystafell ddosbarth,hol,nouns,0.35
2063,gadael,przyłączyć się,verbs,0.05
2064,troed,ręka,nouns,0.55
2065,caffael,ukraść,verbs,0.9
2066,bwlch,cygaro,nouns,0.0
2067,modfedd,metr,nouns,1.05
2068,amgylchedd,miecz,nouns,0.0
2069,hen,nowy,adjectives,0.0
2070,anniben,brzydki,adjectives,1.2
2071,cythruddo,skłócać,verbs,2.55
2072,de,północ,nouns,0.5
2073,cadw,zatrzymywać,verbs,4.05
2074,archwilio,ignorować,verbs,0.05
2075,chwaer,brat,nouns,1.25
2076,capel,kabel,nouns,0.05
2077,cludo,dostarczać,verbs,2.9
2078,wisgi,szampan,nouns,1.15
2079,cot,ubrania,nouns,2.1
2080,pennu,przewidywać,verbs,1.55
2081,olew,norka,nouns,0.0
2082,arferol,inny,adjectives,0.45
2083,machlud haul,wschód słońca,nouns,0.7
2084,weithiau,jednorodnie,adverbs,0.0
2085,gwn,notatnik,nouns,0.0
2086,yn wir,perfekcyjnie,adverbs,0.9
2087,bedd,ponowny pochówek,nouns,1.35
2088,geneth,dziecko,nouns,1.2
2089,maneg,piłka,nouns,0.15
2090,pibell,samochód,nouns,0.25
2091,strwythur,topologia,nouns,2.05
2092,hurt,pojętny,adjectives,0.0
2093,ffactorio,rozszczepienie,nouns,1.2
2094,cadair,taboret,nouns,3.0
2095,blanced ,łóżko,nouns,0.8
2096,cyfoeth,sława,nouns,0.65
2097,ffilm,teatr,nouns,0.95
2098,duw,ksiądz,nouns,0.7
2099,da,pikantny,adjectives,0.25
2100,cenllysg,deszcz,nouns,1.45
2101,hurt,głupi,adjectives,5.4
2102,cyngres,parlament,nouns,2.4
2103,dŵr,lód,nouns,1.45
2104,gwrando,słyszeć,verbs,2.65
2105,cwrw,napój,nouns,2.65
2106,llen,pręt,nouns,0.0
2107,tasg,słoma,nouns,0.0
2108,ymhel â rhywbeth,zawierać,verbs,0.65
2109,pêl,rakieta,nouns,0.55
2110,weithiau,kiedykolwiek,adverbs,0.8
2111,hapus,rozzłoszczony,adjectives,0.1
2112,ecosystem,ekonomia,nouns,0.1
2113,allanfa,prawo wyborcze,nouns,0.1
2114,dant,usta,nouns,0.9
2115,cyfreithiwr,adwokat,nouns,4.35
2116,ufuddhau,zachowywać się,verbs,2.25
2117,cab,taxi,nouns,5.8
2118,cwyno,przynieść,verbs,0.0
2119,gwerth,stopa,nouns,1.35
2120,codi,holować,verbs,1.35
2121,gadael,wędrować,verbs,0.8
2122,plasty,rzeźbiarz,nouns,0.15
2123,pryderus,wystraszony,adjectives,3.85
2124,amrwd,brzydki,adjectives,0.5
2125,marw,rozpadać się,verbs,0.45
2126,gwybodaeth,gazeta,nouns,1.35
2127,tynnu,stracić,verbs,0.8
2128,cotwm,sweter,nouns,0.6
2129,dibynnu,nawalić,verbs,0.15
2130,bardd,dziennikarz,nouns,0.45
2131,sarsiant,pistolet,nouns,0.3
2132,poster,papier,nouns,1.35
2133,yn aml,rzadko,adverbs,0.05
2134,drwg,świetny,adjectives,0.0
2135,diflas,zmęczony,adjectives,0.5
2136,gwacáu,ustalać,verbs,0.0
2137,pennod,ogon,nouns,0.0
2138,tric,pistolet,nouns,0.05
2139,cath,mysz,nouns,0.45
2140,onest,winny,adjectives,0.05
2141,colli,gotować,verbs,0.0
2142,bywgraffiad,fikcja,nouns,0.15
2143,newyddiadurwr,poeta,nouns,0.45
2144,eliffant,dinozaur,nouns,0.35
2145,mewnwelediad,fakt,nouns,1.2
2146,ffenestr,dach,nouns,0.25
2147,rhythm,wiersz,nouns,0.9
2148,car,ulica,nouns,0.5
2149,metel,blacha,nouns,3.1
2150,cyfaddef,zaprzeczać,verbs,0.0
2151,gwas,niewolnik,nouns,2.8
2152,to,podłoga,nouns,0.5
2153,ennill,powieść się,verbs,3.35
2154,swyddog,deputowany,nouns,1.2
2155,difrifol,śmieszny,adjectives,0.0
2156,eang,wąski,adjectives,0.05
2157,sioe,matematyk,nouns,0.0
2158,anghrybwylladwy,pozamałżeński,adjectives,0.1
2159,nodadwy,oczywisty,adjectives,3.65
2160,mynd i mewn,wychodzić,verbs,0.35
2161,traeth,wybrzeże,nouns,2.65
2162,cerddorfa,zespół,nouns,3.4
2163,cerdded,stać  ,verbs,0.45
2164,hir,wąski,adjectives,0.3
2165,cyfathrebu,konwersacja,nouns,3.5
2166,mawr,łatwy,adjectives,0.0
2167,gwerthu,iść,verbs,0.0
2168,anatomeg,biologia,nouns,2.55
2169,cyd-beilot,glina,nouns,0.05
2170,dadl,porozumienie,nouns,0.25
2171,ffin,odgraniczenie,nouns,3.75
2172,gwddf,nos,nouns,0.55
2173,jîns,kobieta,nouns,0.05
2174,torf,grupa,nouns,2.6
2175,tarth,chmura,nouns,2.1
2176,braich,nadgarstek,nouns,1.15
2177,rhiant,dorosły,nouns,2.05
2178,yn gyfeillgar,nieprawdopodobny,adverbs,0.05
2179,yn realistig,niedawno,adverbs,0.0
2180,undeb,kombinacja,nouns,1.65
2181,pydru,niszczyć,verbs,1.45
2182,cymysgu,trząść,verbs,1.95
2183,rinsio,myć,verbs,3.25
2184,bwriad,wola,nouns,2.75
2185,doethineb,inteligencja,nouns,3.95
2186,alaw,rytm,nouns,1.9
2187,pot,urządzenie,nouns,0.05
2188,yn derfynol,głównie,adverbs,0.4
2189,ystafell wely,łóżko,nouns,1.75
2190,yn ddigynnwrf,stanowczo,adverbs,0.95
2191,edau,przędza,nouns,4.0
2192,hebog,orzeł,nouns,2.1
2193,môr,tsunami,nouns,1.15
2194,lori,pakunek,nouns,0.85
2195,styfnig,głupi,adjectives,0.4
2196,chwerthin,płakać,verbs,0.15
2197,dod yn,robić,verbs,0.15
2198,oer,zwyczajny,adjectives,0.0
2199,gwregys,pętla,nouns,0.3
2200,llyfr,wypadek,nouns,0.0
2201,tramorwr,tłumacz,nouns,0.35
2202,wythnosol,miesięczny,adjectives,0.7
2203,unigryw,przeciwny,adjectives,0.15
2204,cwympo,boleć,verbs,0.95
2205,yn ochelgar,ostrożnie,adverbs,3.7
2206,swyddfa,robotnik,nouns,0.5
2207,myfyriwr,profesor,nouns,0.7
2208,nofio,spotykać,verbs,0.0
2209,yn gywir,aktywnie,adverbs,0.7
2210,ffêr,łokieć,nouns,0.8
2211,cyhyrau,język ,nouns,1.55
2212,lefel,wynik,nouns,2.5
2213,llesteirio,zniechęcać,verbs,1.7
2214,papur,drewno,nouns,0.65
2215,pastai,czekolada,nouns,0.35
2216,dechrau,zapoczątkować,verbs,3.55
2217,cicio,ranić,verbs,1.35
2218,cnoi,czytać,verbs,0.0
2219,darllenydd,autor,nouns,0.2
2220,benthyg,dać,verbs,1.35
2221,dosbarth,koledż,nouns,0.9
2222,mynd,podróżować,verbs,2.5
2223,camera,robotnik,nouns,0.15
2224,pêl,rękawica,nouns,0.15
2225,llawysgrif,książka,nouns,2.05
2226,llyfr,artykuł,nouns,0.9
2227,byth,chojnie,adverbs,0.0
2228,mawr,szeroki,adjectives,2.85
2229,drws,korytarz,nouns,0.25
2230,ewin,głowa,nouns,0.2
2231,anonest,prawdomówny,adjectives,0.05
2232,car,wąż (ogrodowy),nouns,0.25
2233,adeiladwaith,destrukcja,nouns,0.05
2234,bathodyn,szklanka,nouns,0.05
2235,bwriadu,spróbować,verbs,1.6
2236,dewis,więzienie,nouns,0.05
2237,ffêr,okno,nouns,0.0
2238,gweithiwr,mechanik,nouns,2.15
2239,haint,fleksja,nouns,0.05
2240,storm,chmura,nouns,0.85
2241,braich,noga,nouns,0.7
2242,diflas,zwykły,adjectives,2.45
2243,cadw,chronić,verbs,1.45
2244,yn feddal,twardo,adverbs,0.2
2245,symbol,kod,nouns,2.05
2246,cynnig,wkład,nouns,1.7
2247,pobl,pistolet,nouns,0.05
2248,yn wallgof,głośno,adverbs,0.3
2249,newyddion,wstępniak,nouns,0.9
2250,penderfynu,osądzać,verbs,2.15
2251,hel,złapać,verbs,1.1
2252,lleuad,planeta,nouns,1.8
2253,rheoli,mysz,nouns,0.05
2254,camera,prezydent,nouns,0.0
2255,amlwg,widoczny,adjectives,3.0
2256,yn emosiynol,smutno,adverbs,1.5
2257,gitâr,bęben,nouns,0.95
2258,dur,stop ,nouns,2.15
2259,band,wytrzymałość,nouns,0.0
2260,tatws,masło,nouns,0.3
2261,tribiwnlys,sprawiedliwość,nouns,1.4
2262,cymysgu,pić,verbs,0.2
2263,gwraig,mąż,nouns,1.35
2264,galar,agonia,nouns,1.65
2265,terfyn,granica,nouns,3.75
2266,berwi,smażyć,verbs,1.8
2267,paragraff,strona,nouns,0.6
2268,drws,okno,nouns,0.9
2269,yn rheolaidd,czasami,adverbs,0.6
2270,alcohol,whisky,nouns,2.7
2271,wal,dekoracja,nouns,0.35
2272,tacsi,taksówka,nouns,5.8
2273,o ddifrif,znacząco,adverbs,2.55
2274,dychan,mit,nouns,1.05
2275,treth,dochód,nouns,0.5
2276,cwningen,kot,nouns,1.05
2277,ennill,zrealizować,verbs,2.15
2278,dyn,dziewczyna,nouns,0.4
2279,gwallgof,szczęśliwy,adjectives,0.0
2280,llyfr,esej,nouns,0.75
2281,proffwyd,ksiądz,nouns,0.8
2282,chwilio,znaleźć,verbs,0.95
2283,perfedd,nerw,nouns,0.4
2284,cliw,słowo,nouns,0.65
2285,synnwyr,intuicja,nouns,3.95
2286,coctel,alkohol,nouns,2.1
2287,cyrraedd,uczęszczać,verbs,1.5
2288,brawd,syn,nouns,0.95
2289,goruchafu,wygrać,verbs,2.65
2290,cosbi,przestrzegać,verbs,0.6
2291,rhybuddio,zatrzymywać,verbs,0.85
2292,doler,milioner,nouns,0.6
2293,creu,niszczyć,verbs,0.05
2294,llidiog,niepewny,adjectives,0.2
2295,adref,daleko,adverbs,0.2
2296,rhif,cyfra,nouns,5.0
2297,cyllell,pistolet,nouns,0.7
2298,sinamon,cukierek,nouns,0.45
2299,llun,zamieszki,nouns,0.0
2300,stryd,zaułek,nouns,3.0
2301,gorffennol,poprzednik,nouns,1.05
2302,hyblyg,luźny,adjectives,1.15
2303,mecanyddol,elektryczny,adjectives,0.4
2304,asgwrn,ramię,nouns,1.25
2305,hawdd,sztywny,adjectives,0.0
2306,gwerthu,przypominać,verbs,0.0
2307,atom,węgiel,nouns,1.05
2308,niweidio,atakować,verbs,2.7
2309,darganfod,uciec,verbs,0.05
2310,yn gadarnhaol,prawdopodobnie,adverbs,1.5
2311,ffantasi,rzeczywistość,nouns,0.3
2312,cau,wymiotować,verbs,0.0
2313,rhesymeg,inteligencja,nouns,2.2
2314,tad,córka,nouns,0.6
2315,eisiau,pragnąć,verbs,4.95
2316,cadw,dać,verbs,0.15
2317,esgus,ukazywać,verbs,0.45
2318,smart,tępy,adjectives,0.0
2319,artiffisial,fałszywy,adjectives,4.9
2320,perllan,struś,nouns,0.0
2321,tric,rozmiar,nouns,0.0
2322,rhagfarn,szowinista,nouns,2.05
2323,beddrod,grób,nouns,1.35
2324,geiriadur,słowo,nouns,1.25
2325,sero,nieskończoność,nouns,0.25
2326,herwgipio,kraść,verbs,2.35
2327,ysgubor,dom,nouns,0.5
2328,hawdd,skomplikowany,adjectives,0.0
2329,rhith,rzeczywistość,nouns,0.2
2330,llwybr,tunel,nouns,0.65
2331,lemwn,jabłko,nouns,0.8
2332,ffilm,ekranizacja,nouns,4.25
2333,caws,chleb,nouns,0.35
2334,darllen,gryźć,verbs,0.0
2335,perfformio,pozdrawiać,verbs,0.05
2336,awyren,helikopter,nouns,2.35
2337,magma,wulkan,nouns,1.95
2338,clwstwr,tłum,nouns,2.6
2339,cyflawn,skończony,adjectives,5.1
2340,niwl,deszcz,nouns,1.4
2341,hyder,postawa,nouns,1.8
2342,modern,starożytny,adjectives,0.0
2343,potel,puszka,nouns,0.45
2344,bwrw,karać,verbs,1.05
2345,cymryd,nieść,verbs,0.35
2346,swm,unia,nouns,0.35
2347,modryb,wujek,nouns,1.45
2348,clogwyn,ogon,nouns,0.0
2349,pêl,siatkówka,nouns,1.95
2350,dygnwch,zespół,nouns,0.0
2351,prynu,płacić,verbs,2.5
2352,trafod syniadau,teleskop,nouns,0.0
2353,arfordir,plaża,nouns,2.65
2354,yn gynnil,głośno,adverbs,0.0
2355,gair,gazeta,nouns,0.5
2356,cymhwysedd,umiejętność,nouns,4.2
2357,glân,niechlujny,adjectives,0.0
2358,cyhuddo,winić,verbs,4.8
2359,enfawr,malutki,adjectives,0.05
2360,ci,kot,nouns,0.6
2361,alltud,obcy,nouns,4.15
2362,llygad,łza,nouns,0.75
2363,toddi,rozpuszczać,verbs,3.2
2364,tywydd,chmura,nouns,0.9
2365,clecian,chrzęścić,verbs,1.15
2366,gwrando,rozumieć,verbs,1.1
2367,coffi,ziarnko,nouns,0.95
2368,anghofio,ignorować,verbs,1.2
2369,pwysig,kluczowy,adjectives,4.75
2370,adeiladu,dodawać,verbs,1.0
2371,cig eidion,mięso,nouns,3.55
2372,crocodeil,jaszczurka,nouns,1.15
2373,opera,kino,nouns,1.0
2374,trwyn,gardło,nouns,0.55
2375,ychwanegu,budować,verbs,1.0
2376,diddanu,zadowalać,verbs,2.15
2377,rhoi,wiedzieć,verbs,0.1
2378,geiriadur,definicja,nouns,1.65
2379,machlud haul,stół,nouns,0.0
2380,cwmwl,burza,nouns,0.85
2381,dod â,narzekać,verbs,0.0
2382,aderyn,jastrząb,nouns,2.85
2383,dal gafael,zachować,verbs,4.05
2384,coleddu,zachować,verbs,0.65
2385,sudd,jabłko,nouns,0.75
2386,cotwm,poliester,nouns,1.05
2387,rhyfedd,zwykły,adjectives,0.0
2388,cymysgu,łączyć,verbs,4.0
2389,dosbarthu,nieść,verbs,2.9
2390,tröedigaeth,wysokość,nouns,0.2
2391,torf,parada,nouns,1.9
2392,pothell,ilustracja,nouns,0.0
2393,pobl,balon,nouns,0.05
2394,cinio,kurczak,nouns,0.6
2395,bawd,ręka,nouns,1.25
2396,lladd,powiesić,verbs,2.1
2397,deallusrwydd,mądrość,nouns,3.95
2398,cario ,przynieść,verbs,2.1
2399,cyflogwr,pracownik,nouns,0.85
2400,iard,cal,nouns,1.0
2401,caban,pole,nouns,0.7
2402,yn gadarn,miękko,adverbs,0.2
2403,sudd,łyżka,nouns,0.05
2404,papur lapio,port,nouns,0.05
2405,yn anaml,często,adverbs,0.05
2406,gwych,zły,adjectives,0.0
2407,deallusrwydd,umiejętność,nouns,1.95
2408,yn greadigol,początkowo,adverbs,0.9
2409,nyddu,wiązać,verbs,1.35
2410,lluwchwynt,deszcz,nouns,1.0
2411,newid,przerobić,verbs,3.0
2412,heddwch,żołnierz,nouns,0.25
2413,anystwyth,łatwy,adjectives,0.0
2414,stondin,pudełko,nouns,0.2
2415,polyhedron,aktor,nouns,0.0
2416,sgert,zegarek,nouns,0.05
2417,delwedd,pomysł,nouns,0.45
2418,rhad,brudny,adjectives,0.05
2419,ebol,koń,nouns,3.6
2420,tebyg,jednakowy,adjectives,3.9
2421,polyn,flaga,nouns,0.5
2422,hael,przyjazny,adjectives,1.3
2423,machlud haul,sznurek,nouns,0.0
2424,cawl,kolacja,nouns,1.45
2425,colli,zachować,verbs,0.2
2426,disgleirio,błyszczeć,verbs,4.7
2427,glaw,grad,nouns,1.45
2428,mynnu,ganić,verbs,0.85
2429,ffens,poręcz,nouns,0.35
2430,yn ddiweddar,obecnie,adverbs,0.75
2431,rhodio,wędrować,verbs,4.0
2432,arnofio,śpiewać,verbs,0.0
2433,rhyfedd,normalny,adjectives,0.0
2434,amherchnogi,dać,verbs,0.55
2435,siampên,whisky,nouns,1.15
2436,penelin,kostka,nouns,0.8
2437,anghytuno,zgadzać się,verbs,0.05
2438,actor,telewizja,nouns,0.9
2439,garddwrn,ramię,nouns,1.15
2440,band,orkiestra,nouns,3.4
2441,dysgu,ewaluować,verbs,1.15
2442,byth,negatywny,adjectives,0.2
2443,cig,kanapka,nouns,0.15
2444,disgyrchiant,meteor,nouns,0.45
2445,danfon,przynieść,verbs,0.6
2446,llenyddiaeth,słowo,nouns,1.65
2447,dillad isaf,ciało,nouns,0.25
2448,yn hawdd,pobieżnie,adverbs,0.2
2449,pen-blwydd,data,nouns,1.55
2450,mwslim,biskup,nouns,0.2
2451,yn hyderus,potajemnie,adverbs,0.15
2452,gwawr,dzień,nouns,1.55
2453,cuddwisgo,zakryć,verbs,1.25
2454,batri,teatr,nouns,0.0
2455,braich,szyja,nouns,0.35
2456,cwrtais,właściwy,adjectives,1.4
2457,oedi,czekać,verbs,5.0
2458,ymuno,poślubić,verbs,2.35
2459,pen-glin,kość,nouns,1.55
2460,nerf,ciało,nouns,0.35
2461,mynd o'r golwg,znikać,verbs,4.9
2462,cyfnos,wieczór,nouns,4.2
2463,beirniadaeth,argument,nouns,1.3
2464,fformiwla,równanie,nouns,3.85
2465,yn annheg,sprawiedliwie,adverbs,0.05
2466,gwyn,wąski,adjectives,0.0
2467,lema,sylaba,nouns,0.15
2468,trosedd,atak,nouns,2.15
2469,anghenus,niepewny,adjectives,0.6
2470,cytundeb,dziura,nouns,0.0
2471,duw,diabeł,nouns,0.45
2472,adeilad,pokój,nouns,1.0
2473,plentyn,dziewczyna,nouns,1.2
2474,ffôn,komórka,nouns,4.9
2475,yn hysbys,zdrowy,adjectives,0.05
2476,egluro,definiować,verbs,3.65
2477,agwedd,pewność siebie,nouns,1.8
2478,hyderus,pewny,adjectives,4.55
2479,arloeswr,łucznik,nouns,0.8
2480,anifail,bestia,nouns,2.8
2481,gwestai,przyjaciel,nouns,0.9
2482,afon,dolina,nouns,0.75
2483,pêl-fas,koszykówka,nouns,1.9
2484,maint,trik,nouns,0.0
2485,gwrtaith,wzrost,nouns,0.7
2486,danfon,iść,verbs,0.55
2487,cnocio,rozbić,verbs,1.15
2488,yn feirniadol,zasadniczo,adverbs,0.5
2489,lleihau,przemoczyć,verbs,0.0
2490,cryfder,moc,nouns,4.45
2491,gaeaf,lato,nouns,0.75
2492,cyfarfod,pozdrawiać,verbs,0.95
2493,cynorthwyo,pytać,verbs,0.15
2494,athro,instruktor,nouns,4.55
2495,criced,kibic,nouns,0.25
2496,golau,klawiatura,nouns,0.0
2497,pili-pala,róża,nouns,0.3
2498,beirniadu,nienawidzić,verbs,1.25
2499,anhygoel,zwykły,adjectives,0.05
2500,cig,wołowina,nouns,3.55
2501,curo,miksować,verbs,0.8
2502,chwedl,morał,nouns,0.6
2503,deffro,chrapać,verbs,0.1
2504,dysgu,edukować,verbs,4.35
2505,drwg,niemoralny,adjectives,3.2
2506,tafarn,motel,nouns,1.35
2507,cerddoriaeth,flet,nouns,0.95
2508,ffa,kawa ,nouns,0.95
2509,gweiddi,kłócić się,verbs,2.45
2510,coleg,klasa,nouns,0.9
2511,ceffyl,pies,nouns,0.75
2512,rheolaeth,praca,nouns,0.6
2513,achub,ratować,verbs,5.15
2514,emyn,słoma,nouns,0.0
2515,mynd i mewn,iść,verbs,2.55
2516,yn wallgof,smutno,adverbs,0.1
2517,bàth,trik,nouns,0.0
2518,caets,pręt,nouns,0.35
2519,cynffon,rozdział,nouns,0.0
2520,perygl,dolegliwość,nouns,0.25
2521,madfall,wąż ,nouns,1.0
2522,boch,język,nouns,0.65
2523,cystrawen,hasło,nouns,0.35
2524,stori,piosenka,nouns,0.85
2525,gadael,pojawić się,verbs,0.3
2526,mintys,muzeum,nouns,0.05
2527,duw,ojciec,nouns,2.3
2528,cynghori,polecić,verbs,3.65
2529,lifft,samochód,nouns,0.1
2530,derbyn,wybaczać,verbs,1.7
2531,rhad,przystępny,adjectives,4.5
2532,llyncu,pić,verbs,2.78
2533,gweithredu,algebra,nouns,0.4
2534,marw,pochować,verbs,1.2
2535,iard,metr,nouns,1.75
2536,damwain,awaria,nouns,2.15
2537,balŵn,wanna,nouns,0.0
2538,dyfnder,wielkość,nouns,1.3
2539,ar frys,szybko,adverbs,4.6
2540,beio,oskarżać,verbs,4.8
2541,sgrîn,fonologia,nouns,0.0
2542,archwilio,zbadać,verbs,3.45
2543,yn wahanol,dziwacznie,adverbs,1.85
2544,yn annaturiol,naturalnie,adverbs,0.05
2545,dydd  ,poranek,nouns,1.65
2546,hyll,niechlujny,adjectives,1.2
2547,llinyn,zachód słońca,nouns,0.0
2548,llynges,wyspa,nouns,0.15
2549,economi,ekosystem,nouns,0.1
2550,radical,gwałtowny,adjectives,1.3
2551,ystafell,łóżko,nouns,0.3
2552,crensian,trzasnąć,verbs,1.15
2553,erfyn,prosić,verbs,4.25
2554,ffrind,kumpel,nouns,5.25
2555,sanctaidd,cenny,adjectives,1.25
2556,llo,byk,nouns,1.9
2557,tymor,zima,nouns,3.0
2558,diflas,mierny,adjectives,0.7
2559,hwyliau,gniew,nouns,1.1
2560,athro,rabin,nouns,2.6
2561,clwb,znak,nouns,0.0
2562,haul,niebo,nouns,1.0
2563,merch,niemowlę,nouns,1.85
2564,brenin,książę,nouns,1.25
2565,alcohol,piwo,nouns,3.2
2566,newyddiadur,artykuł,nouns,2.05
2567,botwm,ubrania,nouns,0.4
2568,fformiwla,rejestr,nouns,0.85
2569,anialwch,wydma,nouns,0.4
2570,ansicr,potrzebujący,adjectives,0.6
2571,syniad,wizerunek,nouns,0.45
2572,ceiniog,płatność,nouns,1.2
2573,ffroenell,płyn,nouns,0.0
2574,metr,cal,nouns,1.05
2575,syfrdanu,celebrować,verbs,0.2
2576,ongl,krzywa,nouns,1.0
2577,rhosyn,motyl,nouns,0.3
2578,siwr,pewny siebie,adjectives,4.55
2579,yn ffyddlon,szczerze,adverbs,2.35
2580,blodyn,przekonanie,nouns,0.0
2581,amau,aresztować,verbs,0.65
2582,myfyriwr,nauczyciel,nouns,0.45
2583,bar,klatka,nouns,0.35
2584,aseiniad,notatka,nouns,0.6
2585,tymer,doktor,nouns,0.0
2586,gweithred,gra,nouns,0.8
2587,ceg,warga,nouns,3.2
2588,sgôr,poziom,nouns,2.5
2589,addurn,ściana,nouns,0.35
2590,annibynadwy,pokrętny,adjectives,1.6
2591,injan,maszyna,nouns,4.0
2592,methu,powieść się,verbs,0.05
2593,dweud,weryfikować,verbs,0.4
2594,piston,silnik,nouns,2.3
2595,doniol,smutny,adjectives,0.0
2596,cyw iâr,ryż,nouns,0.15
2597,doniol,poważny,adjectives,0.0
2598,bowlio,kręglarz,nouns,1.65
2599,llywodraeth,jaszczurka,nouns,0.0
2600,rhyddhau,złapać,verbs,0.55
2601,eglwys,katedra,nouns,3.7
2602,athronydd,wyścigi,nouns,0.0
2603,ymbarél,kaliber,nouns,0.0
2604,diymadferth,potrzebujący,adjectives,1.65
2605,melys,elektryczny,adjectives,0.0
2606,corff,nerw,nouns,0.35
2607,partner,chłopiec,nouns,0.6
2608,argymell,akceptować,verbs,0.4
2609,meddal,gwałtowny,adjectives,0.0
2610,yn enfawr,otwarcie,adverbs,0.45
2611,gwasgu,uwalniać,verbs,0.05
2612,offeiriad,mnich,nouns,2.25
2613,cyfansoddiad,senat,nouns,0.9
2614,yn wahanol,nieuleczalnie,adverbs,0.3
2615,llwy,sok,nouns,0.05
2616,ymwrthod,tłumić,verbs,0.9
2617,yn gyfan gwbl,marginalnie,adverbs,0.15
2618,benthyg,być dłużnym,verbs,2.2
2619,car,czołg,nouns,0.6
2620,prysur,leniwy,adjectives,0.0
2621,glo,węgiel drzewny,nouns,3.55
2622,gwybod,rozumieć,verbs,2.6
2623,maes llafur,egzamin,nouns,0.3
2624,cynddaredd,gniew,nouns,4.15
2625,bwlb,kwiat,nouns,1.1
2626,cwmwl,okno,nouns,0.0
2627,miliwnydd,dolar,nouns,0.6
2628,caled,łatwy,adjectives,0.0
2629,beic,samochód,nouns,0.75
2630,yn gyfforddus,łatwo,adverbs,1.7
2631,priodferch,pan młody,nouns,1.35
2632,yn gyfrinachgar,oczywiście,adverbs,0.0
2633,bore,dzień,nouns,1.65
2634,newydd,stary,adjectives,0.0
2635,troelli,wymieszać,verbs,3.3
2636,dirywio,wycierać,verbs,0.5
2637,corachaidd,przymały,adjectives,3.0
2638,caethwas,służący,nouns,2.8
2639,malu,zderzyć się,verbs,1.15
2640,ymosodiad,przestępstwo,nouns,2.15
2641,drws,dzwon,nouns,0.3
2642,yn anhygoel,wielce,adverbs,0.85
2643,mamfwrdd,płyta główna,nouns,3.0
2644,hyfryd,wspaniały,adjectives,2.9
2645,hynafol,nowy,adjectives,0.0
2646,crwm,agresywny,adjectives,0.0
2647,traeth,rafa,nouns,0.6
2648,cyfarch,występować,verbs,0.05
2649,staff,wokalista,nouns,0.05
2650,hawdd,trudny,adjectives,0.0
2651,menyw,sekretarka,nouns,1.05
2652,chwalu,rozwalić,verbs,4.7
2653,gwaith llaw,tradycja,nouns,0.05
2654,yn weithredol,szczęśliwie,adverbs,0.25
2655,ysglyfaeth,bóg,nouns,0.0
2656,gweithiwr,aparat,nouns,0.15
2657,penderfynu,konkludować,verbs,1.5
2658,theorem,teoria,nouns,4.05
2659,pren,kamień,nouns,0.15
2660,gwirio,uzasadniać,verbs,1.15
2661,pâr,dwójka,nouns,5.5
2662,pêl-fas,braterstwo,nouns,0.0
2663,traeth,brzeg morski,nouns,4.3
2664,menyw,futro,nouns,0.05
2665,bwlch,otwarcie,nouns,1.1
2666,llyfn,ostry,adjectives,0.3
2667,gwawdlyd,wzgardliwy,adjectives,3.8
2668,pêl,kostium,nouns,0.25
2669,gorchuddio,przebierać się,verbs,1.25
2670,yn fuan,natychmiast,adverbs,1.75
2671,gwddf,ramię,nouns,0.35
2672,balchder,śmiały,adjectives,1.3
2673,ar hyn o bryd,niedawno,adverbs,0.75
2674,mygu,spalić,verbs,0.95
2675,diflannu,kurczyć się,verbs,2.2
2676,symbol,znak,nouns,5.05
2677,cwpl,para,nouns,5.5
2678,bàth,balon,nouns,0.0
2679,nerthol,mocny,adjectives,4.55
2680,arian cyfred,współbieżność,nouns,0.0
2681,hurt,rzadki,adjectives,0.0
2682,gwych,rozkoszny,adjectives,2.9
2683,teledu,kino,nouns,1.0
2684,gwisg unffurf,robótka szydełkowa,nouns,0.0
2685,trwyn,usta,nouns,0.6
2686,anghywir,precyzyjny,adjectives,0.05
2687,ofnadwy,zły,adjectives,3.8
2688,sylweddoli,odkryć,verbs,3.9
2689,argyfwng,wypadek,nouns,2.15
2690,eglwys,chór,nouns,0.8
2691,prin,niezwykły,adjectives,4.55
2692,cloch,drzwi,nouns,0.3
2693,tafod,gardło,nouns,0.65
2694,dôl,pastwisko,nouns,3.35
2695,cadw,stracić,verbs,0.2
2696,gwaed,ciało,nouns,0.75
2697,unffurf,nieukształtowany,adjectives,0.05
