ID,FIN,POL,PoS,score
2007,viikonloppu,wyścig,nouns,0.0
2008,tehdä tutkimusmatka,ignorować,verbs,0.0
2009,pääasiassa,przeważnie,adverbs,5.0
2010,kuja,ulica,nouns,3.75
2011,veli,dusza,nouns,0.15
2012,hermostunut,pewien,adjectives,0.0
2013,ikkuna,drzwi,nouns,1.15
2014,polkupyörä,samochód,nouns,0.75
2015,arkki,płaszczyzna,nouns,0.25
2016,kilpailla,skończyć,verbs,0.25
2017,sikari,pudełko,nouns,0.15
2018,pehmeästi,głośno,adverbs,0.05
2019,basilikakirkko,mozaika,nouns,0.45
2020,lainata,dać,verbs,1.8
2021,haluta,wybierać,verbs,1.05
2022,antaa,kłaść,verbs,0.65
2023,vaunu,pojemnik,nouns,0.15
2024,vaimo,słoma,nouns,0.0
2025,ero,reszta,nouns,0.95
2026,kauhea,smutny,adjectives,0.55
2027,pääasiassa,nieuleczalnie,adverbs,0.15
2028,sivuuttaa,unikać,verbs,3.3
2029,vika,system,nouns,0.15
2030,velho,kabel,nouns,0.0
2031,suostutella,dążyć,verbs,1.3
2032,vuosikymmen,stulecie,nouns,1.05
2033,sonetti,piękno,nouns,0.2
2034,häntä,miska,nouns,0.0
2035,taistelu,podbój,nouns,2.3
2036,luoda,robić,verbs,3.95
2037,manageri,lider,nouns,3.75
2038,muistutus,różnica,nouns,0.95
2039,kettu,ogar,nouns,0.85
2040,töykeä,agresywny,adjectives,2.3
2041,nainen,żona,nouns,2.5
2042,kuningatar,pszczoła,nouns,0.75
2043,keraaminen esine,garncarstwo,nouns,3.2
2044,sanakirja,definicja,nouns,1.1
2045,myöhemmin,nigdy,adverbs,0.9
2046,maali,zwycięzca,nouns,0.55
2047,kuningas,książę,nouns,1.7
2048,varakkuus,prestiż,nouns,1.0
2049,rannikko,wybrzeże ,nouns,4.95
2050,sää,chmura,nouns,0.95
2051,onnellinen,rozzłoszczony,adjectives,0.25
2052,välttää,ignorować,verbs,3.3
2053,karata,znaleźć,verbs,0.2
2054,rutiininomaisesti,normalnie,adverbs,3.55
2055,tulla,przynieść,verbs,0.75
2056,imeä itseensä,wycofać,verbs,0.35
2057,vaatimaton,czysty,adjectives,0.7
2058,simulaatio,robotyka,nouns,0.8
2059,kalkkuna,ptak,nouns,2.95
2060,vaatteet,guzik,nouns,1.0
2061,viides,czołowy,adjectives,0.05
2062,saatana,bóg,nouns,0.7
2063,usva,chmura,nouns,1.95
2064,takavarikoida,brać,verbs,2.0
2065,palaa,udusić,verbs,0.35
2066,naudanliha,mięso,nouns,3.85
2067,tyhmä,pojętny,adjectives,0.2
2068,matkia,ukazywać,verbs,0.5
2069,näyttää,stać się,verbs,0.45
2070,presidentti,aparat,nouns,0.0
2071,oppia,dezorientować,verbs,0.0
2072,alumiini,metal,nouns,2.7
2073,etsintä,cel,nouns,0.8
2074,saada kiinni,uwalniać,verbs,0.2
2075,eteishalli,klasa,nouns,0.75
2076,suojella,bronić,verbs,4.7
2077,väkijuoma,zespół,nouns,0.0
2078,hyönteinen,pszczoła,nouns,2.85
2079,pilvi,jezioro,nouns,0.35
2080,kylpy,polano,nouns,0.0
2081,presidentti,zanieczyszczenie,nouns,0.1
2082,ranta,wybrzeże,nouns,nan
2083,saari,księżniczka,nouns,0.0
2084,näytös,matematyk,nouns,0.0
2085,vanhempi,dorosły,nouns,2.75
2086,ekseema,wysypka,nouns,3.25
2087,valtava,tępy,adjectives,0.0
2088,rauhallinen,zrelaksowany,adjectives,3.6
2089,tila,moda,nouns,0.05
2090,matriisi,wektor,nouns,0.9
2091,keisari,gubernator,nouns,1.0
2092,viha,szał,nouns,4.45
2093,makuuhuone,łóżko,nouns,1.15
2094,kaataa,kapać,verbs,1.2
2095,nauttia,zabawiać,verbs,0.5
2096,uloskäynti,otwór drzwiowy,nouns,3.6
2097,nieleksiä,sączyć,verbs,1.45
2098,laatikko,źródło,nouns,0.0
2099,ompelulanka,przędza,nouns,4.0
2100,varallisuus,sława,nouns,0.6
2101,laulu,opowieść,nouns,0.65
2102,sivuuttaa,zapominać,verbs,1.65
2103,rytmi,kadencja,nouns,1.4
2104,olkapää,ciało,nouns,1.1
2105,juhla,ludzie,nouns,0.55
2106,voimakas tuuli,koc,nouns,0.0
2107,magma,wulkan,nouns,1.5
2108,halveksia,obciążać,verbs,0.1
2109,nopeus,słup,nouns,0.0
2110,yö,świt,nouns,0.6
2111,kutistua,rosnąć,verbs,0.2
2112,myydä,przypominać,verbs,0.0
2113,rauha,szczęście,nouns,1.5
2114,käsivarsi,kość,nouns,1.15
2115,mieletön,nieszczęśliwy,adjectives,0.5
2116,sumu,chmura,nouns,2.05
2117,hankkia,znaleźć,verbs,1.3
2118,antelias,przyjazny,adjectives,1.25
2119,tunnettu,narodowy,adjectives,0.5
2120,täsmällinen,błędny,adjectives,0.05
2121,virsi,słoma,nouns,0.1
2122,naistenmies,facet,nouns,0.95
2123,elokuu,miesiąc,nouns,2.45
2124,naida,złączyć,verbs,1.6
2125,puolueellisuus,opinia,nouns,0.45
2126,moottori,maszyna,nouns,3.6
2127,asianmukainen,grzeczny,adjectives,1.85
2128,palauttaa,reperować,verbs,1.4
2129,mielipide,skłonność,nouns,0.45
2130,liha,chleb,nouns,0.45
2131,kuningas,księżniczka,nouns,1.35
2132,jättää,brać,verbs,0.4
2133,tulostaa,ignorować,verbs,0.0
2134,suojella,zakryć,verbs,2.35
2135,tasavalta,książę,nouns,0.2
2136,riippua,polegać,verbs,1.8
2137,perustuslaki,cesarz,nouns,0.15
2138,tanssi,sukienka,nouns,0.1
2139,maksaa,traktować,verbs,0.2
2140,kamera,soczewka,nouns,1.05
2141,aktiivisesti,precyzyjnie,adverbs,0.55
2142,päättää,myśleć,verbs,2.0
2143,kerätä,organizować,verbs,1.6
2144,järkyttynyt,zawstydzony,adjectives,0.65
2145,vastuullisesti,niezależnie,adverbs,1.15
2146,olla eri mieltä,zgadzać się,verbs,0.2
2147,auto,ulica,nouns,0.35
2148,saari,zadanie,nouns,0.0
2149,lumi,burza,nouns,0.95
2150,ranta,rafa,nouns,0.75
2151,silkkitoukka,gąsienica,nouns,3.25
2152,heikentyä,wycierać,verbs,0.25
2153,suffiksi,afiks,nouns,2.3
2154,pitkäveteinen,mierny,adjectives,1.15
2155,teksti,książka,nouns,2.35
2156,työ,narzędzie,nouns,0.65
2157,onnistua,wygrać,verbs,2.95
2158,mieletön,zadowolony,adjectives,0.05
2159,kova,gęsty,adjectives,0.6
2160,vene,samochód,nouns,0.75
2161,täydellisesti,prawdziwie,adverbs,1.65
2162,orja,służący,nouns,2.8
2163,laittaa,wisieć,verbs,0.2
2164,alkoholi,wino,nouns,2.9
2165,äiti,tata,nouns,1.3
2166,tuore,nowy,adjectives,4.55
2167,laitteisto,futerał,nouns,0.25
2168,sisäkatto,podłoga,nouns,0.7
2169,tuli,apokalipsa,nouns,0.65
2170,polvi,kość,nouns,1.35
2171,yritys,biznes,nouns,4.0
2172,toimittaja,poeta,nouns,0.7
2173,tukehtua,zabić,verbs,1.45
2174,intohimo,emocja,nouns,2.6
2175,välttää,odrzucić,verbs,2.1
2176,sana,strona,nouns,0.5
2177,tekijä,czytelnik,nouns,0.55
2178,torjua,akceptować,verbs,0.2
2179,herkkäuskoinen,głupi,adjectives,2.05
2180,uskoa,czuć,verbs,1.35
2181,kirkkaasti,lekko,adverbs,0.75
2182,kissa,zwięrzę domowe,nouns,3.1
2183,liiketoiminta,korporacja,nouns,2.15
2184,viski,jałowcówka,nouns,1.55
2185,minttu,muzeum,nouns,0.05
2186,keskustelu,wysokość,nouns,0.2
2187,todella,znacząco,adverbs,2.05
2188,tarina,książka,nouns,2.05
2189,vetäytyä,odchodzić,verbs,3.25
2190,varainkeruu ,rozwój,nouns,0.05
2191,ajatella,decydować,verbs,2.0
2192,välittömästi,raz,adverbs,0.2
2193,ilmeisesti,oczywiście,adverbs,3.15
2194,tie,szosa,nouns,4.8
2195,henkiolento,lampa,nouns,0.4
2196,varainkeruutapahtuma,wydarzenie,nouns,1.55
2197,linja-auto,pojazd,nouns,3.2
2198,yksinäinen,biedny,adjectives,0.65
2199,serkku,wujek,nouns,1.45
2200,kyttä,szeryf,nouns,3.55
2201,tukea,asystować,verbs,4.6
2202,luu,łokieć,nouns,1.1
2203,repiä,nosić,verbs,0.05
2204,risuaita,temat,nouns,1.25
2205,maailma,glob,nouns,4.3
2206,ilmestyä,wychodzić,verbs,0.25
2207,älykäs,bystry,adjectives,5.35
2208,yrittää,powieść się,verbs,0.5
2209,ihmiset,populacja,nouns,4.05
2210,tappaa,walczyć,verbs,1.25
2211,kansallinen,znany,adjectives,0.5
2212,epämääräinen,niejasny,adjectives,4.4
2213,sairaus,gorączka,nouns,2.0
2214,surullinen,straszny,adjectives,0.55
2215,tietokone,maszyna,nouns,3.6
2216,tukija,krykiet,nouns,0.2
2217,murskata,roztrzaskać,verbs,4.85
2218,kerran,dwukrotnie,adverbs,0.55
2219,taksiauto,taxi,nouns,5.5
2220,edullinen,tani,adjectives,4.75
2221,sotilas,chłopiec,nouns,0.6
2222,käsi,nadgarstek,nouns,2.05
2223,syntymäpäivä,rok,nouns,0.75
2224,julkinen,prywatny,adjectives,0.2
2225,pidellä,przytulić,verbs,1.3
2226,poski,język,nouns,1.05
2227,viskositeetti,plusk,nouns,0.3
2228,hattu,płaszcz,nouns,0.95
2229,harmonia,pianino,nouns,0.5
2230,ovi,kuchnia,nouns,0.25
2231,tietosanakirja,słownik,nouns,2.6
2232,tehtävä,wyspa,nouns,0.0
2233,keitto,kolacja,nouns,1.65
2234,realistisesti,idealnie,adverbs,0.65
2235,vastaanottaa,złapać,verbs,0.7
2236,onnistua,nawalić,verbs,0.2
2237,tappaa,niszczyć,verbs,2.5
2238,luoda,wyobrażać sobie,verbs,1.7
2239,tuoda,przyjść,verbs,0.75
2240,rankka,twardy,adjectives,2.95
2241,hyväntuulinen,rozkoszny,adjectives,1.1
2242,köyhä,dumny,adjectives,0.1
2243,tukki,drewno,nouns,3.5
2244,tohtori,profesor,nouns,1.85
2245,vaatteet,schowek,nouns,0.25
2246,säilytysastia,mysz,nouns,0.05
2247,lihas,język ,nouns,1.55
2248,siristää silmiään,razić,verbs,0.55
2249,lanka,nić,nouns,4.0
2250,keuhkoputkentulendus,acetaminofen,nouns,0.35
2251,kuulustella,zbadać,verbs,2.7
2252,säästö,ciułacz,nouns,1.25
2253,puumateriaali,polano,nouns,4.05
2254,harvinainen,niezwykły,adjectives,4.95
2255,kummallinen,cudaczny,adjectives,4.7
2256,historioitsija,historiograf,nouns,2.85
2257,runoilija,dziennikarz,nouns,0.7
2258,siirrettävä,giętki,adjectives,1.1
2259,makea,elektryczny,adjectives,0.0
2260,epätodennäköisesti,przyjazny,adverbs,0.05
2261,säästää,topić,verbs,0.05
2262,arvostella,zaznaczyć,verbs,0.65
2263,ystävällinen,hojny,adjectives,1.25
2264,peukalo,paznokieć,nouns,1.4
2265,omistaa,brać,verbs,1.75
2266,syntaksi,hasło,nouns,0.75
2267,vyöhyke,obszar,nouns,4.95
2268,kunnia,poważanie,nouns,2.2
2269,kirjoittaa,bazgrać,verbs,3.0
2270,ylpeä,arogancki,adjectives,2.25
2271,tavallinen,nieprawdopodobny,adjectives,0.25
2272,salaatti,dieta,nouns,0.75
2273,jäätyä,drżeć,verbs,0.65
2274,mies,kobieta,nouns,0.55
2275,viestintä,telewizja,nouns,1.2
2276,musiikki,melodia,nouns,3.2
2277,varovaisuus,troska,nouns,2.1
2278,myöntyä,zadowalać,verbs,0.85
2279,ranta,morze,nouns,0.8
2280,oppilas,student,nouns,4.85
2281,omistaa,zachować,verbs,1.8
2282,jakso,rozdział,nouns,3.35
2283,maksu,pensja,nouns,1.45
2284,ikkuna,dach,nouns,0.6
2285,antaa lainaksi,dać,verbs,1.6
2286,kompastua,upaść,verbs,2.65
2287,suojella,zachować,verbs,1.2
2288,muodostaa,niszczyć,verbs,0.2
2289,valehdella,zaprzeczać,verbs,0.95
2290,hammaslääkäri,pułkownik,nouns,0.4
2291,ei koskaan,negatywny,adjectives,0.45
2292,alue,strefa,nouns,4.95
2293,monarkia,demokracja,nouns,1.1
2294,torjua,unikać,verbs,2.1
2295,vartalo,bielizna,nouns,0.3
2296,kerätä,trząść,verbs,0.15
2297,epätäsmällisesti,dokładnie,adverbs,0.2
2298,ase,notatnik,nouns,0.0
2299,orkesteri,zespół,nouns,4.2
2300,ajatella,dowiadywać się,verbs,0.5
2301,aikuinen,niemowlę,nouns,0.4
2302,kulmakarva,oko,nouns,0.75
2303,tunnettu,zdrowy,adjectives,0.05
2304,paikallisesti,blisko,adverbs,2.4
2305,tyhjentää,eksmitować,verbs,2.0
2306,tippua,nalewać,verbs,1.2
2307,kiistellä,zgadzać się,verbs,0.2
2308,tehtävä,zlecenie,nouns,4.95
2309,rikos,oszustwo,nouns,3.95
2310,hoikka,wąski,adjectives,3.05
2311,itsevarmasti,potajemnie,adverbs,0.05
2312,peitetty,ubrany,adjectives,2.15
2313,ranne,ręka,nouns,2.05
2314,kaaos,lekcja,nouns,0.05
2315,oppia,zapominać,verbs,0.2
2316,sanomalehti,słowo,nouns,0.65
2317,kypsentää,stracić,verbs,0.0
2318,sankaritar,bohater,nouns,4.3
2319,valmentaja,baseball,nouns,0.25
2320,vauva,córka,nouns,2.35
2321,vaihto,waluta,nouns,0.25
2322,joustava,luźny,adjectives,1.15
2323,itseluottamus,własna osoba,nouns,1.15
2324,minuutti,sekunda,nouns,1.55
2325,tsunami,morze,nouns,0.9
2326,virallisesti,znacząco,adverbs,1.1
2327,hakemus,aplikant,nouns,0.8
2328,paistaa,zagotować,verbs,2.3
2329,keskustelu,komunikacja,nouns,3.0
2330,sulkea,wymiotować,verbs,0.0
2331,kuunnella,rozumieć,verbs,1.35
2332,haudata,przykryć,verbs,3.25
2333,miehet,braterstwo,nouns,1.3
2334,käyttämätön,nowy,adjectives,5.0
2335,onnellisuus,pokój,nouns,1.5
2336,asunto,hotel,nouns,1.25
2337,kriittinen,niegrzeczny,adjectives,0.65
2338,tiheä,twardy,adjectives,0.6
2339,kissa,królik,nouns,1.2
2340,sakkaroosi,węglowodan,nouns,2.6
2341,poika,brat,nouns,1.75
2342,moottori,tłok,nouns,1.85
2343,varallisuus,bieda,nouns,0.4
2344,rakentaminen,destrukcja,nouns,0.2
2345,samankaltainen,jednakowy,adjectives,3.45
2346,alue,narożnik,nouns,0.75
2347,turvattu,nużący,adjectives,0.05
2348,neste,dysza,nouns,0.05
2349,halata,tulić,verbs,5.0
2350,kärpänen,mrówka,nouns,1.4
2351,leipä,ser,nouns,0.7
2352,usein,rzadko,adverbs,0.2
2353,jogurtti,bydło,nouns,0.3
2354,tulla,przybywać,verbs,4.8
2355,valloitus,podróż,nouns,0.55
2356,vaalit,wybór,nouns,2.4
2357,vastapäinen,unikatowy,adjectives,0.3
2358,koulu,prawo,nouns,0.2
2359,uida,spotykać,verbs,0.0
2360,vetäytyä,absorbować,verbs,0.35
2361,paperi,drewno,nouns,1.2
2362,patsas,rzeźba,nouns,5.25
2363,lakimies,adwokat,nouns,4.65
2364,kapea,długi,adjectives,0.45
2365,supistaa,kurczyć się,verbs,3.25
2366,logiikka,inteligencja,nouns,2.55
2367,suoni,żyła,nouns,3.2
2368,pesäpallo,braterstwo,nouns,0.0
2369,tieto,książka,nouns,0.85
2370,laiska,cenny,adjectives,0.0
2371,harvinainen,egzotyczny,adjectives,4.55
2372,myöntyä,kłócić się,verbs,0.2
2373,hiiri,pokład,nouns,0.0
2374,kartano,rzeźbiarz,nouns,0.05
2375,hienotunteisesti,obecnie,adverbs,0.0
2376,kynsi,kciuk,nouns,1.4
2377,lista,ciąg,nouns,1.0
2378,mäki,klif,nouns,2.0
2379,unohtaa,przypominać,verbs,0.2
2380,urheilija,biegacz,nouns,2.75
2381,idea,opinia,nouns,1.7
2382,kalenteri,data,nouns,1.35
2383,luoda,rysować,verbs,1.85
2384,kiistää,unikać,verbs,0.65
2385,polyesteri,bawełna,nouns,1.0
2386,iho,rower,nouns,0.0
2387,sänky,koc,nouns,0.55
2388,ihmiset,dolar,nouns,0.0
2389,väkijoukko,motłoch,nouns,4.45
2390,kellua,śpiewać,verbs,0.0
2391,rytmi,melodia,nouns,1.75
2392,parasetamoli,bronchit,nouns,0.35
2393,jumala,duch,nouns,2.15
2394,sänky,szpital,nouns,0.25
2395,metsästää,szukać,verbs,2.3
2396,kuunnella,uczyć się,verbs,0.55
2397,rakenne,topologia,nouns,2.55
2398,venyvä,giętki,adjectives,5.1
2399,pullo,puszka,nouns,1.35
2400,raha,pensja,nouns,2.7
2401,liueta,topić,verbs,3.3
2402,tiedustella,szukać,verbs,2.05
2403,katastrofi,śmierć,nouns,1.45
2404,lisätä,mnożyć,verbs,0.85
2405,minuus,pewność siebie,nouns,1.15
2406,tuomioistuin,sprawiedliwość,nouns,1.75
2407,vastustaja,przeciwnik,nouns,4.5
2408,mainitsematon,pozamałżeński,adjectives,0.1
2409,alkoholi,whisky,nouns,2.9
2410,pohja,kwas,nouns,0.0
2411,hullu,chory,adjectives,1.9
2412,taksi,taksówka,nouns,5.5
2413,kunnossa oleva,mierny,adjectives,0.4
2414,avain,dom ,nouns,0.3
2415,mutantti,socjobiologia,nouns,0.15
2416,voimallinen,słaby,adjectives,0.2
2417,petos,przestępstwo,nouns,3.95
2418,näyttö,fonologia,nouns,0.1
2419,haluta,pożyczać,verbs,0.65
2420,kappale,ogon,nouns,0.0
2421,tähti,asteroida,nouns,1.55
2422,opetussuunnitelma,egzamin,nouns,0.4
2423,löyhkätä,śmierdzieć,verbs,5.6
2424,kävellä,stać  ,verbs,0.35
2425,auringonlasku,stół,nouns,0.0
2426,hauta,ponowny pochówek,nouns,1.45
2427,auto,powóz,nouns,2.0
2428,putka,pręt,nouns,0.25
2429,mielipide,wybór,nouns,0.75
2430,järjestää,wymagać,verbs,0.25
2431,viestiä,modlić się,verbs,0.4
2432,baari,klatka,nouns,0.25
2433,laittaa,dostać,verbs,0.1
2434,maali,poszukiwanie,nouns,0.8
2435,valtava,malutki,adjectives,0.2
2436,uskoa,akceptować,verbs,1.3
2437,pelästynyt,nerwowy,adjectives,1.8
2438,jänis,kot,nouns,1.2
2439,anoa,pożyczać,verbs,0.95
2440,pitää,dać,verbs,0.3
2441,vihje,słowo,nouns,0.55
2442,sekularisti,religia,nouns,0.25
2443,fakta,dowód,nouns,3.25
2444,peitto,wichura,nouns,0.0
2445,karitsa,owca,nouns,4.15
2446,mahti,siła,nouns,3.85
2447,veikata,spekulować,verbs,2.85
2448,sihteeri,kobieta,nouns,1.3
2449,parapsykologia,neuropsychologia,nouns,1.45
2450,esikoulu,żłobek,nouns,2.2
2451,määrittää,ewakuować,verbs,0.05
2452,vaarallisesti,ostrożnie,adverbs,0.05
2453,kynä,opowieść,nouns,0.25
2454,yhteiskunta,kultura,nouns,1.75
2455,kehitys,kwestowanie,nouns,0.05
2456,kaava,rejestr,nouns,0.45
2457,raaka,brzydki,adjectives,0.7
2458,vedota,błagać,verbs,3.75
2459,varmasti,czasem,adverbs,0.15
2460,kamera,prezydent,nouns,0.0
2461,tuoli,taboret,nouns,3.7
2462,eksoottinen,rzadki,adjectives,4.55
2463,asianajaja,prawnik,nouns,4.65
2464,taimen,gitara,nouns,0.0
2465,omena,światło słoneczne,nouns,0.05
2466,ajoneuvo,autobus,nouns,3.2
2467,mansikka,wiśnia,nouns,1.9
2468,tiedottaa,powiadamiać,verbs,5.55
2469,mies,triumfator,nouns,0.3
2470,rohkaista,zniechęcać,verbs,0.2
2471,paraati,tłum ,nouns,1.85
2472,luu,kolano,nouns,1.35
2473,ottaa,dostarczać,verbs,0.3
2474,perustella,weryfikować,verbs,1.7
2475,pilvi,okno,nouns,0.0
2476,linja-auto,taksówka,nouns,1.5
2477,jännittävä,nudny,adjectives,0.2
2478,elefantti,dinozaur,nouns,1.0
2479,vartalo,żołądek,nouns,1.5
2480,sielu,brat,nouns,0.15
2481,monitahokas,aktor,nouns,0.05
2482,tyhmä,gęsty,adjectives,0.0
2483,myöntyä,nie zgadzać się,verbs,0.2
2484,heppu,ogier,nouns,0.95
2485,kuvitella,udawać,verbs,1.6
2486,luotettavasti,pobieżnie,adverbs,0.15
2487,ihmeellinen,rozkoszny,adjectives,2.4
2488,lannistaa,nawalić,verbs,0.5
2489,rankka,przebiegły,adjectives,0.65
2490,laatikko,winda,nouns,0.1
2491,tietää,rozumieć,verbs,3.25
2492,hauska,smutny,adjectives,0.2
2493,haukka,ptak,nouns,3.4
2494,älypuhelin,ananas,nouns,0.0
2495,jalkaterä,piasek,nouns,0.0
2496,lukukausi,trymestr,nouns,1.05
2497,lentokenttä,kawałek,nouns,0.0
2498,ase,futro,nouns,0.0
2499,ekosysteemi,ekonomia,nouns,0.45
2500,uutiset,medium,nouns,0.6
2501,epätavallinen,rzadki,adjectives,4.95
2502,järkyttää,zniechęcać,verbs,1.0
2503,stressaantunut,zrelaksowany,adjectives,0.2
2504,maatalous,monokultura,nouns,1.05
2505,pilli,hymn,nouns,0.1
2506,tarina,ołówek,nouns,0.25
2507,kylpyhuone,sypialnia,nouns,1.4
2508,vastaanottaa,akceptować,verbs,1.35
2509,säännöllinen,nieświadomy,adjectives,0.0
2510,symboli,znak,nouns,5.55
2511,siirrellä,jeździć,verbs,0.45
2512,sallia,erodować,verbs,0.0
2513,juhlapäivä,kalendarz,nouns,0.9
2514,ooppera,kino,nouns,1.4
2515,rauha,żołnierz,nouns,0.25
2516,säilyttää,zapominać,verbs,0.35
2517,kaupunki,miasto,nouns,3.8
2518,maksu,płatność,nouns,4.45
2519,antaa,zaprzeczać,verbs,0.0
2520,nopeasti,pilnie,adverbs,4.55
2521,muistaa,myśleć,verbs,0.8
2522,setä,kuzyn,nouns,1.45
2523,suru,szczęscie,nouns,0.2
2524,mekaanikko,robotnik,nouns,2.4
2525,arvioida,uczyć się,verbs,1.3
2526,neuletakki,koszula,nouns,1.55
2527,taivas,wrzechświat,nouns,1.2
2528,realistisesti,niedawno,adverbs,0.0
2529,kuorma-auto,samochód,nouns,3.45
2530,kriittisesti,zasadniczo,adverbs,1.15
2531,vatsa,ciało,nouns,1.5
2532,katto,podłoga,nouns,0.75
2533,kuolla,pochować,verbs,1.2
2534,aloittaa,iść,verbs,0.35
2535,rajoittaa,redukować,verbs,3.95
2536,pilvi,mgiełka,nouns,1.95
2537,poika,ryż,nouns,0.0
2538,hyökätä kimppuun,drażnić,verbs,0.65
2539,tiukasti,niewiarygodnie,adverbs,0.4
2540,syntymäpäivä,data,nouns,2.0
2541,väkivaltainen,radykalny,adjectives,1.7
2542,hammas,usta,nouns,1.3
2543,pätevyys,zdolność,nouns,3.9
2544,oikeudenkäynti,werdykt,nouns,1.55
2545,elää,przeżyć,verbs,2.75
2546,orivarsa,koń,nouns,3.35
2547,asunto,meble,nouns,0.6
2548,ilo,duma,nouns,1.6
2549,infektio,fleksja,nouns,0.05
2550,hurrikaani,burza,nouns,2.95
2551,auringonlasku,sznurek,nouns,0.0
2552,dyyni,deser,nouns,0.75
2553,hallitus,jaszczurka,nouns,0.0
2554,illuusio,rzeczywistość,nouns,0.3
2555,tavallinen,prozaiczny,adjectives,3.7
2556,puutavara,polano,nouns,3.5
2557,miljardööri,bezdomny,nouns,0.15
2558,veljeskunta,mężczyźni,nouns,1.3
2559,infektio,dolegliwość,nouns,3.2
2560,jättää,pozostać,verbs,0.55
2561,pormestari,przewodniczący,nouns,1.6
2562,prinsessa,król,nouns,1.35
2563,viski,szampan,nouns,1.35
2564,jatko-osa,kamera,nouns,0.0
2565,leipä,mąka,nouns,1.0
2566,ikä,piękno,nouns,0.1
2567,vaimo,wanna,nouns,0.0
2568,mielekkäästi,głęboko,adverbs,1.55
2569,hunaja,nabiał,nouns,0.05
2570,myytti,satyra,nouns,1.15
2571,ikuisuus,zero,nouns,0.3
2572,massiivisesti,otwarcie,adverbs,0.2
2573,tamma,koń,nouns,3.35
2574,todiste,fakt,nouns,3.25
2575,sarvi,samochód,nouns,0.1
2576,kovakouraisesti,oczywiście,adverbs,0.1
2577,ikkuna,chmura,nouns,0.0
2578,laite,garnek,nouns,0.15
2579,tappaa,dusić,verbs,1.45
2580,selittää,wyjaśniać,verbs,5.0
2581,biologia,biotop,nouns,0.85
2582,jättää,wycofywać się,verbs,3.25
2583,kypärä,broń,nouns,0.5
2584,nenä,gardło,nouns,1.1
2585,kuvata,powiadamiać,verbs,0.8
2586,torjua,obierać,verbs,0.2
2587,älykkyys,logika,nouns,2.55
2588,pitkästynyt,nudny,adjectives,2.0
2589,mausteinen,dobry,adjectives,0.35
2590,menneisyys,poprzednik,nouns,1.35
2591,paristo,energia,nouns,1.7
2592,ujo,drogi,adjectives,0.0
2593,tukki,formuła,nouns,0.45
2594,terävä,tępy,adjectives,0.2
2595,moittia,osądzać,verbs,3.8
2596,hämmästyttävä,brudny,adjectives,0.0
2597,puhelin,komórka,nouns,5.0
2598,normaali,inny,adjectives,0.3
2599,pallo,działo,nouns,0.05
2600,ylpeä,śmiały,adjectives,0.95
2601,tähti,planeta,nouns,2.0
2602,selvästi,pewnie,adverbs,3.25
2603,kysyä,ignorować,verbs,0.0
2604,ranta,brzeg morski,nouns,3.5
2605,kovakouraisesti,niezawodnie,adverbs,0.15
2606,kritisoida,nienawidzić,verbs,1.3
2607,auttaja,pokojówka,nouns,1.7
2608,pöytä,zachód słońca,nouns,0.0
2609,laakso,depresja,nouns,0.7
2610,humalainen,trzeźwy,adjectives,0.2
2611,globalismi,wiza,nouns,0.25
2612,kuva,pomysł,nouns,0.5
2613,länsi,północ,nouns,0.95
2614,talo,mieszkanie,nouns,4.15
2615,puhdas,nieskazitelny,adjectives,5.35
2616,reilusti,niesprawiedliwie,adverbs,0.2
2617,romahtaa,zderzyć się,verbs,1.05
2618,pankkiiri,prawnik,nouns,0.75
2619,kertoa,dodawać,verbs,0.85
2620,kolikko,płatność,nouns,1.15
2621,äänekkäästi,subtelnie,adverbs,0.05
2622,todennäköisesti,naprawdę,adverbs,1.45
2623,epänormaalisti,normalnie,adverbs,0.2
2624,rauhallinen,neutralny,adjectives,1.2
2625,totella,zachowywać się,verbs,2.65
2626,kitara,bęben,nouns,1.3
2627,siemen,młyn,nouns,0.2
2628,nilkka,okno,nouns,0.0
2629,kestävyys,kwiat,nouns,0.0
2630,karata,umknąć,verbs,5.65
2631,talo,dywan,nouns,0.35
2632,karja,jogurt,nouns,0.3
2633,luuri,ofiara,nouns,0.0
2634,jauho,chleb,nouns,1.0
2635,jättää,iść,verbs,1.45
2636,lentopallo,piłka,nouns,2.2
2637,hienovaraisesti,spokojnie,adverbs,1.75
2638,nauraa,płakać,verbs,0.25
2639,pari,dwójka,nouns,5.0
2640,kritiikki,argument,nouns,0.9
2641,myydä,pożyczać,verbs,0.15
2642,poika,partner,nouns,1.0
2643,piirakka,czekolada,nouns,0.5
2644,lentäjä,kierowca,nouns,2.6
2645,historiografi,historyk,nouns,2.85
2646,professori,doktor,nouns,1.85
2647,ulospäinsuuntautunut,przychodzący,adjectives,0.65
2648,mahtavasti,fantastycznie,adverbs,5.2
2649,paha,straszny,adjectives,3.2
2650,arkeologia,antropologia,nouns,1.5
2651,viesti,zlecenie,nouns,0.8
2652,sateenvarjo,kaliber,nouns,0.0
2653,aikuinen,dziecko,nouns,0.5
2654,töykeä,prymitywny,adjectives,0.95
2655,hauska,poważny,adjectives,0.25
2656,äiti,przyjaciel,nouns,0.8
2657,ovi,dzwon,nouns,0.15
2658,kehys,hit,nouns,0.0
2659,hermo,trzewia,nouns,0.7
2660,purukumi,mięta,nouns,0.6
2661,kirja,wypadek,nouns,0.0
2662,sana,literatura,nouns,1.4
