ID,EST,FRA,PoS,score
2156,diagramm,graphique,nouns,2.75
2157,tunnistama,juger,verbs,1.5
2158,kutt,ami,nouns,2.2
2159,elevant,dinosaure,nouns,1.25
2160,jälitama,attraper,verbs,1.9
2161,isiklik,intime,adjectives,4.8
2162,vöökoht,repas,nouns,0.3
2163,realistlikult,récemment,adverbs,0.3
2164,merevägi,île,nouns,0.85
2165,alkohol,cognac,nouns,3.0
2166,veenma,poursuivre,verbs,0.5
2167,ohtlikult,soigneusement,adverbs,0.6
2168,stressis,détendu,adjectives,1.2
2169,jäik,fragile,adjectives,0.45
2170,arreteerima,suspecter,verbs,1.45
2171,hoidma,chérir,verbs,2.55
2172,järelliide,suffixe,nouns,3.7
2173,mesilane,insecte,nouns,3.2
2174,agressiivne,incurvé,adjectives,0.25
2175,tolmukas,pollinisation,nouns,2.1
2176,seelik,montre,nouns,0.45
2177,kasv,engrais,nouns,1.75
2178,põletama,étouffer,verbs,0.55
2179,loll,intelligent,adjectives,1.2
2180,pesapall,canapé,nouns,0.15
2181,kuningas,népotisme,nouns,1.75
2182,ebakohane,extraconjugal,adjectives,1.45
2183,sissetulek,impôt,nouns,1.45
2184,kombineeritud,mixte,adjectives,4.3
2185,jooma,élever,verbs,0.45
2186,tõbi,danger,nouns,1.05
2187,õun,sauce,nouns,0.95
2188,suur,flexible,adjectives,0.35
2189,organiseerima,organiser,verbs,5.15
2190,tolm,balai,nouns,1.55
2191,poliitik,président,nouns,3.5
2192,vabadus,censure,nouns,1.1
2193,metall,étain,nouns,3.15
2194,räpane,incroyable,adjectives,0.6
2195,võõras,traducteur,nouns,1.3
2196,soovitama,conseiller,verbs,5.15
2197,prognoos,révision,nouns,1.0
2198,raske,simple,adjectives,1.15
2199,klaas,cristal,nouns,2.8
2200,lõpetama,faire,verbs,1.35
2201,poiss,condition,nouns,0.1
2202,äkkrünnak,attaque,nouns,3.45
2203,dollar,millionnaire,nouns,1.45
2204,tapma,étouffer,verbs,3.1
2205,preester,dieu,nouns,1.75
2206,vastane,opposant,nouns,5.6
2207,hingama,étouffer,verbs,1.35
2208,mitte kunagi,généreusement,adverbs,0.15
2209,ekraan,moniteur,nouns,5.0
2210,auto,tuyau,nouns,0.3
2211,ignoreerima,demander,verbs,0.65
2212,põngerjas,fille,nouns,1.55
2213,kuupäev,calendrier,nouns,2.55
2214,analüüsima,comparer,verbs,3.4
2215,lipp,mât,nouns,1.75
2216,tšempion,gagnant,nouns,5.2
2217,halb,malhonnête,adjectives,2.85
2218,rannik,plage,nouns,3.5
2219,kuluma,pâlir,verbs,1.1
2220,komm,cannelle,nouns,1.15
2221,korrapärane,désordonné,adjectives,1.25
2222,vägivaldne,doux,adjectives,0.65
2223,vihm,brume,nouns,2.95
2224,ronima,randonner,verbs,2.2
2225,kurv,angle,nouns,2.05
2226,sügavalt,surtout,adverbs,0.9
2227,vihje,mot,nouns,1.15
2228,õigus,école,nouns,1.05
2229,osalema,coopérer,verbs,3.35
2230,lind,poule,nouns,2.5
2231,lubama,réfuter,verbs,0.25
2232,kõver,courbé,adjectives,5.25
2233,katma,déguiser,verbs,2.8
2234,uskuma,ressentir,verbs,2.05
2235,õrnalt,bruyamment,adverbs,0.65
2236,lahutama,perdre,verbs,1.75
2237,suur,grand,adjectives,4.0
2238,saama,organiser,verbs,0.5
2239,käsi,pied,nouns,2.0
2240,taevas,soleil,nouns,1.95
2241,robootika,simulation,nouns,1.45
2242,sõitma,courir,verbs,1.15
2243,õiglaselt,mûrement,adverbs,1.05
2244,meelde tuletama,oublier,verbs,1.1
2245,uks,fenêtre,nouns,1.9
2246,teras,alliage,nouns,3.5
2247,margniaalselt,complètement,adverbs,1.45
2248,tool,banc,nouns,3.75
2249,alati,deux fois,adverbs,0.75
2250,pehmelt,bruyamment,adverbs,0.65
2251,nautima,divertir,verbs,1.75
2252,sünnipäev,anniversaire,nouns,2.45
2253,mehaanik,ouvrier,nouns,2.95
2254,saama,perdre,verbs,0.8
2255,veendunud,nerveux,adjectives,0.3
2256,puur,bateau,nouns,0.2
2257,vajalik,important,adjectives,4.8
2258,lennujaam,avion,nouns,2.05
2259,fantaasia,réalité,nouns,1.4
2260,lubatud,légal,adjectives,5.1
2261,elajas,animal,nouns,5.15
2262,ebaviisakas,critique,adjectives,0.95
2263,hull,fou,adjectives,5.3
2264,basiilika,mosaïque,nouns,0.75
2265,pank,siège,nouns,1.15
2266,otsima,errer,verbs,1.95
2267,korraldama,arranger,verbs,5.15
2268,seaduserikkuja,criminel,nouns,4.85
2269,võitja,candidat,nouns,1.9
2270,oaas,liberté,nouns,0.55
2271,õun,confiserie,nouns,1.25
2272,hematoloogia,pathologie,nouns,2.0
2273,vihm,grêle,nouns,3.0
2274,kahanema,croître,verbs,1.1
2275,kummaline,sournois,adjectives,1.4
2276,intelligentsus,sagesse,nouns,4.45
2277,vabadus,oasis,nouns,0.55
2278,loomulikult,bizarrement,adverbs,1.0
2279,täielikult,strictement,adverbs,2.6
2280,kuritegu,fraude,nouns,3.95
2281,taganema,descendre,verbs,0.85
2282,vaidlema,justifier,verbs,2.75
2283,kohtuma,nager,verbs,0.3
2284,viirus,sang,nouns,1.6
2285,vihane,violent,adjectives,2.25
2286,ilmne,évident,adjectives,4.7
2287,müksama,s'écraser,verbs,3.4
2288,saama,sembler,verbs,1.05
2289,nõustuma,différer,verbs,0.9
2290,paat,arbre,nouns,0.2
2291,teadus,psychologie,nouns,2.4
2292,laenama,vendre,verbs,0.9
2293,rand,côte,nouns,3.5
2294,organiseeritud,désorganisé,verbs,1.2
2295,konteiner,souris,nouns,0.25
2296,paratsetamol,bronchite,nouns,1.25
2297,mängija,entraîneur,nouns,2.0
2298,põrand,plafond,nouns,1.65
2299,tossud,médaille,nouns,0.4
2300,tihti,rarement,adverbs,1.15
2301,taldrik,bol,nouns,2.65
2302,fonoloogia,écran,nouns,0.15
2303,illusioon,réalité,nouns,1.65
2304,rand,île,nouns,1.85
2305,ortodont,docteur,nouns,3.45
2306,segama,boire,verbs,0.7
2307,sõna,littérature,nouns,1.95
2308,ilm,vague,nouns,0.65
2309,patsient,session,nouns,0.5
2310,massivne,astronomique,adjectives,2.75
2311,lukk,clé,nouns,2.1
2312,osalema,envoyer,verbs,0.6
2313,osalema,dire,verbs,1.3
2314,viies,haut,adjectives,0.5
2315,meeleolu,émotion,nouns,3.8
2316,võlgnema,prêter,verbs,1.0
2317,unustama,apprendre,verbs,1.0
2318,kutt,fille,nouns,1.55
2319,naine,fourrure,nouns,0.45
2320,televisioon,acteur,nouns,1.4
2321,teenima,mériter,verbs,2.6
2322,matkama,grimper,verbs,2.2
2323,luu,cheville,nouns,2.55
2324,kokkulepe,trou,nouns,0.05
2325,popkorn,cinéma,nouns,1.45
2326,korporatsioon,homme,nouns,1.45
2327,hiilgav,génial,adjectives,4.85
2328,müüma,rappeler,verbs,0.2
2329,abikaasa (naine),mère,nouns,2.8
2330,koosseis,chanteur,nouns,0.6
2331,kallas,plage,nouns,4.25
2332,rütm,arithmétique,nouns,0.75
2333,tõesti,surtout,adverbs,1.55
2334,hajuma,éroder,verbs,1.1
2335,kaabel,chapelle,nouns,0.05
2336,ettevaatus,soin,nouns,4.35
2337,onu,cousin,nouns,2.4
2338,kohalikult,attentivement,adverbs,0.9
2339,kahanema,disparaître,verbs,1.75
2340,vaatama,chercher,verbs,2.05
2341,pott,dispositif,nouns,0.2
2342,põgenema,trouver,verbs,0.5
2343,rahvahulk,groupe,nouns,3.85
2344,sadam,emballage,nouns,0.45
2345,vabastama,presser,verbs,0.4
2346,number,nombre,nouns,4.9
2347,haisema,sentir,verbs,3.3
2348,defineerima,clarifier,verbs,4.05
2349,forell,guitare,nouns,0.05
2350,häbenev,contrarié,adjectives,0.75
2351,kinnas,balle,nouns,0.9
2352,polüester,coton,nouns,1.75
2353,reket,balle,nouns,1.7
2354,palavik,maladie,nouns,2.85
2355,professor,médecin,nouns,2.85
2356,rumal,têtu,adjectives,2.15
2357,minema,permettre,verbs,0.45
2358,ajaleht,mot,nouns,1.55
2359,teavitama,représenter,verbs,0.8
2360,liha,steak,nouns,4.55
2361,mees,mari,nouns,3.8
2362,kätte toimetama,accepter,verbs,0.85
2363,rumal,crédule,adjectives,3.35
2364,mosaiik,basilique,nouns,0.75
2365,võrkpall,ballon,nouns,2.15
2366,hool,attention,nouns,4.35
2367,strateeg,conspirateur,nouns,3.25
2368,veok,paquet,nouns,0.75
2369,iidne,nouveau,adjectives,1.1
2370,kõrs,hymne,nouns,0.1
2371,rääkima,reconnaître,verbs,1.0
2372,sidrun,thé,nouns,1.1
2373,paber,carton,nouns,3.45
2374,närv,cerveau,nouns,2.0
2375,kägistama,tuer,verbs,3.1
2376,meri,rivière,nouns,2.2
2377,kauss,assiette,nouns,2.65
2378,võti,maison,nouns,1.25
2379,ulatuslik,étroit,adjectives,0.7
2380,autor,lecteur,nouns,1.65
2381,kaebama,se disputer,verbs,1.6
2382,ette kujutama,feindre,verbs,1.55
2383,jooma,siroter,verbs,4.8
2384,sisalik,serpent,nouns,2.6
2385,ilmselt,évidemment,adverbs,2.5
2386,president,élève,nouns,0.8
2387,ümberlõikus,prépuce,nouns,1.85
2388,võõrastemaja,motel,nouns,4.15
2389,avalik,privé,adjectives,1.6
2390,onu,homme,nouns,2.35
2391,makse,billet,nouns,2.05
2392,ema,épouse,nouns,2.8
2393,süüdistama,juger,verbs,3.05
2394,semu,ami,nouns,5.2
2395,turvama,protéger,verbs,5.05
2396,võidusõit,philosophe,nouns,0.15
2397,hoidma,donner,verbs,1.2
2398,dieet,pomme,nouns,0.9
2399,alkohol,bière,nouns,3.2
2400,pankur,avocat,nouns,1.5
2401,äri,société,nouns,2.15
2402,andma,recevoir,verbs,1.15
2403,matemaatik,spectacle,nouns,0.15
2404,mees,suspect,nouns,1.2
2405,keeglimängija,bowling,nouns,1.55
2406,siduma,tresser,verbs,3.65
2407,soodne,abordable,adjectives,5.4
2408,rahvas,fête,nouns,1.05
2409,lähedaselt,localement,adverbs,0.9
2410,tennis,statistique,nouns,0.45
2411,kriitiliselt,principalement,adverbs,0.4
2412,legaalne,permis,adjectives,5.1
2413,koguma,organiser,verbs,1.0
2414,õnnelikult,mortellement,adverbs,0.35
2415,õpilane,président,nouns,0.8
2416,ideaalselt,concrètement,adverbs,1.35
2417,ära ütlema,accepter,verbs,1.25
2418,raha,diamant,nouns,1.8
2419,juhataja,chef,nouns,4.45
2420,anuma,satisfaire,verbs,0.25
2421,advokaat,procureur,nouns,2.4
2422,õnnelik,furieux,adjectives,1.5
2423,vihkama,mépriser,verbs,4.4
2424,kalju,colline,nouns,2.45
2425,abikaasa (naine),paille,nouns,0.0
2426,ilm,neige,nouns,1.75
2427,raamat,littérature,nouns,2.8
2428,semester,trimestre,nouns,3.85
2429,päikeseloojang,soir,nouns,2.95
2430,lükkama,critiquer,verbs,0.45
2431,loodus,flore,nouns,3.25
2432,meelde tuletama,dire,verbs,2.65
2433,pettumus,colère,nouns,2.95
2434,sõber,mec,nouns,2.2
2435,tõuk,ver à soie,nouns,3.1
2436,rahulik,neutre,adjectives,2.25
2437,muda,saleté,nouns,2.9
2438,allkirjastama,flotter,verbs,0.1
2439,nõrk,épicé,adjectives,0.1
2440,vanem,adulte,nouns,3.55
2441,sekularist,religion,nouns,1.85
2442,suhtlus,conversation,nouns,4.05
2443,president,maire,nouns,2.05
2444,saatma,aller,verbs,0.8
2445,teadlikkus,attention,nouns,3.05
2446,masin,moteur,nouns,2.95
2447,kaaspiloot,flic,nouns,0.55
2448,võitja,présence,nouns,0.6
2449,kitsas,large,adjectives,1.15
2450,vihane,heureux,adjectives,0.85
2451,praadima,cuisiner,verbs,2.9
2452,kass,lion,nouns,2.35
2453,aktsepeerima,nier,verbs,1.0
2454,nuuksuma,crier,verbs,2.85
2455,haigus,fièvre,nouns,2.85
2456,vesi,sel,nouns,1.0
2457,selgitama,définir,verbs,4.05
2458,vältima,rejeter,verbs,2.15
2459,kerge,dur,adjectives,0.75
2460,auto,camion,nouns,3.2
2461,passiivselt,activement,adverbs,1.05
2462,bänd,longévité,nouns,0.25
2463,frustreerima,décourager,verbs,3.1
2464,osa,chapitre,nouns,4.0
2465,poolsaar,île,nouns,3.05
2466,põlv,bras,nouns,1.6
2467,ebamäärane,incertain,adjectives,4.9
2468,eestkostja,mère,nouns,1.45
2469,ajaloouurija,historien,nouns,4.8
2470,õun,soleil,nouns,0.5
2471,kari,yaourt,nouns,0.35
2472,graafik,carte,nouns,2.75
2473,karistama,enseigner,verbs,0.45
2474,katedraal,plafond,nouns,0.75
2475,surema,enterrer,verbs,1.55
2476,õppemaks,bourse d'étude,nouns,1.85
2477,ründama,aggraver,verbs,1.3
2478,sõjamees,homme,nouns,2.05
2479,veen,bras,nouns,1.15
2480,andma,garder,verbs,1.2
2481,proovima,atteindre,verbs,1.25
2482,abikaasa (mees),femme,nouns,3.55
2483,riis,poulet,nouns,1.1
2484,haigla,lit,nouns,1.4
2485,mantel,vêtement,nouns,2.75
2486,kutt,partenaire,nouns,1.85
2487,andma,prêter,verbs,3.2
2488,ebaausalt,déraisonnablement,adverbs,2.6
2489,õlg,bras,nouns,2.15
2490,sisenema,laisser,verbs,0.45
2491,soovitama,conseiller,verbs,5.25
2492,leebe,tranchant,adjectives,0.85
2493,uskumus,valeur,nouns,2.5
2494,neelatama,siroter,verbs,2.25
2495,senat,constitution,nouns,1.7
2496,kokku hoidma,dépenser,verbs,0.65
2497,õnnelik,content,adjectives,4.55
2498,vastupidavus,force,nouns,3.1
2499,odav,bon marché,adjectives,5.4
2500,tants,robe,nouns,0.9
2501,külm,ordinaire,adjectives,0.4
2502,selgroog,corps,nouns,1.9
2503,diivan,baseball,nouns,0.15
2504,saama,mettre,verbs,0.35
2505,hambad,marteau,nouns,0.1
2506,vill,illustration,nouns,0.2
2507,kohale jõudma,assister,verbs,0.5
2508,kaotama,cuisiner,verbs,0.05
2509,tark,intelligent,adjectives,4.9
2510,anuma,demander,verbs,2.75
2511,kannatamatult,approximativement,adverbs,0.6
2512,uhkelt,paisiblement,adverbs,0.8
2513,uus,ancien,adjectives,1.1
2514,rahumeelselt,chaotiquement,adverbs,0.75
2515,uba,bacon,nouns,0.9
2516,tera,herbe,nouns,0.35
2517,moraal,légende,nouns,1.25
2518,sekretär,femme,nouns,1.45
2519,lääts,appareil photo,nouns,2.0
2520,psühholoogia,science,nouns,2.4
2521,loll,énorme,adjectives,0.75
2522,lill,longévité,nouns,0.35
2523,bänd,orchestre,nouns,3.45
2524,õhupall,peuple,nouns,0.1
2525,haihtuma,disparaître,verbs,5.3
2526,kultuur,société,nouns,2.9
2527,järsk,frigide,adjectives,0.95
2528,lisama,rejoindre,verbs,1.3
2529,katastroof,mort,nouns,2.15
2530,riis,garçon,nouns,0.1
2531,portreteerima,décider,verbs,0.95
2532,naerma,chanter,verbs,1.15
2533,tagumine,queue,nouns,2.95
2534,täkk,type,nouns,1.75
2535,saabuma,venir,verbs,4.5
2536,käekott,sac,nouns,3.1
2537,kaks korda,multiple,adverbs,2.6
2538,äri,industrie,nouns,2.5
2539,segama,conduire,verbs,0.2
2540,laskma,permettre,verbs,4.25
2541,näima,prétendre,verbs,2.1
2542,riputama,mettre,verbs,1.3
2543,teostama,gagner,verbs,1.5
2544,vahekäik,couloir,nouns,4.0
2545,piparmünt,musée,nouns,0.0
2546,taotlema,viser,verbs,2.1
2547,kokku hoidma,collecter,verbs,2.75
2548,vaesus,richesse,nouns,1.35
2549,hävitama,tuer,verbs,3.0
2550,saar,tâche,nouns,0.05
2551,harmoonia,piano,nouns,1.6
2552,tüdruk,bonne,nouns,1.4
2553,terav,lisse,adjectives,1.25
2554,ilmselgelt,sûrement,adverbs,3.35
2555,tsensuur,liberté,nouns,1.1
2556,häbelik,effrayé,adjectives,1.95
2557,töö,tâche,nouns,3.95
2558,meelt lahutama,apprécier,verbs,1.75
2559,iiris,acétylcholine,nouns,nan
2560,onupojapoliitika,roi,nouns,1.75
2561,teesklema,sembler,verbs,2.1
2562,tähelepanu,conscience,nouns,3.05
2563,arst,orthodontiste,nouns,3.45
2564,kummitama,effrayer,verbs,3.1
2565,rikkumata,modeste,adjectives,1.35
2566,maantee,route,nouns,4.0
2567,luu,dent,nouns,2.5
2568,mees,père,nouns,2.7
2569,itsitama,rire,verbs,4.55
2570,jääma,retenir,verbs,1.6
2571,valk,poignée,nouns,0.1
2572,saar,péninsule,nouns,3.05
2573,kamp,foule,nouns,3.85
2574,koidik,nuit,nouns,2.1
2575,teadma,croire,verbs,2.5
2576,puhastustuli,au-delà,nouns,2.05
2577,isa,frère,nouns,1.95
2578,kõva,dense,adjectives,2.1
2579,teavitama,reconnaître,verbs,1.3
2580,õlu,alcool,nouns,3.2
2581,küsima,ignorer,verbs,0.65
2582,karm,facile,adjectives,0.75
2583,pesapall,fraternité,nouns,0.3
2584,aktiivselt,passivement,adverbs,1.05
2585,tuli,échec,nouns,1.55
2586,kaine,ivre,adjectives,1.2
2587,võrrand,formule,nouns,3.6
2588,naarits,huile,nouns,0.3
2589,kandma,déchirer,verbs,0.15
2590,halb,affreux,adjectives,2.55
2591,emotsioon,passion,nouns,3.8
2592,algvorm,syllabe,nouns,1.75
2593,siidiuss,chenille,nouns,3.1
2594,rebima,porter,verbs,0.15
2595,õnnelik,jeune,adjectives,0.75
2596,helde,amical,adjectives,2.75
2597,jõllitama,loucher,verbs,0.8
2598,ebamoraalne,mal,adjectives,3.85
2599,ainulaadne,contraire,adjectives,0.8
2600,ülestunnistus,déni,nouns,1.35
2601,voodi,berceau,nouns,4.05
2602,tavaline,banal,adjectives,5.35
2603,vaba,innocent,adjectives,1.4
2604,looja,fabricant,nouns,4.45
2605,kena,généreux,adjectives,2.3
2606,süsteemiplaat,carte mère,nouns,3.55
2607,looja,auteur,nouns,5.2
2608,kaks korda,toujours,adverbs,0.75
2609,slaid,pointeur,nouns,0.15
2610,kiiver,arme,nouns,1.25
2611,käsivars,poignet,nouns,2.35
2612,koguma,sauvegarder,verbs,2.75
2613,kurvalt,follement,adverbs,0.65
2614,kümnend,siècle,nouns,2.25
2615,tsütoplasma,chiffre,nouns,0.05
2616,raamat,information,nouns,1.65
2617,jagamine,multiplication,nouns,2.15
2618,uks,sol,nouns,0.95
2619,hobune,boeuf,nouns,1.85
2620,kurbus,bonheur,nouns,1.45
2621,täpselt,précisément,adverbs,5.5
2622,ilm,nuage,nouns,2.0
2623,hiiglasuur,minuscule,adjectives,1.1
2624,põgenema,fuir,verbs,5.6
2625,kalts,vêtement,nouns,2.25
2626,varastama,prendre,verbs,2.65
2627,amorfne,informe,adjectives,3.65
2628,katteta,couvert,adjectives,1.1
2629,kogunema,rencontrer,verbs,1.8
2630,pilv,fenêtre,nouns,0.55
2631,praadima,cuire,verbs,3.85
2632,sulam,acier,nouns,3.5
2633,maks,poumon,nouns,1.85
2634,teemaviide,sujet,nouns,3.0
2635,hüsteeria,désarroi,nouns,2.55
2636,tehas,voiture,nouns,0.8
2637,sonett,beauté,nouns,0.75
2638,tina,métal,nouns,3.15
2639,sõna,indice,nouns,1.15
2640,tugevalt,doucement,adverbs,1.0
2641,unustama,retenir,verbs,1.05
2642,saama,faire,verbs,1.3
2643,maja,grange,nouns,1.95
2644,taust,papier peint,nouns,3.1
2645,öö,aube,nouns,2.1
2646,rahulikult,pacifiquement,adverbs,4.7
2647,sein,brique,nouns,1.7
2648,lift,voiture,nouns,0.7
2649,tõsine,marrant,adjectives,1.3
2650,lõpetama,rivaliser,verbs,0.3
2651,jäse,jambe,nouns,3.2
2652,kitarr,truite,nouns,0.05
2653,hoiatama,arrêter,verbs,0.85
2654,kurb,marrant,adjectives,0.95
2655,ranne,bras,nouns,2.35
2656,mõõk,environnement,nouns,0.05
2657,astronoomiline,massif,adjectives,2.75
2658,keelduma,décliner,verbs,5.35
2659,kindlustunne,soi,nouns,1.5
2660,putukas,pesticide,nouns,1.6
2661,passiivne,violent,adjectives,0.6
2662,vend,âme,nouns,0.6
2663,silp,lemme,nouns,1.75
2664,usaldusväärselt,raisonnablement,adverbs,3.95
2665,keha,épaule,nouns,1.6
2666,logaritm,formule,nouns,1.9
2667,valetama,accuser,verbs,0.75
2668,kaitsma,tuer,verbs,0.95
2669,nakkus,inflexion,nouns,0.15
2670,munk,croix,nouns,1.45
2671,regulaarne,ignorant,adjectives,0.65
2672,kõrgus,conversion,nouns,0.3
2673,pottsepatöö,céramique,nouns,4.1
2674,katedraal,église,nouns,4.45
2675,kääbuskasvu,petit,adjectives,4.2
2676,intelligentne,stupide,adjectives,1.2
2677,tähelepanuta jätma,renier,verbs,1.8
2678,lõng,fil,nouns,2.9
2679,tase,résultat,nouns,2.25
2680,liha,pain,nouns,1.3
2681,ühing,affaire,nouns,2.15
2682,sassis,propre,adjectives,1.0
2683,juhtkond,administration,nouns,4.55
2684,iseseisvalt,responsablement,adverbs,1.5
2685,küünarnukk,os,nouns,1.85
2686,suurepärane,merveilleux,adjectives,4.7
2687,televisioon,scénariste,nouns,1.45
2688,rahvahulk,défilé,nouns,2.3
2689,tundma,croire,verbs,2.05
2690,sõitma,mélanger,verbs,0.2
2691,kostüüm,bal,nouns,1.65
2692,hirmunud,timide,adjectives,1.95
2693,lugema,saisir,verbs,1.05
2694,põhiseadus,sénat,nouns,1.7
2695,ostma,voler,verbs,1.1
2696,valelik,véridique,adjectives,0.8
2697,raam,succès,nouns,0.35
2698,teema,récit,nouns,2.05
2699,aeg-ajalt,régulièrement,adverbs,2.1
2700,vann,pièce,nouns,1.1
2701,paat,voiture,nouns,1.45
2702,ball,gant,nouns,0.9
2703,täht,astéroïde,nouns,2.7
2704,pöörane,heureux,adjectives,1.5
2705,öö,jour,nouns,1.75
2706,jalg,tête,nouns,1.55
2707,närviliselt,anxieusement,adverbs,5.2
2708,maja,tapis,nouns,0.95
2709,piiskop,musulman,nouns,1.25
2710,torbik,tasse,nouns,0.55
2711,usaldusväärselt,grossièrement,adverbs,0.6
2712,kerge,difficile,adjectives,1.15
2713,aru saama,saisir,verbs,5.5
2714,kael,colonne vertébrale,nouns,2.15
2715,väsinud,affamé,adjectives,1.5
2716,andma,emprunter,verbs,2.4
2717,kleit,danse,nouns,0.9
2718,advokaat,banquier,nouns,1.5
2719,kindlalt,évidemment,adverbs,3.35
2720,karistama,obéir,verbs,1.1
2721,kerge,flexible,adjectives,1.5
2722,vältima,nier,verbs,1.8
2723,rahvas,centime,nouns,0.1
2724,oluliselt,vraiment,adverbs,1.55
2725,taevas,univers,nouns,2.45
2726,tina,aluminium,nouns,2.0
2727,lehekülg,paragraphe,nouns,2.15
2728,metsamajake,campement,nouns,1.25
2729,lühike,long,adjectives,1.15
2730,lonkama,marcher,verbs,2.8
2731,tagasihoidlikult,fièrement,adverbs,1.2
2732,tasu,salaire,nouns,4.65
2733,jalg,membre,nouns,3.2
2734,kuritegu,vol,nouns,2.95
2735,ortodont,dentiste,nouns,4.95
2736,ukseava,sortie,nouns,3.3
2737,kodus,à l'extérieur,adverbs,1.25
2738,küpsetama,frire,verbs,3.38
2739,maakera,monde,nouns,4.15
2740,kõrs,femme,nouns,0.0
2741,laadija,disque,nouns,0.75
2742,kaste,pomme,nouns,0.95
2743,naine,tâche,nouns,0.1
2744,käelaba,poignet,nouns,2.6
2745,vabastama,attraper,verbs,0.6
2746,informeerima,polir,verbs,0.1
2747,informatsioon,entropie,nouns,1.65
2748,loll,stupide,adjectives,5.5
2749,kitsas,svelte,adjectives,2.7
2750,ebatäpselt,précisément,adverbs,1.0
2751,kergelt,confortablement,adverbs,1.6
2752,poleerima,informer,verbs,0.1
2753,põrand,terrasse,nouns,1.85
2754,mõnikord,sûrement,adverbs,0.75
2755,vangla,barreau,nouns,2.15
2756,maskeerima,couvrir,verbs,2.8
2757,vormitu,amorphe,adjectives,3.65
2758,luu,coude,nouns,1.85
2759,osariik,maison,nouns,0.35
2760,relv,couteau,nouns,2.7
2761,eitama,admettre,verbs,1.15
2762,poiss,partenaire,nouns,1.95
2763,pidulik,bon,adjectives,1.1
2764,kongress,parlement,nouns,3.45
2765,au andma,accomplir,verbs,0.25
2766,laul,histoire,nouns,2.4
2767,kaaslane,copain,nouns,4.75
2768,võrevoodi,lit,nouns,4.05
2769,petma,tromper,verbs,4.45
2770,mäletama,penser,verbs,2.6
2771,leidma,acquérir,verbs,2.2
2772,tellimus,menu,nouns,1.75
2773,vestlus,communication,nouns,4.05
2774,klass,chaos,nouns,0.3
2775,alustama,cesser,verbs,1.1
2776,jäik,rugueux,adjectives,0.95
2777,hädaolukord,accident,nouns,3.45
2778,kahtlev,courroucé,adjectives,0.65
2779,püüdma,capturer,verbs,5.0
2780,õun,régime,nouns,0.9
2781,veenma,essayer,verbs,1.2
2782,seemik,feuille,nouns,1.15
2783,keskkond,épée,nouns,0.05
2784,relv,fourrure,nouns,0.35
2785,emotsionaalselt,tristement,adverbs,2.05
2786,vali,grossier,adjectives,1.7
2787,ala,zone,nouns,4.15
