ID,RUS,YUE,PoS,score
2230,преступление,詐騙,nouns,2.27
2231,писатель,小說,nouns,0.72
2232,лодыжка,肘,nouns,0.57
2233,веселье,遊戲,nouns,0.92
2234,класс,走廊,nouns,0.45
2235,несправедливый,殘忍,adjectives,1.22
2236,искусственный,假,adjectives,3.63
2237,разрушение,建造,nouns,0.29
2238,тело,肩,nouns,1.06
2239,слово,字典,nouns,0.77
2240,пренебрежительный,輕視,adjectives,3.81
2241,неугомонный,年輕,adjectives,0.49
2242,сатира,神話,nouns,0.63
2243,платеж,費用,nouns,3.41
2244,миска,尾巴,nouns,0.0
2245,примат,全能,nouns,0.33
2246,плохой,內疚,adjectives,0.48
2247,стена,城堡,nouns,0.43
2248,кисть,腳,nouns,1.11
2249,ключ,房屋,nouns,0.58
2250,глава,尾巴,nouns,0.15
2251,плечо,身體,nouns,1.06
2252,покидать,參加,verbs,0.0
2253,деньги,鑽石,nouns,0.81
2254,исследовать,檢查,verbs,4.59
2255,главная плата,主機板,nouns,3.67
2256,множество,豐富,nouns,4.17
2257,брать,交付,verbs,0.7
2258,сокрушать,扼殺,verbs,0.57
2259,отклонять,拒絕,verbs,3.25
2260,оставаться,離開,verbs,0.04
2261,смеяться,傻笑,verbs,3.88
2262,презрительный,輕蔑,adjectives,3.81
2263,злость,狂怒,nouns,4.29
2264,кроватка,搖床,nouns,4.05
2265,забывать,保留,verbs,0.1
2266,пуговица,衣服,nouns,1.06
2267,мускул,舌頭,nouns,0.54
2268,дверь,地板,nouns,0.48
2269,саженец,葉,nouns,1.0
2270,авария,意外,nouns,3.79
2271,уведомлять,承認,verbs,0.53
2272,отвергать,避免,verbs,0.79
2273,кровать,幼兒床,nouns,4.08
2274,зарядное устройство,磁盤,nouns,0.6
2275,игнорировать,忘記,verbs,2.28
2276,дружелюбный,大方,adjectives,2.58
2277,султан,部,nouns,0.04
2278,огромный,大規模,adjectives,4.31
2279,покупать,偷,verbs,0.0
2280,опекун,成人,nouns,2.06
2281,стипендия,學費,nouns,0.77
2282,грязный,非常好,adjectives,0.0
2283,праздник,日曆,nouns,0.72
2284,ударять,懲罰,verbs,0.45
2285,коробка,帽子,nouns,0.25
2286,улица,汽車,nouns,0.72
2287,ракетка,球,nouns,0.96
2288,назначение,訂婚,nouns,1.1
2289,автострада,車,nouns,1.01
2290,миска,碟,nouns,2.83
2291,яркость,星,nouns,1.97
2292,мясо,麵包,nouns,0.38
2293,часовня,電纜,nouns,0.0
2294,солдат,和平,nouns,0.34
2295,лодка,電動機,nouns,0.54
2296,противолежащий,其他,adjectives,0.69
2297,стейк,雞,nouns,0.6
2298,смеяться,哭,verbs,0.04
2299,невежественный,頻繁,adjectives,0.1
2300,побережье,濱,nouns,3.34
2301,шоколад,派,nouns,0.54
2302,возможно,大概,adverbs,3.85
2303,объявлять,宣告,verbs,4.63
2304,радостный,開心,adjectives,4.7
2305,домашнее задание,文章,nouns,1.92
2306,важный,關鍵,adjectives,3.79
2307,игрок в боулинг,保齡球,nouns,1.81
2308,агрессивный,被動,adjectives,0.1
2309,помощница,女僕,nouns,2.84
2310,интуиция,感覺,nouns,3.94
2311,рубеж,國境,nouns,4.07
2312,строить,做,verbs,3.09
2313,плакать,大笑,verbs,0.04
2314,морось,雨,nouns,4.29
2315,ремесло,傳統,nouns,0.63
2316,ядро,大炮,nouns,0.69
2317,младенец,女兒,nouns,1.65
2318,электрический,甜,adjectives,0.0
2319,скот,羊,nouns,2.56
2320,материнская плата,主板,nouns,3.67
2321,хлеб,肉,nouns,0.38
2322,мощь,力量,nouns,3.93
2323,облако,天氣,nouns,0.72
2324,кровать,沙發,nouns,3.42
2325,правдивый,不誠實,adjectives,0.04
2326,руководство,行政管理,nouns,3.93
2327,думать,決定,verbs,1.22
2328,сбор,大型會議,nouns,3.75
2329,художник,藝術品,nouns,1.01
2330,отец,天神,nouns,0.74
2331,ответственно,可靠,adverbs,2.94
2332,ковер,屋,nouns,0.63
2333,держать,擁抱,verbs,0.2
2334,миллиардер,無家可歸,nouns,0.1
2335,ученик,總統,nouns,0.2
2336,принимать,承認,verbs,2.9
2337,глава,選擇,nouns,0.34
2338,жемчуг,錢,nouns,0.38
2339,уничтожить,保留,verbs,0.04
2340,замок,壁,nouns,0.43
2341,громко,猛烈地,adverbs,1.11
2342,парад,人群,nouns,1.35
2343,входить,離開,verbs,0.04
2344,помогать,保護,verbs,2.62
2345,закапывать,死,verbs,0.9
2346,пряный,弱,adjectives,0.04
2347,плечо,頭,nouns,0.57
2348,бой,好鬥,nouns,1.32
2349,школа,年級,nouns,0.73
2350,немедленно,一次,adverbs,0.14
2351,одежда,大褸,nouns,1.98
2352,высота,換算,nouns,0.04
2353,национальный,大,adjectives,0.05
2354,мальчик,兒童,nouns,2.29
2355,тело,底衫褲,nouns,0.52
2356,стих,韻律,nouns,1.06
2357,отделка,牆壁,nouns,0.73
2358,судья,法庭,nouns,1.26
2359,брат,靈魂,nouns,0.5
2360,библия,聖歌,nouns,2.42
2361,задача,女人,nouns,0.04
2362,нервный,某些,adjectives,0.1
2363,гимнастика,擊劍,nouns,0.48
2364,путешествовать,爬,verbs,0.76
2365,камень,礦,nouns,0.56
2366,джинсы,女人,nouns,0.24
2367,автомобиль,胎壓計,nouns,0.45
2368,жениться,團結,verbs,1.13
2369,искусства,藝術家,nouns,1.01
2370,интеллект,邏輯,nouns,2.61
2371,полностью,輕微,adverbs,0.1
2372,республика,公爵,nouns,0.33
2373,монархия,民主,nouns,0.05
2374,забывать,學習,verbs,0.15
2375,яблоко,檸檬,nouns,0.67
2376,светиться,照耀,verbs,4.03
2377,скучный,平庸,adjectives,2.6
2378,книга,資料,nouns,1.2
2379,ночь,章節,nouns,0.0
2380,народ,一分錢,nouns,0.14
2381,жена,沖涼,nouns,0.04
2382,ноготь,拇指,nouns,1.65
2383,маскировать,偽裝,verbs,3.27
2384,валюта,交換,nouns,0.68
2385,граница,分界線,nouns,4.07
2386,бревно,木,nouns,3.97
2387,газета,字,nouns,1.15
2388,кинематография,導演,nouns,1.23
2389,спектакль,客串角色,nouns,0.0
2390,галактика,天文學家,nouns,1.84
2391,мебель,床,nouns,2.62
2392,герцог,共和國,nouns,0.33
2393,снежный обвал,雪,nouns,2.08
2394,пряный,好,adjectives,0.39
2395,метр,碼,nouns,1.89
2396,гибкий,大,adjectives,0.04
2397,ложка,杯子,nouns,0.9
2398,локоть,骨頭,nouns,0.64
2399,песня,演員,nouns,0.55
2400,луч,陽光,nouns,1.02
2401,умный,狡猾,adjectives,2.07
2402,конфеты,肉桂,nouns,0.38
2403,доминировать,贏,verbs,1.07
2404,обои,背景,nouns,2.04
2405,затылок,尾巴,nouns,0.66
2406,всемогущество,霸權,nouns,0.33
2407,рука,肌肉,nouns,0.83
2408,туман,雲,nouns,1.35
2409,флот,島,nouns,0.35
2410,тема,書,nouns,0.51
2411,одинокий,貧窮,adjectives,0.15
2412,забывать,無視,verbs,2.28
2413,дерево,船,nouns,0.34
2414,металл,鋁,nouns,1.99
2415,книга,聖經,nouns,1.21
2416,мясо,牛扒,nouns,4.19
2417,проигрывать,失敗,verbs,1.36
2418,боулинг,保齡球選手,nouns,1.81
2419,обычный,難以置信,adjectives,0.1
2420,трудный,艱難,adjectives,4.92
2421,создатель,作者,nouns,4.07
2422,выручать,拯救,verbs,4.83
2423,обычно,真誠地,adverbs,0.28
2424,информировать,通知,verbs,4.93
2425,преступлениe,盜竊,nouns,2.83
2426,event,募捐活動,nouns,0.53
2427,ленивый,珍貴,adjectives,0.04
2428,камея,性能,nouns,0.0
2429,убеждать,嘗試,verbs,0.29
2430,прощать,赦免,verbs,3.44
2431,мать,爸爸,nouns,1.42
2432,блицкриг,攻擊,nouns,3.19
2433,женщина,妻子,nouns,2.13
2434,плотно,堅固地,adverbs,2.55
2435,жеребенок,馬,nouns,2.98
2436,значки,尊嚴,nouns,0.43
2437,иллюстрация,起泡,nouns,0.04
2438,спускаться,撤退,verbs,0.24
2439,масло,土豆,nouns,0.34
2440,фиалка,花朵,nouns,2.97
2441,дешевый,付得起,adjectives,1.6
2442,получать,抓住,verbs,0.53
2443,посредственный,好的,adjectives,0.44
2444,воля,意圖,nouns,1.45
2445,телевидение,演員,nouns,0.96
2446,требовать,拗撬,verbs,0.49
2447,монокультура,農業,nouns,1.16
2448,слушать,學習,verbs,0.53
2449,развитие,肥料,nouns,0.42
2450,слегка,明亮地,adverbs,0.14
2451,журнал,文章,nouns,1.88
2452,напоминать,賣,verbs,0.05
2453,следопыт,射手,nouns,0.34
2454,крупный,柔韌,adjectives,0.04
2455,выход,選舉權,nouns,0.04
2456,угол,地區,nouns,0.04
2457,шалость,槍,nouns,0.05
2458,покрывало,大風,nouns,0.0
2459,датчик,散熱器,nouns,0.56
2460,музыка,長笛,nouns,1.23
2461,объяснять,討論,verbs,0.96
2462,женщина,任務,nouns,0.04
2463,кровать,睡房,nouns,1.48
2464,необычный,罕見,adjectives,3.62
2465,коварный,靠不住的,adjectives,2.42
2466,продолжение,相機,nouns,0.04
2467,ребенок,成人,nouns,0.68
2468,воинственность,戰鬥,nouns,1.32
2469,офис,工作者,nouns,0.63
2470,цивилизация,生活方式,nouns,0.72
2471,выступ,山,nouns,0.5
2472,пациент,複診,nouns,0.47
2473,директор,老闆,nouns,4.21
2474,пассивно,靜靜地,adverbs,1.17
2475,дверь,地窖,nouns,0.39
2476,шея,脊柱,nouns,1.93
2477,регулярно,偶然,adverbs,0.28
2478,бесконечность,零,nouns,0.43
2479,племянник,阿姨,nouns,0.99
2480,уходящий,進來,adjectives,0.1
2481,готовить,混合,verbs,0.33
2482,значительный,次要,adjectives,0.18
2483,игнорировать,打印,verbs,0.0
2484,псалом,稻草,nouns,0.18
2485,думать,嘗試,verbs,0.52
2486,соединять,連接,verbs,0.91
2487,шея,骨頭,nouns,0.43
2488,бронхит,對乙酰氨基酚,nouns,0.4
2489,ребенок,女兒,nouns,1.6
2490,продаваться,賣,verbs,0.45
2491,облако,湖,nouns,0.33
2492,тюрьма,酒吧,nouns,0.04
2493,работа,工具,nouns,0.54
2494,берег,海灘,nouns,3.12
2495,класс,學校,nouns,0.73
2496,босс,董事,nouns,4.21
2497,мнение,選擇,nouns,1.01
2498,манера,方法,nouns,4.08
2499,бутерброд,午飯,nouns,1.01
2500,овца,羊肉,nouns,3.37
2501,мальчик,米飯,nouns,0.04
2502,сообщать,通知,verbs,4.93
2503,сталь,合金,nouns,2.59
2504,источник,盒子,nouns,0.04
2505,кошка,狗,nouns,0.52
2506,невероятно,緊緊地,adverbs,0.14
2507,атмосфера,污染,nouns,0.72
2508,сочинение,功課,nouns,1.92
2509,реальность,幻想,nouns,0.61
2510,нелегальный,合法,adjectives,0.19
2511,гладкий,尖,adjectives,0.05
2512,зима,季節,nouns,2.03
2513,корень,草,nouns,0.57
2514,рисование,暴動,nouns,0.04
2515,ужин,餐,nouns,3.06
2516,доказывать,解釋,verbs,2.95
2517,ходить,站立,verbs,0.28
2518,брат,兒子,nouns,0.81
2519,рот,鼻子,nouns,0.54
2520,монах,十字架,nouns,0.84
2521,мораль,傳說,nouns,0.34
2522,разрешать,反駁,verbs,0.05
2523,щёлкать,捏碎,verbs,2.45
2524,бейсбол,沙發,nouns,0.0
2525,анализировать,評估,verbs,4.03
2526,подчиняться,守規矩,verbs,3.38
2527,останавливаться,駕駛,verbs,0.1
2528,репутация,財富,nouns,0.15
2529,дождь,冰雹,nouns,1.01
2530,нуждающийся,缺乏信心,adjectives,0.23
2531,бутерброд,肉,nouns,0.44
2532,фотоаппарат,總統,nouns,0.1
2533,сделка,便士,nouns,0.19
2534,легальный,安全,adjectives,1.01
2535,курица,鳥,nouns,1.45
2536,деньги,資本,nouns,3.92
2537,приобретать,加入,verbs,0.1
2538,век,酒,nouns,0.04
2539,псалом,聖經,nouns,2.42
2540,выбор,意見,nouns,1.01
2541,рука,手腕,nouns,1.02
2542,ванна,妻子,nouns,0.04
2543,давать,收到,verbs,0.23
2544,ждать,暫停,verbs,0.8
2545,цунами,海,nouns,1.31
2546,галерея,律師,nouns,0.0
2547,эпоха,十,nouns,0.55
2548,намерение,意志,nouns,1.45
2549,шляпа,大褸,nouns,0.53
2550,роман,作家,nouns,0.72
2551,матка,蜜蜂,nouns,0.7
2552,дыра,妻子,nouns,0.0
2553,август,月,nouns,2.53
2554,крыша,天花板,nouns,2.79
2555,богатство,名譽,nouns,0.82
2556,задача,島,nouns,0.0
2557,слава,財富,nouns,0.82
2558,обязательство,約定,nouns,1.1
2559,отправить,發射,verbs,2.25
2560,занимать,賣,verbs,0.1
2561,покрывать,掩飾,verbs,3.27
2562,практически,必然,adverbs,0.72
2563,астрономический,大規模,adjectives,0.58
2564,организовывать,成為,verbs,0.24
2565,случаться,發生,verbs,2.63
2566,решающий,重要,adjectives,3.79
2567,зубы,鎚,nouns,0.1
2568,отрывать,裂開,verbs,2.12
2569,конечно,清楚地,adverbs,3.49
2570,шкаф,衣服,nouns,0.76
2571,углерод,原子,nouns,1.44
2572,кирпич,牆,nouns,0.91
2573,посредственный,悶,adjectives,2.6
2574,лгать,指控,verbs,0.19
2575,щедро,從未,adverbs,0.04
2576,гол,水平,nouns,0.32
2577,инструмент,小提琴,nouns,2.21
2578,доллар,人,nouns,0.0
2579,апельсин,柑橘,nouns,4.54
2580,джойстик,雷達,nouns,0.34
2581,возможно,樂觀地,adverbs,0.63
2582,футбол,有趣,nouns,0.73
2583,датчик,車,nouns,0.45
2584,известный,國民,adjectives,0.05
2585,инфекция,感染,nouns,3.04
2586,забывать,原諒,verbs,0.7
2587,сын,男孩子,nouns,2.37
2588,голодный,累,adjectives,0.53
2589,терять,保持,verbs,0.1
2590,парламент,國會,nouns,2.58
2591,слон,指南針,nouns,0.04
2592,твердый,强硬,adjectives,3.52
2593,высокомерный,自豪,adjectives,2.9
2594,опыление,蕊,nouns,1.1
2595,оружие,頭盔,nouns,1.37
2596,смутный,不清楚,adjectives,4.38
2597,звезда,明亮,nouns,1.97
2598,всплеск,粘性,nouns,0.2
2599,слышать,說話,verbs,0.24
2600,повседневно,一般,adverbs,4.07
2601,узкий,寬大,adjectives,0.14
2602,масло,貂,nouns,0.24
2603,верование,意見,nouns,0.85
2604,комфорт,安全,nouns,0.3
2605,слайд,光標,nouns,0.14
2606,соответствовать,不同,verbs,0.04
2607,состояние,男孩,nouns,0.04
2608,коридор,過道,nouns,4.0
2609,ученик,老師,nouns,0.91
2610,братство,門,nouns,0.0
2611,наставник,拉比,nouns,1.1
2612,диета,沙拉,nouns,0.63
2613,чужеземец,異族,nouns,3.73
2614,противоречить,搏鬥,verbs,0.25
2615,экзамен,教學大綱,nouns,0.84
2616,деньги,珍珠,nouns,0.38
2617,принцесса,島,nouns,0.0
2618,крайняя плоть,割禮,nouns,2.22
2619,синий,紅色,adjectives,0.14
2620,пенни,便宜貨,nouns,0.19
2621,амбар,屋,nouns,0.86
2622,сплав,鋼,nouns,2.59
2623,завладевать,攞,verbs,2.81
2624,гибкий,容易,adjectives,2.09
2625,пчела,螞蟻,nouns,1.02
2626,мех,女人,nouns,0.2
2627,ребенок,女孩,nouns,2.03
2628,глава,經理,nouns,3.6
2629,энтропия,信息,nouns,0.14
2630,честь,敬重,nouns,3.26
2631,терять,得到,verbs,0.04
2632,бревно,沖涼,nouns,0.0
2633,провозглашать,宣布,verbs,4.63
2634,снег,風暴,nouns,0.86
2635,говорить,承認,verbs,0.68
2636,просить,乞求,verbs,3.72
2637,самообладание,醫生,nouns,0.33
2638,помрачение,歇斯底里,nouns,2.13
2639,марихуана,草藥,nouns,2.24
2640,индейка,母雞,nouns,1.59
2641,фильм,戲,nouns,4.42
2642,оркестр,遊行,nouns,0.72
2643,отделяться,吸收,verbs,0.04
2644,сила тяжести,流星,nouns,0.38
2645,снег,雪崩,nouns,2.08
2646,грубо,容易地,adverbs,0.32
2647,предшествующее,過去,nouns,3.45
2648,глаз,眉頭,nouns,0.68
2649,койка,醫院,nouns,0.64
2650,признавать,通知,verbs,0.53
2651,справедливость,法庭,nouns,2.17
2652,реалистично,最近,adverbs,0.32
2653,автомобиль,運輸,nouns,1.04
2654,организованный,雜亂無章,verbs,0.04
2655,абзац,信,nouns,0.45
2656,население,人,nouns,2.9
2657,встретить,游泳,verbs,0.04
2658,официально,強烈地,adverbs,0.52
2659,карета,汽車,nouns,1.04
2660,бок,下面,nouns,0.38
2661,окно,屋頂,nouns,0.77
2662,воин,男人,nouns,1.2
2663,сиять,發光,verbs,4.03
2664,ступня,沙漠,nouns,0.04
2665,плавать,唱,verbs,0.05
2666,акустика,聲音,nouns,3.13
2667,ураган,暴風雨,nouns,3.83
2668,кровь,肉,nouns,0.78
2669,мчаться,匆忙,verbs,3.73
2670,раздражать,攻擊,verbs,0.04
2671,критика,爭論,nouns,1.73
2672,газета,資料,nouns,2.42
2673,форма,鈎織編織,nouns,0.2
2674,неуверенный,害怕,adjectives,0.93
2675,восстанавливать,代替,verbs,1.06
2676,притворяться,講大話,verbs,3.0
2677,яблоко,果汁,nouns,0.86
2678,запускать,发送,verbs,2.25
2679,отрицать,聲明放棄,verbs,3.42
2680,испуганный,緊張,adjectives,2.25
2681,просто,看來,adverbs,1.02
2682,печень,器官,nouns,2.27
2683,комната,單身牢房,nouns,0.82
2684,спорить,辯論,verbs,1.6
2685,клетка,柵欄,nouns,0.23
2686,прекрасный,攞命,adjectives,0.09
2687,выбирать,決定,verbs,1.21
2688,убегать,搵到,verbs,0.0
2689,молоток,牙,nouns,0.1
2690,автомобиль,廠,nouns,0.2
2691,коробка,電梯,nouns,0.39
2692,собирать,搖動,verbs,0.0
2693,твердо,緊緊,adverbs,2.55
2694,спокойно,巧妙的,adverbs,0.46
2695,колыбель,幼兒床,nouns,4.05
2696,толкать,責怪,verbs,0.23
2697,принимать,推介,verbs,0.25
2698,низ,上面,nouns,0.15
2699,обсуждать,拗撬,verbs,1.6
2700,острый,溫和,adjectives,0.0
2701,умножать,加,verbs,0.52
2702,сбор пожертвований,發展,nouns,0.09
2703,палуба,船,nouns,1.21
2704,вредоносные программы,蠕蟲,nouns,0.59
2705,кровь,骨髓,nouns,0.62
2706,диод,電容器,nouns,1.93
2707,соглашаться,不同意,verbs,0.14
2708,ужасный,偉大,adjectives,0.09
2709,известие,報紙,nouns,1.15
2710,тело,胸部,nouns,1.56
2711,дважды,總是,adverbs,0.18
2712,ружье,毛,nouns,0.1
2713,хлопок,聚酯纖維,nouns,0.38
2714,корица,糖果,nouns,0.38
2715,правонарушитель,罪犯,nouns,5.17
2716,ирис,乙酰膽鹼,nouns,0.0
2717,кушетка,床,nouns,3.42
2718,нечестный,真實,adjectives,0.04
2719,скрипка,樂器,nouns,2.21
2720,честный,內疚,adjectives,0.14
2721,идеально,現實地,adverbs,0.24
2722,продавать,提醒,verbs,0.05
2723,покидать,撤退,verbs,3.3
2724,узкий,寬廣,adjectives,0.18
2725,рука,靜脈,nouns,0.49
2726,принимать,原諒,verbs,0.97
2727,праздновать,使驚奇,verbs,0.15
2728,настроение,情感,nouns,2.74
2729,противоположный,獨特,adjectives,0.29
2730,потолок,大教堂,nouns,0.2
2731,туча,風暴,nouns,1.42
2732,плохой,不誠實,adjectives,1.1
2733,кролик,貓,nouns,0.97
2734,бейсбол,籃球,nouns,1.36
2735,наличные,錢,nouns,4.54
2736,обвинять,責怪,verbs,3.56
2737,горло,舌頭,nouns,0.9
2738,теория,化學,nouns,0.69
2739,рвать,穿,verbs,0.0
2740,мгла,雲,nouns,1.83
2741,запястье,手,nouns,2.88
2742,рис,男孩,nouns,0.04
2743,река,大海,nouns,1.49
2744,умереть,分化,verbs,0.35
2745,запирание,單身牢房,nouns,0.9
2746,стена,磚,nouns,0.91
2747,готовить,炒,verbs,1.06
2748,проваливать,成功,verbs,0.0
2749,облако,霧氣,nouns,2.42
2750,покрытый,穿著衣服的,adjectives,0.68
2751,приходящий,向外,adjectives,0.1
2752,соглашаться,拗撬,verbs,0.1
2753,пассивно,可靠地,adverbs,0.0
2754,наклон,座位,nouns,0.0
2755,спиртное,樂隊,nouns,0.15
2756,смеяться,唱,verbs,0.28
2757,триумф,勝利,nouns,4.48
2758,ужин,早餐,nouns,1.3
2759,захватить,抓住,verbs,2.78
2760,верх,下面,nouns,0.15
2761,праведно,成熟地,adverbs,0.43
2762,бревно,木材,nouns,3.18
2763,посредственный,壞,adjectives,0.6
2764,плоть,血液,nouns,0.78
2765,автомобиль,喇叭,nouns,0.54
2766,пустыня,沙丘,nouns,2.23
2767,кража,犯罪,nouns,2.83
2768,работа,管理,nouns,0.97
2769,спор,協議,nouns,0.34
2770,пианино,和聲,nouns,0.57
2771,умный,笨,adjectives,0.33
2772,кость,牙齒,nouns,1.65
2773,медбрат,科學家,nouns,0.1
2774,керамика,陶藝,nouns,3.59
2775,читать,理解,verbs,0.77
2776,патогенный микроорганизм,病菌,nouns,3.6
2777,витамин,鐵,nouns,0.54
2778,тренери,獎章,nouns,0.2
2779,бедный,自豪,adjectives,0.05
2780,бекон,肉,nouns,2.47
2781,остаток,差數,nouns,2.27
2782,кость,肌肉,nouns,0.48
2783,парень,女孩,nouns,0.37
2784,незрелый,長大,adjectives,0.1
2785,кипятить,炒,verbs,0.57
2786,двигатель,摩打,nouns,4.72
2787,эмоция,激情,nouns,2.19
2788,конец,章,nouns,0.15
2789,отличный,精彩,adjectives,4.14
2790,свобода,自由,nouns,5.37
2791,чудовище,惡魔,nouns,3.88
2792,домик,營地,nouns,0.78
2793,книга,文學,nouns,2.65
2794,забор,跳躍,nouns,0.3
2795,ударять,未打中,verbs,0.04
2796,двигаться,編織,verbs,0.0
2797,прояснять,說明,verbs,3.37
2798,мина,岩石,nouns,0.56
2799,приходить,到達,verbs,2.73
2800,нервный,害怕,adjectives,2.25
2801,дверь,門口,nouns,3.41
2802,молча,被動地,adverbs,1.17
2803,получать,實現,verbs,0.73
2804,путешествие,征服,nouns,0.09
2805,разрушать,創建,verbs,0.1
2806,гонка,週末,nouns,0.0
2807,гордый,膽大,adjectives,1.43
2808,трагедия,死亡,nouns,1.54
2809,господин,女士,nouns,1.31
2810,отстаивать,保護,verbs,3.77
2811,чай,檸檬,nouns,0.58
2812,море,三角洲,nouns,0.42
2813,вера,花,nouns,0.05
2814,жарить,煮,verbs,1.06
2815,бить,捏,verbs,0.67
2816,наставник,朋友,nouns,1.41
2817,красота,十四行詩,nouns,0.05
2818,благоразумно,明顯地,adverbs,0.29
2819,приветствовать,演出,verbs,0.55
2820,рисовать,創建,verbs,0.68
2821,птица,母雞,nouns,1.45
2822,мяч,籃子,nouns,0.49
2823,сельское хозяйство,單一耕作,nouns,1.16
2824,конечно,當然,adverbs,3.83
2825,контролировать,停止,verbs,0.53
2826,поездка,旅程,nouns,4.61
2827,бог,獵物,nouns,0.15
2828,теннис,統計資料,nouns,0.0
2829,чашка,匙羹,nouns,0.9
2830,деньги,現金,nouns,4.54
2831,кандидат,獲勝者,nouns,0.81
2832,компас,大象,nouns,0.04
2833,предрешать,努力,verbs,0.0
2834,удивлять,慶祝,verbs,0.15
2835,дядя,姨媽,nouns,0.78
2836,стена,裝飾,nouns,0.73
2837,движение,活動,nouns,2.87
2838,убежище,包裝紙,nouns,0.15
2839,понимать,聽,verbs,0.39
2840,исчезать,消失,verbs,4.92
2841,рис,雞,nouns,0.53
2842,грузовик,郵包,nouns,0.24
2843,лед,水,nouns,2.24
2844,ступня,頭,nouns,0.43
2845,позволять,走,verbs,0.1
2846,пить,吞,verbs,1.26
2847,сбережения,儲蓄者,nouns,0.9
2848,ловить,捕獲,verbs,2.78
2849,дышать,嗆,verbs,0.61
2850,книга,話題,nouns,0.4
2851,молоко,果汁,nouns,0.38
2852,область,角,nouns,0.04
2853,шторм,毯,nouns,0.0
2854,кость,膝蓋,nouns,1.05
2855,слово,頁,nouns,0.68
2856,палец,手掌,nouns,1.27
2857,клетка,鎖起來,nouns,0.9
2858,углевод,蔗糖,nouns,1.99
2859,лыжи,滑雪板,nouns,1.46
2860,хижина,避難所,nouns,1.02
2861,замерзать,發抖,verbs,0.7
2862,тайно,信心十足地,adverbs,0.0
2863,кисть,指甲,nouns,1.06
2864,нищенствовать,借,verbs,0.62
2865,тоннель,路徑,nouns,0.86
2866,обрезание,包皮,nouns,2.22
2867,признавать,說話,verbs,0.68
2868,комната,沖涼,nouns,1.02
2869,поэт,記者,nouns,0.39
2870,повязка,耐力,nouns,0.0
2871,свобода,自由,nouns,5.37
2872,рука,樹枝,nouns,0.15
2873,свежий,寬,adjectives,0.0
2874,ранимый,冷淡,adjectives,0.0
2875,рассвет,晚上,nouns,0.57
2876,курица,火雞,nouns,1.59
2877,утвердить,准許,verbs,3.08
2878,дантист,正牙醫生,nouns,4.62
2879,мальчик,兒子,nouns,2.37
2880,одежда,衣櫃,nouns,0.76
2881,машина,坦克,nouns,1.06
2882,змея,蜥蜴,nouns,0.91
2883,нетерпеливо,大致,adverbs,0.63
2884,комната,大厦,nouns,0.54
2885,скучный,刺激,adjectives,0.23
2886,цифра,細胞質,nouns,0.0
2887,отец,兒子,nouns,1.45
2888,трон,劍,nouns,0.1
2889,идти,發送,verbs,0.05
2890,широкий,新鮮,adjectives,0.0
2891,муравей,蒼蠅,nouns,0.71
2892,мозг,神經,nouns,1.04
2893,луковица,花朵,nouns,0.3
2894,уничтожить,腐爛,verbs,0.53
2895,якорь,船,nouns,0.77
2896,госпожа,先生,nouns,1.31
2897,добавлять,建立,verbs,0.57
2898,сад,軟管,nouns,0.45
2899,тело,血液,nouns,0.81
2900,бык,小牛,nouns,2.78
2901,арифметика,邏輯,nouns,1.88
2902,побеждать,完成,verbs,0.75
2903,размышлять,想,verbs,4.08
2904,приятель,朋友,nouns,4.08
2905,железо,維他命,nouns,0.54
2906,осуждать,拒絕,verbs,0.29
2907,создавать,建立,verbs,3.56
2908,сохранять,失去,verbs,0.1
2909,петля,帶,nouns,1.58
2910,тупой,醒目,adjectives,0.33
2911,самоуверенный,肯定,adjectives,3.34
2912,система,故障,nouns,0.1
2913,монета,付款,nouns,0.88
2914,наказывать,服從,verbs,0.24
2915,автомобиль,船,nouns,0.53
2916,микроб,病原,nouns,3.6
2917,после,之前,adverbs,0.04
2918,мята,口香糖,nouns,0.33
2919,расстояние,角度,nouns,0.68
2920,мозаика,教堂,nouns,0.15
2921,колледж,級數,nouns,0.49
2922,ненавидеть,蔑視,verbs,2.87
2923,шептать,說話,verbs,1.19
2924,грубо,大致,adverbs,0.97
2925,конечность,腿,nouns,2.73
2926,фраза,字,nouns,1.15
2927,страница,詞,nouns,0.68
2928,щедро,好心地,adverbs,2.83
2929,бедный,孤獨,adjectives,0.15
2930,младенец,成人,nouns,0.58
2931,мальчик,小孩,nouns,2.58
2932,пить,混合,verbs,0.1
2933,полицейский,警長,nouns,4.07
2934,начинать,走,verbs,0.15
2935,стейк,肉,nouns,4.19
2936,свобода,綠洲,nouns,0.1
2937,национальный,聞名,adjectives,0.05
2938,презирать,收費,verbs,0.15
2939,собирать,组织,verbs,1.78
2940,ужин,雞,nouns,0.43
2941,давать,偷,verbs,0.04
2942,странный,狡猾,adjectives,1.06
2943,сок,蘋果,nouns,0.86
2944,мода,風尚,nouns,3.0
2945,печь,炒,verbs,1.93
2946,удивительный,脏,adjectives,0.0
2947,проснуться,打鼻鼾,verbs,0.15
2948,официально,重要的,adverbs,0.81
2949,север,西方,nouns,0.2
2950,год,生日,nouns,1.16
2951,фонология,屏幕,nouns,0.0
2952,спорить,說服,verbs,1.08
2953,откладывать,完成,verbs,0.1
2954,шланг,汽車,nouns,0.49
2955,писатель,讀者,nouns,0.58
2956,цветок,忍耐力,nouns,0.04
2957,беспокойный,不耐煩,adjectives,3.03
