ID,CMN,EST,PoS,score
2189,昂贵,häbelik,adjectives,0.05
2190,木炭,kivisüsi,nouns,2.34
2191,演员,laulja,nouns,2.23
2192,世纪,kümnend,nouns,0.84
2193,美人,iga,nouns,0.58
2194,狭窄,räpane,adjectives,0.25
2195,精彩,ilus,adjectives,3.38
2196,侄子,tädi,nouns,0.73
2197,现实地,äsja,adverbs,0.15
2198,疯狂,rahul,adjectives,0.57
2199,联合,kombinatsioon,nouns,2.47
2200,谢绝,vastu võtma,verbs,0.48
2201,家伙,partner,nouns,2.08
2202,轻轻地,säravalt,adverbs,0.3
2203,策略家,skeemitaja,nouns,3.0
2204,英式足球,ameerika jalgpall,nouns,3.58
2205,清洁,plekitu,adjectives,4.61
2206,喝,segama,verbs,0.3
2207,动物,inimene,nouns,1.75
2208,橡木,vaher,nouns,1.83
2209,暴风雨,orkaan,nouns,3.17
2210,海滩,rannik,nouns,3.1
2211,嘴巴,hammas,nouns,0.87
2212,神职人员,munk,nouns,2.27
2213,章节,öö,nouns,0.05
2214,激进,vägivaldne,adjectives,2.13
2215,出租车,buss,nouns,1.84
2216,交付,võtma,verbs,0.44
2217,拒绝,ära ütlema,verbs,4.58
2218,保护,katma,verbs,1.24
2219,警告,peatuma,verbs,0.2
2220,发誓,lubama,verbs,3.6
2221,翻译者,võõras,nouns,0.68
2222,渴,näljane,adjectives,1.91
2223,薄荷,näts,nouns,0.72
2224,牛,lammas,nouns,1.58
2225,订婚,sõrmus,nouns,1.19
2226,绞刑,tapma,verbs,2.6
2227,攻击,äkkrünnak,nouns,3.73
2228,考试,õppekava,nouns,0.88
2229,段,lehekülg,nouns,1.35
2230,酸奶,kari,nouns,0.48
2231,发烧,haigus,nouns,2.24
2232,男孩,sõdur,nouns,1.54
2233,臭氧,atmosfäär,nouns,2.42
2234,老鼠,juhtkond,nouns,0.0
2235,拒绝,vastu võtma,verbs,0.53
2236,关闭,oksendama,verbs,0.0
2237,新娘,printsess,nouns,0.84
2238,轻微,täielikult,adverbs,0.6
2239,钱,sularaha,nouns,4.29
2240,距离,vaatenurk,nouns,0.48
2241,裙子,käekell,nouns,0.1
2242,宠物,kass,nouns,2.83
2243,频繁,ignorantne,adjectives,0.24
2244,卧室,jalgratas,nouns,0.05
2245,保持,laenama,verbs,0.25
2246,湖,pilv,nouns,0.24
2247,监狱,valik,nouns,0.24
2248,球拍,pall,nouns,0.73
2249,走,tulema,verbs,0.53
2250,毁灭,tapma,verbs,3.04
2251,祈祷,küsima,verbs,1.18
2252,赞成,lubama,verbs,3.76
2253,成功,proovima,verbs,0.83
2254,好斗,kõver,adjectives,0.34
2255,没打中,tabama,verbs,0.58
2256,女孩,kutt,nouns,0.64
2257,乘,jagama,verbs,0.63
2258,床,võrevoodi,nouns,3.54
2259,争论,õigustama,verbs,3.26
2260,焦躁不安,noor,adjectives,0.55
2261,弯曲,agressiivne,adjectives,0.34
2262,决定,valima,verbs,3.66
2263,古怪,veider,adjectives,5.62
2264,冬天,aastaeg,nouns,2.58
2265,狀師,advokaat,nouns,3.59
2266,羊,lambatall,nouns,4.18
2267,最近,realistlikult,adverbs,0.15
2268,早餐,õhtueine,nouns,0.96
2269,移动,lõimima,verbs,0.2
2270,老师,jänes,nouns,0.36
2271,鹰,lind,nouns,2.29
2272,蛋白质,käepide,nouns,0.0
2273,章,ots,nouns,0.05
2274,发现,uurima,verbs,2.86
2275,小心地,ettevaatlikult,adverbs,4.33
2276,压抑,loobuma,verbs,0.0
2277,税,sissetulek,nouns,0.72
2278,奇怪,kaval,adjectives,0.82
2279,罗盘,elevant,nouns,0.6
2280,科学,psühholoogia,nouns,2.5
2281,好,vürtsikas,adjectives,0.55
2282,座舱,kaaspiloot,nouns,0.87
2283,正牙医生,hambaarst,nouns,4.5
2284,乐队,orkester,nouns,3.6
2285,两次,alati,adverbs,0.0
2286,大夫,doktor,nouns,4.91
2287,察觉,kuulma,verbs,1.69
2288,说明,arutama,verbs,2.15
2289,私人的,avalik,adjectives,0.69
2290,房间,vann,nouns,0.39
2291,淫贱,räpane,adjectives,0.97
2292,碗,saba,nouns,0.0
2293,基本上,täielikult,adverbs,1.13
2294,猫,jänes,nouns,0.78
2295,眼睛,pisar,nouns,0.92
2296,得罪,solvama,verbs,3.01
2297,国境,piire,nouns,3.29
2298,尝试,mõtlema,verbs,0.73
2299,救,uppuma,verbs,0.45
2300,拇指,küüs,nouns,0.78
2301,黏,räpane,adjectives,1.32
2302,小亭,kast,nouns,0.55
2303,谨慎地,tähelepanelikult,adverbs,4.33
2304,折断,krõmpsutama,verbs,1.65
2305,臀部,huul,nouns,0.3
2306,最近,uus,adjectives,3.37
2307,脖子,käsi,nouns,0.54
2308,马,koer,nouns,0.86
2309,书,teema,nouns,1.38
2310,玩,kaklema,verbs,0.53
2311,不同意,nõustuma,verbs,0.43
2312,公共的,privaatne,adjectives,0.69
2313,查询,vajama,verbs,0.54
2314,选择,peatükk,nouns,0.45
2315,宽广,suur,adjectives,3.74
2316,听,tajuma,verbs,1.69
2317,混乱,klass,nouns,0.15
2318,被动地,usaldusväärselt,adverbs,0.2
2319,了解,kuulama,verbs,1.33
2320,教堂,koor,nouns,0.89
2321,募捐活动,üritus,nouns,1.08
2322,词,kirjandus,nouns,1.8
2323,上衣,müts,nouns,1.14
2324,电话,mobiiltelefon,nouns,4.32
2325,淹,päästma,verbs,0.45
2326,沙子,jalg,nouns,0.1
2327,灵活的,elastne,adjectives,3.88
2328,长,lühike,adjectives,0.34
2329,和平地,kaootiliselt,adverbs,0.25
2330,酒,kokteil,nouns,2.73
2331,发送,tooma,verbs,0.34
2332,允许,andma,verbs,1.7
2333,糖果,kaneel,nouns,0.49
2334,上面,põhi,nouns,0.49
2335,分子,maatriks,nouns,0.76
2336,參加,koostööd tegema,verbs,1.27
2337,选举,valik,nouns,2.92
2338,非常,imeliselt,adverbs,4.47
2339,喉咙,nina,nouns,0.74
2340,负责可靠地,iseseisvalt,adverbs,1.35
2341,酒吧,vangla,nouns,0.88
2342,电容器,diood,nouns,1.03
2343,手,ranne,nouns,1.95
2344,分子,aatom,nouns,1.98
2345,拥有,imenduma,verbs,0.68
2346,感情上,kurvalt,adverbs,1.3
2347,害羞,hirmunud,adjectives,1.3
2348,肉,leib,nouns,0.44
2349,擦亮,informeerima,verbs,0.0
2350,说谎,teesklema,verbs,2.49
2351,学费,stipendium,nouns,1.06
2352,参与,ütlema,verbs,0.35
2353,借,võlgnema,verbs,0.68
2354,容易地,umbes,adverbs,0.45
2355,溺爱,haistma,verbs,0.0
2356,枯燥,naljakas,adjectives,0.1
2357,讽刺,müüt,nouns,0.68
2358,离开,kohtuma,verbs,0.18
2359,涂抹,laotama,verbs,0.67
2360,不同,normaalne,adjectives,0.4
2361,手臂,säär,nouns,1.03
2362,流,triivima,verbs,1.85
2363,老师,õpilane,nouns,0.88
2364,替换,vahetus,nouns,4.12
2365,面包,jahu,nouns,1.46
2366,杜松子酒,viski,nouns,1.57
2367,价值,määr,nouns,3.01
2368,正牙医生,arst,nouns,3.42
2369,捏,lööma,verbs,0.93
2370,马,mära,nouns,3.22
2371,坠落,haiget tegema,verbs,1.02
2372,统治者,kuningas,nouns,4.75
2373,信用,laenaja,nouns,1.26
2374,女人,abikaasa (naine),nouns,3.4
2375,能力,pädevus,nouns,4.7
2376,浪费,muretsema,verbs,0.15
2377,聚集,osalema,verbs,1.08
2378,土豆,või,nouns,0.64
2379,知道,aru saama,verbs,3.09
2380,山谷,kanjon,nouns,3.9
2381,史学家,ajaloolane,nouns,5.42
2382,智力,loogika,nouns,2.69
2383,法官,kohus,nouns,1.21
2384,木,tekk,nouns,0.05
2385,数字,tsütoplasma,nouns,0.05
2386,遇见,ujuma,verbs,0.0
2387,抖动,segama,verbs,2.06
2388,收缩,vähendama,verbs,2.94
2389,一餐,vöökoht,nouns,0.15
2390,夏天,talv,nouns,0.6
2391,花园,voolik,nouns,0.45
2392,大教堂,lagi,nouns,0.55
2393,管理,administratsioon,nouns,3.96
2394,使满意,nõustuma,verbs,1.45
2395,缺席,kohalolek,nouns,0.54
2396,必然,põhiliselt,adverbs,0.78
2397,选择,noppima,verbs,2.88
2398,跑,sõitma,verbs,0.58
2399,艰难,keeruline,adjectives,4.47
2400,航空学,lennuseadmeteadus,nouns,3.04
2401,保留,hoidma,verbs,3.54
2402,探路者,vibukütt,nouns,0.43
2403,手,küüs,nouns,0.83
2404,离开,ootama,verbs,0.28
2405,肘,pahkluu,nouns,0.88
2406,主机板,süsteemiplaat,nouns,3.38
2407,放,riputama,verbs,1.26
2408,沼泽,järv,nouns,0.68
2409,签证,globalism,nouns,0.86
2410,房间,kong,nouns,2.04
2411,也许,tõenäoliselt,adverbs,3.37
2412,普通,kummaline,adjectives,0.39
2413,怪诞,kummaline,adjectives,5.02
2414,牙齿,suu,nouns,0.87
2415,捏碎,naksama,verbs,1.65
2416,真实,võlts,adjectives,0.39
2417,盒子,putka,nouns,0.55
2418,资产,aktsia,nouns,2.72
2419,单种栽培,põllumajandus,nouns,1.44
2420,棉,polüester,nouns,1.0
2421,多面体,näitleja,nouns,0.15
2422,批评,ebaviisakas,adjectives,0.92
2423,联合,suhkruroog,nouns,0.45
2424,望远镜,ajurünnak,nouns,0.0
2425,困难,lihtne,adjectives,0.37
2426,枪,karusnahk,nouns,0.3
2427,二极管,kondensaator,nouns,1.03
2428,汽车,automobiil,nouns,5.41
2429,汽车,voolik,nouns,0.24
2430,便宜,soodne,adjectives,4.5
2431,极好,imeline,adjectives,3.67
2432,装饰,ümbrik,nouns,0.57
2433,没用过,uus,adjectives,3.97
2434,裂开,eraldama,verbs,3.14
2435,离开,sisenema,verbs,0.43
2436,注意,teadlikkus,nouns,2.67
2437,云,torm,nouns,1.06
2438,花,põõsas,nouns,1.02
2439,晚餐,supp,nouns,0.97
2440,自豪,ülbe,adjectives,3.0
2441,诗人,ajakirjanik,nouns,0.7
2442,抽屉,riided,nouns,0.55
2443,死亡,tragöödia,nouns,2.08
2444,选举,tagasi lükkama,verbs,0.45
2445,宽广,kitsas,adjectives,0.24
2446,猴子,kampaania,nouns,0.05
2447,门口,uks,nouns,3.32
2448,雪茄,karp,nouns,0.29
2449,卧室,kõht,nouns,0.1
2450,冷,tavaline,adjectives,0.2
2451,木,kivi,nouns,0.6
2452,瓶子,plekkpurk,nouns,1.92
2453,电脑,masin,nouns,2.31
2454,手,jalg,nouns,0.97
2455,学生,professor,nouns,0.69
2456,强度,vastupidavus,nouns,2.63
2457,错误,täpne,adjectives,0.34
2458,天气,lumi,nouns,1.56
2459,灾难,surm,nouns,1.94
2460,完成,lõpetama,verbs,2.08
2461,台风,tsüklon,nouns,3.09
2462,死,matma,verbs,1.49
2463,血液,liha,nouns,0.68
2464,男孩,vend,nouns,2.04
2465,教室,koridor,nouns,0.58
2466,走,saatma,verbs,0.39
2467,骨髓,veri,nouns,0.78
2468,掩饰,katma,verbs,3.25
2469,最佳,viies,adjectives,0.39
2470,段,täht,nouns,0.44
2471,妻子,kõrs,nouns,0.09
2472,律师,jurist,nouns,3.59
2473,学习,unustama,verbs,0.25
2474,品质,vihmavari,nouns,0.1
2475,乘法,jagamine,nouns,1.16
2476,选择,arvamus,nouns,1.1
2477,代替,taastama,verbs,0.3
2478,酒,vein,nouns,3.06
2479,减少,laskuma,verbs,0.64
2480,混乱,anarhia,nouns,2.96
2481,部,sultan,nouns,0.1
2482,行为主义,teraapia,nouns,0.5
2483,假,päris,adjectives,0.39
2484,道德,legend,nouns,0.35
2485,量,suurus,nouns,2.88
2486,给予,laenama,verbs,2.49
2487,取得,omandama,verbs,3.93
2488,拿,saama,verbs,1.67
2489,负面地,ebaloomulikult,adverbs,0.59
2490,日期,kalender,nouns,2.42
2491,下面,ülaosa,nouns,0.49
2492,当然,ilmselgelt,adverbs,2.86
2493,危险,tõbi,nouns,0.57
2494,扭曲,kõver,adjectives,3.98
2495,简单,kange,adjectives,0.14
2496,说话,sosistama,verbs,2.6
2497,毁灭,looma,verbs,0.48
2498,旅行,teekond,nouns,4.45
2499,飞行,lennundus,nouns,2.4
2500,好心地,lahkelt,adverbs,4.12
2501,演出,au andma,verbs,0.15
2502,总是,kaks korda,adverbs,0.0
2503,猎鹰,kotkas,nouns,2.49
2504,枪,seersant,nouns,0.54
2505,泡,seebivaht,nouns,3.06
2506,男人,abikaasa (mees),nouns,3.25
2507,解决,lõpetama,verbs,2.17
2508,玻璃,kristall,nouns,1.51
2509,伤心地,emotsionaalselt,adverbs,1.3
2510,秒,minut,nouns,1.9
2511,松动,paindlik,adjectives,1.81
2512,正文,raamat,nouns,2.33
2513,很少地,tavaliselt,adverbs,0.48
2514,离开,ignoreerima,verbs,1.03
2515,副驾驶,võmm,nouns,0.2
2516,脖子,luu,nouns,0.54
2517,大笑,laulma,verbs,0.2
2518,幻想,reaalsus,nouns,1.0
2519,美丽地,elegantselt,adverbs,3.29
2520,头,küüs,nouns,0.25
2521,哥哥,poeg,nouns,0.86
2522,爆玉米花,kino,nouns,0.78
2523,洞,abikaasa (naine),nouns,0.37
2524,争论,nõudma,verbs,0.89
2525,焦急地,närviliselt,adverbs,4.26
2526,任务,maantee,nouns,0.1
2527,治疗,biheiviorism,nouns,0.5
2528,弯曲,nurk,nouns,1.25
2529,直升机,lennuk,nouns,2.27
2530,强调,lõdvestunud,adjectives,0.3
2531,一次,otsekohe,adverbs,0.05
2532,锡,metall,nouns,2.71
2533,毁灭,lagunema,verbs,2.27
2534,汽车,sild,nouns,0.39
2535,声望,jõukus,nouns,1.02
2536,蛇,sisalik,nouns,1.46
2537,奖励,makse,nouns,0.39
2538,律师,prokurör,nouns,1.63
2539,认真地,siiralt,adverbs,2.41
2540,圣歌,kõrs,nouns,0.0
2541,留,saama,verbs,0.04
2542,审查,vabadus,nouns,0.24
2543,发展,korjandus,nouns,0.29
2544,保留,hävitama,verbs,0.24
2545,人,õhupall,nouns,0.1
2546,整齐,puhas,adjectives,2.45
2547,阳光,õun,nouns,0.29
2548,面具,pidu,nouns,0.54
2549,钥匙,lukk,nouns,1.16
2550,羞耻,ärritunud,adjectives,0.24
2551,圣人,patune,nouns,0.45
2552,经常,vahepeal,adverbs,1.44
2553,态度,kindlus,nouns,1.04
2554,电池,energia,nouns,1.77
2555,创造者,autor,nouns,4.65
2556,通知,portreteerima,verbs,0.1
2557,脸颊,keel,nouns,0.5
2558,人类学,arheoloogia,nouns,1.16
2559,手术,süda,nouns,0.39
2560,争论,kokkulepe,nouns,0.72
2561,人,rahvastik,nouns,2.77
2562,异常,kummaliselt,adverbs,4.21
2563,牛仔裤,naine,nouns,0.2
2564,屋顶,põrand,nouns,0.55
2565,不显眼地,otseloomulikult,adverbs,0.43
2566,契约,kokkulepe,nouns,4.72
2567,课程,kõht,nouns,0.05
2568,门,koridor,nouns,0.98
2569,身体,selgroog,nouns,1.48
2570,蔑视,laadima,verbs,0.0
2571,谴责,tagasi lükkama,verbs,0.54
2572,疯,pöörane,adjectives,4.99
2573,大多,põhiliselt,adverbs,3.9
2574,真实地,perfektselt,adverbs,0.48
2575,好斗,lahing,nouns,2.25
2576,不公平,ausalt,adverbs,0.43
2577,铅笔,lugu,nouns,0.39
2578,暴力,radikaalne,adjectives,2.13
2579,岛,poolsaar,nouns,3.17
2580,某些,närviline,adjectives,0.15
2581,新闻,meedium,nouns,1.79
2582,编织,liikuma,verbs,0.2
2583,历史学家,ajaloouurija,nouns,5.42
2584,关键地,põhiliselt,adverbs,0.53
2585,促进,edendama,verbs,2.37
2586,成年人,eestkostja,nouns,2.47
2587,手,pöial,nouns,0.93
2588,沙文主义,eelarvamus,nouns,1.19
2589,血液,üdi,nouns,0.78
2590,忽略,printima,verbs,0.0
2591,孩子气,juhm,adjectives,2.25
2592,游标,kiibid,nouns,0.24
2593,陶瓷,pottsepatöö,nouns,2.93
2594,混合,lahustama,verbs,0.57
2595,工作,juhtkond,nouns,0.97
2596,耐力,jõud,nouns,2.63
2597,想像,teesklema,verbs,0.84
2598,加,korrutama,verbs,0.82
2599,肉,peekon,nouns,3.04
2600,篮球,pesapall,nouns,1.02
2601,学校,klass,nouns,1.35
2602,收入,maks,nouns,0.72
2603,抱怨,vaidlema,verbs,1.59
2604,砖,sein,nouns,0.92
2605,搏斗,mängima,verbs,0.53
2606,庆祝,tseremoonia,nouns,2.88
2607,布料,riided,nouns,1.83
2608,大声地,pööraselt,adverbs,2.41
2609,毯子,voodi,nouns,0.65
2610,收到,püüdma,verbs,0.98
2611,派对,rahvas,nouns,0.58
2612,作者,lugeja,nouns,0.68
2613,防御,kaitsma,verbs,4.3
2614,奇怪,imelik,adjectives,5.57
2615,存在,võitja,nouns,0.35
2616,媒介,uudised,nouns,1.79
2617,给,ära tõukama,verbs,0.15
2618,钱,kapital,nouns,3.58
2619,猫,lõvi,nouns,1.35
2620,喉,keel,nouns,1.01
2621,作家,anne,nouns,0.3
2622,争论,ratsionaliseerima,verbs,1.69
2623,温和,terav,adjectives,0.15
2624,优胜者,kohalolek,nouns,0.35
2625,红酒,alkohol,nouns,3.06
2626,无知,regulaarne,adjectives,0.24
2627,分钟,sekund,nouns,1.9
2628,世纪,aasta,nouns,1.8
2629,元,rahvas,nouns,0.05
2630,决定,kohut mõistma,verbs,2.75
2631,胜利,triumf,nouns,4.67
2632,高兴,pöörane,adjectives,0.57
2633,争论,kaebama,verbs,1.59
2634,音乐,flööt,nouns,1.15
2635,贫穷,üksildane,adjectives,0.48
2636,火鸡,kana,nouns,1.89
2637,电影,televisioon,nouns,2.33
2638,甲板,põrand,nouns,1.73
2639,骨头,lõug,nouns,1.32
2640,盒子,lift,nouns,0.15
2641,河,org,nouns,1.52
2642,未成熟的,täiskasvanud,adjectives,0.38
2643,算术,rütm,nouns,0.7
2644,新,värske,adjectives,4.0
2645,航空电子学,lennundus,nouns,3.04
2646,无辜,vaba,adjectives,0.6
2647,讨厌,kritiseerima,verbs,0.82
2648,日历,kuupäev,nouns,2.42
2649,实现,proovima,verbs,0.96
2650,房间,voodi,nouns,0.39
2651,听见,rääkima,verbs,0.57
2652,国王,prints,nouns,1.95
2653,沙漠,luide,nouns,2.11
2654,必须,ebavajalik,adjectives,0.34
2655,锁,võti,nouns,1.16
2656,诈骗,kuritegu,nouns,3.11
2657,跳跃,aed,nouns,0.45
2658,便宜,taskukohane,adjectives,3.5
2659,天神,hing,nouns,0.4
2660,无形,amorfne,adjectives,3.32
2661,种子,sinep,nouns,0.83
2662,大,ulatuslik,adjectives,3.74
2663,启,algama,verbs,4.28
2664,衣服,kalts,nouns,1.83
2665,心灵,kehatu,adjectives,3.12
2666,发炎,tõbi,nouns,2.91
2667,厂,auto,nouns,0.34
2668,雕塑,kuju,nouns,5.03
2669,肥皂泡沫,mull,nouns,3.06
2670,音乐,meloodia,nouns,3.27
2671,珍贵,püha,adjectives,1.98
2672,罐,pudel,nouns,1.92
2673,紧紧地,uskumatult,adverbs,0.2
2674,传说,moraal,nouns,0.35
2675,忘记,õppima,verbs,0.25
2676,立方体,mänguasi,nouns,0.44
2677,游戏,trikk,nouns,1.17
2678,人,dollar,nouns,0.05
2679,脏,hämmastav,adjectives,0.25
2680,瞇,jõllitama,verbs,0.83
2681,进入,minema,verbs,1.15
2682,坏,süüdi,adjectives,0.74
2683,肉桂,komm,nouns,0.49
2684,印象,uskumus,nouns,0.79
2685,电梯,auto,nouns,0.35
2686,得到,ostma,verbs,1.41
2687,雪崩,lumi,nouns,1.61
2688,奇特地,hämmastavalt,adverbs,3.79
2689,岛,merevägi,nouns,0.24
2690,目前,äsja,adverbs,3.44
2691,候选人,võitja,nouns,1.69
2692,发动机,kolb,nouns,1.44
2693,球,kostüüm,nouns,0.74
2694,母亲,eestkostja,nouns,2.25
2695,马,härg,nouns,0.88
2696,捕获,püüdma,verbs,4.11
2697,山羊,lehm,nouns,0.78
2698,沉重,kuhjatud,adjectives,1.02
2699,忍耐力,lill,nouns,0.38
2700,工作者,kontor,nouns,0.53
2701,遇见,jätma,verbs,0.18
2702,合作伙伴,poiss,nouns,1.07
2703,案件,riistvara,nouns,0.29
2704,种族,nädalavahetus,nouns,0.0
2705,蚂蚁,mesilane,nouns,0.78
2706,粗糙,kole,adjectives,0.57
2707,带来,kaebama,verbs,0.14
2708,手臂,põlv,nouns,0.68
2709,肚子,vöökoht,nouns,2.54
2710,词性变化,nakkus,nouns,0.0
2711,证明,seletama,verbs,2.83
2712,监护人,täiskasvanu,nouns,2.47
2713,紧张,hirmunud,adjectives,2.05
2714,说,väljendama,verbs,3.33
2715,交换,asendus,nouns,4.12
2716,举起,tõstatama,verbs,2.88
2717,毯,iil,nouns,0.25
2718,中性,otsustamata,adjectives,1.02
2719,皇帝,põhiseadus,nouns,0.45
2720,年,sünnipäev,nouns,0.92
2721,获胜者,kandidaat,nouns,1.69
2722,洗,loputama,verbs,3.97
2723,沙发,tool,nouns,1.94
2724,才能,võimekus,nouns,4.7
2725,大主教,piiskop,nouns,4.08
2726,看来,lihtsalt,adverbs,1.2
2727,宫殿,pilvelõhkuja,nouns,0.78
2728,紧密地,kohalikult,adverbs,0.84
2729,钟,torn,nouns,0.97
2730,依赖,tuginema,verbs,3.44
2731,牛扒,kana,nouns,0.49
2732,无家可归,miljardär,nouns,0.4
2733,姊妹,vend,nouns,1.65
2734,收费,põlgama,verbs,0.0
2735,允许,laskma,verbs,3.53
2736,争论,tõestama,verbs,1.92
2737,友好,seltskondlik,adjectives,1.44
2738,身体,rind,nouns,1.95
2739,宪法,senat,nouns,0.86
2740,加剧,ründama,verbs,0.83
2741,棒球,korporatsioon,nouns,0.1
2742,鳟鱼,kitarr,nouns,0.0
2743,年轻,õnnelik,adjectives,0.45
2744,拒绝,aktsepeerima,verbs,0.15
2745,自信,suhtumine,nouns,1.04
2746,女人,mees,nouns,0.73
2747,电动机,paat,nouns,0.43
2748,大致地,kergelt,adverbs,0.45
2749,管理,amet,nouns,0.97
2750,棉,sviiter,nouns,0.92
2751,疾病,palavik,nouns,2.24
2752,小麦粉,leib,nouns,1.46
2753,当然,kahtlemata,adverbs,3.79
2754,建议,soovitama,verbs,4.3
2755,人,loom,nouns,1.75
2756,明亮,täht,nouns,0.83
2757,肺,maks,nouns,0.87
2758,仁慈地,kenasti,adverbs,4.12
2759,窗口,pahkluu,nouns,0.0
2760,自然地,vaikselt,adverbs,0.73
2761,拒绝,valima,verbs,0.45
2762,脚,pea,nouns,0.54
2763,活动,liikumine,nouns,2.71
2764,走廊,uks,nouns,0.98
2765,行动,suund,nouns,0.83
2766,吉他,viiul,nouns,0.97
2767,拿,varastama,verbs,1.5
2768,外套,sviiter,nouns,2.4
2769,友善,helde,adjectives,2.91
2770,云,vine,nouns,1.95
2771,丈夫,mees,nouns,3.25
2772,甲板,paat,nouns,0.67
2773,僧侣,preester,nouns,2.27
2774,抓住,vabastama,verbs,0.54
2775,农业,taim,nouns,1.34
2776,尝试,saavutama,verbs,0.96
2777,自由,tsensuur,nouns,0.24
2778,衬衣,kampsun,nouns,1.38
2779,惩罚,õpetama,verbs,0.38
2780,门,ukseava,nouns,3.32
2781,手表,seelik,nouns,0.1
2782,成长,kahanema,verbs,0.39
2783,稍后,mitte kunagi,adverbs,0.14
2784,皮炎,ekseem,nouns,3.13
2785,黎明,relv,nouns,0.05
2786,保留,unustama,verbs,0.39
2787,可怕,kurb,adjectives,0.73
2788,真实地,oluliselt,adverbs,0.5
2789,地窖,uks,nouns,0.68
2790,字母,pastakas,nouns,0.3
2791,自信,kindel,adjectives,3.15
2792,假日,kalender,nouns,0.83
2793,智力,ignorantsus,nouns,0.3
2794,鼻子,kõri,nouns,0.74
2795,电影,teater,nouns,1.5
2796,忙碌,laisk,adjectives,0.2
2797,规则,tava,nouns,2.97
2798,发现,pärinema,verbs,0.34
2799,碗,taldrik,nouns,2.11
2800,人造,võlts,adjectives,3.55
2801,星系,rakendus,nouns,0.1
2802,寻求,eesmärk,nouns,1.25
2803,按下,vabastama,verbs,0.2
2804,这里,nüüd,adverbs,1.9
2805,樱桃,maasikas,nouns,1.32
2806,眼泪,silm,nouns,0.92
2807,首词,süntaks,nouns,0.72
2808,陶艺,keraamika,nouns,2.93
2809,磨坊,seeme,nouns,0.64
2810,家牛,jogurt,nouns,0.48
2811,腿,käsivars,nouns,1.03
2812,胎压计,auto,nouns,0.73
2813,概念,uskumus,nouns,1.58
2814,市长,president,nouns,1.65
2815,无礼,kriitiline,adjectives,0.92
2816,重新安葬,hauakamber,nouns,0.82
2817,牙医,ortodont,nouns,4.5
2818,本地,ilmselgelt,adverbs,0.05
2819,发现,taipama,verbs,3.56
2820,想,proovima,verbs,0.73
2821,婚外,ebakohane,adjectives,1.42
2822,续集,kaamera,nouns,0.1
2823,丑陋,toores,adjectives,0.57
2824,发展,väetis,nouns,0.97
2825,哨兵,mees,nouns,1.65
2826,除,lisama,verbs,0.38
2827,喝醉,kaine,adjectives,0.39
2828,甘蔗,kombain,nouns,0.45
2829,咬,lugema,verbs,0.1
2830,老鼠,konteiner,nouns,0.2
2831,语言,suhtlus,nouns,1.22
2832,同意,heameelt tegema,verbs,1.45
2833,说,osalema,verbs,0.35
2834,湿疹,dermatiit,nouns,3.13
2835,不定期地,tavaliselt,adverbs,0.43
2836,定义,sõnaraamat,nouns,1.27
2837,主板,emaplaat,nouns,3.38
2838,脚,käsi,nouns,0.97
2839,有时候,tihti,adverbs,1.44
2840,离开,jääma,verbs,0.34
2841,年级,kool,nouns,1.35
2842,编剧,televisioon,nouns,0.88
2843,芝士,leib,nouns,0.79
2844,鸡,steik,nouns,0.49
2845,雪,laviin,nouns,1.61
2846,章,valik,nouns,0.45
2847,酸,alus,nouns,0.64
2848,成为,tegema,verbs,1.89
2849,门,kohalolek,nouns,0.2
2850,温和,keskmine,adjectives,3.95
2851,保持,andma,verbs,0.34
2852,理解,taipama,verbs,4.68
2853,散热器,andur,nouns,0.28
2854,愤怒,pettumus,nouns,2.28
2855,信念,konseptsioon,nouns,1.58
2856,猛烈地,kurvalt,adverbs,0.39
2857,确定,kindel,adjectives,5.04
2858,简单,raske,adjectives,0.29
2859,伞,kaliiber,nouns,0.1
2860,步行,lonkama,verbs,2.42
2861,贡献,pakkumine,nouns,2.21
2862,显然,kohalikult,adverbs,0.05
2863,拿,hankima,verbs,2.88
2864,工作者,tööandja,nouns,0.83
2865,组合,liit,nouns,2.47
2866,学习,harima,verbs,2.54
2867,接受,tunnistama,verbs,3.29
2868,客串角色,etteaste,nouns,0.45
2869,失去,saama,verbs,0.28
2870,草原,niit,nouns,4.21
2871,步行,seisma,verbs,0.43
2872,开始,lõpetama,verbs,0.3
2873,安全地,ettevaatlikult,adverbs,3.08
2874,停,hoiatama,verbs,0.2
2875,骨头,käsi,nouns,0.88
2876,粘性,plärtsatus,nouns,0.15
2877,军士,relv,nouns,0.54
2878,社会生物学,mutant,nouns,0.57
2879,狭窄,valge,adjectives,0.28
2880,书,piibel,nouns,1.93
2881,竞争,lõpetama,verbs,0.2
2882,弯曲,sirge,adjectives,0.39
2883,天神,preester,nouns,0.83
2884,打破,pragunema,verbs,1.9
2885,哲学家,võidusõit,nouns,0.0
2886,马,täkkvarss,nouns,3.38
2887,认识到,avastama,verbs,3.56
2888,出席,vaidlema,verbs,0.19
2889,通常,igapäevaselt,adverbs,3.44
2890,从不,harva,adverbs,1.54
2891,商业,tööstus,nouns,1.51
2892,傻,loll,adjectives,4.98
2893,宽大,kitsas,adjectives,0.39
2894,相信,tundma,verbs,1.16
2895,短小,kääbuskasvu,adjectives,3.27
2896,放走,püüdma,verbs,0.54
2897,海报,paber,nouns,1.75
2898,圣歌,vallutus,nouns,0.15
2899,款待,maksma,verbs,0.24
2900,重要,ülioluline,adjectives,4.32
