ID,ENG,SWA,PoS,score
2173,engagement,uchumba,nouns,0.85
2174,openly,wazi,adverbs,0.1
2175,fence,uzio,nouns,0.0
2176,judge,kuhukumu,verbs,2.21
2177,seem,kujifanya,verbs,0.84
2178,capture,kudaka,verbs,3.8
2179,stir,koroga,verbs,1.77
2180,ask,kusihi,verbs,2.04
2181,owe,kuingia,verbs,0.0
2182,violin,chombo,nouns,1.59
2183,drip,dondoka,verbs,0.89
2184,calmly,kwa utulivu,adverbs,2.38
2185,monarchy,ufalme,nouns,0.96
2186,ceiling,kanisa kuu,nouns,0.1
2187,coal,makaa,nouns,3.15
2188,show,onyesha,nouns,0.0
2189,softly,kwa ulaini,adverbs,0.0
2190,man,mwanamke,nouns,0.41
2191,believe,kukubali,verbs,1.95
2192,trick,mchezo,nouns,0.59
2193,gun,manyoya,nouns,0.0
2194,intelligence,mantiki,nouns,2.79
2195,often,mara nyingi,adverbs,0.12
2196,put,kuning'inia,verbs,0.43
2197,actor,mwigaji,nouns,0.14
2198,happiness,furaha,nouns,0.14
2199,homeless,wasio na makazi,nouns,0.27
2200,bicycle,gari,nouns,0.79
2201,angry,mjeuri,adjectives,1.48
2202,south,kaskazini,nouns,0.36
2203,song,wimbo,nouns,0.44
2204,adult,mlezi,nouns,1.72
2205,attach,kubandika,verbs,0.04
2206,miss,kukosa,verbs,0.0
2207,goal,mshindi,nouns,0.21
2208,oat,ngano,nouns,0.0
2209,destroy,kuumba,verbs,0.09
2210,task,njia kuu,nouns,0.1
2211,bad,mbovu,adjectives,5.0
2212,appear,kuondoka,verbs,0.44
2213,narrow,nyembamba,adjectives,2.18
2214,strange,wa kigeni,adjectives,4.74
2215,supporter,msaidizi,nouns,0.0
2216,task,kazi,nouns,4.31
2217,straw,nyimbo,nouns,0.0
2218,tunnel,shimo,nouns,0.27
2219,meal,kiuno,nouns,0.0
2220,illusion,uhalisi,nouns,0.17
2221,righteously,kwa ,adverbs,0.39
2222,lend,kudaiwa,verbs,0.29
2223,philosopher,mphilisophia,nouns,0.0
2224,pick,chagua,verbs,5.17
2225,easily,kiurahisi,adverbs,0.05
2226,meat,nyama,nouns,2.75
2227,verify,kutetea,verbs,0.65
2228,try,kufanikiwa,verbs,0.83
2229,dumb,mkubwa mno,adjectives,0.04
2230,arm,mguu,nouns,1.11
2231,newspaper,taarifa,nouns,1.51
2232,management,panya,nouns,0.0
2233,drawer,nguo,nouns,0.51
2234,mutant,jitu,nouns,0.0
2235,head,bega,nouns,0.86
2236,organize,kuandaa,verbs,4.59
2237,flower,chavua,nouns,1.23
2238,partner,mvulana,nouns,0.17
2239,soldier,mwanajeshi,nouns,0.1
2240,please,kusihi,verbs,0.51
2241,ashamed,mwenye kiasi,adjectives,0.12
2242,keep,kupa,verbs,0.1
2243,wait,kusubiri,verbs,2.02
2244,year,mwaka,nouns,0.67
2245,violent,kigomvi,adjectives,0.0
2246,plant,mmea,nouns,1.46
2247,nihilism,kutoamini dini,nouns,0.0
2248,rhythm,hesabu,nouns,0.0
2249,ancient,mpya,adjectives,0.14
2250,remark,kutoa maoni,verbs,0.71
2251,disembodied,nje ya mwili,adjectives,0.79
2252,acoustics,akustik,nouns,3.0
2253,author,muumbaji,nouns,3.04
2254,drift,kuteleza,verbs,0.94
2255,maker,muumbaji,nouns,5.27
2256,offend,kukashifu,verbs,3.95
2257,sticky,natanata,adjectives,0.52
2258,factory,gari,nouns,0.05
2259,teacher,mkufunzi,nouns,4.32
2260,grow,kupungua,verbs,0.09
2261,achieve,kufanikiwa,verbs,3.05
2262,population,watu,nouns,2.87
2263,neurosis,ugonjwa wa neurosis,nouns,0.93
2264,add,kuzidisha,verbs,0.73
2265,spoon,kikombe,nouns,0.69
2266,house,fleti,nouns,3.38
2267,island,jukumu,nouns,0.0
2268,sad,wa kuchekesha,adjectives,0.17
2269,pray,kuwasiliana,verbs,0.49
2270,president,mwanasiasa,nouns,2.84
2271,deny,kupa,verbs,0.05
2272,hungry,kua na njaa ,adjectives,0.63
2273,rabbit,paka,nouns,0.51
2274,explore,kupuuza,verbs,0.05
2275,bus,teksi,nouns,1.74
2276,go,kutuma,verbs,0.21
2277,surely,hakika,adverbs,1.74
2278,here,papa hapa,adverbs,1.56
2279,buy,kununua,verbs,1.91
2280,stay,kubaki,verbs,2.02
2281,inaccurately,si kwa usahihi,adverbs,0.04
2282,bottom,juu,nouns,0.26
2283,leave,kuzurura,verbs,0.46
2284,meter,inchi,nouns,1.44
2285,judge,hakimu,verbs,0.54
2286,strawberry,strouberi,nouns,1.33
2287,chorus,kiitiko,nouns,0.79
2288,college,weledi,nouns,0.54
2289,xenophobia,ubaguzi,nouns,3.96
2290,apple,mwanga wa jua,nouns,0.05
2291,weak,dhaifu,adjectives,0.0
2292,sell,kukumbusha,verbs,0.0
2293,policeman,polisi,nouns,0.07
2294,legend,hadithi,nouns,0.12
2295,cannon,bunduki,nouns,2.02
2296,drizzle,mvua,nouns,3.92
2297,sultan,sultani,nouns,0.15
2298,dictionary,kamusi,nouns,2.24
2299,globalism,utandawazi,nouns,0.24
2300,television,runinga,nouns,0.24
2301,demon,pepo,nouns,0.27
2302,unlikely,sio rahisi,adverbs,0.0
2303,forget,kusamehe,verbs,0.38
2304,fun,mpira wa miguu,nouns,0.45
2305,blame,kulaumu,verbs,2.29
2306,rice,mvulana,nouns,0.0
2307,drunk,mlevi,adjectives,0.04
2308,take,kumiliki,verbs,1.41
2309,obviously,ni dhahiri,adverbs,4.02
2310,bacon,chakula cha asubuhi,nouns,0.71
2311,paragraph,ukurasa,nouns,0.34
2312,demand,kutaka,verbs,0.04
2313,highway,barabara kuu,nouns,4.34
2314,nervously,kwa woga,adverbs,5.11
2315,floor,paa,nouns,0.21
2316,unite,kuunganisha,verbs,0.19
2317,compiler,mkusanyaji,nouns,0.31
2318,article,kitabu,nouns,0.94
2319,aggressive,kua na hasira,adjectives,0.05
2320,candy,matofaa,nouns,0.24
2321,gun,kisu,nouns,0.56
2322,judge,hakimu,nouns,1.55
2323,campaign,kampeni,nouns,0.0
2324,possibly,ikiwezekana,adverbs,3.24
2325,cheek,ulimi,nouns,0.54
2326,achieve,kujaribu,verbs,0.44
2327,game,mbinu,nouns,0.59
2328,boy,mwanajeshi,nouns,0.14
2329,give,kupokea,verbs,0.34
2330,build,kujumlisha,verbs,0.79
2331,ostrich,mbuni,nouns,0.0
2332,friendly,mkarimu,adjectives,1.8
2333,smartphone,simu mahiri,nouns,0.0
2334,joystick,joystiki,nouns,0.41
2335,brother,baba,nouns,0.34
2336,needy,uhitaji,adjectives,1.81
2337,woman,sekretari,nouns,0.34
2338,importantly,umuhimu zaidi,adverbs,1.25
2339,reduce,kupungua,verbs,3.83
2340,camera,lenzi,nouns,1.6
2341,lazy,mvivu,adjectives,0.03
2342,ashamed,kua na aibu,adjectives,0.0
2343,politician,mwanasiasa,nouns,0.07
2344,go,kuanza,verbs,0.82
2345,apartment,fanicha,nouns,0.21
2346,innocent,asiye na hatia,adjectives,2.21
2347,buy,kupata,verbs,1.03
2348,danger,tishio,nouns,4.54
2349,log,kanuni,nouns,0.07
2350,eczema,uwasho,nouns,2.84
2351,baseball,mpira wa kikapu,nouns,0.37
2352,steel,feleji,nouns,1.52
2353,swim,kuogelea,verbs,0.27
2354,humbly,kwa unyenyekevu,adverbs,0.27
2355,television,runinga,nouns,0.42
2356,religion,dini,nouns,1.0
2357,employee,mwajiri,nouns,0.35
2358,nepotism,undugu,nouns,0.15
2359,snow,theluji,nouns,3.36
2360,ant,chungu,nouns,0.51
2361,foot,mguu,nouns,0.0
2362,actor,mwimbaji,nouns,0.56
2363,umbrella,mwamvuli,nouns,0.0
2364,assume,kutabiri,verbs,1.67
2365,tea,limau,nouns,0.14
2366,brother,kaka,nouns,1.69
2367,ask,kusali,verbs,0.79
2368,dad,mama,nouns,0.75
2369,tiny,mkubwa mno,adjectives,0.13
2370,carefully,kwa utaratibu,adverbs,0.0
2371,easy,mkubwa,adjectives,0.05
2372,shoulder,kichwa,nouns,0.86
2373,wood,mbao,nouns,0.04
2374,acetaminophen,acetaminopheni,nouns,0.19
2375,give,kuweka,verbs,0.1
2376,argue,kukubaliana,verbs,0.19
2377,biotope,ekolojia,nouns,0.69
2378,accuse,kushtaki,verbs,0.07
2379,obvious,wa kuonekana,adjectives,4.83
2380,idea,picha,nouns,0.94
2381,army,kikosi,nouns,3.33
2382,paragraph,herufi,nouns,0.36
2383,save,kutumia,verbs,0.24
2384,alike,sawa,adjectives,5.07
2385,dust,vumbi,nouns,0.32
2386,catastrophe,kifo,nouns,1.25
2387,deck,panya,nouns,0.0
2388,weekend,wikiendi,nouns,0.0
2389,phonology,fonolojia,nouns,0.15
2390,manner,njia,nouns,3.92
2391,cinema,sinema,nouns,0.62
2392,allow,kwenda,verbs,0.04
2393,swallow,meza,verbs,2.04
2394,box,lifti,nouns,0.04
2395,tedious,kulivu,adjectives,0.04
2396,abnormally,sikawaida,adverbs,0.04
2397,brain,neva,nouns,0.42
2398,avoid,kujiweka mbali,verbs,1.04
2399,spicy,pilipili,adjectives,0.0
2400,president,meya,nouns,1.09
2401,borrow,kuuza,verbs,0.04
2402,freedom,uhuru,nouns,0.15
2403,speak,kutambua,verbs,0.37
2404,hurt,kuumia,verbs,0.43
2405,coffee,maharagwe,nouns,0.54
2406,cockpit,chumba cha rubani,nouns,0.41
2407,apple,mpangilio wa chakula,nouns,0.24
2408,rain,manyunyu,nouns,3.92
2409,seriously,kwa umakini,adverbs,2.21
2410,destroy,haribu,verbs,1.36
2411,bath,puto,nouns,0.0
2412,weather,theluji,nouns,0.76
2413,head,msumari,nouns,0.1
2414,bell,mlango,nouns,0.27
2415,stressed,kusisitiza,adjectives,0.04
2416,lightly,wepesi,adverbs,0.57
2417,dishonest,si mwaminifu,adjectives,0.09
2418,smother,kuwa nyororo,verbs,0.57
2419,museum,jumba la makumbusho,nouns,0.04
2420,ankle,mfupa,nouns,1.21
2421,choir,kanisa,nouns,0.94
2422,soup,chakula cha usiku,nouns,0.74
2423,intelligent,mpumbavu,adjectives,0.14
2424,dumb,bila kufikiri,adjectives,2.96
2425,disappear,kutoweka,verbs,5.37
2426,float,kuelea,verbs,0.0
2427,dress,gauni,nouns,0.0
2428,occur,kutukia,verbs,5.32
2429,blister,malengelenge,nouns,0.0
2430,shatter,kuvunja,verbs,3.63
2431,cent,watu,nouns,0.0
2432,aviation,safari ya angani,nouns,3.31
2433,writer,mwandishi,nouns,0.35
2434,apple,juisi,nouns,0.89
2435,argue,kulalamika,verbs,1.34
2436,cathedral,dari,nouns,0.1
2437,order,menyu,nouns,0.71
2438,hard,imara,adjectives,2.84
2439,terrible,mwenye huzuni,adjectives,0.92
2440,profession,chuo,nouns,0.54
2441,chapel,kanisa ,nouns,0.0
2442,capability,ustadi,nouns,4.32
2443,carry,kuleta,verbs,2.15
2444,apartment,nyumba,nouns,3.38
2445,legal,halali,adjectives,0.43
2446,pencil,penseli,nouns,0.0
2447,book,makala,nouns,0.94
2448,incredibly,kwa umaradufu,adverbs,0.55
2449,wide,mbivu,adjectives,0.0
2450,shiver,kutetemeka,verbs,0.59
2451,rely,tegemea,verbs,0.05
2452,ordinary,kawaida,adjectives,0.0
2453,log,kuni,nouns,3.09
2454,union,shirikisho,nouns,2.21
2455,naturally,kiasili,adverbs,0.04
2456,proud,mwenye nguvu,adjectives,0.36
2457,sharp,mbutu,adjectives,0.09
2458,odd,mgeni,adjectives,4.74
2459,evaluate,kujifunza,verbs,0.67
2460,crime,uhalifu,nouns,1.34
2461,app,programu tumishi,nouns,0.0
2462,capture,kushika,verbs,0.12
2463,happy,wa ghadhabu,adjectives,0.19
2464,gauge,gari,nouns,0.05
2465,sonnet,ushairi,nouns,0.12
2466,disorganized,kutopangilia,verbs,0.04
2467,give,kujua,verbs,0.04
2468,incline,kupendelea,verbs,2.41
2469,honestly,kwa kweli,adverbs,1.32
2470,meet,kukusanya,verbs,2.38
2471,bedroom,bafu,nouns,0.56
2472,butterfly,kipepeo,nouns,0.05
2473,hematology,hematolojia,nouns,2.26
2474,heater,kipasha joto,nouns,0.0
2475,violent,wa ghadhabu,adjectives,1.48
2476,confusion,kichaa,nouns,1.21
2477,ignore,kufanya utafiti,verbs,0.05
2478,intelligence,ustadi,nouns,2.13
2479,frightened,kua na uoga,adjectives,0.41
2480,possess,kuchukua,verbs,1.41
2481,curved,yenye pindo,adjectives,0.05
2482,raise,kukuinua,verbs,4.53
2483,spine,mwili,nouns,0.39
2484,enter,kuondoka,verbs,0.09
2485,men,undugu,nouns,0.74
2486,disguise,kuficha,verbs,2.59
2487,wealth,umasikini,nouns,0.27
2488,prey,mungu,nouns,0.0
2489,condemn,laani,verbs,1.34
2490,mother,rafiki,nouns,0.71
2491,nerve,mwili,nouns,0.4
2492,sick,ana wazimu,adjectives,0.35
2493,importantly,kwa umuhimu,adverbs,0.27
2494,supper,chakula,nouns,2.85
2495,cinnamon,mdalasini,nouns,0.27
2496,waist,chakula,nouns,0.0
2497,father,mtoto wa kiume,nouns,0.56
2498,understand,kusikiliza,verbs,0.84
2499,roughly,takribani,adverbs,0.71
2500,easy,ngumu,adjectives,0.24
2501,maid,msaidizi,nouns,2.89
2502,guitar,gita,nouns,0.39
2503,imitate,kuonyesha,verbs,2.26
2504,nose,koo,nouns,0.49
2505,queen,nyuki,nouns,0.44
2506,cheerful,mwenye kupendeza,adjectives,2.04
2507,creator,mtunzi,nouns,3.04
2508,delicately,kwa uangalifu,adverbs,0.0
2509,professor,daktari,nouns,1.57
2510,uncovered,haijafunikwa,adjectives,0.14
2511,bite,kung'ata,verbs,0.49
2512,go,kuenda,verbs,2.47
2513,limb,mguu,nouns,1.67
2514,sadness,huzuni,nouns,0.14
2515,baggage,mzigo,nouns,0.07
2516,staff,wafanyakazi,nouns,0.15
2517,juice,matofaa,nouns,0.89
2518,salt,maji,nouns,0.22
2519,score,alama,nouns,0.56
2520,notify,kutambua,verbs,0.84
2521,iris,boriti,nouns,0.0
2522,significant,muhimu,adjectives,0.04
2523,basketball,baseball,nouns,0.37
2524,choice,mshipa,nouns,0.05
2525,biologist,mbiolojia,nouns,0.33
2526,nerve,akili,nouns,0.42
2527,agreement,makubaliano,nouns,5.15
2528,news,porojo,nouns,1.63
2529,crochet,krocheti,nouns,0.0
2530,aim,kulenga,verbs,0.86
2531,participate,kushirikiana,verbs,3.08
2532,night,sura,nouns,0.0
2533,reject,kuepa,verbs,1.07
2534,carriage,mkokoteni,nouns,3.31
2535,image,kioo,nouns,1.61
2536,singer,mwimbaji,nouns,0.79
2537,guilty,mkweli,adjectives,0.1
2538,biscuit,biskuti,nouns,0.0
2539,ball,glavu,nouns,0.97
2540,poorly,kwa ubaya,adverbs,0.19
2541,complain,kuleta,verbs,0.05
2542,awful,poa,adjectives,0.09
2543,splash,chubwi,nouns,0.15
2544,aggravate,kuongeza,verbs,0.42
2545,ignorant,mjinga,adjectives,0.07
2546,happiness,amani,nouns,1.81
2547,waste,takataka,verbs,0.0
2548,chaos,vurugu,nouns,0.0
2549,insignia,insilia,nouns,0.19
2550,lawyer,wakili,nouns,4.24
2551,kill,kukinga,verbs,0.21
2552,irregularly,isivyo kawaida,adverbs,0.12
2553,nose,kinywa,nouns,0.54
2554,large,mkubwa mno,adjectives,5.26
2555,descend,teremka,verbs,0.74
2556,portray,kuamua,verbs,0.05
2557,cloud,mvuke,nouns,2.33
2558,sorrow,aibu,nouns,0.79
2559,go,kuondoka,verbs,4.99
2560,shoulder,mwili,nouns,0.54
2561,guitar,gitaa,nouns,0.0
2562,plead,kujipendekeza,verbs,0.51
2563,sickness,saratani,nouns,3.07
2564,happily,kwa furaha,adverbs,0.11
2565,build,kuumba,verbs,3.95
2566,automobile,motokaa,nouns,5.75
2567,become,kuonekana,verbs,0.32
2568,mansion,nyumba,nouns,0.0
2569,stomach,mshipa,nouns,0.1
2570,fire,moto,nouns,0.19
2571,wife,majani makavu,nouns,0.0
2572,sometimes,muda mwingine,adverbs,0.02
2573,football,mpira wa miguu,nouns,5.77
2574,fry,kaanga,verbs,1.27
2575,securely,kwa ulinzi,adverbs,2.17
2576,decade,karne,nouns,0.54
2577,remember,kukumbuka,verbs,1.27
2578,fraud,ulaghai,nouns,2.33
2579,politician,rais,nouns,2.84
2580,corner,eneo,nouns,0.56
2581,moral,adili,nouns,0.12
2582,worker,kamera,nouns,0.0
2583,personal,kibinasfi,adjectives,3.56
2584,generously,kwa fadhili,adverbs,2.64
2585,passive,kupooza,adjectives,0.0
2586,predict,kudhani,verbs,1.67
2587,word,gazeti,nouns,0.17
2588,young,mwenye furaha,adjectives,0.14
2589,stubborn,msumbufu,adjectives,0.6
2590,think,kujaribu,verbs,0.0
2591,division,mgawanyiko,nouns,0.53
2592,discourage,katisha tamaa,verbs,1.59
2593,insane,ana wazimu,adjectives,5.62
2594,choke,kuua,verbs,0.65
2595,sofa,kiti,nouns,3.09
2596,salary,ada,nouns,0.72
2597,slender,mwembamba,adjectives,4.99
2598,performance,utendaji,nouns,1.24
2599,story,mada,nouns,0.6
2600,speed,mwendo,nouns,0.0
2601,alcohol,jini,nouns,2.21
2602,symbol,msimbo,nouns,1.83
2603,culture,utamaduni,nouns,2.25
2604,happy,mchanga,adjectives,0.14
2605,retain,kusahau,verbs,0.05
2606,worker,mfanyakazi,nouns,0.41
2607,appliance,chungu,nouns,0.65
2608,distance,umbali,nouns,0.69
2609,hug,kukumbatia,verbs,1.49
2610,destroy,kuharibu,verbs,0.0
2611,sandwich,nyama,nouns,0.36
2612,shrink,kukua,verbs,0.09
2613,opinion,chaguo,nouns,1.34
2614,elevator,gari,nouns,0.39
2615,trainers,wakufunzi,nouns,0.34
2616,artist,msanii,nouns,0.79
2617,sword,sime,nouns,0.07
2618,shrink,kupotea,verbs,0.99
2619,person,mtu,nouns,2.57
2620,employer,mwajiriwa,nouns,0.35
2621,elephant,ndovu,nouns,0.06
2622,elbow,kifundo cha mguu,nouns,0.49
2623,beach,uwanda wa bahari,nouns,2.65
2624,loop,mkanda,nouns,1.09
2625,ant,nyuki,nouns,0.61
2626,victim,mwathirika,nouns,0.0
2627,shelter,kibanda,nouns,1.31
2628,discourage,kukatisha tamaa,verbs,0.54
2629,deck,boti,nouns,0.39
2630,treat,tibu,verbs,0.19
2631,fully,kwa uzima,adverbs,0.04
2632,poem,shairi,nouns,0.52
2633,century,muongo,nouns,0.67
2634,combine,changanya,nouns,0.0
2635,pollution,angahewa,nouns,0.26
2636,broad,mwembamba,adjectives,0.09
2637,room,kitanda,nouns,0.44
2638,hate,chukia,verbs,0.2
2639,ecosystem,mfumo wa ikolojia,nouns,0.34
2640,colonel,daktari wa meno,nouns,0.09
2641,solve,kutoa suluhisho,verbs,1.94
2642,food,chakula,nouns,0.0
2643,bold,wa kujivunia,adjectives,1.03
2644,sweater,fulana,nouns,0.26
2645,discreetly,kwa siri,adverbs,0.04
2646,bottom,upande,nouns,0.49
2647,currency,sarafu,nouns,0.39
2648,doctor,tabibu,nouns,4.95
2649,big,mpana,adjectives,2.91
2650,house,ufunguo,nouns,0.52
2651,withdraw,kukataa,verbs,0.5
2652,proud,mjasiri,adjectives,1.03
2653,definition,kamusi,nouns,0.19
2654,ball,kikapu,nouns,0.15
2655,racing,mbio,nouns,0.0
2656,freeze,kuganda,verbs,0.59
2657,tomb,kaburi,nouns,0.91
2658,liver,pafu,nouns,0.54
2659,king,mfalme,nouns,0.15
2660,side,juu,nouns,0.41
2661,leg,kiungo,nouns,1.67
2662,bike,baiskeli,nouns,0.0
2663,camera,mfanyakazi,nouns,0.0
2664,poster,bango,nouns,1.04
2665,school,sheria,nouns,0.13
2666,destroy,kujenga,verbs,0.09
2667,delta,delta,nouns,0.67
2668,weekend,wiki,nouns,1.16
2669,blood,uboho,nouns,0.61
2670,regular,mara kwa mara,adjectives,0.07
2671,peacefully,kwa amani,adverbs,2.23
2672,room,kuoga,nouns,0.13
2673,management,kazi,nouns,0.72
2674,boiled,chemshwa,adjectives,3.27
2675,disappear,kupungua,verbs,0.99
2676,club,klabu,nouns,0.0
2677,move,kutoka,verbs,0.24
2678,credit,mkopo,nouns,0.66
2679,employer,mfanyakazi,nouns,1.34
2680,dirt,matope,nouns,3.84
2681,rabbi,mwalimu,nouns,1.66
2682,fly,nzi,nouns,0.51
2683,mark,ishara,nouns,0.0
2684,laptop,kipakatio,nouns,0.61
2685,blend,kuchanganya,verbs,0.15
2686,bedroom,tumbo,nouns,0.0
2687,semester,awamu,nouns,4.79
2688,logic,akili,nouns,2.79
2689,rate,kiwango,nouns,1.27
2690,lens,kamera,nouns,1.6
2691,parent,mtu mzima,nouns,2.0
2692,normally,kwa kawaida,adverbs,2.71
2693,excited,sisimka,adjectives,0.41
2694,examine,kukagua,verbs,4.45
2695,fast,wa kasi,adjectives,5.09
2696,spoon,kijiko,nouns,0.0
2697,marginally,mara kwa mara,adverbs,0.42
2698,piano,kinanda,nouns,0.12
2699,make,kuharibu,verbs,0.09
2700,sociobiology,jamii,nouns,0.0
2701,strong,wa kujivunia,adjectives,0.36
2702,decide,kuonyesha,verbs,0.05
2703,come,kufika,verbs,2.8
2704,unused,haijatumika,adjectives,4.72
2705,physician,daktari,nouns,4.95
2706,century,pombe,nouns,0.0
2707,omnipotence,uwezaji,nouns,1.8
2708,circumnavigation,mzunguko,nouns,0.07
2709,storm,wingu,nouns,0.42
2710,couple,jozi,nouns,5.52
2711,fake,feki,adjectives,0.14
2712,foreclose,kukuifungia,verbs,0.0
2713,rice,maharagwe,nouns,0.64
2714,sky,jua,nouns,0.86
2715,charcoal,makaa ya mawe,nouns,3.15
2716,flower,kichaka,nouns,0.85
2717,threat,hatari,nouns,4.54
2718,originally,ya uhalisia,adverbs,1.77
2719,ministry,huduma,nouns,0.15
2720,hit,piga,verbs,0.86
2721,hat,koti,nouns,0.41
2722,extramarital,nje ya ndoa,adjectives,0.07
2723,subtly,kwa ujanja,adverbs,0.54
2724,month,agosti,nouns,2.55
2725,happen,kutokea,verbs,5.32
2726,terminally,mwisho,adverbs,0.14
2727,greatly,zaidi,adverbs,0.27
2728,hysteria,ghasia,nouns,1.21
2729,go,kuuza,verbs,0.0
2730,television,mawasiliano,nouns,0.89
2731,try,kujaribu,verbs,0.12
2732,chicken,steki,nouns,0.51
2733,ride,kuendesha,verbs,0.19
2734,attend,kutuma,verbs,0.0
2735,known,julikana,adjectives,0.0
2736,carbon,atomu,nouns,1.06
2737,big,mzito,adjectives,2.12
2738,safely,kwa usalama,adverbs,0.17
2739,gunboat,meli ya vita,nouns,0.14
2740,contemplate,kuwaza,verbs,5.1
2741,importantly,bila masihara,adverbs,2.21
2742,blanket,blanketi,nouns,0.0
2743,electricity,umeme,nouns,0.0
2744,absorb,kumiliki,verbs,0.24
2745,civilization,ustaarabu,nouns,1.11
2746,impatiently,bila subira,adverbs,0.59
2747,express,kujielezea,verbs,2.62
2748,perceive,kung'amua,verbs,0.94
2749,gossip,habari,nouns,1.63
2750,steal,kununua,verbs,0.12
2751,skin,ngozi,nouns,0.0
2752,deeply,kwa undani,adverbs,0.35
2753,accurately,kwa usahihi,adverbs,0.24
2754,spotless,bila doa,adjectives,5.39
2755,sea,mto,nouns,1.89
2756,real,halisi,adjectives,0.14
2757,danger,ugonjwa,nouns,0.51
2758,grasp,kufahamu,verbs,3.99
2759,burn,kuunguza,verbs,0.0
2760,snow,hali ya hewa,nouns,0.76
2761,pact,mazingira,nouns,0.39
2762,write,kuchorachora,verbs,2.35
2763,illegal,haramu,adjectives,0.14
2764,behave,kutii,verbs,1.92
2765,insult,kutukana,verbs,3.95
2766,disown,kukataliwa,verbs,1.3
2767,understand,kuelewa,verbs,3.99
2768,cheese,mkate,nouns,0.17
2769,winner,bingwa,nouns,5.03
2770,father,kaka,nouns,0.34
2771,creatively,kiubunifu,adverbs,1.77
2772,apple,malimau,nouns,0.41
2773,tennis,tenisi,nouns,0.0
2774,flesh,damu,nouns,1.23
2775,republic,jamhuri,nouns,0.04
2776,man,mlinzi,nouns,0.73
2777,easy,ana shida,adjectives,0.04
2778,choice,jela,nouns,0.1
2779,fake,bandia,adjectives,5.03
2780,office,ofisi,nouns,0.41
2781,frigid,wa kukwaruza,adjectives,0.0
2782,level,kiwango,nouns,0.56
2783,tonight,leo usiku,adverbs,0.12
2784,tongue,shavu,nouns,0.54
2785,add,kuunda,verbs,0.79
2786,laugh,kucheka,verbs,3.58
2787,add,kugawanya,verbs,0.35
2788,mayor,rais,nouns,1.09
2789,normal,si wa kawaida,adjectives,0.19
2790,sentry,mwanaume,nouns,0.73
2791,understand,kusamehe,verbs,0.48
2792,crocodile,mamba,nouns,2.25
2793,dusk,jioni,nouns,4.49
2794,succeed,kutimiza,verbs,3.05
2795,turkey,kuku,nouns,1.02
2796,actor,mchezaji wa kike,nouns,3.84
2797,dinner,kuku,nouns,0.59
2798,meteor,meteor,nouns,0.12
2799,bad,mbaya,adjectives,0.62
2800,reflection,picha,nouns,1.61
2801,father,mtoto wa kike,nouns,0.17
2802,testify,kushuhudia,verbs,0.54
2803,divide,kujumlisha,verbs,0.35
2804,information,habari,nouns,0.39
2805,odd,si wa kawaida,adjectives,4.29
2806,unique,ya pekee,adjectives,0.64
2807,graph,jedwali,nouns,3.45
2808,go,kuja,verbs,0.36
2809,search,kutafuta,verbs,2.71
2810,wave,wimbi,nouns,0.4
2811,say,kusema,verbs,2.62
2812,agree,kukubali,verbs,0.14
2813,door,sakafu,nouns,0.09
2814,piston,pistoni,nouns,1.63
2815,breakfast,karamu,nouns,0.39
2816,mare,farasi,nouns,3.42
2817,amazing,kushangaza,adjectives,0.0
2818,highway,gari,nouns,0.41
2819,adult,mtoto,nouns,0.34
2820,finish,maliza,verbs,2.04
2821,horn,gari,nouns,0.76
2822,help,kusaidia,verbs,0.35
2823,assume,kujifanya,verbs,0.43
2824,shirt,shati,nouns,1.36
2825,choose,kutaka,verbs,0.76
2826,nervous,kuoga,adjectives,0.0
2827,bath,gogo,nouns,0.0
2828,string,uzi,nouns,0.0
