ID,SWA,YUE,PoS,score
2107,kuteleza,漂移,verbs,0.82
2108,mkopi,借款人,nouns,0.64
2109,uchafuzi,大氣層,nouns,0.42
2110,furushi,郵包,nouns,0.09
2111,umati,遊行,nouns,0.75
2112,mnyoo,蠕蟲,nouns,0.14
2113,salama,安全,adjectives,0.46
2114,sonara,雕塑家,nouns,0.0
2115,sitasita,猶豫,adjectives,0.18
2116,bunduki,戲法,nouns,0.05
2117,lifti,盒子,nouns,0.04
2118,mwanahistoria,史學家,nouns,5.76
2119,kutambua,通知,verbs,0.57
2120,vurugu,無政府,nouns,3.89
2121,mlango,廚房,nouns,0.23
2122,hela,錢,nouns,5.54
2123,utamaduni,傳統,nouns,0.28
2124,kocha,教練,nouns,0.6
2125,nguo,布,nouns,2.74
2126,mwisho,末期,adverbs,0.15
2127,kuchukua,偷,verbs,0.78
2128,sura,晚上,nouns,0.0
2129,darasa,類別,nouns,0.0
2130,changamsha bongo,頭腦風暴,nouns,0.04
2131,kukosea,得罪,verbs,0.05
2132,kuchemsha,煮沸,verbs,0.72
2133,kwa ukakamavu,緊緊地,adverbs,0.69
2134,nyororo,平滑,adjectives,0.0
2135,kuogelea,游泳,verbs,0.04
2136,kufahamu,讀,verbs,0.77
2137,mwanamke,女人,nouns,0.09
2138,kuelea,浮動,verbs,0.0
2139,kila wakati,每當,adverbs,0.28
2140,wasifu,小說,nouns,1.27
2141,koti,衣服,nouns,2.58
2142,mchanga,沙漠,nouns,0.04
2143,mkubwa sana,瘋狂,adjectives,0.0
2144,kwa ustadi,機械地,adverbs,0.48
2145,kumiliki,保持,verbs,0.98
2146,mahali ya kutokea,出口,nouns,0.04
2147,bendera,旗,nouns,0.71
2148,mchafu,狹窄,adjectives,0.0
2149,akili,神經,nouns,0.7
2150,wazi,顯然,adjectives,5.0
2151,fleti,酒店,nouns,1.25
2152,asali,蜜糖,nouns,0.14
2153,sanduku,盒子,nouns,0.04
2154,kutowekana,不可能,adjectives,0.19
2155,danganyifu,不誠實,adjectives,0.6
2156,steki,雞,nouns,0.24
2157,kuingia,離開,verbs,0.1
2158,piga mbizi,潛水,verbs,0.04
2159,goti,骨頭,nouns,0.66
2160,kuania,打算,verbs,0.83
2161,mvulana,狀態,nouns,0.04
2162,kibanda,盒子,nouns,0.05
2163,kinyume,相反,adjectives,0.09
2164,mkubwa,容易,adjectives,0.05
2165,kushangaza,非常好,adjectives,0.0
2166,mnara,教堂,nouns,0.42
2167,wastani,平均,adjectives,0.34
2168,zeze,樂器,nouns,1.85
2169,maharagwe,米飯,nouns,0.53
2170,kupa,收到,verbs,0.48
2171,mvulana,哥哥,nouns,2.81
2172,kua na hamu,慾望,verbs,3.82
2173,dondoka,滴,verbs,0.71
2174,kazi ya ziada,功課,nouns,1.01
2175,sitaha,地板,nouns,0.23
2176,chubwi,濺,nouns,0.0
2177,kujivunia,自豪,adjectives,0.0
2178,kusikiliza,聽見,verbs,4.5
2179,safari,旅行,nouns,4.21
2180,umaizi,事實,nouns,1.27
2181,kuchagua,決定,verbs,1.47
2182,chupi,底衫褲,nouns,0.36
2183,sio wa lazima,必須,adjectives,0.1
2184,sayari,行星,nouns,2.7
2185,mara mbili,兩次,adverbs,0.09
2186,haijatumika,沒用過,adjectives,4.68
2187,mwanariadha,運動員,nouns,4.65
2188,muhimu,批評,adjectives,0.32
2189,programu hatarishi,惡意軟件,nouns,0.14
2190,kitanda,椅子,nouns,1.21
2191,kuchanganya,混合,verbs,1.63
2192,kufahamisha,通知,verbs,5.29
2193,furaha,運氣,nouns,0.56
2194,kuonyesha,模仿,verbs,1.5
2195,mwenzi,情人,nouns,4.38
2196,sherehe,派對,nouns,0.18
2197,mchezaji wa kike,演員,nouns,3.77
2198,mwenye huzuni,搞笑,adjectives,0.1
2199,mwili,脊柱,nouns,0.48
2200,utabiri,預測,nouns,0.24
2201,makini,嚴肅,adjectives,0.09
2202,kushawishi,說服,verbs,0.28
2203,kuumba,建立,verbs,4.01
2204,njia,方式,nouns,4.53
2205,inayotoka,向外,adjectives,0.2
2206,masilahi,注意,nouns,0.76
2207,ua,信念,nouns,0.05
2208,ndoto,夢想,nouns,0.05
2209,chumba cha kulala,床,nouns,1.38
2210,mwaka,生日,nouns,0.71
2211,kutoa machozi,哭泣,verbs,5.43
2212,kuuza,借,verbs,0.04
2213,purigatori,煉獄,nouns,0.74
2214,mapatano,洞,nouns,0.0
2215,mjomba,男人,nouns,2.38
2216,kudaiwa,借,verbs,0.47
2217,rahisi,髒,adjectives,0.33
2218,kwa undani,深深地,adverbs,0.61
2219,kukubali,承認,verbs,0.15
2220,baseball,兄弟會,nouns,0.14
2221,pasipo tu,可靠地,adverbs,0.0
2222,burudani,足球,nouns,0.63
2223,nyingi zaidi,多,adverbs,0.34
2224,injini,摩打,nouns,4.67
2225,vuguvugu,溫和,adjectives,0.0
2226,kutimiza,完成,verbs,4.59
2227,densi,舞蹈,nouns,0.0
2228,hisia,激情,nouns,2.44
2229,kampuni,商業,nouns,3.3
2230,kukua,擴大,verbs,0.66
2231,kutaka,借,verbs,0.39
2232,mwendo,旅程,nouns,4.21
2233,kidole cha mguu,手指,nouns,1.07
2234,mfumo,系統,nouns,0.04
2235,mama,朋友,nouns,0.28
2236,mwembamba,苗條,adjectives,4.71
2237,kusaidia,幫忙,verbs,0.2
2238,kaboni,原子,nouns,1.04
2239,pembe,鼓,nouns,0.38
2240,mazingira,協議,nouns,0.83
2241,kulaumu,責怪,verbs,0.23
2242,si asili,非自然,adverbs,0.38
2243,baridi,粗暴,adjectives,0.04
2244,kuiga,模仿,verbs,0.0
2245,kwa furaha,高高興興,adverbs,0.46
2246,lengo,箭頭,nouns,0.85
2247,kwa uzima,充分,adverbs,0.36
2248,kwenda,進入,verbs,0.46
2249,kuanza,走,verbs,0.05
2250,kipepeo,蝴蝶,nouns,0.1
2251,wa kasi,快,adjectives,5.08
2252,mlango,大門,nouns,5.32
2253,kuondoka,撤離,verbs,0.0
2254,kipakatio,手提電腦,nouns,0.41
2255,bendi,酒,nouns,0.05
2256,mji,城鎮,nouns,4.03
2257,malizika,完成,adjectives,4.03
2258,kuvuna,收割,verbs,1.08
2259,yenye sauti,噪,adjectives,0.28
2260,kusahau,保留,verbs,0.1
2261,kushambulia,攻擊,verbs,0.04
2262,kusumbua,打稿,verbs,0.0
2263,tohara,割禮,nouns,1.77
2264,molekuli,原子,nouns,2.49
2265,takataka,浪費,verbs,0.0
2266,jukumu,島,nouns,0.0
2267,kunywa,喝,verbs,0.04
2268,undugu,棒球,nouns,0.14
2269,kosa,錯誤,adjectives,0.14
2270,chakula cha mchana,三文治,nouns,1.46
2271,shule,法律,nouns,0.23
2272,mtumishi,僕人,nouns,3.55
2273,kung'arisha,擦亮,verbs,0.0
2274,mtoto mchanga,女兒,nouns,1.25
2275,kuungana,團結,verbs,0.15
2276,kidole gumba,手,nouns,1.57
2277,kuyeyusha,溶解,verbs,0.09
2278,tabia,醫生,nouns,0.18
2279,wa kisasa,古老,adjectives,0.14
2280,kufurahia,喜愛,verbs,0.09
2281,uzuri,美,nouns,0.0
2282,sinema,戲,nouns,4.67
2283,kusukuma,推,verbs,0.64
2284,ini,肺,nouns,0.48
2285,kutenganisha,分離,verbs,0.0
2286,simulizi,小說,nouns,0.43
2287,mchango,貢獻,nouns,2.85
2288,mke,洞,nouns,0.0
2289,bila jasho,容易,adjectives,5.28
2290,mbegu,芥末,nouns,0.6
2291,kiungo,腿,nouns,1.83
2292,sasahivi,現在,adverbs,0.93
2293,runinga,電視,nouns,0.56
2294,kiasili,自然地,adverbs,0.28
2295,makadara,力量,nouns,3.53
2296,misuli,手臂,nouns,0.43
2297,dirisha,踝,nouns,0.09
2298,benchi,椅子,nouns,3.98
2299,tishio,危險,nouns,4.29
2300,dawa ya wadudu,農藥,nouns,0.77
2301,kinywa,牙齒,nouns,0.92
2302,mgawo,作業,nouns,0.33
2303,sanduku ,雪茄,nouns,0.04
2304,kujitokeza,成為,verbs,0.73
2305,mkuu,市長,nouns,2.41
2306,ugali,肉,nouns,0.34
2307,mapatano,爭論,nouns,0.14
2308,ekolojia,群落生境,nouns,0.48
2309,kupiga,打,verbs,0.0
2310,tenki,坦克,nouns,0.71
2311,kiti cha enzi,王座,nouns,0.0
2312,kitaifa,國民,adjectives,0.05
2313,kifo,災難,nouns,1.45
2314,zaidi,大多,adverbs,0.61
2315,kukubali,相信,verbs,2.56
2316,kuhusika,交易,verbs,0.46
2317,rahisi kubadilika,靈活,adjectives,1.04
2318,kifua,身體,nouns,1.81
2319,uwezo,才能,nouns,4.09
2320,betri,電池,nouns,0.09
2321,ishara,標誌,nouns,0.25
2322,kuja,走,verbs,0.18
2323,wazo,意見,nouns,5.02
2324,njia,路徑,nouns,0.41
2325,eneo,區城,nouns,4.19
2326,wingu,風暴,nouns,0.97
2327,nyuki,女王,nouns,0.1
2328,mfumo wa ikolojia,生態系統,nouns,0.29
2329,kufeli,使氣餒,verbs,0.23
2330,darubini,望遠鏡,nouns,0.04
2331,kudhibiti,控制,verbs,0.73
2332,isiyo dhahiri,模糊,adjectives,4.53
2333,gari,胎壓計,nouns,0.05
2334,mwenye woga,焦慮,adjectives,3.98
2335,mkono,肩膀,nouns,1.92
2336,kucheza,玩,verbs,0.18
2337,mnyenyekevu,謙遜,adjectives,5.18
2338,kuchechemea,跛行,verbs,2.42
2339,kamusi,字典,nouns,2.58
2340,kukomaa,成熟,adjectives,0.28
2341,halali,合法,adjectives,0.46
2342,siku ya mwisho,大災變,nouns,0.14
2343,jukumu,作業,nouns,3.03
2344,pasile,香芹,nouns,0.04
2345,uhalifu,盜竊,nouns,3.77
2346,menyu,點菜,nouns,0.81
2347,kujaribu,嘗試,verbs,0.04
2348,gwaride,人群,nouns,0.75
2349,sakafu,甲板,nouns,0.23
2350,kuganda,凍結,verbs,0.05
2351,mfalme,國王,nouns,0.04
2352,mpera,樹木,nouns,3.68
2353,gauni,裙,nouns,0.0
2354,amani,幸福,nouns,2.06
2355,kupuuza,問,verbs,0.05
2356,mwanasayansi,護士,nouns,0.2
2357,govi,包皮,nouns,1.77
2358,uchavushi,授粉,nouns,1.6
2359,demokrasia,民主,nouns,0.5
2360,wimbo,故事,nouns,0.54
2361,kutawala,克服,verbs,0.6
2362,kosa,故障,nouns,0.04
2363,kukubali,同意,verbs,2.22
2364,dira,指南針,nouns,0.04
2365,julikana,聞名,adjectives,0.0
2366,mwanaume,男人,nouns,0.18
2367,mtoto wa kike,嬰兒,nouns,1.25
2368,mwanamke,男人,nouns,0.57
2369,bega,手臂,nouns,1.92
2370,rafiki,母親,nouns,0.28
2371,zawadi,禮物,nouns,0.04
2372,agizo,菜單,nouns,0.81
2373,mgonjwa,病人,nouns,0.32
2374,kujitawala,自由,nouns,4.52
2375,kukuunga,參加,verbs,0.0
2376,mapigano,征服,nouns,0.46
2377,akili,無知,nouns,0.24
2378,si mwaminifu,不誠實,adjectives,0.1
2379,kufunda,大口地吃,verbs,0.33
2380,nyanyua,電梯,verbs,0.47
2381,pazia,竿,nouns,0.18
2382,kuongeza,增加,verbs,1.21
2383,kupata,購買,verbs,0.15
2384,mwenye furaha,嬲,adjectives,0.29
2385,kipande,片,nouns,0.0
2386,kugombana,說服,verbs,0.38
2387,kujumlisha,乘,verbs,0.71
2388,saladi,醋,nouns,0.33
2389,mara kwa mara,頻繁,adjectives,0.34
2390,kuelewa,原諒,verbs,0.28
2391,pepo,惡魔,nouns,0.29
2392,pembe,彎曲,nouns,1.65
2393,kuleta,恢復,verbs,0.83
2394,kuaibisha,羞辱,verbs,0.0
2395,bidii,困難,nouns,0.15
2396,hoteli,公寓,nouns,1.25
2397,rubani msaidizi,副駕駛,nouns,0.04
2398,kuruhusu,准許,verbs,3.88
2399,meno,牙,nouns,0.04
2400,maafikiano,便宜貨,nouns,0.09
2401,kuiba,給,verbs,0.04
2402,kuuliza,唔睬,verbs,0.05
2403,mvulana,小孩,nouns,3.08
2404,kutokana,發現,verbs,0.38
2405,poteza,失去,verbs,0.04
2406,fonolojia,音系學,nouns,0.15
2407,alfajiri,槍,nouns,0.0
2408,misuli,舌頭,nouns,0.29
2409,kubuni,對抗,verbs,0.18
2410,ubao wa theluji,滑雪板,nouns,1.56
2411,gari,的士,nouns,4.24
2412,mwenye nguvu,自豪,adjectives,0.23
2413,nyota,星,nouns,3.79
2414,kuepa,唔睬,verbs,1.69
2415,kwa jeuri,自豪地,adverbs,0.28
2416,dhahabu,金,nouns,1.64
2417,mbinu,沖涼,nouns,0.04
2418,mchoro,畫畫,nouns,0.04
2419,iba,偷,verbs,0.33
2420,kitabu,主題,nouns,0.23
2421,walau,理想地,adverbs,0.39
2422,mchana,晚上,nouns,0.34
2423,endesha,騎,verbs,0.0
2424,kutaka,需求,verbs,0.0
2425,jukumu,工作,nouns,3.19
2426,kwa kujiamini,信心十足地,adverbs,0.05
2427,mtunzi,讀者,nouns,0.28
2428,kuingia,欠,verbs,0.0
2429,bwawa,湖,nouns,2.67
2430,kuosha,洗,verbs,4.05
2431,mwanaume,哨兵,nouns,0.85
2432,sisimka,興奮,adjectives,0.53
2433,kusikiliza,明白,verbs,0.39
2434,kuhudhuria,到達,verbs,2.91
2435,dirisha,門,nouns,0.92
2436,umuhimu zaidi,重要的,adverbs,0.66
2437,juisi,果汁,nouns,0.18
2438,padri,天神,nouns,0.57
2439,kusumbua,打稿,verbs,0.05
2440,kusaidia,協助,verbs,4.54
2441,kugombana,同意,verbs,0.15
2442,kufunika,偽裝,verbs,3.33
2443,kuiba,購買,verbs,0.0
2444,kimondo,小行星,nouns,3.79
2445,mkosaji,聖,nouns,0.1
2446,kuuliza,求情,verbs,0.7
2447,rahisi,簡單,adjectives,5.28
2448,kuokoa,拯救,verbs,5.08
2449,teleza,幻灯片,nouns,0.14
2450,mnyama,人,nouns,0.43
2451,chumba cha rubani,座艙,nouns,0.43
2452,padri,僧侶,nouns,3.04
2453,kwa ubaya,負面地,adverbs,0.41
2454,kawaida,普通,adjectives,0.1
2455,haswa,主要,adverbs,0.15
2456,mada,故事,nouns,0.56
2457,kutuma,出席,verbs,0.09
2458,kiwiko,踝,nouns,0.62
2459,mtawa,神職人員,nouns,3.04
2460,kushangaza,使驚奇,verbs,0.04
2461,kua na njaa,飢餓,adjectives,0.28
2462,undugu,男人,nouns,1.4
2463,subira,樂隊,nouns,0.0
2464,wa ghadhabu,開心,adjectives,0.29
2465,kutetea,拗撬,verbs,0.33
2466,hiari,意志,nouns,1.35
2467,kunata,黏,adjectives,0.43
2468,mdalasini,肉桂,nouns,0.33
2469,kweli,真實地,adverbs,0.58
2470,kuingia,走,verbs,0.46
2471,kufanikisha,達到,verbs,4.59
2472,neno,提示,nouns,0.34
2473,kuelewa,聽,verbs,0.39
2474,kinyume,相反,adjectives,0.39
2475,stameni,蕊,nouns,1.6
2476,teksi,巴士,nouns,2.47
2477,njia,模式,nouns,0.7
2478,ugenini,在別處,adverbs,0.09
2479,zika upya,重新安葬,nouns,1.25
2480,ua,軌,nouns,0.0
2481,kushawishi,說服,verbs,0.04
2482,mguu,手,nouns,1.31
2483,kujiunga,獲得,verbs,0.05
2484,pigo,打,nouns,0.14
2485,akili,智慧,nouns,3.9
2486,kuchanganya,拖著腳走,verbs,0.0
2487,kutolewa,清醒,adjectives,0.09
2488,kumaliza,完成,verbs,1.25
2489,uhakika,精確,adjectives,0.14
2490,kufanya utafiti,發現,verbs,2.67
2491,mkutano,訂婚,nouns,0.75
2492,changanya,聯合,nouns,0.0
2493,kupanga,成為,verbs,0.19
2494,hapa ndani,本地,adverbs,0.0
2495,kuonja,啜,verbs,0.33
2496,filamu,電影,nouns,0.09
2497,mfupi,長,adjectives,0.18
2498,maziwa,果汁,nouns,0.57
2499,kanga,包裝紙,nouns,0.04
2500,awamu,半學年,nouns,4.63
2501,kusubiri,等待,verbs,1.18
2502,ncha kali,尖,adjectives,0.0
2503,mweka mipango,陰謀家,nouns,2.56
2504,uhuru,自由,nouns,4.52
2505,taabu,絕望,nouns,2.97
2506,kuhudhuria,出席,verbs,0.04
2507,mtawala,皇帝,nouns,0.33
2508,nyama,三明治,nouns,0.34
2509,shingo,骨頭,nouns,0.47
2510,wali,男孩,nouns,0.04
2511,ubadilishaji,交換,nouns,0.33
2512,kiti,沙發,nouns,3.29
2513,sanamu,雕塑,nouns,4.43
2514,kitanzi,帶,nouns,1.89
2515,kifundo cha mguu,肘,nouns,0.62
2516,bibi arusi,公主,nouns,0.28
2517,ugonjwa wa neurosis,神經官能症,nouns,0.72
2518,malaika,天使,nouns,0.29
2519,kupa,偷,verbs,0.04
2520,bega,頭,nouns,0.68
2521,kununua,偷,verbs,0.0
2522,nguo,衣櫃,nouns,0.56
2523,mbaya,壞,adjectives,0.37
2524,kiwango,水平,nouns,0.42
2525,mtawa,僧侣,nouns,0.14
2526,acetaminopheni,對乙酰氨基酚,nouns,0.15
2527,kutafiti,想,verbs,0.29
2528,namna,方法,nouns,4.53
2529,sungura,貓,nouns,1.02
2530,mama,監護人,nouns,3.25
2531,kushindwa,保持,verbs,0.04
2532,boti,車,nouns,0.57
2533,kukubali,推介,verbs,0.25
2534,kuni,紙,nouns,0.38
2535,mlingoti,杆,nouns,0.71
2536,kamera,總統,nouns,0.0
2537,kueleza,討論,verbs,1.16
2538,mgeni,古怪,adjectives,4.73
2539,alama,得分,nouns,0.42
2540,kwa matuamini,樂觀地,adverbs,0.78
2541,hewa,分子,nouns,0.52
2542,taji,王冠,nouns,0.04
2543,kompyuta,磁盘,nouns,0.89
2544,wepesi,輕輕地,adverbs,0.14
2545,rais,小學生,nouns,0.1
2546,kila siku,日常,adverbs,2.99
2547,tamu,甜,adjectives,0.0
2548,ngozi,油,nouns,0.04
2549,kuteua,選舉,verbs,0.0
2550,kondoo,牛,nouns,2.6
2551,silabu,音節,nouns,0.66
2552,wengine,其他,adjectives,0.09
2553,sherehe,服裝,nouns,0.1
2554,ndovu,大象,nouns,0.11
2555,jitihada,目標,nouns,0.29
2556,kutenganisha,分化,verbs,0.0
2557,kuokoa,救,verbs,0.04
2558,mke,稻草,nouns,0.0
2559,macheo,日落,nouns,1.27
2560,roho ,兄弟,nouns,0.05
2561,vyombo vya habari,新聞,nouns,2.46
2562,mbio,種族,nouns,0.0
2563,kujitokeza,離開,verbs,0.45
2564,kugombana,合理地解釋,verbs,0.1
2565,manyoya,女人,nouns,0.0
2566,undugu,門,nouns,0.0
2567,kona,地區,nouns,0.29
2568,jini,威士忌酒,nouns,3.13
2569,kukubali,原諒,verbs,0.57
2570,mchemraba,立方體,nouns,0.09
2571,baba,男人,nouns,2.67
2572,bahari,海灘,nouns,2.53
2573,matofaa,檸檬,nouns,0.57
2574,majani makavu,妻子,nouns,0.0
2575,onyesha,節目,nouns,0.04
2576,chakula,晚飯,nouns,3.46
2577,neva,腸子,nouns,0.29
2578,viwanda,商業,nouns,2.17
2579,jengo,大厦,nouns,0.58
2580,kuweka,借,verbs,0.05
2581,diski,磁盤,nouns,0.0
2582,kuficha,掩飾,verbs,3.33
2583,kushindwa,得到,verbs,0.15
2584,joystiki,操縱桿,nouns,0.39
2585,kina,大小,nouns,0.58
2586,chombo,小提琴,nouns,1.85
2587,akiba,股票,nouns,3.08
2588,kazi,工作,nouns,0.83
2589,aibu,害羞,adjectives,0.0
2590,kitanda cha mtoto,搖床,nouns,3.55
2591,kuchambua,分析,verbs,4.28
2592,wanga,醣類,nouns,1.69
2593,mama,妻子,nouns,2.71
2594,tarehe,日曆,nouns,3.71
2595,umati,束,nouns,0.05
2596,jeshi,軍團,nouns,3.43
2597,kuondoka,離開,verbs,0.0
2598,kiroho,心靈,adjectives,0.81
2599,mfupa,手臂,nouns,0.48
2600,mshipa,容器,nouns,0.28
2601,gari,電梯,nouns,0.44
2602,mkubwa,重,adjectives,1.32
2603,mshindi,目標,nouns,0.23
2604,kusini,北,nouns,0.69
2605,kanisa kuu,大教堂,nouns,4.83
2606,kupuuza,避免,verbs,1.69
2607,mpira,籃子,nouns,0.24
2608,kufika,出席,verbs,2.91
2609,miche,幼苗,nouns,1.15
2610,nama,大,adjectives,0.2
2611,akili,技巧,nouns,2.25
2612,biskuti,餅乾,nouns,0.0
2613,ua,灌木,nouns,1.11
2614,mzito,滿載,adjectives,1.26
2615,starehe,安全,nouns,0.45
2616,kutangatanga,徘徊,verbs,0.88
2617,kichwa,指甲,nouns,0.15
2618,kondoo,羊肉,nouns,3.76
2619,labda,也許,adverbs,3.25
2620,herufi,段,nouns,0.25
2621,kugawanya,加,verbs,0.56
2622,ugonjwa wa ngozi,皮炎,nouns,3.17
2623,fasihi,書,nouns,2.55
2624,rubani msaidizi,副駕駛,nouns,0.43
2625,kuoga,氣球,nouns,0.0
2626,muswada,手稿,nouns,1.98
2627,kuadhibu,懲罰,verbs,0.43
2628,kamera,鏡片,nouns,1.51
2629,kulalamika,帶來,verbs,0.05
2630,kuziba,扼殺,verbs,0.23
2631,kuzimu,後世,nouns,0.74
2632,kwa mabavu,好鬥,adjectives,0.29
2633,ini,器官,nouns,2.47
2634,mtunzi,創造者,nouns,3.02
2635,nadharia,化學,nouns,0.29
2636,kupooza,被動,adjectives,0.04
2637,miaka kumi,世紀,nouns,0.75
2638,kwaya,教堂,nouns,1.07
2639,kibodi,鍵盤,nouns,0.09
2640,ukuta,裝飾,nouns,0.33
2641,maendeleo,發展,nouns,0.19
2642,mbaya,偉大,adjectives,0.1
2643,kuoka,烘烤,verbs,2.08
2644,karatasi,木,nouns,0.38
2645,chizi,麵包,nouns,0.38
2646,daftari,筆記本,nouns,0.2
2647,msumbufu,頑固,adjectives,0.68
2648,hadithi,歌曲,nouns,0.54
2649,kunong'oneza,低語,verbs,1.19
2650,vyema,積極地,adverbs,0.36
2651,habari za kubuniwa,傳記,nouns,1.27
2652,huduma,部,nouns,0.04
2653,kuazima,賣,verbs,0.04
2654,jino,嘴巴,nouns,0.92
2655,chumba cha kulala,單車,nouns,0.0
2656,insha,文章,nouns,1.01
2657,mwanasiasa,總統,nouns,3.04
2658,kupika,煮,verbs,0.11
2659,kitaifa,國民,adjectives,0.0
2660,kufaida,獲得,verbs,1.08
2661,mke,一分錢,nouns,0.0
2662,chaguo,選擇,nouns,2.68
2663,gazeti,字,nouns,0.6
2664,kuchukua,收集,verbs,0.0
2665,kujua,忘記,verbs,0.1
2666,imani,印象,nouns,0.33
2667,shetani,天神,nouns,0.04
2668,kutazama,觀察,verbs,4.93
2669,kadi,橋,nouns,0.1
2670,sela,門,nouns,0.09
2671,mbio,賽跑,nouns,0.09
2672,mnyenyekevu,謙虛,adjectives,0.14
2673,kwa kidete,堅固地,adverbs,0.04
2674,kukana,給予,verbs,0.05
2675,jifanya,假扮,verbs,2.6
2676,kuruka,跳躍,nouns,0.0
2677,chuma,錫,nouns,1.69
2678,kuja,到達,verbs,2.83
2679,sukari,蜜糖,nouns,2.48
2680,choka,累,adjectives,0.28
2681,kikosi,軍隊,nouns,3.43
2682,enzi,十,nouns,0.25
2683,uchumba,訂婚,nouns,0.83
2684,utamaduni,文化,nouns,1.11
2685,kitanda,房間,nouns,0.43
2686,kukumbatia,摟抱,verbs,4.92
2687,diplomasia,外交,nouns,1.89
2688,kukinga,保護,verbs,4.08
2689,kugundua,起源,verbs,0.38
2690,kushika,捕獲,verbs,0.0
2691,uhuru,自由,nouns,0.1
2692,milionea,百萬富翁,nouns,0.93
2693,kujua,明白,verbs,4.06
2694,kuhepa,逃逸,verbs,0.0
2695,kukanya,失敗,verbs,0.23
2696,kwa unyenyekevu,謙遜地,adverbs,0.14
2697,hali ya hewa,天氣,nouns,0.45
2698,kupeleka,接受,verbs,0.0
2699,wanaume,兄弟會,nouns,1.4
2700,nyota,星星,nouns,2.7
2701,kwa amani,和平地,adverbs,0.28
2702,mwembamba,寬大,adjectives,0.14
2703,ushairi,十四行詩,nouns,0.0
2704,tumbo,睡房,nouns,0.04
2705,kuhudhuria,聚集,verbs,0.47
2706,korti,法庭,nouns,1.51
2707,kienyeji,本地,adverbs,0.09
2708,wa dhambi,非法,adjectives,2.62
2709,kwa hakika,肯定地,adverbs,4.47
2710,acetylcholine,乙酰膽鹼,nouns,0.0
2711,juisi,蘋果,nouns,0.86
2712,pua,噴嘴,nouns,0.14
2713,maziwa,乳製品,nouns,0.14
2714,ukubwa,大小,nouns,4.22
2715,paka,兔子,nouns,1.02
2716,jela,選擇,nouns,0.1
2717,krocheti,鈎織編織,nouns,0.0
2718,mkubalika,允許,adjectives,2.88
2719,mke,母親,nouns,2.71
2720,wasiwasi,緊張,adjectives,3.25
2721,mkubwa sana,壞,adjectives,0.04
2722,mwerevu,奇怪,adjectives,0.41
2723,mchawi,巫師,nouns,0.0
2724,undugu,裙帶關係,nouns,0.04
2725,ustadi,能力,nouns,4.09
2726,mvulana,朋友,nouns,0.6
2727,kuoga,妻子,nouns,0.04
2728,kuhudhuria,出現,verbs,3.48
2729,atomu,碳,nouns,1.04
2730,tumbo,靜脈,nouns,0.24
2731,capacitor,電容器,nouns,1.98
2732,chumvi,水,nouns,0.15
2733,baba,兒子,nouns,1.25
2734,kucheka,大笑,verbs,3.38
2735,mwanaume,武士,nouns,0.95
2736,shampeni,威士忌酒,nouns,3.62
2737,wingu,雲,nouns,0.23
2738,shairi,詩,nouns,0.77
2739,watu,元,nouns,0.35
2740,chini,側面,nouns,0.48
2741,ukiwa,苦難,nouns,2.97
2742,njia,肚,nouns,0.05
2743,kuning'inia,放,verbs,0.46
2744,mali,資產,nouns,3.08
2745,koni,杯子,nouns,0.15
2746,pembe zaidi ya sita,多面體,nouns,0.28
2747,raketi,球拍,nouns,0.67
2748,kukubali,拒絕,verbs,0.39
2749,sufuri,零,nouns,0.28
2750,wa kutisha,壞,adjectives,1.02
2751,mavazi,球,nouns,0.1
2752,lifti,汽車,nouns,0.44
2753,mfadhili,募捐活動,nouns,0.28
2754,fremu,陷害,nouns,0.14
2755,kwa uaminifu,忠誠地,adverbs,3.74
2756,funguo,鎖匙,nouns,1.1
2757,piga,打中,verbs,1.1
2758,mwajiriwa,僱主,nouns,0.38
2759,ukumbi,劇院,nouns,0.09
2760,kichwa,頭,nouns,0.54
2761,chuo,職業,nouns,0.39
2762,kudanganya,講大話,verbs,2.6
2763,nanga,船,nouns,0.82
2764,sahani,碗,nouns,2.73
2765,mchungaji,拉比,nouns,0.45
2766,jiwe,石,nouns,0.32
2767,mwanasheria,銀行家,nouns,1.11
2768,kitanda,沙發,nouns,2.06
2769,hasa,主要,adverbs,2.31
2770,si kwa haki,不公平,adverbs,0.1
2771,figo,器官,nouns,2.92
2772,mlinzi,男人,nouns,0.85
2773,mpwa,阿姨,nouns,0.69
2774,mlazi,幼兒床,nouns,3.55
2775,mwalimu,幫手,nouns,0.53
2776,boriti,鳶尾花,nouns,0.0
2777,chanzo,資源,nouns,0.04
2778,mradi,程序,nouns,0.0
2779,kulivu,乏味,adjectives,0.04
2780,mwathirika,受害者,nouns,0.04
2781,machimbo,礦,nouns,0.46
2782,kibanzi,微晶片,nouns,0.04
2783,saizi,戲法,nouns,0.0
2784,kupondwa,摔碎,verbs,2.54
2785,kumbakumba,雜,adjectives,0.14
2786,hatari,疾病,nouns,0.71
2787,lowa,濕,adjectives,1.02
2788,wakufunzi,運動鞋,nouns,0.34
2789,kuwazia,假扮,verbs,0.14
2790,kisiwa,海灘,nouns,0.76
2791,kusikiliza,學習,verbs,0.28
2792,mkono,腿,nouns,0.98
2793,machungwa,柑橘,nouns,5.5
2794,mara nyingine,有時,adverbs,0.28
2795,kibanda,避難所,nouns,0.63
2796,wimbo,歌謠,nouns,3.53
2797,kuonyesha mahali pa,搵到,verbs,0.38
2798,watu,派對,nouns,0.56
