ID,FIN,SPA,PoS,score
2083,käytös,camino,nouns,2.15
2084,kirja,manuscrito,nouns,2.4
2085,tietoisuus,atención,nouns,1.8
2086,kirjailija,regalo,nouns,0.05
2087,makuuhuone,bicicleta,nouns,0.15
2088,tehtävä,trabajo,nouns,4.2
2089,onnellisesti,mortal,adverbs,0.05
2090,yö,amanecer,nouns,0.8
2091,himoita,querer,verbs,4.7
2092,löytää,desaparecer,verbs,0.3
2093,karitsa,oveja,nouns,4.05
2094,saari,armada,nouns,0.25
2095,leipä,carne,nouns,0.7
2096,etsiä,preguntar,verbs,1.65
2097,kirkko,catedral,nouns,4.25
2098,sukeltaa,crear,verbs,0.0
2099,uudelleenhautaaminen,tumba,nouns,0.75
2100,onnellinen,joven,adjectives,0.1
2101,täysin,básicamente,adverbs,1.4
2102,päivämäärä,calendario,nouns,1.4
2103,suu,diente,nouns,1.65
2104,julistaa,anunciar,verbs,4.25
2105,lopettaa,empezar,verbs,0.3
2106,selkäranka,cuello,nouns,0.85
2107,opetussuunnitelma,examen,nouns,0.45
2108,prinssi,rey,nouns,2.1
2109,jumala,sacerdote,nouns,1.25
2110,kuva,reflexión,nouns,1.65
2111,vapaus,atrevimiento,nouns,1.65
2112,kovakouraisesti,seguramente,adverbs,0.65
2113,keinotekoinen,0,adjectives,4.05
2114,joskus,cuando,adverbs,1.05
2115,meri,tsunami,nouns,1.45
2116,tapaus,programa informático,nouns,0.3
2117,sopivuussäännöt,regla,nouns,2.25
2118,lähettää,asistir,verbs,0.5
2119,hevonen,perro,nouns,1.05
2120,kiltisti,bien,adverbs,1.6
2121,muinainen,nuevo,adjectives,0.3
2122,hiilihydraatti,sacarosa,nouns,2.35
2123,töykeä,ruidoso,adjectives,0.75
2124,elokuva,nihilismo,nouns,0.1
2125,jahdata,capturar,verbs,1.2
2126,ankkuri,bote,nouns,0.85
2127,arvosana,colegio,nouns,1.15
2128,jakku,suéter,nouns,2.35
2129,äänekäs,grosero,adjectives,0.75
2130,uskoa,aceptar,verbs,1.3
2131,algebra,operación,nouns,0.8
2132,kulma,curva,nouns,1.7
2133,vene,coche,nouns,0.75
2134,ilmoittaa,informar,verbs,5.0
2135,kirja,historia,nouns,1.3
2136,kääpiömäinen,pequeñito,adjectives,4.05
2137,baari,jaula,nouns,0.15
2138,auttaa,proteger,verbs,1.65
2139,julma,bonito,adjectives,0.15
2140,neliö,mapa,nouns,0.2
2141,arvomerkki,dignidad,nouns,0.35
2142,makeinen,manzana,nouns,0.4
2143,lippu,polo,nouns,0.5
2144,täällä,ahora,adverbs,1.25
2145,rumpu,guitarra,nouns,1.25
2146,joustava,grande,adjectives,0.2
2147,selittää,probar,verbs,2.25
2148,väkijuoma,banda,nouns,0.25
2149,siirrettävä,flexible,adjectives,1.55
2150,huolellisesti,de manera segura,adverbs,4.35
2151,maksa,órgano,nouns,2.3
2152,lapsi,chico,nouns,3.45
2153,ryhmä,lista,nouns,0.45
2154,tytär,padre,nouns,0.8
2155,reilusti,injustamente,adverbs,0.25
2156,ystävällisesti,improbable,adverbs,0.0
2157,tavata,reunir,verbs,3.3
2158,opettaa,castigar,verbs,0.6
2159,moninkertainen,dos veces,adverbs,1.35
2160,valkoinen,estrecho,adjectives,0.0
2161,kappale,noche,nouns,0.35
2162,ontua,caminar,verbs,1.55
2163,nipistää,dar un puñetazo,verbs,0.7
2164,asianmukainen,formal,adjectives,2.75
2165,automobiili,coche,nouns,5.75
2166,terävä,suave,adjectives,0.4
2167,kori,pelota,nouns,0.3
2168,ovi,fraternidad,nouns,0.2
2169,ilma,helio,nouns,1.15
2170,alkaa,empezar,verbs,5.75
2171,tylsä,emocionante,adjectives,0.3
2172,keskustelu,discusión,nouns,2.15
2173,iho,bicicleta,nouns,0.2
2174,köyhä,orgulloso,adjectives,0.1
2175,kruunu,llave,nouns,0.1
2176,nainen,piel,nouns,0.15
2177,purukumi,menta,nouns,0.5
2178,nurkka,zona,nouns,0.8
2179,sateenvarjo,calibre,nouns,0.1
2180,tutka,palanca de mando,nouns,0.4
2181,vaatimaton,flexible,adjectives,0.4
2182,pahvi,papel,nouns,3.35
2183,dermatiitti,eczema,nouns,2.9
2184,herttuakunta,principado,nouns,2.45
2185,oikeudenmukaisuus,tribunal,nouns,2.05
2186,huuli,cadera,nouns,0.9
2187,sauvaohjain,radar,nouns,0.4
2188,paha,culpable,adjectives,1.2
2189,hampaat,martillo,nouns,0.05
2190,turkki,visón,nouns,1.85
2191,muffini,perejil,nouns,0.45
2192,aita,carril,nouns,0.5
2193,orivarsa,caballo,nouns,3.1
2194,mylly,semilla,nouns,0.9
2195,jonkun poika,niño,nouns,3.6
2196,helppo,difícil,adjectives,0.3
2197,painovoima,meteorito,nouns,0.8
2198,loukata,insultar,verbs,4.8
2199,töykeä,crudo,adjectives,1.2
2200,reikä,acuerdo,nouns,0.0
2201,rationaalinen,sobrio,adjectives,0.95
2202,liittyä,participar,verbs,2.75
2203,ikä,belleza,nouns,0.35
2204,vahva,orgulloso,adjectives,0.8
2205,jättää,retirarse,verbs,3.0
2206,uskomus,impresión,nouns,2.0
2207,olennaisesti,críticamente,adverbs,1.1
2208,laatikko,cigarro,nouns,0.5
2209,epänormaalisti,normalmente,adverbs,0.3
2210,laittaa,obtener,verbs,0.2
2211,suru,agonía,nouns,3.5
2212,hyväntuulinen,encantador,adjectives,1.7
2213,huolellisesti,peligrosamente,adverbs,0.2
2214,lasi,cristal,nouns,2.2
2215,kiistää,aceptar,verbs,0.25
2216,tahmea,mojado,adjectives,0.9
2217,laiska,precioso,adjectives,0.0
2218,suurenmoinen,malo,adjectives,0.1
2219,fraasi,palabra,nouns,1.55
2220,saada selville,originar,verbs,0.9
2221,kartano,escultor,nouns,0.4
2222,nenä,garganta,nouns,1.0
2223,koulu,grado,nouns,1.15
2224,kyttä,sheriff,nouns,3.6
2225,järkyttää,desalentar,verbs,0.6
2226,konkurssi,fracaso,nouns,1.95
2227,sitoa,tejer,verbs,0.55
2228,saastuminen,presidente,nouns,0.25
2229,kova,denso,adjectives,1.4
2230,ylpeä,fuerte,adjectives,0.8
2231,helikopteri,avión,nouns,1.4
2232,kestävyys,flor,nouns,0.05
2233,käsi,muñeca,nouns,2.25
2234,selvin päin oleva,borracho,adjectives,0.3
2235,lopullisesti,seguramente,adverbs,3.0
2236,kukka,resistencia,nouns,0.05
2237,elefantti,brújula,nouns,0.1
2238,aihe,libro,nouns,1.15
2239,passiivisesti,activamente,adverbs,0.3
2240,tieto,periódico,nouns,1.55
2241,kulmakarva,ojo,nouns,0.7
2242,pahentaa,molestar,verbs,0.75
2243,epäonnistuminen,bancarrota,nouns,1.95
2244,uskomus,flor,nouns,0.05
2245,sänky,silla,nouns,1.3
2246,vartalo,brazo,nouns,1.2
2247,onnettomuus,catástrofe,nouns,3.85
2248,yrittää,pensar,verbs,0.5
2249,puolustaa,matar,verbs,0.4
2250,ajokoira,zorro,nouns,1.35
2251,vikkelä,rápido,adjectives,4.05
2252,satama,envoltura,nouns,0.05
2253,moraaliton,ilegal,adjectives,1.55
2254,epäluonnollisesti,naturalmente,adverbs,0.25
2255,tyttö,mucama,nouns,1.2
2256,muurahainen,abeja,nouns,1.15
2257,tytär,bebé,nouns,2.5
2258,vaikea,simple,adjectives,0.3
2259,juliste,papel,nouns,2.2
2260,säästö,ahorrador,nouns,2.1
2261,ihmiset,pistola,nouns,0.05
2262,minkki,petróleo,nouns,0.15
2263,näyttelijätär,actor,nouns,4.4
2264,tavoitella,persuadir,verbs,0.55
2265,liha,carne de vaca,nouns,3.65
2266,mennä,vender,verbs,0.15
2267,ikävä,seguro,adjectives,0.1
2268,neutraali,calma,adjectives,1.0
2269,paita,cárdigan,nouns,1.45
2270,näyttelijä,poliedro,nouns,0.05
2271,sattua,patear,verbs,1.05
2272,valo,teclado,nouns,0.25
2273,koira,caballo,nouns,1.05
2274,niitty,pradera,nouns,4.2
2275,ohjelma,comida,nouns,0.05
2276,taideteos,artista,nouns,1.25
2277,kauneus,años,nouns,0.35
2278,viihdyttää,disfrutar,verbs,1.15
2279,mukava,cruel,adjectives,0.15
2280,luoja,autor,nouns,4.55
2281,partio,ejército,nouns,0.85
2282,toistaa,practicar,verbs,2.55
2283,auringonlasku,amanecer,nouns,0.9
2284,saari,princesa,nouns,0.05
2285,vaimo,centavo,nouns,0.15
2286,lainrikkoja,criminal,nouns,4.95
2287,tauti,infección,nouns,2.75
2288,viheltää,detener,verbs,0.3
2289,kiistää,mentir,verbs,1.1
2290,luoda,bucear,verbs,0.0
2291,järjestys,menú,nouns,0.55
2292,talo,llave,nouns,0.5
2293,mekaanikko,obrero,nouns,2.5
2294,jumala,espíritu,nouns,1.85
2295,ohjaaja,cinematografía,nouns,1.45
2296,johdin,cuerda,nouns,3.05
2297,irrottaa,dividir,verbs,1.3
2298,aloittaa,ir,verbs,0.65
2299,kehitys,recaudación de fondos,nouns,0.4
2300,paperi,madera,nouns,1.25
2301,laturi,disco,nouns,0.25
2302,täsmällisesti,activamente,adverbs,0.75
2303,tappaa,defender,verbs,0.4
2304,aurinko,cielo,nouns,1.0
2305,lakimies,abogado,nouns,4.75
2306,lounas,sandwich,nouns,1.3
2307,soturi,hombre,nouns,1.1
2308,sankaritar,héroe,nouns,3.4
2309,jalkaterä,arena,nouns,0.2
2310,parapsykologia,neuropsicología,nouns,1.45
2311,työ,herramienta,nouns,0.7
2312,älykkyys,destreza,nouns,2.05
2313,opettaja,ayudante,nouns,1.65
2314,pihvi,pollo,nouns,1.55
2315,suostutella,discutir,verbs,1.0
2316,paperi,póster,nouns,2.2
2317,molekyyli,matriz,nouns,0.2
2318,katu,coche,nouns,0.35
2319,tuore,antiguo,adjectives,0.2
2320,kieltäminen,confesión,nouns,0.75
2321,hunaja,azúcar,nouns,1.65
2322,hiljattain,de manera realista,adverbs,0.0
2323,mittari,coche,nouns,0.4
2324,luotettavasti,pasivamente,adverbs,0.05
2325,älykäs,tonto,adjectives,0.5
2326,luoda,hacer,verbs,4.0
2327,hiiri,rata,nouns,3.7
2328,nauraa,reirse,verbs,5.35
2329,kappale,elección,nouns,0.35
2330,viides,parte superior,adjectives,0.1
2331,luonnollisesti,antinaturalmente,adverbs,0.25
2332,kiero,curvo,adjectives,2.8
2333,mehiläinen,hormiga,nouns,1.15
2334,uskomus,valor,nouns,1.65
2335,neuvottelu,diplomacia,nouns,2.4
2336,tehdä yhteistyötä,participar,verbs,3.35
2337,kauhea,triste,adjectives,0.7
2338,viisaus,inteligencia,nouns,3.8
2339,palvelija,esclavo,nouns,2.5
2340,jakolasku,multiplicación,nouns,1.1
2341,legenda,moral,nouns,0.3
2342,todistaa,juez,verbs,0.7
2343,sekaannus,histeria,nouns,1.65
2344,laatikko,cabina,nouns,0.65
2345,manageri,líder,nouns,3.3
2346,vero,ingresos,nouns,0.7
2347,juhla,máscara,nouns,0.3
2348,silmukka,cinturón,nouns,0.75
2349,pian,inmediatamente,adverbs,3.95
2350,mehu,cuchara,nouns,0.2
2351,kylpy,truco,nouns,0.0
2352,innostunut,asustado,adjectives,0.5
2353,hävitä ,encontrar,verbs,0.3
2354,jumala,padre,nouns,1.1
2355,hienotunteisesti,actualmente,adverbs,0.0
2356,pilvi,niebla,nouns,2.4
2357,jäytää,descolorarse,verbs,0.55
2358,vartalo,sangre,nouns,0.7
2359,välikäytävä,sala,nouns,1.05
2360,tohtori,templar,nouns,0.15
2361,huuli,boca,nouns,2.15
2362,paistaa,cocinar,verbs,3.3
2363,yksinäinen,pobre,adjectives,0.35
2364,tervehtiä,reunirse,verbs,1.1
2365,niska,hueso,nouns,0.9
2366,pitää päällä,romper,verbs,0.05
2367,itseluottamus,yo,nouns,1.3
2368,laulaa,reír,verbs,0.45
2369,hävitä,esfumarse,verbs,5.3
2370,auto ,autopista,nouns,1.0
2371,sähkö,caso,nouns,0.0
2372,jättää,unirse,verbs,0.3
2373,sairaus,infección,nouns,3.1
2374,kyynärpää,hueso,nouns,1.0
2375,talvi,verano,nouns,0.85
2376,henkilökohtainen,privado,adjectives,4.15
2377,luokka,caos,nouns,0.1
2378,nuori,feliz,adjectives,0.1
2379,keuhkoputkentulendus,acetaminofeno,nouns,0.5
2380,järvi,pantano,nouns,2.15
2381,elokuva,filme,nouns,5.45
2382,ammatti,universidad,nouns,0.7
2383,epätäsmällisesti,precisamente,adverbs,0.25
2384,vetolaatikko,ropa,nouns,0.75
2385,asu,pelota,nouns,0.1
2386,jalka,brazo,nouns,1.0
2387,vetäytyä,absorber,verbs,0.45
2388,menestyä,lograr,verbs,3.05
2389,oppia,olvidar,verbs,0.25
2390,säästää,ahogar,verbs,0.2
2391,suu,labio,nouns,2.15
2392,hyönteinen,abeja,nouns,2.9
2393,auttaa,pedir,verbs,0.45
2394,lumi,clima,nouns,0.85
2395,koti,estado,nouns,0.15
2396,peitto,cama,nouns,0.85
2397,kunto,niño,nouns,0.05
2398,valita,nombrar,verbs,3.2
2399,ateria,cena,nouns,3.45
2400,väärä,preciso,adjectives,0.1
2401,kannettava tietokone,cuaderno,nouns,0.45
2402,patikoida,escalar,verbs,1.4
2403,turvattu,tedioso,adjectives,0.1
2404,hyökätä,delito,nouns,0.95
2405,tuuri,felicidad,nouns,0.6
2406,tauti,peligro,nouns,0.55
2407,näyttää,volverse,verbs,0.4
2408,järjestää,organizar,verbs,4.95
2409,lelu,cubo,nouns,0.65
2410,kuvata,imitar,verbs,1.5
2411,kurssi,estómago,nouns,0.05
2412,työntää,culpar,verbs,0.05
2413,tarkistus,ajedrez,nouns,0.1
2414,epäsäännöllisesti,generalmente,adverbs,0.55
2415,miellyttää,estar de acuerdo,verbs,1.0
2416,järkyttynyt,avergonzado,adjectives,0.65
2417,kieli,músculo,nouns,1.9
2418,morsian,princesa,nouns,0.7
2419,kiistää,admitir,verbs,0.3
2420,purra,leer,verbs,0.0
2421,saada,poner,verbs,0.2
2422,kertoa,añadir,verbs,1.4
2423,taksi,coche,nouns,3.5
2424,kissa,perro,nouns,1.05
2425,ase,sargento,nouns,0.45
2426,vatsa,vientre,nouns,4.85
2427,normaali,extraño,adjectives,0.3
2428,leiri,cabina,nouns,0.75
2429,viime aikoina,recientemente,adverbs,4.75
2430,kryptogrammi,símbolo,nouns,2.25
2431,antropologia,arqueología,nouns,1.3
2432,huone,bañera,nouns,0.4
2433,lisko,serpiente,nouns,1.8
2434,tiheä,difícil,adjectives,1.4
2435,jäätyä,temblar,verbs,0.8
2436,aito,0,adjectives,0.25
2437,aikuinen,guardián,nouns,1.85
2438,epäonnistua,confiar,verbs,0.2
2439,luostari,ducha,nouns,0.0
2440,turvallisuus,comodidad,nouns,1.4
2441,väkijoukko,desfile,nouns,1.9
2442,liha,sándwich,nouns,0.85
2443,huonekalut,cama,nouns,1.75
2444,hankkia,robar,verbs,1.05
2445,elokuvateatteri,ópera,nouns,1.45
2446,tehtävä,autopista,nouns,0.05
2447,vaivata,ofender,verbs,1.3
2448,seinä,decoración,nouns,0.6
2449,varma,cierto,adjectives,2.85
2450,huilu,música,nouns,1.35
2451,luu,rodilla,nouns,1.1
2452,auringonpaiste,rayo,nouns,1.65
2453,vaatia,discutir,verbs,0.65
2454,auto,ascensor,nouns,0.2
2455,sensuuri,libertad,nouns,0.15
2456,veli,hijo,nouns,1.6
2457,uskomattomasti,herméticamente,adverbs,0.1
2458,mausteinen,bueno,adjectives,0.1
2459,pöly,escoba,nouns,0.8
2460,kantaa,traer,verbs,1.25
2461,kotona,lejos,adverbs,0.3
2462,aamunkoitto,pistola,nouns,0.0
2463,suoli,nervio,nouns,0.8
2464,nykyään,recientemente,adverbs,2.35
2465,solu,cárcel,nouns,0.3
2466,sopimus,pacto,nouns,5.05
2467,nopea,rápido,adjectives,5.4
2468,tuoli,banco,nouns,3.65
2469,valittaa,discutir,verbs,2.0
2470,normaalisti,anormalmente,adverbs,0.3
2471,auto,calibre,nouns,0.4
2472,liittyä,salir,verbs,0.3
2473,vetäytyä,descender,verbs,0.95
2474,passiivisesti,silenciosamente,adverbs,0.85
2475,näyttö,monitor,nouns,5.1
2476,suojella,defender,verbs,4.65
2477,lentoperämies,policía,nouns,0.6
2478,kiistellä,estar de acuerdo,verbs,0.45
2479,heppu,pareja,nouns,1.05
2480,tietosanakirja,diccionario,nouns,2.85
2481,huone,célula,nouns,0.7
2482,tyhmä,inteligente,adjectives,0.3
2483,raamattu,himno,nouns,0.7
2484,joustava,elástico,adjectives,4.55
2485,uniikki,opuesto,adjectives,0.75
2486,kapea,delgado,adjectives,3.7
2487,nenä,boca,nouns,1.25
2488,päivällinen,pollo,nouns,1.45
2489,taksi,autobús,nouns,1.85
2490,levy,cargador,nouns,0.25
2491,sanomalehti,palabra,nouns,1.0
2492,antaa,recibir,verbs,0.4
2493,viskositeetti,chapoteo,nouns,0.75
2494,käsivarsi,rama,nouns,0.75
2495,saari,tarea,nouns,0.05
2496,erilainen,normal,adjectives,0.3
2497,biotooppi,biología,nouns,1.1
2498,älypuhelin,piña,nouns,0.0
2499,kuukausipalkka,cuota,nouns,1.9
2500,synkkä,aburrido,adjectives,0.55
2501,vapaa,inocente,adjectives,0.35
2502,onnellisesti,activamente,adverbs,0.35
2503,auto,automóvil,nouns,5.75
2504,korvaus,cuota,nouns,3.95
2505,torjua,evitar,verbs,2.65
2506,vatsa,curso,nouns,0.05
2507,varainkeruutapahtuma,evento,nouns,2.45
2508,korkeus,conversión,nouns,0.35
2509,viestintä,idioma,nouns,1.95
2510,osallistua,discutir,verbs,0.25
2511,evätä,aceptar,verbs,0.2
2512,hienovaraisesti,ruidosamente,adverbs,0.1
2513,hampaat,hueso,nouns,1.85
2514,käsivarsi,músculo,nouns,1.3
2515,jogurtti,ganado,nouns,0.45
2516,vesi,sequía,nouns,0.65
2517,nilkka,ventana,nouns,0.05
2518,toimittaa,llevar,verbs,2.2
2519,lisko,gobierno,nouns,0.0
2520,ovi,ventana,nouns,1.1
2521,ruoskia,golpear,verbs,3.95
2522,urheilija,corredor,nouns,3.1
2523,pappi,profeta,nouns,1.25
2524,hienovaraisesti,obviamente,adverbs,0.3
2525,temppu,pistola,nouns,0.1
2526,olla erilainen,de acuerdo,verbs,0.15
2527,typerä,obstinado,adjectives,0.7
2528,liittyä,adjuntar,verbs,3.05
2529,tamma,caballo,nouns,3.15
2530,nokkela,astuto,adjectives,4.45
2531,voittaja,presencia,nouns,0.2
2532,ymmärtää,escucha,verbs,1.35
2533,rentoutunut,calma,adjectives,3.55
2534,löytää,localizar,verbs,5.0
2535,jättää,aparecer,verbs,0.3
2536,ottaa,llevar,verbs,0.6
2537,ovela,extraño,adjectives,0.35
2538,kallisarvoinen,sagrado,adjectives,2.3
2539,osua,castigar,verbs,0.8
2540,pilli,esposa,nouns,0.15
2541,pallo,cesta,nouns,0.3
2542,iiris,acetilcolina,nouns,0.3
2543,kiistää,evitar,verbs,0.95
2544,massiivinen,astronómico,adjectives,1.65
2545,sade,llovizna,nouns,4.25
2546,tyhmä,raro,adjectives,0.1
2547,eteishalli,clase,nouns,0.7
2548,kertolasku,división,nouns,1.1
2549,selviytyä,vivir,verbs,2.25
2550,saippuavaahto,burbuja,nouns,2.0
2551,yhdistää,mezcla,verbs,3.65
2552,väkivaltainen,enojado,adjectives,1.95
2553,kutistua,reducir,verbs,3.75
2554,nujertaa,dominar,verbs,2.45
2555,ihmiset,globo,nouns,0.25
2556,kangas,lino,nouns,2.5
2557,infektio,inflexión,nouns,0.1
2558,ylpeys,alegría,nouns,1.45
2559,taistella,jugar,verbs,0.5
2560,yltäkylläisyys,mucho,nouns,5.1
2561,risti,monje,nouns,0.25
2562,suuri,enorme,adjectives,5.0
2563,syvästi,principalmente,adverbs,1.0
2564,heppu,semental,nouns,0.85
2565,esiintyjä,canción,nouns,0.65
2566,tunnustaa,notificar,verbs,1.3
2567,tyydyttää,comprender,verbs,0.4
2568,luopua,reprimir,verbs,0.8
2569,halpa,asequible,adjectives,5.05
2570,lumivyöry,nieve,nouns,1.65
2571,herkkäuskoinen,estúpido,adjectives,1.9
2572,kaveri,amigo,nouns,4.5
2573,silmä,frente,nouns,0.7
2574,kohde,flecha,nouns,0.65
2575,lentokone,aeropuerto,nouns,1.2
2576,artikkeli,libro,nouns,1.3
2577,sikari,tubo,nouns,0.3
2578,säilyketölkki,metal,nouns,1.3
2579,dollari,gente,nouns,0.05
2580,tajuta,descubrir,verbs,4.1
2581,laulaja,coro,nouns,1.8
2582,edullinen,barato,adjectives,5.05
2583,rako,apertura,nouns,3.35
2584,kone,motor,nouns,2.9
2585,varainkeruu ,desarrollo,nouns,0.4
2586,puolustaa,proteger,verbs,4.65
2587,muu,opuesto,adjectives,0.7
2588,nopeus,enviar,nouns,0.2
2589,päivällinen,comida,nouns,3.45
2590,antaa anteeksi,entender,verbs,1.05
2591,lentoperämies,cabina,nouns,0.6
2592,poika,hermano,nouns,1.6
2593,kartta,cuadrado,nouns,0.2
2594,hiiri,gato,nouns,0.95
2595,ratkaisematon,neutral,adjectives,1.15
2596,peukalo,mano,nouns,1.7
2597,oksa,brazo,nouns,0.75
2598,heijastus,imagen,nouns,1.65
2599,liittää,separar,verbs,0.25
2600,matriisi,vector,nouns,1.6
2601,ateria,cintura,nouns,0.3
2602,luu,dientes,nouns,1.85
2603,vastaanottaa,enviar,verbs,0.5
2604,kuolema,tragedia,nouns,1.8
2605,selvästi,seguramente,adverbs,3.1
2606,polyesteri,algodón,nouns,1.4
2607,niukka,raro,adjectives,3.4
2608,tekijä,lector,nouns,0.95
2609,juoda,sorber,verbs,3.5
2610,näyttelijä,cantante,nouns,1.05
2611,hyväksyä,creer,verbs,1.3
2612,mies,niño,nouns,0.95
2613,läksyt,ensayo,nouns,2.65
2614,omena,caramelo,nouns,0.4
2615,moottoritie,tarea,nouns,0.05
2616,mahdollisesti,probable,adverbs,3.65
2617,alumiini,metal,nouns,2.35
2618,hiljattain,actualmente,adverbs,2.35
2619,joustava,modesto,adjectives,0.4
2620,luotettavasti,aproximadamente,adverbs,0.65
2621,sovellus,galaxia,nouns,0.1
2622,ranta,arrecife,nouns,1.3
2623,jaardi,metro,nouns,2.55
2624,hiljattainen,nuevo,adjectives,3.75
2625,päättää,pensar,verbs,1.75
2626,naaraslintu,pájaro,nouns,2.45
2627,teollisuus,negocio,nouns,2.5
2628,hämmästyttävä,sucio,adjectives,0.0
2629,hiekka,pie,nouns,0.2
2630,luonne,médico,nouns,0.15
2631,kirja,ensayo,nouns,1.7
2632,sairas,loco,adjectives,1.5
2633,huonekalut,apartamento,nouns,0.55
2634,bändi,orquesta,nouns,4.5
2635,pääkirjoitus,noticias,nouns,1.6
2636,juoda,tragar,verbs,2.2
2637,osallistua,enviar,verbs,0.5
2638,tavu,lema,nouns,0.7
2639,merkittävästi,oficialmente,adverbs,0.5
2640,ylpeästi,pacíficamente,adverbs,0.1
2641,karja,ternera,nouns,3.15
2642,julkistamaton,abierto,adjectives,0.1
2643,vakavasti,sinceramente,adverbs,2.05
2644,älykkyys,ignorancia,nouns,0.55
2645,valita,rechazar,verbs,0.2
2646,matkapuhelin,teléfono,nouns,4.85
2647,esteettömyys,censura,nouns,0.15
2648,kuutio,dado,nouns,3.35
2649,kuvitella,pretender,verbs,1.25
2650,hiljattain,últimamente,adverbs,4.75
2651,voileipä,carne,nouns,0.85
2652,likainen,pegajoso,adjectives,2.2
2653,pääasiassa,terminalmente,adverbs,0.35
2654,löytää,adquirir,verbs,1.05
2655,maksa,pulmón,nouns,1.05
2656,lainata,mendigar,verbs,1.15
2657,lista,formación,nouns,0.45
2658,kello,puerta,nouns,0.2
2659,tehtävä,asignación,nouns,5.0
2660,strutsi,huerta,nouns,0.2
2661,usein,a veces,adverbs,1.65
2662,rouskua,chasquear,verbs,1.7
2663,enimmäkseen,profundamente,adverbs,1.0
2664,virsi,cañita,nouns,0.15
2665,sallittu,legal,adjectives,4.05
2666,mies,guerrero,nouns,1.1
2667,poski,lengua,nouns,0.95
2668,virkailija,diputado,nouns,1.05
2669,pitkäveteinen,cansado,adjectives,1.2
2670,niemimaa,isla,nouns,1.15
2671,työnantaja,empleado,nouns,1.0
2672,päällikkö,alcalde,nouns,1.65
2673,kokoontuminen,convocatoria,nouns,4.65
2674,hajota,morir,verbs,0.9
2675,kaapata,agarrar,verbs,3.1
2676,tukki,madera,nouns,3.65
2677,viesti,trabajo,nouns,0.85
2678,saada,permanecer,verbs,0.05
2679,poika,hermano,nouns,2.05
2680,kiertäminen,equipaje,nouns,0.7
2681,lähettää,lanzar,verbs,2.3
2682,viini,brandy,nouns,1.6
2683,helppo,rígido,adjectives,0.1
2684,valittaa,traer,verbs,0.0
2685,kynsi,pulgar,nouns,1.7
2686,jalkaterä,cabeza,nouns,0.85
2687,saavuttaa,tratar,verbs,1.0
2688,kirjekuori,decoración,nouns,0.1
2689,temppu,bañera,nouns,0.0
2690,kynsi,mano,nouns,1.4
2691,pitää päällä,erosionar,verbs,0.0
2692,valinta,vena,nouns,0.0
2693,saari,playa,nouns,1.4
2694,kylmä,ordinario,adjectives,0.05
2695,väkivaltainen,pasivo,adjectives,0.2
2696,rumpu,cuerno,nouns,0.35
2697,omistaa,mantener,verbs,2.05
2698,niukasti,aproximadamente,adverbs,0.25
2699,outo,normal,adjectives,0.3
2700,luokka,universidad,nouns,1.0
2701,auto,puente,nouns,0.25
2702,kirurgia,corazón,nouns,0.8
2703,ananas,teléfono inteligente,nouns,0.0
2704,kiistellä,grito,verbs,1.0
2705,käsi,uña,nouns,1.4
2706,sekoitettu,conjunto,adjectives,2.35
2707,valehdella,negar,verbs,1.1
2708,valita,desear,verbs,1.05
2709,järjestää,exigir,verbs,0.15
2710,etsintä,objetivo,nouns,0.7
2711,huutaa,gritar,verbs,4.95
2712,onnellisuus,tristeza,nouns,0.6
2713,taivas,sol,nouns,1.0
2714,ystävällinen,generoso,adjectives,1.6
2715,ottaa,aprovechar,verbs,1.4
2716,ateria,cena,nouns,3.6
2717,ovi,portal,nouns,2.9
2718,huippu,lado,nouns,0.85
2719,pitää,conservar,verbs,4.5
2720,keittää,freír,verbs,1.45
2721,myydä,ir,verbs,0.15
2722,kriketti,seguidor,nouns,0.0
2723,veljenpoika,tía,nouns,0.7
2724,tehdä,dejar,verbs,0.45
2725,musiikki,flauta,nouns,1.35
2726,ystävä,madre,nouns,0.7
2727,kaapeli,mago,nouns,0.0
2728,maila,pelota,nouns,0.95
2729,puu,hoja,nouns,1.35
2730,seistä,caminar,verbs,0.45
2731,muodostaa,destruir,verbs,0.3
2732,tavata,saludar,verbs,1.1
2733,tyhmä,confiado,adjectives,1.65
2734,soitin,violín,nouns,2.85
2735,luu,músculo,nouns,0.7
2736,vaatimaton,avergonzado,adjectives,0.6
2737,lannistaa,animar,verbs,0.35
2738,ystävä,huésped,nouns,1.2
2739,julma,injusto,adjectives,1.8
2740,prinsessa,rey,nouns,1.65
2741,demoni,ángel,nouns,0.9
2742,painava,cargado,adjectives,2.2
2743,lähteä,separar,verbs,0.35
2744,kirjallisuus,libro,nouns,2.35
2745,piirustus,alboroto,nouns,0.05
2746,isä,progenitor,nouns,4.1
2747,esinahka,circuncisión,nouns,1.5
2748,lukea,morder,verbs,0.0
2749,kumppani,amante,nouns,2.05
2750,tanko,bandera,nouns,0.5
2751,vuohi,vaca,nouns,1.4
2752,uskomattomasti,muy,adverbs,0.85
2753,öljy,visón,nouns,0.15
2754,ohjekirja,manual,nouns,4.75
2755,jäähdytin,sensor,nouns,0.65
2756,mekko,danza,nouns,0.25
2757,vesi,sal,nouns,0.3
2758,sfääri,pelota,nouns,2.2
2759,heppu,niña,nouns,1.1
2760,nopeasti,urgentemente,adverbs,4.6
2761,saavuttaa,realizar,verbs,3.05
