ID,FRA,YUE,PoS,score
2247,riz,男孩,nouns,0.1
2248,demander,唔睬,verbs,0.55
2249,acteur,多面體,nouns,0.28
2250,globalisation,簽證,nouns,0.78
2251,intensité,星,nouns,1.92
2252,agressif,彎曲,adjectives,0.0
2253,voiture,車,nouns,6.0
2254,dangereusement,小心地,adverbs,0.49
2255,ascenseur,汽車,nouns,0.44
2256,intelligence,智慧,nouns,4.1
2257,homme,嫌疑人,nouns,0.93
2258,sentiment,直覺,nouns,4.04
2259,agréable,残酷,adjectives,0.55
2260,dent,骨頭,nouns,2.45
2261,effrayé,害羞,adjectives,2.33
2262,manifeste,未公開,adjectives,0.49
2263,ongle,拇指,nouns,2.35
2264,chat,寵物,nouns,3.46
2265,épicé,好,adjectives,0.2
2266,livre,資料,nouns,1.6
2267,maladie,發燒,nouns,2.93
2268,croire,接受,verbs,3.16
2269,créativement,本來,adverbs,0.24
2270,sonnet,美,nouns,0.4
2271,toit,天花板,nouns,3.83
2272,recueillir,搖動,verbs,0.15
2273,lire,理解,verbs,0.87
2274,donner,放,verbs,1.22
2275,force,耐力,nouns,3.16
2276,doucement,温和地,adverbs,3.71
2277,laisser,進入,verbs,0.24
2278,patient,複診,nouns,0.42
2279,gin,威士忌酒,nouns,3.38
2280,emprunter,賣,verbs,0.65
2281,fâché,開心,adjectives,0.83
2282,vélo,汽車,nouns,1.88
2283,homme,兒童,nouns,2.16
2284,tranquillement,安全地,adverbs,1.42
2285,suspect,男人,nouns,0.93
2286,pauvre,自豪,adjectives,0.3
2287,astuce,尺寸,nouns,0.0
2288,sol,門,nouns,0.53
2289,avocat,畫廊,nouns,0.05
2290,instrument,小提琴,nouns,2.65
2291,furieux,不開心,adjectives,2.79
2292,malhonnête,真實,adjectives,0.55
2293,soldat,和平,nouns,0.74
2294,flexible,謙虛,adjectives,0.34
2295,homme,武士,nouns,1.65
2296,justice,法庭,nouns,3.17
2297,vendre,借,verbs,0.65
2298,récipient,瓶子,nouns,3.74
2299,sujet,主題標籤,nouns,3.52
2300,tabac,香煙,nouns,4.07
2301,rivaliser,完成,verbs,0.19
2302,donner,拒絕,verbs,0.2
2303,influencer,傾向,verbs,3.18
2304,liqueur,世紀,nouns,0.1
2305,hutte,茅屋,nouns,3.29
2306,vin,酒,nouns,2.99
2307,paquet,貨車,nouns,0.19
2308,comparer,分析,verbs,3.43
2309,terne,好笑,adjectives,0.29
2310,prêter,欠,verbs,0.72
2311,évidemment,大致,adverbs,1.0
2312,joindre,獲得,verbs,0.6
2313,vague,天氣,nouns,0.49
