ID,FRA,RUS,PoS,score
2204,infirmier,ученый,nouns,0.75
2205,pâlir,разъедать,verbs,0.35
2206,soi,уверенность,nouns,2.1
2207,animal,человек,nouns,1.15
2208,bowling,игрок в боулинг,nouns,1.75
2209,affectation,задача,nouns,3.45
2210,sournois,выносливый,adjectives,1.0
2211,nerf,тело,nouns,1.1
2212,antécédent,прошлое,nouns,4.4
2213,soleil,яблоко,nouns,0.3
2214,esprit,бог,nouns,2.55
2215,devoir,одалживать,verbs,1.15
2216,cours,желудок,nouns,0.2
2217,réduire,пропитывать,verbs,0.05
2218,chercher,находить,verbs,2.0
2219,vieux,смешанный,adjectives,0.05
