ID,HEB,RUS,PoS,score
2096,תקשורת,язык,nouns,1.55
2097,תאונה,книга,nouns,0.0
2098,חליפין,валюта,nouns,1.1
2099,משעמם,скучающий,adjectives,2.2
2100,להסוות,покрывать,verbs,3.0
2101,חשוב,необходимый,adjectives,3.4
2102,אחווה,дверь,nouns,0.0
2103,סופת שלגים,дождь,nouns,1.2
2104,אנשים,доллар,nouns,0.05
2105,שליט,король,nouns,4.15
2106,ללבוש,разъедать,verbs,0.25
2107,בכנות,серьезно,adverbs,0.75
2108,לפגוע,беспокоить,verbs,1.15
2109,כלה,жених,nouns,1.35
2110,פלנטה,луна,nouns,2.25
2111,ברור,кажущийся,adjectives,2.35
2112,דודן,дядя,nouns,2.25
2113,לפגוע,дразнить,verbs,2.35
2114,אורתודונט,врач,nouns,2.3
2115,חום,болезнь,nouns,1.6
2116,כומר,бог,nouns,1.2
2117,גזענות,ксенофобия,nouns,2.65
2118,עקום,изогнутый,adjectives,4.75
2119,יארד,метр,nouns,2.35
2120,ברצינות,важно,adverbs,2.55
2121,קשה,легкий,adjectives,0.6
2122,בבהירות,слегка,adverbs,0.4
2123,שור,конь,nouns,1.2
2124,להילחם,убивать,verbs,0.65
2125,באופן אחראי,надежно,adverbs,2.75
2126,מיידית,один раз,adverbs,0.25
2127,גודל,цент,nouns,0.4
2128,כוכב לכת,звезда,nouns,3.25
2129,להשתתף,сотрудничать,verbs,1.75
2130,לא משומש,новый,adjectives,3.4
2131,משאית,посылка,nouns,0.5
2132,לסיים,откладывать,verbs,0.4
2133,להרוס,создавать,verbs,0.55
2134,וילון,карниз,nouns,1.1
2135,סבולת,цветок,nouns,0.0
2136,מוזר,чудной,adjectives,4.85
2137,אורז,мальчик,nouns,0.2
2138,זרוע,вена,nouns,0.95
2139,משעמם,тоскливый,adjectives,3.8
2140,טקסט,книга,nouns,2.3
2141,פשע,кража,nouns,2.25
2142,משורר,журналист,nouns,1.15
2143,כס,меч,nouns,0.4
2144,לפנות,определить,verbs,0.2
2145,יומן,формула,nouns,0.4
2146,טלפון,будка,nouns,0.75
2147,עצם,мускул,nouns,0.8
2148,נשיא,мэр,nouns,1.45
2149,חיפוש,цель,nouns,1.05
2150,פגישה,обязательство,nouns,1.0
2151,בגדים,ткань,nouns,1.9
2152,קתדרלה,потолок,nouns,0.55
2153,תעשייה,предприятие,nouns,1.8
2154,לבחור,отклонять,verbs,0.2
2155,גאה,печальный,adjectives,0.3
2156,הון,деньги,nouns,4.25
2157,עצב,мужество,nouns,1.2
2158,בקר,овца,nouns,2.9
2159,טיפש,тупой,adjectives,4.1
2160,בחירה,мнение,nouns,1.2
2161,בורא,изготовитель,nouns,4.65
2162,קמע,спектакль,nouns,0.05
2163,ערב,сумерки,nouns,3.2
2164,פטיש,зубы,nouns,0.05
2165,חוזק,выносливость,nouns,2.75
2166,נוכחות,отсутствие,nouns,0.75
2167,בקלות,удобно,adverbs,1.65
2168,לפעמים,равномерно,adverbs,0.3
2169,ערבה,луг,nouns,2.15
2170,לעשות,строить,verbs,2.85
2171,תוף,гитара,nouns,1.5
2172,טרגדיה,смерть,nouns,2.15
2173,בייסבול,кушетка,nouns,0.1
2174,לעצור,свистеть,verbs,0.1
2175,בהירות,звезда,nouns,1.4
2176,אמבטיה,бревно,nouns,0.1
2177,רחוב,переулок,nouns,3.15
2178,פסקה,письмо,nouns,1.25
2179,נדיר,экзотичный,adjectives,4.85
2180,עץ,бревно,nouns,2.7
2181,בר השגה,дешевый,adjectives,2.35
2182,כתף,рука,nouns,1.65
2183,מקור,коробка,nouns,0.0
2184,בינוני,хороший,adjectives,0.95
2185,סטייק,мясо,nouns,3.85
2186,לחלוק,бороться,verbs,1.0
2187,להחזיק,брать,verbs,2.3
2188,אנרכיה,хаос,nouns,4.5
2189,משאית,автомобиль,nouns,2.7
2190,הונאה,преступление,nouns,2.1
2191,תותח,ядро,nouns,1.1
2192,בגדים,пуговица,nouns,1.3
2193,גיהנום,загробный мир,nouns,1.95
2194,מעורבב,старый,adjectives,0.0
2195,תשלום,монета,nouns,1.5
2196,נסיכה,остров,nouns,0.3
2197,באופן מוזר,необычно,adverbs,4.2
2198,יום,ночь,nouns,0.6
2199,בדחיפות,быстро,adverbs,3.35
2200,גאה,дерзкий,adjectives,0.95
2201,מטומטם,огромный,adjectives,0.1
2202,קערה,тарелка,nouns,3.05
2203,סלט,уксус,nouns,0.85
2204,כנראה,положительно,adverbs,0.8
2205,להרגיז,угадывать,verbs,0.05
2206,חשוד,человек,nouns,0.5
2207,נסיך,король,nouns,1.8
2208,סבולת,повязка,nouns,0.1
2209,קנה סוכר,комбайн,nouns,0.35
2210,סוף שבוע,неделя,nouns,1.15
2211,ארוחה,бекон,nouns,1.1
2212,קש,жена,nouns,0.1
2213,ללבוש,рвать,verbs,0.15
2214,תיאטרון,батарейка,nouns,0.0
2215,נורא,громко,adverbs,0.35
2216,ילד,мальчик,nouns,3.3
2217,להחליט,судить,verbs,1.6
2218,טפט,фон,nouns,2.55
2219,לכתוב,строчить,verbs,2.5
2220,סימן,клуб,nouns,0.0
2221,עוף,стейк,nouns,1.55
2222,הרס,построение,nouns,0.65
2223,גורד שחקים,дворец,nouns,1.3
2224,רגל,кисть,nouns,0.85
2225,להבין,удовлетворять,verbs,0.35
2226,חוף,остров,nouns,1.0
2227,בירה,напиток,nouns,2.15
2228,להתחנן,занимать,verbs,0.3
2229,לתפוס,гнаться,verbs,1.85
2230,רע,ужасный,adjectives,3.77
2231,מטבע,совпадение,nouns,0.6
2232,תפוח,повидло,nouns,0.85
2233,חתול,мышка,nouns,1.05
2234,בקול רם,мягко,adverbs,0.25
2235,צדק,право,nouns,1.1
2236,לחנוק,дышать,verbs,0.75
2237,פונקציה,компилятор,nouns,1.9
2238,נייר,картон,nouns,2.65
2239,קפיצה,забор,nouns,0.65
2240,לשמור,забывать,verbs,0.5
2241,מידע,газета,nouns,1.85
2242,דלת,кухня,nouns,0.85
2243,איום,опасность,nouns,4.45
2244,מצב רוח,эмоция,nouns,2.75
2245,חדשני,творческий,adjectives,3.3
2246,לפעמים,часто,adverbs,1.25
2247,לאסוף,организовать,verbs,2.15
2248,לקבל,прощать,verbs,1.4
2249,אבן,уголь,nouns,1.15
2250,לתלות,убивать,verbs,1.5
2251,גניבה,преступлениe,nouns,2.25
2252,להשאיל,давать,verbs,1.9
2253,להקניט,обижать,verbs,2.35
2254,לשתף,участвовать,verbs,1.75
2255,עובד,работодатель,nouns,1.25
2256,שד,фонарь,nouns,0.55
2257,קרח,снег,nouns,2.6
2258,עצבני,испуганный,adjectives,1.25
2259,סלט,диета,nouns,1.05
2260,סיפור,карандаш,nouns,0.3
2261,התחייבות,назначение,nouns,1.0
2262,טנק,машина,nouns,1.45
2263,בקבוק,баллончик,nouns,1.45
2264,להיכשל,преуспевать,verbs,0.5
2265,לדמיין,создавать,verbs,1.05
2266,קומה,палуба,nouns,1.75
2267,להימנע,отрицать,verbs,0.7
2268,ישן,новый,adjectives,0.6
2269,להתאחד,жениться,verbs,2.35
2270,נהר,долина,nouns,0.95
2271,הכרחי,ненужный,adjectives,0.6
2272,להודות,отрицать,verbs,0.55
2273,בלתי צפוי,непредвиденный,adjectives,5.5
2274,מרק,ужин,nouns,1.4
2275,לבחור,собирать,verbs,0.6
2276,עפרון,сказка,nouns,0.3
2277,שומר,взрослый,nouns,1.0
2278,פילם,фильм,nouns,3.75
2279,ארמון,небоскреб,nouns,1.3
2280,דוד,мужчина,nouns,1.8
2281,גיוס כספים,развитие,nouns,0.4
2282,לדחוף,обвинять,verbs,0.2
2283,לדבר,слышать,verbs,0.65
2284,לרכוש,украсть,verbs,0.8
2285,ארון,одежда,nouns,0.9
2286,צד,низ,nouns,1.05
2287,שד,чудовище,nouns,4.7
2288,למסור,носить,verbs,0.7
2289,להרוויח,пожинать,verbs,2.35
2290,דיפלומטיה,переговоры,nouns,1.85
2291,אב,брат,nouns,1.3
2292,מורכב,тяжелый,adjectives,4.0
2293,להעליב,обижать,verbs,3.4
2294,לרצות,развлекать,verbs,0.6
2295,מפלצת,демон,nouns,4.7
2296,ויסקי,алкоголь,nouns,2.25
2297,אקדח,тетрадь,nouns,0.0
2298,להשאיל,продавать,verbs,0.75
2299,מורה,помощник,nouns,1.85
2300,תיבה,электричество,nouns,0.5
2301,סונטה,красота,nouns,0.25
2302,שונית,пляж,nouns,1.45
2303,פיל,динозавр,nouns,0.8
2304,מועמד,победитель,nouns,1.0
2305,מפוחד,стеснительный,adjectives,1.15
2306,הססן,гневный,adjectives,0.6
2307,לשכוח,прощать,verbs,1.55
2308,סוודר,пиджак,nouns,1.6
2309,לעצבן,нападать,verbs,0.45
2310,תמימות דעים,валюта,nouns,0.6
2311,לזכור,думать,verbs,1.2
2312,גוף,нижняя одежда,nouns,0.35
2313,לשתות,глотать,verbs,1.7
2314,סיגלית,цветок,nouns,2.3
2315,בטוח,легальный,adjectives,1.05
2316,חוקה,сенат,nouns,0.85
2317,כדור,сфера,nouns,2.2
2318,עץ,клен,nouns,2.8
2319,בית,амбар,nouns,1.15
2320,גג,пол,nouns,1.0
2321,במקור,творчески,adverbs,0.35
2322,לערבב,растворять,verbs,1.8
2323,חברה,предприятие,nouns,3.4
2324,בבהירות,значительно,adverbs,0.75
2325,לעולם לא,щедро,adverbs,0.45
2326,פגיע,удобный,adjectives,0.1
2327,מסטיק,мята,nouns,0.75
2328,מיליונר,бездомный,nouns,0.5
2329,ענן,туман,nouns,2.1
2330,נוכחות,дверь,nouns,0.25
2331,באופן מוזר,иначе,adverbs,0.85
2332,מסדרון,дверь,nouns,1.05
2333,חור,соглашение,nouns,0.0
2334,חזה,тело,nouns,1.5
2335,להתארס,жениться,verbs,1.9
2336,אמבטיה,шар,nouns,0.05
2337,בנחישות,спокойно,adverbs,0.4
2338,אקדח,нож,nouns,1.45
2339,פרה,коза,nouns,1.1
2340,הזמנה,меню,nouns,1.1
2341,מעוקל,агрессивный,adjectives,0.05
2342,ברידג',карта,nouns,1.2
2343,להמר,сделать ставку,verbs,2.65
2344,לשקר,отрицать,verbs,1.25
2345,ארכיאולוגיה,антропология,nouns,1.35
2346,מפרק,рука,nouns,1.6
2347,באקלר,щит,nouns,2.4
2348,גוף,грудь,nouns,1.5
2349,סינמטוגרפיה,режиссер,nouns,1.2
2350,מהדר,подпрограмма,nouns,1.9
2351,להבריק,сообщить,verbs,0.0
2352,תוף,рожок,nouns,0.8
2353,בנקאי,юрист,nouns,1.0
2354,מחשב נישא,лаптоп,nouns,5.45
2355,להעניש,ударять,verbs,1.4
2356,מלוכלך,дешевый,adjectives,0.4
2357,צוק,холм,nouns,2.25
2358,לסרב,принимать,verbs,0.45
2359,למכור,напоминать,verbs,0.05
2360,חרב,окружение,nouns,0.2
2361,שחקן,актриса,nouns,3.0
2362,להרים,повышать,verbs,1.55
2363,חסר ישע,нуждающийся,adjectives,2.85
2364,כותנה,полиэстер,nouns,0.85
2365,אישי,частный,adjectives,4.6
2366,בשלווה,с гордостью,adverbs,0.1
2367,אנרגיה,батарейка,nouns,1.95
2368,לגלות,изучать,verbs,2.5
2369,להפוך,делать,verbs,0.75
2370,משימה,пустяк,nouns,0.05
2371,מדבר,дюна,nouns,2.1
2372,תורה,книга,nouns,1.6
2373,לחנוק,убивать,verbs,2.35
2374,אל,священник,nouns,1.2
2375,כסף,жемчуг,nouns,0.6
2376,משוגע,безумный,adjectives,5.15
2377,מסגרת,удар,nouns,0.0
2378,ביולוגיה,биотоп,nouns,1.1
2379,בערך,минимально,adverbs,0.45
2380,תחפושת,бал,nouns,0.7
2381,פיקח,тупой,adjectives,0.5
2382,אכזר,несправедливый,adjectives,1.4
2383,בקתה,домик,nouns,4.25
2384,חימום מראש,подогрев,nouns,3.1
2385,באופן לא מדויק,точно,adverbs,0.5
2386,ילד,мужчина,nouns,1.35
2387,קמח,хлеб,nouns,1.4
2388,עתיק,новый,adjectives,0.5
2389,תמוה,странный,adjectives,4.45
2390,רוטב,яблоко,nouns,0.85
2391,לשמור,сохранить,verbs,2.2
2392,עדשה,фотоаппарат,nouns,1.45
2393,קיצוני,агрессивный,adjectives,1.2
2394,כתר,ключ,nouns,0.0
2395,רגל,голова,nouns,0.85
2396,להשאיל,нищенствовать,verbs,0.3
2397,רגיל,средний,adjectives,2.7
2398,להבהיל,преследовать,verbs,0.65
2399,למרוח,размазывать,verbs,2.8
2400,גמיש,покладистый,adjectives,1.65
2401,עסק,корпорация,nouns,3.35
2402,לנדוד,покидать,verbs,0.9
2403,לשמור,терять,verbs,0.4
2404,פנינה,деньги,nouns,0.6
2405,להצטרף,приобретать,verbs,0.25
2406,לנפץ,разбивать,verbs,5.0
2407,לנתח,оценивать,verbs,2.85
2408,בודד,бедный,adjectives,0.9
2409,איבר,почка,nouns,2.15
2410,לכוון,ударять,verbs,0.55
2411,סכין,ружье,nouns,1.45
2412,להגיע,посылать,verbs,0.55
2413,בהכרח,практически,adverbs,0.75
2414,פוטופון,омофон,nouns,0.6
2415,באופן שולי,грубо,adverbs,0.45
2416,יד,ноготь,nouns,1.2
2417,פוליטיקאי,полицейский,nouns,0.45
2418,בבגרות,бойко,adverbs,0.75
2419,סנט,размер,nouns,0.4
2420,בית,квартира,nouns,4.3
2421,כתף,тело,nouns,1.5
2422,שמיכה,постель,nouns,1.3
2423,לברר,думать,verbs,0.95
2424,ציבורי,частный,adjectives,0.5
2425,להחזיק,хранить,verbs,2.1
2426,אל,дух,nouns,1.6
2427,נטייה,инфекция,nouns,0.05
2428,יין,виски,nouns,2.55
2429,בעל,мужчина,nouns,2.8
2430,להזכיר,продавать,verbs,0.05
2431,גל,погода,nouns,0.55
2432,באופן מציאותי,недавно,adverbs,0.1
2433,דיסק,компьютер,nouns,1.2
2434,שמיים,мечта,nouns,0.6
2435,להכחיש,принимать,verbs,0.25
2436,להשיג,преуспевать,verbs,2.45
2437,דלת,присутствие,nouns,0.25
2438,לערבב,готовить,verbs,0.85
2439,לכווץ,уменьшаться,verbs,3.1
2440,מיטה,мебель,nouns,2.3
2441,ליקר,вино,nouns,2.2
2442,לחלוטין,действительно,adverbs,1.7
2443,שבועי,ежемесячный,adjectives,0.9
2444,ללכת,начинать,verbs,0.3
2445,מזג,врач,nouns,0.15
2446,ביוטופ,биология,nouns,1.1
2447,לקבל,достигать,verbs,1.55
2448,להחזיק,обнимать,verbs,1.05
2449,לשקר,притворяться,verbs,3.15
2450,סנט,жена,nouns,0.0
2451,לנשוך,читать,verbs,0.0
2452,אגודל,кисть,nouns,1.35
2453,עכבר,контейнер,nouns,0.0
2454,אוכלוסייה,народ,nouns,3.05
2455,לקבל,приобретать,verbs,1.6
2456,אלים,пассивный,adjectives,0.35
2457,בערך,надежно,adverbs,0.25
2458,ג'נטלמן,госпожа,nouns,1.5
2459,כיבוש,битва,nouns,1.9
2460,להצהיר,объявлять,verbs,4.55
2461,להתלונן,приносить,verbs,0.1
2462,בכנות,обычно,adverbs,0.1
2463,קורס,желудок,nouns,0.1
2464,קרן,солнце,nouns,1.5
2465,ללמוד,воспитывать,verbs,1.45
2466,לנתק,раскалывать,verbs,1.75
2467,להינשא,объединяться,verbs,2.35
2468,ביקורת,спор,nouns,1.35
2469,ציור,бунт,nouns,0.1
2470,חוף,канонерская лодка,nouns,0.7
2471,לבחון,осматривать,verbs,3.25
2472,לבכות,смеяться,verbs,0.45
2473,לעצור,ехать,verbs,0.5
2474,שומר,человек,nouns,0.85
2475,אוניברסיטה,кампус,nouns,1.9
2476,אדם חסכן,сбережения,nouns,1.0
2477,ניתוח,сердце,nouns,0.85
2478,דבש,молочные продукты,nouns,0.35
2479,לדבר,признавать,verbs,0.8
2480,עצוב,смешной,adjectives,0.5
2481,קצף,пузырь,nouns,1.85
2482,שלילי,никогда,adjectives,1.9
2483,להציל,тонуть,verbs,0.6
2484,להתערב,рисковать,verbs,2.65
2485,אובך,облако,nouns,2.1
2486,יחידה,армия,nouns,1.8
2487,חסר צורה,униформа,adjectives,0.1
2488,אפשרי,возможно,adverbs,4.3
2489,להשתנות,менять,verbs,2.3
2490,להעיד,судить,verbs,0.55
2491,לתלות,класть,verbs,0.8
2492,דעה,идея,nouns,2.35
2493,ברור,конечно,adverbs,3.05
2494,ברכות,твердо,adverbs,0.25
2495,להיפצע,падать,verbs,1.2
2496,לחשוב,решать,verbs,1.35
2497,פרח,выносливость,nouns,0.0
2498,שטח,регион,nouns,4.55
2499,מכונאי,работник,nouns,1.85
2500,משימה,женщина,nouns,0.0
2501,כביש,задача,nouns,0.1
2502,קומה,крыша,nouns,1.0
2503,טרי,широкий,adjectives,0.0
2504,כבוד,значки,nouns,0.8
2505,סעודה,курятина,nouns,0.7
2506,לקרוא,понимать,verbs,1.0
2507,לחוב,входить,verbs,0.0
2508,פרח,куст,nouns,1.75
2509,מיטה,одеяло,nouns,1.3
2510,להבהיר,определять,verbs,3.1
2511,לבקש,игнорировать,verbs,0.35
2512,משחק,веселье,nouns,1.35
2513,טלסקופ,стул,nouns,0.15
2514,פחמן,атом,nouns,1.7
2515,סערה,покрывало,nouns,0.4
2516,לנתח,сравнивать,verbs,2.6
2517,קובייה,игрушка,nouns,1.1
2518,סימן,символ,nouns,4.6
2519,נדיר,немой,adjectives,0.1
2520,דלת,подвал,nouns,0.75
2521,אחרת,странно,adverbs,0.85
2522,לתת,разрешать,verbs,2.15
2523,כנסייה,хор,nouns,1.4
2524,למסור,принимать,verbs,0.6
2525,שריר,рука,nouns,1.25
2526,נורא,грустно,adverbs,0.65
2527,מדען,медбрат,nouns,0.3
2528,מתמטיקאי,показ,nouns,0.05
2529,שמפניה,виски,nouns,1.6
2530,חגיגה,церемония,nouns,3.5
2531,להתווכח,соответствовать,verbs,0.55
2532,מפרק,кисть,nouns,2.0
2533,להגיע,приносить,verbs,0.55
2534,אפוקליפסה,пожар,nouns,1.05
2535,מייפל,дерево,nouns,2.8
2536,שמן,норка,nouns,0.35
2537,להרוג,вешать,verbs,1.5
2538,ערמומי,выносливый,adjectives,0.9
2539,צלחת,миска,nouns,3.05
2540,להחליט,представлять,verbs,0.7
2541,מסכן,одинокий,adjectives,0.9
2542,סרטן,болезнь,nouns,2.0
2543,לוחם,мужчина,nouns,1.6
2544,פרדס,страус,nouns,0.1
2545,להצדיק,подтверждать,verbs,2.8
2546,דלת,звонок,nouns,1.05
2547,מוט,флаг,nouns,1.1
2548,מרפאה,койка,nouns,1.0
2549,ספר,рукопись,nouns,1.55
2550,קרסול,кость,nouns,1.5
2551,עלה,саженец,nouns,1.35
2552,אלכוהול,виски,nouns,2.25
2553,באופן שולי,полностью,adverbs,0.45
2554,צר,длинный,adjectives,1.05
2555,רעש,грохот,nouns,4.7
2556,חתיך,парень,nouns,1.25
2557,אינטליגנציה,логика,nouns,2.55
2558,מיץ,яблоко,nouns,1.15
2559,משונה,нормальный,adjectives,0.55
2560,לילה,глава,nouns,0.05
2561,שבבים,курсор,nouns,0.25
2562,להציל,уничтожить,verbs,0.3
2563,תרנגולת,птица,nouns,1.95
2564,ביוגרפיה,роман,nouns,0.9
2565,דעה,предубеждение,nouns,2.7
2566,שטן,бог,nouns,1.1
2567,חלב,сок,nouns,0.85
2568,חשוף,покрытый,adjectives,0.55
2569,גדול,гибкий,adjectives,0.1
2570,שמח,злой,adjectives,0.5
2571,להשיג,пытаться,verbs,1.35
2572,לנשוך,драться,verbs,0.95
2573,קולנוע,телевидение,nouns,2.7
2574,מים,соль,nouns,0.75
2575,מוכר,национальный,adjectives,0.65
2576,דיסק,зарядное устройство,nouns,0.75
2577,מחלה,опасность,nouns,0.9
2578,להחזיר,приносить,verbs,0.65
2579,חצוף,грубый,adjectives,3.7
2580,אחוזה,скульптор,nouns,0.5
2581,להזכיר,сказать,verbs,1.35
2582,לטגן,печь,verbs,1.75
2583,מפתח,корона,nouns,0.0
2584,כאב,вред,nouns,1.55
2585,יוצא,приходящий,adjectives,0.6
2586,שחקן,тренер,nouns,0.95
2587,בהחלט,наверное,adverbs,0.8
2588,לתת,знать,verbs,0.2
2589,מכונית,датчик,nouns,0.85
2590,פרח,вера,nouns,0.05
2591,לשכנע,спорить,verbs,1.7
2592,עצוב,пристыженный,adjectives,1.0
2593,ברנדי,алкоголь,nouns,2.35
2594,חבורה,толпа,nouns,3.1
2595,תובע,адвокат,nouns,1.8
2596,לשכוח,напоминать,verbs,0.5
2597,לחבק,держать,verbs,1.05
2598,עצבני,молодой,adjectives,0.65
2599,באופן לא טבעי,отрицательно,adverbs,0.65
2600,לגנוב,приобретать,verbs,0.8
2601,רגש,настроение,nouns,2.75
2602,הודו,птица,nouns,2.0
2603,ללמד,наказать,verbs,0.5
2604,להשאיר,выселять,verbs,0.8
2605,אנתרופולוגיה,археология,nouns,1.35
2606,מאה,десятилетие,nouns,0.95
2607,עצם,мозг,nouns,0.85
2608,נורמלי,ненормальный,adjectives,0.55
2609,לפני,после,adverbs,0.5
2610,לעומק,в основном,adverbs,0.5
2611,מחלה,инфекция,nouns,2.75
2612,כדורסל,бейсбол,nouns,1.6
2613,שנה,юбилей,nouns,1.35
2614,מים,лед,nouns,2.4
2615,יהיר,гордый,adjectives,3.2
2616,בנדיבות,никогда,adverbs,0.45
2617,ציפורן,шляпка,nouns,0.95
2618,חילוק,умножение,nouns,1.3
2619,גאה,бедный,adjectives,0.15
2620,גלריה,адвокат,nouns,0.0
2621,זמר,хор,nouns,1.6
2622,מנהיג,мэр,nouns,3.55
2623,בוס,директор,nouns,5.05
2624,החלפה,замена,nouns,4.25
2625,אמבטיה,жена,nouns,0.05
2626,צבא,отряд,nouns,1.8
2627,מותן,желудок,nouns,0.7
2628,לעודד,отговаривать,verbs,0.55
2629,בגדים,ящик,nouns,0.9
2630,ראש,глава,nouns,3.55
2631,להרוס,спасти,verbs,0.3
2632,בית,ковер,nouns,0.9
2633,חשוב,официально,adverbs,0.85
2634,להתווכח,убеждать,verbs,1.7
2635,רקע,обои,nouns,2.55
2636,משולב,смешанный,adjectives,3.65
2637,תולעת משי,гусеница,nouns,2.6
2638,פעילות,движение,nouns,2.55
2639,ים,пляж,nouns,1.75
2640,מצב,злость,nouns,1.05
2641,ייתכן,оптимистически,adverbs,0.85
2642,להכריז,провозглашать,verbs,4.85
2643,חופשי,невинный,adjectives,0.1
2644,חרות,свобода,nouns,5.8
2645,מותר,легальный,adjectives,3.55
2646,מוניטור,экран,nouns,4.3
2647,ציפור,курица,nouns,1.95
2648,כריך,мясо,nouns,0.9
2649,תיאוריה,теорема,nouns,1.45
2650,כיבוש,путешествие,nouns,0.65
2651,להזהיר,останавливаться,verbs,0.6
2652,טריק,размер,nouns,0.05
2653,המנון,завоевание,nouns,0.25
2654,להגיע,собираться,verbs,1.0
2655,לתאר,решать,verbs,0.7
2656,להצטרף,добавлять,verbs,1.25
2657,להתעלם,исследовать,verbs,0.25
2658,לפקח,изучать,verbs,3.25
2659,מעטפה,украшение,nouns,0.3
2660,עשור,эпоха,nouns,1.75
2661,בערך,легко,adverbs,0.15
2662,כוכב,яркость,nouns,1.4
2663,נקי,безупречный,adjectives,3.8
2664,מרחק,перспектива,nouns,1.3
2665,לטגן,кипятить,verbs,1.2
2666,לסיים,выпуститься,verbs,1.95
2667,מורתח,варёный,adjectives,2.9
2668,באופן חריג,странно,adverbs,4.2
2669,לטפס,путешествовать,verbs,1.2
2670,פינה,область,nouns,0.65
2671,לשלוח,получать,verbs,0.5
2672,לימון,чай,nouns,0.9
2673,לצלוע,ходить,verbs,1.2
2674,להביא,восстанавливать,verbs,0.65
2675,למצוא,искать,verbs,1.4
2676,לבכות,рыдать,verbs,4.6
2677,מנוע,механизм,nouns,2.2
2678,לנצח,преуспевать,verbs,1.95
2679,לפגוש,покидать,verbs,0.35
2680,כתב יד,статья,nouns,2.85
2681,עור,велосипед,nouns,0.1
2682,חורף,сезон,nouns,1.7
2683,חצאית,часы,nouns,0.35
2684,כיף,игра,nouns,1.35
2685,להחזיק,держать,verbs,2.2
2686,דבורה,матка,nouns,1.3
2687,ילד,состояние,nouns,0.0
2688,לחלק,умножать,verbs,0.85
2689,מד,автомобиль,nouns,0.85
2690,להרגיז,отговаривать,verbs,0.45
2691,באופן עצמאי,ответственно,adverbs,0.75
2692,דוקטור,самообладание,nouns,0.15
2693,אל,жертва,nouns,0.2
2694,אוויר,гелий,nouns,1.75
2695,ציפורן,палец,nouns,1.5
2696,חוק,факультет,nouns,0.9
2697,אדן,гора,nouns,0.7
2698,חשבון,логика,nouns,1.25
2699,בחשאי,вежливо,adverbs,0.5
2700,לגדל,пить,verbs,0.0
2701,לקבל,назначать,verbs,0.55
2702,אסם,дом,nouns,1.15
2703,מריחואנה,трава,nouns,2.65
2704,להיכשל,проигрывать,verbs,2.3
2705,בדיוק,неаккуратно,adverbs,0.5
2706,מיטת תינוק,кроватка,nouns,4.2
2707,בטן,спальня,nouns,0.05
2708,חשמלי,сладкий,adjectives,0.0
2709,היסטריה,помрачение,nouns,1.55
2710,לזהור,сиять,verbs,4.4
2711,משעמם,усталый,adjectives,0.75
2712,נחמד,великодушный,adjectives,1.6
2713,אוטובוס,автотранспорт,nouns,1.9
2714,הוריקן,буря,nouns,4.0
2715,רעב,иссохший,adjectives,1.3
2716,שפה,общение,nouns,1.55
2717,רעב,усталый,adjectives,0.7
2718,מקטרת,сигара,nouns,2.45
2719,להקשיב,подчиняться,verbs,2.3
2720,באופן אחיד,иногда,adverbs,0.3
2721,מכנית,идеально,adverbs,0.2
2722,כימיה,теория,nouns,0.65
2723,להתחתן,обручаться,verbs,1.9
2724,מלוכה,демократия,nouns,0.85
2725,לשאת,родить,verbs,0.7
2726,סבולת,сила,nouns,2.75
2727,באופן חריג,обычно,adverbs,0.45
2728,שדה,овёс,nouns,1.4
2729,פסקה,страница,nouns,1.55
2730,הורה,отец,nouns,3.6
2731,שעועית,бекон,nouns,0.6
2732,קש,псалом,nouns,0.0
2733,תות,вишня,nouns,1.35
2734,לקרות,действовать,verbs,1.6
2735,חלק,острый,adjectives,0.5
2736,לבנים,тело,nouns,0.35
2737,סגסוגת,сталь,nouns,2.25
2738,סיעור מוחות,телескоп,nouns,0.0
2739,סוס,жеребенок,nouns,2.35
2740,תלמיד,учитель,nouns,1.2
2741,עגל,бык,nouns,2.4
2742,לדחות,избирать,verbs,0.2
2743,להבהיר,объяснять,verbs,3.6
2744,מטרה,победитель,nouns,0.65
2745,מוסר,легенда,nouns,0.45
2746,לאסור,останавливать,verbs,1.45
2747,חבר,мать,nouns,1.05
2748,שלפוחית,иллюстрация,nouns,0.0
2749,לכפול,делить,verbs,0.85
2750,לגעור,требовать,verbs,1.25
2751,בעיקר,глубоко,adverbs,0.5
2752,שביר,бесстрастный,adjectives,0.3
2753, בענווה,неудачно,adverbs,0.25
2754,קולנוע,попкорн,nouns,1.05
2755,צעצוע,куб,nouns,1.1
2756,מטופל,сессия,nouns,0.7
2757,משפט,вердикт,nouns,1.8
2758,מילה,газета,nouns,1.4
2759,מטחנה,семя,nouns,0.95
2760,חדש,неиспользуемый,adjectives,3.4
2761,קינמון,конфеты,nouns,0.8
2762,כפתור,одежда,nouns,1.3
2763,לימודים,юриспруденция,nouns,0.9
2764,להתפלל,просить,verbs,2.2
2765,קשה,трудный,adjectives,4.0
2766,תחזית,снег,nouns,1.05
2767,לרדוף,ловить,verbs,1.85
2768,להפסיק,ждать,verbs,0.85
2769,מדביר,вредитель,nouns,1.05
2770,כסף,капитал,nouns,4.25
2771,בעל,жена,nouns,1.2
2772,באופן לא טבעי,естественно,adverbs,0.5
2773,בנוחיות,легко,adverbs,1.65
2774,קל,тяжелый,adjectives,0.55
2775,שגוי,точный,adjectives,0.5
2776,רעיה,мать,nouns,2.2
2777,להבין,знать,verbs,1.55
