ID,CYM,FRA,PoS,score
2113,yn ddiamynedd,approximativement,adverbs,0.6
2114,salwch,fièvre,nouns,3.5
2115,penderfynu,représenter,verbs,0.75
2116,meddyg,caractère,nouns,0.0
2117,deilen,semis,nouns,1.3
2118,ystafell,bain,nouns,0.95
2119,danfon,apporter,verbs,1.65
2120,cyffredin,froid,adjectives,0.2
2121,yn rhyfedd,différemment,adverbs,1.8
2122,poen,chagrin,nouns,2.45
2123,semester,trimestre,nouns,4.45
2124,car,rue,nouns,1.0
2125,braich,veine,nouns,0.95
2126,tymor,semestre,nouns,4.45
2127,codi,augmenter,verbs,4.6
2128,yn fecanyddol,idéalement,adverbs,0.15
2129,erlynydd,avocat,nouns,3.0
2130,dyn,fille,nouns,1.45
2131,popcorn,cinéma,nouns,1.25
2132,penderfynu,penser,verbs,2.3
2133,microsgop,biologiste,nouns,1.45
2134,cludo,livrer,verbs,3.7
2135,pleserdaith,voyage,nouns,3.45
2136,brwydro,tuer,verbs,1.5
2137,gwych,mal,adjectives,0.3
2138,digartref,milliardaire,nouns,0.8
2139,rhif,chiffre,nouns,5.3
2140,darganfod,comprendre,verbs,3.35
2141,ysglyfaeth,dieu,nouns,0.05
2142,camera,suite,nouns,0.15
2143,seren,astéroïde,nouns,2.6
2144,iâ,neige,nouns,3.65
2145,mawr,flexible,adjectives,0.25
2146,edrych,chercher,verbs,3.0
2147,cyfarfod,recueillir,verbs,0.95
2148,tristwch,honte,nouns,1.85
2149,hysbysu,notifier,verbs,4.95
2150,niwl,nuage,nouns,3.3
2151,cadair,lit,nouns,1.35
2152,gwadu,confession,nouns,1.0
2153,gardd,tuyau,nouns,0.55
2154,yn deg,injustement,adverbs,0.85
2155,brawdgarwch,porte,nouns,0.0
2156,ymosod,aggraver,verbs,0.75
2157,pwysig,nécessaire,adjectives,3.95
2158,yn fras,fiablement,adverbs,0.45
2159,mygu,submerger,verbs,2.75
2160,llyfr nodiadau,pistolet,nouns,0.1
2161,egluro,définir,verbs,3.65
2162,yr wyddor,stylo,nouns,0.55
2163,dathlu,surprendre,verbs,0.5
2164,lemwn,pomme,nouns,1.85
2165,ailgynhesu,préchauffage,nouns,3.45
2166,etholiad,choix,nouns,3.35
2167,to,sol,nouns,1.15
2168,wedi tyfu,immature,adjectives,0.75
2169,morthwyl,dent,nouns,0.0
2170,yn ansicr,effrayé,adjectives,1.6
2171,nerthol,puissant,adjectives,5.15
2172,mwtant,sociobiologie,nouns,0.35
2173,steil,mode,nouns,4.75
2174,hapusrwydd,tristesse,nouns,1.15
2175,cwmwl,tempête,nouns,1.5
2176,profocio,blesser,verbs,1.45
2177,yn rhyfeddol,fantastiquement,adverbs,4.7
2178,crëwr,fabricant,nouns,5.1
2179,agwedd,confiance,nouns,1.75
2180,adfer,apporter,verbs,0.1
2181,stumog,veine,nouns,0.8
2182,glaw mân,pluie,nouns,4.25
2183,poeni,gaspiller,verbs,0.15
2184,peilot,chauffeur,nouns,3.7
2185,brigeryn,pollinisation,nouns,1.75
2186,rhaglen,alimentation,nouns,0.6
2187,cytundeb,pacte,nouns,5.45
2188,perswadio,poursuivre,verbs,0.55
2189,tramgwyddo,décourager,verbs,1.55
2190,cyfreithiwr,banquier,nouns,1.3
2191,cadernid,force,nouns,5.0
2192,hyder,attitude,nouns,1.75
2193,coginio,frire,verbs,2.7
2194,dirywio,essuyer,verbs,0.5
2195,ffôn clyfar,ananas,nouns,0.0
2196,sinema,pop-corn,nouns,1.25
2197,penwythnos,course,nouns,0.25
2198,yn uchel,subtilement,adverbs,0.65
2199,amgylchedd,épée,nouns,0.05
2200,dimai,femme,nouns,0.1
2201,yn oddefol,silencieusement,adverbs,1.6
2202,harddwch,âge,nouns,0.8
2203,caniatáu,aller,verbs,0.2
2204,crwm,agressif,adjectives,0.0
2205,persli,muffin,nouns,0.35
2206,euog,honteux,adjectives,2.5
2207,maint,magnitude,nouns,3.35
2208,benthyca,donner,verbs,1.85
2209,wagen,voiture,nouns,4.65
2210,ffurfiol,bon,adjectives,1.2
2211,cenedlaethol,gros,adjectives,0.45
2212,cyfarwyddwr,patron,nouns,2.55
2213,cyfnos,soir,nouns,4.2
2214,gwirio,dire,verbs,0.65
2215,benthyg,devoir,verbs,1.45
2216,cyfaill,ami,nouns,5.8
2217,gyrru,arrêter,verbs,0.8
2218,actores,acteur,nouns,4.4
2219,economi,écosystème,nouns,0.8
2220,ystafell wely,lit,nouns,2.5
2221,bronceitus,paracétamol,nouns,0.9
2222,diymhongar,flexible,adjectives,0.4
2223,yn bennaf,profondément,adverbs,0.7
2224,yn aeddfed,justement,adverbs,0.95
2225,gwrtaith,croissance,nouns,1.45
2226,gwahaniaethu,débattre,verbs,1.15
2227,cyfreithiol,sûr,adjectives,1.5
2228,trefnu,nécessiter,verbs,0.2
2229,brwydro,jouer,verbs,0.8
2230,cywilydd,coupable,adjectives,2.5
2231,argraffu,ignorer,verbs,0.1
2232,gwallgof,terrifiant,adjectives,0.6
2233,baglu,tomber,verbs,4.65
2234,ffordd,voie-rapide,nouns,3.95
2235,dwyn,acquérir,verbs,1.45
2236,creu,gagner,verbs,0.3
2237,portreadu,notifier,verbs,0.85
2238,ynys,plage,nouns,1.85
2239,actor,télévision,nouns,1.3
2240,stumog,taille,nouns,0.55
2241,yn hanfodol,nécessairement,adverbs,4.05
2242,codi arian,développement,nouns,1.15
2243,brawd,père,nouns,1.75
2244,mam,ami,nouns,1.45
2245,morgrugyn,abeille,nouns,1.6
2246,stopio,prévenir,verbs,1.35
2247,gwraig,trou,nouns,0.1
2248,gwawr,pistolet,nouns,0.05
2249,deall,satisfaire,verbs,0.65
2250,haint,maladie,nouns,4.82
2251,ymgyrch,singe,nouns,0.05
2252,pêl,panier,nouns,0.7
2253,ffrind,professeur,nouns,1.0
2254,tramorwr,traducteur,nouns,0.95
2255,dadlau,hurler,verbs,1.95
2256,ffôl,puéril,adjectives,2.85
2257,gwan,épicé,adjectives,0.1
2258,presenoldeb,absence,nouns,1.55
2259,perswadio,se disputer,verbs,1.25
2260,diymhongar,honteux,adjectives,0.55
2261,pathogen,germe,nouns,4.0
2262,cyflwr,maison,nouns,0.05
2263,cul,vaste,adjectives,0.6
2264,yn fanwl gywir,faux,adjectives,0.3
2265,fforddiadwy,bon marché,adjectives,5.35
2266,nerf,intestin,nouns,0.9
2267,tŷ,clé,nouns,0.9
2268,yn ysgafn,brillamment,adverbs,0.3
2269,gwythïen,bras,nouns,0.95
2270,dec,souris,nouns,0.05
2271,alcohol,bière,nouns,3.25
2272,ceisio,atteindre,verbs,1.15
2273,gwenynen,fourmi,nouns,1.6
2274,glan y môr,plage,nouns,4.8
2275,llynges,île,nouns,0.75
2276,syfrdanu,fêter,verbs,0.5
2277,gweithiwr,mécanicien,nouns,2.85
2278,cebl,sorcier,nouns,0.0
2279,meddwl,névrose,nouns,1.45
2280,ar hyn o bryd,délicatement,adverbs,0.15
2281,tywydd,nuage,nouns,1.75
2282,gogwyddo,incliner,verbs,3.5
2283,syth,incurvé,adjectives,0.85
2284,codi,boire,verbs,0.05
2285,nofio,rencontrer,verbs,0.3
2286,anhygoel,ordinaire,adjectives,0.65
2287,gwythïen,estomac,nouns,0.8
2288,lwcus,honteux,adjectives,0.4
2289,gweinidog,rabbin,nouns,2.25
2290,seler,porte,nouns,0.7
2291,yn ddigynnwrf,subtilement,adverbs,1.1
2292,chwilio,regarder,verbs,3.0
2293,busnes,industrie,nouns,2.4
2294,bàth,astuce,nouns,0.0
2295,biliwnydd,sans abri,nouns,0.8
2296,oen,mouton,nouns,4.05
2297,chwedl,morale,nouns,1.1
2298,osgoi,nier,verbs,1.45
2299,yn syth,autrefois,adverbs,1.2
2300,anfoesol,mal,adjectives,3.8
2301,tafod,joue,nouns,1.35
