ID,CYM,EST,PoS,score
2050,ciledrych,jõllitama,verbs,0.65
2051,gwythïen,käsi,nouns,0.6
2052,noswaith,videvik,nouns,3.9
2053,yn falch,tagasihoidlikult,adverbs,0.35
2054,beddrod,hauakamber,nouns,1.0
2055,beichio,nutma,verbs,3.6
2056,holi,otsima,verbs,1.25
2057,llwch,luud,nouns,0.65
2058,priodferch,printsess,nouns,1.2
2059,glo,puusüsi,nouns,2.9
2060,medal,tossud,nouns,0.3
2061,stryd,põiktänav,nouns,3.3
2062,ennill,edu saavutama,verbs,4.15
2063,aflonyddu,hirmutama,verbs,2.0
2064,stumog,magamistuba,nouns,0.1
2065,brwydro,mitte nõustuma,verbs,1.35
2066,yn gadarn,pehmelt,adverbs,0.5
2067,cerddoriaeth,meloodia,nouns,3.0
2068,yn wir,oluliselt,adverbs,0.85
2069,symbol,krüptogramm,nouns,2.25
2070,darganfod,taipama,verbs,3.5
2071,hurt,haruldane,adjectives,0.0
2072,môr,tsunaami,nouns,1.45
2073,anaeddfed,vastutustundetu,adjectives,2.25
2074,crybwyll,kritiseerima,verbs,1.1
2075,rhannu,korrutama,verbs,0.65
2076,drwg,süüdi,adjectives,1.3
2077,ymuno,lisama,verbs,0.9
2078,hyll,sassis,adjectives,1.4
2079,brenin,prints,nouns,1.5
2080,anwybodus,regulaarne,adjectives,0.2
2081,cymysgu,sõitma,verbs,0.1
2082,brwydr,vallutus,nouns,2.25
2083,mynd  ,jätma,verbs,1.0
2084,rhedeg,sõitma,verbs,0.45
2085,ffatri,auto,nouns,0.3
2086,bara,liha,nouns,0.45
2087,gwneuthurwr,looja,nouns,4.45
2088,twyll,kuritegu,nouns,3.0
2089,gofyn,paluma,verbs,2.85
2090,car,paat,nouns,0.8
2091,drwg  ,vinge,adjectives,0.05
2092,amlwg,märgatav,adjectives,3.85
2093,geiriadur,sõna,nouns,1.7
2094,matrics,vektor,nouns,1.3
2095,canu,hõljuma,verbs,0.0
2096,post,kiirus,nouns,0.15
2097,gwern,järv,nouns,1.1
2098,maes llafur,eksam,nouns,0.8
2099,glân,sassis,adjectives,0.25
2100,diflas,naljakas,adjectives,0.15
2101,sŵn,kõristi,nouns,1.1
2102,gallu,pädevus,nouns,4.05
2103,dirywio,pühkima,verbs,0.35
2104,cyw iâr,õhtusöök,nouns,0.7
2105,pen,jalg,nouns,0.65
2106,dweud,osalema,verbs,0.35
2107,proffesiwn,kolledž,nouns,0.5
2108,palas,pilvelõhkuja,nouns,0.7
2109,corn,trumm,nouns,0.75
2110,prysur,laisk,adjectives,0.15
2111,afon,org,nouns,1.1
2112,eryr,pistrik,nouns,2.1
2113,llyfr,kirjandus,nouns,2.35
2114,swil,hirmunud,adjectives,1.85
2115,organ,maks,nouns,1.9
2116,gwrthod,vastu võtma,verbs,0.35
2117,gwarcheidwad,ema,nouns,1.9
2118,adnewid,vahetama,verbs,2.85
2119,seciwlarydd,religioon,nouns,1.5
2120,clyfar,loll,adjectives,0.25
2121,llyfr,tekst,nouns,1.55
2122,ceinder,stiil,nouns,2.8
2123,hyfforddwr,õpetaja,nouns,3.9
2124,awst,kuu,nouns,2.0
2125,pencampwr,võitja,nouns,5.2
2126,yn wahanol,surmavalt,adverbs,0.1
2127,potel,plekkpurk,nouns,0.65
2128,gwyddoniadur,sõnaraamat,nouns,1.9
2129,meddu ,hoidma,verbs,2.4
2130,drwg,suurepärane,adjectives,0.15
2131,anatomeg,bioloogia,nouns,2.4
2132,newyddion,juhtkiri,nouns,0.85
2133,alcohol,džinn,nouns,2.1
2134,mab,poiss,nouns,3.3
2135,arian cyfred,kokkulangevus,nouns,0.05
2136,traeth,saar,nouns,1.1
2137,crio,vesistama,verbs,4.45
2138,cyffredin,külm,adjectives,0.2
2139,plentyn,täiskasvanu,nouns,0.9
2140,degawd,ajastu,nouns,1.75
2141,rhoi,riputama,verbs,0.9
2142,cadlong,lahingulaev,nouns,4.45
2143,medi,saavutama,verbs,0.45
2144,addurn,sein,nouns,0.65
2145,newyddion,meedium,nouns,0.85
2146,porth,uks,nouns,3.55
2147,gwn,seersant,nouns,0.65
2148,mynd o'r golwg,haihtuma,verbs,5.2
2149,beic,nahk,nouns,0.1
2150,braisg,suur,adjectives,4.0
2151,dychan,müüt,nouns,0.65
2152,yn rhyfedd,erinevalt,adverbs,2.0
2153,damweinio,ilmnema,verbs,0.9
2154,radar,juhtkang,nouns,0.25
2155,pur,tagasihoidlik,adjectives,1.2
2156,athro,abiline,nouns,1.95
2157,yn gywir,aktiivselt,adverbs,0.65
2158,presenoldeb,võitja,nouns,0.35
2159,dod yn,tegema,verbs,0.8
2160,archesgob,piiskop,nouns,3.45
2161,clogwyn,küngas,nouns,1.85
2162,dyffryn,jõgi,nouns,1.1
2163,mawr,paindlik,adjectives,0.3
2164,pennod,öö,nouns,0.05
2165,casglu,osalema,verbs,0.9
2166,glaw,lumetorm,nouns,1.05
2167,drachtio,neelama,verbs,2.5
2168,gwefus,suu,nouns,2.45
2169,bwcler,kilp,nouns,2.0
2170,rhoddi,laenama,verbs,2.45
2171,iselder,org,nouns,0.6
2172,gwenith,teravili,nouns,2.55
2173,tynnu,kaotama,verbs,0.7
2174,crebachu,vähendama,verbs,2.8
2175,hysbysu,teavitama,verbs,4.85
2176,perl,raha,nouns,0.4
2177,cofleidio,hoidma,verbs,2.15
2178,cerdyn,sild,nouns,0.15
2179,iâr,kalkun,nouns,1.75
2180,yn emosiynol,kurvalt,adverbs,1.9
2181,cwch,puur,nouns,0.0
2182,canrif,aasta,nouns,1.4
2183,raced,pall,nouns,1.0
2184,mynach,preester,nouns,2.0
2185,cyflymder,post,nouns,0.15
2186,tramorwr,tõlge,nouns,0.65
2187,gwerthuso,õppima,verbs,0.75
2188,ystafell wely,kõht,nouns,0.1
2189,dadlau,karjuma,verbs,1.4
2190,crio,nuuksuma,verbs,3.6
2191,iaith,suhtlus,nouns,1.85
2192,arian,pärl,nouns,0.4
2193,meddw,kaine,adjectives,0.35
2194,cerflunwaith,kuju,nouns,4.9
2195,cyhoeddi,kuulutama,verbs,4.4
2196,deffro,haigutama,verbs,0.55
2197,cyfarch,kohtuma,verbs,1.4
2198,dinistrio,tapma,verbs,2.95
2199,gwydn,kerge,adjectives,0.05
2200,meddwl,neuroos,nouns,1.2
2201,theatr,film,nouns,1.05
2202,asetylocolin,iiris,nouns,0.4
2203,brysio,tormama,verbs,4.9
2204,wastad,kaks korda,adverbs,0.2
2205,ymerawdwr,põhiseadus,nouns,0.45
2206,peilot,autojuht,nouns,2.5
2207,awyrgylch,reostus,nouns,1.0
2208,poenus,häbenev,adjectives,0.25
2209,llwyddo,teostama,verbs,3.2
2210,mecanyddol,elektriline,adjectives,0.55
2211,etholiad,valik,nouns,3.0
2212,busnes,firma,nouns,4.1
2213,dygnwch,lill,nouns,0.25
2214,sain,akustika,nouns,2.9
2215,eliffant,compass,nouns,0.55
2216,hurt,rumal,adjectives,5.15
2217,esgob,peapiiskop,nouns,3.45
2218,ased,aktsia,nouns,3.15
2219,hurt,nutikas,adjectives,0.25
2220,cyflawni,saama,verbs,0.9
2221,bardd,ajakirjanik,nouns,0.9
2222,cynddaredd,viha,nouns,4.35
2223,nihiliaeth,film,nouns,0.2
2224,estrys,puuvijaaed,nouns,0.0
2225,blaengau,püüdma,verbs,0.15
2226,clun,huul,nouns,0.4
2227,masarnen,puu,nouns,2.6
2228,rhybuddio,peatuma,verbs,0.8
2229,bowlen,taldrik,nouns,1.85
2230,caffael,ühinema,verbs,0.35
2231,dygnwch,bänd,nouns,0.15
2232,dyn,isa,nouns,2.0
2233,ffordd,maantee,nouns,4.15
2234,yn dynn,tugevalt,adverbs,1.6
2235,llyfr,informatsioon,nouns,0.95
2236,alaw,muusika,nouns,3.0
2237,gwellt,hümn,nouns,0.0
2238,mis,august,nouns,2.0
2239,theorem,teooria,nouns,2.95
2240,yn hyfryd,elegantselt,adverbs,3.1
2241,wisgi,džinn,nouns,1.75
2242,sigâr,karp,nouns,0.25
2243,bisged,pritsess,nouns,0.05
2244,brandi,vein,nouns,1.4
2245,brandi,alkohol,nouns,2.35
2246,cynyddu,kasvama,verbs,4.15
2247,bedd,taasmatmine,nouns,1.0
2248,ffwr,relv,nouns,0.35
2249,ymbarél,küttekeha,nouns,0.05
2250,rhwygo,kandma,verbs,0.05
2251,dadlau,erinema,verbs,0.95
2252,disgyn,taganema,verbs,0.85
2253,rasio,filosoof,nouns,0.0
2254,ecsema,dermatiit,nouns,3.3
2255,derbyn,kätte toimetama,verbs,0.35
2256,yn hysbys,hea,adjectives,0.3
2257,trên,tramm,nouns,2.5
2258,cyrnol,hambaarst,nouns,0.05
2259,mab,vend,nouns,1.0
2260,ffynhonnell,kast,nouns,0.0
2261,beirniadu,märkima,verbs,1.1
2262,parti,mask,nouns,0.6
2263,ffotoffon,homofoon,nouns,0.25
2264,yn fras,kergelt,adverbs,0.5
2265,yn dawel,loomulikult,adverbs,0.55
2266,het,karp,nouns,0.15
2267,petrusgar,raevukas,adjectives,0.3
2268,creu,saama,verbs,0.8
2269,sylw,teadlikkus,nouns,2.45
2270,pibell,sigar,nouns,0.75
2271,heddiw,täna õhtul,adverbs,2.05
2272,coginio,kaotama,verbs,0.0
2273,cyhoeddi,informeerima,verbs,4.85
2274,dyweddïad,kohtumine,nouns,0.4
2275,angen,pärima,verbs,0.4
2276,cytuno,mitte nõustuma,verbs,0.3
2277,tebyg,samasugune,adjectives,4.5
2278,rhyddhau,suruma,verbs,0.25
2279,anfeidredd,null,nouns,0.45
2280,dinistrio,looma,verbs,0.35
2281,carreg,puit,nouns,0.6
2282,ewin,pea,nouns,0.3
2283,cydnabod,rääkima,verbs,0.85
2284,cyhuddo,kohut mõistma,verbs,2.85
2285,pleidlais,väljapääs,nouns,0.2
2286,gofal,ettevaatus,nouns,3.4
2287,apwyntiad,kaasamine,nouns,0.4
2288,cyflog,raha,nouns,3.15
2289,codi arian,arendus,nouns,0.45
2290,arian,deemant,nouns,1.1
2291,arf,kiiver,nouns,0.7
2292,digonedd,paljusus,nouns,4.35
2293,braf,julm,adjectives,0.0
2294,drwg,keskpärane,adjectives,0.95
2295,creu,ette kujutama,verbs,1.25
2296,llywydd,reostus,nouns,0.05
2297,cysuro,alandama,verbs,0.0
2298,rheolwr,juht,nouns,4.0
2299,blin,vägivaldne,adjectives,1.65
2300,tybio,ennustama,verbs,1.85
2301,meddwl,mõtisklema,verbs,4.15
2302,creulon,kena,adjectives,0.0
2303,entropi,informatsioon,nouns,0.85
2304,drud,häbelik,adjectives,0.05
2305,canu,naerma,verbs,0.4
2306,gwylio,uurima,verbs,3.15
2307,blodyn,põõsas,nouns,1.25
2308,llen,varras,nouns,0.15
2309,mwstard,seeme,nouns,0.7
2310,symbol,märk,nouns,4.55
2311,cyflog,tasu,nouns,5.15
2312,ysgol,klass,nouns,1.2
2313,plaladdwr,putukas,nouns,1.0
2314,anrheg,kirjanik,nouns,0.3
2315,ffrio,küpsetama,verbs,2.2
2316,aseiniad,märge,nouns,0.55
2317,pren,paber,nouns,0.95
2318,ansicr,hädaline,adjectives,1.25
2319,realiti,illusioon,nouns,0.6
2320,priodfab,pruut,nouns,1.35
2321,enfawr,loll,adjectives,0.1
2322,i ffwrdd,kodus,adverbs,0.55
2323,ci hela,rebane,nouns,0.9
2324,tasg,kõrs,nouns,0.1
2325,storm,pilv,nouns,1.1
2326,rinsio,pesema,verbs,3.15
2327,fflat,hotell,nouns,0.65
2328,tywysogaeth,hertsogkond,nouns,2.3
2329,yn onest,ustavalt,adverbs,2.55
2330,doethineb,intelligentsus,nouns,4.05
2331,greddf,meel,nouns,3.55
2332,yn gadarn,rahulikult,adverbs,0.9
2333,amnewid,taastama,verbs,0.35
2334,trefn,menüü,nouns,0.8
2335,taro,külge tõmbama,verbs,0.3
2336,blwyddyn,sünnipäev,nouns,1.05
2337,dillad,jakk,nouns,1.7
2338,dewis,otsustama,verbs,3.9
2339,car,jalgratas,nouns,1.1
2340,hyderus,kindel,adjectives,3.95
2341,dibynnu ar,tuginema,verbs,3.4
2342,credyd,laenaja,nouns,1.45
2343,yn unffurf,mõnikord,adverbs,0.3
2344,cydnabod,aktsepteerima,verbs,3.05
2345,diwydiant,äri,nouns,2.0
2346,gwifren,nöör,nouns,1.7
2347,casglwr,alamprogramm,nouns,0.45
2348,daeargryn,vappumine,nouns,2.9
2349,da,vürtsikas,adjectives,0.55
2350,mathemategydd,etendus,nouns,0.05
2351,awyr,univesum,nouns,1.35
2352,dal,jälitama,verbs,1.7
2353,strategydd,skeemitaja,nouns,3.4
2354,sŵn,rakett,nouns,0.45
2355,gwirod,sajand,nouns,0.0
2356,mawr,raske,adjectives,1.55
2357,gwrthod,tagasi võtma,verbs,1.95
2358,anialwch,luide,nouns,1.1
2359,gadael,jääma,verbs,0.3
2360,yn ddibynadwy,umbes,adverbs,0.15
2361,hyblyg,suur,adjectives,0.3
2362,patholeg,hematoloogia,nouns,1.5
2363,argyhoeddi,proovima,verbs,0.7
2364,atgoffa,unustama,verbs,0.4
2365,traeth,riff,nouns,0.8
2366,gwthio,süüdistama,verbs,0.3
2367,talu,kohtlema,verbs,0.15
2368,deilen,seemik,nouns,1.05
2369,cinio,kana,nouns,0.7
2370,weithiau,kindlalt,adverbs,0.1
2371,gwleidydd,politseinik,nouns,0.35
2372,gwddf,selgroog,nouns,1.25
2373,llonydd,neutraalne,adjectives,1.75
2374,osgoi,ignoreerima,verbs,3.75
2375,tafod,kõri,nouns,0.8
2376,ufuddhau,kuulama,verbs,1.3
2377,llwyn,lill,nouns,1.25
2378,niweidio,ründama,verbs,2.8
2379,cosbi,õpetama,verbs,0.15
2380,afon,meri,nouns,1.4
2381,sgil,intelligentsus,nouns,1.75
2382,presenoldeb,puudumine,nouns,0.9
2383,barnu,otsustama,verbs,2.65
2384,siaced,sviiter,nouns,1.75
2385,cafflo,tüssama,verbs,4.55
2386,awdur,lugeja,nouns,0.7
2387,gynfad,rannik,nouns,0.4
2388,pêl,reket,nouns,1.0
2389,trafodaeth,vaidlus,nouns,3.1
2390,aren,organ,nouns,2.35
2391,benthyg,võlgnema,verbs,1.45
2392,gwych,halb,adjectives,0.15
2393,madfall,valitsus,nouns,0.0
2394,amlwg,avalikustamata,adjectives,0.35
2395,sanctaidd,kallis,adjectives,2.05
2396,sylweddol,vähetähtis,adjectives,0.3
2397,dryswch,hüsteeria,nouns,2.35
2398,weithiau,ühtlaselt,adverbs,0.3
2399,cadw,omama,verbs,2.4
2400,fel arfer,ebanormaalselt,adverbs,0.45
2401,yn afresymol,ebaausalt,adverbs,2.9
2402,bathodyn,klaas,nouns,0.15
2403,dwywaith,mitu korda,adverbs,1.15
2404,maint,sent,nouns,0.35
2405,chwibanu,peatuma,verbs,0.2
2406,ffêr,luu,nouns,2.05
2407,adeiladwaith,purustamine,nouns,0.5
2408,cebl,võlur,nouns,0.0
2409,ogleuo,haisema,verbs,3.3
2410,diymhongar,alandlik,adjectives,2.25
2411,llyfr,piibel,nouns,1.75
2412,yr un peth,sarnane,adjectives,4.5
2413,crwt,tütar,nouns,1.1
2414,salad,dieet,nouns,0.85
2415,cyfaddef,eitama,verbs,0.35
2416,bàth,trikk,nouns,0.0
2417,lliain,riie,nouns,2.3
2418,anodd ei gael,haruldane,adjectives,1.1
2419,swper,eine,nouns,3.25
2420,bydiaeth,viisa,nouns,0.6
2421,rhesymoli,mõtlema,verbs,2.4
2422,stori,pliiats,nouns,0.4
2423,gwarcheidwad,täiskasvanu,nouns,1.85
2424,llygoden,rott,nouns,2.75
2425,cinio,eine,nouns,3.1
2426,sero,lõpmatus,nouns,0.45
2427,o bosibl,pigem,adverbs,1.95
2428,rhiant,isa,nouns,2.8
2429,diweddar,uus,adjectives,3.45
2430,egluro,tõestama,verbs,1.85
2431,coes,käsivars,nouns,1.15
2432,rhoi,laenama,verbs,1.95
2433,tad,vend,nouns,1.2
2434,parch,au,nouns,2.55
2435,tric,suurus,nouns,0.05
2436,dichonadwy,võimatu,adjectives,0.65
2437,seicoleg,teadus,nouns,2.0
2438,cansen siwgr,kombain,nouns,0.45
2439,ar hyn o bryd,delikaatselt,adverbs,0.2
2440,gêm,tegu,nouns,0.95
2441,merch,kutt,nouns,0.9
2442,gweiddi,vaidlema,verbs,1.4
2443,delta,meri,nouns,1.1
2444,cyw iâr,steik,nouns,0.85
2445,iogwrt,kari,nouns,0.25
2446,anwybodus,ühtne,adjectives,0.3
2447,ystafell,kong,nouns,1.9
2448,oedolyn,laps,nouns,0.9
2449,camera,järg,nouns,0.05
2450,anwybyddu,jätma,verbs,1.35
2451,maddau,vabandama,verbs,1.65
2452,hysteria,segadus,nouns,2.35
2453,bawd,käsi,nouns,1.3
2454,gweddïo,küsima,verbs,1.6
2455,clwb,märk,nouns,0.35
2456,alcohol,brändi,nouns,2.35
2457,troed,liiv,nouns,0.1
2458,storm,lumi,nouns,1.35
2459,ennill,lõikama,verbs,0.45
2460,dewis,peatükk,nouns,0.4
2461,gadael,taganema,verbs,2.6
2462,lan,rannik,nouns,3.15
2463,deall,kuulama,verbs,1.2
2464,llaeth,mahl,nouns,0.95
2465,hyfforddwyr,medal,nouns,0.3
2466,anadlu,lämbuma,verbs,0.9
2467,coeden,vaher,nouns,2.6
2468,tegan,kuup,nouns,0.4
2469,golau,klaviatuur,nouns,0.1
2470,cynffon,kalju,nouns,0.0
2471,caniatáu,minema,verbs,0.25
2472,digwyddiad,rahakorjamine,nouns,1.4
2473,drws,aken,nouns,1.0
2474,sillaf,algvorm,nouns,0.65
2475,llynges,armee,nouns,3.2
2476,perlysieuyn,kanep,nouns,1.7
2477,afal,sidrun,nouns,1.15
2478,gwydn,kaval,adjectives,0.3
2479,gwely,mööbel,nouns,1.9
2480,melin,seeme,nouns,0.65
2481,cwmwl,udu,nouns,2.95
2482,gwallgof,rahul,adjectives,0.3
2483,clymu,ühendama,verbs,3.1
2484,modryb,onu,nouns,1.65
2485,yn wael,tagasihoidlikult,adverbs,0.6
2486,doniol,kurb,adjectives,0.35
2487,gadael,kohtuma,verbs,0.05
2488,crefydd,sekularist,nouns,1.5
2489,dwyn,andma,verbs,0.2
2490,awdur,anne,nouns,0.3
2491,ymosod,haiget tegema,verbs,2.8
2492,sgert,käekell,nouns,0.1
2493,menyw,sekretär,nouns,0.8
2494,car,sild,nouns,0.45
2495,dosbarth,kaos,nouns,0.2
2496,oeraidd,järsk,adjectives,1.15
2497,galar,piin,nouns,2.15
2498,mae'n debyg,ilmselgelt,adverbs,1.4
2499,drwg,õudne,adjectives,3.05
2500,rhyddid,oaas,nouns,0.7
2501,amaethyddiaeth,monokultuur,nouns,1.05
2502,mawr,kerge,adjectives,0.1
2503,deallus,loll,adjectives,0.35
2504,carchar,trell,nouns,0.9
2505,cadw,jääma,verbs,0.85
2506,piano,harmoonia,nouns,1.1
2507,pwyntydd,slaid,nouns,0.05
2508,metr,jard,nouns,1.4
2509,cân,ballaad,nouns,3.7
2510,silff,mägi,nouns,0.55
2511,penderfynu,lõpetama,verbs,1.0
2512,sbeislyd,nõrk,adjectives,0.0
2513,lifft,kast,nouns,0.15
2514,cael,jääma,verbs,0.0
2515,yn dynn,uskumatult,adverbs,0.2
2516,mam,abikaasa (naine),nouns,2.05
2517,anobaith,kannatused,nouns,2.85
2518,tref,suurlinn,nouns,2.1
2519,gwneud,looma,verbs,4.2
2520,dirmygus,põlastav,adjectives,4.6
2521,menyw,mees,nouns,0.65
2522,nawr,siin,adverbs,1.95
2523,trin,maksma,verbs,0.15
2524,caniatáu,andma,verbs,1.75
2525,sâl,pöörane,adjectives,0.8
2526,tywysoges,saar,nouns,0.0
2527,rabi,vaimulik,nouns,3.65
2528,disgybl,president,nouns,0.25
2529,injan,kolb,nouns,2.15
2530,aros,saama,verbs,0.0
2531,ymosodol,kõver,adjectives,0.25
2532,addysgu,õpetama,verbs,4.25
2533,cnawd,veri,nouns,1.0
2534,seryddwr,galaktika,nouns,0.75
2535,modd,mood,nouns,0.55
2536,gwin,brändi,nouns,1.4
2537,glas,punane,adjectives,0.6
2538,dod â,saatma,verbs,0.9
2539,ymofyn,otsima,verbs,1.15
2540,lladd,pooma,verbs,2.3
2541,tynnu,looma,verbs,0.65
2542,erthygl,käsikiri,nouns,1.2
2543,ungnwd,põllumajandus,nouns,1.05
2544,gwybodaeth,ajaleht,nouns,1.3
2545,iro,laotama,verbs,0.35
2546,halen,vesi,nouns,0.55
2547,cyfreithiol,ohutu,adjectives,1.5
2548,drws,koridor,nouns,0.95
2549,dychryn,kummitama,verbs,2.0
2550,cromlin,nurk,nouns,1.4
2551,bàth,õhupall,nouns,0.1
2552,llawr,katus,nouns,0.7
2553,cardigan,särk,nouns,1.15
2554,bachgen,sõdur,nouns,0.6
2555,mynd,sisenema,verbs,1.65
2556,reis,kana,nouns,0.5
2557,sylfaen,hape,nouns,0.5
2558,system,viga,nouns,0.3
2559,llygredd,atmosfäär,nouns,1.0
2560,plentyn,tüdruk,nouns,1.45
2561,llong ryfel,sõjalaev,nouns,4.45
2562,annisgwyl,ettenägematu,adjectives,4.65
2563,yn hawdd,umbes,adverbs,0.5
2564,dysgu,karistama,verbs,0.15
2565,anghofio,õppima,verbs,0.4
2566,etholi,tagasi lükkama,verbs,0.45
2567,cymysgu,kombineerima,verbs,2.8
2568,gwely,tekk,nouns,1.15
2569,rhwystredigaeth,viha,nouns,1.9
2570,machlud haul,päikesetõus,nouns,1.1
2571,digwydd,juhtuma,verbs,0.9
2572,unwaith,otsekohe,adverbs,0.6
2573,coch,sinine,adjectives,0.6
2574,cydsyniad,valuuta,nouns,0.05
2575,anwybodaeth,intelligentsus,nouns,0.35
2576,ystafell,vann,nouns,0.55
2577,cliw,sõna,nouns,0.55
2578,dychmygu,teesklema,verbs,1.7
2579,canrif,naps,nouns,0.0
2580,dec,paat,nouns,0.9
2581,stopio,vilistama,verbs,0.2
2582,hawdd,karm,adjectives,0.05
2583,awyren,leht,nouns,0.15
2584,gwario,kokku hoidma,verbs,0.45
2585,dodrefn,korter,nouns,0.85
2586,cwt,varjend,nouns,1.6
2587,mygu,üle kuhjama,verbs,2.45
2588,hyrwyddo,edendama,verbs,2.5
2589,nerfus,veendunud,adjectives,0.15
2590,oren,tsitrus,nouns,3.25
2591,eisiau,valima,verbs,1.15
2592,caws,leib,nouns,0.95
2593,dweud ar goedd,teadustama,verbs,4.4
2594,hedyn,sinep,nouns,0.7
2595,hysbysu,poleerima,verbs,0.0
2596,bàth,tuba,nouns,0.55
2597,diffinio,selgitama,verbs,3.5
2598,coffi,uba,nouns,1.1
2599,trist,hirmus,adjectives,1.45
2600,tsunami,meri,nouns,1.45
2601,aros,säilitama,verbs,0.85
2602,rhythm,kadents,nouns,0.85
2603,amddiffyn,päästma,verbs,2.35
2604,anghefnogi,ärritama,verbs,1.25
2605,gweithiwr,mehaanik,nouns,2.2
2606,gweithiwr,kaamera,nouns,0.05
2607,penderfynu,mõtlema,verbs,2.15
2608,gwych,kohutav,adjectives,0.25
2609,dweud celwydd,teesklema,verbs,2.0
2610,sylweddoli,avastama,verbs,3.5
2611,creu,hävitama,verbs,0.45
2612,fflat,mööbel,nouns,0.85
2613,gwrthod,valetama,verbs,0.7
2614,buwch,kits,nouns,1.15
2615,yn fras,imlselgelt,adverbs,0.3
2616,arian,palk,nouns,3.15
2617,brwnt,kitsas,adjectives,0.25
2618,yn fras,marginaalselt,adverbs,0.45
2619,priodi,ühinema,verbs,2.25
2620,wedi ei dychryn,põnevil,adjectives,2.0
2621,yn achlysurol,regulaarselt,adverbs,1.05
2622,ebol,hobune,nouns,3.55
2623,gwythïen,kõht,nouns,0.3
2624,mynd i mewn,lahkuma,verbs,0.35
2625,dadlau,vaidlema,verbs,2.85
2626,sedd,pank,nouns,0.25
2627,hyder,ise,nouns,0.65
2628,sgriptiwr,televisioon,nouns,0.75
2629,dibynnu,nurjuma,verbs,0.15
2630,yn ddiamynedd,umbes,adverbs,0.4
2631,pen-glin,luu,nouns,1.4
2632,mynd  ,algama,verbs,0.5
2633,yn anarferol,kummaliselt,adverbs,4.3
2634,meddwl,ratsionaliseerima,verbs,2.4
2635,yn llachar,õrnalt,adverbs,0.3
2636,darn,lennujaam,nouns,0.0
2637,cicio,haiget tegema,verbs,1.75
2638,eang,suur,adjectives,3.9
2639,cenedlaethol,suur,adjectives,0.75
2640,ffrind,ema,nouns,1.55
2641,tywysoges,pruut,nouns,1.2
2642,marw,matma,verbs,1.0
2643,llyfr,essee,nouns,1.1
2644,cas,riistvara,nouns,0.2
2645,diweddeb,rütm,nouns,0.85
2646,gwrthod,tunnistama,verbs,0.35
2647,asgwrn,hambad,nouns,1.45
2648,tuedd,arvamus,nouns,2.5
2649,ysbryd,lamp,nouns,0.4
2650,ffabrig,riided,nouns,1.9
2651,maes awyr,lennuk,nouns,1.65
2652,ardal,nurk,nouns,0.7
2653,cytuno,heameelt tegema,verbs,0.8
2654,dweud yn gyhoeddus,teadustama,verbs,3.5
2655,torri,pragunema,verbs,2.2
2656,yn hysbys,riiklik,adjectives,0.5
2657,heddwch,sõdur,nouns,0.3
2658,delwedd,idee,nouns,0.8
2659,rheilffordd,aed,nouns,0.15
2660,yn ddiffuant,tavaliselt,adverbs,0.7
2661,papur newydd,sõna,nouns,0.85
2662,tad,tütar,nouns,0.95
2663,euog,aus,adjectives,0.45
2664,cytuno,erinema,verbs,0.2
2665,dal,vabastama,verbs,0.95
2666,esgusodi,andestama,verbs,1.65
2667,cerflunydd,mõis,nouns,0.25
2668,gwych,hiilgav,adjectives,4.9
2669,indrawn,vili,nouns,1.55
2670,gair,vihje,nouns,0.55
2671,merch,põngerjas,nouns,1.1
2672,annibynadwy,kaudne,adjectives,1.0
2673,yn angheuol,õnnelikult,adverbs,0.05
2674,eira,jää,nouns,2.9
2675,drwg,valelik,adjectives,2.05
2676,lladrad,kuritegu,nouns,2.55
2677,bwrw,karistama,verbs,1.4
2678,tywydd,lumi,nouns,1.25
2679,senedd,põhiseadus,nouns,0.95
2680,gwybod,andma,verbs,0.0
2681,mainc,tool,nouns,3.45
2682,ymdrech,raskus,nouns,1.75
2683,tagu,hingama,verbs,0.9
2684,lleihau,kahanema,verbs,2.8
2685,rhoi,ära tõukama,verbs,0.65
2686,cludo,tõstma,verbs,1.15
2687,popcorn,kino,nouns,0.9
2688,seren,kabel,nouns,0.8
2689,ffug,tehislik,adjectives,4.75
2690,anfoesol,halb,adjectives,3.35
2691,mêl,meierei,nouns,0.25
2692,babi,täiskasvanu,nouns,0.55
2693,cynffon,kauss,nouns,0.0
2694,mawr,hiiglasuur,adjectives,3.75
2695,gafael,kallistama,verbs,2.15
2696,derbyn,võtma,verbs,1.95
2697,cig,veiseliha,nouns,2.9
2698,hyblyg,lahtine,adjectives,1.3
2699,blodyn,uskumus,nouns,0.05
2700,car,tehas,nouns,0.3
2701,morwyn,abiline,nouns,2.25
2702,yn gadarn,tihedalt,adverbs,1.6
2703,archwilio,inspekteerima,verbs,2.85
2704,am ddim,süütu,adjectives,0.55
2705,main,kitsas,adjectives,3.2
2706,derbyn,andma,verbs,0.45
2707,cadair,voodi,nouns,0.75
2708,pydru,hävitama,verbs,1.6
2709,sesiwn,patsient,nouns,0.4
2710,cig,peekon,nouns,2.8
2711,yn aml,vahepeal,adverbs,0.55
2712,esgeuluso,ära tõukama,verbs,1.0
2713,yn dawel,passivselt,adverbs,1.2
2714,tad,poeg,nouns,1.35
2715,gofyn,ignoreerima,verbs,0.1
2716,cig,steik,nouns,3.65
2717,gwely,tuba,nouns,0.5
2718,geneth,laps,nouns,1.45
2719,polyn,lipp,nouns,1.1
2720,gwallgof,õnnetu,adjectives,0.65
2721,ffrind,külaline,nouns,1.3
